Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP David Newell,"LIB William Bryan Strange, |||",GRN George Joseph Altgelt,Totals
"Judge, Court of Criminal Appeals, Place 9",0578,409,538,947,1799,52.64%,616,75,99,790
"Judge, Court of Criminal Appeals, Place 9",0579,76,101,177,1056,16.76%,41,19,16,76
"Judge, Court of Criminal Appeals, Place 9",0580,179,118,297,1031,28.81%,8,33,19,60
"Judge, Court of Criminal Appeals, Place 9",0581,212,174,386,1032,37.40%,16,56,22,94
"Judge, Court of Criminal Appeals, Place 9",0582,258,171,429,1588,27.02%,33,55,21,109
"Judge, Court of Criminal Appeals, Place 9",0583,225,131,356,1262,28.21%,20,39,17,76
"Judge, Court of Criminal Appeals, Place 9",0584,182,93,275,1014,27.12%,17,33,16,66
"Judge, Court of Criminal Appeals, Place 9",0585,417,172,589,2511,23.46%,35,76,37,148
"Judge, Court of Criminal Appeals, Place 9",0586,638,680,1318,4316,30.54%,828,119,82,1029
"Judge, Court of Criminal Appeals, Place 9",0587,439,284,723,2598,27.83%,314,81,67,462
"Judge, Court of Criminal Appeals, Place 9",0588,758,674,1432,3645,39.29%,1041,113,82,1236
"Judge, Court of Criminal Appeals, Place 9",0589,500,386,886,3420,25.91%,517,99,58,674
"Judge, Court of Criminal Appeals, Place 9",0590,773,399,1172,2162,54.21%,942,51,41,1034
"Judge, Court of Criminal Appeals, Place 9",0591,183,231,414,2121,19.52%,143,32,40,215
"Judge, Court of Criminal Appeals, Place 9",0592,133,157,290,1350,21.48%,93,30,24,147
"Judge, Court of Criminal Appeals, Place 9",0593,544,564,1108,4380,25.30%,586,108,99,793
"Judge, Court of Criminal Appeals, Place 9",0594,561,326,887,2490,35.62%,276,104,89,469
"Judge, Court of Criminal Appeals, Place 9",0595,201,178,379,1693,22.39%,77,42,34,153
"Judge, Court of Criminal Appeals, Place 9",0596,441,348,789,3007,26.24%,460,74,76,610
"Judge, Court of Criminal Appeals, Place 9",0597,367,394,761,3653,20.83%,362,88,51,501
"Judge, Court of Criminal Appeals, Place 9",0598,195,57,252,728,34.62%,206,15,9,230
"Judge, Court of Criminal Appeals, Place 9",0599,850,578,1428,4950,28.85%,568,174,121,863
"Judge, Court of Criminal Appeals, Place 9",0600,667,429,1096,3957,27.70%,474,122,68,664
"Judge, Court of Criminal Appeals, Place 9",0601,1074,756,1830,4057,45.11%,1405,107,101,1613
"Judge, Court of Criminal Appeals, Place 9",0602,293,235,528,1326,39.82%,402,34,32,468
"Judge, Court of Criminal Appeals, Place 9",0603,884,794,1678,4843,34.65%,1103,169,115,1387
"Judge, Court of Criminal Appeals, Place 9",0604,702,518,1220,3005,40.60%,1027,56,27,1110
"Judge, Court of Criminal Appeals, Place 9",0605,907,556,1463,5582,26.21%,437,177,128,742
"Judge, Court of Criminal Appeals, Place 9",0606,176,70,246,937,26.25%,11,21,14,46
"Judge, Court of Criminal Appeals, Place 9",0607,52,51,113,728,15.52%,15,9,7,31
"Judge, Court of Criminal Appeals, Place 9",0608,31,47,78,537,14.53%,49,3,0,52
"Judge, Court of Criminal Appeals, Place 9",0609,557,680,1347,3384,39.80%,891,110,87,1088
"Judge, Court of Criminal Appeals, Place 9",0610,231,188,419,1927,21.74%,235,42,30,307
"Judge, Court of Criminal Appeals, Place 9",0611,495,242,737,2488,29.62%,36,70,54,160
"Judge, Court of Criminal Appeals, Place 9",0612,996,497,1493,3307,45.15%,1162,68,83,1313
"Judge, Court of Criminal Appeals, Place 9",0613,186,204,390,1554,25.10%,85,57,21,163
"Judge, Court of Criminal Appeals, Place 9",0614,737,566,1303,4207,30.97%,545,153,92,790
"Judge, Court of Criminal Appeals, Place 9",0615,480,299,779,1967,39.60%,515,71,46,632
"Judge, Court of Criminal Appeals, Place 9",0616,739,663,1402,3436,40.80%,1033,95,65,1193
"Judge, Court of Criminal Appeals, Place 9",0617,541,393,934,3809,24.52%,433,122,81,636
"Judge, Court of Criminal Appeals, Place 9",0618,946,567,1513,6003,25.20%,822,181,99,1102
"Judge, Court of Criminal Appeals, Place 9",0619,1219,803,2022,4297,47.06%,1544,139,97,1780
"Judge, Court of Criminal Appeals, Place 9",0620,689,264,953,2897,32.90%,621,76,47,744
"Judge, Court of Criminal Appeals, Place 9",0621,154,101,255,1133,22.51%,142,30,27,199
"Judge, Court of Criminal Appeals, Place 9",0622,881,524,1405,4403,31.91%,911,119,105,1135
"Judge, Court of Criminal Appeals, Place 9",0623,887,487,1374,3691,37.23%,966,96,70,1132
"Judge, Court of Criminal Appeals, Place 9",0624,1,1,2,3,66.67%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 9",0625,477,362,839,1820,46.10%,511,72,80,663
"Judge, Court of Criminal Appeals, Place 9",0626,581,440,1021,2861,35.69%,603,103,83,789
"Judge, Court of Criminal Appeals, Place 9",0627,346,322,668,3049,21.91%,266,63,60,389
"Judge, Court of Criminal Appeals, Place 9",0628,152,219,371,1675,22.15%,221,25,26,272
"Judge, Court of Criminal Appeals, Place 9",0629,37,53,90,696,12.93%,23,13,4,40
"Judge, Court of Criminal Appeals, Place 9",0630,976,600,1576,3905,40.36%,183,309,168,660
"Judge, Court of Criminal Appeals, Place 9",0631,822,404,1226,2846,43.08%,920,74,55,1049
"Judge, Court of Criminal Appeals, Place 9",0632,7,4,11,343,3.21%,3,1,0,4
"Judge, Court of Criminal Appeals, Place 9",0633,945,731,1676,3559,47.09%,1244,116,90,1450
"Judge, Court of Criminal Appeals, Place 9",0634,458,442,900,3029,29.71%,614,97,62,773
"Judge, Court of Criminal Appeals, Place 9",0635,743,485,1228,3393,36.19%,935,85,66,1086
"Judge, Court of Criminal Appeals, Place 9",0636,835,874,1710,4140,41.30%,1492,64,32,1588
"Judge, Court of Criminal Appeals, Place 9",0637,409,362,771,2512,30.69%,240,79,90,409
"Judge, Court of Criminal Appeals, Place 9",0638,304,245,549,2204,24.91%,78,73,49,200
"Judge, Court of Criminal Appeals, Place 9",0639,549,547,1096,2526,43.39%,906,53,25,984
"Judge, Court of Criminal Appeals, Place 9",0640,641,459,1100,3733,29.47%,715,109,62,886
"Judge, Court of Criminal Appeals, Place 9",0641,649,596,1245,3650,34.11%,866,86,60,1012
"Judge, Court of Criminal Appeals, Place 9",0642,472,394,866,1764,49.09%,716,38,27,781
"Judge, Court of Criminal Appeals, Place 9",0643,934,653,1587,5945,26.69%,704,219,126,1049
"Judge, Court of Criminal Appeals, Place 9",0644,1020,823,1843,5523,33.37%,1284,128,112,1524
"Judge, Court of Criminal Appeals, Place 9",0645,655,594,1249,4185,29.84%,725,140,114,979
"Judge, Court of Criminal Appeals, Place 9",0646,364,287,651,2220,29.32%,238,78,56,372
"Judge, Court of Criminal Appeals, Place 9",0647,904,470,1374,6084,22.58%,463,114,94,671
"Judge, Court of Criminal Appeals, Place 9",0648,838,579,1417,3367,42.08%,1053,92,72,1217
"Judge, Court of Criminal Appeals, Place 9",0649,687,434,1121,4576,24.50%,404,142,98,644
