Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP David Newell,"LIB William Bryan Strange, |||",GRN George Joseph Altgelt,Totals
"Judge, Court of Criminal Appeals, Place 9",0749,30,17,47,377,12.47%,11,8,1,20
"Judge, Court of Criminal Appeals, Place 9",0750,111,96,207,767,26.99%,132,19,15,166
"Judge, Court of Criminal Appeals, Place 9",0751,925,964,1889,5084,37.16%,1315,168,115,1598
"Judge, Court of Criminal Appeals, Place 9",0752,286,200,486,1483,32.77%,379,25,13,417
"Judge, Court of Criminal Appeals, Place 9",0753,55,73,128,259,49.42%,83,13,12,108
"Judge, Court of Criminal Appeals, Place 9",0754,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0755,442,584,1026,4294,23.89%,515,117,89,721
"Judge, Court of Criminal Appeals, Place 9",0756,251,177,428,1600,26.75%,182,49,20,251
"Judge, Court of Criminal Appeals, Place 9",0757,520,508,1028,4035,25.48%,238,157,97,492
"Judge, Court of Criminal Appeals, Place 9",0758,1114,692,1806,4096,44.09%,1489,96,66,1651
"Judge, Court of Criminal Appeals, Place 9",0759,465,413,878,2730,32.16%,581,77,47,705
"Judge, Court of Criminal Appeals, Place 9",0760,1432,639,2071,4367,47.42%,1759,79,57,1895
"Judge, Court of Criminal Appeals, Place 9",0761,548,253,801,1550,51.68%,586,55,49,690
"Judge, Court of Criminal Appeals, Place 9",0762,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0763,108,146,254,1212,20.96%,119,24,17,160
"Judge, Court of Criminal Appeals, Place 9",0764,1133,774,1907,5217,36.55%,1269,150,93,1512
"Judge, Court of Criminal Appeals, Place 9",0765,648,426,1074,4055,26.49%,474,153,115,742
"Judge, Court of Criminal Appeals, Place 9",0766,40,25,65,392,16.58%,19,6,7,32
"Judge, Court of Criminal Appeals, Place 9",0767,10,2,12,86,13.95%,8,1,2,11
"Judge, Court of Criminal Appeals, Place 9",0768,1359,1015,2374,5857,40.53%,1979,115,75,2169
"Judge, Court of Criminal Appeals, Place 9",0769,54,16,70,183,38.25%,3,9,1,13
"Judge, Court of Criminal Appeals, Place 9",0770,31,25,56,323,17.34%,27,11,4,42
"Judge, Court of Criminal Appeals, Place 9",0771,324,254,578,2426,23.83%,349,61,44,454
"Judge, Court of Criminal Appeals, Place 9",0772,1792,851,2643,5709,46.30%,2091,146,106,2343
"Judge, Court of Criminal Appeals, Place 9",0773,473,312,785,2918,26.90%,263,87,67,417
"Judge, Court of Criminal Appeals, Place 9",0774,30,41,71,378,18.78%,18,15,3,36
"Judge, Court of Criminal Appeals, Place 9",0775,18,3,21,92,22.83%,1,1,2,4
"Judge, Court of Criminal Appeals, Place 9",0776,551,496,1047,3053,34.29%,654,106,54,814
"Judge, Court of Criminal Appeals, Place 9",0777,45,40,86,652,13.19%,38,4,1,43
"Judge, Court of Criminal Appeals, Place 9",0778,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0779,64,51,115,940,12.23%,44,12,5,61
"Judge, Court of Criminal Appeals, Place 9",0780,53,59,122,595,20.50%,79,6,5,90
"Judge, Court of Criminal Appeals, Place 9",0781,666,273,939,3603,26.06%,474,67,76,617
"Judge, Court of Criminal Appeals, Place 9",0782,368,370,738,2236,33.01%,492,64,46,602
"Judge, Court of Criminal Appeals, Place 9",0783,49,13,62,294,21.09%,45,4,3,52
"Judge, Court of Criminal Appeals, Place 9",0784,208,128,336,1079,31.14%,16,27,12,55
"Judge, Court of Criminal Appeals, Place 9",0785,28,25,53,296,17.91%,31,6,3,40
"Judge, Court of Criminal Appeals, Place 9",0786,100,98,198,1251,15.83%,84,21,11,116
"Judge, Court of Criminal Appeals, Place 9",0787,45,52,98,488,20.08%,40,11,8,59
"Judge, Court of Criminal Appeals, Place 9",0788,74,32,106,454,23.35%,52,13,5,70
"Judge, Court of Criminal Appeals, Place 9",0789,0,3,3,3,100.00%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 9",0790,0,0,0,3,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0791,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0792,269,239,508,1865,27.24%,150,41,32,223
"Judge, Court of Criminal Appeals, Place 9",0793,448,247,695,2484,27.98%,435,61,38,534
"Judge, Court of Criminal Appeals, Place 9",0794,124,144,268,2710,9.89%,38,43,27,108
"Judge, Court of Criminal Appeals, Place 9",0795,90,125,215,1217,17.67%,96,18,21,135
"Judge, Court of Criminal Appeals, Place 9",0796,83,51,134,476,28.15%,79,12,7,98
"Judge, Court of Criminal Appeals, Place 9",0797,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0798,99,111,210,500,42.00%,87,32,30,149
"Judge, Court of Criminal Appeals, Place 9",0799,28,15,43,161,26.71%,11,11,6,28
"Judge, Court of Criminal Appeals, Place 9",0800,588,642,1230,2932,41.95%,885,76,73,1034
"Judge, Court of Criminal Appeals, Place 9",0801,32,14,46,258,17.83%,17,5,5,27
"Judge, Court of Criminal Appeals, Place 9",0802,51,27,78,312,25.00%,17,14,24,55
"Judge, Court of Criminal Appeals, Place 9",0803,725,511,1236,2893,42.72%,937,76,66,1079
"Judge, Court of Criminal Appeals, Place 9",0804,933,591,1524,4768,31.96%,1017,143,97,1257
"Judge, Court of Criminal Appeals, Place 9",0805,765,533,1298,2866,45.29%,1065,67,54,1186
"Judge, Court of Criminal Appeals, Place 9",0806,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0807,211,204,415,2028,20.46%,111,80,60,251
"Judge, Court of Criminal Appeals, Place 9",0808,12,17,29,131,22.14%,9,5,7,21
"Judge, Court of Criminal Appeals, Place 9",0809,7,6,13,92,14.13%,5,1,1,7
"Judge, Court of Criminal Appeals, Place 9",0810,9,16,25,211,11.85%,9,1,2,12
"Judge, Court of Criminal Appeals, Place 9",0811,29,50,79,270,29.26%,33,5,7,45
"Judge, Court of Criminal Appeals, Place 9",0812,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0813,938,761,1699,5807,29.26%,905,189,113,1207
"Judge, Court of Criminal Appeals, Place 9",0814,673,533,1206,5102,23.64%,353,187,129,669
"Judge, Court of Criminal Appeals, Place 9",0815,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0816,10,0,10,73,13.70%,3,1,2,6
"Judge, Court of Criminal Appeals, Place 9",0817,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0818,86,39,125,616,20.29%,34,20,15,69
"Judge, Court of Criminal Appeals, Place 9",0819,64,30,94,240,39.17%,55,6,9,70
"Judge, Court of Criminal Appeals, Place 9",0820,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0821,124,120,244,1242,19.65%,44,19,21,84
"Judge, Court of Criminal Appeals, Place 9",0822,332,167,499,1535,32.51%,24,51,22,97
"Judge, Court of Criminal Appeals, Place 9",0823,821,564,1385,5087,27.23%,857,145,90,1092
"Judge, Court of Criminal Appeals, Place 9",0824,428,282,710,2700,26.30%,188,86,56,330
"Judge, Court of Criminal Appeals, Place 9",0825,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0826,73,50,123,358,34.36%,69,8,12,89
"Judge, Court of Criminal Appeals, Place 9",0827,60,98,158,979,16.14%,81,15,9,105
"Judge, Court of Criminal Appeals, Place 9",0828,541,388,929,1916,48.49%,769,43,42,854
"Judge, Court of Criminal Appeals, Place 9",0829,54,22,76,264,28.79%,22,9,9,40
"Judge, Court of Criminal Appeals, Place 9",0830,0,0,0,2,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0831,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0832,34,28,62,352,17.61%,20,11,1,32
"Judge, Court of Criminal Appeals, Place 9",0833,0,1,1,20,5.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0834,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0835,38,19,57,290,19.66%,13,8,11,32
"Judge, Court of Criminal Appeals, Place 9",0836,3,0,3,19,15.79%,1,1,1,3
"Judge, Court of Criminal Appeals, Place 9",0837,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0838,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0839,136,118,254,1128,22.52%,58,51,32,141
"Judge, Court of Criminal Appeals, Place 9",0840,381,174,555,1705,32.55%,213,57,38,308
"Judge, Court of Criminal Appeals, Place 9",0841,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0842,421,434,855,3259,26.24%,446,108,65,619
"Judge, Court of Criminal Appeals, Place 9",0843,0,1,1,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0844,1,0,1,11,9.09%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0845,54,9,63,134,47.01%,40,2,2,44
"Judge, Court of Criminal Appeals, Place 9",0846,23,24,47,229,20.52%,6,7,4,17
"Judge, Court of Criminal Appeals, Place 9",0847,306,211,517,2015,25.66%,164,78,43,285
"Judge, Court of Criminal Appeals, Place 9",0848,489,266,755,1856,40.68%,268,90,79,437
"Judge, Court of Criminal Appeals, Place 9",0849,201,291,492,2124,23.16%,212,53,42,307
"Judge, Court of Criminal Appeals, Place 9",0850,45,41,87,210,41.43%,35,3,12,50
"Judge, Court of Criminal Appeals, Place 9",0851,1029,657,1686,4709,35.80%,1160,156,83,1399
"Judge, Court of Criminal Appeals, Place 9",0852,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0853,575,620,1296,2882,44.97%,1027,55,59,1141
"Judge, Court of Criminal Appeals, Place 9",0854,15,26,41,172,23.84%,9,6,0,15
"Judge, Court of Criminal Appeals, Place 9",0855,5,9,14,16,87.50%,4,0,2,6
"Judge, Court of Criminal Appeals, Place 9",0856,0,1,1,0,0.00%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 9",0857,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0858,63,34,97,343,28.28%,4,9,2,15
"Judge, Court of Criminal Appeals, Place 9",0859,157,106,263,890,29.55%,72,39,20,131
"Judge, Court of Criminal Appeals, Place 9",0860,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0861,315,199,514,1842,27.90%,113,57,38,208
"Judge, Court of Criminal Appeals, Place 9",0862,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0863,101,54,155,584,26.54%,11,12,3,26
"Judge, Court of Criminal Appeals, Place 9",0864,193,299,492,2569,19.15%,169,35,40,244
"Judge, Court of Criminal Appeals, Place 9",0865,2,3,5,21,23.81%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0866,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0867,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0868,236,271,507,2326,21.80%,188,37,45,270
"Judge, Court of Criminal Appeals, Place 9",0869,53,39,92,470,19.57%,27,7,10,44
"Judge, Court of Criminal Appeals, Place 9",0870,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0871,1,0,1,3,33.33%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 9",0872,5,3,8,59,13.56%,4,1,0,5
"Judge, Court of Criminal Appeals, Place 9",0873,98,75,173,737,23.4,7%,56,26,15,97
"Judge, Court of Criminal Appeals, Place 9",0874,764,707,1471,3223,45.64%,1141,93,67,1301
"Judge, Court of Criminal Appeals, Place 9",0875,905,527,1432,5147,27.82%,753,182,105,1040
"Judge, Court of Criminal Appeals, Place 9",0876,698,641,1339,3265,41.01%,1061,84,53,1198
"Judge, Court of Criminal Appeals, Place 9",0877,476,382,858,3032,28.30%,393,132,77,602
"Judge, Court of Criminal Appeals, Place 9",0878,428,354,782,1666,46.94%,664,41,24,729
"Judge, Court of Criminal Appeals, Place 9",0879,407,294,701,2667,26.28%,381,78,56,515
"Judge, Court of Criminal Appeals, Place 9",0880,543,447,990,2352,42.09%,826,38,27,891
"Judge, Court of Criminal Appeals, Place 9",0881,596,540,1136,4479,25.36%,438,152,120,710
"Judge, Court of Criminal Appeals, Place 9",0882,426,291,717,2422,29.60%,458,70,33,561
"Judge, Court of Criminal Appeals, Place 9",0883,643,702,1345,5408,24.87%,320,219,122,661
"Judge, Court of Criminal Appeals, Place 9",0884,57,25,82,377,21.75%,9,5,10,24
"Judge, Court of Criminal Appeals, Place 9",0885,562,368,930,2619,35.51%,573,89,45,707
"Judge, Court of Criminal Appeals, Place 9",0886,128,108,236,675,34.96%,141,33,19,193
"Judge, Court of Criminal Appeals, Place 9",0887,51,67,118,418,28.23%,57,21,17,95
"Judge, Court of Criminal Appeals, Place 9",0888,0,3,3,0,0.00%,2,0,1,3
"Judge, Court of Criminal Appeals, Place 9",0889,14,0,14,57,24.56%,5,3,2,10
"Judge, Court of Criminal Appeals, Place 9",0890,164,103,267,1095,24.38%,97,40,48,185
"Judge, Court of Criminal Appeals, Place 9",0891,319,243,562,1331,42.22%,235,59,77,371
"Judge, Court of Criminal Appeals, Place 9",0892,115,86,201,808,24.88%,72,47,27,146
"Judge, Court of Criminal Appeals, Place 9",0893,0,2,2,6,33.33%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0894,0,3,3,0,0.00%,3,0,0,3
"Judge, Court of Criminal Appeals, Place 9",0895,156,286,442,793,55.74%,204,41,90,335
"Judge, Court of Criminal Appeals, Place 9",0896,370,297,667,1459,45.72%,282,70,129,481
"Judge, Court of Criminal Appeals, Place 9",0897,253,297,550,1701,32.33%,335,61,37,433
"Judge, Court of Criminal Appeals, Place 9",0898,0,0,0,3,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0899,2,0,2,8,25.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0900,0,2,2,10,20.00%,1,0,1,2
"Judge, Court of Criminal Appeals, Place 9",0901,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0902,396,486,882,2139,41.23%,515,105,106,726
"Judge, Court of Criminal Appeals, Place 9",0903,3,7,10,50,20.00%,3,0,4,7
"Judge, Court of Criminal Appeals, Place 9",0904,1,0,1,7,14.29%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",0905,123,100,223,904,24.67%,122,15,11,148
"Judge, Court of Criminal Appeals, Place 9",0906,8,6,14,25,56.00%,9,0,2,11
"Judge, Court of Criminal Appeals, Place 9",0907,12,19,31,181,17.13%,7,4,3,14
"Judge, Court of Criminal Appeals, Place 9",0908,0,1,1,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",0909,2,1,3,18,16.67%,1,0,1,2
"Judge, Court of Criminal Appeals, Place 9",0910,25,24,49,217,22.58%,20,6,6,32
"Judge, Court of Criminal Appeals, Place 9",0911,118,60,178,551,32.30%,125,13,10,148
"Judge, Court of Criminal Appeals, Place 9",0912,316,201,517,1273,40.61%,353,34,32,419
"Judge, Court of Criminal Appeals, Place 9",0913,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0914,169,179,348,701,49.64%,287,21,12,320
"Judge, Court of Criminal Appeals, Place 9",0915,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0916,417,240,657,1491,44.06%,527,45,25,597
"Judge, Court of Criminal Appeals, Place 9",0917,177,62,239,483,49.48%,164,21,15,200
"Judge, Court of Criminal Appeals, Place 9",0918,304,168,472,883,53.45%,373,17,26,416
"Judge, Court of Criminal Appeals, Place 9",0919,0,0,0,3,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0920,22,12,34,71,47.89%,23,6,1,30
"Judge, Court of Criminal Appeals, Place 9",0921,32,15,47,119,39.50%,35,4,2,41
"Judge, Court of Criminal Appeals, Place 9",0922,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0923,470,137,607,1511,40.17%,476,29,19,524
"Judge, Court of Criminal Appeals, Place 9",0924,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0925,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0926,171,128,299,796,37.56%,236,16,13,265
"Judge, Court of Criminal Appeals, Place 9",0927,44,30,74,270,27.41%,34,10,6,50
"Judge, Court of Criminal Appeals, Place 9",0928,3,0,3,8,37.50%,0,2,0,2
"Judge, Court of Criminal Appeals, Place 9",0929,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0930,109,54,163,584,27.91%,11,20,11,42
"Judge, Court of Criminal Appeals, Place 9",0931,30,40,70,130,53.85%,38,8,6,52
"Judge, Court of Criminal Appeals, Place 9",0932,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0933,115,85,200,627,31.90%,61,33,31,125
"Judge, Court of Criminal Appeals, Place 9",0934,2,0,2,63,3.17%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",0935,3,2,5,54,9.26%,2,0,2,4
"Judge, Court of Criminal Appeals, Place 9",0936,8,2,10,81,12.35%,5,0,1,6
"Judge, Court of Criminal Appeals, Place 9",0937,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0938,30,14,44,231,19.05%,16,4,2,22
"Judge, Court of Criminal Appeals, Place 9",0939,0,0,0,2,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0940,0,0,0,10,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0941,9,10,19,25,76.00%,18,1,0,19
"Judge, Court of Criminal Appeals, Place 9",0942,53,27,80,156,51.28%,68,4,2,74
"Judge, Court of Criminal Appeals, Place 9",0943,166,80,246,547,44.97%,178,13,11,202
"Judge, Court of Criminal Appeals, Place 9",0944,20,4,24,45,53.33%,20,0,0,20
"Judge, Court of Criminal Appeals, Place 9",0945,1,2,3,17,17.65%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",0946,0,1,1,13,7.69%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0947,177,246,423,799,52.94%,230,50,53,333
"Judge, Court of Criminal Appeals, Place 9",0948,0,14,14,1,1400.00%,9,1,0,10
"Judge, Court of Criminal Appeals, Place 9",0949,34,27,61,193,31.61%,36,2,10,48
"Judge, Court of Criminal Appeals, Place 9",0950,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0951,33,30,63,277,22.74%,17,7,10,34
"Judge, Court of Criminal Appeals, Place 9",0952,18,15,33,71,46.48%,17,6,4,27
"Judge, Court of Criminal Appeals, Place 9",0953,18,9,27,275,9.82%,5,4,4,13
"Judge, Court of Criminal Appeals, Place 9",0954,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0955,3,2,5,19,26.32%,4,0,1,5
"Judge, Court of Criminal Appeals, Place 9",0956,2,4,6,11,54.55%,3,1,2,6
"Judge, Court of Criminal Appeals, Place 9",0957,97,95,192,562,34.16%,35,40,11,86
"Judge, Court of Criminal Appeals, Place 9",0958,81,129,210,1081,19.43%,60,28,12,100
"Judge, Court of Criminal Appeals, Place 9",0959,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0960,195,157,353,976,36.1,7%,90,64,36,190
"Judge, Court of Criminal Appeals, Place 9",0961,15,0,16,56,28.57%,1,3,0,4
"Judge, Court of Criminal Appeals, Place 9",0962,10,17,27,88,30.68%,3,4,12,19
"Judge, Court of Criminal Appeals, Place 9",0963,64,41,105,426,24.65%,58,13,7,78
"Judge, Court of Criminal Appeals, Place 9",0964,568,437,1005,2372,42.37%,652,88,67,807
"Judge, Court of Criminal Appeals, Place 9",0965,31,21,52,343,15.16%,31,4,3,38
"Judge, Court of Criminal Appeals, Place 9",0966,129,83,212,1148,18.47%,81,30,23,134
"Judge, Court of Criminal Appeals, Place 9",0967,15,48,63,165,38.18%,23,12,3,38
"Judge, Court of Criminal Appeals, Place 9",0968,119,30,149,692,21.53%,41,26,14,81
"Judge, Court of Criminal Appeals, Place 9",0969,156,73,229,604,37.91%,4,26,18,48
"Judge, Court of Criminal Appeals, Place 9",0970,83,36,119,731,16.28%,21,12,10,43
"Judge, Court of Criminal Appeals, Place 9",0971,11,8,19,147,12.93%,3,3,1,7
"Judge, Court of Criminal Appeals, Place 9",0972,5,8,14,31,45.16%,14,0,0,14
"Judge, Court of Criminal Appeals, Place 9",0973,24,19,43,111,38.74%,21,1,10,32
"Judge, Court of Criminal Appeals, Place 9",0974,57,36,93,299,31.10%,67,5,12,84
"Judge, Court of Criminal Appeals, Place 9",0975,55,30,85,193,44.04%,45,7,13,65
"Judge, Court of Criminal Appeals, Place 9",0976,58,62,130,683,19.03%,89,14,5,108
"Judge, Court of Criminal Appeals, Place 9",0977,50,43,93,572,16.26%,42,16,5,63
"Judge, Court of Criminal Appeals, Place 9",0978,77,79,156,546,28.57%,34,19,13,66
"Judge, Court of Criminal Appeals, Place 9",0979,2,6,8,27,29.63%,3,1,2,6
"Judge, Court of Criminal Appeals, Place 9",0980,280,321,601,1389,43.27%,470,23,24,517
"Judge, Court of Criminal Appeals, Place 9",0981,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0982,312,312,624,1567,39.82%,522,30,14,566
"Judge, Court of Criminal Appeals, Place 9",0983,12,21,33,161,20.50%,21,7,1,29
"Judge, Court of Criminal Appeals, Place 9",0984,18,9,27,192,14.06%,6,2,3,11
"Judge, Court of Criminal Appeals, Place 9",0985,117,63,180,351,51.28%,102,14,24,140
"Judge, Court of Criminal Appeals, Place 9",0986,43,30,73,463,15.77%,13,8,6,27
"Judge, Court of Criminal Appeals, Place 9",0987,231,90,321,1155,27.79%,37,40,17,94
"Judge, Court of Criminal Appeals, Place 9",0988,24,12,36,123,29.27%,34,0,1,35
"Judge, Court of Criminal Appeals, Place 9",0989,5,6,12,43,27.91%,8,1,2,11
"Judge, Court of Criminal Appeals, Place 9",0990,16,1,17,140,12.14%,9,1,0,10
"Judge, Court of Criminal Appeals, Place 9",0991,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",0992,157,107,264,1048,25.19%,146,30,17,193
"Judge, Court of Criminal Appeals, Place 9",0993,169,101,270,568,47.54%,220,15,10,245
"Judge, Court of Criminal Appeals, Place 9",09946,5,11,25,44.00%,2,1,3,6
"Judge, Court of Criminal Appeals, Place 9",0995,296,156,452,1393,32.45%,44,50,35,129
"Judge, Court of Criminal Appeals, Place 9",0996,136,140,276,694,39.77%,168,18,14,200
"Judge, Court of Criminal Appeals, Place 9",0997,101,163,264,1656,15.94%,74,47,26,147
"Judge, Court of Criminal Appeals, Place 9",0998,5,1,6,57,10.53%,3,0,0,3
"Judge, Court of Criminal Appeals, Place 9",0999,17,10,27,68,39.71%,24,0,0,24
"Judge, Court of Criminal Appeals, Place 9",1000,42,6,48,405,11.85%,14,7,5,26
"Judge, Court of Criminal Appeals, Place 9",1001,228,136,364,1565,23.26%,106,51,32,189
"Judge, Court of Criminal Appeals, Place 9",1002,170,139,309,1744,17.72%,64,46,33,143
"Judge, Court of Criminal Appeals, Place 9",1003,1,0,1,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",1004,111,139,250,654,38.23%,131,29,26,186
"Judge, Court of Criminal Appeals, Place 9",1005,0,8,8,0,0.00%,5,3,0,8
"Judge, Court of Criminal Appeals, Place 9",1006,1,0,1,5,20.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",1007,208,188,396,1547,25.60%,113,49,34,196
"Judge, Court of Criminal Appeals, Place 9",1008,32,12,44,151,29.14%,38,2,0,40
"Judge, Court of Criminal Appeals, Place 9",1009,0,0,0,9,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1010,59,35,94,459,20.48%,19,21,12,52
"Judge, Court of Criminal Appeals, Place 9",1011,8,1,9,26,34.62%,4,2,0,6
"Judge, Court of Criminal Appeals, Place 9",1012,134,201,335,1365,24.54%,117,35,10,162
"Judge, Court of Criminal Appeals, Place 9",1013,0,6,6,58,10.34%,4,0,0,4
"Judge, Court of Criminal Appeals, Place 9",1014,4,6,10,31,32.26%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 9",1015,5,4,9,25,36.00%,2,3,0,5
"Judge, Court of Criminal Appeals, Place 9",1016,252,212,464,1691,27.44%,252,57,48,357
"Judge, Court of Criminal Appeals, Place 9",1017,61,44,105,330,31.82%,33,19,11,63
"Judge, Court of Criminal Appeals, Place 9",1018,93,64,157,494,31.78%,80,17,13,110
"Judge, Court of Criminal Appeals, Place 9",1019,130,107,237,1456,16.28%,16,33,23,72
"Judge, Court of Criminal Appeals, Place 9",1020,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1021,0,0,0,2,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1022,97,79,176,441,39.91%,136,12,5,153
"Judge, Court of Criminal Appeals, Place 9",1023,430,315,745,2026,36.77%,550,48,50,648
"Judge, Court of Criminal Appeals, Place 9",1024,55,61,116,249,46.59%,70,14,13,97
"Judge, Court of Criminal Appeals, Place 9",1025,0,1,1,14,7.14%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",1026,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1027,1,0,1,8,12.50%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",1028,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1029,538,719,1257,2927,42.94%,1023,57,59,1139
"Judge, Court of Criminal Appeals, Place 9",1030,231,151,382,785,48.66%,339,14,10,363
"Judge, Court of Criminal Appeals, Place 9",1031,59,71,130,792,16.41%,37,20,6,63
"Judge, Court of Criminal Appeals, Place 9",1032,31,25,56,244,22.95%,37,6,3,46
"Judge, Court of Criminal Appeals, Place 9",1033,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1034,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1035,2,4,6,138,4.35%,2,2,0,4
"Judge, Court of Criminal Appeals, Place 9",1036,65,24,89,449,19.82%,75,4,3,82
"Judge, Court of Criminal Appeals, Place 9",1037,19,11,30,76,39.47%,17,5,1,23
"Judge, Court of Criminal Appeals, Place 9",1038,62,6,68,327,20.80%,10,7,3,20
"Judge, Court of Criminal Appeals, Place 9",1039,2,0,2,25,8.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 9",1040,91,66,157,771,20.36%,77,32,17,126
"Judge, Court of Criminal Appeals, Place 9",1041,0,2,2,0,0.00%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 9",1042,105,67,172,521,33.01%,57,24,18,99
"Judge, Court of Criminal Appeals, Place 9",1043,5,6,12,33,36.36%,4,0,0,4
"Judge, Court of Criminal Appeals, Place 9",1044,16,6,22,55,40.00%,8,1,2,11
"Judge, Court of Criminal Appeals, Place 9",1045,197,173,370,1788,20.69%,70,49,29,148
"Judge, Court of Criminal Appeals, Place 9",1046,11,5,16,62,25.81%,1,2,0,3
