Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Boyd,DEM Gina Benavides,LIB Don Fulton,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 7",0070,882,664,1546,3337,46.33%,843,590,39,10,1482
"Justice, Supreme Court, Place 7",0071,602,722,1324,4197,31.55%,586,624,62,12,1284
"Justice, Supreme Court, Place 7",0072,220,293,513,1924,26.66%,148,330,10,5,493
"Justice, Supreme Court, Place 7",0073,252,414,666,1555,42.83%,341,254,18,11,624
"Justice, Supreme Court, Place 7",0074,1153,782,1935,3583,54.01%,1490,360,20,6,1876
"Justice, Supreme Court, Place 7",0075,254,280,534,1444,36.98%,188,299,18,6,511
"Justice, Supreme Court, Place 7",0076,373,374,747,2362,31.63%,427,291,8,4,730
"Justice, Supreme Court, Place 7",0077,43,46,89,566,15.72%,20,67,2,0,89
"Justice, Supreme Court, Place 7",0078,181,201,382,1522,25.10%,125,230,8,5,368
"Justice, Supreme Court, Place 7",0079,205,306,511,2927,17.46%,108,369,7,3,487
"Justice, Supreme Court, Place 7",0080,501,351,852,2725,31.27%,204,598,6,7,815
"Justice, Supreme Court, Place 7",0081,183,187,370,1835,20.16%,138,205,5,6,354
"Justice, Supreme Court, Place 7",0082,639,671,1310,3368,38.90%,949,287,41,7,1284
"Justice, Supreme Court, Place 7",0083,1298,888,2186,6625,33.00%,1043,1044,39,6,2132
"Justice, Supreme Court, Place 7",0084,208,218,426,1373,31.03%,307,92,10,3,412
"Justice, Supreme Court, Place 7",0085,271,248,519,2173,23.88%,18,485,4,4,511
"Justice, Supreme Court, Place 7",0086,448,568,1016,2910,34.91%,416,521,36,4,977
"Justice, Supreme Court, Place 7",0087,574,787,1461,2818,51.85%,855,514,24,7,1400
"Justice, Supreme Court, Place 7",0088,123,118,241,693,34.78%,155,69,3,3,230
"Justice, Supreme Court, Place 7",0089,165,371,536,1094,48.99%,274,218,12,3,507
"Justice, Supreme Court, Place 7",0090,845,790,1635,3700,44.19%,1129,406,43,9,1587
"Justice, Supreme Court, Place 7",0091,221,222,443,1505,29.44%,256,155,17,1,429
"Justice, Supreme Court, Place 7",0092,695,462,1157,2242,51.61%,740,348,26,6,1120
"Justice, Supreme Court, Place 7",0093,381,301,582,3356,20.32%,258,381,13,3,655
"Justice, Supreme Court, Place 7",0094,51,43,94,549,17.12%,26,62,1,3,92
"Justice, Supreme Court, Place 7",0095,917,576,1493,3177,46.99%,1046,361,29,9,1445
"Justice, Supreme Court, Place 7",0096,83,83,166,1296,12.81%,21,142,0,2,165
"Justice, Supreme Court, Place 7",0097,1024,725,1749,4828,36.23%,1283,389,31,6,1709
"Justice, Supreme Court, Place 7",0098,403,488,891,2651,33.61%,720,116,25,7,868
"Justice, Supreme Court, Place 7",0099,254,184,438,2092,20.94%,208,210,8,7,433
"Justice, Supreme Court, Place 7",0100,165,173,338,1730,19.54%,177,144,9,2,332
"Justice, Supreme Court, Place 7",0101,72,58,130,946,13.74%,45,77,3,2,127
"Justice, Supreme Court, Place 7",0102,207,121,328,1872,17.52%,82,230,5,2,319
"Justice, Supreme Court, Place 7",0103,700,714,1414,5371,26.33%,791,565,26,6,1388
"Justice, Supreme Court, Place 7",0104,530,231,761,1905,39.95%,18,725,7,2,752
"Justice, Supreme Court, Place 7",0105,196,210,406,2165,18.75%,124,247,6,3,380
"Justice, Supreme Court, Place 7",0106,18,7,25,294,8.50%,16,9,0,0,25
"Justice, Supreme Court, Place 7",0107,154,197,351,2032,17.27%,57,275,3,4,339
"Justice, Supreme Court, Place 7",0108,558,272,940,3365,27.93%,561,337,13,3,914
"Justice, Supreme Court, Place 7",0109,530,245,775,2824,27.44%,10,747,4,5,766
"Justice, Supreme Court, Place 7",0110,854,494,1148,3042,37.74%,730,366,19,2,1117
"Justice, Supreme Court, Place 7",0111,816,795,1611,4102,39.27%,1159,372,35,4,1570
"Justice, Supreme Court, Place 7",0112,542,485,1027,2976,34.51%,741,233,30,2,1006
"Justice, Supreme Court, Place 7",0113,562,429,991,2647,37.44%,584,342,18,9,953
"Justice, Supreme Court, Place 7",0114,707,547,1254,3311,37.87%,1008,200,23,4,1235
"Justice, Supreme Court, Place 7",0115,238,150,388,1800,21.56%,50,322,3,5,380
"Justice, Supreme Court, Place 7",0116,982,776,1758,3147,55.86%,1306,356,31,3,1696
"Justice, Supreme Court, Place 7",0117,216,226,442,1880,23.51%,210,203,9,5,427
"Justice, Supreme Court, Place 7",0118,304,123,427,759,56.26%,347,62,8,0,417
"Justice, Supreme Court, Place 7",0119,1290,1024,2314,5500,42.07%,1844,353,52,9,2258
"Justice, Supreme Court, Place 7",0120,713,422,1135,3191,35.57%,714,354,24,6,1098
"Justice, Supreme Court, Place 7",0121,92,178,270,848,31.84%,188,66,6,3,263
"Justice, Supreme Court, Place 7",0122,352,225,577,1890,30.53%,20,531,7,4,562
"Justice, Supreme Court, Place 7",0123,285,288,573,1392,41.16%,134,389,13,12,548
"Justice, Supreme Court, Place 7",0124,1734,1292,3026,7254,41.71%,2362,552,53,5,2972
"Justice, Supreme Court, Place 7",0125,415,332,747,2405,31.06%,441,266,19,7,733
"Justice, Supreme Court, Place 7",0126,893,467,1360,3100,43.87%,1191,123,19,7,1340
"Justice, Supreme Court, Place 7",0127,435,154,589,1836,32.08%,406,138,16,4,564
"Justice, Supreme Court, Place 7",0128,445,707,1152,2290,50.31%,676,386,20,3,1085
"Justice, Supreme Court, Place 7",0129,1031,1200,2231,5746,38.83%,1344,751,49,17,2161
"Justice, Supreme Court, Place 7",0130,727,523,1250,2333,53.58%,900,296,12,3,1211
"Justice, Supreme Court, Place 7",0131,251,259,510,1935,26.36%,116,369,4,5,494
"Justice, Supreme Court, Place 7",0132,593,323,916,2387,38.37%,19,870,7,3,899
"Justice, Supreme Court, Place 7",0133,514,858,1372,2662,51.54%,752,533,27,4,1316
"Justice, Supreme Court, Place 7",0134,192,265,457,1437,31.80%,205,230,9,4,448
"Justice, Supreme Court, Place 7",0135,730,579,1309,2671,49.01%,859,379,25,1,1264
"Justice, Supreme Court, Place 7",0136,503,371,874,2013,43.42%,35,804,10,7,856
"Justice, Supreme Court, Place 7",0137,166,141,307,716,42.88%,139,138,11,5,293
"Justice, Supreme Court, Place 7",0138,296,199,495,1699,29.13%,13,469,2,2,486
"Justice, Supreme Court, Place 7",0139,700,551,1251,3037,41.19%,507,648,29,11,1195
"Justice, Supreme Court, Place 7",0140,701,480,1181,3214,36.75%,129,1000,16,11,1156
"Justice, Supreme Court, Place 7",0141,80,80,160,855,18.71%,95,56,1,1,153
"Justice, Supreme Court, Place 7",0142,87,103,190,902,21.06%,61,114,3,1,179
"Justice, Supreme Court, Place 7",0143,1962,580,2542,6386,39.81%,1789,673,37,4,2503
"Justice, Supreme Court, Place 7",0144,216,158,374,1093,34.22%,7,353,5,1,366
"Justice, Supreme Court, Place 7",0145,264,213,477,1538,31.01%,10,452,1,0,463
"Justice, Supreme Court, Place 7",0146,426,519,945,2008,47.06%,384,487,20,17,908
"Justice, Supreme Court, Place 7",0147,689,329,1018,3008,33.84%,128,856,9,1,994
"Justice, Supreme Court, Place 7",0148,500,780,1280,2540,50.39%,443,741,28,9,1221
"Justice, Supreme Court, Place 7",0149,1621,737,2358,7993,29.50%,1185,1069,48,10,2312
"Justice, Supreme Court, Place 7",0150,236,169,405,1256,32.25%,11,385,2,1,399
"Justice, Supreme Court, Place 7",0151,137,79,216,826,26.15%,11,194,2,1,208
"Justice, Supreme Court, Place 7",0152,214,299,513,2788,18.40%,123,357,8,8,496
"Justice, Supreme Court, Place 7",0153,125,206,331,1808,18.31%,98,213,6,3,320
"Justice, Supreme Court, Place 7",0154,249,183,432,2190,19.73%,94,308,8,8,418
"Justice, Supreme Court, Place 7",0155,1022,619,1641,4109,39.94%,1122,452,15,10,1599
"Justice, Supreme Court, Place 7",0156,800,326,1126,3071,36.67%,38,1048,10,8,1104
"Justice, Supreme Court, Place 7",0157,448,214,662,2236,29.61%,25,620,4,1,650
"Justice, Supreme Court, Place 7",0158,600,315,915,3035,30.15%,19,869,5,6,899
"Justice, Supreme Court, Place 7",0159,116,127,243,998,24.35%,33,197,6,2,238
"Justice, Supreme Court, Place 7",0160,122,73,195,696,28.02%,5,187,0,1,193
"Justice, Supreme Court, Place 7",0161,163,141,304,991,30.68%,4,292,3,1,300
"Justice, Supreme Court, Place 7",0162,101,83,184,1265,14.55%,70,99,2,1,172
"Justice, Supreme Court, Place 7",0163,230,320,550,3037,18.11%,230,289,5,5,529
"Justice, Supreme Court, Place 7",0164,182,205,387,1420,27.25%,12,366,1,1,380
"Justice, Supreme Court, Place 7",0165,535,483,1018,2334,43.62%,643,306,24,11,984
"Justice, Supreme Court, Place 7",0166,158,233,391,1028,38.04%,107,246,16,7,376
"Justice, Supreme Court, Place 7",0167,3,0,3,24,12.50%,1,2,0,0,3
"Justice, Supreme Court, Place 7",0168,92,58,150,503,29.82%,3,142,2,0,147
"Justice, Supreme Court, Place 7",0169,518,251,767,2513,30.52%,17,729,4,3,753
"Justice, Supreme Court, Place 7",0170,271,141,412,1869,22.04%,206,182,9,2,399
"Justice, Supreme Court, Place 7",0171,202,198,400,1604,24.94%,8,381,2,1,392
"Justice, Supreme Court, Place 7",0172,88,80,166,621,26.73%,62,91,0,5,158
"Justice, Supreme Court, Place 7",0173,819,739,1558,3599,43.29%,1225,258,37,6,1526
"Justice, Supreme Court, Place 7",0174,830,733,1563,3296,47.42%,1028,441,29,5,1503
"Justice, Supreme Court, Place 7",0175,580,749,1309,2618,50.00%,619,599,23,9,1250
"Justice, Supreme Court, Place 7",0176,344,451,795,1602,49.63%,389,337,12,6,744
"Justice, Supreme Court, Place 7",0177,278,326,604,1496,40.37%,326,237,11,4,578
"Justice, Supreme Court, Place 7",0178,504,365,869,1765,49.24%,560,250,24,1,835
"Justice, Supreme Court, Place 7",0179,256,188,444,1575,28.19%,226,177,12,10,425
"Justice, Supreme Court, Place 7",0180,470,343,813,2834,28.69%,18,757,6,5,786
"Justice, Supreme Court, Place 7",0181,175,262,437,2061,21.20%,127,279,8,4,418
"Justice, Supreme Court, Place 7",0182,590,974,1564,3405,45.93%,913,525,21,10,1469
"Justice, Supreme Court, Place 7",0183,520,794,1314,2491,52.75%,815,424,19,5,1263
"Justice, Supreme Court, Place 7",0184,106,135,241,994,24.25%,76,137,7,3,223
"Justice, Supreme Court, Place 7",0185,283,292,575,1933,29.75%,198,350,3,4,555
"Justice, Supreme Court, Place 7",0186,97,106,203,798,25.44%,25,170,2,0,197
"Justice, Supreme Court, Place 7",0187,21,25,46,311,14.79%,13,31,0,1,45
"Justice, Supreme Court, Place 7",0188,153,146,299,1637,18.27%,129,146,10,4,289
"Justice, Supreme Court, Place 7",0189,239,360,599,1465,40.89%,301,239,21,8,569
