Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Boyd,DEM Gina Benavides,LIB Don Fulton,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 7",0305,524,432,956,4191,22.81%,394,512,21,10,937
"Justice, Supreme Court, Place 7",0306,550,342,992,1879,52.79%,699,246,17,2,964
"Justice, Supreme Court, Place 7",0307,733,670,1403,3099,45.27%,912,382,48,12,1354
"Justice, Supreme Court, Place 7",0308,199,130,329,1296,25.39%,100,212,6,3,321
"Justice, Supreme Court, Place 7",0309,708,593,1301,2524,51.55%,1020,214,15,4,1253
"Justice, Supreme Court, Place 7",0310,386,279,665,1435,46.34%,437,184,6,6,633
"Justice, Supreme Court, Place 7",0311,485,421,907,2986,30.38%,466,366,12,9,853
"Justice, Supreme Court, Place 7",0312,742,457,1199,3636,32.98%,743,397,20,6,1166
"Justice, Supreme Court, Place 7",0313,9,0,9,62,14.52%,7,2,0,0,9
"Justice, Supreme Court, Place 7",0314,1121,913,2034,5647,36.02%,1249,696,42,11,1998
"Justice, Supreme Court, Place 7",0315,478,388,866,1608,53.86%,484,317,21,9,831
"Justice, Supreme Court, Place 7",0316,412,341,753,1537,48.99%,367,326,13,12,718
"Justice, Supreme Court, Place 7",0317,250,209,459,1588,28.90%,144,286,11,5,446
"Justice, Supreme Court, Place 7",0318,834,568,1402,3660,38.31%,63,1295,5,4,1367
"Justice, Supreme Court, Place 7",0319,512,230,742,2158,34.38%,43,675,1,6,725
"Justice, Supreme Court, Place 7",0320,234,168,402,1537,26.15%,197,187,4,1,389
"Justice, Supreme Court, Place 7",0321,262,191,453,2346,19.31%,157,266,7,10,440
"Justice, Supreme Court, Place 7",0322,182,129,311,1226,25.37%,91,199,9,5,304
"Justice, Supreme Court, Place 7",0323,278,211,489,1722,28.40%,223,230,10,5,468
"Justice, Supreme Court, Place 7",0324,532,545,1178,2336,50.43%,692,393,25,6,1116
"Justice, Supreme Court, Place 7",0325,289,193,482,2112,22.82%,97,355,7,8,467
"Justice, Supreme Court, Place 7",0326,87,74,161,698,23.07%,72,76,4,1,153
"Justice, Supreme Court, Place 7",0327,380,129,509,1729,29.44%,12,482,5,1,500
"Justice, Supreme Court, Place 7",0328,151,140,291,1434,20.29%,115,158,5,5,283
"Justice, Supreme Court, Place 7",0329,191,184,375,1397,26.84%,129,224,10,3,366
"Justice, Supreme Court, Place 7",0330,334,253,587,1936,30.32%,314,226,12,4,556
"Justice, Supreme Court, Place 7",0331,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0332,18,7,25,138,18.12%,12,10,0,0,22
"Justice, Supreme Court, Place 7",0333,524,714,1238,3021,40.98%,840,310,40,11,1201
"Justice, Supreme Court, Place 7",0334,83,42,125,742,16.85%,20,99,3,0,122
"Justice, Supreme Court, Place 7",0335,121,98,219,1300,16.85%,82,120,8,1,211
"Justice, Supreme Court, Place 7",0336,870,624,1494,4051,36.88%,133,1307,20,9,1489
"Justice, Supreme Court, Place 7",0337,124,103,227,1029,22.06%,40,172,1,1,214
"Justice, Supreme Court, Place 7",0338,731,391,1122,4934,22.74%,377,657,16,8,1058
"Justice, Supreme Court, Place 7",0339,202,222,424,1757,24.13%,79,308,10,9,406
"Justice, Supreme Court, Place 7",0340,1038,594,1832,3765,43.35%,1190,339,38,17,1584
"Justice, Supreme Court, Place 7",0341,91,167,258,1290,20.00%,76,173,2,1,252
"Justice, Supreme Court, Place 7",0342,875,605,1280,6526,19.61%,197,1040,10,11,1258
"Justice, Supreme Court, Place 7",0343,189,271,460,1964,23.42%,117,311,4,3,435
"Justice, Supreme Court, Place 7",0344,154,172,326,1160,28.10%,11,296,4,2,313
"Justice, Supreme Court, Place 7",0345,158,165,321,1804,17.79%,93,205,5,6,309
"Justice, Supreme Court, Place 7",0346,0,1,1,3,33.33%,1,0,0,0,1
"Justice, Supreme Court, Place 7",0347,592,436,1028,3387,30.35%,671,305,19,7,1002
"Justice, Supreme Court, Place 7",0348,438,208,646,1708,37.82%,495,116,11,5,627
"Justice, Supreme Court, Place 7",0349,188,267,455,1349,33.73%,273,143,19,6,441
"Justice, Supreme Court, Place 7",0350,525,526,1051,2909,36.13%,393,569,30,11,1003
"Justice, Supreme Court, Place 7",0351,1491,710,2201,4712,46.71%,1708,399,39,8,2154
"Justice, Supreme Court, Place 7",0352,520,339,859,3205,26.80%,622,197,20,1,840
"Justice, Supreme Court, Place 7",0353,885,451,1116,3862,28.90%,195,883,10,6,1094
"Justice, Supreme Court, Place 7",0354,715,338,1053,3388,31.08%,260,754,12,4,1030
"Justice, Supreme Court, Place 7",0355,301,264,565,1560,36.22%,47,502,4,1,554
"Justice, Supreme Court, Place 7",0356,594,538,1132,2972,38.09%,704,353,22,9,1088
"Justice, Supreme Court, Place 7",0357,837,575,1412,3517,40.15%,1008,334,27,8,1377
"Justice, Supreme Court, Place 7",0358,213,254,487,2492,18.74%,52,392,8,3,455
"Justice, Supreme Court, Place 7",0359,235,224,459,3061,15.00%,56,388,3,2,449
"Justice, Supreme Court, Place 7",0360,524,380,904,2146,42.12%,453,375,17,5,850
"Justice, Supreme Court, Place 7",0361,41,295,338,1673,20.08%,44,245,16,7,312
"Justice, Supreme Court, Place 7",0362,1138,887,2025,5086,39.82%,1449,455,42,12,1958
"Justice, Supreme Court, Place 7",0363,820,412,1032,3677,28.07%,456,539,12,8,1015
"Justice, Supreme Court, Place 7",0364,489,405,894,2658,33.63%,502,336,21,5,864
"Justice, Supreme Court, Place 7",0365,478,231,709,1305,54.33%,52,633,8,1,694
"Justice, Supreme Court, Place 7",0366,252,270,522,2454,21.27%,127,369,6,5,507
"Justice, Supreme Court, Place 7",0367,170,138,308,1130,27.26%,62,229,8,4,303
"Justice, Supreme Court, Place 7",0368,178,88,266,958,27.77%,67,188,2,0,257
"Justice, Supreme Court, Place 7",0369,32,29,61,559,10.91%,15,42,1,2,60
"Justice, Supreme Court, Place 7",0370,1532,1105,2637,6593,40.00%,1964,553,50,6,2573
"Justice, Supreme Court, Place 7",0371,122,52,174,502,34.66%,4,165,1,1,171
"Justice, Supreme Court, Place 7",0372,221,170,391,1224,31.94%,53,323,1,4,381
"Justice, Supreme Court, Place 7",0373,21,12,33,157,21.02%,1,27,1,2,31
"Justice, Supreme Court, Place 7",0374,65,93,158,738,21.41%,49,104,1,2,156
"Justice, Supreme Court, Place 7",0375,254,220,474,2645,17.92%,238,204,5,4,451
"Justice, Supreme Court, Place 7",0376,278,205,483,1910,25.29%,213,244,7,1,465
"Justice, Supreme Court, Place 7",0377,525,583,1109,2920,37.98%,798,239,22,8,1067
"Justice, Supreme Court, Place 7",0378,232,354,586,1829,32.04%,348,194,29,3,574
"Justice, Supreme Court, Place 7",0379,432,289,721,2027,35.57%,76,622,2,4,704
"Justice, Supreme Court, Place 7",0380,1303,995,2298,5666,40.56%,1214,960,55,18,2247
"Justice, Supreme Court, Place 7",0381,412,248,660,2855,23.12%,307,315,10,6,638
"Justice, Supreme Court, Place 7",0382,132,157,289,922,31.34%,211,65,6,1,283
"Justice, Supreme Court, Place 7",0383,289,263,552,2173,25.40%,219,310,7,3,539
"Justice, Supreme Court, Place 7",0384,573,373,946,2657,35.60%,186,719,10,7,922
"Justice, Supreme Court, Place 7",0385,583,670,1253,2207,56.77%,923,259,16,7,1205
"Justice, Supreme Court, Place 7",0386,662,469,1131,2922,38.71%,824,260,15,3,1102
"Justice, Supreme Court, Place 7",0387,555,672,1227,3935,31.18%,872,293,26,6,1197
"Justice, Supreme Court, Place 7",0388,1432,1010,2442,6888,35.45%,1381,967,42,9,2399
"Justice, Supreme Court, Place 7",0389,91,208,299,1026,29.14%,40,225,10,5,280
"Justice, Supreme Court, Place 7",0390,355,263,619,1480,41.82%,71,517,8,3,599
"Justice, Supreme Court, Place 7",0391,508,260,768,1883,40.79%,465,255,14,9,743
"Justice, Supreme Court, Place 7",0392,387,155,542,1446,37.48%,8,523,0,4,535
"Justice, Supreme Court, Place 7",0393,165,185,350,1292,27.09%,162,169,10,2,343
"Justice, Supreme Court, Place 7",0394,69,73,142,834,17.03%,68,63,4,2,137
"Justice, Supreme Court, Place 7",0395,470,404,874,1846,47.35%,612,201,23,6,842
"Justice, Supreme Court, Place 7",0396,623,216,839,2082,40.30%,18,800,5,4,827
"Justice, Supreme Court, Place 7",0397,85,78,164,760,21,58%,80,77,0,3,160
"Justice, Supreme Court, Place 7",0398,615,521,1136,4022,28.24%,594,497,18,5,1114
"Justice, Supreme Court, Place 7",0399,404,366,770,2791,27.59%,410,324,14,6,754
"Justice, Supreme Court, Place 7",0400,520,359,979,2411,40.61%,694,221,24,5,944
"Justice, Supreme Court, Place 7",0401,330,205,535,1913,27.97%,18,494,7,5,524
"Justice, Supreme Court, Place 7",0402,466,266,732,1794,40.80%,39,671,5,4,719
"Justice, Supreme Court, Place 7",0403,475,498,973,1715,56.73%,514,391,15,2,922
"Justice, Supreme Court, Place 7",0404,419,330,749,2585,28.97%,425,286,12,6,729
"Justice, Supreme Court, Place 7",0405,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0406,137,67,204,628,32.48%,5,196,1,0,202
"Justice, Supreme Court, Place 7",0407,692,793,1485,3769,39.40%,962,425,29,13,1429
"Justice, Supreme Court, Place 7",0408,146,153,299,1691,17.68%,141,136,5,4,286
"Justice, Supreme Court, Place 7",0409,122,149,271,1459,18.57%,108,148,1,7,264
"Justice, Supreme Court, Place 7",0410,132,80,212,899,23.58%,45,159,2,0,206
"Justice, Supreme Court, Place 7",0411,235,200,435,2339,18.60%,155,261,5,3,424
"Justice, Supreme Court, Place 7",0412,74,44,118,468,25.21%,9,105,0,1,115
"Justice, Supreme Court, Place 7",0413,767,386,1153,2992,38.54%,454,644,11,4,1113
"Justice, Supreme Court, Place 7",0414,654,480,1134,3453,32.84%,870,215,16,4,1105
"Justice, Supreme Court, Place 7",0415,539,598,1137,2203,51.61%,724,335,31,9,1099
"Justice, Supreme Court, Place 7",0416,538,558,1095,3791,28.91%,605,435,22,6,1068
"Justice, Supreme Court, Place 7",0417,353,385,738,2448,30.15%,366,330,15,6,717
"Justice, Supreme Court, Place 7",0418,404,469,873,3584,24.36%,346,477,16,5,844
"Justice, Supreme Court, Place 7",0419,571,324,895,2658,33.67%,590,247,25,5,867
"Justice, Supreme Court, Place 7",0420,1036,874,1910,4762,40.11%,1544,268,32,8,1852
"Justice, Supreme Court, Place 7",0421,35,37,73,410,17.80%,23,46,2,0,71
"Justice, Supreme Court, Place 7",0422,731,402,1133,3345,33.87%,36,1072,1,6,1115
"Justice, Supreme Court, Place 7",0423,108,120,228,1376,16.57%,71,150,0,1,222
"Justice, Supreme Court, Place 7",0424,240,111,351,967,36.30%,199,130,10,3,342
"Justice, Supreme Court, Place 7",0425,107,123,230,883,26.05%,80,132,7,4,223
"Justice, Supreme Court, Place 7",0426,260,183,443,1218,36.37%,255,164,6,4,429
"Justice, Supreme Court, Place 7",0427,179,134,313,1092,28.66%,137,152,5,2,296
"Justice, Supreme Court, Place 7",0428,619,421,1040,4538,22.92%,325,629,8,10,972
"Justice, Supreme Court, Place 7",0429,445,314,759,3197,23.74%,206,504,8,7,725
"Justice, Supreme Court, Place 7",0430,161,133,294,1657,17.74%,79,192,10,3,284
"Justice, Supreme Court, Place 7",0431,327,84,411,3417,12.03%,137,239,10,6,392
"Justice, Supreme Court, Place 7",0432,123,157,280,1455,19.24%,94,161,16,5,276
"Justice, Supreme Court, Place 7",0433,50,63,113,581,19.45%,24,76,4,2,106
"Justice, Supreme Court, Place 7",0434,371,289,660,1503,43.91%,401,223,15,2,641
"Justice, Supreme Court, Place 7",0435,856,636,1492,3252,45.88%,932,466,31,6,1435
"Justice, Supreme Court, Place 7",0436,629,531,1160,2933,39.55%,713,381,20,4,1118
"Justice, Supreme Court, Place 7",0437,521,512,1033,2033,50.81%,701,275,15,2,993
"Justice, Supreme Court, Place 7",0438,519,389,1008,1861,54.16%,723,224,17,2,966
"Justice, Supreme Court, Place 7",0439,710,884,1594,3554,44.85%,1102,392,30,8,1532
"Justice, Supreme Court, Place 7",0440,664,858,1522,2930,51.95%,1164,273,24,3,1464
"Justice, Supreme Court, Place 7",0441,345,420,765,1669,45.84%,560,164,15,3,742
"Justice, Supreme Court, Place 7",0442,612,574,1186,2575,46.06%,965,174,13,6,1158
"Justice, Supreme Court, Place 7",0443,227,138,365,646,56.50%,250,86,9,6,351
"Justice, Supreme Court, Place 7",0444,587,583,1270,3262,38.93%,770,403,36,10,1219
"Justice, Supreme Court, Place 7",0445,499,348,847,2026,41.81%,561,242,12,6,821
"Justice, Supreme Court, Place 7",0446,31,22,53,291,18.21%,25,24,0,0,49
"Justice, Supreme Court, Place 7",0447,93,86,179,637,28.10%,50,115,6,3,174
"Justice, Supreme Court, Place 7",0448,590,778,1368,3138,43.59%,720,529,36,18,1303
"Justice, Supreme Court, Place 7",0449,12,23,35,198,17.68%,3,32,0,0,35
"Justice, Supreme Court, Place 7",0450,435,328,764,2635,28.99%,224,503,11,7,745
"Justice, Supreme Court, Place 7",0451,1002,510,1512,2687,56.27%,1216,228,16,2,1462
"Justice, Supreme Court, Place 7",0452,554,444,998,3048,32.74%,724,220,26,2,972
"Justice, Supreme Court, Place 7",0453,231,262,493,1937,25.45%,193,275,1,2,471
"Justice, Supreme Court, Place 7",0454,594,248,842,2561,32.88%,14,812,4,1,831
"Justice, Supreme Court, Place 7",0455,367,165,532,1689,31.50%,19,497,6,6,528
"Justice, Supreme Court, Place 7",0456,482,362,844,3513,24.03%,493,323,7,6,829
"Justice, Supreme Court, Place 7",0457,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0458,471,237,708,1924,36.80%,27,650,6,7,690
"Justice, Supreme Court, Place 7",0459,951,474,1425,3021,47.17%,1120,248,24,7,1399
"Justice, Supreme Court, Place 7",0460,554,331,885,2837,31.19%,216,632,12,8,868
"Justice, Supreme Court, Place 7",0461,1155,735,1900,3871,49.08%,1264,504,40,11,1819
"Justice, Supreme Court, Place 7",0462,675,619,1294,3384,38.24%,471,757,19,10,1257
"Justice, Supreme Court, Place 7",0463,481,404,885,3326,26.61%,399,441,19,10,869
"Justice, Supreme Court, Place 7",0464,356,430,786,2257,34,82%,544,201,19,5,769
"Justice, Supreme Court, Place 7",0465,688,520,1208,3564,33.89%,669,484,25,8,1186
"Justice, Supreme Court, Place 7",0466,1058,614,1672,4184,39.96%,963,651,14,8,1636
"Justice, Supreme Court, Place 7",0467,213,189,402,1270,31.65%,96,290,8,1,395
"Justice, Supreme Court, Place 7",0468,352,443,795,3598,22.10%,244,512,7,6,769
"Justice, Supreme Court, Place 7",0469,1299,547,1846,3985,46.32%,1440,325,21,9,1795
"Justice, Supreme Court, Place 7",0470,185,176,361,1326,27.22%,261,75,9,5,350
"Justice, Supreme Court, Place 7",0471,375,380,755,2387,31.63%,595,125,17,7,744
"Justice, Supreme Court, Place 7",0472,198,278,476,1081,44.03%,187,253,9,4,453
"Justice, Supreme Court, Place 7",0473,603,391,994,1806,55.04%,659,277,20,6,962
"Justice, Supreme Court, Place 7",0474,559,588,1147,3037,37.77%,769,320,38,3,1130
"Justice, Supreme Court, Place 7",0475,189,267,456,1809,25.21%,214,214,10,2,440
"Justice, Supreme Court, Place 7",0476,404,473,877,2430,36.09%,470,364,19,4,857
"Justice, Supreme Court, Place 7",0477,737,567,1304,3505,37.20%,967,264,40,3,1274
"Justice, Supreme Court, Place 7",0478,958,657,1615,4461,36.20%,1069,457,33,6,1565
"Justice, Supreme Court, Place 7",0479,640,612,1252,2714,46.13%,901,271,36,8,1216
"Justice, Supreme Court, Place 7",0480,493,450,943,2415,39.05%,669,224,22,7,922
"Justice, Supreme Court, Place 7",0481,770,623,1393,3482,40.01%,1053,271,17,6,1347
"Justice, Supreme Court, Place 7",0482,878,630,1508,4373,34.48%,1045,378,47,10,1480
"Justice, Supreme Court, Place 7",0483,1043,478,1521,4308,35.31%,855,580,28,16,1479
"Justice, Supreme Court, Place 7",0484,1107,930,2037,4979,40.91%,1440,506,45,9,2000
"Justice, Supreme Court, Place 7",0485,1095,911,2006,5388,37.23%,1540,386,46,7,1979
"Justice, Supreme Court, Place 7",0486,873,855,1728,3866,44.70%,1315,316,44,6,1681
"Justice, Supreme Court, Place 7",0487,570,294,864,3860,22.38%,309,476,13,8,806
"Justice, Supreme Court, Place 7",0488,268,254,522,1719,30.37%,185,285,16,3,489
"Justice, Supreme Court, Place 7",0489,350,290,640,1893,33.81%,202,398,12,10,622
"Justice, Supreme Court, Place 7",0490,444,368,812,1975,41.11%,285,487,9,5,786
"Justice, Supreme Court, Place 7",0491,315,372,687,1888,36.39%,394,254,14,7,669
"Justice, Supreme Court, Place 7",0492,556,410,966,2335,41.37%,576,342,10,5,933
"Justice, Supreme Court, Place 7",0493,480,322,802,1853,43.28%,526,224,17,7,774
"Justice, Supreme Court, Place 7",0494,381,247,628,2467,25.46%,80,532,3,0,615
"Justice, Supreme Court, Place 7",0495,522,523,1045,2375,44.00%,736,242,20,5,1003
"Justice, Supreme Court, Place 7",0496,190,315,505,2160,23.38%,192,288,7,2,489
"Justice, Supreme Court, Place 7",0497,526,243,769,2257,34.07%,26,724,2,5,757
"Justice, Supreme Court, Place 7",0498,363,323,686,2297,29.87%,289,354,20,7,670
"Justice, Supreme Court, Place 7",0499,751,518,1269,2326,54.56%,911,285,25,7,1228
"Justice, Supreme Court, Place 7",0500,729,715,1444,3507,41.17%,986,386,27,7,1406
"Justice, Supreme Court, Place 7",0501,341,417,758,1801,42.09%,262,433,25,11,731
"Justice, Supreme Court, Place 7",0502,477,350,827,2501,33.07%,665,124,11,4,804
"Justice, Supreme Court, Place 7",0503,174,116,290,1374,21.11%,105,158,4,6,273
"Justice, Supreme Court, Place 7",0504,624,527,1151,2288,50.31%,709,358,34,8,1109
"Justice, Supreme Court, Place 7",0505,531,562,1193,3773,31.62%,517,577,39,13,1146
"Justice, Supreme Court, Place 7",0506,665,670,1335,3502,38.12%,234,1042,12,9,1297
"Justice, Supreme Court, Place 7",0507,221,149,370,2452,15.09%,73,228,5,3,309
"Justice, Supreme Court, Place 7",0508,492,412,904,3287,27.50%,329,491,24,2,846
"Justice, Supreme Court, Place 7",0509,754,596,1350,3732,36.17%,924,342,34,7,1307
"Justice, Supreme Court, Place 7",0510,689,514,1203,3590,33.51%,580,538,44,9,1171
"Justice, Supreme Court, Place 7",0511,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0512,602,660,1262,5057,24.96%,584,615,33,9,1241
"Justice, Supreme Court, Place 7",0513,1019,487,1506,2894,52.04%,1132,299,24,7,1462
"Justice, Supreme Court, Place 7",0514,954,720,1674,4275,39.16%,1254,337,40,9,1640
"Justice, Supreme Court, Place 7",0515,943,683,1626,3455,47.06%,1290,254,26,4,1574
"Justice, Supreme Court, Place 7",0516,1001,800,1801,5356,33.63%,939,759,43,11,1752
"Justice, Supreme Court, Place 7",0517,482,256,738,2954,24.98%,414,286,20,5,725
"Justice, Supreme Court, Place 7",0518,635,693,1328,3943,33.68%,850,397,34,9,1290
"Justice, Supreme Court, Place 7",0519,623,493,1116,2966,37.63%,812,242,27,11,1092
"Justice, Supreme Court, Place 7",0520,474,457,931,4580,20.33%,163,733,15,3,914
"Justice, Supreme Court, Place 7",0521,471,464,935,2866,32.62%,491,395,21,7,914
"Justice, Supreme Court, Place 7",0522,715,572,1288,2689,47.90%,968,255,32,2,1257
"Justice, Supreme Court, Place 7",0523,751,415,1166,3052,38.20%,767,328,35,9,1139
"Justice, Supreme Court, Place 7",0524,568,459,1027,3410,30.12%,344,641,13,2,1000
"Justice, Supreme Court, Place 7",0525,707,482,1189,3091,38.47%,273,859,18,6,1156
"Justice, Supreme Court, Place 7",0526,68,84,152,780,19.49%,42,96,6,0,144
"Justice, Supreme Court, Place 7",0527,37,40,77,574,13.41%,38,31,3,3,75
"Justice, Supreme Court, Place 7",0528,14,12,26,90,28.89%,1,23,1,0,25
"Justice, Supreme Court, Place 7",0529,1043,491,1534,3710,41.35%,1299,156,31,8,1494
"Justice, Supreme Court, Place 7",0530,114,107,221,1196,18.48%,53,152,3,0,208
"Justice, Supreme Court, Place 7",0531,363,174,537,1145,46.90%,417,93,8,5,523
"Justice, Supreme Court, Place 7",0532,205,146,351,1048,33.49%,248,89,6,3,346
"Justice, Supreme Court, Place 7",0533,124,108,232,1119,20.73%,130,82,9,1,222
"Justice, Supreme Court, Place 7",0534,783,524,1307,3837,34.06%,973,266,28,9,1276
"Justice, Supreme Court, Place 7",0535,33,29,62,416,14.90%,28,28,3,1,60
"Justice, Supreme Court, Place 7",0536,554,780,1,334,5139,25.96%,499,769,24,8,1300
"Justice, Supreme Court, Place 7",0537,857,778,1635,3050,53.61%,1184,374,25,5,1588
"Justice, Supreme Court, Place 7",0538,204,160,364,1,303,27.94%,8,341,2,4,355
"Justice, Supreme Court, Place 7",0539,15,241,256,64,400.00%,69,163,9,1,242
"Justice, Supreme Court, Place 7",0540,378,316,694,1567,44.29%,244,398,14,2,658
"Justice, Supreme Court, Place 7",0541,789,505,1294,4599,28.14%,186,1039,21,13,1259
"Justice, Supreme Court, Place 7",0542,360,382,742,2557,29.02%,46,657,7,7,717
"Justice, Supreme Court, Place 7",0543,141,213,354,1565,22.62%,105,226,3,5,339
"Justice, Supreme Court, Place 7",0544,36,41,77,310,24.84%,14,61,0,0,75
"Justice, Supreme Court, Place 7",0545,596,620,1216,3629,33.51%,601,555,27,2,1185
"Justice, Supreme Court, Place 7",0546,2,2,4,37,10.81%,1,2,0,0,3
"Justice, Supreme Court, Place 7",0547,501,466,967,2406,40.19%,654,250,28,6,938
"Justice, Supreme Court, Place 7",0548,286,293,579,2215,26.14%,292,263,12,2,569
"Justice, Supreme Court, Place 7",0549,343,418,761,2663,28.58%,108,626,10,3,747
"Justice, Supreme Court, Place 7",0550,501,431,932,3031,30.75%,513,374,19,3,909
"Justice, Supreme Court, Place 7",0551,1288,1394,2682,7034,38.13%,1988,585,47,9,2629
"Justice, Supreme Court, Place 7",0552,847,883,1730,3415,50.66%,1408,253,26,6,1693
"Justice, Supreme Court, Place 7",0553,579,529,1108,4686,23.64%,490,559,24,9,1082
"Justice, Supreme Court, Place 7",0554,261,199,460,1757,26.18%,91,331,8,3,433
"Justice, Supreme Court, Place 7",0555,225,277,502,2219,22.62%,103,376,6,3,488
"Justice, Supreme Court, Place 7",0556,276,186,462,2319,19.92%,132,304,8,7,451
"Justice, Supreme Court, Place 7",0557,455,183,638,2830,22.54%,270,293,7,7,577
"Justice, Supreme Court, Place 7",0558,694,463,1157,4380,26.42%,389,689,30,16,1124
"Justice, Supreme Court, Place 7",0559,641,494,1135,4969,22.84%,330,741,25,9,1105
"Justice, Supreme Court, Place 7",0560,72,131,203,1120,18.13%,48,142,3,1,194
"Justice, Supreme Court, Place 7",0561,362,436,798,3064,26.04%,480,275,16,9,780
"Justice, Supreme Court, Place 7",0562,113,68,181,694,26.08%,21,157,2,0,180
"Justice, Supreme Court, Place 7",0563,1108,376,1484,3105,47.79%,1139,274,20,12,1445
"Justice, Supreme Court, Place 7",0564,471,426,897,3155,28.43%,216,621,26,7,870
"Justice, Supreme Court, Place 7",0565,108,78,186,1354,13.74%,40,127,5,4,176
"Justice, Supreme Court, Place 7",0566,418,324,742,2882,25.75%,215,480,17,11,723
"Justice, Supreme Court, Place 7",0567,301,193,494,2238,22.07%,158,290,9,4,461
"Justice, Supreme Court, Place 7",0568,876,685,1561,3594,43.43%,984,468,37,13,1502
"Justice, Supreme Court, Place 7",0569,575,667,1242,3525,35.23%,638,523,28,9,1198
"Justice, Supreme Court, Place 7",0570,239,210,449,1562,28.75%,145,258,14,7,424
"Justice, Supreme Court, Place 7",0571,155,149,304,1827,16.64%,114,175,2,4,295
"Justice, Supreme Court, Place 7",0572,556,375,931,3108,29.95%,468,415,25,1,909
"Justice, Supreme Court, Place 7",0573,290,151,441,1619,27.24%,7,424,2,2,435
"Justice, Supreme Court, Place 7",0574,31,42,73,402,18.16%,8,64,0,1,73
"Justice, Supreme Court, Place 7",0575,13,11,24,74,32.43%,19,3,0,1,23
"Justice, Supreme Court, Place 7",0576,485,318,804,2734,29.41%,23,759,3,6,791
"Justice, Supreme Court, Place 7",0577,148,88,236,608,38.82%,139,87,2,1,229
"Justice, Supreme Court, Place 7",0578,409,538,947,1799,52.64%,557,340,17,6,920
"Justice, Supreme Court, Place 7",0579,76,101,177,1056,16.76%,31,134,4,2,171
"Justice, Supreme Court, Place 7",0580,179,118,297,1031,28.81%,4,281,1,2,288
"Justice, Supreme Court, Place 7",0581,212,174,386,1032,37.40%,9,368,2,0,379
"Justice, Supreme Court, Place 7",0582,258,171,429,1588,27.02%,20,392,1,4,417
"Justice, Supreme Court, Place 7",0583,225,131,356,1262,28.21%,11,331,4,5,351
"Justice, Supreme Court, Place 7",0584,182,93,275,1014,27.12%,11,259,1,0,271
"Justice, Supreme Court, Place 7",0585,417,172,589,2511,23.46%,16,558,5,4,583
"Justice, Supreme Court, Place 7",0586,638,680,1318,4316,30.54%,782,466,23,13,1284
"Justice, Supreme Court, Place 7",0587,439,284,723,2598,27.83%,281,416,11,2,710
"Justice, Supreme Court, Place 7",0588,758,674,1432,3645,39.29%,1001,360,36,7,1404
"Justice, Supreme Court, Place 7",0589,500,386,886,3420,25.91%,486,352,22,6,866
"Justice, Supreme Court, Place 7",0590,773,399,1172,2162,54.21%,885,234,24,2,1145
"Justice, Supreme Court, Place 7",0591,183,231,414,2121,19.52%,114,275,7,3,399
"Justice, Supreme Court, Place 7",0592,133,157,290,1350,21.48%,74,198,6,5,283
"Justice, Supreme Court, Place 7",0593,544,564,1108,4380,25.30%,531,511,20,13,1075
"Justice, Supreme Court, Place 7",0594,551,325,887,2490,35.62%,249,598,12,6,865
"Justice, Supreme Court, Place 7",0595,201,178,379,1693,22.39%,68,293,4,3,368
"Justice, Supreme Court, Place 7",0596,441,348,789,3007,26.24%,428,311,23,11,773
"Justice, Supreme Court, Place 7",0597,367,394,761,3653,20.83%,323,411,11,9,754
"Justice, Supreme Court, Place 7",0598,195,57,252,728,34.62%,203,35,6,2,246
"Justice, Supreme Court, Place 7",0599,850,578,1428,4950,28.85%,502,862,20,11,1395
"Justice, Supreme Court, Place 7",0600,667,429,1096,3957,27.70%,440,591,16,9,1056
"Justice, Supreme Court, Place 7",0601,1074,756,1830,4057,45.11%,1361,377,45,4,1787
"Justice, Supreme Court, Place 7",0602,293,235,528,1326,39.82%,377,126,12,5,520
"Justice, Supreme Court, Place 7",0603,884,794,1678,4843,34.65%,1035,559,44,10,1648
"Justice, Supreme Court, Place 7",0604,702,518,1220,3005,40.60%,1001,163,25,4,1193
"Justice, Supreme Court, Place 7",0605,907,556,1463,5582,26.21%,356,1063,14,4,1437
"Justice, Supreme Court, Place 7",0606,176,70,246,937,26.25%,3,237,1,1,242
"Justice, Supreme Court, Place 7",0607,62,51,113,728,15.52%,13,94,0,1,108
"Justice, Supreme Court, Place 7",0608,31,47,78,537,14.53%,43,28,1,0,72
"Justice, Supreme Court, Place 7",0609,667,680,1347,3384,39.80%,828,443,22,8,1301
"Justice, Supreme Court, Place 7",0610,231,188,419,1927,21.74%,212,175,9,1,397
"Justice, Supreme Court, Place 7",0611,495,242,737,2488,29.62%,20,693,9,0,722
"Justice, Supreme Court, Place 7",0612,996,497,1493,3307,45.15%,1104,293,38,6,1441
"Justice, Supreme Court, Place 7",0613,186,204,390,1554,25.10%,64,317,6,1,388
"Justice, Supreme Court, Place 7",0514,737,566,1303,4207,30.97%,483,755,21,7,1266
