Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Lawrence Edward Meyers,LIB Mark Ash,Totals
"Justice, Supreme Court, Place 6, Unexpired Term",0062,145,322,467,2181,21.41%,121,318,6,445
"Justice, Supreme Court, Place 6, Unexpired Term",0063,264,354,618,1826,33.84%,495,97,14,606
"Justice, Supreme Court, Place 6, Unexpired Term",0064,191,221,412,2141,19.24%,89,296,8,393
"Justice, Supreme Court, Place 6, Unexpired Term",0065,172,230,402,2167,18.55%,103,263,15,381
"Justice, Supreme Court, Place 6, Unexpired Term",0066,69,143,212,1098,19.31%,41,158,3,202
"Justice, Supreme Court, Place 6, Unexpired Term",0067,304,282,586,2794,20.97%,166,375,17,558
"Justice, Supreme Court, Place 6, Unexpired Term",0068,553,352,905,2924,30.95%,24,860,3,887
"Justice, Supreme Court, Place 6, Unexpired Term",0069,80,124,204,1284,15.89%,47,144,2,193
"Justice, Supreme Court, Place 6, Unexpired Term",0070,882,664,1546,3337,46.33%,938,509,45,1492
"Justice, Supreme Court, Place 6, Unexpired Term",0071,602,722,1324,4197,31.55%,622,590,67,1279
"Justice, Supreme Court, Place 6, Unexpired Term",0072,220,293,513,1924,26.66%,171,306,17,494
"Justice, Supreme Court, Place 6, Unexpired Term",0073,252,414,666,1555,42.83%,381,231,15,627
"Justice, Supreme Court, Place 6, Unexpired Term",0074,1153,782,1935,3583,54.01%,1525,320,26,1871
"Justice, Supreme Court, Place 6, Unexpired Term",0075,254,280,534,1444,36.98%,201,284,25,510
"Justice, Supreme Court, Place 6, Unexpired Term",0076,373,374,747,2362,31.63%,445,268,14,727
"Justice, Supreme Court, Place 6, Unexpired Term",0077,43,46,89,566,15.72%,22,65,2,89
"Justice, Supreme Court, Place 6, Unexpired Term",0078,181,201,382,1522,25.10%,135,216,13,364
"Justice, Supreme Court, Place 6, Unexpired Term",0079,205,306,511,2927,17.46%,134,334,13,481
"Justice, Supreme Court, Place 6, Unexpired Term",0080,501,351,852,2725,31.27%,219,587,10,816
"Justice, Supreme Court, Place 6, Unexpired Term",0081,183,187,370,1835,20.16%,146,194,12,352
"Justice, Supreme Court, Place 6, Unexpired Term",0082,639,671,1310,3368,38.90%,968,277,37,1282
"Justice, Supreme Court, Place 6, Unexpired Term",0083,1298,888,2186,6625,33.00%,1071,1024,46,2141
"Justice, Supreme Court, Place 6, Unexpired Term",0084,208,218,426,1373,31.03%,307,95,10,412
"Justice, Supreme Court, Place 6, Unexpired Term",0085,271,248,519,2173,23.88%,25,481,5,511
"Justice, Supreme Court, Place 6, Unexpired Term",0086,448,568,1016,2910,34.91%,455,484,40,979
"Justice, Supreme Court, Place 6, Unexpired Term",0087,674,787,1461,2818,51.85%,963,411,30,1404
"Justice, Supreme Court, Place 6, Unexpired Term",0088,123,118,241,693,34.78%,155,69,5,229
"Justice, Supreme Court, Place 6, Unexpired Term",0089,165,371,536,1094,48.99%,312,184,12,508
"Justice, Supreme Court, Place 6, Unexpired Term",0090,845,790,1635,3700,44.19%,1195,344,48,1587
"Justice, Supreme Court, Place 6, Unexpired Term",0091,221,222,443,1505,29.44%,260,149,19,428
"Justice, Supreme Court, Place 6, Unexpired Term",0092,695,462,1157,2242,51.61%,780,304,30,1114
"Justice, Supreme Court, Place 6, Unexpired Term",0093,381,301,682,3356,20.32%,281,354,17,652
"Justice, Supreme Court, Place 6, Unexpired Term",0094,51,43,94,549,17.12%,28,62,1,91
"Justice, Supreme Court, Place 6, Unexpired Term",0095,917,576,1493,3177,46.99%,1103,309,32,1444
"Justice, Supreme Court, Place 6, Unexpired Term",0096,83,83,166,1296,12.81%,23,141,1,165
"Justice, Supreme Court, Place 6, Unexpired Term",0097,1024,725,1749,4828,36.23%,1304,373,35,1712
