Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Lawrence Edward Meyers,LIB Mark Ash,Totals
"Justice, Supreme Court, Place 6, Unexpired Term",0270,819,672,1491,3605,41.36%,817,581,43,1441
"Justice, Supreme Court, Place 6, Unexpired Term",0271,656,382,1038,2518,41.22%,25,996,5,1026
"Justice, Supreme Court, Place 6, Unexpired Term",0272,264,292,556,2162,25.72%,215,299,28,542
"Justice, Supreme Court, Place 6, Unexpired Term",0273,548,689,1237,2470,50.08%,1022,159,23,1204
"Justice, Supreme Court, Place 6, Unexpired Term",0274,588,346,934,2153,43.38%,649,224,25,898
"Justice, Supreme Court, Place 6, Unexpired Term",0275,207,236,443,1850,23.95%,116,312,8,436
"Justice, Supreme Court, Place 6, Unexpired Term",0276,572,231,803,2536,31.66%,7,775,5,787
"Justice, Supreme Court, Place 6, Unexpired Term",0277,170,186,356,1492,23.86%,177,160,8,345
"Justice, Supreme Court, Place 6, Unexpired Term",0278,421,320,741,2454,30.20%,428,287,8,723
"Justice, Supreme Court, Place 6, Unexpired Term",0279,251,223,474,1941,24.42%,284,168,11,463
"Justice, Supreme Court, Place 6, Unexpired Term",0280,130,188,318,1524,20.87%,132,159,13,304
"Justice, Supreme Court, Place 6, Unexpired Term",0281,655,742,1397,2633,53.06%,737,547,26,1310
"Justice, Supreme Court, Place 6, Unexpired Term",0282,314,455,769,2042,37.66%,497,223,24,744
"Justice, Supreme Court, Place 6, Unexpired Term",0283,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0284,574,336,910,3172,28.69%,425,434,18,877
"Justice, Supreme Court, Place 6, Unexpired Term",0285,448,378,826,2540,32.52%,76,726,5,807
"Justice, Supreme Court, Place 6, Unexpired Term",0286,1255,821,2076,6170,33.65%,193,1820,15,2028
"Justice, Supreme Court, Place 6, Unexpired Term",0287,371,477,848,1621,52.31%,438,355,19,812
"Justice, Supreme Court, Place 6, Unexpired Term",0288,532,313,845,2210,38.24%,16,814,8,838
"Justice, Supreme Court, Place 6, Unexpired Term",0289,186,212,398,1564,25.45%,201,172,7,380
"Justice, Supreme Court, Place 6, Unexpired Term",0290,245,298,543,1642,33.07%,409,108,20,537
"Justice, Supreme Court, Place 6, Unexpired Term",0291,325,235,560,1225,45.71%,292,234,13,539
"Justice, Supreme Court, Place 6, Unexpired Term",0292,207,147,354,1356,26.11%,42,301,7,350
"Justice, Supreme Court, Place 6, Unexpired Term",0293,357,447,804,1759,45.71%,373,363,27,763
"Justice, Supreme Court, Place 6, Unexpired Term",0294,488,221,709,2097,33.81%,11,682,7,700
"Justice, Supreme Court, Place 6, Unexpired Term",0295,148,103,251,885,28.36%,6,239,0,245
"Justice, Supreme Court, Place 6, Unexpired Term",0296,327,340,667,1713,38.94%,389,226,23,638
"Justice, Supreme Court, Place 6, Unexpired Term",0297,280,249,529,2012,26.29%,229,264,15,508
"Justice, Supreme Court, Place 6, Unexpired Term",0298,415,358,773,2121,36.45%,459,254,24,737
"Justice, Supreme Court, Place 6, Unexpired Term",0299,179,117,296,1353,21.88%,120,148,12,280
"Justice, Supreme Court, Place 6, Unexpired Term",0300,1389,1016,2405,5406,44.49%,1910,384,50,2344
"Justice, Supreme Court, Place 6, Unexpired Term",0301,210,255,465,2352,19.77%,188,245,7,440
"Justice, Supreme Court, Place 6, Unexpired Term",0302,353,343,696,2720,25.59%,405,259,12,676
"Justice, Supreme Court, Place 6, Unexpired Term",0303,924,784,1708,3245,52.63%,1401,238,21,1660
"Justice, Supreme Court, Place 6, Unexpired Term",0304,606,505,1111,2298,48.35%,643,393,19,1055
"Justice, Supreme Court, Place 6, Unexpired Term",0305,524,432,956,4191,22.81%,399,515,20,934
"Justice, Supreme Court, Place 6, Unexpired Term",0306,650,342,992,1879,52.79%,740,210,14,964
"Justice, Supreme Court, Place 6, Unexpired Term",0307,733,670,1403,3099,45.27%,966,332,55,1353
"Justice, Supreme Court, Place 6, Unexpired Term",0308,199,130,329,1296,25.39%,115,197,8,320
"Justice, Supreme Court, Place 6, Unexpired Term",0309,708,593,1301,2524,51.55%,1066,177,16,1259
"Justice, Supreme Court, Place 6, Unexpired Term",0310,386,279,665,1435,46.34%,460,167,8,635
"Justice, Supreme Court, Place 6, Unexpired Term",0311,486,421,907,2986,30.38%,506,336,14,856
"Justice, Supreme Court, Place 6, Unexpired Term",0312,742,457,1199,3636,32.98%,799,344,24,1167
"Justice, Supreme Court, Place 6, Unexpired Term",031,3,9,0,9,62,14.52%,7,2,0,9
"Justice, Supreme Court, Place 6, Unexpired Term",0314,1121,913,2034,5647,36.02%,1277,667,50,1994
"Justice, Supreme Court, Place 6, Unexpired Term",0315,478,388,866,1608,53.86%,524,289,16,829
"Justice, Supreme Court, Place 6, Unexpired Term",0316,412,341,753,1537,48.99%,438,260,18,716
"Justice, Supreme Court, Place 6, Unexpired Term",0317,250,209,459,1588,28.90%,145,288,11,444
"Justice, Supreme Court, Place 6, Unexpired Term",0318,834,568,1402,3660,38.31%,72,1293,5,1370
"Justice, Supreme Court, Place 6, Unexpired Term",0319,512,230,742,2158,34.38%,47,673,1,721
"Justice, Supreme Court, Place 6, Unexpired Term",0320,234,168,402,1537,26.15%,204,180,6,390
"Justice, Supreme Court, Place 6, Unexpired Term",0321,262,191,453,2346,19.31%,163,259,11,433
"Justice, Supreme Court, Place 6, Unexpired Term",0322,182,129,311,1226,25.37%,103,194,6,303
"Justice, Supreme Court, Place 6, Unexpired Term",0323,278,211,489,1722,28.40%,232,217,15,464
"Justice, Supreme Court, Place 6, Unexpired Term",0324,532,646,1178,2336,50.43%,736,352,27,1115
"Justice, Supreme Court, Place 6, Unexpired Term",0325,289,193,482,2112,22.82%,109,345,11,465
"Justice, Supreme Court, Place 6, Unexpired Term",0326,87,74,161,698,23.07%,78,70,4,152
"Justice, Supreme Court, Place 6, Unexpired Term",0327,380,129,509,1729,29.44%,9,488,3,500
"Justice, Supreme Court, Place 6, Unexpired Term",0328,151,140,291,1434,20.29%,132,141,10,283
"Justice, Supreme Court, Place 6, Unexpired Term",0329,191,184,375,1397,26.84%,150,203,12,365
"Justice, Supreme Court, Place 6, Unexpired Term",0330,334,253,587,1936,30.32%,328,222,9,559
"Justice, Supreme Court, Place 6, Unexpired Term",0331,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0332,18,7,25,138,18.12%,15,7,0,22
"Justice, Supreme Court, Place 6, Unexpired Term",0333,524,714,1238,3021,40.98%,859,293,41,1193
"Justice, Supreme Court, Place 6, Unexpired Term",0334,83,42,125,742,16.85%,22,100,0,122
"Justice, Supreme Court, Place 6, Unexpired Term",0335,121,98,219,1300,16.85%,89,115,8,212
"Justice, Supreme Court, Place 6, Unexpired Term",0336,870,624,1494,4051,36.88%,129,1317,20,1466
"Justice, Supreme Court, Place 6, Unexpired Term",0337,124,103,227,1029,22.06%,41,170,5,216
"Justice, Supreme Court, Place 6, Unexpired Term",0338,731,391,1122,4934,22.74%,395,638,26,1059
"Justice, Supreme Court, Place 6, Unexpired Term",0339,202,222,424,1757,24.13%,96,295,10,401
"Justice, Supreme Court, Place 6, Unexpired Term",0340,1038,594,1832,3765,43.35%,1223,312,46,1581
"Justice, Supreme Court, Place 6, Unexpired Term",0341,91,167,258,1290,20.00%,82,164,3,249
"Justice, Supreme Court, Place 6, Unexpired Term",0342,875,605,1280,6526,19.61%,211,1026,17,1254
"Justice, Supreme Court, Place 6, Unexpired Term",0343,189,271,460,1964,23.42%,134,299,7,440
"Justice, Supreme Court, Place 6, Unexpired Term",0344,154,172,326,1160,28.10%,14,294,3,311
"Justice, Supreme Court, Place 6, Unexpired Term",0345,158,165,321,1804,17.79%,97,205,6,308
"Justice, Supreme Court, Place 6, Unexpired Term",0346,0,1,1,3,33.33%,1,0,0,1
"Justice, Supreme Court, Place 6, Unexpired Term",0347,592,436,1028,3387,30.35%,688,289,28,1005
"Justice, Supreme Court, Place 6, Unexpired Term",0348,438,208,646,1708,37.82%,499,120,9,628
"Justice, Supreme Court, Place 6, Unexpired Term",0349,188,267,455,1349,33.73%,277,142,22,441
"Justice, Supreme Court, Place 6, Unexpired Term",0350,525,526,1051,2909,36.13%,449,527,31,1007
"Justice, Supreme Court, Place 6, Unexpired Term",0351,1491,710,2201,4712,46.71%,1758,367,35,2160
"Justice, Supreme Court, Place 6, Unexpired Term",0352,520,339,859,3205,26.80%,632,184,26,842
"Justice, Supreme Court, Place 6, Unexpired Term",0353,885,451,1116,3862,28.90%,210,867,14,1091
"Justice, Supreme Court, Place 6, Unexpired Term",0354,715,338,1053,3388,31.08%,265,751,13,1029
"Justice, Supreme Court, Place 6, Unexpired Term",0355,301,264,565,1560,36.22%,53,499,4,556
"Justice, Supreme Court, Place 6, Unexpired Term",0356,594,538,1132,2972,38.09%,749,314,26,1089
"Justice, Supreme Court, Place 6, Unexpired Term",0357,837,575,1412,3517,40.15%,1036,309,34,1379
"Justice, Supreme Court, Place 6, Unexpired Term",0358,213,254,487,2492,18.74%,52,393,8,453
"Justice, Supreme Court, Place 6, Unexpired Term",0359,235,224,459,3061,15.00%,61,387,3,451
"Justice, Supreme Court, Place 6, Unexpired Term",0360,524,380,904,2146,42.12%,483,344,24,851
"Justice, Supreme Court, Place 6, Unexpired Term",0361,41,295,338,1673,20.08%,54,240,15,309
"Justice, Supreme Court, Place 6, Unexpired Term",0362,1138,887,2025,5086,39.82%,1496,413,45,1954
"Justice, Supreme Court, Place 6, Unexpired Term",0363,820,412,1032,3677,28.07%,464,533,16,1013
"Justice, Supreme Court, Place 6, Unexpired Term",0364,489,405,894,2658,33.63%,518,327,20,865
"Justice, Supreme Court, Place 6, Unexpired Term",0365,478,231,709,1305,54.33%,58,633,5,696
"Justice, Supreme Court, Place 6, Unexpired Term",0366,252,270,522,2454,21.27%,135,363,11,509
"Justice, Supreme Court, Place 6, Unexpired Term",0367,170,138,308,1130,27.26%,62,229,12,303
"Justice, Supreme Court, Place 6, Unexpired Term",0368,178,88,266,958,27.77%,72,183,4,259
"Justice, Supreme Court, Place 6, Unexpired Term",0369,32,29,61,559,10.91%,18,41,1,60
"Justice, Supreme Court, Place 6, Unexpired Term",0370,1532,1105,2637,6593,40.00%,1995,518,57,2570
"Justice, Supreme Court, Place 6, Unexpired Term",0371,122,52,174,502,34.66%,4,162,4,170
"Justice, Supreme Court, Place 6, Unexpired Term",0372,221,170,391,1224,31.94%,54,321,3,378
"Justice, Supreme Court, Place 6, Unexpired Term",0373,21,12,33,157,21.02%,2,28,1,31
"Justice, Supreme Court, Place 6, Unexpired Term",0374,65,93,158,738,21.41%,58,95,1,154
"Justice, Supreme Court, Place 6, Unexpired Term",0375,254,220,474,2645,17.92%,240,200,9,449
"Justice, Supreme Court, Place 6, Unexpired Term",0376,278,205,483,1910,25.29%,217,248,3,468
"Justice, Supreme Court, Place 6, Unexpired Term",0377,526,583,1109,2920,37.98%,823,223,22,1068
"Justice, Supreme Court, Place 6, Unexpired Term",0378,232,354,586,1829,32.04%,358,192,24,574
"Justice, Supreme Court, Place 6, Unexpired Term",0379,432,289,721,2027,35.57%,73,626,6,705
"Justice, Supreme Court, Place 6, Unexpired Term",0380,1303,995,2298,5666,40.56%,1249,937,60,2246
"Justice, Supreme Court, Place 6, Unexpired Term",0381,412,248,660,2855,23.12%,316,311,9,636
"Justice, Supreme Court, Place 6, Unexpired Term",0382,132,157,289,922,31.34%,216,62,5,283
"Justice, Supreme Court, Place 6, Unexpired Term",0383,289,263,552,2173,25.40%,237,293,8,538
"Justice, Supreme Court, Place 6, Unexpired Term",0384,573,373,946,2657,35.60%,202,703,17,922
"Justice, Supreme Court, Place 6, Unexpired Term",0385,583,670,1253,2207,56.77%,990,193,22,1205
"Justice, Supreme Court, Place 6, Unexpired Term",0386,662,469,1131,2922,38.71%,827,260,14,1101
"Justice, Supreme Court, Place 6, Unexpired Term",0387,555,672,1227,3935,31.18%,890,285,21,1196
"Justice, Supreme Court, Place 6, Unexpired Term",0388,1432,1010,2442,6888,35.45%,1396,948,54,2398
"Justice, Supreme Court, Place 6, Unexpired Term",0389,91,208,299,1026,29.14%,40,226,16,282
"Justice, Supreme Court, Place 6, Unexpired Term",0390,355,263,619,1480,41.82%,80,510,10,600
"Justice, Supreme Court, Place 6, Unexpired Term",0391,508,260,768,1883,40.79%,487,236,19,742
"Justice, Supreme Court, Place 6, Unexpired Term",0392,387,155,542,1446,37.48%,10,522,3,535
"Justice, Supreme Court, Place 6, Unexpired Term",0393,165,185,350,1292,27.09%,166,163,14,343
"Justice, Supreme Court, Place 6, Unexpired Term",0394,69,73,142,834,17.03%,69,61,6,136
"Justice, Supreme Court, Place 6, Unexpired Term",0395,470,404,874,1846,47.35%,636,179,26,841
"Justice, Supreme Court, Place 6, Unexpired Term",0396,623,216,839,2082,40.30%,19,807,2,828
"Justice, Supreme Court, Place 6, Unexpired Term",0397,86,78,164,760,21.58%,81,78,1,160
"Justice, Supreme Court, Place 6, Unexpired Term",0398,615,521,1136,4022,28.24%,612,478,24,1114
"Justice, Supreme Court, Place 6, Unexpired Term",0399,404,366,770,2791,27.59%,427,309,18,754
"Justice, Supreme Court, Place 6, Unexpired Term",0400,620,359,979,2411,40.61%,717,208,22,947
"Justice, Supreme Court, Place 6, Unexpired Term",0401,330,205,535,1913,27.97%,20,499,6,525
"Justice, Supreme Court, Place 6, Unexpired Term",0402,466,266,732,1794,40.80%,41,674,5,720
"Justice, Supreme Court, Place 6, Unexpired Term",0403,475,498,973,1715,56.73%,581,326,18,925
"Justice, Supreme Court, Place 6, Unexpired Term",0404,419,330,749,2585,28.97%,442,273,13,728
"Justice, Supreme Court, Place 6, Unexpired Term",0405,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0406,137,67,204,628,32.48%,4,198,0,202
"Justice, Supreme Court, Place 6, Unexpired Term",0407,692,793,1485,3769,39.40%,1008,391,28,1427
"Justice, Supreme Court, Place 6, Unexpired Term",0408,146,153,299,1691,17.68%,139,138,11,288
"Justice, Supreme Court, Place 6, Unexpired Term",0409,122,149,271,1459,18.57%,113,147,4,264
"Justice, Supreme Court, Place 6, Unexpired Term",0410,132,80,212,899,23.58%,45,158,2,205
"Justice, Supreme Court, Place 6, Unexpired Term",0411,235,200,435,2339,18.60%,166,252,7,425
"Justice, Supreme Court, Place 6, Unexpired Term",0412,74,44,118,468,25.21%,8,106,0,114
"Justice, Supreme Court, Place 6, Unexpired Term",0413,767,386,1153,2992,38.54%,465,640,15,1120
"Justice, Supreme Court, Place 6, Unexpired Term",0414,654,480,1134,3453,32.84%,881,208,15,1104
"Justice, Supreme Court, Place 6, Unexpired Term",0415,539,598,1137,2203,51.61%,774,293,35,1102
"Justice, Supreme Court, Place 6, Unexpired Term",0416,538,558,1096,3791,28.91%,615,417,32,1064
"Justice, Supreme Court, Place 6, Unexpired Term",0417,353,385,738,2448,30.15%,382,319,17,718
"Justice, Supreme Court, Place 6, Unexpired Term",0418,404,469,873,3584,24.36%,373,455,16,844
"Justice, Supreme Court, Place 6, Unexpired Term",0419,571,324,895,2658,33.67%,601,245,21,867
"Justice, Supreme Court, Place 6, Unexpired Term",0420,1036,874,1910,4762,40.11%,1567,249,31,1847
"Justice, Supreme Court, Place 6, Unexpired Term",0421,36,37,73,410,17.80%,26,42,3,71
"Justice, Supreme Court, Place 6, Unexpired Term",0422,731,402,1133,3345,33.87%,35,1078,4,1117
"Justice, Supreme Court, Place 6, Unexpired Term",0423,108,120,228,1376,16.57%,75,143,3,221
"Justice, Supreme Court, Place 6, Unexpired Term",0424,240,111,351,967,36.30%,207,122,13,342
"Justice, Supreme Court, Place 6, Unexpired Term",0425,107,123,230,883,26.05%,87,127,11,225
"Justice, Supreme Court, Place 6, Unexpired Term",0426,260,183,443,1218,36.37%,269,147,12,428
"Justice, Supreme Court, Place 6, Unexpired Term",0427,179,134,313,1092,28.66%,142,149,5,296
"Justice, Supreme Court, Place 6, Unexpired Term",0428,619,421,1040,4538,22.92%,336,617,15,968
"Justice, Supreme Court, Place 6, Unexpired Term",0429,445,314,759,3197,23.74%,216,495,10,721
"Justice, Supreme Court, Place 6, Unexpired Term",0430,161,133,294,1657,17.74%,91,186,8,285
"Justice, Supreme Court, Place 6, Unexpired Term",0431,327,84,411,3417,12.03%,148,234,9,391
"Justice, Supreme Court, Place 6, Unexpired Term",0432,123,157,280,1455,19.24%,101,159,15,275
"Justice, Supreme Court, Place 6, Unexpired Term",0433,50,63,113,581,19.45%,22,77,8,107
"Justice, Supreme Court, Place 6, Unexpired Term",0434,371,289,660,1503,43.91%,430,194,16,640
"Justice, Supreme Court, Place 6, Unexpired Term",0435,856,636,1492,3252,45.88%,989,410,35,1434
"Justice, Supreme Court, Place 6, Unexpired Term",0436,629,531,1160,2933,39.55%,756,338,19,1113
"Justice, Supreme Court, Place 6, Unexpired Term",0437,521,512,1033,2033,50.81%,748,235,12,995
"Justice, Supreme Court, Place 6, Unexpired Term",0438,619,389,1008,1861,54.16%,768,179,20,967
"Justice, Supreme Court, Place 6, Unexpired Term",0439,710,884,1594,3554,44.85%,1175,326,29,1530
"Justice, Supreme Court, Place 6, Unexpired Term",0440,664,858,1522,2930,51.95%,1245,201,22,1468
"Justice, Supreme Court, Place 6, Unexpired Term",0441,345,420,765,1669,45.84%,604,127,13,744
"Justice, Supreme Court, Place 6, Unexpired Term",0442,612,574,1186,2575,46.06%,991,149,16,1156
"Justice, Supreme Court, Place 6, Unexpired Term",0443,227,138,365,646,56.50%,271,71,9,351
"Justice, Supreme Court, Place 6, Unexpired Term",0444,687,583,1270,3262,38.93%,810,368,37,1215
"Justice, Supreme Court, Place 6, Unexpired Term",0445,499,348,847,2026,41.81%,587,218,17,822
"Justice, Supreme Court, Place 6, Unexpired Term",0446,31,22,53,291,18.21%,25,23,1,49
"Justice, Supreme Court, Place 6, Unexpired Term",0447,93,86,179,637,28.10%,54,115,7,176
"Justice, Supreme Court, Place 6, Unexpired Term",0448,590,778,1368,3138,43.59%,766,489,50,1305
"Justice, Supreme Court, Place 6, Unexpired Term",0449,12,23,35,198,17.68%,3,31,0,34
"Justice, Supreme Court, Place 6, Unexpired Term",0450,436,328,764,2635,28.99%,240,490,14,744
"Justice, Supreme Court, Place 6, Unexpired Term",0451,1002,510,1512,2687,56.27%,1257,188,22,1467
"Justice, Supreme Court, Place 6, Unexpired Term",0452,554,444,998,3048,32.74%,735,212,27,974
"Justice, Supreme Court, Place 6, Unexpired Term",0453,231,262,493,1937,25.45%,203,267,7,477
"Justice, Supreme Court, Place 6, Unexpired Term",0454,594,248,842,2561,32.88%,14,814,1,829
"Justice, Supreme Court, Place 6, Unexpired Term",0455,367,165,532,1689,31.50%,16,503,5,524
"Justice, Supreme Court, Place 6, Unexpired Term",0456,482,362,844,3513,24.03%,500,322,6,828
"Justice, Supreme Court, Place 6, Unexpired Term",0457,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0458,471,237,708,1924,36.80%,34,653,9,696
"Justice, Supreme Court, Place 6, Unexpired Term",0459,951,474,1425,3021,47.17%,1135,235,30,1400
"Justice, Supreme Court, Place 6, Unexpired Term",0460,554,331,885,2837,31.19%,232,624,15,871
"Justice, Supreme Court, Place 6, Unexpired Term",0461,1165,735,1900,3871,49.08%,1348,425,43,1816
"Justice, Supreme Court, Place 6, Unexpired Term",0462,675,619,1294,3384,38.24%,489,744,19,1252
"Justice, Supreme Court, Place 6, Unexpired Term",0463,481,404,885,3326,26.61%,414,431,23,868
"Justice, Supreme Court, Place 6, Unexpired Term",0464,356,430,786,2257,34.82%,555,185,24,764
"Justice, Supreme Court, Place 6, Unexpired Term",0465,688,520,1208,3564,33.89%,690,470,24,1184
"Justice, Supreme Court, Place 6, Unexpired Term",0466,1058,614,1672,4184,39.96%,990,627,19,1636
"Justice, Supreme Court, Place 6, Unexpired Term",0467,213,189,402,1270,31.65%,98,288,7,393
"Justice, Supreme Court, Place 6, Unexpired Term",0468,352,443,795,3598,22.10%,255,510,6,771
"Justice, Supreme Court, Place 6, Unexpired Term",0469,1299,547,1846,3985,46.32%,1481,289,24,1794
"Justice, Supreme Court, Place 6, Unexpired Term",0470,185,176,361,1326,27.22%,267,67,15,349
"Justice, Supreme Court, Place 6, Unexpired Term",0471,375,380,755,2387,31.63%,614,110,20,744
"Justice, Supreme Court, Place 6, Unexpired Term",0472,198,278,476,1081,44.03%,228,214,9,451
"Justice, Supreme Court, Place 6, Unexpired Term",0473,603,391,994,1806,55.04%,708,237,20,965
"Justice, Supreme Court, Place 6, Unexpired Term",0474,559,588,1147,3037,37.77%,803,285,38,1126
"Justice, Supreme Court, Place 6, Unexpired Term",0475,189,267,456,1809,25.21%,224,206,11,441
"Justice, Supreme Court, Place 6, Unexpired Term",0476,404,473,877,2430,36.09%,492,335,23,850
"Justice, Supreme Court, Place 6, Unexpired Term",0477,737,567,1304,3505,37.20%,981,248,42,1271
"Justice, Supreme Court, Place 6, Unexpired Term",0478,958,657,1615,4461,36.20%,1100,438,34,1572
"Justice, Supreme Court, Place 6, Unexpired Term",0479,640,612,1252,2714,46.13%,927,247,45,1219
"Justice, Supreme Court, Place 6, Unexpired Term",0480,493,450,943,2415,39.05%,679,216,29,924
"Justice, Supreme Court, Place 6, Unexpired Term",0481,770,623,1393,3482,40.01%,1067,262,18,1347
"Justice, Supreme Court, Place 6, Unexpired Term",0482,878,830,1508,4373,34.48%,1069,356,50,1475
"Justice, Supreme Court, Place 6, Unexpired Term",0483,1043,478,1521,4308,35.31%,898,543,35,1476
"Justice, Supreme Court, Place 6, Unexpired Term",0484,1107,930,2037,4979,40.91%,1477,477,44,1998
"Justice, Supreme Court, Place 6, Unexpired Term",0485,1095,911,2006,5388,37.23%,1560,366,51,1977
"Justice, Supreme Court, Place 6, Unexpired Term",0486,873,855,1728,3866,44.70%,1349,290,45,1684
"Justice, Supreme Court, Place 6, Unexpired Term",0487,570,294,864,3860,22.38%,316,470,18,804
"Justice, Supreme Court, Place 6, Unexpired Term",0488,268,254,522,1719,30.37%,191,282,14,487
"Justice, Supreme Court, Place 6, Unexpired Term",0489,350,290,640,1893,33.81%,222,383,16,621
"Justice, Supreme Court, Place 6, Unexpired Term",0490,444,368,812,1975,41.11%,302,471,14,787
"Justice, Supreme Court, Place 6, Unexpired Term",0491,315,372,687,1888,36.39%,414,230,26,670
"Justice, Supreme Court, Place 6, Unexpired Term",0492,556,410,966,2335,41.37%,609,313,12,934
"Justice, Supreme Court, Place 6, Unexpired Term",0493,480,322,802,1853,43.28%,550,197,23,770
"Justice, Supreme Court, Place 6, Unexpired Term",0494,381,247,628,2467,25.46%,86,523,4,613
"Justice, Supreme Court, Place 6, Unexpired Term",0495,522,523,1045,2375,44.00%,757,217,25,999
"Justice, Supreme Court, Place 6, Unexpired Term",0496,190,315,505,2160,23.38%,204,277,9,490
"Justice, Supreme Court, Place 6, Unexpired Term",0497,526,243,769,2257,34.07%,25,728,1,754
"Justice, Supreme Court, Place 6, Unexpired Term",0498,363,323,686,2297,29.87%,304,343,22,669
"Justice, Supreme Court, Place 6, Unexpired Term",0499,751,518,1269,2326,54.56%,950,251,27,1228
"Justice, Supreme Court, Place 6, Unexpired Term",0500,729,715,1444,3507,41.17%,1011,364,29,1404
"Justice, Supreme Court, Place 6, Unexpired Term",0501,341,417,758,1801,42.09%,282,410,35,727
"Justice, Supreme Court, Place 6, Unexpired Term",0502,477,350,827,2501,33.07%,663,124,14,801
"Justice, Supreme Court, Place 6, Unexpired Term",0503,174,116,290,1374,21.11%,112,152,8,272
"Justice, Supreme Court, Place 6, Unexpired Term",0504,624,527,1151,2288,50.31%,771,302,38,1111
"Justice, Supreme Court, Place 6, Unexpired Term",0505,531,562,1193,3773,31.62%,537,558,44,1139
"Justice, Supreme Court, Place 6, Unexpired Term",0506,665,670,1335,3502,38.12%,238,1046,15,1299
"Justice, Supreme Court, Place 6, Unexpired Term",0507,221,149,370,2452,15.09%,77,226,5,308
"Justice, Supreme Court, Place 6, Unexpired Term",0508,492,412,904,3287,27.50%,351,479,26,856
"Justice, Supreme Court, Place 6, Unexpired Term",0509,754,596,1350,3732,36.17%,945,320,42,1307
"Justice, Supreme Court, Place 6, Unexpired Term",0510,689,514,1203,3590,33.51%,611,519,38,1168
"Justice, Supreme Court, Place 6, Unexpired Term",0511,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 6, Unexpired Term",0512,602,660,1262,5057,24.96%,595,610,36,1241
"Justice, Supreme Court, Place 6, Unexpired Term",0513,1019,487,1506,2894,52.04%,1172,265,29,1466
"Justice, Supreme Court, Place 6, Unexpired Term",0514,954,720,1674,4275,39.16%,1279,317,41,1637
"Justice, Supreme Court, Place 6, Unexpired Term",0515,943,683,1626,3455,47.06%,1317,232,28,1577
"Justice, Supreme Court, Place 6, Unexpired Term",0516,1001,800,1801,5356,33.63%,976,734,39,1749
"Justice, Supreme Court, Place 6, Unexpired Term",0517,482,256,738,2954,24.98%,424,274,23,721
"Justice, Supreme Court, Place 6, Unexpired Term",0518,635,693,1328,3943,33.68%,867,387,35,1289
"Justice, Supreme Court, Place 6, Unexpired Term",0519,623,493,1116,2966,37.63%,826,233,28,1087
"Justice, Supreme Court, Place 6, Unexpired Term",0520,474,457,931,4580,20.33%,175,731,11,917
"Justice, Supreme Court, Place 6, Unexpired Term",0521,471,464,935,2866,32.62%,498,385,27,910
"Justice, Supreme Court, Place 6, Unexpired Term",0522,716,572,1288,2689,47.90%,988,230,35,1253
"Justice, Supreme Court, Place 6, Unexpired Term",0523,751,415,1166,3052,38.20%,803,298,37,1138
"Justice, Supreme Court, Place 6, Unexpired Term",0524,568,459,1027,3410,30.12%,358,632,9,999
"Justice, Supreme Court, Place 6, Unexpired Term",0525,707,482,1189,3091,38.47%,284,858,21,1163
"Justice, Supreme Court, Place 6, Unexpired Term",0526,58,84,152,780,19.49%,42,95,5,142
"Justice, Supreme Court, Place 6, Unexpired Term",0527,37,40,77,574,13.41%,41,31,3,75
"Justice, Supreme Court, Place 6, Unexpired Term",0528,14,12,26,90,28.89%,2,21,2,25
"Justice, Supreme Court, Place 6, Unexpired Term",0529,1043,491,1534,3710,41.35%,1312,144,34,1490
"Justice, Supreme Court, Place 6, Unexpired Term",0530,114,107,221,1196,18.48%,60,147,3,210
"Justice, Supreme Court, Place 6, Unexpired Term",0531,363,174,537,1145,46.90%,419,90,11,520
"Justice, Supreme Court, Place 6, Unexpired Term",0532,205,146,351,1048,33.49%,261,79,5,345
"Justice, Supreme Court, Place 6, Unexpired Term",0533,124,108,232,1119,20.73%,131,83,7,221
"Justice, Supreme Court, Place 6, Unexpired Term",0534,783,524,1,307,3837,34.06%,1007,235,28,1270
"Justice, Supreme Court, Place 6, Unexpired Term",0535,33,29,62,416,14.90%,30,28,2,60
"Justice, Supreme Court, Place 6, Unexpired Term",0536,554,780,1,334,5139,25.96%,528,748,30,1306
"Justice, Supreme Court, Place 6, Unexpired Term",0537,857,778,1635,3050,53.61%,1216,346,26,1588
"Justice, Supreme Court, Place 6, Unexpired Term",0538,204,160,364,1,303,27.94%,10,343,2,355
"Justice, Supreme Court, Place 6, Unexpired Term",0539,15,241,256,64,400.00%,73,162,8,243
"Justice, Supreme Court, Place 6, Unexpired Term",0540,378,316,694,1567,44.29%,298,345,17,660
"Justice, Supreme Court, Place 6, Unexpired Term",0541,789,505,1294,4599,28.14%,194,1044,20,1258
"Justice, Supreme Court, Place 6, Unexpired Term",0542,360,382,742,2557,29.02%,53,661,7,721
