Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"District Judge, 280th Judicial District",0332,18,7,25,138,18.12%,11,10,21
"District Judge, 280th Judicial District",0333,524,714,1238,3021,40.98%,865,314,1179
"District Judge, 280th Judicial District",0334,83,42,125,742,16.85%,21,100,121
"District Judge, 280th Judicial District",0335,121,98,219,1300,16.85%,83,121,204
"District Judge, 280th Judicial District",0336,866,624,1490,4051,36.78%,134,1321,1455
"District Judge, 280th Judicial District",0337,124,103,227,1029,22.06%,42,174,216
"District Judge, 280th Judicial District",0338,730,391,1121,4934,22.72%,382,659,1041
"District Judge, 280th Judicial District",0339,202,222,424,1757,24.13%,87,308,395
"District Judge, 280th Judicial District",0340,1038,594,1632,3765,43.35%,1235,333,1568
"District Judge, 280th Judicial District",0341,91,167,258,1290,20.00%,81,169,250
"District Judge, 280th Judicial District",0342,675,605,1280,6526,19.61%,208,1040,1248
"District Judge, 280th Judicial District",0343,189,271,460,1964,23.42%,130,298,428
"District Judge, 280th Judicial District",0344,154,172,326,1160,28.10%,14,296,310
"District Judge, 280th Judicial District",0345,156,165,321,1804,17.79%,96,209,305
"District Judge, 280th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"District Judge, 280th Judicial District",0347,592,436,1028,3387,30.35%,684,310,994
"District Judge, 280th Judicial District",0348,438,208,646,1708,37.82%,490,130,620
"District Judge, 280th Judicial District",0349,188,267,455,1349,33.73%,278,153,431
"District Judge, 280th Judicial District",0350,524,526,1050,2909,36.09%,391,574,965
"District Judge, 280th Judicial District",0351,1491,710,2201,4712,46.71%,1732,386,2118
"District Judge, 280th Judicial District",0352,520,339,859,3205,26.80%,625,201,826
"District Judge, 280th Judicial District",0353,665,451,1116,3862,28.90%,205,875,1080
"District Judge, 280th Judicial District",0354,715,338,1053,3388,31.08%,261,761,1022
"District Judge, 280th Judicial District",0355,301,264,565,1560,36.22%,49,500,549
"District Judge, 280th Judicial District",0356,594,538,1132,2972,38.09%,724,354,1078
"District Judge, 280th Judicial District",0357,837,575,1412,3517,40.15%,1029,332,1361
"District Judge, 280th Judicial District",0358,212,254,466,2492,18.70%,51,398,449
"District Judge, 280th Judicial District",0359,234,224,458,3061,14.96%,58,390,448
"District Judge, 280th Judicial District",0360,522,380,902,2146,42.03%,444,382,826
"District Judge, 280th Judicial District",0361,41,295,336,1673,20.08%,50,245,295
"District Judge, 280th Judicial District",0362,1138,887,2025,5086,39.82%,1479,438,1917
"District Judge, 280th Judicial District",0363,620,412,1032,3677,28.07%,476,530,1006
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0364,488,405,893,2658,33.60%,514,335,849
"District Judge, 280th Judicial District",0365,478,231,709,1305,54.33%,49,643,692
"District Judge, 280th Judicial District",0366,252,270,522,2454,21.27%,134,374,508
"District Judge, 280th Judicial District",0367,170,138,308,1130,27.26%,69,233,302
"District Judge, 280th Judicial District",0368,178,88,266,958,27.77%,71,184,255
"District Judge, 280th Judicial District",0369,32,29,61,559,10.91%,18,41,59
"District Judge, 280th Judicial District",0370,1532,1105,2637,6593,40.00%,1992,552,2544
"District Judge, 280th Judicial District",0371,122,52,174,502,34.66%,7,161,168
"District Judge, 280th Judicial District",0372,221,170,391,1224,31.94%,50,327,377
"District Judge, 280th Judicial District",0373,21,12,33,157,21.02%,4,27,31
"District Judge, 280th Judicial District",0374,65,93,158,738,21.41%,57,96,153
"District Judge, 280th Judicial District",0375,254,220,474,2645,17.92%,234,205,439
"District Judge, 280th Judicial District",0376,278,205,483,1910,25.29%,214,246,460
"District Judge, 280th Judicial District",0377,525,583,1109,2920,37.98%,810,245,1055
"District Judge, 280th Judicial District",0378,232,354,586,1829,32.04%,367,195,562
"District Judge, 280th Judicial District",0379,431,289,720,2027,35.52%,70,632,702
"District Judge, 280th Judicial District",0380,1299,995,2294,5666,40.49%,1252,969,2221
"District Judge, 280th Judicial District",0381,412,248,660,2855,23.12%,311,326,637
"District Judge, 280th Judicial District",0382,132,157,289,922,31.34%,213,68,281
"District Judge, 280th Judicial District",0383,289,263,552,2173,25.40%,223,312,535
"District Judge, 280th Judicial District",0384,573,373,946,2657,35.60%,188,723,911
"District Judge, 280th Judicial District",0385,583,670,1253,2207,56.77%,926,258,1184
"District Judge, 280th Judicial District",0386,662,469,1131,2922,38.71%,827,260,1087
"District Judge, 280th Judicial District",0387,555,672,1227,3935,31.18%,894,292,1186
"District Judge, 280th Judicial District",0388,1430,1010,2440,6888,35.42%,1407,963,2370
"District Judge, 280th Judicial District",0389,91,208,299,1026,29.14%,43,232,275
"District Judge, 280th Judicial District",0390,356,263,619,1480,41.82%,73,519,592
"District Judge, 280th Judicial District",0391,508,260,768,1883,40.79%,476,257,733
"District Judge, 280th Judicial District",0392,387,155,542,1446,37.48%,9,526,535
"District Judge, 280th Judicial District",0393,165,185,350,1292,27.09%,167,175,342
"District Judge, 280th Judicial District",0394,69,73,142,834,17.03%,70,64,134
"District Judge, 280th Judicial District",0395,469,404,873,1846,47.29%,615,209,824
"District Judge, 280th Judicial District",0396,622,216,838,2082,40.25%,18,808,826
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0397,86,78,164,760,21.58%,77,82,159
"District Judge, 280th Judicial District",0398,615,521,1136,4022,28.24%,615,495,1110
"District Judge, 280th Judicial District",0399,402,366,768,2791,27.52%,416,330,746
"District Judge, 280th Judicial District",0400,620,359,979,2411,40.61%,706,222,928
"District Judge, 280th Judicial District",0401,330,205,535,1913,27.97%,22,502,524
"District Judge, 280th Judicial District",0402,466,266,732,1794,40.80%,36,677,713
"District Judge, 280th Judicial District",0403,475,498,973,1715,56.73%,512,372,884
"District Judge, 280th Judicial District",0404,419,330,749,2585,28.97%,440,278,718
"District Judge, 280th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 280th Judicial District",0406,137,67,204,628,32.48%,4,197,201
"District Judge, 280th Judicial District",0407,688,793,1481,3769,39.29%,971,423,1394
"District Judge, 280th Judicial District",0408,146,153,299,1691,17.68%,139,144,283
"District Judge, 280th Judicial District",0409,122,149,271,1459,18.57%,111,153,264
"District Judge, 280th Judicial District",0410,132,80,212,899,23.58%,44,157,201
"District Judge, 280th Judicial District",0411,235,200,435,2339,18.60%,159,257,416
"District Judge, 280th Judicial District",0412,74,44,118,468,25.21%,8,107,115
"District Judge, 280th Judicial District",0413,767,386,1153,2992,38.54%,462,647,1109
"District Judge, 280th Judicial District",0414,654,480,1134,3453,32.84%,872,220,1092
"District Judge, 280th Judicial District",0415,539,598,1137,2203,51.61%,748,337,1085
"District Judge, 280th Judicial District",0416,538,558,1096,3791,28.91%,612,441,1053
"District Judge, 280th Judicial District",0417,353,385,738,2448,30.15%,368,335,703
"District Judge, 280th Judicial District",0418,403,469,872,3584,24.33%,362,468,830
"District Judge, 280th Judicial District",0419,571,324,895,2658,33.67%,597,258,855
"District Judge, 280th Judicial District",0420,1036,874,1910,4762,40.11%,1557,277,1834
"District Judge, 280th Judicial District",0421,36,37,73,410,17.80%,23,45,68
"District Judge, 280th Judicial District",0422,731,402,1133,3345,33.87%,34,1076,1110
"District Judge, 280th Judicial District",0423,108,120,228,1376,16.57%,71,148,219
"District Judge, 280th Judicial District",0424,240,111,351,967,36.30%,206,127,333
"District Judge, 280th Judicial District",0425,107,123,230,883,26.05%,91,128,219
"District Judge, 280th Judicial District",0426,260,183,443,1218,36.37%,254,164,418
"District Judge, 280th Judicial District",0427,179,134,313,1092,28.66%,135,157,292
"District Judge, 280th Judicial District",0428,619,421,1040,4538,22.92%,329,630,959
"District Judge, 280th Judicial District",0429,445,314,759,3197,23.74%,210,505,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0430,161,133,294,1657,17.74%,85,196,281
"District Judge, 280th Judicial District",0431,327,84,411,3417,12.03%,145,245,390
"District Judge, 280th Judicial District",0432,123,157,280,1455,19.24%,106,166,272
"District Judge, 280th Judicial District",0433,50,63,113,581,19.45%,25,84,109
"District Judge, 280th Judicial District",0434,370,289,659,1503,43.85%,412,214,626
"District Judge, 280th Judicial District",0435,855,636,1491,3252,45.85%,937,475,1412
"District Judge, 280th Judicial District",0436,629,531,1160,2933,39.55%,714,385,1099
"District Judge, 280th Judicial District",0437,521,512,1033,2033,50.81%,704,265,969
"District Judge, 280th Judicial District",0438,517,389,1006,1861,54.06%,735,212,947
"District Judge, 280th Judicial District",0439,710,884,1594,3554,44.85%,1121,385,1506
"District Judge, 280th Judicial District",0440,664,858,1522,2930,51.95%,1176,254,1430
"District Judge, 280th Judicial District",0441,345,420,765,1669,45.84%,573,147,720
"District Judge, 280th Judicial District",0442,612,574,1186,2575,46.06%,963,176,1139
"District Judge, 280th Judicial District",0443,225,138,354,646,56.35%,253,91,344
"District Judge, 280th Judicial District",0444,587,583,1270,3262,38.93%,797,396,1193
"District Judge, 280th Judicial District",0445,499,348,847,2026,41.81%,562,247,809
"District Judge, 280th Judicial District",0446,31,22,53,291,18.21%,25,25,50
"District Judge, 280th Judicial District",0447,93,86,179,637,28.10%,57,115,172
"District Judge, 280th Judicial District",0448,590,778,1368,3138,43.59%,751,537,1288
"District Judge, 280th Judicial District",0449,12,23,35,198,17.68%,3,31,34
"District Judge, 280th Judicial District",0450,435,328,763,2635,28.96%,230,505,735
"District Judge, 280th Judicial District",0451,1002,510,1512,2687,56.27%,1213,234,1447
"District Judge, 280th Judicial District",0452,554,444,998,3048,32.74%,735,230,965
"District Judge, 280th Judicial District",0453,231,262,493,1937,25.45%,200,272,472
"District Judge, 280th Judicial District",0454,594,248,842,2561,32.88%,13,813,826
"District Judge, 280th Judicial District",0455,367,165,532,1689,31.50%,21,505,526
"District Judge, 280th Judicial District",0456,482,362,844,3513,24.03%,494,325,819
"District Judge, 280th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 280th Judicial District",0458,471,237,708,1924,36.80%,32,654,686
"District Judge, 280th Judicial District",0459,951,474,1425,3021,47.17%,1135,246,1381
"District Judge, 280th Judicial District",0460,554,331,885,2837,31.19%,232,631,863
"District Judge, 280th Judicial District",0461,1155,735,1900,3871,49.08%,1272,501,1773
"District Judge, 280th Judicial District",0462,674,619,1293,3384,38.21%,464,766,1230
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0463,480,404,884,3326,26.58%,399,453,852
"District Judge, 280th Judicial District",0464,356,430,786,2257,34.82%,563,195,758
"District Judge, 280th Judicial District",0465,687,520,1207,3564,33.87%,675,494,1169
"District Judge, 280th Judicial District",0466,1058,614,1672,4184,39.96%,967,646,1613
"District Judge, 280th Judicial District",0467,213,189,402,1270,31.65%,100,289,389
"District Judge, 280th Judicial District",0468,352,443,795,3598,22.10%,257,509,766
"District Judge, 280th Judicial District",0469,1294,547,1841,3985,46.20%,1464,309,1773
"District Judge, 280th Judicial District",0470,185,176,361,1326,27.22%,268,73,341
"District Judge, 280th Judicial District",0471,375,380,755,2387,31.63%,608,128,736
"District Judge, 280th Judicial District",0472,198,278,476,1081,44.03%,178,263,441
"District Judge, 280th Judicial District",0473,599,391,990,1806,54.82%,676,267,943
"District Judge, 280th Judicial District",0474,559,588,1147,3037,37.77%,789,316,1105
"District Judge, 280th Judicial District",0475,189,267,456,1809,25.21%,221,210,431
"District Judge, 280th Judicial District",0476,404,473,877,2430,36.09%,485,357,842
"District Judge, 280th Judicial District",0477,737,567,1304,3505,37.20%,991,265,1256
"District Judge, 280th Judicial District",0478,958,657,1615,4461,36.20%,1078,461,1539
"District Judge, 280th Judicial District",0479,638,612,1250,2714,46.06%,921,275,1196
"District Judge, 280th Judicial District",0480,493,450,943,2415,39.05%,680,227,907
"District Judge, 280th Judicial District",0481,770,623,1393,3482,40.01%,1058,274,1332
"District Judge, 280th Judicial District",0482,878,630,1508,4373,34.48%,1080,374,1454
"District Judge, 280th Judicial District",0483,1042,478,1520,4308,35.28%,876,586,1462
"District Judge, 280th Judicial District",0484,1107,930,2037,4979,40.91%,1463,505,1968
"District Judge, 280th Judicial District",0485,1095,911,2006,5388,37.23%,1556,392,1948
"District Judge, 280th Judicial District",0486,873,855,1728,3866,44.70%,1340,316,1656
"District Judge, 280th Judicial District",0487,570,294,864,3860,22.38%,305,489,794
"District Judge, 280th Judicial District",0488,268,254,522,1719,30.37%,197,290,487
"District Judge, 280th Judicial District",0489,350,290,640,1893,33.81%,209,394,603
"District Judge, 280th Judicial District",0490,444,368,812,1975,41.11%,283,498,781
"District Judge, 280th Judicial District",0491,314,372,686,1888,36.33%,402,254,656
"District Judge, 280th Judicial District",0492,556,410,966,2335,41.37%,564,355,919
"District Judge, 280th Judicial District",0493,479,322,801,1853,43.23%,529,228,757
"District Judge, 280th Judicial District",0494,381,247,628,2467,25.46%,79,532,611
"District Judge, 280th Judicial District",0495,522,523,1045,2375,44.00%,749,240,989
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0496,190,315,505,2160,23.38%,201,284,485
"District Judge, 280th Judicial District",0497,526,243,769,2257,34.07%,27,722,749
"District Judge, 280th Judicial District",0498,363,323,686,2297,29.87%,309,359,668
"District Judge, 280th Judicial District",0499,750,518,1268,2326,54.51%,887,311,1198
"District Judge, 280th Judicial District",0500,729,715,1444,3507,41.17%,993,395,1388
"District Judge, 280th Judicial District",0501,341,417,758,1801,42.09%,268,434,702
"District Judge, 280th Judicial District",0502,477,350,827,2501,33.07%,673,126,799
"District Judge, 280th Judicial District",0503,174,116,290,1374,21.11%,109,160,269
"District Judge, 280th Judicial District",0504,624,527,1151,2288,50.31%,715,366,1081
"District Judge, 280th Judicial District",0505,531,562,1193,3773,31.62%,538,580,1118
"District Judge, 280th Judicial District",0506,665,670,1335,3502,38.12%,239,1048,1287
"District Judge, 280th Judicial District",0507,221,149,370,2452,15.09%,77,227,304
"District Judge, 280th Judicial District",0508,492,412,904,3287,27.50%,344,490,834
"District Judge, 280th Judicial District",0509,753,596,1349,3732,36.15%,943,342,1285
"District Judge, 280th Judicial District",0510,687,514,1201,3590,33.45%,592,558,1150
"District Judge, 280th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 280th Judicial District",0512,602,660,1262,5057,24.96%,605,621,1226
"District Judge, 280th Judicial District",0513,1019,487,1506,2894,52.04%,1136,298,1434
"District Judge, 280th Judicial District",0514,953,720,1673,4275,39.13%,1261,345,1606
"District Judge, 280th Judicial District",0515,942,683,1625,3455,47.03%,1305,254,1559
"District Judge, 280th Judicial District",0516,1000,800,1800,5356,33.61%,952,766,1718
"District Judge, 280th Judicial District",0517,481,256,737,2954,24.95%,418,296,714
"District Judge, 280th Judicial District",0518,635,693,1328,3943,33.68%,879,398,1277
"District Judge, 280th Judicial District",0519,623,493,1116,2966,37.63%,833,244,1077
"District Judge, 280th Judicial District",0520,473,457,930,4580,20.31%,172,737,909
"District Judge, 280th Judicial District",0521,471,464,935,2866,32.62%,508,392,900
"District Judge, 280th Judicial District",0522,715,572,1288,2689,47.90%,986,255,1241
"District Judge, 280th Judicial District",0523,751,415,1166,3052,38.20%,780,337,1117
"District Judge, 280th Judicial District",0524,567,459,1026,3410,30.09%,358,633,991
"District Judge, 280th Judicial District",0525,707,482,1189,3091,38.47%,267,871,1138
"District Judge, 280th Judicial District",0526,58,84,152,780,19.49%,45,97,142
"District Judge, 280th Judicial District",0527,37,40,77,574,13.41%,41,33,74
"District Judge, 280th Judicial District",0528,14,12,26,90,28.89%,1,23,24
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0529,1043,491,1534,3710,41.35%,1317,162,1479
"District Judge, 280th Judicial District",0530,114,107,221,1196,18.48%,54,153,207
"District Judge, 280th Judicial District",0531,363,174,537,1145,46.90%,411,102,513
"District Judge, 280th Judicial District",0532,205,146,351,1048,33.49%,257,85,342
"District Judge, 280th Judicial District",0533,124,108,232,1119,20.73%,132,89,221
"District Judge, 280th Judicial District",0534,783,524,1307,3837,34.06%,986,262,1248
"District Judge, 280th Judicial District",0535,33,29,62,416,14.90%,29,32,61
"District Judge, 280th Judicial District",0536,554,780,1334,5139,25.96%,517,769,1286
"District Judge, 280th Judicial District",0537,855,778,1633,3050,53.54%,1187,371,1558
"District Judge, 280th Judicial District",0538,204,160,364,1303,27.94%,6,348,354
"District Judge, 280th Judicial District",0539,15,241,256,64,400.00%,75,163,238
"District Judge, 280th Judicial District",0540,378,316,694,1567,44.29%,258,385,643
"District Judge, 280th Judicial District",0541,784,505,1289,4599,28.03%,188,1047,1235
"District Judge, 280th Judicial District",0542,360,382,742,2557,29.02%,43,667,710
"District Judge, 280th Judicial District",0543,141,213,354,1565,22.62%,117,215,332
"District Judge, 280th Judicial District",0544,35,41,77,310,24.84%,11,65,76
"District Judge, 280th Judicial District",0545,596,620,1216,3629,33.51%,616,553,1169
"District Judge, 280th Judicial District",0546,2,2,4,37,10.81%,2,1,3
"District Judge, 280th Judicial District",0547,501,466,967,2406,40.19%,680,245,925
"District Judge, 280th Judicial District",0548,286,293,579,2215,26.14%,303,258,561
"District Judge, 280th Judicial District",0549,343,418,761,2663,28.58%,110,635,745
"District Judge, 280th Judicial District",0550,501,431,932,3031,30.75%,529,370,899
"District Judge, 280th Judicial District",0551,1288,1394,2682,7034,38.13%,2015,589,2604
"District Judge, 280th Judicial District",0552,847,883,1730,3415,50.66%,1424,252,1676
"District Judge, 280th Judicial District",0553,578,529,1107,4686,23.62%,507,567,1074
"District Judge, 280th Judicial District",0554,261,199,460,1757,26.18%,99,329,428
"District Judge, 280th Judicial District",0555,225,277,502,2219,22.62%,101,383,484
"District Judge, 280th Judicial District",0556,276,186,462,2319,19.92%,134,309,443
"District Judge, 280th Judicial District",0557,455,183,638,2830,22.54%,264,292,556
"District Judge, 280th Judicial District",0558,693,463,1156,4380,26.39%,406,704,1110
"District Judge, 280th Judicial District",0559,540,494,1134,4969,22.82%,340,750,1090
"District Judge, 280th Judicial District",0560,72,131,203,1120,18.13%,56,131,187
"District Judge, 280th Judicial District",0561,362,436,798,3064,26.04%,480,288,768
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0562,113,68,181,694,26.08%,28,149,177
"District Judge, 280th Judicial District",0563,1107,376,1483,3105,47.76%,1169,259,1428
"District Judge, 280th Judicial District",0564,470,426,896,3155,28.40%,225,629,854
"District Judge, 280th Judicial District",0565,108,78,186,1354,13.74%,44,128,172
"District Judge, 280th Judicial District",0566,417,324,741,2882,25.71%,230,491,721
"District Judge, 280th Judicial District",0567,301,193,494,2238,22.07%,154,299,453
"District Judge, 280th Judicial District",0568,876,685,1561,3594,43.43%,1010,456,1466
"District Judge, 280th Judicial District",0569,572,667,1239,3525,35.15%,633,532,1165
"District Judge, 280th Judicial District",0570,238,210,448,1562,28.68%,149,265,414
"District Judge, 280th Judicial District",0571,155,149,304,1827,16.64%,122,174,296
"District Judge, 280th Judicial District",0572,555,375,930,3108,29.92%,470,424,894
"District Judge, 280th Judicial District",0573,290,151,441,1619,27.24%,6,431,437
"District Judge, 280th Judicial District",0574,31,42,73,402,18.16%,8,65,73
"District Judge, 280th Judicial District",0575,13,11,24,74,32.43%,18,5,23
"District Judge, 280th Judicial District",0576,485,318,803,2734,29.37%,22,767,789
"District Judge, 280th Judicial District",0577,147,88,235,608,38.65%,143,82,225
"District Judge, 280th Judicial District",0578,409,538,947,1799,52.64%,564,331,895
"District Judge, 280th Judicial District",0579,75,101,176,1056,16.67%,34,134,168
"District Judge, 280th Judicial District",0580,179,118,297,1031,28.81%,5,283,288
"District Judge, 280th Judicial District",0581,212,174,386,1032,37.40%,7,367,374
"District Judge, 280th Judicial District",0582,258,171,429,1588,27.02%,21,396,417
"District Judge, 280th Judicial District",0583,225,131,356,1262,28.21%,15,332,347
"District Judge, 280th Judicial District",0584,182,93,275,1014,27.12%,13,258,271
"District Judge, 280th Judicial District",0585,417,172,589,2511,23.46%,17,564,581
"District Judge, 280th Judicial District",0586,638,680,1318,4316,30.54%,806,460,1266
"District Judge, 280th Judicial District",0587,436,284,720,2598,27.71%,288,411,699
"District Judge, 280th Judicial District",0588,758,674,1432,3645,39.29%,1022,364,1386
"District Judge, 280th Judicial District",0589,500,386,886,3420,25.91%,494,365,859
"District Judge, 280th Judicial District",0590,772,399,1171,2162,54.16%,909,226,1135
"District Judge, 280th Judicial District",0591,183,231,414,2121,19.52%,128,269,397
"District Judge, 280th Judicial District",0592,133,157,290,1350,21.48%,77,201,278
"District Judge, 280th Judicial District",0593,543,564,1107,4380,25.27%,542,513,1055
"District Judge, 280th Judicial District",0594,561,326,887,2490,35.62%,248,607,855
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0595,201,178,379,1693,22.39%,69,301,370
"District Judge, 280th Judicial District",0596,441,348,789,3007,26.24%,446,319,765
"District Judge, 280th Judicial District",0597,367,394,761,3653,20.83%,334,415,749
"District Judge, 280th Judicial District",0598,195,57,252,728,34.62%,203,43,246
"District Judge, 280th Judicial District",0599,850,578,1428,4950,28.85%,512,873,1385
"District Judge, 280th Judicial District",0600,667,429,1096,3957,27.70%,440,605,1045
"District Judge, 280th Judicial District",0601,1073,756,1829,4057,45.08%,1385,377,1762
"District Judge, 280th Judicial District",0602,293,235,528,1326,39.82%,385,125,510
"District Judge, 280th Judicial District",0603,554,794,1678,4843,34.65%,1077,561,1638
"District Judge, 280th Judicial District",0604,702,518,1220,3005,40.60%,1010,169,1179
"District Judge, 280th Judicial District",0605,907,556,1463,5582,26.21%,367,1052,1419
"District Judge, 280th Judicial District",0606,176,70,246,937,26.25%,3,238,241
"District Judge, 280th Judicial District",0607,62,51,113,728,15.52%,13,94,107
"District Judge, 280th Judicial District",0608,31,47,78,537,14.53%,43,29,72
"District Judge, 280th Judicial District",0609,557,680,1347,3384,39.80%,833,441,1274
"District Judge, 280th Judicial District",0610,231,188,419,1927,21.74%,211,176,387
"District Judge, 280th Judicial District",0611,495,242,737,2488,29.62%,26,699,725
"District Judge, 280th Judicial District",0612,996,497,1493,3307,45.15%,1123,291,1414
"District Judge, 280th Judicial District",0613,186,204,390,1554,25.10%,62,316,378
"District Judge, 280th Judicial District",0614,737,566,1303,4207,30.97%,499,753,1252
"District Judge, 280th Judicial District",0615,450,299,779,1967,39.60%,492,264,756
"District Judge, 280th Judicial District",0616,739,663,1402,3436,40.80%,984,361,1345
"District Judge, 280th Judicial District",0617,541,393,934,3809,24.52%,390,521,911
"District Judge, 280th Judicial District",0618,946,567,1513,6003,25.20%,764,703,1467
"District Judge, 280th Judicial District",0619,1219,803,2022,4297,47.06%,1498,433,1931
"District Judge, 280th Judicial District",0620,589,264,953,2897,32.90%,589,319,908
"District Judge, 280th Judicial District",0621,154,101,255,1133,22.51%,133,109,242
"District Judge, 280th Judicial District",0622,881,524,1405,4403,31.91%,866,489,1355
"District Judge, 280th Judicial District",0623,887,487,1374,3691,37.23%,929,383,1312
"District Judge, 280th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 280th Judicial District",0625,477,362,839,1820,46.10%,473,316,789
"District Judge, 280th Judicial District",0626,551,440,1021,2861,35.69%,559,408,967
"District Judge, 280th Judicial District",0627,345,322,668,3049,21.91%,241,395,636
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0628,152,219,371,1675,22.15%,192,166,358
"District Judge, 280th Judicial District",0629,37,53,90,696,12.93%,15,74,89
"District Judge, 280th Judicial District",0630,974,600,1574,3905,40.31%,123,1406,1529
"District Judge, 280th Judicial District",0631,822,404,1226,2846,43.08%,895,289,1184
"District Judge, 280th Judicial District",0632,7,4,11,343,3.21%,3,8,11
"District Judge, 280th Judicial District",0633,943,731,1674,3559,47.04%,1196,413,1609
"District Judge, 280th Judicial District",0634,458,442,900,3029,29.71%,594,276,870
"District Judge, 280th Judicial District",0635,743,485,1228,3393,36.19%,926,268,1194
"District Judge, 280th Judicial District",0636,835,874,1710,4140,41.30%,1483,174,1657
"District Judge, 280th Judicial District",0637,409,362,771,2512,30.69%,184,532,716
"District Judge, 280th Judicial District",0638,304,245,549,2204,24.91%,43,483,526
"District Judge, 280th Judicial District",0639,549,547,1096,2526,43.39%,876,173,1049
"District Judge, 280th Judicial District",0640,641,459,1100,3733,29.47%,692,375,1067
"District Judge, 280th Judicial District",0641,649,596,1245,3650,34.11%,828,370,1198
"District Judge, 280th Judicial District",0642,471,394,865,1764,49.04%,695,132,827
"District Judge, 280th Judicial District",0643,934,653,1587,5945,26.69%,620,916,1536
"District Judge, 280th Judicial District",0644,1019,823,1842,5523,33.35%,1215,543,1758
"District Judge, 280th Judicial District",0645,654,594,1248,4185,29.82%,671,527,1198
"District Judge, 280th Judicial District",0646,364,287,651,2220,29.32%,208,404,612
"District Judge, 280th Judicial District",0647,904,470,1374,6084,22.58%,389,874,1263
"District Judge, 280th Judicial District",0648,838,579,1417,3367,42.08%,1018,350,1368
"District Judge, 280th Judicial District",0649,687,434,1121,4576,24.50%,364,681,1045
"District Judge, 280th Judicial District",0650,906,766,1672,3888,43.00%,1205,396,1601
"District Judge, 280th Judicial District",0651,963,766,1729,5128,33.72%,1111,548,1659
"District Judge, 280th Judicial District",0652,467,515,982,2815,34.88%,176,774,950
"District Judge, 280th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"District Judge, 280th Judicial District",0654,950,1005,1955,6208,31.49%,1106,779,1885
"District Judge, 280th Judicial District",0655,1115,1079,2195,6855,32.02%,1374,739,2113
"District Judge, 280th Judicial District",0656,579,393,972,2674,36.35%,37,915,952
"District Judge, 280th Judicial District",0657,246,172,418,1292,32.35%,174,226,400
"District Judge, 280th Judicial District",0658,540,426,966,2807,34.41%,632,311,943
"District Judge, 280th Judicial District",0659,1149,788,1937,4856,39.89%,1396,487,1883
"District Judge, 280th Judicial District",0660,950,825,1775,5372,33.04%,168,1573,1741
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0661,675,765,1440,4567,31.53%,840,545,1385
"District Judge, 280th Judicial District",0662,1148,890,2038,4874,41.81%,1641,338,1979
"District Judge, 280th Judicial District",0663,717,797,1514,3346,45.25%,743,667,1410
