Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0077,43,46,89,566,15.72%,20,65,85
"District Judge, 280th Judicial District",0078,180,201,381,1522,25.03%,129,232,361
"District Judge, 280th Judicial District",0079,205,306,511,2927,17.46%,125,341,466
"District Judge, 280th Judicial District",0080,501,351,852,2725,31.27%,219,596,815
"District Judge, 280th Judicial District",0081,183,187,370,1835,20.16%,144,201,345
"District Judge, 280th Judicial District",0082,639,671,1310,3368,38.90%,979,291,1270
"District Judge, 280th Judicial District",0083,1296,888,2184,6625,32.97%,1070,1038,2108
"District Judge, 280th Judicial District",0084,208,218,426,1373,31.03%,310,100,410
"District Judge, 280th Judicial District",0085,271,248,519,2173,23.88%,23,486,509
"District Judge, 280th Judicial District",0086,447,568,1015,2910,34.88%,440,516,956
"District Judge, 280th Judicial District",0087,574,787,1461,2818,51.85%,853,501,1354
"District Judge, 280th Judicial District",0088,123,118,241,693,34.78%,154,75,229
"District Judge, 280th Judicial District",0089,165,371,536,1094,48.99%,275,218,493
"District Judge, 280th Judicial District",0090,844,790,1634,3700,44.16%,1166,400,1566
"District Judge, 280th Judicial District",0091,219,222,441,1505,29.30%,261,162,423
"District Judge, 280th Judicial District",0092,695,462,1157,2242,51.61%,755,330,1085
"District Judge, 280th Judicial District",0093,381,301,682,3356,20.32%,274,368,642
"District Judge, 280th Judicial District",0094,51,43,94,549,17.12%,28,63,91
"District Judge, 280th Judicial District",0095,917,576,1493,3177,46.99%,1063,367,1430
"District Judge, 280th Judicial District",0096,83,83,166,1296,12.81%,21,143,164
"District Judge, 280th Judicial District",0097,1024,725,1749,4828,36.23%,1293,397,1690
"District Judge, 280th Judicial District",0098,403,488,891,2651,33.61%,745,119,864
"District Judge, 280th Judicial District",0099,254,184,438,2092,20.94%,210,214,424
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0100,155,173,338,1730,19.54%,182,150,332
"District Judge, 280th Judicial District",0101,72,58,130,946,13.74%,48,79,127
"District Judge, 280th Judicial District",0102,207,121,328,1872,17.52%,90,226,316
"District Judge, 280th Judicial District",0103,700,714,1414,5371,26.33%,800,574,1374
"District Judge, 280th Judicial District",0104,530,231,761,1905,39.95%,21,731,752
"District Judge, 280th Judicial District",0105,195,210,406,2165,18.75%,132,245,377
"District Judge, 280th Judicial District",0106,15,7,25,294,8.50%,16,9,25
"District Judge, 280th Judicial District",0107,154,197,351,2032,17.27%,56,280,336
"District Judge, 280th Judicial District",0108,558,272,940,3365,27.93%,570,337,907
"District Judge, 280th Judicial District",0109,529,245,774,2824,27.41%,8,753,761
"District Judge, 280th Judicial District",0110,554,494,1148,3042,37.74%,740,371,1111
"District Judge, 280th Judicial District",0111,815,795,1611,4102,39.27%,1179,365,1544
"District Judge, 280th Judicial District",0112,542,485,1027,2976,34.51%,750,239,989
