Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0074,1153,782,1935,3583,54.01%,1511,330,1841
"Judge, County Criminal Court No. 8",0075,254,280,534,1444,36.98%,193,307,500
"Judge, County Criminal Court No. 8",0076,373,374,747,2362,31.63%,444,268,712
"Judge, County Criminal Court No. 8",0077,43,46,89,566,15.72%,22,63,85
"Judge, County Criminal Court No. 8",0078,180,201,381,1522,25.03%,129,230,359
"Judge, County Criminal Court No. 8",0079,205,306,511,2927,17.46%,131,337,468
"Judge, County Criminal Court No. 8",0080,501,351,852,2725,31.27%,206,607,813
"Judge, County Criminal Court No. 8",0081,183,187,370,1835,20.16%,141,205,346
"Judge, County Criminal Court No. 8",0082,639,671,1310,3368,38.90%,984,287,1271
"Judge, County Criminal Court No. 8",0083,1296,888,2184,6625,32.97%,1060,1046,2106
"Judge, County Criminal Court No. 8",0084,208,218,426,1373,31.03%,304,103,407
"Judge, County Criminal Court No. 8",0085,271,248,519,2173,23.88%,22,487,509
"Judge, County Criminal Court No. 8",0086,447,568,1015,2910,34.88%,464,491,955
"Judge, County Criminal Court No. 8",0087,574,787,1461,2818,51.85%,917,432,1349
"Judge, County Criminal Court No. 8",0088,123,118,241,693,34.78%,152,76,228
"Judge, County Criminal Court No. 8",0089,165,371,536,1094,48.99%,296,189,485
"Judge, County Criminal Court No. 8",0090,844,790,1634,3700,44.16%,1190,374,1564
"Judge, County Criminal Court No. 8",0091,219,222,441,1505,29.30%,263,159,422
"Judge, County Criminal Court No. 8",0092,695,462,1157,2242,51.61%,766,315,1081
"Judge, County Criminal Court No. 8",0093,381,301,682,3356,20.32%,269,369,638
"Judge, County Criminal Court No. 8",0094,51,43,94,549,17.12%,30,61,91
"Judge, County Criminal Court No. 8",0095,917,576,1493,3177,46.99%,1089,332,1421
"Judge, County Criminal Court No. 8",0096,83,83,166,1296,12.81%,21,144,165
"Judge, County Criminal Court No. 8",0097,1024,725,1749,4828,36.23%,1293,391,1684
"Judge, County Criminal Court No. 8",0098,403,488,891,2651,33.61%,729,132,861
"Judge, County Criminal Court No. 8",0099,254,184,438,2092,20.94%,211,212,423
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0100,155,173,338,1730,19.54%,178,153,331
"Judge, County Criminal Court No. 8",0101,72,58,130,946,13.74%,48,80,128
"Judge, County Criminal Court No. 8",0102,207,121,328,1872,17.52%,90,225,315
"Judge, County Criminal Court No. 8",0103,700,714,1414,5371,26.33%,793,575,1368
"Judge, County Criminal Court No. 8",0104,530,231,761,1905,39.95%,17,729,746
"Judge, County Criminal Court No. 8",0105,195,210,406,2165,18.75%,133,240,373
"Judge, County Criminal Court No. 8",0106,15,7,25,294,8.50%,15,9,24
"Judge, County Criminal Court No. 8",0107,154,197,351,2032,17.27%,58,277,335
"Judge, County Criminal Court No. 8",0108,558,272,940,3365,27.93%,561,349,910
"Judge, County Criminal Court No. 8",0109,529,245,774,2824,27.41%,6,747,753
"Judge, County Criminal Court No. 8",0110,554,494,1148,3042,37.74%,743,369,1112
"Judge, County Criminal Court No. 8",0111,815,795,1611,4102,39.27%,1171,364,1535
"Judge, County Criminal Court No. 8",0112,542,485,1027,2976,34.51%,751,231,982
"Judge, County Criminal Court No. 8",0113,552,429,991,2647,37.44%,603,338,941
"Judge, County Criminal Court No. 8",0114,707,547,1254,3311,37.87%,999,222,1221
"Judge, County Criminal Court No. 8",0115,238,150,388,1800,21.56%,50,326,376
"Judge, County Criminal Court No. 8",0116,982,776,1758,3147,55.86%,1358,289,1647
"Judge, County Criminal Court No. 8",0117,215,226,441,1880,23.46%,216,199,415
"Judge, County Criminal Court No. 8",0118,304,123,427,759,56.26%,361,49,410
"Judge, County Criminal Court No. 8",0119,1288,1024,2312,5500,42.04%,1869,346,2215
"Judge, County Criminal Court No. 8",0120,712,422,1134,3191,35.54%,746,335,1081
"Judge, County Criminal Court No. 8",0121,92,178,270,848,31.84%,188,71,259
"Judge, County Criminal Court No. 8",0122,352,225,577,1890,30.53%,20,533,553
"Judge, County Criminal Court No. 8",0123,284,288,572,1392,41.09%,146,388,534
"Judge, County Criminal Court No. 8",0124,1734,1292,3026,7254,41.71%,2396,545,2941
"Judge, County Criminal Court No. 8",0125,415,332,747,2405,31.06%,455,265,720
"Judge, County Criminal Court No. 8",0126,893,467,1360,3100,43.87%,1196,125,1321
"Judge, County Criminal Court No. 8",0127,435,154,589,1836,32.08%,418,134,552
"Judge, County Criminal Court No. 8",0128,445,707,1152,2290,50.31%,737,314,1051
"Judge, County Criminal Court No. 8",0129,1030,1200,2230,5746,38.81%,1401,707,2108
"Judge, County Criminal Court No. 8",0130,727,523,1250,2333,53.58%,924,255,1179
"Judge, County Criminal Court No. 8",0131,251,259,510,1935,26.36%,122,364,485
"Judge, County Criminal Court No. 8",0132,593,323,916,2387,38.37%,17,879,896
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0133,513,858,1371,2662,51.50%,792,451,1243
"Judge, County Criminal Court No. 8",0134,192,265,457,1437,31.80%,208,224,432
"Judge, County Criminal Court No. 8",0135,727,579,1305,2671,48.90%,918,302,1220
"Judge, County Criminal Court No. 8",0136,503,371,874,2013,43.42%,36,808,844
"Judge, County Criminal Court No. 8",0137,166,141,307,716,42.88%,150,128,278
"Judge, County Criminal Court No. 8",0138,296,199,495,1699,29.13%,16,469,485
"Judge, County Criminal Court No. 8",0139,699,551,1250,3037,41.16%,546,623,1169
"Judge, County Criminal Court No. 8",0140,699,480,1179,3214,36.68%,136,1000,1136
"Judge, County Criminal Court No. 8",0141,80,80,160,855,18.71%,97,54,151
"Judge, County Criminal Court No. 8",0142,87,103,190,902,21.06%,63,118,181
"Judge, County Criminal Court No. 8",0143,1962,580,2542,6386,39.81%,1826,648,2474
"Judge, County Criminal Court No. 8",0144,216,158,374,1093,34.22%,11,354,365
"Judge, County Criminal Court No. 8",0145,264,213,477,1538,31.01%,9,456,465
"Judge, County Criminal Court No. 8",0146,426,519,945,2008,47.06%,413,477,890
"Judge, County Criminal Court No. 8",0147,589,329,1018,3008,33.84%,126,863,989
"Judge, County Criminal Court No. 8",0148,500,780,1280,2540,50.39%,510,652,1162
"Judge, County Criminal Court No. 8",0149,1621,737,2358,7993,29.50%,1220,1077,2297
"Judge, County Criminal Court No. 8",0150,236,169,405,1256,32.25%,14,384,398
"Judge, County Criminal Court No. 8",0151,137,79,216,826,26.15%,10,198,208
"Judge, County Criminal Court No. 8",0152,213,299,512,2788,18.36%,137,350,487
"Judge, County Criminal Court No. 8",0153,125,206,331,1808,18.31%,105,212,317
"Judge, County Criminal Court No. 8",0154,249,183,432,2190,19.73%,113,293,406
"Judge, County Criminal Court No. 8",0155,1022,619,1641,4109,39.94%,1144,436,1580
"Judge, County Criminal Court No. 8",0156,799,326,1125,3071,36.63%,36,1059,1095
"Judge, County Criminal Court No. 8",0157,448,214,662,2236,29.61%,22,621,643
"Judge, County Criminal Court No. 8",0158,600,315,915,3035,30.15%,21,870,891
"Judge, County Criminal Court No. 8",0159,116,127,243,998,24.35%,38,199,237
"Judge, County Criminal Court No. 8",0160,122,73,195,696,28.02%,6,185,191
"Judge, County Criminal Court No. 8",0161,163,141,304,991,30.68%,6,288,294
"Judge, County Criminal Court No. 8",0162,101,83,184,1265,14.55%,70,100,170
"Judge, County Criminal Court No. 8",0163,230,320,550,3037,18.11%,230,289,519
"Judge, County Criminal Court No. 8",0164,182,205,387,1420,27.25%,12,369,381
"Judge, County Criminal Court No. 8",0165,535,483,1018,2334,43.62%,670,293,963
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0166,158,233,391,1028,38.04%,114,254,368
"Judge, County Criminal Court No. 8",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Criminal Court No. 8",0168,92,58,150,503,29.82%,4,142,146
"Judge, County Criminal Court No. 8",0169,518,251,767,2513,30.52%,12,736,748
"Judge, County Criminal Court No. 8",0170,271,141,412,1869,22.04%,216,176,392
"Judge, County Criminal Court No. 8",0171,202,198,400,1604,24.94%,10,380,390
"Judge, County Criminal Court No. 8",0172,88,80,166,621,26.73%,65,87,152
"Judge, County Criminal Court No. 8",0173,817,739,1556,3599,43.23%,1250,253,1503
"Judge, County Criminal Court No. 8",0174,829,733,1562,3296,47.39%,1075,396,1471
"Judge, County Criminal Court No. 8",0175,557,749,1306,2618,49.89%,662,532,1194
"Judge, County Criminal Court No. 8",0176,344,451,795,1602,49.63%,417,300,717
"Judge, County Criminal Court No. 8",0177,278,326,604,1496,40.37%,340,219,559
"Judge, County Criminal Court No. 8",0178,504,365,869,1765,49.24%,598,194,792
"Judge, County Criminal Court No. 8",0179,256,188,444,1575,28.19%,235,181,416
"Judge, County Criminal Court No. 8",0180,470,343,813,2834,28.69%,21,753,774
"Judge, County Criminal Court No. 8",0181,175,262,437,2061,21.20%,142,272,414
"Judge, County Criminal Court No. 8",0182,590,974,1564,3405,45.93%,958,465,1423
"Judge, County Criminal Court No. 8",0183,519,794,1313,2491,52.71%,871,336,1207
"Judge, County Criminal Court No. 8",0184,106,135,241,994,24.25%,83,134,217
"Judge, County Criminal Court No. 8",0185,283,292,575,1933,29.75%,201,347,548
"Judge, County Criminal Court No. 8",0186,97,106,203,798,25.44%,35,161,196
"Judge, County Criminal Court No. 8",0187,21,25,46,311,14.79%,15,29,44
"Judge, County Criminal Court No. 8",0188,153,146,299,1637,18.27%,139,150,289
"Judge, County Criminal Court No. 8",0189,239,360,599,1465,40.89%,311,245,556
"Judge, County Criminal Court No. 8",0190,120,177,297,1723,17.24%,124,161,285
"Judge, County Criminal Court No. 8",0191,79,126,205,1366,15.01%,85,110,195
"Judge, County Criminal Court No. 8",0192,380,225,605,1959,30.88%,26,560,586
"Judge, County Criminal Court No. 8",0193,173,187,360,1074,33.52%,8,339,347
"Judge, County Criminal Court No. 8",0194,350,431,781,1912,40.85%,246,492,738
"Judge, County Criminal Court No. 8",0195,269,278,547,1694,32.29%,17,513,530
"Judge, County Criminal Court No. 8",0196,52,32,84,316,26.58%,5,77,82
"Judge, County Criminal Court No. 8",0197,543,309,852,2914,29.24%,15,824,839
"Judge, County Criminal Court No. 8",0198,53,74,127,642,19.78%,1,123,124
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0199,812,661,1473,3216,45.80%,1144,259,1403
"Judge, County Criminal Court No. 8",0200,962,536,1498,3382,44.29%,684,704,1388
"Judge, County Criminal Court No. 8",0201,98,87,185,724,25.55%,2,178,180
