Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0318,834,568,1402,3660,38.31%,71,1285,1356
"Judge, County Criminal Court No. 8",0319,512,230,742,2158,34.38%,45,673,718
"Judge, County Criminal Court No. 8",0320,234,168,402,1537,26.15%,199,185,384
"Judge, County Criminal Court No. 8",0321,262,191,453,2346,19.31%,170,258,428
"Judge, County Criminal Court No. 8",0322,181,129,310,1226,25.29%,105,193,298
"Judge, County Criminal Court No. 8",0323,278,211,489,1722,28.40%,235,224,459
"Judge, County Criminal Court No. 8",0324,532,646,1178,2336,50.43%,704,381,1085
"Judge, County Criminal Court No. 8",0325,289,193,482,2112,22.82%,101,358,459
"Judge, County Criminal Court No. 8",0326,87,74,161,698,23.07%,78,74,152
"Judge, County Criminal Court No. 8",0327,380,129,509,1729,29.44%,7,484,491
"Judge, County Criminal Court No. 8",0328,151,140,291,1434,20.29%,126,151,277
"Judge, County Criminal Court No. 8",0329,189,184,373,1397,26.70%,139,211,350
"Judge, County Criminal Court No. 8",0330,334,253,587,1936,30.32%,329,227,556
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0332,18,7,25,138,18.12%,13,8,21
"Judge, County Criminal Court No. 8",0333,524,714,1238,3021,40.98%,853,319,1172
"Judge, County Criminal Court No. 8",0334,83,42,125,742,16.85%,20,100,120
"Judge, County Criminal Court No. 8",0335,121,98,219,1300,16.85%,85,119,204
"Judge, County Criminal Court No. 8",0336,866,624,1490,4051,36.78%,128,1327,1455
"Judge, County Criminal Court No. 8",0337,124,103,227,1029,22.06%,40,175,215
"Judge, County Criminal Court No. 8",0338,730,391,1121,4934,22.72%,381,662,1043
"Judge, County Criminal Court No. 8",0339,202,222,424,1757,24.13%,90,305,395
"Judge, County Criminal Court No. 8",0340,1038,594,1632,3765,43.35%,1221,334,1555
"Judge, County Criminal Court No. 8",0341,91,167,258,1290,20.00%,86,163,249
"Judge, County Criminal Court No. 8",0342,675,605,1280,6526,19.61%,207,1039,1246
"Judge, County Criminal Court No. 8",0343,189,271,460,1964,23.42%,138,292,430
"Judge, County Criminal Court No. 8",0344,154,172,326,1160,28.10%,13,299,312
"Judge, County Criminal Court No. 8",0345,156,165,321,1804,17.79%,98,205,303
"Judge, County Criminal Court No. 8",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Criminal Court No. 8",0347,592,436,1028,3387,30.35%,690,297,987
"Judge, County Criminal Court No. 8",0348,438,208,646,1708,37.82%,492,123,615
"Judge, County Criminal Court No. 8",0349,188,267,455,1349,33.73%,279,150,429
"Judge, County Criminal Court No. 8",0350,524,526,1050,2909,36.09%,422,535,957
"Judge, County Criminal Court No. 8",0351,1491,710,2201,4712,46.71%,1740,377,2117
"Judge, County Criminal Court No. 8",0352,520,339,859,3205,26.80%,627,200,827
"Judge, County Criminal Court No. 8",0353,665,451,1116,3862,28.90%,198,888,1086
"Judge, County Criminal Court No. 8",0354,715,338,1053,3388,31.08%,259,763,1022
"Judge, County Criminal Court No. 8",0355,301,264,565,1560,36.22%,49,500,549
"Judge, County Criminal Court No. 8",0356,594,538,1132,2972,38.09%,738,339,1077
"Judge, County Criminal Court No. 8",0357,837,575,1412,3517,40.15%,1028,331,1359
"Judge, County Criminal Court No. 8",0358,212,254,466,2492,18.70%,52,399,451
"Judge, County Criminal Court No. 8",0359,234,224,458,3061,14.96%,59,388,447
"Judge, County Criminal Court No. 8",0360,522,380,902,2146,42.03%,467,353,820
"Judge, County Criminal Court No. 8",0361,41,295,336,1673,20.08%,50,243,293
"Judge, County Criminal Court No. 8",0362,1138,887,2025,5086,39.82%,1483,434,1917
"Judge, County Criminal Court No. 8",0363,620,412,1032,3677,28.07%,462,537,999
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0364,488,405,893,2658,33.60%,509,336,845
"Judge, County Criminal Court No. 8",0365,478,231,709,1305,54.33%,54,638,692
"Judge, County Criminal Court No. 8",0366,252,270,522,2454,21.27%,132,375,507
"Judge, County Criminal Court No. 8",0367,170,138,308,1130,27.26%,66,234,300
"Judge, County Criminal Court No. 8",0368,178,88,266,958,27.77%,72,183,255
"Judge, County Criminal Court No. 8",0369,32,29,61,559,10.91%,17,42,59
"Judge, County Criminal Court No. 8",0370,1532,1105,2637,6593,40.00%,1985,553,2538
"Judge, County Criminal Court No. 8",0371,122,52,174,502,34.66%,8,159,167
"Judge, County Criminal Court No. 8",0372,221,170,391,1224,31.94%,51,325,376
"Judge, County Criminal Court No. 8",0373,21,12,33,157,21.02%,2,29,31
"Judge, County Criminal Court No. 8",0374,65,93,158,738,21.41%,56,96,152
"Judge, County Criminal Court No. 8",0375,254,220,474,2645,17.92%,230,208,438
"Judge, County Criminal Court No. 8",0376,278,205,483,1910,25.29%,212,247,459
"Judge, County Criminal Court No. 8",0377,525,583,1109,2920,37.98%,805,243,1048
"Judge, County Criminal Court No. 8",0378,232,354,586,1829,32.04%,365,192,557
"Judge, County Criminal Court No. 8",0379,431,289,720,2027,35.52%,72,629,701
"Judge, County Criminal Court No. 8",0380,1299,995,2294,5666,40.49%,1240,977,2217
"Judge, County Criminal Court No. 8",0381,412,248,660,2855,23.12%,304,329,633
"Judge, County Criminal Court No. 8",0382,132,157,289,922,31.34%,212,68,280
"Judge, County Criminal Court No. 8",0383,289,263,552,2173,25.40%,229,299,528
"Judge, County Criminal Court No. 8",0384,573,373,946,2657,35.60%,184,724,908
"Judge, County Criminal Court No. 8",0385,583,670,1253,2207,56.77%,968,203,1171
"Judge, County Criminal Court No. 8",0386,662,469,1131,2922,38.71%,820,265,1085
"Judge, County Criminal Court No. 8",0387,555,672,1227,3935,31.18%,891,295,1186
"Judge, County Criminal Court No. 8",0388,1430,1010,2440,6888,35.42%,1399,966,2365
"Judge, County Criminal Court No. 8",0389,91,208,299,1026,29.14%,40,234,274
"Judge, County Criminal Court No. 8",0390,356,263,619,1480,41.82%,79,516,595
"Judge, County Criminal Court No. 8",0391,508,260,768,1883,40.79%,480,251,731
"Judge, County Criminal Court No. 8",0392,387,155,542,1446,37.48%,7,526,533
"Judge, County Criminal Court No. 8",0393,165,185,350,1292,27.09%,163,174,337
"Judge, County Criminal Court No. 8",0394,69,73,142,834,17.03%,74,61,135
"Judge, County Criminal Court No. 8",0395,469,404,873,1846,47.29%,634,191,825
"Judge, County Criminal Court No. 8",0396,622,216,838,2082,40.25%,18,800,818
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0397,86,78,164,760,21,58%,77,82,159
"Judge, County Criminal Court No. 8",0398,615,521,1136,4022,28.24%,609,494,1103
"Judge, County Criminal Court No. 8",0399,402,366,768,2791,27.52%,420,319,739
"Judge, County Criminal Court No. 8",0400,620,359,979,2411,40.61%,716,214,930
"Judge, County Criminal Court No. 8",0401,330,205,535,1913,27.97%,20,501,521
"Judge, County Criminal Court No. 8",0402,466,266,732,1794,40.80%,38,673,711
"Judge, County Criminal Court No. 8",0403,475,498,973,1715,56.73%,538,338,876
"Judge, County Criminal Court No. 8",0404,419,330,749,2585,28.97%,433,285,718
"Judge, County Criminal Court No. 8",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0406,137,67,204,628,32.48%,3,197,200
"Judge, County Criminal Court No. 8",0407,688,793,1481,3769,39.29%,1002,393,1395
"Judge, County Criminal Court No. 8",0408,146,153,299,1691,17.68%,145,136,281
"Judge, County Criminal Court No. 8",0409,122,149,271,1459,18.57%,115,147,262
"Judge, County Criminal Court No. 8",0410,132,80,212,899,23.58%,43,157,200
"Judge, County Criminal Court No. 8",0411,235,200,435,2339,18.60%,163,251,414
"Judge, County Criminal Court No. 8",0412,74,44,118,468,25.21%,6,105,111
"Judge, County Criminal Court No. 8",0413,767,386,1153,2992,38.54%,451,649,1100
"Judge, County Criminal Court No. 8",0414,654,480,1134,3453,32.84%,869,218,1087
"Judge, County Criminal Court No. 8",0415,539,598,1137,2203,51.61%,772,312,1084
"Judge, County Criminal Court No. 8",0416,538,558,1096,3791,28.91%,604,447,1051
"Judge, County Criminal Court No. 8",041,7,353,385,738,2448,30.15%,369,330,699
"Judge, County Criminal Court No. 8",0418,403,469,872,3584,24.33%,361,468,829
"Judge, County Criminal Court No. 8",0419,571,324,895,2658,33.67%,595,260,855
"Judge, County Criminal Court No. 8",0420,1036,874,1910,4762,40.11%,1558,272,1830
"Judge, County Criminal Court No. 8",0421,36,37,73,410,17.80%,26,42,68
"Judge, County Criminal Court No. 8",0422,731,402,1133,3345,33.87%,30,1083,1113
"Judge, County Criminal Court No. 8",0423,108,120,228,1376,16.57%,77,141,218
"Judge, County Criminal Court No. 8",0424,240,111,351,967,36.30%,211,119,330
"Judge, County Criminal Court No. 8",0425,107,123,230,883,26.05%,89,131,220
"Judge, County Criminal Court No. 8",0426,260,183,443,1218,36.37%,255,164,419
"Judge, County Criminal Court No. 8",0427,179,134,313,1092,28.66%,136,153,289
"Judge, County Criminal Court No. 8",0428,619,421,1040,4538,22.92%,327,628,955
"Judge, County Criminal Court No. 8",0429,445,314,759,3197,23.74%,212,502,714
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0430,161,133,294,1657,17.74%,91,190,281
"Judge, County Criminal Court No. 8",0431,327,84,411,3417,12.03%,151,242,393
"Judge, County Criminal Court No. 8",0432,123,157,280,1455,19.24%,103,167,270
"Judge, County Criminal Court No. 8",0433,50,63,113,581,19.45%,27,79,106
"Judge, County Criminal Court No. 8",0434,370,289,659,1503,43.85%,417,198,615
"Judge, County Criminal Court No. 8",0435,855,636,1491,3252,45.85%,982,421,1403
"Judge, County Criminal Court No. 8",0436,629,531,1160,2933,39.55%,728,358,1086
"Judge, County Criminal Court No. 8",0437,521,512,1033,2033,50.81%,727,239,966
"Judge, County Criminal Court No. 8",0438,517,389,1006,1861,54.06%,772,168,940
"Judge, County Criminal Court No. 8",0439,710,884,1594,3554,44.85%,1145,350,1495
"Judge, County Criminal Court No. 8",0440,664,858,1522,2930,51.95%,1212,212,1424
"Judge, County Criminal Court No. 8",0441,345,420,765,1669,45.84%,579,138,717
"Judge, County Criminal Court No. 8",0442,612,574,1186,2575,46.06%,974,164,1138
"Judge, County Criminal Court No. 8",0443,226,138,364,646,56.35%,263,76,339
"Judge, County Criminal Court No. 8",0444,587,583,1270,3262,38.93%,806,385,1191
"Judge, County Criminal Court No. 8",0445,499,348,847,2026,41.81%,576,229,805
"Judge, County Criminal Court No. 8",0446,31,22,53,291,18.21%,24,26,50
"Judge, County Criminal Court No. 8",0447,93,86,179,637,28.10%,53,115,168
"Judge, County Criminal Court No. 8",0448,590,778,1368,3138,43.59%,758,520,1278
"Judge, County Criminal Court No. 8",0449,12,23,35,198,17.68%,3,32,35
"Judge, County Criminal Court No. 8",0450,435,328,763,2635,28.96%,239,490,729
"Judge, County Criminal Court No. 8",0451,1002,510,1512,2687,56.27%,1225,204,1429
"Judge, County Criminal Court No. 8",0452,554,444,998,3048,32.74%,740,226,966
"Judge, County Criminal Court No. 8",0453,231,262,493,1937,25.45%,194,276,470
"Judge, County Criminal Court No. 8",0454,594,248,842,2561,32.88%,10,811,821
"Judge, County Criminal Court No. 8",0455,367,165,532,1689,31.50%,21,504,525
"Judge, County Criminal Court No. 8",0456,482,362,844,3513,24.03%,487,327,814
"Judge, County Criminal Court No. 8",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0458,471,237,708,1924,36.80%,34,652,686
"Judge, County Criminal Court No. 8",0459,951,474,1425,3021,47.17%,1126,247,1373
"Judge, County Criminal Court No. 8",0460,554,331,885,2837,31.19%,224,637,861
"Judge, County Criminal Court No. 8",0461,1155,735,1900,3871,49.08%,1329,435,1764
"Judge, County Criminal Court No. 8",0462,674,619,1293,3384,38.21%,471,756,1227
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0463,480,404,884,3326,26.58%,406,444,850
"Judge, County Criminal Court No. 8",0464,356,430,786,2257,34.82%,563,192,755
"Judge, County Criminal Court No. 8",0465,687,520,1207,3564,33.87%,680,481,1161
"Judge, County Criminal Court No. 8",0466,1058,614,1672,4184,39.96%,974,635,1609
"Judge, County Criminal Court No. 8",0467,213,189,402,1270,31.65%,98,294,392
"Judge, County Criminal Court No. 8",0468,352,443,795,3598,22.10%,250,512,762
"Judge, County Criminal Court No. 8",0469,1294,547,1841,3985,46.20%,1462,288,1750
"Judge, County Criminal Court No. 8",0470,185,176,361,1326,27.22%,268,74,342
"Judge, County Criminal Court No. 8",0471,375,380,755,2387,31.63%,605,127,732
"Judge, County Criminal Court No. 8",0472,198,278,476,1081,44.03%,204,228,432
"Judge, County Criminal Court No. 8",0473,599,391,990,1806,54.82%,691,244,935
"Judge, County Criminal Court No. 8",0474,559,588,1147,3037,37.77%,792,312,1104
"Judge, County Criminal Court No. 8",0475,189,267,456,1809,25.21%,217,215,432
"Judge, County Criminal Court No. 8",0476,404,473,877,2430,36.09%,491,347,838
"Judge, County Criminal Court No. 8",0477,737,567,1304,3505,37.20%,971,279,1250
"Judge, County Criminal Court No. 8",0478,958,657,1615,4461,36.20%,1086,448,1534
"Judge, County Criminal Court No. 8",0479,638,612,1250,2714,46.06%,931,268,1199
"Judge, County Criminal Court No. 8",0480,493,450,943,2415,39.05%,679,221,900
"Judge, County Criminal Court No. 8",0481,770,623,1393,3482,40.01%,1059,272,1331
"Judge, County Criminal Court No. 8",0482,878,630,1508,4373,34.48%,1081,376,1457
"Judge, County Criminal Court No. 8",0483,1042,478,1520,4308,35.28%,893,559,1452
"Judge, County Criminal Court No. 8",0484,1107,930,2037,4979,40.91%,1462,500,1962
"Judge, County Criminal Court No. 8",0485,1095,911,2006,5388,37.23%,1561,385,1946
"Judge, County Criminal Court No. 8",0486,873,855,1728,3866,44.70%,1352,297,1649
"Judge, County Criminal Court No. 8",0487,570,294,864,3860,22.38%,305,485,790
"Judge, County Criminal Court No. 8",0488,268,254,522,1719,30.37%,193,289,482
"Judge, County Criminal Court No. 8",0489,350,290,640,1893,33.81%,216,394,610
"Judge, County Criminal Court No. 8",0490,444,368,812,1975,41.11%,295,481,776
"Judge, County Criminal Court No. 8",0491,314,372,686,1888,36.33%,412,235,647
"Judge, County Criminal Court No. 8",0492,556,410,966,2335,41.37%,589,324,913
"Judge, County Criminal Court No. 8",0493,479,322,801,1853,43.23%,542,209,751
"Judge, County Criminal Court No. 8",0494,381,247,628,2467,25.46%,80,533,613
"Judge, County Criminal Court No. 8",0495,522,523,1045,2375,44.00%,749,229,978
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0496,190,315,505,2160,23.38%,192,295,487
"Judge, County Criminal Court No. 8",0497,526,243,769,2257,34.07%,24,723,747
"Judge, County Criminal Court No. 8",0498,363,323,686,2297,29.87%,310,359,669
"Judge, County Criminal Court No. 8",0499,750,518,1268,2326,54.51%,942,244,1186
"Judge, County Criminal Court No. 8",0500,729,715,1444,3507,41.17%,1002,382,1384
"Judge, County Criminal Court No. 8",0501,341,417,758,1801,42.09%,286,417,703
"Judge, County Criminal Court No. 8",0502,477,350,827,2501,33.07%,671,124,795
"Judge, County Criminal Court No. 8",0503,174,116,290,1374,21.11%,111,158,269
"Judge, County Criminal Court No. 8",0504,624,527,1151,2288,50.31%,750,330,1080
"Judge, County Criminal Court No. 8",0505,531,562,1193,3773,31.62%,542,563,1105
"Judge, County Criminal Court No. 8",0506,665,670,1335,3502,38.12%,235,1052,1287
"Judge, County Criminal Court No. 8",0507,221,149,370,2452,15.09%,75,226,301
"Judge, County Criminal Court No. 8",0508,492,412,904,3287,27.50%,351,482,833
"Judge, County Criminal Court No. 8",0509,753,596,1349,3732,36.15%,941,337,1278
"Judge, County Criminal Court No. 8",0510,687,514,1201,3590,33.45%,610,538,1148
"Judge, County Criminal Court No. 8",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0512,602,660,1262,5057,24.96%,600,628,1228
"Judge, County Criminal Court No. 8",0513,1019,487,1506,2894,52.04%,1158,268,1426
"Judge, County Criminal Court No. 8",0514,953,720,1673,4275,39.13%,1264,337,1601
"Judge, County Criminal Court No. 8",0515,942,683,1625,3455,47.03%,1311,237,1548
"Judge, County Criminal Court No. 8",0516,1000,800,1800,5356,33.61%,952,755,1707
"Judge, County Criminal Court No. 8",0517,481,256,737,2954,24.95%,428,284,712
"Judge, County Criminal Court No. 8",0518,635,693,1328,3943,33.68%,869,402,1271
"Judge, County Criminal Court No. 8",0519,623,493,1116,2966,37.63%,827,248,1075
"Judge, County Criminal Court No. 8",0520,473,457,930,4580,20.31%,173,737,910
"Judge, County Criminal Court No. 8",0521,471,464,935,2866,32.62%,502,400,902
"Judge, County Criminal Court No. 8",0522,715,572,1288,2689,47.90%,993,239,1232
"Judge, County Criminal Court No. 8",0523,751,415,1166,3052,38.20%,785,328,1113
"Judge, County Criminal Court No. 8",0524,567,459,1026,3410,30.09%,360,630,990
"Judge, County Criminal Court No. 8",0525,707,482,1189,3091,38.47%,274,860,1134
"Judge, County Criminal Court No. 8",0526,58,84,152,780,19.49%,42,98,140
"Judge, County Criminal Court No. 8",0527,37,40,77,574,13.41%,42,32,74
"Judge, County Criminal Court No. 8",0528,14,12,26,90,28.89%,3,21,24
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0529,1043,491,1534,3710,41.35%,1315,159,1474
"Judge, County Criminal Court No. 8",0530,114,107,221,1196,18.48%,60,146,206
"Judge, County Criminal Court No. 8",0531,363,174,537,1145,46.90%,417,95,512
"Judge, County Criminal Court No. 8",0532,205,146,351,1048,33.49%,251,89,340
"Judge, County Criminal Court No. 8",0533,124,108,232,1119,20.73%,134,85,219
"Judge, County Criminal Court No. 8",0534,783,524,1,307,3837,34.06%,993,251,1244
"Judge, County Criminal Court No. 8",0535,33,29,62,416,14.90%,30,31,61
"Judge, County Criminal Court No. 8",0536,554,780,1334,5139,25.96%,522,762,1284
"Judge, County Criminal Court No. 8",0537,855,778,1633,3050,53.54%,1196,363,1559
"Judge, County Criminal Court No. 8",0538,204,160,364,1303,27.94%,7,349,356
"Judge, County Criminal Court No. 8",0539,15,241,256,64,400.00%,72,168,240
"Judge, County Criminal Court No. 8",0540,378,316,694,1567,44.29%,287,349,636
"Judge, County Criminal Court No. 8",0541,784,505,1289,4599,28.03%,186,1043,1229
"Judge, County Criminal Court No. 8",0542,360,382,742,2557,29.02%,44,673,717
"Judge, County Criminal Court No. 8",0543,141,213,354,1565,22.62%,113,216,329
"Judge, County Criminal Court No. 8",0544,35,41,77,310,24.84%,12,64,76
"Judge, County Criminal Court No. 8",0545,596,620,1216,3629,33.51%,615,552,1167
"Judge, County Criminal Court No. 8",0546,2,2,4,37,10.81%,2,1,3
"Judge, County Criminal Court No. 8",0547,501,466,967,2406,40.19%,670,252,922
"Judge, County Criminal Court No. 8",0548,286,293,579,2215,26.14%,308,253,561
"Judge, County Criminal Court No. 8",0549,343,418,761,2663,28.58%,107,637,744
"Judge, County Criminal Court No. 8",0550,501,431,932,3031,30.75%,532,368,900
"Judge, County Criminal Court No. 8",0551,1288,1394,2682,7034,38.13%,2025,577,2602
"Judge, County Criminal Court No. 8",0552,847,883,1730,3415,50.66%,1446,225,1671
"Judge, County Criminal Court No. 8",0553,578,529,1107,4686,23.62%,507,563,1070
"Judge, County Criminal Court No. 8",0554,261,199,460,1757,26.18%,107,319,426
"Judge, County Criminal Court No. 8",0555,225,277,502,2219,22.62%,110,369,479
"Judge, County Criminal Court No. 8",0556,276,186,462,2319,19.92%,134,310,444
"Judge, County Criminal Court No. 8",0557,455,183,638,2830,22.54%,264,295,559
"Judge, County Criminal Court No. 8",0558,693,463,1156,4380,26.39%,410,699,1109
"Judge, County Criminal Court No. 8",0559,640,494,1134,4969,22.82%,348,744,1092
"Judge, County Criminal Court No. 8",0560,72,131,203,1120,18.13%,53,135,188
"Judge, County Criminal Court No. 8",0561,362,436,798,3064,26.04%,478,282,760
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0562,113,68,181,694,26.08%,25,153,178
"Judge, County Criminal Court No. 8",0563,1107,376,1483,3105,47.76%,1172,243,1415
"Judge, County Criminal Court No. 8",0564,470,426,896,3155,28.40%,232,620,852
"Judge, County Criminal Court No. 8",0565,108,78,186,1354,13.74%,44,126,170
"Judge, County Criminal Court No. 8",0566,417,324,741,2882,25.71%,232,486,718
"Judge, County Criminal Court No. 8",0567,301,193,494,2238,22.07%,159,292,451
"Judge, County Criminal Court No. 8",0568,876,685,1561,3594,43.43%,1026,436,1462
"Judge, County Criminal Court No. 8",0569,572,667,1239,3525,35.15%,662,501,1163
"Judge, County Criminal Court No. 8",0570,238,210,448,1562,28.68%,153,260,413
"Judge, County Criminal Court No. 8",0571,155,149,304,1827,16.64%,121,171,292
"Judge, County Criminal Court No. 8",0572,555,375,930,3108,29.92%,481,405,886
"Judge, County Criminal Court No. 8",0573,290,151,441,1619,27.24%,7,430,437
"Judge, County Criminal Court No. 8",0574,31,42,73,402,18.16%,10,62,72
"Judge, County Criminal Court No. 8",0575,13,11,24,74,32.43%,18,5,23
"Judge, County Criminal Court No. 8",0576,485,318,803,2734,29.37%,23,765,788
"Judge, County Criminal Court No. 8",0577,147,88,235,608,38.65%,143,83,226
"Judge, County Criminal Court No. 8",0578,409,538,947,1799,52.64%,576,316,892
"Judge, County Criminal Court No. 8",0579,75,101,176,1056,16.67%,33,135,168
"Judge, County Criminal Court No. 8",0580,179,118,297,1031,28.81%,2,286,288
"Judge, County Criminal Court No. 8",0581,212,174,386,1032,37.40%,7,367,374
"Judge, County Criminal Court No. 8",0582,258,171,429,1588,27.02%,20,395,415
"Judge, County Criminal Court No. 8",0583,225,131,356,1262,28.21%,11,335,346
"Judge, County Criminal Court No. 8",0584,182,93,275,1014,27.12%,12,257,269
"Judge, County Criminal Court No. 8",0585,417,172,589,2511,23.46%,15,560,575
"Judge, County Criminal Court No. 8",0586,638,680,1318,4316,30.54%,791,471,1262
"Judge, County Criminal Court No. 8",0587,436,284,720,2598,27.71%,286,411,697
"Judge, County Criminal Court No. 8",0588,758,674,1432,3645,39.29%,1023,359,1382
"Judge, County Criminal Court No. 8",0589,500,386,886,3420,25.91%,491,367,858
"Judge, County Criminal Court No. 8",0590,772,399,1171,2162,54.16%,913,214,1127
"Judge, County Criminal Court No. 8",0591,183,231,414,2121,19.52%,126,270,396
"Judge, County Criminal Court No. 8",0592,133,157,290,1350,21.48%,75,199,274
"Judge, County Criminal Court No. 8",0593,543,564,1107,4380,25.27%,543,509,1052
"Judge, County Criminal Court No. 8",0594,561,326,887,2490,35.62%,252,604,856
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0595,201,178,379,1693,22.39%,70,300,370
"Judge, County Criminal Court No. 8",0596,441,348,789,3007,26.24%,434,326,760
"Judge, County Criminal Court No. 8",0597,367,394,761,3653,20.83%,329,419,748
"Judge, County Criminal Court No. 8",0598,195,57,252,728,34.62%,205,40,245
"Judge, County Criminal Court No. 8",0599,850,578,1428,4950,28.85%,501,879,1380
"Judge, County Criminal Court No. 8",0600,667,429,1096,3957,27.70%,453,594,1047
"Judge, County Criminal Court No. 8",0601,1073,756,1829,4057,45.08%,1388,372,1760
"Judge, County Criminal Court No. 8",0602,293,235,525,1326,39.82%,390,121,511
"Judge, County Criminal Court No. 8",0603,554,794,1678,4843,34.65%,1068,567,1635
"Judge, County Criminal Court No. 8",0604,702,518,1220,3005,40.60%,1002,175,1177
"Judge, County Criminal Court No. 8",0605,907,556,1463,5582,26.21%,363,1059,1422
"Judge, County Criminal Court No. 8",0606,176,70,246,937,26.25%,3,238,241
"Judge, County Criminal Court No. 8",0607,52,51,113,728,15.52%,12,95,107
"Judge, County Criminal Court No. 8",0608,31,47,78,537,14.53%,44,30,74
"Judge, County Criminal Court No. 8",0609,557,680,1347,3384,39.80%,837,434,1271
"Judge, County Criminal Court No. 8",0610,231,188,419,1927,21.74%,215,171,386
"Judge, County Criminal Court No. 8",0611,495,242,737,2488,29.62%,25,701,726
"Judge, County Criminal Court No. 8",0612,996,497,1493,3307,45.15%,1113,292,1405
"Judge, County Criminal Court No. 8",0613,186,204,390,1554,25.10%,62,316,378
"Judge, County Criminal Court No. 8",0614,737,566,1303,4207,30.97%,494,756,1250
"Judge, County Criminal Court No. 8",0615,450,299,779,1967,39.60%,498,255,753
"Judge, County Criminal Court No. 8",0616,739,663,1402,3436,40.80%,987,360,1347
"Judge, County Criminal Court No. 8",0617,541,393,934,3809,24.52%,390,522,912
"Judge, County Criminal Court No. 8",0618,946,567,1513,6003,25.20%,754,709,1463
"Judge, County Criminal Court No. 8",0619,1219,803,2022,4297,47.06%,1498,420,1918
"Judge, County Criminal Court No. 8",0620,589,264,953,2897,32.90%,609,299,908
"Judge, County Criminal Court No. 8",0621,154,101,255,1133,22.51%,132,109,241
"Judge, County Criminal Court No. 8",0622,881,524,1405,4403,31.91%,863,489,1352
"Judge, County Criminal Court No. 8",0623,887,487,1374,3691,37.23%,930,374,1304
"Judge, County Criminal Court No. 8",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Criminal Court No. 8",0625,477,362,839,1820,46.10%,486,300,786
"Judge, County Criminal Court No. 8",0626,551,440,1021,2861,35.69%,574,386,960
"Judge, County Criminal Court No. 8",0627,345,322,668,3049,21.91%,237,399,636
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0628,152,219,371,1675,22.15%,197,164,361
"Judge, County Criminal Court No. 8",0629,37,53,90,696,12.93%,15,74,89
"Judge, County Criminal Court No. 8",0630,974,600,1574,3905,40.31%,120,1411,1531
"Judge, County Criminal Court No. 8",0631,822,404,1226,2846,43.08%,898,277,1175
"Judge, County Criminal Court No. 8",0632,7,4,11,343,3.21%,3,8,11
"Judge, County Criminal Court No. 8",0633,943,731,1674,3559,47.04%,1193,417,1610
"Judge, County Criminal Court No. 8",0634,458,442,900,3029,29.71%,598,270,868
"Judge, County Criminal Court No. 8",0635,743,485,1228,3393,36.19%,923,264,1187
"Judge, County Criminal Court No. 8",0636,835,874,1710,4140,41.30%,1477,176,1653
"Judge, County Criminal Court No. 8",0637,409,362,771,2512,30.69%,187,527,714
"Judge, County Criminal Court No. 8",0638,304,245,549,2204,24.91%,45,480,525
"Judge, County Criminal Court No. 8",0639,549,547,1096,2526,43.39%,873,173,1046
