Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Alan Beard,Heidi Swartz,Dale Trevino,Totals
"HCMUD 364, Director",0300,727,536,1263,2828,44.66%,542,215,394,1151
"HCMUD 364, Director",0688,155,89,244,646,37.77%,83,56,58,197
