Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0320,464,300,764,1505,50.76%,332,377,5,13,727
Railroad Commissioner,0321,442,305,748,2029,36.87%,237,459,7,16,719
Railroad Commissioner,0322,397,237,634,1322,47.96%,157,436,8,17,618
Railroad Commissioner,0323,483,332,815,1719,47.41%,341,385,24,20,770
Railroad Commissioner,0324,967,718,1685,2339,72.04%,1112,451,18,27,1608
Railroad Commissioner,0325,658,397,1055,2251,46.87%,226,769,7,13,1015
Railroad Commissioner,0326,202,128,330,678,48.67%,126,165,7,10,308
Railroad Commissioner,0327,725,244,970,1751,55.40%,14,919,2,6,941
Railroad Commissioner,0328,345,270,615,1361,45.19%,225,343,9,10,587
Railroad Commissioner,0329,405,307,712,1367,52.08%,210,425,13,20,668
Railroad Commissioner,0330,591,376,967,1849,52.30%,438,442,16,20,916
Railroad Commissioner,0331,0,1,1,0,0.00%,1,0,0,0,1
Railroad Commissioner,0332,24,4,28,128,21.88%,13,14,0,0,27
Railroad Commissioner,0333,1019,939,1958,2901,67.49%,1391,418,50,34,1893
Railroad Commissioner,0334,255,114,369,755,48.87%,76,278,3,1,358
Railroad Commissioner,0335,285,246,531,1227,43.28%,149,317,12,11,489
Railroad Commissioner,0336,1825,588,2413,3161,76.34%,213,2092,26,23,2354
Railroad Commissioner,0337,310,207,517,951,54.36%,83,406,3,10,502
Railroad Commissioner,0338,1543,824,2367,4673,50.65%,659,1524,21,33,2237
Railroad Commissioner,0339,369,373,742,1716,43.24%,157,506,11,19,693
Railroad Commissioner,0340,1779,833,2612,3717,70.27%,1909,495,57,55,2516
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0341,248,318,582,1248,45.03%,132,381,5,22,540
Railroad Commissioner,0342,2031,1113,3144,5718,54.98%,429,2558,28,48,3059
Railroad Commissioner,0343,438,483,919,1904,48.27%,223,577,15,25,840
Railroad Commissioner,0344,395,245,840,1207,53.02%,19,588,0,5,812
Railroad Commissioner,0345,430,357,787,1708,48.08%,182,582,20,13,757
Railroad Commissioner,0348,1,2,3,1,300.00%,3,0,0,0,3
Railroad Commissioner,0347,1250,814,1884,3299,58.50%,1110,824,30,28,1792
Railroad Commissioner,0348,753,280,1033,1740,59.37%,722,245,17,13,997
Railroad Commissioner,0349,407,407,814,1315,81.90%,488,275,25,12,778
Railroad Commissioner,0350,1120,780,1900,2908,85.38%,787,888,52,54,1779
Railroad Commissioner,0351,2495,793,3288,4537,72.47%,2804,522,49,34,3209
Railroad Commissioner,0352,1152,583,1735,3193,54.34%,1177,452,38,21,1888
Railroad Commissioner,0353,1544,703,2247,3897,80.78%,373,1789,9,29,2180
Railroad Commissioner,0354,1477,517,1994,3193,82.45%,449,1439,13,18,1919
Railroad Commissioner,0355,703,288,989,1384,71.48%,85,857,4,17,983
Railroad Commissioner,0358,1383,818,2001,2838,70.58%,1190,881,37,35,1923
Railroad Commissioner,0357,1833,709,2342,3371,89.47%,1700,475,55,34,2284
Railroad Commissioner,0358,742,484,1208,2297,52.50%,77,1087,7,14,1185
Railroad Commissioner,0359,707,482,1189,3008,39.53%,90,1042,4,18,1152
Railroad Commissioner,0380,973,515,1488,2190,87.95%,822,502,31,27,1382
Railroad Commissioner,0381,135,591,827,1585,52.18%,184,494,40,41,739
Railroad Commissioner,0382,2132,1200,3332,4952,87.29%,2410,709,53,50,3222
Railroad Commissioner,0383,1348,887,2035,3291,81.84%,890,1038,29,18,1973
Railroad Commissioner,0384,913,802,1515,2539,59.87%,770,835,28,32,1483
Railroad Commissioner,0385,735,245,980,1302,75.27%,81,852,10,11,954
Railroad Commissioner,0388,838,488,1104,2089,52.85%,224,818,9,18,1089
Railroad Commissioner,0387,328,212,540,1019,52.99%,101,411,8,9,527
Railroad Commissioner,0388,418,143,581,929,80.39%,152,389,3,4,548
Railroad Commissioner,0389,108,53,181,490,32.88%,80,88,5,8,157
Railroad Commissioner,0370,3145,1178,4323,5781,74.78%,3218,857,88,58,4197
Railroad Commissioner,0371,228,89,295,475,82.11%,8,279,0,0,287
Railroad Commissioner,0372,499,231,730,1215,80.08%,87,808,5,9,707
Railroad Commissioner,0373,81,18,77,159,48.43%,1,72,0,1,74
Railroad Commissioner,0374,139,187,328,748,43.58%,91,204,8,8,307
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0375,578,524,1102,2607,42.27%,444,581,5,27,1057
Railroad Commissioner,0376,530,334,964,1916,50.31%,387,503,9,18,917
Railroad Commissioner,0377,1055,707,1762,2871,61.37%,1302,323,36,31,1692
Railroad Commissioner,0378,559,521,1080,1777,60.78%,650,352,22,22,1046
Railroad Commissioner,0379,802,338,1140,2017,56.52%,81,994,6,15,1096
Railroad Commissioner,0380,2505,1183,3688,4753,77.59%,2076,1385,57,47,3565
Railroad Commissioner,0381,957,424,1381,2715,50.87%,556,734,8,29,1327
Railroad Commissioner,0382,275,231,507,841,60.29%,345,131,8,8,492
Railroad Commissioner,0383,601,493,1094,2076,52.70%,339,691,10,16,1056
Railroad Commissioner,0384,1176,505,1681,2596,64.75%,344,1256,7,17,1624
Railroad Commissioner,0385,1099,621,1720,2175,79.08%,1330,262,31,17,1640
Railroad Commissioner,0386,1466,460,1926,2872,67.06%,1370,465,19,21,1875
Railroad Commissioner,0387,1369,802,2171,3727,58.25%,1474,570,23,25,2092
Railroad Commissioner,0388,2780,1222,4002,5329,75.10%,2215,1571,61,40,3887
Railroad Commissioner,0389,290,251,551,975,56.51%,81,394,34,19,528
Railroad Commissioner,0390,651,368,1019,1565,65.11%,118,827,17,23,985
Railroad Commissioner,0391,856,355,1211,1805,67.09%,765,349,25,20,1159
Railroad Commissioner,0392,737,197,934,1441,64.82%,14,893,1,9,917
Railroad Commissioner,0393,346,318,664,1206,55.06%,289,308,17,16,630
Railroad Commissioner,0394,166,176,342,860,39.77%,136,181,5,6,328
Railroad Commissioner,0395,830,491,1321,1820,72.58%,928,280,33,33,1274
Railroad Commissioner,0396,1158,219,1377,2073,66.43%,18,1310,6,9,1343
Railroad Commissioner,0397,163,148,311,750,41.47%,114,165,0,10,289
Railroad Commissioner,0398,1443,840,2283,3816,59.83%,1106,1031,41,30,2208
Railroad Commissioner,0399,897,593,1490,2542,58.62%,712,702,20,23,1457
Railroad Commissioner,0400,1052,506,1558,2238,69.62%,1105,335,40,23,1503
Railroad Commissioner,0401,724,284,1008,1876,53.73%,38,931,8,8,985
Railroad Commissioner,0402,892,245,1137,1737,65.46%,52,1047,6,10,1115
Railroad Commissioner,0403,792,527,1319,1703,77.45%,791,406,19,31,1247
Railroad Commissioner,0404,778,552,1330,2589,51.37%,653,575,23,21,1272
Railroad Commissioner,0405,0,1,1,0,0.00%,0,1,0,0,1
Railroad Commissioner,0406,282,72,354,610,58.03%,4,333,1,2,340
Railroad Commissioner,0407,1320,1000,2320,3652,63.53%,1475,661,47,26,2209
Railroad Commissioner,0408,154,179,333,933,35.69%,136,166,6,8,316
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0409,277,289,566,1371,41.28%,170,347,6,9,532
Railroad Commissioner,0410,337,102,439,849,51.71%,81,340,4,4,429
Railroad Commissioner,0411,542,462,1004,2302,43.61%,290,629,8,18,945
Railroad Commissioner,0412,193,74,267,433,61.66%,14,239,1,5,259
Railroad Commissioner,0413,1493,525,2018,3023,66.75%,750,1142,16,28,1936
Railroad Commissioner,0414,1453,593,2046,3457,59.18%,1439,458,31,24,1952
Railroad Commissioner,0415,951,633,1584,2124,74.58%,1103,357,32,32,1524
Railroad Commissioner,0416,1181,91,5,2097,3582,58.54%,1059,859,39,51,2008
Railroad Commissioner,0417,777,619,1396,2465,56.63%,608,682,22,24,1336
Railroad Commissioner,0418,1059,758,1817,3420,53.13%,661,1026,22,32,1741
Railroad Commissioner,0419,1006,578,1584,2697,58.73%,1005,478,21,28,1532
Railroad Commissioner,0420,2174,1089,3263,4639,70.34%,2591,467,42,44,3144
Railroad Commissioner,0421,124,92,216,467,46.25%,46,159,1,2,208
Railroad Commissioner,0422,1456,585,2041,3345,61.02%,42,1925,9,16,1992
Railroad Commissioner,0423,190,309,499,894,55.82%,200,261,3,9,473
Railroad Commissioner,0424,435,157,592,888,66.67%,346,216,13,9,584
Railroad Commissioner,0425,228,234,462,875,52.80%,150,270,10,12,442
Railroad Commissioner,0426,415,283,698,1224,57.03%,387,236,9,22,654
Railroad Commissioner,0427,325,249,574,1115,51.48%,204,322,13,4,543
Railroad Commissioner,0428,1284,907,2191,4316,50.76%,631,1389,11,32,2063
Railroad Commissioner,0429,1093,777,1870,3929,47.59%,349,1373,23,19,1764
Railroad Commissioner,0430,406,335,741,1654,44.80%,149,514,12,21,696
Railroad Commissioner,0431,824,403,1227,3188,38.49%,301,814,27,17,1159
Railroad Commissioner,0432,312,271,583,1344,43.38%,160,364,16,20,560
Railroad Commissioner,0433,139,106,245,573,42.76%,43,181,4,6,234
Railroad Commissioner,0434,633,371,1004,1386,72.44%,658,272,16,12,958
Railroad Commissioner,0435,1537,758,2305,3097,74.43%,1529,591,58,33,2211
Railroad Commissioner,0436,1342,709,2051,3012,68.09%,1232,636,45,39,1952
Railroad Commissioner,0437,952,542,1494,2007,74.44%,1075,317,32,17,1441
Railroad Commissioner,0438,1047,387,1434,1802,79.58%,1110,227,14,15,1366
Railroad Commissioner,0439,1527,905,2432,3416,71.19%,1756,500,45,27,2328
Railroad Commissioner,0440,1326,876,2202,2867,76.81%,1760,293,25,18,2096
Railroad Commissioner,0441,699,513,1212,1616,75.00%,893,230,25,14,1162
Railroad Commissioner,0442,1366,513,1879,2504,75.04%,1528,246,24,24,1822
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0443,335,148,483,805,79.83%,358,91,13,5,485
Railroad Commissioner,0444,1258,731,1989,3172,82.70%,1200,812,38,52,1900
Railroad Commissioner,0445,881,443,1304,1938,87.29%,823,398,19,13,1253
Railroad Commissioner,0448,70,52,122,288,45.52%,48,88,0,2,118
Railroad Commissioner,0447,271,108,379,583,85.01%,130,218,8,8,358
Railroad Commissioner,0448,1240,889,2109,3081,88.45%,1238,843,58,88,2005
Railroad Commissioner,0449,82,37,99,184,80.37%,12,82,0,0,94
Railroad Commissioner,0450,858,537,1393,2822,53.13%,347,952,21,30,1350
Railroad Commissioner,0451,1575,515,2090,2874,78.18%,1713,287,25,18,2041
Railroad Commissioner,0452,1110,839,1749,2810,82.24%,1285,377,32,28,1700
Railroad Commissioner,0453,559,475,1034,1885,54.85%,338,823,10,14,983
Railroad Commissioner,0454,1227,311,1538,2571,59.82%,10,1473,1,13,1497
Railroad Commissioner,0455,748,218,984,1879,57.42%,23,898,4,1,928
Railroad Commissioner,0458,1271,593,1884,3350,55.84%,983,779,28,18,1784
Railroad Commissioner,0457,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0458,909,271,1180,1893,82.33%,58,1074,5,8,1143
Railroad Commissioner,0459,1839,478,2115,2950,71.89%,1889,327,23,25,2044
Railroad Commissioner,0480,1251,402,1853,2348,70.48%,430,1137,19,11,1597
Railroad Commissioner,0481,1959,828,2787,3733,74.88%,1888,888,48,37,2859
Railroad Commissioner,0482,1320,885,2185,3387,84.89%,782,1237,31,38,2088
Railroad Commissioner,0483,1130,555,1788,2982,80.30%,718,958,41,19,1734
Railroad Commissioner,0484,788,812,1400,2128,85.85%,940,388,28,20,1354
Railroad Commissioner,0485,1488,702,2188,3343,84.85%,1120,939,27,37,2123
Railroad Commissioner,0488,2052,729,2781,4072,88.30%,1541,1087,45,34,2707
Railroad Commissioner,0487,479,229,708,1230,57.58%,170,499,8,9,884
Railroad Commissioner,0488,988,793,1779,3354,53.04%,481,1157,22,35,1895
Railroad Commissioner,0489,2039,538,2877,3779,70.84%,2082,422,28,50,2580
Railroad Commissioner,0470,443,323,788,1349,58.78%,517,179,17,17,730
Railroad Commissioner,0471,793,597,1390,2349,59.17%,1047,257,20,21,1345
Railroad Commissioner,0472,372,337,709,1027,89.04%,347,288,12,20,885
Railroad Commissioner,0473,914,442,1358,1827,74.22%,939,318,19,23,1299
Railroad Commissioner,0474,1149,788,1915,3008,83.71%,1311,485,34,34,1844
Railroad Commissioner,0475,485,473,958,1851,58.03%,408,474,13,22,917
Railroad Commissioner,0478,809,858,1487,2412,80.82%,831,540,28,25,1424
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0477,1442,742,2184,3195,68.36%,1615,433,37,36,2121
Railroad Commissioner,0478,1963,898,2861,4150,68.94%,1833,841,49,40,2763
Railroad Commissioner,0479,1302,588,1890,2648,71.37%,1369,403,41,23,1836
Railroad Commissioner,0480,935,555,1491,2267,65.77%,1023,358,15,36,1432
Railroad Commissioner,0481,1466,852,2318,3298,70.29%,1681,479,39,39,2238
Railroad Commissioner,0482,1964,836,2800,4129,67.81%,1891,736,55,47,2729
Railroad Commissioner,0483,1870,759,2629,4141,63.49%,1395,1029,71,52,2547
Railroad Commissioner,0484,2239,1008,3247,4594,70.68%,2309,759,60,37,3165
Railroad Commissioner,0485,2422,990,3412,4838,70.53%,2475,742,71,36,3324
Railroad Commissioner,0486,1844,805,2649,3572,74.16%,2006,463,66,33,2568
Railroad Commissioner,0487,1006,612,1618,3318,48.76%,457,1005,13,27,1502
Railroad Commissioner,0488,580,440,1020,1713,59.54%,337,587,12,23,959
Railroad Commissioner,0489,784,378,1162,1823,63.74%,334,750,15,14,1113
Railroad Commissioner,0490,881,439,1320,1944,67.90%,480,735,20,28,1263
Railroad Commissioner,0491,570,489,1159,1782,65.04%,661,379,35,34,1109
Railroad Commissioner,0492,1072,504,1576,2351,67.04%,848,608,27,27,1510
Railroad Commissioner,0493,859,400,1259,1804,69.79%,819,343,23,21,1206
Railroad Commissioner,0494,761,431,1192,2176,54.78%,134,995,7,15,1151
Railroad Commissioner,0495,1121,494,1615,2284,70.71%,1134,370,30,21,1555
Railroad Commissioner,0496,496,571,1067,2086,51.15%,396,591,15,18,1020
Railroad Commissioner,0497,1124,303,1427,2226,64.11%,51,1317,3,13,1384
Railroad Commissioner,0498,760,499,1259,2123,59.30%,502,663,22,29,1216
Railroad Commissioner,0499,1302,517,1819,2304,78.95%,1343,351,27,22,1743
Railroad Commissioner,0500,1507,746,2253,3175,70.96%,1525,582,34,46,2187
Railroad Commissioner,0501,653,487,1140,1647,69.22%,440,557,45,43,1085
Railroad Commissioner,0502,1152,332,1484,2364,62.77%,1125,266,20,20,1431
Railroad Commissioner,0503,359,273,632,1363,46.37%,197,374,9,15,595
Railroad Commissioner,0504,1129,538,1667,2197,75.88%,1148,410,26,28,1612
Railroad Commissioner,0505,1213,829,2042,3654,55.88%,903,936,46,70,1955
Railroad Commissioner,0506,1471,801,2272,3380,67.22%,381,1790,10,24,2205
Railroad Commissioner,0507,582,385,967,2435,39.71%,136,679,14,11,840
Railroad Commissioner,0508,946,760,1706,3248,52.52%,539,977,25,35,1576
Railroad Commissioner,0509,1341,864,2205,3536,62.36%,1529,542,41,21,2133
Railroad Commissioner,0510,1495,582,2177,3511,62.01%,984,1021,51,40,2096
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0511,0,6,6,0,0.00%,1,5,0,0,6
Railroad Commissioner,0512,1568,1127,2695,4582,58.82%,1189,1336,59,23,2607
Railroad Commissioner,0513,1606,507,2113,2752,76.78%,1597,399,38,24,2058
Railroad Commissioner,0514,1969,860,2829,3941,71.78%,2057,600,55,38,2750
Railroad Commissioner,0515,1692,708,2400,3173,75.64%,1923,347,39,18,2327
Railroad Commissioner,0516,2181,1066,3247,4934,65.81%,1565,1442,58,54,3119
Railroad Commissioner,0517,1208,653,1861,3320,56.05%,965,761,31,33,1790
Railroad Commissioner,0518,1479,919,2398,3755,63.86%,1452,763,53,35,2303
Railroad Commissioner,0519,1235,645,1880,2951,63.71%,1321,437,39,27,1824
Railroad Commissioner,0520,1546,857,2403,4064,59.13%,369,1915,28,20,2332
Railroad Commissioner,0521,1014,694,1708,2725,62.68%,852,754,24,25,1655
Railroad Commissioner,0522,1173,658,1831,2682,68.27%,1360,353,45,25,1783
Railroad Commissioner,0523,1340,689,2029,3060,66.31%,1338,524,42,40,1944
Railroad Commissioner,0524,1242,675,1917,3292,58.23%,571,1236,19,19,1845
Railroad Commissioner,0525,1383,610,1993,2947,67.63%,405,1471,18,20,1914
Railroad Commissioner,0526,167,171,338,731,46.24%,85,226,4,8,323
Railroad Commissioner,0527,80,24,104,569,18.28%,44,51,2,2,99
Railroad Commissioner,0528,36,12,48,92,52.17%,3,42,1,1,47
Railroad Commissioner,0529,1989,441,2430,3616,67.20%,2002,289,41,30,2362
Railroad Commissioner,0530,259,235,494,1196,41.30%,96,348,4,10,458
Railroad Commissioner,0531,672,113,785,1094,71.76%,611,129,9,6,755
Railroad Commissioner,0532,452,184,636,1039,61.21%,433,171,6,7,617
Railroad Commissioner,0533,317,207,524,1069,49.02%,254,229,10,12,505
Railroad Commissioner,0534,1660,675,2335,3795,61.53%,1660,525,41,36,2262
Railroad Commissioner,0535,80,94,174,421,41.33%,59,99,4,3,165
Railroad Commissioner,0536,1335,1195,2530,4576,55.29%,903,1448,28,49,2428
Railroad Commissioner,0537,1455,823,2278,2971,76.67%,1676,483,25,20,2204
Railroad Commissioner,0538,433,237,670,1282,52.26%,16,621,3,9,649
Railroad Commissioner,0539,26,209,235,71,330.99%,52,155,5,6,218
Railroad Commissioner,0540,666,380,1046,1491,70.15%,468,455,26,26,975
Railroad Commissioner,0541,1836,779,2615,4183,62.51%,345,2101,37,47,2530
Railroad Commissioner,0542,997,501,1498,2525,59.33%,85,1356,6,14,1461
Railroad Commissioner,0543,287,378,665,1528,43.52%,198,410,9,17,634
Railroad Commissioner,0544,93,53,146,318,45.91%,14,125,1,1,141
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0545,1314,857,2171,3339,65.02%,1011,991,50,36,2088
Railroad Commissioner,0546,4,4,8,30,26.67%,3,4,0,0,7
Railroad Commissioner,0547,877,647,1524,2408,63.29%,1026,375,33,33,1467
Railroad Commissioner,0548,720,476,1196,2129,56.18%,513,602,17,22,1154
Railroad Commissioner,0549,944,586,1530,2530,60.47%,201,1255,18,17,1491
Railroad Commissioner,0550,1134,629,1763,2847,61.92%,864,807,29,17,1717
Railroad Commissioner,0551,3092,1527,4619,6135,75.29%,3313,1033,68,48,4462
Railroad Commissioner,0552,1521,844,2465,3241,76.06%,2002,327,38,34,2401
Railroad Commissioner,0553,1465,951,2416,4355,55.48%,1004,1242,45,41,2332
Railroad Commissioner,0554,562,340,902,1731,52.11%,140,687,5,11,843
Railroad Commissioner,0555,598,447,1045,2119,49.32%,171,806,10,13,1000
Railroad Commissioner,0556,585,421,1006,2249,44.73%,204,731,8,18,961
Railroad Commissioner,0557,822,556,1378,2726,50.55%,428,816,17,19,1280
Railroad Commissioner,0558,1592,824,2416,4084,59.16%,752,1474,45,51,2322
Railroad Commissioner,0559,1794,899,2693,4633,58.13%,646,1844,55,45,2590
Railroad Commissioner,0560,172,289,461,1176,39.20%,92,317,5,18,432
Railroad Commissioner,0561,837,759,1596,3033,52.62%,866,622,25,17,1530
Railroad Commissioner,0562,201,146,347,645,53.80%,21,305,2,6,334
Railroad Commissioner,0563,1700,415,2115,2969,71.24%,1622,364,40,20,2046
Railroad Commissioner,0564,1159,713,1872,3096,60.47%,480,1186,50,53,1769
Railroad Commissioner,0565,31,e,194,510,1373,37.14%,90,378,5,10,483
Railroad Commissioner,0566,1126,478,1604,2950,54.37%,411,1088,31,33,1563
Railroad Commissioner,0567,673,394,1067,2198,48.54%,284,667,11,17,979
Railroad Commissioner,0568,1630,837,2467,3487,70.75%,1567,660,72,46,2345
Railroad Commissioner,0569,1295,865,2160,3249,66.48%,1164,792,62,38,2056
Railroad Commissioner,0570,527,409,936,1473,63.54%,403,417,31,17,868
Railroad Commissioner,0571,334,312,646,1758,36.75%,194,394,1,16,605
Railroad Commissioner,0572,1288,574,1862,2998,62.11%,840,872,53,34,1799
Railroad Commissioner,0573,578,368,946,1618,58.47%,11,910,2,4,927
Railroad Commissioner,0574,98,79,177,391,45.27%,20,148,0,2,170
Railroad Commissioner,0575,27,9,36,79,45.57%,33,1,1,1,36
Railroad Commissioner,0576,1051,552,1603,2671,60.01%,48,1497,2,12,1559
Railroad Commissioner,0577,231,113,344,573,60.03%,196,124,5,5,330
Railroad Commissioner,0578,745,553,1298,1689,76.85%,808,374,21,28,1231
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0579,489,351,840,1806,46.51%,184,596,11,12,803
Railroad Commissioner,0580,430,146,576,1027,56.09%,12,550,3,2,567
Railroad Commissioner,0581,510,162,672,1041,64.55%,19,630,1,5,655
Railroad Commissioner,0582,615,256,871,1613,54.00%,48,792,3,8,851
Railroad Commissioner,0583,544,127,671,1248,53.77%,14,640,5,1,660
Railroad Commissioner,0584,393,139,532,971,54.79%,29,489,2,4,524
Railroad Commissioner,0585,934,304,1238,2403,51.52%,32,1167,5,5,1209
Railroad Commissioner,0586,1307,1189,2496,4230,59.01%,1473,867,42,35,2417
Railroad Commissioner,0587,934,465,1399,2174,64.35%,489,842,11,21,1363
Railroad Commissioner,0588,1539,871,2410,3468,69.49%,1675,597,43,32,2347
Railroad Commissioner,0589,1034,738,1772,3130,56.61%,911,746,37,31,1725
Railroad Commissioner,0590,1158,463,1621,2136,75.89%,1236,288,13,28,1565
Railroad Commissioner,0591,420,449,869,2114,41.11%,219,574,7,20,820
Railroad Commissioner,0592,370,288,658,1258,52.31%,146,463,5,18,632
Railroad Commissioner,0593,1149,999,2148,4059,52.92%,948,1042,29,43,2062
Railroad Commissioner,0594,1032,535,1567,2361,66.37%,446,1048,19,21,1534
Railroad Commissioner,0595,497,380,877,1647,53.25%,137,684,9,21,851
Railroad Commissioner,0596,947,690,1637,2848,57.48%,830,693,32,26,1581
Railroad Commissioner,0597,1067,719,1786,3267,54.67%,600,1080,26,15,1721
Railroad Commissioner,0598,335,103,438,724,60.50%,334,77,3,4,418
Railroad Commissioner,0599,1895,855,2761,4135,66.77%,909,1706,32,41,2688
Railroad Commissioner,0600,1383,869,2252,3820,58.95%,780,1333,23,32,2168
Railroad Commissioner,0601,2028,858,2886,3990,72.33%,2156,582,51,32,2821
Railroad Commissioner,0602,563,296,859,1237,69.44%,588,220,16,11,835
Railroad Commissioner,0603,1438,1163,2601,3917,66.40%,1544,917,44,23,2528
Railroad Commissioner,0604,1446,528,1974,2910,67.84%,1598,267,30,24,1919
Railroad Commissioner,0605,2228,889,3117,5251,59.36%,737,2222,28,37,3024
Railroad Commissioner,0606,420,122,542,1053,51.47%,6,517,2,3,528
Railroad Commissioner,0607,194,118,312,731,42.68%,18,278,1,2,299
Railroad Commissioner,0608,245,290,535,1256,42.60%,204,292,6,8,510
Railroad Commissioner,0609,1365,844,2209,3261,67.74%,1365,681,38,39,2123
Railroad Commissioner,0610,403,398,801,1825,43.89%,336,401,12,9,758
Railroad Commissioner,0611,1122,301,1423,2450,58.08%,33,1344,6,4,1387
Railroad Commissioner,0612,1702,579,2281,3272,69.71%,1706,407,44,36,2193
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0613,495,309,804,1450,55.45%,121,642,5,12,780
Railroad Commissioner,0614,1632,812,2444,3932,62.16%,807,1497,35,31,2370
Railroad Commissioner,0615,931,404,1335,1926,69.31%,788,463,24,20,1295
Railroad Commissioner,0616,1353,970,2323,3378,68.77%,1586,583,41,42,2252
Railroad Commissioner,0617,1322,849,2171,3546,61.22%,757,1285,35,30,2107
Railroad Commissioner,0618,1924,1021,2945,5344,55.11%,1248,1516,39,48,2851
Railroad Commissioner,0619,2134,857,2991,4266,70.11%,2209,602,62,40,2913
Railroad Commissioner,0620,2387,856,3243,5271,61.53%,1571,1437,53,50,3111
Railroad Commissioner,0621,398,203,601,1173,51.24%,300,248,14,16,578
Railroad Commissioner,0622,1724,829,2553,4305,59.30%,1468,912,51,33,2464
Railroad Commissioner,0623,1709,626,2335,3481,67.08%,1486,695,27,34,2242
Railroad Commissioner,0624,9,0,9,16,56.25%,5,4,0,0,9
Railroad Commissioner,0625,865,454,1319,1796,73.44%,759,451,18,27,1255
Railroad Commissioner,0626,1150,655,1805,2838,63.60%,897,768,36,30,1731
Railroad Commissioner,0627,795,547,1442,2964,48.65%,407,926,14,17,1364
Railroad Commissioner,0628,292,456,748,1600,46.75%,307,383,8,15,713
Railroad Commissioner,0629,177,127,304,629,48.33%,22,271,3,4,300
Railroad Commissioner,0630,2023,535,2558,3190,80.19%,229,2206,29,32,2496
Railroad Commissioner,0631,1490,392,1882,2733,68.86%,1341,439,31,15,1826
Railroad Commissioner,0632,12,9,21,231,9.09%,5,11,1,1,18
Railroad Commissioner,0633,1783,578,2461,3257,75.56%,1772,543,32,37,2384
Railroad Commissioner,0634,1022,734,1756,2922,60.10%,1065,584,35,23,1707
Railroad Commissioner,0635,1328,706,2034,3280,62.01%,1520,378,34,43,1975
Railroad Commissioner,0636,1793,974,2767,3881,71.30%,2325,319,28,25,2697
Railroad Commissioner,0637,740,509,1249,2471,50.55%,303,811,19,34,1167
Railroad Commissioner,0638,741,684,1425,2078,68.58%,98,1251,13,10,1372
Railroad Commissioner,0639,833,711,1544,2501,61.74%,1190,260,29,21,1500
Railroad Commissioner,0640,1385,723,2108,3548,59.41%,1177,799,42,26,2044
Railroad Commissioner,0641,1265,878,2143,3375,63.50%,1304,705,43,29,2081
Railroad Commissioner,0642,873,447,1320,1779,74.20%,1082,180,14,11,1287
Railroad Commissioner,0643,2160,994,3154,5310,59.40%,1196,1754,49,41,3040
Railroad Commissioner,0644,2125,1204,3329,5261,63.28%,2049,1043,83,43,3218
Railroad Commissioner,0645,1648,895,2543,4035,63.02%,1158,1184,56,45,2443
Railroad Commissioner,0646,708,456,1164,2163,53.81%,340,739,10,21,1110
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
