Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0075,487,370,857,1329,84.48%,347,409,25,32,813
Railroad Commissioner,0078,814,589,1383,2328,59.41%,758,534,11,23,1324
Railroad Commissioner,0077,189,81,250,585,44.25%,58,180,0,2,238
Railroad Commissioner,0078,380,344,704,1479,47.80%,205,411,3,21,840
Railroad Commissioner,0079,511,717,1228,2959,41.50%,230,873,12,27,1142
Railroad Commissioner,0080,1159,481,1840,2712,80.47%,353,1170,11,39,1573
Railroad Commissioner,0081,540,309,849,1839,48.17%,254,524,8,18,800
Railroad Commissioner,0082,1353,818,2189,3284,88.05%,1595,430,44,31,2100
Railroad Commissioner,0083,2832,1181,3813,5598,88.11%,1782,1815,81,41,3899
Railroad Commissioner,0084,445,348,791,1389,58.95%,558,188,13,12,789
Railroad Commissioner,0085,734,548,1282,2079,81.88%,33,1185,13,10,1241
Railroad Commissioner,0088,1055,889,1744,2837,88.14%,813,743,48,50,1854
Railroad Commissioner,0087,1224,881,2085,2749,75.85%,1391,521,41,24,1977
Railroad Commissioner,0088,235,182,397,878,58.55%,250,124,7,8,387
Railroad Commissioner,0089,344,454,798,1104,72.28%,484,228,18,23,751
Railroad Commissioner,0090,1499,958,2457,3571,88.80%,1779,481,52,45,2357
Railroad Commissioner,0091,488,333,799,1248,84.02%,478,280,22,19,777
Railroad Commissioner,0092,1105,534,1839,2228,73.58%,1133,378,30,34,1575
Railroad Commissioner,0093,782,843,1425,3295,43.25%,490,809,18,28,1343
Railroad Commissioner,0094,148,104,252,537,48.93%,49,172,7,10,238
Railroad Commissioner,0095,1888,871,2357,3179,74.14%,1858,534,48,37,2277
Railroad Commissioner,0098,385,237,802,1241,48.51%,58,510,7,8,583
Railroad Commissioner,0097,2395,784,3159,4588,89.19%,2281,889,38,42,3050
Railroad Commissioner,0098,875,807,1482,2403,81.87%,1200,208,22,20,1448
Railroad Commissioner,0099,588,311,879,2040,43.09%,390,435,8,18,849
Railroad Commissioner,0100,427,324,751,1754,42.82%,315,375,13,19,722
Railroad Commissioner,0101,204,188,390,941,41.45%,89,282,4,5,380
Railroad Commissioner,0102,493,288,781,1910,39.84%,189,527,10,12,738
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0103,1915,1065,2980,4751,62.72%,1520,1276,37,51,2884
Railroad Commissioner,0104,993,238,1231,1847,66.65%,28,1164,2,11,1205
Railroad Commissioner,0105,462,453,915,2153,42.50%,226,595,10,24,855
Railroad Commissioner,0106,49,37,86,284,30.28%,40,35,1,5,81
Railroad Commissioner,0107,412,441,853,1905,44.78%,131,666,6,16,819
Railroad Commissioner,0108,1194,514,1708,3229,52.90%,885,711,19,25,1640
Railroad Commissioner,0109,1161,430,1591,2884,55.17%,27,1507,7,6,1547
Railroad Commissioner,0110,1465,589,2054,2853,71.99%,1229,689,38,27,1983
