Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0300,3014,922,3936,5040,78.10%,3189,3189
"Justice, 14th Court of Appeals District, Place 6",0301,450,655,1105,2397,46.10%,536,536
"Justice, 14th Court of Appeals District, Place 6",0302,713,635,1348,2724,49.49%,826,826
"Justice, 14th Court of Appeals District, Place 6",0303,1773,755,2528,3172,79.70%,2054,2054
"Justice, 14th Court of Appeals District, Place 6",0304,970,648,1618,2266,71.40%,1044,1044
"Justice, 14th Court of Appeals District, Place 6",0305,1319,858,2177,3621,60.12%,1049,1049
"Justice, 14th Court of Appeals District, Place 6",0306,1013,323,1336,1847,72.33%,1040,1040
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0307,1242,876,2118,2931,72.26%,1579,1579
"Justice, 14th Court of Appeals District, Place 6",0308,444,238,682,1266,53.87%,264,264
"Justice, 14th Court of Appeals District, Place 6",0309,1385,612,1997,2529,78.96%,1631,1631
"Justice, 14th Court of Appeals District, Place 6",0310,519,348,967,1437,67.29%,694,694
"Justice, 14th Court of Appeals District, Place 6",0311,862,699,1561,2997,52.09%,810,810
"Justice, 14th Court of Appeals District, Place 6",0312,1600,718,2318,3669,63.18%,1464,1464
"Justice, 14th Court of Appeals District, Place 6",0313,22,1,23,60,38.33%,12,12
"Justice, 14th Court of Appeals District, Place 6",0314,2494,1221,3715,5225,71.10%,2493,2493
"Justice, 14th Court of Appeals District, Place 6",0315,711,479,1190,1618,73.55%,782,782
"Justice, 14th Court of Appeals District, Place 6",0316,682,411,1093,1522,71.81%,678,678
"Justice, 14th Court of Appeals District, Place 6",0317,552,336,888,1469,60.45%,370,370
"Justice, 14th Court of Appeals District, Place 6",0318,1708,611,2319,3531,65.68%,369,369
"Justice, 14th Court of Appeals District, Place 6",0319,965,290,1255,2081,60.31%,213,213
"Justice, 14th Court of Appeals District, Place 6",0320,464,300,764,1505,50.76%,415,415
"Justice, 14th Court of Appeals District, Place 6",0321,442,305,748,2029,36.87%,346,346
"Justice, 14th Court of Appeals District, Place 6",0322,397,237,634,1322,47.96%,217,217
"Justice, 14th Court of Appeals District, Place 6",0323,482,332,814,1719,47.35%,416,416
"Justice, 14th Court of Appeals District, Place 6",0324,967,718,1685,2339,72.04%,1184,1184
"Justice, 14th Court of Appeals District, Place 6",0325,657,397,1054,2251,46.82%,332,332
"Justice, 14th Court of Appeals District, Place 6",0326,202,128,330,678,48.67%,189,189
"Justice, 14th Court of Appeals District, Place 6",0327,725,244,970,1751,55.40%,77,77
"Justice, 14th Court of Appeals District, Place 6",0328,344,270,614,1361,45.11%,302,302
"Justice, 14th Court of Appeals District, Place 6",0329,405,307,712,1367,52.08%,325,325
"Justice, 14th Court of Appeals District, Place 6",0330,590,376,966,1849,52.24%,519,519
"Justice, 14th Court of Appeals District, Place 6",0331,0,1,1,0,0.00%,1,1
"Justice, 14th Court of Appeals District, Place 6",0332,23,4,27,128,21.09%,10,10
"Justice, 14th Court of Appeals District, Place 6",0333,1018,939,1957,2901,67.46%,1479,1479
"Justice, 14th Court of Appeals District, Place 6",0334,255,114,369,755,48.87%,103,103
"Justice, 14th Court of Appeals District, Place 6",0335,285,246,531,1227,43.28%,211,211
"Justice, 14th Court of Appeals District, Place 6",0336,1820,588,2408,3161,76.18%,520,520
"Justice, 14th Court of Appeals District, Place 6",0337,310,207,517,951,54.36%,154,154
"Justice, 14th Court of Appeals District, Place 6",0338,1541,824,2365,4673,50.61%,875,875
"Justice, 14th Court of Appeals District, Place 6",0339,369,373,742,1716,43.24%,247,247
"Justice, 14th Court of Appeals District, Place 6",0340,1778,833,2611,3717,70.24%,2019,2019
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0341,246,316,562,1248,45.03%,221,221
"Justice, 14th Court of Appeals District, Place 6",0342,2029,1113,3142,5718,54.95%,806,806
"Justice, 14th Court of Appeals District, Place 6",0343,436,483,919,1904,48.27%,362,362
"Justice, 14th Court of Appeals District, Place 6",0344,395,245,640,1207,53.02%,69,69
"Justice, 14th Court of Appeals District, Place 6",0345,428,357,785,1708,45.96%,294,294
"Justice, 14th Court of Appeals District, Place 6",0346,1,2,3,1,300.00%,3,3
"Justice, 14th Court of Appeals District, Place 6",0347,1250,614,1864,3299,56.50%,1291,1291
"Justice, 14th Court of Appeals District, Place 6",0348,751,280,1031,1740,59.25%,780,780
"Justice, 14th Court of Appeals District, Place 6",0349,405,407,812,1315,61.75%,528,528
"Justice, 14th Court of Appeals District, Place 6",0350,1115,780,1895,2906,65.21%,1010,1010
"Justice, 14th Court of Appeals District, Place 6",0351,2495,793,3288,4537,72.47%,2716,2716
"Justice, 14th Court of Appeals District, Place 6",0352,1152,583,1735,3193,54.34%,1290,1290
"Justice, 14th Court of Appeals District, Place 6",0353,1544,703,2247,3697,60.78%,620,620
"Justice, 14th Court of Appeals District, Place 6",0354,1476,517,1993,3193,62.42%,653,653
"Justice, 14th Court of Appeals District, Place 6",0355,701,286,987,1384,71.32%,191,191
"Justice, 14th Court of Appeals District, Place 6",0356,1382,618,2000,2836,70.52%,1306,1306
"Justice, 14th Court of Appeals District, Place 6",0357,1633,709,2342,3371,69.47%,1845,1845
"Justice, 14th Court of Appeals District, Place 6",0358,740,464,1204,2297,52.42%,211,211
"Justice, 14th Court of Appeals District, Place 6",0359,706,482,1188,3008,39.49%,212,212
"Justice, 14th Court of Appeals District, Place 6",0360,971,515,1486,2190,67.85%,901,901
"Justice, 14th Court of Appeals District, Place 6",0361,135,691,826,1585,52.11%,381,381
"Justice, 14th Court of Appeals District, Place 6",0362,2131,1200,3331,4952,67.27%,2566,2566
"Justice, 14th Court of Appeals District, Place 6",0363,1347,687,2034,3291,61.80%,1058,1058
"Justice, 14th Court of Appeals District, Place 6",0364,912,602,1514,2539,59.63%,893,893
"Justice, 14th Court of Appeals District, Place 6",0365,735,245,980,1302,75.27%,165,165
"Justice, 14th Court of Appeals District, Place 6",0366,638,466,1104,2089,52.85%,373,373
"Justice, 14th Court of Appeals District, Place 6",0367,328,212,540,1019,52.99%,145,145
"Justice, 14th Court of Appeals District, Place 6",0368,418,143,561,929,60.39%,215,215
"Justice, 14th Court of Appeals District, Place 6",0369,107,53,160,490,32.65%,81,81
"Justice, 14th Court of Appeals District, Place 6",0370,3144,1178,4322,5781,74.76%,3413,3413
"Justice, 14th Court of Appeals District, Place 6",0371,226,69,295,475,62.11%,27,27
"Justice, 14th Court of Appeals District, Place 6",0372,498,231,729,1215,60.00%,156,156
"Justice, 14th Court of Appeals District, Place 6",0373,61,16,77,159,48.43%,6,6
"Justice, 14th Court of Appeals District, Place 6",0374,139,187,326,748,43.58%,135,135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0375,577,524,1101,2607,42.23%,586,586
"Justice, 14th Court of Appeals District, Place 6",0376,629,334,963,1916,50.26%,481,481
"Justice, 14th Court of Appeals District, Place 6",0377,1055,707,1762,2871,61.37%,1365,1365
"Justice, 14th Court of Appeals District, Place 6",0378,559,521,1080,1777,60.78%,741,741
"Justice, 14th Court of Appeals District, Place 6",0379,801,338,1139,2017,56.47%,196,196
"Justice, 14th Court of Appeals District, Place 6",0380,2502,1183,3685,4753,77.53%,2346,2346
"Justice, 14th Court of Appeals District, Place 6",0381,957,424,1381,2715,50.87%,729,729
"Justice, 14th Court of Appeals District, Place 6",0382,276,231,507,841,60.29%,383,383
"Justice, 14th Court of Appeals District, Place 6",0383,599,493,1092,2076,52.60%,413,413
"Justice, 14th Court of Appeals District, Place 6",0384,1173,505,1678,2596,64.64%,507,507
"Justice, 14th Court of Appeals District, Place 6",0385,1099,621,1720,2175,79.08%,1363,1363
"Justice, 14th Court of Appeals District, Place 6",0386,1464,460,1924,2872,66.99%,1468,1468
"Justice, 14th Court of Appeals District, Place 6",0387,1369,802,2171,3727,58.25%,1577,1577
"Justice, 14th Court of Appeals District, Place 6",0388,2780,1222,4002,5329,75.10%,2508,2508
"Justice, 14th Court of Appeals District, Place 6",0389,285,261,546,975,56.00%,193,193
"Justice, 14th Court of Appeals District, Place 6",0390,644,368,1012,1565,64.66%,255,255
"Justice, 14th Court of Appeals District, Place 6",0391,856,355,1211,1805,67.09%,853,853
"Justice, 14th Court of Appeals District, Place 6",0392,737,197,934,1441,64.82%,77,77
"Justice, 14th Court of Appeals District, Place 6",0393,346,318,664,1206,55.06%,373,373
"Justice, 14th Court of Appeals District, Place 6",0394,166,176,342,860,39.77%,181,181
"Justice, 14th Court of Appeals District, Place 6",0395,830,491,1321,1820,72.58%,984,984
"Justice, 14th Court of Appeals District, Place 6",0396,1157,219,1376,2073,66.38%,94,94
"Justice, 14th Court of Appeals District, Place 6",0397,163,148,311,750,41.47%,142,142
"Justice, 14th Court of Appeals District, Place 6",0398,1439,840,2279,3816,59.72%,1308,1308
"Justice, 14th Court of Appeals District, Place 6",0399,897,593,1490,2542,58.62%,861,861
"Justice, 14th Court of Appeals District, Place 6",0400,1051,506,1557,2238,69.57%,1174,1174
"Justice, 14th Court of Appeals District, Place 6",0401,723,284,1007,1876,53.68%,131,131
"Justice, 14th Court of Appeals District, Place 6",0402,892,245,1137,1737,65.46%,143,143
"Justice, 14th Court of Appeals District, Place 6",0403,791,527,1318,1703,77.39%,843,843
"Justice, 14th Court of Appeals District, Place 6",0404,778,552,1330,2589,51.37%,777,777
"Justice, 14th Court of Appeals District, Place 6",0405,0,1,1,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0406,281,72,353,610,57.87%,29,29
"Justice, 14th Court of Appeals District, Place 6",0407,1317,1000,2317,3652,63.44%,1621,1621
"Justice, 14th Court of Appeals District, Place 6",0408,154,179,333,933,35.69%,165,165
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0409,277,289,566,1371,41.28%,247,247
"Justice, 14th Court of Appeals District, Place 6",0410,337,102,439,849,51.71%,118,118
"Justice, 14th Court of Appeals District, Place 6",0411,542,462,1004,2302,43.61%,402,402
"Justice, 14th Court of Appeals District, Place 6",0412,193,74,267,433,61.66%,31,31
"Justice, 14th Court of Appeals District, Place 6",0413,1493,525,2018,3023,66.75%,934,934
"Justice, 14th Court of Appeals District, Place 6",0414,1452,593,2045,3457,59.16%,1550,1550
"Justice, 14th Court of Appeals District, Place 6",0415,950,633,1583,2124,74.53%,1159,1159
"Justice, 14th Court of Appeals District, Place 6",0416,1177,91,5,2093,3582,58.43%,1232,1232
"Justice, 14th Court of Appeals District, Place 6",0417,777,619,1396,2465,56.63%,739,739
"Justice, 14th Court of Appeals District, Place 6",0418,1057,758,1815,3420,53.07%,867,867
"Justice, 14th Court of Appeals District, Place 6",0419,1006,578,1584,2697,58.73%,1103,1103
"Justice, 14th Court of Appeals District, Place 6",0420,2174,1089,3263,4639,70.34%,2726,2726
"Justice, 14th Court of Appeals District, Place 6",0421,124,92,216,467,46.25%,66,66
"Justice, 14th Court of Appeals District, Place 6",0422,1456,585,2041,3345,61.02%,207,207
"Justice, 14th Court of Appeals District, Place 6",0423,190,309,499,894,55.82%,238,238
"Justice, 14th Court of Appeals District, Place 6",0424,435,1,57,592,888,66.67%,386,386
"Justice, 14th Court of Appeals District, Place 6",0425,227,234,461,875,52.69%,186,186
"Justice, 14th Court of Appeals District, Place 6",0426,415,283,698,1224,57.03%,437,437
"Justice, 14th Court of Appeals District, Place 6",0427,325,249,574,1115,51.48%,260,260
"Justice, 14th Court of Appeals District, Place 6",0428,1284,907,2191,4316,50.76%,828,828
"Justice, 14th Court of Appeals District, Place 6",0429,1093,777,1870,3929,47.59%,520,520
"Justice, 14th Court of Appeals District, Place 6",0430,405,335,740,1654,44.74%,225,225
"Justice, 14th Court of Appeals District, Place 6",0431,820,403,1223,3188,38.36%,453,453
"Justice, 14th Court of Appeals District, Place 6",0432,312,271,583,1344,43.38%,237,237
"Justice, 14th Court of Appeals District, Place 6",0433,139,106,245,573,42.76%,69,69
"Justice, 14th Court of Appeals District, Place 6",0434,628,371,999,1386,72.08%,710,710
"Justice, 14th Court of Appeals District, Place 6",0435,1534,758,2302,3097,74.33%,1650,1650
"Justice, 14th Court of Appeals District, Place 6",0436,1334,709,2043,3012,67.83%,1358,1358
"Justice, 14th Court of Appeals District, Place 6",0437,951,542,1493,2007,74.39%,1123,1123
"Justice, 14th Court of Appeals District, Place 6",0438,1046,387,1433,1802,79.52%,1126,1126
"Justice, 14th Court of Appeals District, Place 6",0439,1526,905,2431,3416,71.17%,1838,1838
"Justice, 14th Court of Appeals District, Place 6",0440,1326,876,2202,2867,76.81%,1764,1764
"Justice, 14th Court of Appeals District, Place 6",0441,698,513,1211,1616,74.94%,940,940
"Justice, 14th Court of Appeals District, Place 6",0442,1366,513,1879,2504,75.04%,1583,1583
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0443,335,148,483,605,79.83%,365,365
"Justice, 14th Court of Appeals District, Place 6",0444,1258,731,1989,3172,62.70%,1323,1323
"Justice, 14th Court of Appeals District, Place 6",0445,860,443,1303,1938,67.23%,878,878
"Justice, 14th Court of Appeals District, Place 6",0446,70,52,122,268,45.52%,58,58
"Justice, 14th Court of Appeals District, Place 6",0447,271,108,379,583,65.01%,179,179
"Justice, 14th Court of Appeals District, Place 6",0448,1239,869,2108,3081,68.42%,1401,1401
"Justice, 14th Court of Appeals District, Place 6",0449,62,37,99,164,60.37%,22,22
"Justice, 14th Court of Appeals District, Place 6",0450,856,537,1393,2622,53.13%,497,497
"Justice, 14th Court of Appeals District, Place 6",0451,1575,515,2090,2674,78.16%,1732,1732
"Justice, 14th Court of Appeals District, Place 6",0452,1109,639,1748,2810,62.21%,1370,1370
"Justice, 14th Court of Appeals District, Place 6",0453,559,475,1034,1885,54.85%,447,447
"Justice, 14th Court of Appeals District, Place 6",0454,1227,311,1538,2571,59.82%,100,100
"Justice, 14th Court of Appeals District, Place 6",0455,748,216,964,1679,57.42%,79,79
"Justice, 14th Court of Appeals District, Place 6",0456,1266,593,1859,3350,55.49%,1115,1115
"Justice, 14th Court of Appeals District, Place 6",0457,0,0,0,0,0.00%,0,0
"Justice, 14th Court of Appeals District, Place 6",0458,909,271,1180,1893,62.33%,163,163
"Justice, 14th Court of Appeals District, Place 6",0459,1637,476,2113,2950,71.63%,1725,1725
"Justice, 14th Court of Appeals District, Place 6",0460,1250,402,1652,2346,70.42%,615,615
"Justice, 14th Court of Appeals District, Place 6",0461,1959,828,2787,3733,74.66%,1959,1959
"Justice, 14th Court of Appeals District, Place 6",0462,1319,865,2184,3367,64.86%,966,966
"Justice, 14th Court of Appeals District, Place 6",0463,1124,656,1780,2962,60.09%,925,925
"Justice, 14th Court of Appeals District, Place 6",0464,787,612,1399,2126,65.80%,1004,1004
"Justice, 14th Court of Appeals District, Place 6",0465,1465,702,2167,3343,64.82%,1290,1290
"Justice, 14th Court of Appeals District, Place 6",0466,2052,729,2781,4072,68.30%,1692,1692
"Justice, 14th Court of Appeals District, Place 6",0467,478,229,707,1230,57.48%,231,231
"Justice, 14th Court of Appeals District, Place 6",0468,985,793,1778,3354,53.01%,696,696
"Justice, 14th Court of Appeals District, Place 6",0469,2039,638,2677,3779,70.84%,2145,2145
"Justice, 14th Court of Appeals District, Place 6",0470,443,323,766,1349,56.78%,568,568
"Justice, 14th Court of Appeals District, Place 6",0471,792,597,1389,2349,59.13%,1126,1126
"Justice, 14th Court of Appeals District, Place 6",0472,371,337,708,1027,68.94%,386,386
"Justice, 14th Court of Appeals District, Place 6",0473,914,442,1356,1827,74.22%,998,998
"Justice, 14th Court of Appeals District, Place 6",0474,1146,766,1912,3006,63.61%,1420,1420
"Justice, 14th Court of Appeals District, Place 6",0475,485,473,958,1651,58.03%,489,489
"Justice, 14th Court of Appeals District, Place 6",0476,809,658,1467,2412,60.82%,943,943
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0477,1441,742,2183,3195,68.33%,1737,1737
"Justice, 14th Court of Appeals District, Place 6",0478,1959,898,2857,4150,68.84%,2037,2037
"Justice, 14th Court of Appeals District, Place 6",0479,1298,588,1886,2648,71.22%,1469,1469
"Justice, 14th Court of Appeals District, Place 6",0480,936,555,1491,2267,65.77%,1102,1102
"Justice, 14th Court of Appeals District, Place 6",0481,1464,852,2316,3298,70.22%,1804,1804
"Justice, 14th Court of Appeals District, Place 6",0482,1964,836,2800,4129,67.81%,2085,2085
"Justice, 14th Court of Appeals District, Place 6",0483,1868,759,2627,4141,63.44%,1601,1601
"Justice, 14th Court of Appeals District, Place 6",0484,2237,1008,3245,4594,70.64%,2449,2449
"Justice, 14th Court of Appeals District, Place 6",0485,2421,990,3411,4838,70.50%,2673,2673
"Justice, 14th Court of Appeals District, Place 6",0486,1843,805,2648,3572,74.13%,2125,2125
"Justice, 14th Court of Appeals District, Place 6",0487,1005,612,1617,3318,48.73%,609,609
"Justice, 14th Court of Appeals District, Place 6",0488,580,440,1020,1713,59.54%,430,430
"Justice, 14th Court of Appeals District, Place 6",0489,784,378,1162,1823,63.74%,465,465
"Justice, 14th Court of Appeals District, Place 6",0490,877,439,1316,1944,67.70%,602,602
"Justice, 14th Court of Appeals District, Place 6",0491,667,489,1156,1782,64.87%,750,750
"Justice, 14th Court of Appeals District, Place 6",0492,1070,504,1574,2351,66.95%,930,930
"Justice, 14th Court of Appeals District, Place 6",0493,858,400,1258,1804,69.73%,874,874
"Justice, 14th Court of Appeals District, Place 6",0494,761,431,1192,2176,54.78%,266,266
"Justice, 14th Court of Appeals District, Place 6",0495,1120,494,1614,2284,70.67%,1210,1210
"Justice, 14th Court of Appeals District, Place 6",0496,496,571,1067,2086,51.15%,476,476
"Justice, 14th Court of Appeals District, Place 6",0497,1124,303,1427,2226,64.11%,138,138
"Justice, 14th Court of Appeals District, Place 6",0498,759,499,1258,2123,59.26%,628,628
"Justice, 14th Court of Appeals District, Place 6",0499,1301,517,1818,2304,78.91%,1399,1399
"Justice, 14th Court of Appeals District, Place 6",0500,1507,746,2253,3175,70.96%,1640,1640
"Justice, 14th Court of Appeals District, Place 6",0501,653,487,1140,1647,69.22%,580,580
"Justice, 14th Court of Appeals District, Place 6",0502,1151,332,1483,2364,62.73%,1203,1203
"Justice, 14th Court of Appeals District, Place 6",0503,359,273,632,1363,46.37%,242,242
"Justice, 14th Court of Appeals District, Place 6",0504,1129,538,1667,2197,75.88%,1187,1187
"Justice, 14th Court of Appeals District, Place 6",0505,1209,829,2038,3654,55.77%,1124,1124
"Justice, 14th Court of Appeals District, Place 6",0506,1471,801,2272,3380,67.22%,580,580
"Justice, 14th Court of Appeals District, Place 6",0507,582,385,967,2435,39.71%,237,237
"Justice, 14th Court of Appeals District, Place 6",0508,946,760,1706,3248,52.52%,719,719
"Justice, 14th Court of Appeals District, Place 6",0509,1340,864,2204,3536,62.33%,1650,1650
"Justice, 14th Court of Appeals District, Place 6",0510,1492,682,2174,3511,61.92%,1187,1187
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0511,0,6,6,0,0.00%,2,2
"Justice, 14th Court of Appeals District, Place 6",0512,1560,1127,2687,4582,58.64%,1430,1430
"Justice, 14th Court of Appeals District, Place 6",0513,1605,507,2112,2752,76.74%,1660,1660
"Justice, 14th Court of Appeals District, Place 6",0514,1967,860,2827,3941,71.73%,2173,2173
"Justice, 14th Court of Appeals District, Place 6",0515,1692,708,2400,3173,75.64%,1974,1974
"Justice, 14th Court of Appeals District, Place 6",0516,2179,1066,3245,4934,65.77%,1787,1787
"Justice, 14th Court of Appeals District, Place 6",0517,1208,653,1861,3320,56.05%,1114,1114
"Justice, 14th Court of Appeals District, Place 6",0518,1478,919,2397,3755,63.83%,1642,1642
"Justice, 14th Court of Appeals District, Place 6",0519,1234,645,1879,2951,63.67%,1438,1438
"Justice, 14th Court of Appeals District, Place 6",0520,1542,857,2399,4064,59.03%,637,637
"Justice, 14th Court of Appeals District, Place 6",0521,1014,694,1708,2725,62.68%,999,999
"Justice, 14th Court of Appeals District, Place 6",0522,1171,658,1829,2682,68.20%,1446,1446
"Justice, 14th Court of Appeals District, Place 6",0523,1339,689,2028,3060,66.27%,1435,1435
"Justice, 14th Court of Appeals District, Place 6",0524,1238,675,1913,3292,58.11%,740,740
"Justice, 14th Court of Appeals District, Place 6",0525,1381,610,1991,2947,67.56%,580,580
"Justice, 14th Court of Appeals District, Place 6",0526,167,171,338,731,46.24%,127,127
"Justice, 14th Court of Appeals District, Place 6",0527,80,24,104,569,18.28%,55,55
"Justice, 14th Court of Appeals District, Place 6",0528,36,12,48,92,52.17%,7,7
"Justice, 14th Court of Appeals District, Place 6",0529,1988,441,2429,3616,67.17%,2063,2063
"Justice, 14th Court of Appeals District, Place 6",0530,259,235,494,1196,41.30%,182,182
"Justice, 14th Court of Appeals District, Place 6",0531,672,113,785,1094,71.76%,623,623
"Justice, 14th Court of Appeals District, Place 6",0532,452,184,636,1039,61.21%,467,467
"Justice, 14th Court of Appeals District, Place 6",0533,317,207,524,1069,49.02%,310,310
"Justice, 14th Court of Appeals District, Place 6",0534,1658,675,2333,3795,61.48%,1813,1813
"Justice, 14th Court of Appeals District, Place 6",0535,80,94,174,421,41.33%,85,85
"Justice, 14th Court of Appeals District, Place 6",0536,1332,1195,2527,4576,55.22%,1238,1238
"Justice, 14th Court of Appeals District, Place 6",0537,1454,823,2277,2971,76.64%,1733,1733
"Justice, 14th Court of Appeals District, Place 6",0538,433,237,670,1282,52.26%,70,70
"Justice, 14th Court of Appeals District, Place 6",0539,26,209,235,71,330.99%,81,81
"Justice, 14th Court of Appeals District, Place 6",0540,666,380,1046,1491,70.15%,554,554
"Justice, 14th Court of Appeals District, Place 6",0541,1826,779,2605,4183,62.28%,737,737
"Justice, 14th Court of Appeals District, Place 6",0542,997,501,1498,2525,59.33%,250,250
"Justice, 14th Court of Appeals District, Place 6",0543,287,378,665,1528,43.52%,317,317
"Justice, 14th Court of Appeals District, Place 6",0544,92,53,145,318,45.60%,23,23
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0545,1314,857,2171,3339,65.02%,1212,1212
"Justice, 14th Court of Appeals District, Place 6",0546,4,4,8,30,26.67%,4,4
"Justice, 14th Court of Appeals District, Place 6",0547,877,647,1524,2408,63.29%,1114,1114
"Justice, 14th Court of Appeals District, Place 6",0548,720,476,1196,2129,56.18%,640,640
"Justice, 14th Court of Appeals District, Place 6",0549,944,586,1530,2530,60.47%,359,359
"Justice, 14th Court of Appeals District, Place 6",0550,1134,629,1763,2847,61.92%,1013,1013
"Justice, 14th Court of Appeals District, Place 6",0551,3088,1527,4615,6135,75.22%,3543,3543
"Justice, 14th Court of Appeals District, Place 6",0552,1521,844,2465,3241,76.06%,2077,2077
"Justice, 14th Court of Appeals District, Place 6",0553,1465,951,2416,4355,55.48%,1270,1270
"Justice, 14th Court of Appeals District, Place 6",0554,562,340,902,1731,52.11%,234,234
"Justice, 14th Court of Appeals District, Place 6",0555,598,447,1045,2119,49.32%,275,275
"Justice, 14th Court of Appeals District, Place 6",0556,584,421,1005,2249,44.69%,331,331
"Justice, 14th Court of Appeals District, Place 6",0557,822,556,1378,2726,50.55%,559,559
"Justice, 14th Court of Appeals District, Place 6",0558,1589,824,2413,4084,59.08%,1019,1019
"Justice, 14th Court of Appeals District, Place 6",0559,1787,899,2686,4633,57.98%,963,963
"Justice, 14th Court of Appeals District, Place 6",0560,172,289,461,1176,39.20%,144,144
"Justice, 14th Court of Appeals District, Place 6",0561,837,759,1596,3033,52.62%,964,964
"Justice, 14th Court of Appeals District, Place 6",0562,201,146,347,645,53.80%,58,58
"Justice, 14th Court of Appeals District, Place 6",0563,1699,415,2114,2969,71.20%,1690,1690
"Justice, 14th Court of Appeals District, Place 6",0564,1150,713,1863,3096,60.17%,808,808
"Justice, 14th Court of Appeals District, Place 6",0565,315,194,509,1373,37.07%,126,126
"Justice, 14th Court of Appeals District, Place 6",0566,1123,478,1601,2950,54.27%,599,599
"Justice, 14th Court of Appeals District, Place 6",0567,672,394,1066,2198,48.50%,366,366
"Justice, 14th Court of Appeals District, Place 6",0568,1628,837,2465,3487,70.69%,1741,1741
"Justice, 14th Court of Appeals District, Place 6",0569,1294,865,2159,3249,66.45%,1333,1333
"Justice, 14th Court of Appeals District, Place 6",0570,527,409,936,1473,63.54%,536,536
"Justice, 14th Court of Appeals District, Place 6",0571,333,312,645,1758,36.69%,279,279
"Justice, 14th Court of Appeals District, Place 6",0572,1283,574,1857,2998,61.94%,1027,1027
"Justice, 14th Court of Appeals District, Place 6",0573,578,368,946,1618,58.47%,64,64
"Justice, 14th Court of Appeals District, Place 6",0574,98,79,177,391,45.27%,36,36
"Justice, 14th Court of Appeals District, Place 6",0575,27,9,36,79,45.57%,32,32
"Justice, 14th Court of Appeals District, Place 6",0576,1051,552,1603,2671,60.01%,150,150
"Justice, 14th Court of Appeals District, Place 6",0577,231,113,344,573,60.03%,218,218
"Justice, 14th Court of Appeals District, Place 6",0578,745,553,1298,1689,76.85%,886,886
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0579,488,351,839,1806,46.46%,305,305
"Justice, 14th Court of Appeals District, Place 6",0580,429,146,575,1027,55.99%,47,47
"Justice, 14th Court of Appeals District, Place 6",0581,510,162,672,1041,64.55%,65,65
"Justice, 14th Court of Appeals District, Place 6",0582,615,256,871,1613,54.00%,102,102
"Justice, 14th Court of Appeals District, Place 6",0583,544,127,671,1248,53.77%,54,54
"Justice, 14th Court of Appeals District, Place 6",0584,392,139,531,971,54.69%,72,72
"Justice, 14th Court of Appeals District, Place 6",0585,934,304,1238,2403,51.52%,125,125
"Justice, 14th Court of Appeals District, Place 6",0586,1306,1189,2495,4230,58.98%,1650,1650
"Justice, 14th Court of Appeals District, Place 6",0587,933,465,1398,2174,64.31%,622,622
"Justice, 14th Court of Appeals District, Place 6",0588,1536,871,2407,3468,69.41%,1818,1818
"Justice, 14th Court of Appeals District, Place 6",0589,1033,738,1771,3130,56.58%,1082,1082
"Justice, 14th Court of Appeals District, Place 6",0590,1158,463,1621,2136,75.89%,1296,1296
"Justice, 14th Court of Appeals District, Place 6",0591,420,449,869,2114,41.11%,337,337
"Justice, 14th Court of Appeals District, Place 6",0592,370,288,658,1258,52.31%,214,214
"Justice, 14th Court of Appeals District, Place 6",0593,1149,999,2148,4059,52.92%,1164,1164
"Justice, 14th Court of Appeals District, Place 6",0594,1031,535,1566,2361,66.33%,587,587
"Justice, 14th Court of Appeals District, Place 6",0595,497,380,877,1647,53.25%,227,227
"Justice, 14th Court of Appeals District, Place 6",0596,946,690,1636,2848,57.44%,989,989
"Justice, 14th Court of Appeals District, Place 6",0597,1067,719,1786,3267,54.67%,794,794
