Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0069,218,284,502,1303,38.53%,155,155
"Justice, 14th Court of Appeals District, Place 6",0070,1634,726,2360,3142,75.11%,1622,1622
"Justice, 14th Court of Appeals District, Place 6",0071,1423,948,2371,3662,64.75%,1441,1441
"Justice, 14th Court of Appeals District, Place 6",0072,441,562,1003,1882,53.29%,444,444
"Justice, 14th Court of Appeals District, Place 6",0073,500,496,996,1494,66.67%,657,657
"Justice, 14th Court of Appeals District, Place 6",0074,2212,530,2742,3632,75.50%,2174,2174
"Justice, 14th Court of Appeals District, Place 6",0075,482,370,852,1329,64.11%,427,427
"Justice, 14th Court of Appeals District, Place 6",0076,814,569,1383,2328,59.41%,861,861
"Justice, 14th Court of Appeals District, Place 6",0077,168,81,249,565,44.07%,84,84
"Justice, 14th Court of Appeals District, Place 6",0078,359,344,703,1479,47.53%,323,323
"Justice, 14th Court of Appeals District, Place 6",0079,511,717,1228,2959,41.50%,418,418
"Justice, 14th Court of Appeals District, Place 6",0080,1159,481,1640,2712,60.47%,528,528
"Justice, 14th Court of Appeals District, Place 6",0081,540,309,849,1839,46.17%,378,378
"Justice, 14th Court of Appeals District, Place 6",0082,1353,816,2169,3284,66.05%,1689,1689
"Justice, 14th Court of Appeals District, Place 6",0083,2628,1181,3809,5598,68.04%,2152,2152
"Justice, 14th Court of Appeals District, Place 6",0084,444,346,790,1389,56.88%,597,597
"Justice, 14th Court of Appeals District, Place 6",0085,730,548,1278,2079,61.47%,227,227
"Justice, 14th Court of Appeals District, Place 6",0086,1054,689,1743,2637,66.10%,983,983
"Justice, 14th Court of Appeals District, Place 6",0087,1222,861,2083,2749,75.77%,1462,1462
"Justice, 14th Court of Appeals District, Place 6",0088,235,162,397,678,58.55%,265,265
"Justice, 14th Court of Appeals District, Place 6",0089,343,454,797,1104,72.19%,543,543
"Justice, 14th Court of Appeals District, Place 6",0090,1498,958,2456,3571,68.78%,1917,1917
"Justice, 14th Court of Appeals District, Place 6",0091,466,333,799,1248,64.02%,543,543
"Justice, 14th Court of Appeals District, Place 6",0092,1105,534,1639,2228,73.56%,1202,1202
"Justice, 14th Court of Appeals District, Place 6",0093,782,643,1425,3295,43.25%,677,677
"Justice, 14th Court of Appeals District, Place 6",0094,148,104,252,537,46.93%,91,91
"Justice, 14th Court of Appeals District, Place 6",0095,1685,671,2356,3179,74.11%,1743,1743
"Justice, 14th Court of Appeals District, Place 6",0096,364,237,601,1241,48.43%,127,127
"Justice, 14th Court of Appeals District, Place 6",0097,2393,764,3157,4566,69.14%,2429,2429
"Justice, 14th Court of Appeals District, Place 6",0098,874,607,1481,2403,61.63%,1242,1242
"Justice, 14th Court of Appeals District, Place 6",0099,568,311,879,2040,43.09%,464,464
"Justice, 14th Court of Appeals District, Place 6",0100,427,324,751,1754,42.82%,406,406
"Justice, 14th Court of Appeals District, Place 6",0101,204,186,390,941,41.45%,132,132
"Justice, 14th Court of Appeals District, Place 6",0102,493,268,761,1910,39.84%,258,258
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0103,1915,1065,2980,4751,62.72%,1788,1788
"Justice, 14th Court of Appeals District, Place 6",0104,992,238,1230,1847,66.59%,101,101
"Justice, 14th Court of Appeals District, Place 6",0105,462,453,915,2153,42.50%,386,386
"Justice, 14th Court of Appeals District, Place 6",0106,49,37,86,284,30.28%,50,50
"Justice, 14th Court of Appeals District, Place 6",0107,412,441,853,1905,44.78%,240,240
"Justice, 14th Court of Appeals District, Place 6",0108,1194,514,1708,3229,52.90%,1001,1001
"Justice, 14th Court of Appeals District, Place 6",0109,1160,430,1590,2884,55.13%,162,162
"Justice, 14th Court of Appeals District, Place 6",0110,1465,589,2054,2853,71.99%,1367,1367
"Justice, 14th Court of Appeals District, Place 6",0111,1868,848,2716,3638,74.66%,2111,2111
"Justice, 14th Court of Appeals District, Place 6",0112,1262,668,1930,2894,66.69%,1462,1462
"Justice, 14th Court of Appeals District, Place 6",0113,1125,590,1715,2537,67.60%,1079,1079
"Justice, 14th Court of Appeals District, Place 6",0114,1454,546,2000,2650,75.47%,1619,1619
"Justice, 14th Court of Appeals District, Place 6",0115,598,305,903,1764,51.19%,175,175
"Justice, 14th Court of Appeals District, Place 6",0116,1626,747,2373,3014,78.73%,1890,1890
"Justice, 14th Court of Appeals District, Place 6",0117,398,462,860,1878,45.79%,444,444
"Justice, 14th Court of Appeals District, Place 6",0118,460,148,608,743,81.83%,506,506
"Justice, 14th Court of Appeals District, Place 6",0119,1924,1265,3189,4892,65.19%,2616,2616
"Justice, 14th Court of Appeals District, Place 6",0120,1198,632,1830,2986,61.29%,1219,1219
"Justice, 14th Court of Appeals District, Place 6",0121,193,244,437,679,64.36%,304,304
"Justice, 14th Court of Appeals District, Place 6",0122,895,349,1244,2199,56.57%,153,153
"Justice, 14th Court of Appeals District, Place 6",0123,440,350,790,1356,58.26%,297,297
"Justice, 14th Court of Appeals District, Place 6",0124,3522,1281,4803,5952,80.70%,3935,3935
"Justice, 14th Court of Appeals District, Place 6",0125,896,534,1430,2281,62.69%,903,903
"Justice, 14th Court of Appeals District, Place 6",0126,1630,407,2037,2799,72.78%,1770,1770
"Justice, 14th Court of Appeals District, Place 6",0127,854,182,1036,1703,60.83%,766,766
"Justice, 14th Court of Appeals District, Place 6",0128,936,736,1672,2257,74.08%,1165,1165
"Justice, 14th Court of Appeals District, Place 6",0129,2294,1449,3743,5495,68.12%,2600,2600
"Justice, 14th Court of Appeals District, Place 6",0130,1203,523,1726,2240,77.05%,1334,1334
"Justice, 14th Court of Appeals District, Place 6",0131,604,374,978,1721,56.83%,346,346
"Justice, 14th Court of Appeals District, Place 6",0132,1119,397,1516,2449,61.90%,143,143
"Justice, 14th Court of Appeals District, Place 6",0133,1088,940,2028,2605,77.85%,1373,1373
"Justice, 14th Court of Appeals District, Place 6",0134,420,392,812,1444,56.23%,447,447
"Justice, 14th Court of Appeals District, Place 6",0135,1425,634,2059,2750,74.87%,1434,1434
"Justice, 14th Court of Appeals District, Place 6",0136,981,451,1432,2111,67.84%,219,219
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0137,305,193,498,740,67.30%,291,291
"Justice, 14th Court of Appeals District, Place 6",0138,661,259,920,1749,52.60%,71,71
"Justice, 14th Court of Appeals District, Place 6",0139,1290,747,2037,2746,74.18%,1166,1166
"Justice, 14th Court of Appeals District, Place 6",0140,1315,683,1998,3104,64.37%,554,554
"Justice, 14th Court of Appeals District, Place 6",0141,181,143,324,872,37.16%,214,214
"Justice, 14th Court of Appeals District, Place 6",0142,212,171,383,870,44.02%,165,165
"Justice, 14th Court of Appeals District, Place 6",0143,2994,660,3654,4598,79.47%,2758,2758
"Justice, 14th Court of Appeals District, Place 6",0144,477,204,681,1143,59.58%,58,58
"Justice, 14th Court of Appeals District, Place 6",0145,663,245,908,1580,57.47%,60,60
"Justice, 14th Court of Appeals District, Place 6",0146,759,614,1373,1953,70.30%,740,740
"Justice, 14th Court of Appeals District, Place 6",0147,1255,485,1740,2813,61.86%,382,382
"Justice, 14th Court of Appeals District, Place 6",0148,908,924,1832,2467,74.26%,964,964
"Justice, 14th Court of Appeals District, Place 6",0149,2860,1322,4182,6103,68.52%,2245,2245
"Justice, 14th Court of Appeals District, Place 6",0150,539,207,746,1212,61.55%,76,76
"Justice, 14th Court of Appeals District, Place 6",0151,316,148,464,846,54.85%,52,52
"Justice, 14th Court of Appeals District, Place 6",0152,483,602,1085,2701,40.17%,412,412
"Justice, 14th Court of Appeals District, Place 6",0153,328,437,765,1755,43.59%,325,325
"Justice, 14th Court of Appeals District, Place 6",0154,593,360,953,2133,44.68%,367,367
"Justice, 14th Court of Appeals District, Place 6",0155,1957,834,2791,4087,68.29%,2041,2041
"Justice, 14th Court of Appeals District, Place 6",0156,1427,457,1884,3134,60.11%,215,215
"Justice, 14th Court of Appeals District, Place 6",0157,881,382,1263,2311,54.65%,144,144
"Justice, 14th Court of Appeals District, Place 6",0158,1304,435,1739,3016,57.66%,179,179
"Justice, 14th Court of Appeals District, Place 6",0159,313,187,500,976,51.23%,106,106
"Justice, 14th Court of Appeals District, Place 6",0160,246,140,386,688,56.10%,42,42
"Justice, 14th Court of Appeals District, Place 6",0161,395,190,585,1030,56.80%,33,33
"Justice, 14th Court of Appeals District, Place 6",0162,232,262,494,1249,39.55%,193,193
"Justice, 14th Court of Appeals District, Place 6",0163,778,535,1413,3054,46.27%,594,594
"Justice, 14th Court of Appeals District, Place 6",0164,505,304,809,1434,56.42%,68,68
"Justice, 14th Court of Appeals District, Place 6",0165,918,557,1475,2284,64.58%,1027,1027
"Justice, 14th Court of Appeals District, Place 6",0166,281,311,592,1016,58.27%,268,268
"Justice, 14th Court of Appeals District, Place 6",0167,5,2,7,23,30.43%,2,2
"Justice, 14th Court of Appeals District, Place 6",0168,188,126,314,519,60.50%,27,27
"Justice, 14th Court of Appeals District, Place 6",0169,1060,433,1493,2531,58.99%,116,116
"Justice, 14th Court of Appeals District, Place 6",0170,481,353,834,1887,44.20%,478,478
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0171,514,294,808,1613,50.09%,85,85
"Justice, 14th Court of Appeals District, Place 6",0172,161,147,308,600,51.33%,139,139
"Justice, 14th Court of Appeals District, Place 6",0173,1798,619,2417,3105,77.84%,1943,1943
"Justice, 14th Court of Appeals District, Place 6",0174,1554,767,2321,3159,73.47%,1710,1710
"Justice, 14th Court of Appeals District, Place 6",0175,1065,867,1932,2506,77.09%,1182,1182
"Justice, 14th Court of Appeals District, Place 6",0176,627,530,1157,1581,73.18%,695,695
"Justice, 14th Court of Appeals District, Place 6",0177,672,385,1057,1478,71.52%,725,725
"Justice, 14th Court of Appeals District, Place 6",0178,914,368,1282,1718,74.62%,924,924
"Justice, 14th Court of Appeals District, Place 6",0179,449,321,770,1508,51.06%,428,428
"Justice, 14th Court of Appeals District, Place 6",0180,966,552,1518,2795,54.31%,150,150
"Justice, 14th Court of Appeals District, Place 6",0181,416,514,930,1968,47.26%,429,429
"Justice, 14th Court of Appeals District, Place 6",0182,1321,1081,2402,3289,73.03%,1628,1628
"Justice, 14th Court of Appeals District, Place 6",0183,970,943,1913,2451,78.05%,1404,1404
"Justice, 14th Court of Appeals District, Place 6",0184,214,256,470,969,48.50%,188,188
"Justice, 14th Court of Appeals District, Place 6",0185,592,494,1086,1910,56.86%,464,464
"Justice, 14th Court of Appeals District, Place 6",0186,204,170,374,795,47.04%,76,76
"Justice, 14th Court of Appeals District, Place 6",0187,48,65,113,309,36.57%,45,45
"Justice, 14th Court of Appeals District, Place 6",0188,307,378,685,1616,42.39%,317,317
"Justice, 14th Court of Appeals District, Place 6",0189,492,473,965,1453,66.41%,602,602
"Justice, 14th Court of Appeals District, Place 6",0190,275,401,676,1720,39.30%,318,318
"Justice, 14th Court of Appeals District, Place 6",0191,197,313,510,1391,36.66%,237,237
"Justice, 14th Court of Appeals District, Place 6",0192,746,332,1078,2045,52.71%,122,122
"Justice, 14th Court of Appeals District, Place 6",0193,341,269,610,1050,58.10%,70,70
"Justice, 14th Court of Appeals District, Place 6",0194,706,504,1210,1735,69.74%,522,522
"Justice, 14th Court of Appeals District, Place 6",0195,539,419,958,1721,55.67%,93,93
"Justice, 14th Court of Appeals District, Place 6",0196,121,55,176,323,54.49%,28,28
"Justice, 14th Court of Appeals District, Place 6",0197,1109,497,1606,2895,55.47%,159,159
"Justice, 14th Court of Appeals District, Place 6",0198,143,158,301,657,45.81%,23,23
"Justice, 14th Court of Appeals District, Place 6",0199,1407,773,2180,3159,69.01%,1705,1705
"Justice, 14th Court of Appeals District, Place 6",0200,1638,585,2223,3222,68.99%,1224,1224
"Justice, 14th Court of Appeals District, Place 6",0201,229,125,354,728,48.63%,29,29
