Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Walker,DEM John Whitmire,Totals
"State Senator, District 15",0413,1493,525,2018,3023,66.75%,699,1245,1944
"State Senator, District 15",0414,1452,593,2045,3457,59.16%,1386,549,1935
"State Senator, District 15",0424,435,1,57,592,888,66.67%,321,258,579
"State Senator, District 15",0444,1258,731,1989,3172,62.70%,1092,803,1895
"State Senator, District 15",0445,860,443,1303,1938,67.23%,746,505,1251
"State Senator, District 15",0446,70,52,122,268,45.52%,42,71,113
"State Senator, District 15",0448,1239,869,2108,3081,68.42%,1120,885,2005
"State Senator, District 15",0449,62,37,99,164,60.37%,13,80,93
"State Senator, District 15",0450,856,537,1393,2622,53.13%,314,1038,1352
"State Senator, District 15",0456,1266,593,1859,3350,55.49%,929,848,1777
"State Senator, District 15",0457,0,0,0,0,0.00%,0,0,0
"State Senator, District 15",0460,1250,402,1652,2346,70.42%,413,1186,1599
"State Senator, District 15",0467,478,229,707,1230,57.48%,154,528,682
"State Senator, District 15",0468,984,793,1777,3354,52.98%,483,1210,1693
"State Senator, District 15",0494,760,431,1191,2176,54.73%,134,1024,1158
"State Senator, District 15",0496,496,571,1067,2086,51.15%,366,649,1015
"State Senator, District 15",0498,759,499,1258,2123,59.26%,505,710,1215
"State Senator, District 15",0501,653,487,1140,1647,69.22%,403,677,1080
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Walker,DEM John Whitmire,Totals
"State Senator, District 15",0505,1209,829,2038,3654,55.77%,803,1144,1947
"State Senator, District 15",0511,0,6,6,0,0.00%,1,5,6
"State Senator, District 15",0516,2179,1066,3245,4934,65.77%,1521,1583,3104
"State Senator, District 15",0520,1542,857,2399,4064,59.03%,354,1960,2314
"State Senator, District 15",0528,36,12,48,92,52.17%,2,46,48
"State Senator, District 15",0532,452,184,636,1039,61.21%,415,198,613
"State Senator, District 15",0549,944,586,1530,2530,60.47%,198,1286,1484
"State Senator, District 15",0576,1050,552,1602,2671,59.98%,48,1515,1563
"State Senator, District 15",0577,231,113,344,573,60.03%,183,145,328
"State Senator, District 15",0578,745,553,1298,1689,76.85%,717,519,1236
"State Senator, District 15",0592,370,288,658,1258,52.31%,143,491,634
"State Senator, District 15",0593,1148,999,2147,4059,52.89%,917,1143,2060
"State Senator, District 15",0594,1031,535,1566,2361,66.33%,415,1113,1528
"State Senator, District 15",0597,1067,719,1786,3267,54.67%,590,1135,1725
"State Senator, District 15",0599,1895,855,2761,4135,66.77%,892,1782,2674
"State Senator, District 15",0609,1364,844,2208,3261,67.71%,1301,809,2110
"State Senator, District 15",0610,403,398,801,1825,43.89%,328,430,758
"State Senator, District 15",0613,495,309,804,1450,55.45%,117,660,777
"State Senator, District 15",0614,1631,812,2443,3932,62.13%,762,1599,2361
"State Senator, District 15",0628,292,456,748,1600,46.75%,287,425,712
"State Senator, District 15",0629,175,127,302,629,48.01%,23,274,297
"State Senator, District 15",0657,490,268,758,1200,63.17%,283,443,726
"State Senator, District 15",0660,2460,932,3392,5048,67.19%,307,2993,3300
"State Senator, District 15",0661,1614,1012,2626,4179,62.84%,1337,1195,2532
"State Senator, District 15",0663,1302,913,2215,3232,68.53%,1079,1021,2100
"State Senator, District 15",0666,0,1,1,0,0.00%,0,1,1
"State Senator, District 15",0678,297,154,461,756,60.98%,281,158,439
"State Senator, District 15",0680,56,22,78,181,43.09%,33,38,71
"State Senator, District 15",0689,505,651,1156,2276,50.79%,509,562,1071
"State Senator, District 15",0694,420,137,557,817,68.18%,341,197,538
"State Senator, District 15",0697,1516,941,2457,4307,57.05%,515,1849,2364
"State Senator, District 15",0698,1137,659,1796,2948,60.92%,157,1581,1738
"State Senator, District 15",0701,142,115,257,554,46.39%,130,116,246
"State Senator, District 15",0705,358,238,596,1520,39.21%,54,525,579
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Walker,DEM John Whitmire,Totals
"State Senator, District 15",0707,284,138,420,707,59.41%,229,174,403
