Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0285,989,509,1498,2505,59.80%,161,263,140,564
"Railroad Commissioner, Unexpired Term",0286,2659,1053,3712,5719,64.91%,455,913,345,1713
"Railroad Commissioner, Unexpired Term",0287,547,542,1189,1616,73.58%,644,156,160,960
"Railroad Commissioner, Unexpired Term",0288,1036,380,1416,2259,62.68%,57,217,134,408
"Railroad Commissioner, Unexpired Term",0289,374,397,771,1510,51.06%,311,151,49,511
"Railroad Commissioner, Unexpired Term",0290,577,429,1006,1567,64.20%,765,79,29,873
"Railroad Commissioner, Unexpired Term",0291,541,298,839,1203,69.74%,429,110,99,638
"Railroad Commissioner, Unexpired Term",0292,478,236,714,1272,56.13%,98,159,64,321
"Railroad Commissioner, Unexpired Term",0293,520,557,1177,1733,67.92%,580,142,168,890
"Railroad Commissioner, Unexpired Term",0294,989,298,1287,2107,61.08%,45,209,103,357
"Railroad Commissioner, Unexpired Term",0295,315,189,504,862,58.47%,15,72,39,126
"Railroad Commissioner, Unexpired Term",0296,603,432,1035,1693,61.13%,614,135,69,818
"Railroad Commissioner, Unexpired Term",0297,579,445,1024,1978,51.77%,407,143,94,644
"Railroad Commissioner, Unexpired Term",0298,849,475,1324,2083,63.56%,748,196,112,1056
"Railroad Commissioner, Unexpired Term",0299,328,213,541,1231,43.95%,195,89,45,329
"Railroad Commissioner, Unexpired Term",0300,3017,922,3939,5040,78.15%,3084,230,149,3463
"Railroad Commissioner, Unexpired Term",0301,450,655,1105,2397,46.10%,433,189,35,657
"Railroad Commissioner, Unexpired Term",0302,713,635,1348,2724,49.49%,738,171,53,962
"Railroad Commissioner, Unexpired Term",0303,1775,755,2530,3172,79.76%,2075,104,97,2276
"Railroad Commissioner, Unexpired Term",0304,970,648,1618,2266,71.40%,1008,111,170,1289
"Railroad Commissioner, Unexpired Term",0305,1321,858,2179,3621,60.18%,843,462,151,1456
"Railroad Commissioner, Unexpired Term",0306,1014,323,1337,1847,72.39%,1016,84,77,1177
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0307,1242,876,2118,2931,72.26%,1489,169,135,1793
"Railroad Commissioner, Unexpired Term",0308,444,238,682,1266,53.87%,208,130,45,383
"Railroad Commissioner, Unexpired Term",0309,1386,612,1998,2529,79.00%,1640,91,70,1801
"Railroad Commissioner, Unexpired Term",0310,519,348,967,1437,67.29%,660,81,64,805
"Railroad Commissioner, Unexpired Term",0311,862,699,1561,2997,52.09%,739,206,117,1062
"Railroad Commissioner, Unexpired Term",0312,1601,718,2319,3669,63.21%,1360,285,184,1829
"Railroad Commissioner, Unexpired Term",0313,22,1,23,60,38.33%,11,4,0,15
"Railroad Commissioner, Unexpired Term",0314,2496,1221,3717,5225,71.14%,2319,471,226,3016
"Railroad Commissioner, Unexpired Term",0315,711,479,1190,1618,73.55%,755,95,102,952
"Railroad Commissioner, Unexpired Term",0316,682,411,1093,1522,71.81%,645,103,128,876
"Railroad Commissioner, Unexpired Term",0317,555,336,891,1469,60.65%,305,179,97,581
"Railroad Commissioner, Unexpired Term",0318,1709,611,2320,3531,65.70%,195,502,238,935
"Railroad Commissioner, Unexpired Term",0319,965,290,1255,2081,60.31%,132,267,130,529
"Railroad Commissioner, Unexpired Term",0320,464,300,764,1505,50.76%,356,122,29,507
"Railroad Commissioner, Unexpired Term",0321,442,305,748,2029,36.87%,266,154,35,455
"Railroad Commissioner, Unexpired Term",0322,397,237,634,1322,47.96%,170,88,74,332
"Railroad Commissioner, Unexpired Term",0323,483,332,815,1719,47.41%,353,143,92,588
"Railroad Commissioner, Unexpired Term",0324,967,718,1685,2339,72.04%,1125,160,131,1416
"Railroad Commissioner, Unexpired Term",0325,658,397,1055,2251,46.87%,245,180,75,500
"Railroad Commissioner, Unexpired Term",0326,202,128,330,678,48.67%,155,56,13,224
"Railroad Commissioner, Unexpired Term",0327,725,244,970,1751,55.40%,42,124,64,230
"Railroad Commissioner, Unexpired Term",0328,345,270,615,1361,45.19%,240,110,34,384
"Railroad Commissioner, Unexpired Term",0329,405,307,712,1367,52.08%,235,161,42,438
"Railroad Commissioner, Unexpired Term",0330,591,376,967,1849,52.30%,458,175,89,722
"Railroad Commissioner, Unexpired Term",0331,0,1,1,0,0.00%,1,0,0,1
"Railroad Commissioner, Unexpired Term",0332,24,4,28,128,21.88%,11,4,0,15
"Railroad Commissioner, Unexpired Term",0333,1019,939,1958,2901,67.49%,1400,151,131,1682
"Railroad Commissioner, Unexpired Term",0334,255,114,369,755,48.87%,78,69,29,176
"Railroad Commissioner, Unexpired Term",0335,285,246,531,1227,43.28%,171,110,37,318
"Railroad Commissioner, Unexpired Term",0336,1825,588,2413,3161,76.34%,303,599,296,1198
"Railroad Commissioner, Unexpired Term",0337,310,207,517,951,54.36%,97,123,56,276
"Railroad Commissioner, Unexpired Term",0338,1543,824,2367,4673,50.65%,717,435,155,1307
"Railroad Commissioner, Unexpired Term",0339,369,373,742,1716,43.24%,169,179,50,398
"Railroad Commissioner, Unexpired Term",0340,1779,833,2612,3717,70.27%,1940,200,143,2283
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0341,246,316,562,1248,45.03%,156,126,37,319
"Railroad Commissioner, Unexpired Term",0342,2031,1113,3144,5718,54.98%,545,599,242,1386
"Railroad Commissioner, Unexpired Term",0343,436,483,919,1904,48.27%,252,224,52,528
"Railroad Commissioner, Unexpired Term",0344,395,245,640,1207,53.02%,43,92,42,177
"Railroad Commissioner, Unexpired Term",0345,430,357,787,1708,46.08%,209,194,82,485
"Railroad Commissioner, Unexpired Term",0346,1,2,3,1,300.00%,3,0,0,3
"Railroad Commissioner, Unexpired Term",0347,1250,614,1864,3299,56.50%,1148,216,69,1433
"Railroad Commissioner, Unexpired Term",0348,753,280,1033,1740,59.37%,741,75,33,849
"Railroad Commissioner, Unexpired Term",0349,407,407,814,1315,61.90%,479,119,49,647
"Railroad Commissioner, Unexpired Term",0350,1120,780,1900,2906,65.38%,861,291,294,1446
"Railroad Commissioner, Unexpired Term",0351,2495,793,3288,4537,72.47%,2625,205,105,2935
"Railroad Commissioner, Unexpired Term",0352,1152,583,1735,3193,54.34%,1201,150,66,1417
"Railroad Commissioner, Unexpired Term",0353,1544,703,2247,3697,60.78%,438,337,163,938
"Railroad Commissioner, Unexpired Term",0354,1477,517,1994,3193,62.45%,536,327,148,1011
"Railroad Commissioner, Unexpired Term",0355,703,286,989,1384,71.46%,124,215,93,432
"Railroad Commissioner, Unexpired Term",0356,1383,618,2001,2836,70.56%,1211,250,133,1594
"Railroad Commissioner, Unexpired Term",0357,1633,709,2342,3371,69.47%,1731,188,154,2073
"Railroad Commissioner, Unexpired Term",0358,742,464,1206,2297,52.50%,127,206,89,422
"Railroad Commissioner, Unexpired Term",0359,707,482,1189,3008,39.53%,131,257,127,515
"Railroad Commissioner, Unexpired Term",0360,973,515,1488,2190,67.95%,850,164,158,1172
"Railroad Commissioner, Unexpired Term",0361,136,691,827,1585,52.18%,208,209,193,610
"Railroad Commissioner, Unexpired Term",0362,2132,1200,3332,4952,67.29%,2451,251,159,2861
"Railroad Commissioner, Unexpired Term",0363,1348,687,2035,3291,61.84%,940,308,125,1373
"Railroad Commissioner, Unexpired Term",0364,913,602,1515,2539,59.67%,778,244,98,1120
"Railroad Commissioner, Unexpired Term",0365,735,245,980,1302,75.27%,114,146,93,353
"Railroad Commissioner, Unexpired Term",0366,638,466,1104,2089,52.85%,264,226,64,554
"Railroad Commissioner, Unexpired Term",0367,328,212,540,1019,52.99%,108,96,54,258
"Railroad Commissioner, Unexpired Term",0368,418,143,561,929,60.39%,168,90,45,303
"Railroad Commissioner, Unexpired Term",0369,108,53,161,490,32.86%,67,26,16,109
"Railroad Commissioner, Unexpired Term",0370,3145,1178,4323,5781,74.78%,3281,328,161,3770
"Railroad Commissioner, Unexpired Term",0371,226,69,295,475,62.11%,14,35,14,63
"Railroad Commissioner, Unexpired Term",0372,499,231,730,1215,60.08%,112,173,71,356
"Railroad Commissioner, Unexpired Term",0373,61,16,77,159,48.43%,5,7,4,16
"Railroad Commissioner, Unexpired Term",0374,139,187,326,748,43.58%,98,75,11,184
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0375,578,524,1102,2607,42.27%,494,186,45,725
"Railroad Commissioner, Unexpired Term",0376,530,334,964,1916,50.31%,411,138,60,609
"Railroad Commissioner, Unexpired Term",0377,1055,707,1762,2871,61.37%,1300,110,91,1501
"Railroad Commissioner, Unexpired Term",0378,559,521,1080,1777,60.78%,677,141,72,890
"Railroad Commissioner, Unexpired Term",0379,802,338,1140,2017,56.52%,119,226,99,444
"Railroad Commissioner, Unexpired Term",0380,2505,1183,3688,4753,77.59%,2172,484,243,2899
"Railroad Commissioner, Unexpired Term",0381,957,424,1381,2715,50.87%,602,241,81,924
"Railroad Commissioner, Unexpired Term",0382,275,231,507,841,60.29%,359,48,15,422
"Railroad Commissioner, Unexpired Term",0383,601,493,1094,2076,52.70%,356,177,49,582
"Railroad Commissioner, Unexpired Term",0384,1176,505,1681,2596,64.75%,416,295,178,889
"Railroad Commissioner, Unexpired Term",0385,1099,621,1720,2175,79.08%,1354,90,67,1511
"Railroad Commissioner, Unexpired Term",0386,1466,460,1926,2872,67.06%,1406,140,69,1615
"Railroad Commissioner, Unexpired Term",0387,1369,802,2171,3727,58.25%,1531,140,68,1739
"Railroad Commissioner, Unexpired Term",0388,2780,1222,4002,5329,75.10%,2292,547,223,3062
"Railroad Commissioner, Unexpired Term",0389,290,251,551,975,56.51%,107,145,56,308
"Railroad Commissioner, Unexpired Term",0390,651,368,1019,1565,65.11%,161,214,126,501
"Railroad Commissioner, Unexpired Term",0391,856,355,1211,1805,67.09%,798,93,90,981
"Railroad Commissioner, Unexpired Term",0392,737,197,934,1441,64.82%,45,148,71,264
"Railroad Commissioner, Unexpired Term",0393,346,318,664,1206,55.06%,303,133,51,487
"Railroad Commissioner, Unexpired Term",0394,166,176,342,860,39.77%,142,58,14,214
"Railroad Commissioner, Unexpired Term",0395,830,491,1321,1820,72.58%,933,117,106,1156
"Railroad Commissioner, Unexpired Term",0396,1158,219,1377,2073,66.43%,45,148,71,264
"Railroad Commissioner, Unexpired Term",0397,163,148,311,750,41.47%,126,54,14,194
"Railroad Commissioner, Unexpired Term",0398,1443,840,2283,3816,59.83%,1161,365,180,1706
"Railroad Commissioner, Unexpired Term",0399,897,593,1490,2542,58.62%,750,189,84,1023
"Railroad Commissioner, Unexpired Term",0400,1052,506,1558,2238,69.62%,1145,119,75,1339
"Railroad Commissioner, Unexpired Term",0401,724,284,1008,1876,53.73%,66,138,57,261
"Railroad Commissioner, Unexpired Term",0402,892,245,1137,1737,65.46%,88,200,116,404
"Railroad Commissioner, Unexpired Term",0403,792,527,1319,1703,77.45%,827,100,130,1057
"Railroad Commissioner, Unexpired Term",0404,778,552,1330,2589,51.37%,679,165,73,917
"Railroad Commissioner, Unexpired Term",0405,0,1,1,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0406,282,72,354,610,58.03%,15,47,17,79
"Railroad Commissioner, Unexpired Term",0407,1320,1000,2320,3652,63.53%,1498,271,145,1914
"Railroad Commissioner, Unexpired Term",0408,154,179,333,933,35.69%,141,54,14,209
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0409,277,289,566,1371,41.28%,190,116,27,333
"Railroad Commissioner, Unexpired Term",0410,337,102,439,849,51.71%,91,65,31,187
"Railroad Commissioner, Unexpired Term",0411,542,462,1004,2302,43.61%,307,188,46,541
"Railroad Commissioner, Unexpired Term",0412,193,74,267,433,61.66%,23,36,13,72
"Railroad Commissioner, Unexpired Term",0413,1493,525,2018,3023,66.75%,822,260,118,1200
"Railroad Commissioner, Unexpired Term",0414,1453,593,2046,3457,59.18%,1476,156,88,1720
"Railroad Commissioner, Unexpired Term",0415,951,633,1584,2124,74.58%,1113,113,107,1333
"Railroad Commissioner, Unexpired Term",0416,1181,916,2097,3582,58.54%,1115,312,151,1578
"Railroad Commissioner, Unexpired Term",0417,777,619,1396,2465,56.63%,648,242,77,967
"Railroad Commissioner, Unexpired Term",0418,1059,758,1817,3420,53.13%,709,314,125,1148
"Railroad Commissioner, Unexpired Term",0419,1006,578,1584,2697,58.73%,1021,164,69,1254
"Railroad Commissioner, Unexpired Term",0420,2174,1089,3263,4639,70.34%,2629,180,87,2896
"Railroad Commissioner, Unexpired Term",0421,124,92,216,467,46.25%,53,48,22,123
"Railroad Commissioner, Unexpired Term",0422,1456,585,2041,3345,61.02%,101,356,172,629
"Railroad Commissioner, Unexpired Term",0423,190,309,499,894,55.82%,213,72,19,304
"Railroad Commissioner, Unexpired Term",0424,435,1,57,592,888,66.67%,355,94,43,492
"Railroad Commissioner, Unexpired Term",0425,228,234,462,875,52.80%,159,93,42,294
"Railroad Commissioner, Unexpired Term",0426,415,283,698,1224,57.03%,415,69,36,520
"Railroad Commissioner, Unexpired Term",0427,325,249,574,1115,51.48%,215,97,48,360
"Railroad Commissioner, Unexpired Term",0428,1284,907,2191,4316,50.76%,720,313,137,1170
"Railroad Commissioner, Unexpired Term",0429,1093,777,1870,3929,47.59%,398,371,143,912
"Railroad Commissioner, Unexpired Term",0430,406,335,741,1654,44.80%,181,119,60,360
"Railroad Commissioner, Unexpired Term",0431,824,403,1227,3188,38.49%,349,259,116,724
"Railroad Commissioner, Unexpired Term",0432,312,271,583,1344,43.38%,177,140,69,386
"Railroad Commissioner, Unexpired Term",0433,139,106,245,573,42.76%,52,46,33,131
"Railroad Commissioner, Unexpired Term",0434,633,371,1004,1386,72.44%,669,102,81,852
"Railroad Commissioner, Unexpired Term",0435,1537,768,2305,3097,74.43%,1581,202,149,1932
"Railroad Commissioner, Unexpired Term",0436,1342,709,2051,3012,68.09%,1305,226,156,1687
"Railroad Commissioner, Unexpired Term",0437,952,542,1494,2007,74.44%,1086,107,83,1276
"Railroad Commissioner, Unexpired Term",0438,1047,387,1434,1802,79.58%,1122,76,59,1257
"Railroad Commissioner, Unexpired Term",0439,1527,905,2432,3416,71.19%,1792,172,133,2097
"Railroad Commissioner, Unexpired Term",0440,1326,876,2202,2867,76.81%,1776,89,84,1949
"Railroad Commissioner, Unexpired Term",0441,699,513,1212,1616,75.00%,916,81,48,1045
"Railroad Commissioner, Unexpired Term",0442,1366,513,1879,2504,75.04%,1545,88,78,1711
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0443,335,148,483,605,79.83%,345,37,30,412
"Railroad Commissioner, Unexpired Term",0444,1258,731,1989,3172,62.70%,1215,277,124,1616
"Railroad Commissioner, Unexpired Term",0445,861,443,1304,1938,67.29%,841,132,76,1049
"Railroad Commissioner, Unexpired Term",0446,70,52,122,268,45.52%,54,18,11,83
"Railroad Commissioner, Unexpired Term",0447,271,108,379,583,65.01%,145,76,49,270
"Railroad Commissioner, Unexpired Term",0448,1240,869,2109,3081,68.45%,1285,266,216,1767
"Railroad Commissioner, Unexpired Term",0449,62,37,99,164,60.37%,15,12,3,30
"Railroad Commissioner, Unexpired Term",0450,856,537,1393,2622,53.13%,382,228,121,731
"Railroad Commissioner, Unexpired Term",0451,1575,515,2090,2674,78.16%,1725,107,69,1901
"Railroad Commissioner, Unexpired Term",0452,1110,639,1749,2810,62.24%,1293,147,75,1515
"Railroad Commissioner, Unexpired Term",0453,559,475,1034,1885,54.85%,365,196,81,642
"Railroad Commissioner, Unexpired Term",0454,1227,311,1538,2571,59.82%,39,163,69,271
"Railroad Commissioner, Unexpired Term",0455,748,216,964,1679,57.42%,49,130,43,222
"Railroad Commissioner, Unexpired Term",0456,1271,593,1864,3350,55.64%,1012,210,75,1297
"Railroad Commissioner, Unexpired Term",0457,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0458,909,271,1180,1893,62.33%,91,214,118,423
"Railroad Commissioner, Unexpired Term",0459,1639,476,2115,2950,71.69%,1689,123,84,1896
"Railroad Commissioner, Unexpired Term",0460,1251,402,1653,2346,70.46%,473,322,111,906
"Railroad Commissioner, Unexpired Term",0461,1959,828,2787,3733,74.66%,1914,206,188,2308
"Railroad Commissioner, Unexpired Term",0462,1320,865,2185,3367,64.89%,844,375,222,1441
"Railroad Commissioner, Unexpired Term",0463,1130,656,1786,2962,60.30%,766,371,147,1284
"Railroad Commissioner, Unexpired Term",0464,788,612,1400,2126,65.85%,963,132,75,1170
"Railroad Commissioner, Unexpired Term",0465,1466,702,2168,3343,64.85%,1193,279,148,1620
"Railroad Commissioner, Unexpired Term",0466,2052,729,2781,4072,68.30%,1617,286,139,2042
"Railroad Commissioner, Unexpired Term",0467,479,229,708,1230,57.56%,196,85,49,330
"Railroad Commissioner, Unexpired Term",0468,986,793,1779,3354,53.04%,550,323,102,975
"Railroad Commissioner, Unexpired Term",0469,2039,638,2677,3779,70.84%,2075,170,130,2375
"Railroad Commissioner, Unexpired Term",0470,443,323,766,1349,56.78%,523,75,36,634
"Railroad Commissioner, Unexpired Term",0471,793,597,1390,2349,59.17%,1073,100,38,1211
"Railroad Commissioner, Unexpired Term",0472,372,337,709,1027,69.04%,368,80,107,555
"Railroad Commissioner, Unexpired Term",0473,914,442,1356,1827,74.22%,971,97,94,1162
"Railroad Commissioner, Unexpired Term",0474,1149,766,1915,3006,63.71%,1325,187,111,1623
"Railroad Commissioner, Unexpired Term",0475,485,473,958,1651,58.03%,435,159,60,654
"Railroad Commissioner, Unexpired Term",0476,809,658,1467,2412,60.82%,842,211,82,1135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0477,1442,742,2184,3195,68.36%,1643,176,99,1918
"Railroad Commissioner, Unexpired Term",0478,1963,898,2861,4150,68.94%,1906,303,189,2398
"Railroad Commissioner, Unexpired Term",0479,1302,588,1890,2648,71.37%,1410,161,90,1661
"Railroad Commissioner, Unexpired Term",0480,935,555,1491,2267,65.77%,1067,127,69,1263
"Railroad Commissioner, Unexpired Term",0481,1466,852,2318,3298,70.29%,1725,162,108,1995
"Railroad Commissioner, Unexpired Term",0482,1964,836,2800,4129,67.81%,1937,307,148,2392
"Railroad Commissioner, Unexpired Term",0483,1870,759,2629,4141,63.49%,1437,387,238,2062
"Railroad Commissioner, Unexpired Term",0484,2239,1008,3247,4594,70.68%,2356,294,158,2808
"Railroad Commissioner, Unexpired Term",0485,2422,990,3412,4838,70.53%,2518,296,118,2932
"Railroad Commissioner, Unexpired Term",0486,1844,805,2649,3572,74.16%,2036,181,98,2315
"Railroad Commissioner, Unexpired Term",0487,1006,612,1618,3318,48.76%,490,280,100,870
"Railroad Commissioner, Unexpired Term",0488,580,440,1020,1713,59.54%,374,182,81,637
"Railroad Commissioner, Unexpired Term",0489,784,378,1162,1823,63.74%,381,217,120,718
"Railroad Commissioner, Unexpired Term",0490,881,439,1320,1944,67.90%,531,190,143,864
"Railroad Commissioner, Unexpired Term",0491,570,489,1159,1782,65.04%,704,140,109,953
"Railroad Commissioner, Unexpired Term",0492,1072,504,1576,2351,67.04%,880,204,125,1209
"Railroad Commissioner, Unexpired Term",0493,859,400,1259,1804,69.79%,824,131,100,1055
"Railroad Commissioner, Unexpired Term",0494,761,431,1192,2176,54.78%,177,200,84,461
"Railroad Commissioner, Unexpired Term",0495,1121,494,1615,2284,70.71%,1163,142,76,1381
"Railroad Commissioner, Unexpired Term",0496,496,571,1067,2086,51.15%,413,192,60,665
"Railroad Commissioner, Unexpired Term",0497,1124,303,1427,2226,64.11%,90,159,82,331
"Railroad Commissioner, Unexpired Term",0498,760,499,1259,2123,59.30%,557,186,94,837
"Railroad Commissioner, Unexpired Term",0499,1302,517,1819,2304,78.95%,1377,116,103,1596
"Railroad Commissioner, Unexpired Term",0500,1507,746,2253,3175,70.96%,1554,192,147,1893
"Railroad Commissioner, Unexpired Term",0501,653,487,1140,1647,69.22%,476,199,170,845
"Railroad Commissioner, Unexpired Term",0502,1152,332,1484,2364,62.77%,1156,86,48,1290
"Railroad Commissioner, Unexpired Term",0503,359,273,632,1363,46.37%,211,87,34,332
"Railroad Commissioner, Unexpired Term",0504,1129,538,1667,2197,75.88%,1143,159,133,1435
"Railroad Commissioner, Unexpired Term",0505,1213,829,2042,3654,55.88%,934,344,217,1495
"Railroad Commissioner, Unexpired Term",0506,1471,801,2272,3380,67.22%,453,441,240,1134
"Railroad Commissioner, Unexpired Term",0507,582,385,967,2435,39.71%,180,163,65,408
"Railroad Commissioner, Unexpired Term",0508,946,760,1706,3248,52.52%,608,277,111,996
"Railroad Commissioner, Unexpired Term",0509,1341,864,2205,3536,62.36%,1563,196,101,1860
"Railroad Commissioner, Unexpired Term",0510,1495,582,2177,3511,62.01%,1047,329,214,1590
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0511,0,6,6,0,0.00%,1,1,1,3
"Railroad Commissioner, Unexpired Term",0512,1568,1127,2695,4582,58.82%,1278,466,162,1906
"Railroad Commissioner, Unexpired Term",0513,1606,507,2113,2752,76.78%,1617,165,90,1872
"Railroad Commissioner, Unexpired Term",0514,1969,860,2829,3941,71.78%,2079,239,131,2449
"Railroad Commissioner, Unexpired Term",0515,1692,708,2400,3173,75.64%,1938,145,74,2157
"Railroad Commissioner, Unexpired Term",0516,2181,1066,3247,4934,65.81%,1638,490,208,2336
"Railroad Commissioner, Unexpired Term",0517,1208,653,1861,3320,56.05%,988,303,104,1395
"Railroad Commissioner, Unexpired Term",0518,1479,919,2398,3755,63.86%,1522,268,130,1920
"Railroad Commissioner, Unexpired Term",0519,1235,645,1880,2951,63.71%,1361,159,115,1635
"Railroad Commissioner, Unexpired Term",0520,1546,857,2403,4064,59.13%,457,433,164,1054
"Railroad Commissioner, Unexpired Term",0521,1014,694,1708,2725,62.68%,917,252,93,1262
"Railroad Commissioner, Unexpired Term",0522,1173,658,1831,2682,68.27%,1378,142,96,1616
"Railroad Commissioner, Unexpired Term",0523,1340,689,2029,3060,66.31%,1356,187,140,1683
"Railroad Commissioner, Unexpired Term",0524,1242,675,1917,3292,58.23%,629,352,149,1130
"Railroad Commissioner, Unexpired Term",0525,1383,610,1993,2947,67.63%,449,339,209,997
"Railroad Commissioner, Unexpired Term",0526,167,171,338,731,46.24%,92,63,27,182
"Railroad Commissioner, Unexpired Term",0527,80,24,104,569,18.28%,51,8,3,62
"Railroad Commissioner, Unexpired Term",0528,36,12,48,92,52.17%,3,6,1,10
"Railroad Commissioner, Unexpired Term",0529,1989,441,2430,3616,67.20%,2021,106,75,2202
"Railroad Commissioner, Unexpired Term",0530,259,235,494,1196,41.30%,113,125,20,258
"Railroad Commissioner, Unexpired Term",0531,672,113,785,1094,71.76%,623,42,16,681
"Railroad Commissioner, Unexpired Term",0532,452,184,636,1039,61.21%,452,56,25,533
"Railroad Commissioner, Unexpired Term",0533,317,207,524,1069,49.02%,269,67,27,363
"Railroad Commissioner, Unexpired Term",0534,1660,675,2335,3795,61.53%,1706,190,83,1979
"Railroad Commissioner, Unexpired Term",0535,80,94,174,421,41.33%,61,33,6,100
"Railroad Commissioner, Unexpired Term",0536,1335,1195,2530,4576,55.29%,982,517,141,1640
"Railroad Commissioner, Unexpired Term",0537,1455,823,2278,2971,76.67%,1717,143,74,1934
"Railroad Commissioner, Unexpired Term",0538,433,237,670,1282,52.26%,34,98,43,175
"Railroad Commissioner, Unexpired Term",0539,26,209,235,71,330.99%,56,51,24,131
"Railroad Commissioner, Unexpired Term",0540,666,380,1046,1491,70.15%,497,129,155,781
"Railroad Commissioner, Unexpired Term",0541,1836,779,2615,4183,62.51%,464,629,323,1416
"Railroad Commissioner, Unexpired Term",0542,997,501,1498,2525,59.33%,123,340,121,584
"Railroad Commissioner, Unexpired Term",0543,287,378,665,1528,43.52%,227,173,37,437
"Railroad Commissioner, Unexpired Term",0544,93,53,146,318,45.91%,15,27,9,51
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0545,1314,857,2171,3339,65.02%,1069,356,99,1524
"Railroad Commissioner, Unexpired Term",0546,4,4,8,30,26.67%,3,3,0,6
"Railroad Commissioner, Unexpired Term",0547,877,647,1524,2408,63.29%,1055,152,70,1277
"Railroad Commissioner, Unexpired Term",0548,720,476,1196,2129,56.18%,560,206,86,852
"Railroad Commissioner, Unexpired Term",0549,944,586,1530,2530,60.47%,247,267,99,613
"Railroad Commissioner, Unexpired Term",0550,1134,629,1763,2847,61.92%,895,251,114,1260
"Railroad Commissioner, Unexpired Term",0551,3092,1527,4619,6135,75.29%,3390,397,204,3991
"Railroad Commissioner, Unexpired Term",0552,1521,844,2465,3241,76.06%,2034,117,84,2235
"Railroad Commissioner, Unexpired Term",0553,1465,951,2416,4355,55.48%,1087,463,155,1705
"Railroad Commissioner, Unexpired Term",0554,562,340,902,1731,52.11%,168,153,74,395
"Railroad Commissioner, Unexpired Term",0555,598,447,1045,2119,49.32%,210,201,93,504
"Railroad Commissioner, Unexpired Term",0556,585,421,1006,2249,44.73%,241,203,70,514
"Railroad Commissioner, Unexpired Term",0557,822,556,1378,2726,50.55%,473,241,77,791
"Railroad Commissioner, Unexpired Term",0558,1592,824,2416,4084,59.16%,835,449,250,1534
"Railroad Commissioner, Unexpired Term",0559,1794,899,2693,4633,58.13%,729,629,324,1682
"Railroad Commissioner, Unexpired Term",0560,172,289,461,1176,39.20%,93,112,16,221
"Railroad Commissioner, Unexpired Term",0561,837,759,1596,3033,52.62%,881,158,56,1095
"Railroad Commissioner, Unexpired Term",0562,201,146,347,645,53.80%,37,57,18,112
"Railroad Commissioner, Unexpired Term",0563,1700,415,2115,2969,71.24%,1638,140,92,1870
"Railroad Commissioner, Unexpired Term",0564,1159,713,1872,3096,60.47%,548,454,291,1293
"Railroad Commissioner, Unexpired Term",0565,31,e,194,510,1373,37.14%,106,85,41,232
"Railroad Commissioner, Unexpired Term",0566,1126,478,1604,2950,54.37%,466,357,216,1039
"Railroad Commissioner, Unexpired Term",0567,673,394,1067,2198,48.54%,305,160,88,553
"Railroad Commissioner, Unexpired Term",0568,1630,837,2467,3487,70.75%,1626,244,152,2022
"Railroad Commissioner, Unexpired Term",0569,1295,865,2160,3249,66.48%,1205,334,194,1733
"Railroad Commissioner, Unexpired Term",0570,527,409,936,1473,63.54%,450,167,115,732
"Railroad Commissioner, Unexpired Term",0571,334,312,646,1758,36.75%,211,119,28,358
