Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0087,888,574,1240,2742,45.22%,303,278,90,871
"Railroad Commissioner, Unexpired Term",0088,1199,488,1885,2782,80.57%,90,249,137,478
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0089,218,284,502,1303,38.53%,88,144,21,251
"Railroad Commissioner, Unexpired Term",0070,1840,728,2388,3142,75.30%,1528,278,199,2003
"Railroad Commissioner, Unexpired Term",0071,1430,948,2378,3882,84.94%,1270,430,231,1931
"Railroad Commissioner, Unexpired Term",0072,442,582,1004,1882,53.35%,290,255,77,822
"Railroad Commissioner, Unexpired Term",0073,500,498,998,1494,88.87%,590,110,124,824
"Railroad Commissioner, Unexpired Term",0074,2217,530,2747,3832,75.83%,2145,157,115,2417
"Railroad Commissioner, Unexpired Term",0075,487,370,857,1329,84.48%,371,139,132,842
"Railroad Commissioner, Unexpired Term",0078,814,589,1383,2328,59.41%,788,218,81,1087
"Railroad Commissioner, Unexpired Term",0077,189,81,250,585,44.25%,88,49,17,134
"Railroad Commissioner, Unexpired Term",0078,380,344,704,1479,47.80%,213,172,41,428
"Railroad Commissioner, Unexpired Term",0079,511,717,1228,2959,41.50%,278,308,58,840
"Railroad Commissioner, Unexpired Term",0080,1159,481,1840,2712,80.47%,409,257,118,782
"Railroad Commissioner, Unexpired Term",0081,540,309,849,1839,48.17%,287,180,40,487
"Railroad Commissioner, Unexpired Term",0082,1353,818,2189,3284,88.05%,1813,157,98,1888
"Railroad Commissioner, Unexpired Term",0083,2832,1181,3813,5598,88.11%,1885,489,258,2832
"Railroad Commissioner, Unexpired Term",0084,445,348,791,1389,58.95%,584,58,31,853
"Railroad Commissioner, Unexpired Term",0085,734,548,1282,2079,81.88%,78,237,173,488
"Railroad Commissioner, Unexpired Term",0088,1055,889,1744,2837,88.14%,882,288,181,1329
"Railroad Commissioner, Unexpired Term",0087,1224,881,2085,2749,75.85%,1429,158,170,1757
"Railroad Commissioner, Unexpired Term",0088,235,182,397,878,58.55%,259,28,22,307
"Railroad Commissioner, Unexpired Term",0089,344,454,798,1104,72.28%,495,78,92,885
"Railroad Commissioner, Unexpired Term",0090,1499,958,2457,3571,88.80%,1802,178,155,2133
"Railroad Commissioner, Unexpired Term",0091,488,333,799,1248,84.02%,488,95,72,855
"Railroad Commissioner, Unexpired Term",0092,1105,534,1839,2228,73.58%,1148,123,117,1388
"Railroad Commissioner, Unexpired Term",0093,782,843,1425,3295,43.25%,533,259,85,857
"Railroad Commissioner, Unexpired Term",0094,148,104,252,537,48.93%,83,83,15,141
"Railroad Commissioner, Unexpired Term",0095,1888,871,2357,3179,74.14%,1877,208,150,2033
"Railroad Commissioner, Unexpired Term",0098,385,237,802,1241,48.51%,82,181,87,310
"Railroad Commissioner, Unexpired Term",0097,2395,784,3159,4588,89.19%,2331,238,104,2871
"Railroad Commissioner, Unexpired Term",0098,875,807,1482,2403,81.87%,1200,89,48,1335
"Railroad Commissioner, Unexpired Term",0099,588,311,879,2040,43.09%,405,124,34,583
"Railroad Commissioner, Unexpired Term",0100,427,324,751,1754,42.82%,340,124,33,497
"Railroad Commissioner, Unexpired Term",0101,204,188,390,941,41.45%,102,87,25,194
"Railroad Commissioner, Unexpired Term",0102,493,288,781,1910,39.84%,199,122,34,355
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0103,1915,1065,2980,4751,62.72%,1588,375,135,2098
"Railroad Commissioner, Unexpired Term",0104,993,238,1231,1847,66.65%,54,150,65,269
"Railroad Commissioner, Unexpired Term",0105,462,453,915,2153,42.50%,258,214,58,530
"Railroad Commissioner, Unexpired Term",0106,49,37,86,284,30.28%,43,12,3,58
"Railroad Commissioner, Unexpired Term",0107,412,441,853,1905,44.78%,155,139,56,350
"Railroad Commissioner, Unexpired Term",0108,1194,514,1708,3229,52.90%,926,223,84,1233
"Railroad Commissioner, Unexpired Term",0109,1161,430,1591,2884,55.17%,75,233,107,415
"Railroad Commissioner, Unexpired Term",0110,1465,589,2054,2853,71.99%,1288,276,100,1664
"Railroad Commissioner, Unexpired Term",0111,1869,848,2717,3638,74.68%,2022,205,111,2338
"Railroad Commissioner, Unexpired Term",0112,1262,668,1930,2894,66.69%,1374,209,92,1675
"Railroad Commissioner, Unexpired Term",0113,1125,590,1715,2537,67.60%,1024,191,109,1324
"Railroad Commissioner, Unexpired Term",0114,1457,546,2003,2650,75.58%,1551,135,54,1740
"Railroad Commissioner, Unexpired Term",0115,598,305,903,1764,51.19%,116,148,58,322
"Railroad Commissioner, Unexpired Term",0116,1628,747,2375,3014,78.80%,1878,146,119,2143
"Railroad Commissioner, Unexpired Term",0117,398,462,860,1878,45.79%,370,164,67,601
"Railroad Commissioner, Unexpired Term",0118,460,148,608,743,81.83%,498,30,19,547
"Railroad Commissioner, Unexpired Term",0119,1924,1265,3189,4892,65.19%,2516,193,104,2813
"Railroad Commissioner, Unexpired Term",0120,1200,632,1832,2986,61.35%,1143,214,127,1484
"Railroad Commissioner, Unexpired Term",0121,193,244,437,679,64.36%,286,32,25,343
"Railroad Commissioner, Unexpired Term",0122,895,349,1244,2199,56.57%,76,194,88,358
"Railroad Commissioner, Unexpired Term",0123,441,350,791,1356,58.33%,252,153,164,569
"Railroad Commissioner, Unexpired Term",0124,3523,1281,4804,5952,80.71%,3821,301,154,4276
"Railroad Commissioner, Unexpired Term",0125,897,534,1431,2281,62.74%,847,182,98,1127
"Railroad Commissioner, Unexpired Term",0126,1630,407,2037,2799,72.78%,1738,86,37,1861
"Railroad Commissioner, Unexpired Term",0127,854,182,1036,1703,60.83%,735,70,27,832
"Railroad Commissioner, Unexpired Term",0128,936,736,1672,2257,74.08%,1105,126,162,1393
"Railroad Commissioner, Unexpired Term",0129,2296,1449,3745,5495,68.15%,2413,407,275,3095
"Railroad Commissioner, Unexpired Term",0130,1204,523,1727,2240,77.10%,1320,105,100,1525
"Railroad Commissioner, Unexpired Term",0131,607,374,981,1721,57.00%,252,215,101,568
"Railroad Commissioner, Unexpired Term",0132,1121,397,1518,2449,61.98%,75,215,130,420
"Railroad Commissioner, Unexpired Term",0133,1088,940,2028,2605,77.85%,1289,185,190,1664
"Railroad Commissioner, Unexpired Term",0134,420,392,812,1444,56.23%,364,158,71,593
"Railroad Commissioner, Unexpired Term",0135,1431,634,2065,2750,75.09%,1403,191,167,1761
