Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 17",0012,227,133,360,716,50.28%,179,36,215
"City of Baytown, Proposition No. 17",0013,1133,439,1572,2808,55.98%,893,175,1068
"City of Baytown, Proposition No. 17",0028,1436,459,1895,2768,68.46%,1050,176,1226
"City of Baytown, Proposition No. 17",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 17",0099,568,311,879,2040,43.09%,443,101,544
"City of Baytown, Proposition No. 17",0100,427,324,751,1754,42.82%,368,103,471
"City of Baytown, Proposition No. 17",0102,493,267,760,1910,39.79%,320,80,400
"City of Baytown, Proposition No. 17",0103,287,82,369,664,55.57%,176,45,221
"City of Baytown, Proposition No. 17",0248,408,405,813,2122,38.31%,327,101,428
"City of Baytown, Proposition No. 17",0249,1011,477,1488,2636,56.45%,844,169,1013
"City of Baytown, Proposition No. 17",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 17",0386,599,186,785,1249,62.85%,426,94,520
"City of Baytown, Proposition No. 17",0387,2,17,19,7,271.43%,8,1,9
"City of Baytown, Proposition No. 17",0414,1407,577,1984,3360,59.05%,1085,216,1301
"City of Baytown, Proposition No. 17",0456,1168,556,1724,3091,55.77%,892,169,1061
"City of Baytown, Proposition No. 17",0532,452,184,636,1039,61.21%,342,73,415
"City of Baytown, Proposition No. 17",0533,317,207,524,1069,49.02%,273,50,323
"City of Baytown, Proposition No. 17",0739,905,448,1353,2526,53.56%,673,140,813
"City of Baytown, Proposition No. 17",0740,43,39,82,148,55.41%,30,9,39
"City of Baytown, Proposition No. 17",Totals:,10884,5111,15995,29907,,8329,1738,10067
