Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 18",0012,227,133,360,716,50.28%,178,37,215
"City of Baytown, Proposition No. 18",0013,1133,439,1572,2808,55.98%,879,192,1071
"City of Baytown, Proposition No. 18",0028,1436,459,1895,2768,68.46%,1047,182,1229
"City of Baytown, Proposition No. 18",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 18",0099,568,311,879,2040,43.09%,448,96,544
"City of Baytown, Proposition No. 18",0100,427,324,751,1754,42.82%,359,114,473
"City of Baytown, Proposition No. 18",0102,493,267,760,1910,39.79%,320,81,401
"City of Baytown, Proposition No. 18",0103,287,82,369,664,55.57%,178,42,220
"City of Baytown, Proposition No. 18",0248,408,405,813,2122,38.31%,324,100,424
"City of Baytown, Proposition No. 18",0249,1011,477,1488,2636,56.45%,836,182,1018
"City of Baytown, Proposition No. 18",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 18",0386,599,186,785,1249,62.85%,414,103,517
"City of Baytown, Proposition No. 18",0387,2,17,19,7,271.43%,8,2,10
"City of Baytown, Proposition No. 18",0414,1407,577,1984,3360,59.05%,1050,255,1305
"City of Baytown, Proposition No. 18",0456,1168,556,1724,3091,55.77%,889,177,1066
"City of Baytown, Proposition No. 18",0532,452,184,636,1039,61.21%,339,77,416
"City of Baytown, Proposition No. 18",0533,317,207,524,1069,49.02%,269,59,328
"City of Baytown, Proposition No. 18",0739,905,448,1353,2526,53.56%,658,169,827
"City of Baytown, Proposition No. 18",0740,43,39,82,148,55.41%,27,11,38
"City of Baytown, Proposition No. 18",Totals:,10884,5111,15995,29907,8223,1879,10102
