Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0075,481,370,851,1329,84.03%,338,445,781
"District Judge, 165th Judicial District",0078,814,589,1383,2328,59.41%,721,589,1290
"District Judge, 165th Judicial District",0077,188,81,249,585,44.07%,52,180,232
"District Judge, 165th Judicial District",0078,359,344,703,1479,47.53%,182,451,833
"District Judge, 165th Judicial District",0079,511,717,1228,2959,41.50%,198,935,1133
"District Judge, 165th Judicial District",0080,1159,481,1840,2712,80.47%,322,1227,1549
"District Judge, 165th Judicial District",0081,540,309,849,1839,48.17%,280,525,785
"District Judge, 165th Judicial District",0082,1353,818,2189,3284,88.05%,1599,487,2088
"District Judge, 165th Judicial District",0083,2825,1181,3808,5598,87.99%,1793,1857,3850
"District Judge, 165th Judicial District",0084,444,348,790,1389,58.88%,583,193,758
"District Judge, 165th Judicial District",0085,730,548,1278,2079,81.47%,30,1188,1218
"District Judge, 165th Judicial District",0088,1054,889,1743,2837,88.10%,808,793,1801
"District Judge, 165th Judicial District",0087,1222,881,2083,2749,75.77%,1384,512,1898
"District Judge, 165th Judicial District",0088,235,182,397,878,58.55%,252,129,381
"District Judge, 165th Judicial District",0089,342,454,798,1104,72.10%,502,230,732
"District Judge, 165th Judicial District",0090,1498,958,2458,3571,88.78%,1793,517,2310
"District Judge, 165th Judicial District",0091,488,333,799,1248,84.02%,492,274,788
"District Judge, 165th Judicial District",0092,1105,534,1839,2228,73.58%,1124,398,1520
"District Judge, 165th Judicial District",0093,782,843,1425,3295,43.25%,488,838,1324
"District Judge, 165th Judicial District",0094,148,104,252,537,48.93%,50,188,238
"District Judge, 165th Judicial District",0095,1884,871,2355,3179,74.08%,1820,579,2199
"District Judge, 165th Judicial District",0098,384,237,801,1241,48.43%,59,520,579
"District Judge, 165th Judicial District",0097,2393,784,3157,4588,89.14%,2281,705,2988
"District Judge, 165th Judicial District",0098,874,807,1481,2403,81.83%,1208,207,1413
"District Judge, 165th Judicial District",0099,588,311,879,2040,43.09%,388,455,841
"District Judge, 165th Judicial District",0100,427,324,751,1754,42.82%,328,390,718
"District Judge, 165th Judicial District",0101,203,188,389,941,41.34%,87,290,377
"District Judge, 165th Judicial District",0102,493,288,781,1910,39.84%,180,551,731
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0103,1915,1065,2980,4751,62.72%,1538,1304,2842
"District Judge, 165th Judicial District",0104,992,238,1230,1847,66.59%,25,1167,1192
"District Judge, 165th Judicial District",0105,462,453,915,2153,42.50%,211,635,846
"District Judge, 165th Judicial District",0106,49,37,86,284,30.28%,41,40,81
"District Judge, 165th Judicial District",0107,412,441,853,1905,44.78%,131,688,819
"District Judge, 165th Judicial District",0108,1193,514,1707,3229,52.86%,883,735,1618
"District Judge, 165th Judicial District",0109,1160,430,1590,2884,55.13%,26,1515,1541
"District Judge, 165th Judicial District",0110,1465,589,2054,2853,71.99%,1216,719,1935
"District Judge, 165th Judicial District",0111,1868,848,2716,3638,74.66%,1985,568,2553
"District Judge, 165th Judicial District",0112,1262,668,1930,2894,66.69%,1345,485,1830
"District Judge, 165th Judicial District",0113,1125,590,1715,2537,67.60%,975,646,1621
"District Judge, 165th Judicial District",0114,1454,546,2000,2650,75.47%,1558,363,1921
"District Judge, 165th Judicial District",0115,598,305,903,1764,51.19%,97,775,872
"District Judge, 165th Judicial District",0116,1626,747,2373,3014,78.73%,1825,412,2237
"District Judge, 165th Judicial District",0117,398,462,860,1878,45.79%,349,462,811
"District Judge, 165th Judicial District",0118,460,148,608,743,81.83%,484,91,575
"District Judge, 165th Judicial District",0119,1924,1265,3189,4892,65.19%,2487,581,3068
"District Judge, 165th Judicial District",0120,1197,632,1829,2986,61.25%,1095,613,1708
"District Judge, 165th Judicial District",0121,193,244,437,679,64.36%,282,132,414
"District Judge, 165th Judicial District",0122,895,349,1244,2199,56.57%,42,1153,1195
"District Judge, 165th Judicial District",0123,440,350,790,1356,58.26%,237,490,727
"District Judge, 165th Judicial District",0124,3522,1281,4803,5952,80.70%,3766,801,4567
"District Judge, 165th Judicial District",0125,896,534,1430,2281,62.69%,821,543,1364
"District Judge, 165th Judicial District",0126,1630,407,2037,2799,72.78%,1740,199,1939
"District Judge, 165th Judicial District",0127,854,182,1036,1703,60.83%,715,276,991
"District Judge, 165th Judicial District",0128,936,736,1672,2257,74.08%,1074,427,1501
"District Judge, 165th Judicial District",0129,2294,1449,3743,5495,68.12%,2343,1168,3511
"District Judge, 165th Judicial District",0130,1201,523,1724,2240,76.96%,1286,330,1616
"District Judge, 165th Judicial District",0131,604,374,978,1721,56.83%,232,707,939
"District Judge, 165th Judicial District",0132,1119,397,1516,2449,61.90%,26,1435,1461
"District Judge, 165th Judicial District",0133,1083,940,2023,2605,77.66%,1264,583,1847
"District Judge, 165th Judicial District",0134,419,392,811,1444,56.16%,348,412,760
