Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0318,1708,611,2319,3531,65.68%,103,2129,2232
"District Judge, 165th Judicial District",0319,965,290,1255,2081,60.31%,68,1135,1203
"District Judge, 165th Judicial District",0320,464,300,764,1505,50.76%,322,389,711
"District Judge, 165th Judicial District",0321,442,305,748,2029,36.87%,239,468,707
"District Judge, 165th Judicial District",0322,397,237,634,1322,47.96%,165,445,610
"District Judge, 165th Judicial District",0323,482,332,814,1719,47.35%,339,410,749
"District Judge, 165th Judicial District",0324,967,718,1685,2339,72.04%,1091,455,1546
"District Judge, 165th Judicial District",0325,656,397,1053,2251,46.78%,223,778,1001
"District Judge, 165th Judicial District",0326,202,128,330,678,48.67%,130,168,298
"District Judge, 165th Judicial District",0327,725,244,970,1751,55.40%,12,922,934
"District Judge, 165th Judicial District",0328,344,270,614,1361,45.11%,216,372,588
"District Judge, 165th Judicial District",0329,405,307,712,1367,52.08%,213,450,663
"District Judge, 165th Judicial District",0330,590,376,966,1849,52.24%,429,467,896
"District Judge, 165th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 165th Judicial District",0332,23,4,27,128,21.09%,9,16,25
"District Judge, 165th Judicial District",0333,1018,939,1957,2901,67.46%,1388,452,1840
"District Judge, 165th Judicial District",0334,255,114,369,755,48.87%,74,280,354
"District Judge, 165th Judicial District",0335,285,246,531,1227,43.28%,153,322,475
"District Judge, 165th Judicial District",0336,1818,588,2406,3161,76.12%,202,2120,2322
"District Judge, 165th Judicial District",0337,309,207,516,951,54.26%,86,416,502
"District Judge, 165th Judicial District",0338,1540,824,2364,4673,50.59%,636,1575,2211
"District Judge, 165th Judicial District",0339,369,373,742,1716,43.24%,146,531,677
"District Judge, 165th Judicial District",0340,1778,833,2611,3717,70.24%,1918,524,2442
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0341,246,316,562,1248,45.03%,129,408,537
"District Judge, 165th Judicial District",0342,2029,1113,3142,5718,54.95%,426,2617,3043
"District Judge, 165th Judicial District",0343,436,483,919,1904,48.27%,212,623,835
"District Judge, 165th Judicial District",0344,395,245,640,1207,53.02%,22,591,613
"District Judge, 165th Judicial District",0345,428,357,785,1708,45.96%,165,579,744
"District Judge, 165th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 165th Judicial District",0347,1250,614,1864,3299,56.50%,1133,641,1774
"District Judge, 165th Judicial District",0348,751,280,1031,1740,59.25%,721,255,976
"District Judge, 165th Judicial District",0349,405,407,812,1315,61.75%,470,294,764
"District Judge, 165th Judicial District",0350,1112,780,1892,2906,65.11%,793,938,1731
"District Judge, 165th Judicial District",0351,2495,793,3288,4537,72.47%,2599,557,3156
"District Judge, 165th Judicial District",0352,1151,583,1734,3193,54.31%,1182,465,1647
"District Judge, 165th Judicial District",0353,1544,703,2247,3697,60.78%,365,1794,2159
"District Judge, 165th Judicial District",0354,1476,517,1993,3193,62.42%,445,1459,1904
"District Judge, 165th Judicial District",0355,700,286,986,1384,71.24%,87,866,953
"District Judge, 165th Judicial District",0356,1382,618,2000,2836,70.52%,1157,702,1859
"District Judge, 165th Judicial District",0357,1633,709,2342,3371,69.47%,1708,504,2212
"District Judge, 165th Judicial District",0358,740,464,1204,2297,52.42%,92,1067,1159
"District Judge, 165th Judicial District",0359,706,482,1188,3008,39.49%,94,1049,1143
"District Judge, 165th Judicial District",0360,969,515,1484,2190,67.76%,810,527,1337
"District Judge, 165th Judicial District",0361,135,691,826,1585,52.11%,155,539,694
"District Judge, 165th Judicial District",0362,2131,1200,3331,4952,67.27%,2393,758,3151
"District Judge, 165th Judicial District",0363,1346,687,2033,3291,61.77%,879,1080,1959
"District Judge, 165th Judicial District",0364,912,602,1514,2539,59.63%,759,671,1430
"District Judge, 165th Judicial District",0365,734,245,979,1302,75.19%,88,854,942
"District Judge, 165th Judicial District",0366,638,466,1104,2089,52.85%,229,835,1064
"District Judge, 165th Judicial District",0367,328,212,540,1019,52.99%,96,424,520
"District Judge, 165th Judicial District",0368,418,143,561,929,60.39%,141,403,544
"District Judge, 165th Judicial District",0369,107,53,160,490,32.65%,59,94,153
"District Judge, 165th Judicial District",0370,3143,1178,4321,5781,74.74%,3217,892,4109
"District Judge, 165th Judicial District",0371,226,69,295,475,62.11%,5,282,287
"District Judge, 165th Judicial District",0372,498,231,729,1215,60.00%,78,613,691
"District Judge, 165th Judicial District",0373,61,16,77,159,48.43%,1,75,76
"District Judge, 165th Judicial District",0374,139,187,326,748,43.58%,84,225,309
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0375,577,524,1101,2607,42.23%,435,602,1037
"District Judge, 165th Judicial District",0376,629,334,963,1916,50.26%,392,514,906
"District Judge, 165th Judicial District",0377,1055,707,1762,2871,61.37%,1299,344,1643
"District Judge, 165th Judicial District",0378,559,521,1080,1777,60.78%,671,362,1033
"District Judge, 165th Judicial District",0379,800,338,1138,2017,56.42%,78,1006,1084
"District Judge, 165th Judicial District",0380,2500,1183,3683,4753,77.49%,2053,1434,3487
"District Judge, 165th Judicial District",0381,957,424,1381,2715,50.87%,548,768,1316
"District Judge, 165th Judicial District",0382,276,231,507,841,60.29%,357,127,484
"District Judge, 165th Judicial District",0383,599,493,1092,2076,52.60%,334,705,1039
"District Judge, 165th Judicial District",0384,1172,505,1677,2596,64.60%,331,1272,1603
"District Judge, 165th Judicial District",0385,1099,621,1720,2175,79.08%,1315,272,1587
"District Judge, 165th Judicial District",0386,1464,460,1924,2872,66.99%,1374,464,1838
"District Judge, 165th Judicial District",0387,1369,802,2171,3727,58.25%,1472,578,2050
"District Judge, 165th Judicial District",0388,2780,1222,4002,5329,75.10%,2213,1605,3818
"District Judge, 165th Judicial District",0389,283,261,544,975,55.79%,84,415,499
"District Judge, 165th Judicial District",0390,644,368,1012,1565,64.66%,122,843,965
"District Judge, 165th Judicial District",0391,856,355,1211,1805,67.09%,776,364,1140
"District Judge, 165th Judicial District",0392,737,197,934,1441,64.82%,8,903,911
"District Judge, 165th Judicial District",0393,346,318,664,1206,55.06%,294,325,619
"District Judge, 165th Judicial District",0394,166,176,342,860,39.77%,129,191,320
"District Judge, 165th Judicial District",0395,830,491,1321,1820,72.58%,917,311,1228
"District Judge, 165th Judicial District",0396,1157,219,1376,2073,66.38%,15,1318,1333
"District Judge, 165th Judicial District",0397,163,148,311,750,41.47%,119,170,289
"District Judge, 165th Judicial District",0398,1438,840,2278,3816,59.70%,1092,1082,2174
"District Judge, 165th Judicial District",0399,896,593,1489,2542,58.58%,726,705,1431
"District Judge, 165th Judicial District",0400,1048,506,1554,2238,69.44%,1111,353,1464
"District Judge, 165th Judicial District",0401,723,284,1007,1876,53.68%,36,943,979
"District Judge, 165th Judicial District",0402,891,245,1136,1737,65.40%,50,1052,1102
"District Judge, 165th Judicial District",0403,791,527,1318,1703,77.39%,755,432,1187
"District Judge, 165th Judicial District",0404,778,552,1330,2589,51.37%,660,604,1264
"District Judge, 165th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 165th Judicial District",0406,281,72,353,610,57.87%,6,330,336
"District Judge, 165th Judicial District",0407,1317,1000,2317,3652,63.44%,1470,682,2152
"District Judge, 165th Judicial District",0408,154,179,333,933,35.69%,142,167,309
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0409,277,289,566,1371,41.28%,160,371,531
"District Judge, 165th Judicial District",0410,337,102,439,849,51.71%,77,345,422
"District Judge, 165th Judicial District",0411,542,462,1004,2302,43.61%,272,662,934
"District Judge, 165th Judicial District",0412,193,74,267,433,61.66%,13,247,260
"District Judge, 165th Judicial District",0413,1493,525,2018,3023,66.75%,739,1152,1891
"District Judge, 165th Judicial District",0414,1452,593,2045,3457,59.16%,1447,457,1904
"District Judge, 165th Judicial District",0415,950,633,1583,2124,74.53%,1086,389,1475
"District Judge, 165th Judicial District",0416,1174,916,2090,3582,58.35%,1063,891,1954
"District Judge, 165th Judicial District",0417,777,619,1396,2465,56.63%,602,715,1317
"District Judge, 165th Judicial District",0418,1057,758,1815,3420,53.07%,653,1063,1716
"District Judge, 165th Judicial District",0419,1006,578,1584,2697,58.73%,999,502,1501
"District Judge, 165th Judicial District",0420,2174,1089,3263,4639,70.34%,2604,473,3077
"District Judge, 165th Judicial District",0421,124,92,216,467,46.25%,49,159,208
"District Judge, 165th Judicial District",0422,1456,585,2041,3345,61.02%,44,1933,1977
"District Judge, 165th Judicial District",0423,190,309,499,894,55.82%,195,269,464
"District Judge, 165th Judicial District",0424,435,1,57,592,888,66.67%,344,229,573
"District Judge, 165th Judicial District",0425,227,234,461,875,52.69%,147,285,432
"District Judge, 165th Judicial District",0426,415,283,698,1224,57.03%,394,238,632
"District Judge, 165th Judicial District",0427,325,249,574,1115,51.48%,207,327,534
"District Judge, 165th Judicial District",0428,1284,907,2191,4316,50.76%,636,1410,2046
"District Judge, 165th Judicial District",0429,1091,777,1868,3929,47.54%,349,1375,1724
"District Judge, 165th Judicial District",0430,403,335,738,1654,44.62%,146,526,672
"District Judge, 165th Judicial District",0431,819,403,1222,3188,38.33%,315,832,1147
"District Judge, 165th Judicial District",0432,311,271,582,1344,43.30%,157,394,551
"District Judge, 165th Judicial District",0433,139,106,245,573,42.76%,43,189,232
"District Judge, 165th Judicial District",0434,628,371,999,1386,72.08%,644,293,937
"District Judge, 165th Judicial District",0435,1534,768,2302,3097,74.33%,1513,624,2137
"District Judge, 165th Judicial District",0436,1334,709,2043,3012,67.83%,1222,664,1886
"District Judge, 165th Judicial District",0437,951,542,1493,2007,74.39%,1055,338,1393
"District Judge, 165th Judicial District",0438,1046,387,1433,1802,79.52%,1059,251,1310
"District Judge, 165th Judicial District",0439,1526,905,2431,3416,71.17%,1736,519,2255
"District Judge, 165th Judicial District",0440,1326,876,2202,2867,76.81%,1711,313,2024
"District Judge, 165th Judicial District",0441,698,513,1211,1616,74.94%,902,231,1133
"District Judge, 165th Judicial District",0442,1366,513,1879,2504,75.04%,1535,246,1781
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0443,335,148,483,605,79.83%,343,105,448
"District Judge, 165th Judicial District",0444,1258,731,1989,3172,62.70%,1192,659,1851
"District Judge, 165th Judicial District",0445,860,443,1303,1938,67.23%,803,416,1219
"District Judge, 165th Judicial District",0446,70,52,122,268,45.52%,44,72,116
"District Judge, 165th Judicial District",0447,271,108,379,583,65.01%,126,222,348
"District Judge, 165th Judicial District",0448,1239,869,2108,3081,68.42%,1241,683,1924
"District Judge, 165th Judicial District",0449,62,37,99,164,60.37%,12,79,91
"District Judge, 165th Judicial District",0450,856,537,1393,2622,53.13%,353,976,1329
"District Judge, 165th Judicial District",0451,1575,515,2090,2674,78.16%,1696,283,1979
"District Judge, 165th Judicial District",0452,1109,639,1748,2810,62.21%,1283,390,1673
"District Judge, 165th Judicial District",0453,559,475,1034,1885,54.85%,332,643,975
"District Judge, 165th Judicial District",0454,1226,311,1537,2571,59.78%,13,1479,1492
"District Judge, 165th Judicial District",0455,748,216,964,1679,57.42%,25,906,931
"District Judge, 165th Judicial District",0456,1266,593,1859,3350,55.49%,960,797,1757
"District Judge, 165th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0458,908,271,1179,1893,62.28%,51,1088,1139
"District Judge, 165th Judicial District",0459,1637,476,2113,2950,71.63%,1655,337,1992
"District Judge, 165th Judicial District",0460,1250,402,1652,2346,70.42%,408,1172,1580
"District Judge, 165th Judicial District",0461,1958,828,2786,3733,74.63%,1822,741,2563
"District Judge, 165th Judicial District",0462,1318,865,2183,3367,64.84%,780,1250,2030
"District Judge, 165th Judicial District",0463,1124,656,1780,2962,60.09%,706,987,1693
"District Judge, 165th Judicial District",0464,786,612,1398,2126,65.76%,944,376,1320
"District Judge, 165th Judicial District",0465,1465,702,2167,3343,64.82%,1132,959,2091
"District Judge, 165th Judicial District",0466,2052,729,2781,4072,68.30%,1542,1121,2663
"District Judge, 165th Judicial District",0467,478,229,707,1230,57.48%,159,509,668
"District Judge, 165th Judicial District",0468,984,793,1777,3354,52.98%,493,1181,1674
"District Judge, 165th Judicial District",0469,2039,638,2677,3779,70.84%,2060,463,2523
"District Judge, 165th Judicial District",0470,443,323,766,1349,56.78%,525,195,720
"District Judge, 165th Judicial District",0471,792,597,1389,2349,59.13%,1045,279,1324
"District Judge, 165th Judicial District",0472,370,337,707,1027,68.84%,349,289,638
"District Judge, 165th Judicial District",0473,914,442,1356,1827,74.22%,933,324,1257
"District Judge, 165th Judicial District",0474,1146,766,1912,3006,63.61%,1309,493,1802
"District Judge, 165th Judicial District",0475,485,473,958,1651,58.03%,397,498,895
"District Judge, 165th Judicial District",0476,809,658,1467,2412,60.82%,812,587,1399
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0477,1441,742,2183,3195,68.33%,1613,467,2080
"District Judge, 165th Judicial District",0478,1959,898,2857,4150,68.84%,1865,835,2700
"District Judge, 165th Judicial District",0479,1298,588,1886,2648,71.22%,1384,417,1801
"District Judge, 165th Judicial District",0480,936,555,1491,2267,65.77%,1036,360,1396
"District Judge, 165th Judicial District",0481,1463,852,2315,3298,70.19%,1703,490,2193
"District Judge, 165th Judicial District",0482,1963,836,2799,4129,67.79%,1905,770,2675
"District Judge, 165th Judicial District",0483,1868,759,2627,4141,63.44%,1385,1099,2484
"District Judge, 165th Judicial District",0484,2236,1008,3244,4594,70.61%,2289,800,3089
"District Judge, 165th Judicial District",0485,2421,990,3411,4838,70.50%,2489,776,3265
"District Judge, 165th Judicial District",0486,1843,805,2648,3572,74.13%,2040,480,2520
"District Judge, 165th Judicial District",0487,1005,612,1617,3318,48.73%,452,1028,1480
"District Judge, 165th Judicial District",0488,580,440,1020,1713,59.54%,335,604,939
"District Judge, 165th Judicial District",0489,783,378,1161,1823,63.69%,323,768,1091
"District Judge, 165th Judicial District",0490,876,439,1315,1944,67.64%,481,751,1232
"District Judge, 165th Judicial District",0491,667,489,1156,1782,64.87%,669,402,1071
"District Judge, 165th Judicial District",0492,1069,504,1573,2351,66.91%,825,630,1455
"District Judge, 165th Judicial District",0493,858,400,1258,1804,69.73%,796,364,1160
"District Judge, 165th Judicial District",0494,760,431,1191,2176,54.73%,131,1019,1150
"District Judge, 165th Judicial District",0495,1120,494,1614,2284,70.67%,1120,389,1509
"District Judge, 165th Judicial District",0496,496,571,1067,2086,51.15%,382,621,1003
"District Judge, 165th Judicial District",0497,1123,303,1426,2226,64.06%,55,1320,1375
"District Judge, 165th Judicial District",0498,759,499,1258,2123,59.26%,522,672,1194
"District Judge, 165th Judicial District",0499,1301,517,1818,2304,78.91%,1333,365,1698
"District Judge, 165th Judicial District",0500,1507,746,2253,3175,70.96%,1531,603,2134
"District Judge, 165th Judicial District",0501,653,487,1140,1647,69.22%,444,600,1044
"District Judge, 165th Judicial District",0502,1150,332,1482,2364,62.69%,1110,280,1390
"District Judge, 165th Judicial District",0503,359,273,632,1363,46.37%,182,396,578
"District Judge, 165th Judicial District",0504,1129,538,1667,2197,75.88%,1118,444,1562
"District Judge, 165th Judicial District",0505,1209,829,2038,3654,55.77%,882,1003,1885
"District Judge, 165th Judicial District",0506,1470,801,2271,3380,67.19%,370,1811,2181
"District Judge, 165th Judicial District",0507,582,385,967,2435,39.71%,146,689,835
"District Judge, 165th Judicial District",0508,946,760,1706,3248,52.52%,547,1017,1564
"District Judge, 165th Judicial District",0509,1340,864,2204,3536,62.33%,1525,569,2094
"District Judge, 165th Judicial District",0510,1492,682,2174,3511,61.92%,971,1069,2040
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 165th Judicial District",0512,1558,1127,2885,4582,58.80%,1184,1375,2559
"District Judge, 165th Judicial District",0513,1805,507,2112,2752,78.74%,1584,412,1998
"District Judge, 165th Judicial District",0514,1988,880,2828,3941,71.71%,2080,839,2899
"District Judge, 165th Judicial District",0515,1892,708,2400,3173,75.84%,1910,385,2275
"District Judge, 165th Judicial District",0518,2179,1088,3245,4934,85.77%,1574,1477,3051
"District Judge, 165th Judicial District",0517,1208,853,1881,3320,58.05%,985,797,1782
"District Judge, 165th Judicial District",0518,1478,919,2397,3755,83.83%,1487,793,2280
"District Judge, 165th Judicial District",0519,1234,845,1879,2951,83.87%,1342,444,1788
"District Judge, 165th Judicial District",0520,1542,857,2399,4084,59.03%,375,1932,2307
"District Judge, 165th Judicial District",0521,1011,894,1705,2725,82.57%,848,788,1818
"District Judge, 165th Judicial District",0522,1171,858,1829,2882,88.20%,1350,378,1728
"District Judge, 165th Judicial District",0523,1338,889,2027,3080,88.24%,1328,555,1881
"District Judge, 165th Judicial District",0524,1237,875,1912,3292,58.08%,583,1281,1824
"District Judge, 165th Judicial District",0525,1380,810,1990,2947,87.53%,389,1498,1887
"District Judge, 165th Judicial District",0528,187,171,338,731,48.24%,85,237,322
"District Judge, 165th Judicial District",0527,80,24,104,589,18.28%,48,51,97
"District Judge, 165th Judicial District",0528,38,12,48,92,52.17%,2,45,47
"District Judge, 165th Judicial District",0529,1987,441,2428,3818,87.15%,2010,302,2312
"District Judge, 165th Judicial District",0530,259,235,494,1198,41.30%,94,388,482
"District Judge, 165th Judicial District",0531,872,113,785,1094,71.78%,598,134,732
"District Judge, 165th Judicial District",0532,452,184,838,1039,81.21%,424,188,810
"District Judge, 165th Judicial District",0533,317,207,524,1089,49.02%,281,233,494
"District Judge, 165th Judicial District",0534,1858,875,2333,3795,81.48%,1880,552,2212
"District Judge, 165th Judicial District",0535,80,94,174,421,41.33%,59,103,182
"District Judge, 165th Judicial District",0538,1332,1195,2527,4578,55.22%,894,1508,2402
"District Judge, 165th Judicial District",0537,1454,823,2277,2971,78.84%,1857,497,2154
"District Judge, 165th Judicial District",0538,433,237,870,1282,52.28%,20,827,847
"District Judge, 165th Judicial District",0539,28,209,235,71,330.99%,53,183,218
"District Judge, 165th Judicial District",0540,888,380,1048,1491,70.15%,472,471,943
"District Judge, 165th Judicial District",0541,1824,779,2803,4183,82.23%,355,2123,2478
"District Judge, 165th Judicial District",0542,997,501,1498,2525,59.33%,78,1375,1453
"District Judge, 165th Judicial District",0543,287,378,885,1528,43.52%,191,433,824
"District Judge, 165th Judicial District",0544,92,53,145,318,45.80%,18,128,142
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0545,1314,857,2171,3339,65.02%,1013,1046,2059
"District Judge, 165th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 165th Judicial District",0547,877,647,1524,2408,63.29%,1039,405,1444
"District Judge, 165th Judicial District",0548,720,476,1196,2129,56.18%,523,618,1141
"District Judge, 165th Judicial District",0549,944,586,1530,2530,60.47%,202,1262,1464
"District Judge, 165th Judicial District",0550,1134,629,1763,2847,61.92%,860,834,1694
"District Judge, 165th Judicial District",0551,3088,1527,4615,6135,75.22%,3301,1073,4374
"District Judge, 165th Judicial District",0552,1621,844,2465,3241,76.06%,2012,336,2348
"District Judge, 165th Judicial District",0553,1465,951,2416,4355,55.48%,1012,1296,2308
"District Judge, 165th Judicial District",0554,562,340,902,1731,52.11%,142,700,842
"District Judge, 165th Judicial District",0555,597,447,1044,2119,49.27%,171,822,993
"District Judge, 165th Judicial District",0556,584,421,1005,2249,44.69%,211,742,953
"District Judge, 165th Judicial District",0557,822,556,1378,2726,50.55%,432,836,1268
"District Judge, 165th Judicial District",0558,1588,824,2412,4084,59.06%,755,1533,2288
"District Judge, 165th Judicial District",0559,1787,899,2686,4633,57.98%,633,1902,2535
"District Judge, 165th Judicial District",0560,172,289,461,1176,39.20%,82,343,425
"District Judge, 165th Judicial District",0561,837,759,1596,3033,52.62%,870,645,1515
"District Judge, 165th Judicial District",0562,201,146,347,645,53.80%,25,308,333
"District Judge, 165th Judicial District",0563,1699,415,2114,2969,71.20%,1621,367,1988
"District Judge, 165th Judicial District",0564,1150,713,1863,3096,60.17%,492,1227,1719
"District Judge, 165th Judicial District",0565,315,194,509,1373,37.07%,88,386,474
"District Judge, 165th Judicial District",0566,1122,478,1600,2950,54.24%,426,1104,1530
"District Judge, 165th Judicial District",0567,672,394,1066,2198,48.50%,286,685,971
"District Judge, 165th Judicial District",0568,1628,837,2465,3487,70.69%,1586,687,2273
"District Judge, 165th Judicial District",0569,1294,865,2159,3249,66.45%,1151,841,1992
"District Judge, 165th Judicial District",0570,525,409,934,1473,63.41%,412,435,847
"District Judge, 165th Judicial District",0571,333,312,645,1758,36.69%,185,409,594
"District Judge, 165th Judicial District",0572,1283,574,1857,2998,61.94%,860,893,1753
"District Judge, 165th Judicial District",0573,577,368,945,1618,58.41%,11,909,920
"District Judge, 165th Judicial District",0574,98,79,177,391,45.27%,17,146,163
"District Judge, 165th Judicial District",0575,27,9,36,79,45.57%,33,3,36
"District Judge, 165th Judicial District",0576,1050,552,1602,2671,59.98%,51,1498,1549
"District Judge, 165th Judicial District",0577,231,113,344,573,60.03%,192,134,326
"District Judge, 165th Judicial District",0578,745,553,1298,1689,76.85%,800,381,1181
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0579,487,351,838,1806,46.40%,187,604,791
"District Judge, 165th Judicial District",0580,429,146,575,1027,55.99%,13,545,558
"District Judge, 165th Judicial District",0581,510,162,672,1041,64.55%,18,629,647
"District Judge, 165th Judicial District",0582,614,256,870,1613,53.94%,46,794,840
"District Judge, 165th Judicial District",0583,544,127,671,1248,53.77%,9,646,655
"District Judge, 165th Judicial District",0584,392,139,531,971,54.69%,31,496,527
"District Judge, 165th Judicial District",0585,934,304,1238,2403,51.52%,30,1171,1201
"District Judge, 165th Judicial District",0585,1306,1189,2495,4230,58.98%,1495,893,2388
"District Judge, 165th Judicial District",0587,933,465,1398,2174,64.31%,491,854,1345
"District Judge, 165th Judicial District",0588,1536,871,2407,3468,69.41%,1681,617,2298
"District Judge, 165th Judicial District",0589,1033,738,1771,3130,56.58%,919,775,1694
"District Judge, 165th Judicial District",0590,1158,463,1621,2136,75.89%,1241,294,1535
"District Judge, 165th Judicial District",0591,420,449,869,2114,41.11%,212,606,818
"District Judge, 165th Judicial District",0592,370,288,658,1258,52.31%,152,474,626
"District Judge, 165th Judicial District",0593,1148,999,2147,4059,52.89%,934,1097,2031
"District Judge, 165th Judicial District",0594,1031,535,1566,2361,66.33%,438,1069,1507
"District Judge, 165th Judicial District",0595,497,380,877,1647,53.25%,138,706,844
"District Judge, 165th Judicial District",0596,945,690,1635,2848,57.41%,837,729,1566
"District Judge, 165th Judicial District",0597,1067,719,1786,3267,54.67%,602,1113,1715
"District Judge, 165th Judicial District",0598,335,103,438,724,60.50%,332,78,410
"District Judge, 165th Judicial District",0599,1895,866,2761,4135,66.77%,920,1728,2648
"District Judge, 165th Judicial District",0600,1383,869,2252,3820,58.95%,763,1377,2140
"District Judge, 165th Judicial District",0601,2028,858,2886,3990,72.33%,2160,604,2764
"District Judge, 165th Judicial District",0602,562,296,858,1237,69.36%,596,230,826
"District Judge, 165th Judicial District",0603,1437,1163,2600,3917,66.38%,1548,952,2500
"District Judge, 165th Judicial District",0604,1444,528,1972,2910,67.77%,1618,262,1880
"District Judge, 165th Judicial District",0605,2227,889,3116,5251,59.34%,717,2263,2980
"District Judge, 165th Judicial District",0606,420,122,542,1053,51.47%,6,518,524
"District Judge, 165th Judicial District",0607,194,118,312,731,42.68%,20,276,296
"District Judge, 165th Judicial District",0608,245,290,535,1256,42.60%,199,295,494
"District Judge, 165th Judicial District",0609,1364,844,2208,3261,67.71%,1348,724,2072
"District Judge, 165th Judicial District",0610,403,398,801,1825,43.89%,335,413,748
"District Judge, 165th Judicial District",0611,1120,301,1421,2450,58.00%,37,1347,1384
"District Judge, 165th Judicial District",0612,1700,579,2279,3272,69.65%,1705,431,2136
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0613,495,309,804,1450,55.45%,125,647,772
"District Judge, 165th Judicial District",0614,1631,812,2443,3932,62.13%,800,1528,2328
"District Judge, 165th Judicial District",0615,931,404,1335,1926,69.31%,772,492,1264
"District Judge, 165th Judicial District",0616,1352,970,2322,3378,68.74%,1576,620,2196
"District Judge, 165th Judicial District",0617,1318,849,2167,3546,61.11%,757,1315,2072
"District Judge, 165th Judicial District",0618,1920,1021,2941,5344,55.03%,1247,1571,2818
"District Judge, 165th Judicial District",0619,2133,857,2990,4266,70.09%,2195,653,2848
"District Judge, 165th Judicial District",0620,2382,856,3238,5271,61.43%,1556,1481,3037
"District Judge, 165th Judicial District",0621,397,203,600,1173,51.15%,293,279,572
"District Judge, 165th Judicial District",0622,1722,829,2551,4305,59.26%,1472,953,2425
"District Judge, 165th Judicial District",0623,1708,626,2334,3481,67.05%,1465,721,2186
"District Judge, 165th Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 165th Judicial District",0625,862,454,1316,1796,73.27%,745,465,1210
"District Judge, 165th Judicial District",0626,1148,655,1803,2838,63.53%,898,799,1697
"District Judge, 165th Judicial District",0627,795,647,1442,2964,48.65%,414,938,1352
"District Judge, 165th Judicial District",0628,292,456,748,1600,46.75%,304,402,706
"District Judge, 165th Judicial District",0629,175,127,302,629,48.01%,20,275,295
"District Judge, 165th Judicial District",0630,2018,535,2553,3190,80.03%,219,2235,2454
"District Judge, 165th Judicial District",0631,1489,392,1881,2733,68.83%,1330,450,1780
"District Judge, 165th Judicial District",0632,12,9,21,231,9.09%,5,13,18
"District Judge, 165th Judicial District",0633,1782,678,2460,3257,75.53%,1772,565,2337
"District Judge, 165th Judicial District",0634,1020,734,1754,2922,60.03%,1067,598,1665
"District Judge, 165th Judicial District",0635,1326,706,2032,3280,61.95%,1536,402,1938
"District Judge, 165th Judicial District",0636,1791,974,2765,3881,71.24%,2339,312,2651
"District Judge, 165th Judicial District",0637,739,509,1248,2471,50.51%,271,885,1156
"District Judge, 165th Judicial District",0638,740,684,1424,2078,68.53%,96,1267,1363
"District Judge, 165th Judicial District",0639,828,711,1539,2501,61.54%,1200,273,1473
"District Judge, 165th Judicial District",0640,1382,723,2105,3548,59.33%,1197,807,2004
"District Judge, 165th Judicial District",0641,1265,878,2143,3375,63.50%,1310,731,2041
"District Judge, 165th Judicial District",0642,871,447,1318,1779,74.09%,1082,173,1255
"District Judge, 165th Judicial District",0643,2157,994,3151,5310,59.34%,1188,1808,2996
"District Judge, 165th Judicial District",0644,2123,1204,3327,5261,63.24%,2062,1087,3149
"District Judge, 165th Judicial District",0645,1639,895,2534,4035,62.80%,1164,1224,2388
