Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,Totals
"Justice of the Peace, Precinct No. 5, Place 1",0425,227,234,461,875,52.69%,195,195
"Justice of the Peace, Precinct No. 5, Place 1",0426,415,283,698,1224,57.03%,444,444
"Justice of the Peace, Precinct No. 5, Place 1",0427,325,249,574,1115,51.48%,258,258
"Justice of the Peace, Precinct No. 5, Place 1",0428,1284,907,2191,4316,50.76%,866,866
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,Totals
"Justice of the Peace, Precinct No. 5, Place 1",0429,1091,777,1868,3929,47.54%,558,558
"Justice of the Peace, Precinct No. 5, Place 1",0430,403,335,738,1654,44.62%,240,240
"Justice of the Peace, Precinct No. 5, Place 1",0431,819,403,1222,3188,38.33%,478,478
"Justice of the Peace, Precinct No. 5, Place 1",0432,311,271,582,1344,43.30%,244,244
"Justice of the Peace, Precinct No. 5, Place 1",0433,139,106,245,573,42.76%,72,72
"Justice of the Peace, Precinct No. 5, Place 1",0435,1534,768,2302,3097,74.33%,1648,1648
"Justice of the Peace, Precinct No. 5, Place 1",0436,1334,709,2043,3012,67.83%,1355,1355
"Justice of the Peace, Precinct No. 5, Place 1",0437,951,542,1493,2007,74.39%,1136,1136
"Justice of the Peace, Precinct No. 5, Place 1",0438,1046,387,1433,1802,79.52%,1132,1132
"Justice of the Peace, Precinct No. 5, Place 1",0439,1526,905,2431,3416,71.17%,1851,1851
"Justice of the Peace, Precinct No. 5, Place 1",0440,1326,876,2202,2867,76.81%,1772,1772
"Justice of the Peace, Precinct No. 5, Place 1",0441,698,513,1211,1616,74.94%,946,946
"Justice of the Peace, Precinct No. 5, Place 1",0443,335,148,483,605,79.83%,366,366
"Justice of the Peace, Precinct No. 5, Place 1",0444,1258,731,1989,3172,62.70%,1336,1336
"Justice of the Peace, Precinct No. 5, Place 1",0445,860,443,1303,1938,67.23%,887,887
"Justice of the Peace, Precinct No. 5, Place 1",0453,559,475,1034,1885,54.85%,454,454
"Justice of the Peace, Precinct No. 5, Place 1",0461,1958,828,2786,3733,74.63%,1973,1973
"Justice of the Peace, Precinct No. 5, Place 1",0463,1124,656,1780,2962,60.09%,953,953
"Justice of the Peace, Precinct No. 5, Place 1",0483,1868,759,2627,4141,63.44%,1627,1627
"Justice of the Peace, Precinct No. 5, Place 1",0487,1005,612,1617,3318,48.73%,638,638
"Justice of the Peace, Precinct No. 5, Place 1",0488,580,440,1020,1713,59.54%,458,458
