Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM Mack Mclnnis,Totals
"District Judge, 351st Judicial District",0342,2029,1113,3142,5718,54.95%,445,2595,3040
"District Judge, 351st Judicial District",0343,436,483,919,1904,48.27%,222,605,827
"District Judge, 351st Judicial District",0344,395,245,640,1207,53.02%,24,587,611
"District Judge, 351st Judicial District",0345,428,357,785,1708,45.96%,165,576,741
"District Judge, 351st Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 351st Judicial District",0347,1250,614,1864,3299,56.50%,1150,625,1775
"District Judge, 351st Judicial District",0348,751,280,1031,1740,59.25%,719,257,976
"District Judge, 351st Judicial District",0349,405,407,812,1315,61.75%,464,295,759
"District Judge, 351st Judicial District",0350,1112,780,1892,2906,65.11%,801,922,1723
"District Judge, 351st Judicial District",0351,2495,793,3288,4537,72.47%,2608,546,3154
"District Judge, 351st Judicial District",0352,1151,583,1734,3193,54.31%,1170,475,1645
"District Judge, 351st Judicial District",0353,1544,703,2247,3697,60.78%,372,1778,2150
"District Judge, 351st Judicial District",0354,1476,517,1993,3193,62.42%,451,1451,1902
"District Judge, 351st Judicial District",0355,700,286,986,1384,71.24%,96,855,951
"District Judge, 351st Judicial District",0356,1382,618,2000,2836,70.52%,1165,696,1861
"District Judge, 351st Judicial District",0357,1633,709,2342,3371,69.47%,1705,499,2204
"District Judge, 351st Judicial District",0358,740,464,1204,2297,52.42%,91,1071,1162
"District Judge, 351st Judicial District",0359,706,482,1188,3008,39.49%,96,1053,1149
"District Judge, 351st Judicial District",0360,969,515,1484,2190,67.76%,813,513,1326
"District Judge, 351st Judicial District",0361,135,691,826,1585,52.11%,148,543,691
"District Judge, 351st Judicial District",0362,2131,1200,3331,4952,67.27%,2386,750,3136
"District Judge, 351st Judicial District",0363,1346,687,2033,3291,61.77%,895,1060,1955
"District Judge, 351st Judicial District",0364,912,602,1514,2539,59.63%,759,669,1428
"District Judge, 351st Judicial District",0365,734,245,979,1302,75.19%,88,856,944
"District Judge, 351st Judicial District",0366,638,466,1104,2089,52.85%,236,825,1061
"District Judge, 351st Judicial District",0367,328,212,540,1019,52.99%,101,418,519
"District Judge, 351st Judicial District",0368,418,143,561,929,60.39%,148,394,542
"District Judge, 351st Judicial District",0369,107,53,160,490,32.65%,59,95,154
"District Judge, 351st Judicial District",0370,3143,1178,4321,5781,74.74%,3219,891,4110
"District Judge, 351st Judicial District",0371,226,69,295,475,62.11%,6,280,286
"District Judge, 351st Judicial District",0372,498,231,729,1215,60.00%,87,606,693
"District Judge, 351st Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 351st Judicial District",0374,139,187,326,748,43.58%,99,208,307
"District Judge, 351st Judicial District",0375,577,524,1101,2607,42.23%,450,585,1035
"District Judge, 351st Judicial District",0376,629,334,963,1916,50.26%,396,506,902
"District Judge, 351st Judicial District",0377,1055,707,1762,2871,61.37%,1288,349,1637
"District Judge, 351st Judicial District",0378,559,521,1080,1777,60.78%,669,360,1029
"District Judge, 351st Judicial District",0379,800,338,1138,2017,56.42%,88,998,1086
"District Judge, 351st Judicial District",0380,2500,1183,3683,4753,77.49%,2071,1411,3482
"District Judge, 351st Judicial District",0381,957,424,1381,2715,50.87%,556,754,1310
"District Judge, 351st Judicial District",0382,276,231,507,841,60.29%,348,135,483
"District Judge, 351st Judicial District",0383,599,493,1092,2076,52.60%,338,696,1034
"District Judge, 351st Judicial District",0384,1172,505,1677,2596,64.60%,332,1267,1599
"District Judge, 351st Judicial District",0385,1099,621,1720,2175,79.08%,1313,270,1583
"District Judge, 351st Judicial District",0386,1464,460,1924,2872,66.99%,1356,472,1828
"District Judge, 351st Judicial District",0387,1369,802,2171,3727,58.25%,1461,585,2046
"District Judge, 351st Judicial District",0388,2780,1222,4002,5329,75.10%,2221,1591,3812
"District Judge, 351st Judicial District",0389,283,261,544,975,55.79%,78,418,496
"District Judge, 351st Judicial District",0390,644,368,1012,1565,64.66%,120,840,960
"District Judge, 351st Judicial District",0391,856,355,1211,1805,67.09%,779,360,1139
"District Judge, 351st Judicial District",0392,737,197,934,1441,64.82%,8,901,909
"District Judge, 351st Judicial District",0393,346,318,664,1206,55.06%,290,326,616
"District Judge, 351st Judicial District",0394,166,176,342,860,39.77%,134,185,319
"District Judge, 351st Judicial District",0395,830,491,1321,1820,72.58%,911,313,1224
"District Judge, 351st Judicial District",0396,1157,219,1376,2073,66.38%,18,1315,1333
"District Judge, 351st Judicial District",0397,163,148,311,750,41.47%,122,163,285
"District Judge, 351st Judicial District",0398,1438,840,2278,3816,59.70%,1111,1062,2173
"District Judge, 351st Judicial District",0399,896,593,1489,2542,58.58%,723,701,1424
"District Judge, 351st Judicial District",0400,1048,506,1554,2238,69.44%,1097,362,1459
"District Judge, 351st Judicial District",0401,723,284,1007,1876,53.68%,40,940,980
"District Judge, 351st Judicial District",0402,891,245,1136,1737,65.40%,51,1050,1101
"District Judge, 351st Judicial District",0403,791,527,1318,1703,77.39%,753,425,1178
"District Judge, 351st Judicial District",0404,778,552,1330,2589,51.37%,670,593,1263
"District Judge, 351st Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 351st Judicial District",0406,281,72,353,610,57.87%,6,332,338
"District Judge, 351st Judicial District",0407,1317,1000,2317,3652,63.44%,1463,680,2143
"District Judge, 351st Judicial District",0408,154,179,333,933,35.69%,142,171,313
"District Judge, 351st Judicial District",0409,277,289,566,1371,41.28%,170,357,527
"District Judge, 351st Judicial District",0410,337,102,439,849,51.71%,83,338,421
"District Judge, 351st Judicial District",0411,542,462,1004,2302,43.61%,290,641,931
"District Judge, 351st Judicial District",0412,193,74,267,433,61.66%,12,247,259
"District Judge, 351st Judicial District",0413,1493,525,2018,3023,66.75%,758,1128,1886
"District Judge, 351st Judicial District",0414,1452,593,2045,3457,59.16%,1440,452,1892
"District Judge, 351st Judicial District",0415,950,633,1583,2124,74.53%,1084,390,1474
"District Judge, 351st Judicial District",0416,1174,916,2090,3582,58.35%,1063,890,1953
"District Judge, 351st Judicial District",0417,777,619,1396,2465,56.63%,612,700,1312
"District Judge, 351st Judicial District",0418,1057,758,1815,3420,53.07%,656,1056,1712
"District Judge, 351st Judicial District",0419,1006,578,1584,2697,58.73%,1014,484,1498
"District Judge, 351st Judicial District",0420,2174,1089,3263,4639,70.34%,2611,466,3077
"District Judge, 351st Judicial District",0421,124,92,216,467,46.25%,48,160,208
"District Judge, 351st Judicial District",0422,1456,585,2041,3345,61.02%,47,1928,1975
"District Judge, 351st Judicial District",0423,190,309,499,894,55.82%,193,270,463
"District Judge, 351st Judicial District",0424,435,1,57,592,888,66.67%,343,224,567
"District Judge, 351st Judicial District",0425,227,234,461,875,52.69%,143,288,431
"District Judge, 351st Judicial District",0426,415,283,698,1224,57.03%,396,242,638
"District Judge, 351st Judicial District",0427,325,249,574,1115,51.48%,210,318,528
"District Judge, 351st Judicial District",0428,1284,907,2191,4316,50.76%,645,1393,2038
"District Judge, 351st Judicial District",0429,1091,777,1868,3929,47.54%,353,1369,1722
"District Judge, 351st Judicial District",0430,403,335,738,1654,44.62%,154,526,680
"District Judge, 351st Judicial District",0431,819,403,1222,3188,38.33%,308,830,1138
"District Judge, 351st Judicial District",0432,311,271,582,1344,43.30%,162,388,550
"District Judge, 351st Judicial District",0433,139,106,245,573,42.76%,44,187,231
"District Judge, 351st Judicial District",0434,628,371,999,1386,72.08%,635,294,929
"District Judge, 351st Judicial District",0435,1534,768,2302,3097,74.33%,1515,613,2128
"District Judge, 351st Judicial District",0436,1334,709,2043,3012,67.83%,1203,667,1870
"District Judge, 351st Judicial District",0437,951,542,1493,2007,74.39%,1055,335,1390
"District Judge, 351st Judicial District",0438,1046,387,1433,1802,79.52%,1063,247,1310
"District Judge, 351st Judicial District",0439,1526,905,2431,3416,71.17%,1728,522,2250
"District Judge, 351st Judicial District",0440,1326,876,2202,2867,76.81%,1719,294,2013
"District Judge, 351st Judicial District",0441,698,513,1211,1616,74.94%,881,250,1131
"District Judge, 351st Judicial District",0442,1366,513,1879,2504,75.04%,1531,252,1783
"District Judge, 351st Judicial District",0443,335,148,483,605,79.83%,344,1,04,448
"District Judge, 351st Judicial District",0444,1258,731,1989,3172,62.70%,1188,651,1839
"District Judge, 351st Judicial District",0445,860,443,1303,1938,67.23%,811,406,1217
"District Judge, 351st Judicial District",0446,70,52,122,268,45.52%,42,73,115
"District Judge, 351st Judicial District",0447,271,108,379,583,65.01%,127,219,346
"District Judge, 351st Judicial District",0448,1239,869,2108,3081,68.42%,1229,690,1919
"District Judge, 351st Judicial District",0449,62,37,99,164,60.37%,12,81,93
"District Judge, 351st Judicial District",0450,856,537,1393,2622,53.13%,347,978,1325
"District Judge, 351st Judicial District",0451,1575,515,2090,2674,78.16%,1693,289,1982
"District Judge, 351st Judicial District",0452,1109,639,1748,2810,62.21%,1282,390,1672
"District Judge, 351st Judicial District",0453,559,475,1034,1885,54.85%,343,629,972
"District Judge, 351st Judicial District",0454,1226,311,1537,2571,59.78%,14,1477,1491
"District Judge, 351st Judicial District",0455,748,216,964,1679,57.42%,26,905,931
"District Judge, 351st Judicial District",0456,1266,593,1859,3350,55.49%,954,795,1749
"District Judge, 351st Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0458,908,271,1179,1893,62.28%,51,1086,1137
"District Judge, 351st Judicial District",0459,1637,476,2113,2950,71.63%,1653,337,1990
"District Judge, 351st Judicial District",0460,1250,402,1652,2346,70.42%,426,1149,1575
"District Judge, 351st Judicial District",0461,1958,828,2786,3733,74.63%,1825,733,2558
"District Judge, 351st Judicial District",0462,1318,865,2183,3367,64.84%,791,1248,2039
"District Judge, 351st Judicial District",0463,1124,656,1780,2962,60.09%,703,988,1691
"District Judge, 351st Judicial District",0464,786,612,1398,2126,65.76%,936,382,1318
"District Judge, 351st Judicial District",0465,1465,702,2167,3343,64.82%,1139,953,2092
"District Judge, 351st Judicial District",0466,2052,729,2781,4072,68.30%,1553,1116,2669
"District Judge, 351st Judicial District",0467,478,229,707,1230,57.48%,166,503,669
"District Judge, 351st Judicial District",0468,984,793,1777,3354,52.98%,508,1161,1669
"District Judge, 351st Judicial District",0469,2039,638,2677,3779,70.84%,2053,463,2516
"District Judge, 351st Judicial District",0470,443,323,766,1349,56.78%,528,192,720
"District Judge, 351st Judicial District",0471,792,597,1389,2349,59.13%,1045,277,1322
"District Judge, 351st Judicial District",0472,370,337,707,1027,68.84%,346,287,633
"District Judge, 351st Judicial District",0473,914,442,1356,1827,74.22%,932,329,1261
"District Judge, 351st Judicial District",0474,1146,766,1912,3006,63.61%,1307,489,1796
"District Judge, 351st Judicial District",0475,485,473,958,1651,58.03%,410,481,891
"District Judge, 351st Judicial District",0476,809,658,1467,2412,60.82%,829,565,1394
"District Judge, 351st Judicial District",0477,1441,742,2183,3195,68.33%,1605,471,2076
"District Judge, 351st Judicial District",0478,1959,898,2857,4150,68.84%,1859,834,2693
"District Judge, 351st Judicial District",0479,1298,588,1886,2648,71.22%,1373,424,1797
"District Judge, 351st Judicial District",0480,936,555,1491,2267,65.77%,1032,368,1400
"District Judge, 351st Judicial District",0481,1463,852,2315,3298,70.19%,1691,495,2186
"District Judge, 351st Judicial District",0482,1963,836,2799,4129,67.79%,1908,769,2677
"District Judge, 351st Judicial District",0483,1868,759,2627,4141,63.44%,1384,1095,2479
"District Judge, 351st Judicial District",0484,2236,1008,3244,4594,70.61%,2286,795,3081
"District Judge, 351st Judicial District",0485,2421,990,3411,4838,70.50%,2507,756,3263
"District Judge, 351st Judicial District",0486,1843,805,2648,3572,74.13%,2036,482,2518
"District Judge, 351st Judicial District",0487,1005,612,1617,3318,48.73%,458,1033,1491
"District Judge, 351st Judicial District",0488,580,440,1020,1713,59.54%,338,599,937
"District Judge, 351st Judicial District",0489,783,378,1161,1823,63.69%,338,751,1089
"District Judge, 351st Judicial District",0490,876,439,1315,1944,67.64%,492,742,1234
"District Judge, 351st Judicial District",0491,667,489,1156,1782,64.87%,656,407,1063
"District Judge, 351st Judicial District",0492,1069,504,1573,2351,66.91%,818,633,1451
"District Judge, 351st Judicial District",0493,858,400,1258,1804,69.73%,790,361,1151
"District Judge, 351st Judicial District",0494,760,431,1191,2176,54.73%,145,1003,1148
"District Judge, 351st Judicial District",0495,1120,494,1614,2284,70.67%,1128,380,1508
"District Judge, 351st Judicial District",0496,496,571,1067,2086,51.15%,400,597,997
"District Judge, 351st Judicial District",0497,1123,303,1426,2226,64.06%,54,1317,1371
"District Judge, 351st Judicial District",0498,759,499,1258,2123,59.26%,520,667,1187
"District Judge, 351st Judicial District",0499,1301,517,1818,2304,78.91%,1313,388,1701
"District Judge, 351st Judicial District",0500,1507,746,2253,3175,70.96%,1520,609,2129
"District Judge, 351st Judicial District",0501,653,487,1140,1647,69.22%,442,593,1035
"District Judge, 351st Judicial District",0502,1150,332,1482,2364,62.69%,1107,285,1392
"District Judge, 351st Judicial District",0503,359,273,632,1363,46.37%,192,390,582
"District Judge, 351st Judicial District",0504,1129,538,1667,2197,75.88%,1102,450,1552
"District Judge, 351st Judicial District",0505,1209,829,2038,3654,55.77%,899,987,1886
"District Judge, 351st Judicial District",0506,1470,801,2271,3380,67.19%,384,1792,2176
"District Judge, 351st Judicial District",0507,582,385,967,2435,39.71%,146,685,831
"District Judge, 351st Judicial District",0508,946,760,1706,3248,52.52%,550,1011,1561
"District Judge, 351st Judicial District",0509,1340,864,2204,3536,62.33%,1523,564,2087
"District Judge, 351st Judicial District",0510,1492,682,2174,3511,61.92%,963,1073,2036
"District Judge, 351st Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 351st Judicial District",0512,1558,1127,2885,4582,58.80%,1198,1355,2551
"District Judge, 351st Judicial District",0513,1805,507,2112,2752,78.74%,1582,418,2000
"District Judge, 351st Judicial District",0514,1988,880,2828,3941,71.71%,2052,838,2888
"District Judge, 351st Judicial District",0515,1892,708,2400,3173,75.84%,1903,388,2289
"District Judge, 351st Judicial District",0518,2179,1088,3245,4934,85.77%,1588,1487,3055
"District Judge, 351st Judicial District",0517,1208,853,1881,3320,58.05%,983,790,1753
"District Judge, 351st Judicial District",0518,1478,919,2397,3755,83.83%,1473,780,2253
"District Judge, 351st Judicial District",0519,1234,845,1879,2951,83.87%,1330,451,1781
"District Judge, 351st Judicial District",0520,1542,857,2399,4084,59.03%,378,1927,2305
"District Judge, 351st Judicial District",0521,1011,894,1705,2725,82.57%,843,789,1812
"District Judge, 351st Judicial District",0522,1171,858,1829,2882,88.20%,1338,388,1722
"District Judge, 351st Judicial District",0523,1338,889,2027,3080,88.24%,1322,555,1877
"District Judge, 351st Judicial District",0524,1237,875,1912,3292,58.08%,588,1253,1819
"District Judge, 351st Judicial District",0525,1380,810,1990,2947,87.53%,405,1485,1890
"District Judge, 351st Judicial District",0528,187,171,338,731,48.24%,91,228,319
"District Judge, 351st Judicial District",0527,80,24,104,589,18.28%,44,53,97
"District Judge, 351st Judicial District",0528,38,12,48,92,52.17%,4,43,47
"District Judge, 351st Judicial District",0529,1987,441,2428,3818,87.15%,2002,303,2305
"District Judge, 351st Judicial District",0530,259,235,494,1198,41.30%,109,351,480
"District Judge, 351st Judicial District",0531,872,113,785,1094,71.78%,598,137,735
"District Judge, 351st Judicial District",0532,452,184,838,1039,81.21%,428,181,807
"District Judge, 351st Judicial District",0533,317,207,524,1089,49.02%,282,233,495
"District Judge, 351st Judicial District",0534,1858,875,2333,3795,81.48%,1888,548,2214
"District Judge, 351st Judicial District",0535,80,94,174,421,41.33%,81,99,180
"District Judge, 351st Judicial District",0538,1332,1195,2527,4578,55.22%,934,1480,2394
"District Judge, 351st Judicial District",0537,1454,823,2277,2971,78.84%,1852,498,2148
"District Judge, 351st Judicial District",0538,433,237,870,1282,52.28%,21,825,848
"District Judge, 351st Judicial District",0539,28,209,235,71,330.99%,52,183,215
"District Judge, 351st Judicial District",0540,888,380,1048,1491,70.15%,488,488,938
"District Judge, 351st Judicial District",0541,1824,779,2803,4183,82.23%,339,2135,2474
"District Judge, 351st Judicial District",0542,997,501,1498,2525,59.33%,98,1352,1448
"District Judge, 351st Judicial District",0543,287,378,885,1528,43.52%,208,411,817
"District Judge, 351st Judicial District",0544,92,53,145,318,45.80%,15,124,139
"District Judge, 351st Judicial District",0545,1314,857,2171,3339,65.02%,1032,1020,2052
"District Judge, 351st Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 351st Judicial District",0547,877,647,1524,2408,63.29%,1022,417,1439
"District Judge, 351st Judicial District",0548,720,476,1196,2129,56.18%,531,606,1137
"District Judge, 351st Judicial District",0549,944,586,1530,2530,60.47%,213,1247,1460
"District Judge, 351st Judicial District",0550,1134,629,1763,2847,61.92%,861,835,1696
"District Judge, 351st Judicial District",0551,3088,1527,4615,6135,75.22%,3298,1067,4365
"District Judge, 351st Judicial District",0552,1521,844,2465,3241,76.06%,2010,338,2348
"District Judge, 351st Judicial District",0553,1465,951,2416,4355,55.48%,1015,1285,2300
"District Judge, 351st Judicial District",0554,562,340,902,1731,52.11%,142,700,842
"District Judge, 351st Judicial District",0555,597,447,1044,2119,49.27%,177,814,991
"District Judge, 351st Judicial District",0556,584,421,1005,2249,44.69%,214,738,952
"District Judge, 351st Judicial District",0557,822,556,1378,2726,50.55%,447,821,1268
"District Judge, 351st Judicial District",0558,1588,824,2412,4084,59.06%,760,1522,2282
"District Judge, 351st Judicial District",0559,1787,899,2686,4633,57.98%,632,1904,2536
"District Judge, 351st Judicial District",0560,172,289,461,1176,39.20%,94,330,424
"District Judge, 351st Judicial District",0561,837,759,1596,3033,52.62%,877,630,1507
"District Judge, 351st Judicial District",0562,201,146,347,645,53.80%,24,307,331
"District Judge, 351st Judicial District",0563,1699,415,2114,2969,71.20%,1614,366,1980
"District Judge, 351st Judicial District",0564,1150,713,1863,3096,60.17%,490,1224,1714
"District Judge, 351st Judicial District",0565,315,194,509,1373,37.07%,94,378,472
"District Judge, 351st Judicial District",0566,1122,478,1600,2950,54.24%,429,1097,1526
"District Judge, 351st Judicial District",0567,672,394,1066,2198,48.50%,283,685,968
"District Judge, 351st Judicial District",0568,1628,837,2465,3487,70.69%,1598,670,2268
"District Judge, 351st Judicial District",0569,1294,865,2159,3249,66.45%,1157,830,1987
"District Judge, 351st Judicial District",0570,525,409,934,1473,63.41%,415,425,840
"District Judge, 351st Judicial District",0571,333,312,645,1758,36.69%,200,397,597
"District Judge, 351st Judicial District",0572,1283,574,1857,2998,61.94%,847,896,1743
"District Judge, 351st Judicial District",0573,577,368,945,1618,58.41%,12,907,919
"District Judge, 351st Judicial District",0574,98,79,177,391,45.27%,18,146,164
"District Judge, 351st Judicial District",0575,27,9,36,79,45.57%,33,3,36
"District Judge, 351st Judicial District",0576,1050,552,1602,2671,59.98%,53,1497,1550
"District Judge, 351st Judicial District",0577,231,113,344,573,60.03%,194,130,324
"District Judge, 351st Judicial District",0578,745,553,1298,1689,76.85%,798,374,1172
"District Judge, 351st Judicial District",0579,487,351,838,1806,46.40%,191,591,782
"District Judge, 351st Judicial District",0580,429,146,575,1027,55.99%,13,547,560
"District Judge, 351st Judicial District",0581,510,162,672,1041,64.55%,17,628,645
"District Judge, 351st Judicial District",0582,614,256,870,1613,53.94%,48,797,845
"District Judge, 351st Judicial District",0583,544,127,671,1248,53.77%,15,641,656
"District Judge, 351st Judicial District",0584,392,139,531,971,54.69%,32,493,525
"District Judge, 351st Judicial District",0585,934,304,1238,2403,51.52%,36,1163,1199
"District Judge, 351st Judicial District",0585,1306,1189,2495,4230,58.98%,1503,881,2384
"District Judge, 351st Judicial District",0587,933,465,1398,2174,64.31%,499,844,1343
"District Judge, 351st Judicial District",0588,1536,871,2407,3468,69.41%,1688,611,2299
"District Judge, 351st Judicial District",0589,1033,738,1771,3130,56.58%,918,767,1685
"District Judge, 351st Judicial District",0590,1158,463,1621,2136,75.89%,1239,293,1532
"District Judge, 351st Judicial District",0591,420,449,869,2114,41.11%,230,584,814
"District Judge, 351st Judicial District",0592,370,288,658,1258,52.31%,151,477,628
"District Judge, 351st Judicial District",0593,1148,999,2147,4059,52.89%,951,1075,2026
"District Judge, 351st Judicial District",0594,1031,535,1566,2361,66.33%,435,1071,1506
"District Judge, 351st Judicial District",0595,497,380,877,1647,53.25%,141,699,840
"District Judge, 351st Judicial District",0596,945,690,1635,2848,57.41%,837,723,1560
"District Judge, 351st Judicial District",0597,1067,719,1786,3267,54.67%,607,1106,1713
"District Judge, 351st Judicial District",0598,335,103,438,724,60.50%,326,86,412
"District Judge, 351st Judicial District",0599,1895,866,2761,4135,66.77%,918,1735,2653
"District Judge, 351st Judicial District",0600,1383,869,2252,3820,58.95%,763,1370,2133
"District Judge, 351st Judicial District",0601,2028,858,2886,3990,72.33%,2159,603,2762
"District Judge, 351st Judicial District",0602,562,296,858,1237,69.36%,591,232,823
"District Judge, 351st Judicial District",0603,1437,1163,2600,3917,66.38%,1543,952,2495
"District Judge, 351st Judicial District",0604,1444,528,1972,2910,67.77%,1597,284,1881
"District Judge, 351st Judicial District",0605,2227,889,3116,5251,59.34%,748,2224,2972
"District Judge, 351st Judicial District",0606,420,122,542,1053,51.47%,8,518,526
"District Judge, 351st Judicial District",0607,194,118,312,731,42.68%,19,277,296
"District Judge, 351st Judicial District",0608,245,290,535,1256,42.60%,202,289,491
"District Judge, 351st Judicial District",0609,1364,844,2208,3261,67.71%,1343,717,2060
"District Judge, 351st Judicial District",0610,403,398,801,1825,43.89%,345,400,745
"District Judge, 351st Judicial District",0611,1120,301,1421,2450,58.00%,42,1338,1380
"District Judge, 351st Judicial District",0612,1700,579,2279,3272,69.65%,1706,436,2142
"District Judge, 351st Judicial District",0613,495,309,804,1450,55.45%,124,649,773
"District Judge, 351st Judicial District",0614,1631,812,2443,3932,62.13%,813,1514,2327
"District Judge, 351st Judicial District",0615,931,404,1335,1926,69.31%,777,492,1269
"District Judge, 351st Judicial District",0616,1352,970,2322,3378,68.74%,1581,612,2193
"District Judge, 351st Judicial District",0617,1318,849,2167,3546,61.11%,762,1306,2068
"District Judge, 351st Judicial District",0618,1920,1021,2941,5344,55.03%,1255,1552,2807
"District Judge, 351st Judicial District",0619,2133,857,2990,4266,70.09%,2186,646,2832
"District Judge, 351st Judicial District",0620,2382,856,3238,5271,61.43%,1542,1481,3023
"District Judge, 351st Judicial District",0621,397,203,600,1173,51.15%,298,271,569
"District Judge, 351st Judicial District",0622,1722,829,2551,4305,59.26%,1476,941,2417
"District Judge, 351st Judicial District",0623,1708,626,2334,3481,67.05%,1464,726,2190
"District Judge, 351st Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 351st Judicial District",0625,862,454,1316,1796,73.27%,730,469,1199
"District Judge, 351st Judicial District",0626,1148,655,1803,2838,63.53%,897,798,1695
"District Judge, 351st Judicial District",0627,795,647,1442,2964,48.65%,420,926,1346
"District Judge, 351st Judicial District",0628,292,456,748,1600,46.75%,308,396,704
"District Judge, 351st Judicial District",0629,175,127,302,629,48.01%,22,273,295
"District Judge, 351st Judicial District",0630,2018,535,2553,3190,80.03%,236,2221,2457
"District Judge, 351st Judicial District",0631,1489,392,1881,2733,68.83%,1332,442,1774
"District Judge, 351st Judicial District",0632,12,9,21,231,9.09%,4,14,18
"District Judge, 351st Judicial District",0633,1782,678,2460,3257,75.53%,1762,576,2338
"District Judge, 351st Judicial District",0634,1020,734,1754,2922,60.03%,1068,590,1658
"District Judge, 351st Judicial District",0635,1326,706,2032,3280,61.95%,1531,403,1934
"District Judge, 351st Judicial District",0636,1791,974,2765,3881,71.24%,2319,328,2647
"District Judge, 351st Judicial District",0637,739,509,1248,2471,50.51%,300,843,1143
"District Judge, 351st Judicial District",0638,740,684,1424,2078,68.53%,96,1262,1358
"District Judge, 351st Judicial District",0639,828,711,1539,2501,61.54%,1197,275,1472
"District Judge, 351st Judicial District",0640,1382,723,2105,3548,59.33%,1192,810,2002
"District Judge, 351st Judicial District",0641,1265,878,2143,3375,63.50%,1305,737,2042
"District Judge, 351st Judicial District",0642,871,447,1318,1779,74.09%,1069,177,1246
"District Judge, 351st Judicial District",0643,2157,994,3151,5310,59.34%,1189,1796,2985
"District Judge, 351st Judicial District",0644,2123,1204,3327,5261,63.24%,2059,1078,3137
"District Judge, 351st Judicial District",0645,1639,895,2534,4035,62.80%,1154,1225,2379
"District Judge, 351st Judicial District",0646,708,456,1164,2163,53.81%,343,754,1097
"District Judge, 351st Judicial District",0647,1770,1020,2790,5593,49.88%,687,1878,2565
"District Judge, 351st Judicial District",0648,1590,668,2258,3197,70.63%,1568,584,2152
"District Judge, 351st Judicial District",0649,1389,854,2243,4426,50.68%,609,1501,2110
"District Judge, 351st Judicial District",0650,1328,939,2267,3151,71.95%,1660,490,2150
"District Judge, 351st Judicial District",0651,2085,1070,3155,4931,63.98%,1950,1043,2993
"District Judge, 351st Judicial District",0652,1049,653,1702,2633,64.64%,281,1354,1635
"District Judge, 351st Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 351st Judicial District",0654,2103,1344,3447,5765,59.79%,1742,1495,3237
"District Judge, 351st Judicial District",0655,2612,1451,4063,6304,64.45%,2500,1319,3819
"District Judge, 351st Judicial District",0656,1198,421,1619,2622,61.75%,53,1511,1564
"District Judge, 351st Judicial District",0657,490,268,758,1200,63.17%,292,422,714
"District Judge, 351st Judicial District",0658,985,708,1693,2824,59.95%,1035,578,1613
"District Judge, 351st Judicial District",0659,2141,1091,3232,4588,70.44%,2246,829,3075
"District Judge, 351st Judicial District",0660,2460,932,3392,5048,67.19%,336,2929,3265
"District Judge, 351st Judicial District",0661,1514,1012,2626,4179,62.84%,1382,1079,2461
"District Judge, 351st Judicial District",0662,2477,999,3476,4807,72.31%,2749,574,3323
"District Judge, 351st Judicial District",0663,1302,913,2215,3232,68.53%,1213,813,2026
"District Judge, 351st Judicial District",0664,681,607,1288,2801,45.98%,291,925,1216
"District Judge, 351st Judicial District",0665,951,394,1345,2007,67.02%,1076,197,1273
"District Judge, 351st Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 351st Judicial District",0667,989,547,1536,2181,70.43%,1160,287,1447
"District Judge, 351st Judicial District",0668,927,655,1582,2458,64.36%,974,530,1504
"District Judge, 351st Judicial District",0669,1606,823,2429,3243,74.90%,1685,604,2289
"District Judge, 351st Judicial District",0670,1566,518,2084,2952,70.60%,1624,331,1955
"District Judge, 351st Judicial District",0671,1090,773,1863,2942,63.32%,1064,674,1738
"District Judge, 351st Judicial District",0672,2301,1078,3379,4710,71.74%,2207,1027,3234
"District Judge, 351st Judicial District",0673,1375,543,2019,2988,67.57%,1548,359,1907
"District Judge, 351st Judicial District",0674,2092,813,2905,4055,71.64%,2150,630,2780
"District Judge, 351st Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0677,220,239,459,954,48.11%,124,305,429
"District Judge, 351st Judicial District",0678,297,164,461,756,60.98%,306,116,422
"District Judge, 351st Judicial District",0679,1466,661,2127,3331,63.85%,1555,443,1998
"District Judge, 351st Judicial District",0680,55,22,78,181,43.09%,36,35,71
"District Judge, 351st Judicial District",0681,1,0,1,5,20.00%,0,1,1
"District Judge, 351st Judicial District",0682,1673,912,2585,4134,62.53%,1829,621,2450
"District Judge, 351st Judicial District",0683,48,50,98,261,37.55%,24,67,91
"District Judge, 351st Judicial District",0684,72,24,96,187,51.34%,57,31,88
"District Judge, 351st Judicial District",0685,167,29,196,326,60.12%,89,91,180
"District Judge, 351st Judicial District",0686,46,34,80,196,40.82%,18,57,75
