Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM Mack Mclnnis,Totals
"District Judge, 351st Judicial District",0080,1159,481,1640,2712,60.47%,352,1188,1540
"District Judge, 351st Judicial District",0081,540,309,849,1839,46.17%,270,518,788
"District Judge, 351st Judicial District",0082,1353,816,2169,3284,66.05%,1608,460,2068
"District Judge, 351st Judicial District",0083,2625,1181,3806,5598,67.99%,1790,1856,3646
"District Judge, 351st Judicial District",0084,444,346,790,1389,56.88%,557,200,757
"District Judge, 351st Judicial District",0085,730,548,1278,2079,61.47%,28,1187,1215
"District Judge, 351st Judicial District",0086,1054,689,1743,2637,66.10%,809,790,1599
"District Judge, 351st Judicial District",0087,1222,861,2083,2749,75.77%,1368,508,1876
"District Judge, 351st Judicial District",0088,235,162,397,678,58.55%,252,127,379
"District Judge, 351st Judicial District",0089,342,454,796,1104,72.10%,475,241,716
"District Judge, 351st Judicial District",0090,1498,958,2456,3571,68.78%,1782,524,2306
"District Judge, 351st Judicial District",0091,466,333,799,1248,64.02%,482,281,763
"District Judge, 351st Judicial District",0092,1105,534,1639,2228,73.56%,1116,396,1512
"District Judge, 351st Judicial District",0093,782,643,1425,3295,43.25%,514,801,1315
"District Judge, 351st Judicial District",0094,148,104,252,537,46.93%,54,183,237
"District Judge, 351st Judicial District",0095,1684,671,2355,3179,74.08%,1610,582,2192
"District Judge, 351st Judicial District",0096,364,237,601,1241,48.43%,56,524,580
"District Judge, 351st Judicial District",0097,2393,764,3157,4566,69.14%,2283,701,2984
"District Judge, 351st Judicial District",0098,874,607,1481,2403,61.63%,1202,213,1415
"District Judge, 351st Judicial District",0099,568,311,879,2040,43.09%,387,453,840
"District Judge, 351st Judicial District",0100,427,324,751,1754,42.82%,330,384,714
"District Judge, 351st Judicial District",0101,203,186,389,941,41.34%,87,290,377
"District Judge, 351st Judicial District",0102,493,268,761,1910,39.84%,192,543,735
"District Judge, 351st Judicial District",0103,1915,1065,2980,4751,62.72%,1560,1278,2838
"District Judge, 351st Judicial District",0104,992,238,1230,1847,66.59%,24,1173,1197
"District Judge, 351st Judicial District",0105,462,453,915,2153,42.50%,234,610,844
"District Judge, 351st Judicial District",0106,49,37,86,284,30.28%,38,43,81
"District Judge, 351st Judicial District",0107,412,441,853,1905,44.78%,134,682,816
"District Judge, 351st Judicial District",0108,1193,514,1707,3229,52.86%,891,728,1619
"District Judge, 351st Judicial District",0109,1160,430,1590,2884,55.13%,30,1513,1543
"District Judge, 351st Judicial District",0110,1465,589,2054,2853,71.99%,1221,708,1929
"District Judge, 351st Judicial District",0111,1868,848,2716,3638,74.66%,1967,575,2542
"District Judge, 351st Judicial District",0112,1262,668,1930,2894,66.69%,1339,489,1828
"District Judge, 351st Judicial District",0113,1125,590,1715,2537,67.60%,984,634,1618
"District Judge, 351st Judicial District",0114,1454,546,2000,2650,75.47%,1539,372,1911
"District Judge, 351st Judicial District",0115,598,305,903,1764,51.19%,103,769,872
"District Judge, 351st Judicial District",0116,1626,747,2373,3014,78.73%,1814,409,2223
"District Judge, 351st Judicial District",0117,398,462,860,1878,45.79%,356,453,809
"District Judge, 351st Judicial District",0118,460,148,608,743,81.83%,478,89,567
"District Judge, 351st Judicial District",0119,1924,1265,3189,4892,65.19%,2479,592,3071
"District Judge, 351st Judicial District",0120,1197,632,1829,2986,61.25%,1087,613,1700
"District Judge, 351st Judicial District",0121,193,244,437,679,64.36%,284,131,415
"District Judge, 351st Judicial District",0122,895,349,1244,2199,56.57%,40,1155,1195
"District Judge, 351st Judicial District",0123,440,350,790,1356,58.26%,230,495,725
"District Judge, 351st Judicial District",0124,3522,1281,4803,5952,80.70%,3757,810,4567
"District Judge, 351st Judicial District",0125,896,534,1430,2281,62.69%,820,543,1363
"District Judge, 351st Judicial District",0126,1630,407,2037,2799,72.78%,1730,212,1942
"District Judge, 351st Judicial District",0127,854,182,1036,1703,60.83%,718,267,985
"District Judge, 351st Judicial District",0128,936,736,1672,2257,74.08%,1077,404,1481
"District Judge, 351st Judicial District",0129,2294,1449,3743,5495,68.12%,2326,1167,3493
"District Judge, 351st Judicial District",0130,1201,523,1724,2240,76.96%,1277,336,1613
"District Judge, 351st Judicial District",0131,604,374,978,1721,56.83%,226,705,931
"District Judge, 351st Judicial District",0132,1119,397,1516,2449,61.90%,28,1431,1459
"District Judge, 351st Judicial District",0133,1083,940,2023,2605,77.66%,1245,588,1833
"District Judge, 351st Judicial District",0134,419,392,811,1444,56.16%,357,397,754
"District Judge, 351st Judicial District",0135,1424,634,2058,2750,74.84%,1329,551,1880
"District Judge, 351st Judicial District",0136,981,451,1432,2111,67.84%,53,1320,1373
"District Judge, 351st Judicial District",0137,305,193,498,740,87.30%,254,192,448
"District Judge, 351st Judicial District",0138,881,259,920,1749,52.80%,24,857,881
"District Judge, 351st Judicial District",0139,1290,747,2037,2748,74.18%,1012,831,1843
"District Judge, 351st Judicial District",0140,1311,883,1994,3104,84.24%,308,1558,1884
"District Judge, 351st Judicial District",0141,181,143,324,872,37.18%,192,108,300
"District Judge, 351st Judicial District",0142,212,171,383,870,44.02%,99,257,358
"District Judge, 351st Judicial District",0143,2993,880,3853,4598,79.45%,2539,952,3491
"District Judge, 351st Judicial District",0144,478,204,880,1143,59.49%,9,849,858
"District Judge, 351st Judicial District",0145,883,245,908,1580,57.47%,18,873,889
"District Judge, 351st Judicial District",0148,759,814,1373,1953,70.30%,812,848,1280
"District Judge, 351st Judicial District",0147,1255,485,1740,2813,81.88%,204,1487,1891
"District Judge, 351st Judicial District",0148,908,924,1832,2487,74.28%,825,832,1857
"District Judge, 351st Judicial District",0149,2859,1322,4181,8103,88.51%,1881,2139,4000
"District Judge, 351st Judicial District",0150,539,207,748,1212,81.55%,20,704,724
"District Judge, 351st Judicial District",0151,316,148,484,848,54.85%,20,419,439
"District Judge, 351st Judicial District",0152,483,802,1085,2701,40.17%,234,788,1020
"District Judge, 351st Judicial District",0153,328,437,785,1755,43.59%,190,517,707
"District Judge, 351st Judicial District",0154,593,380,953,2133,44.88%,207,840,847
"District Judge, 351st Judicial District",0155,1957,834,2791,4087,88.29%,1870,759,2829
"District Judge, 351st Judicial District",0158,1427,457,1884,3134,80.11%,54,1747,1801
"District Judge, 351st Judicial District",0157,881,382,1283,2311,54.85%,37,1187,1224
"District Judge, 351st Judicial District",0158,1304,435,1739,3018,57.88%,32,1883,1895
"District Judge, 351st Judicial District",0159,313,187,500,978,51.23%,87,410,477
"District Judge, 351st Judicial District",0180,248,140,388,888,58.10%,10,382,372
"District Judge, 351st Judicial District",0181,395,190,585,1030,58.80%,11,554,585
"District Judge, 351st Judicial District",0182,232,282,494,1249,39.55%,140,302,442
"District Judge, 351st Judicial District",0183,778,535,1413,3054,48.27%,384,850,1234
"District Judge, 351st Judicial District",0184,505,304,809,1434,58.42%,17,788,785
"District Judge, 351st Judicial District",0185,918,557,1475,2284,84.58%,934,452,1388
