Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0080,1159,481,1640,2712,60.47%,348,1200,1548
"District Judge, 127th Judicial District",0081,540,309,849,1839,46.17%,266,517,783
"District Judge, 127th Judicial District",0082,1353,816,2169,3284,66.05%,1590,478,2068
"District Judge, 127th Judicial District",0083,2625,1181,3806,5598,67.99%,1756,1894,3650
"District Judge, 127th Judicial District",0084,444,346,790,1389,56.88%,549,207,756
"District Judge, 127th Judicial District",0085,730,548,1278,2079,61.47%,28,1190,1218
"District Judge, 127th Judicial District",0086,1054,689,1743,2637,66.10%,780,819,1599
"District Judge, 127th Judicial District",0087,1222,861,2083,2749,75.77%,1228,681,1909
"District Judge, 127th Judicial District",0088,235,162,397,678,58.55%,245,131,376
"District Judge, 127th Judicial District",0089,342,454,796,1104,72.10%,427,302,729
"District Judge, 127th Judicial District",0090,1498,958,2456,3571,68.78%,1749,556,2305
"District Judge, 127th Judicial District",0091,466,333,799,1248,64.02%,478,288,766
"District Judge, 127th Judicial District",0092,1105,534,1639,2228,73.56%,1075,444,1519
"District Judge, 127th Judicial District",0093,782,643,1425,3295,43.25%,498,825,1323
"District Judge, 127th Judicial District",0094,148,104,252,537,46.93%,55,181,236
"District Judge, 127th Judicial District",0095,1684,671,2355,3179,74.08%,1560,642,2202
"District Judge, 127th Judicial District",0096,364,237,601,1241,48.43%,54,527,581
"District Judge, 127th Judicial District",0097,2393,764,3157,4566,69.14%,2270,716,2986
"District Judge, 127th Judicial District",0098,874,607,1481,2403,61.63%,1191,225,1416
"District Judge, 127th Judicial District",0099,568,311,879,2040,43.09%,391,450,841
"District Judge, 127th Judicial District",0100,427,324,751,1754,42.82%,336,380,716
"District Judge, 127th Judicial District",0101,203,186,389,941,41.34%,87,291,378
"District Judge, 127th Judicial District",0102,493,268,761,1910,39.84%,199,534,733
"District Judge, 127th Judicial District",0103,1915,1065,2980,4751,62.72%,1550,1292,2842
"District Judge, 127th Judicial District",0104,992,238,1230,1847,66.59%,26,1171,1197
"District Judge, 127th Judicial District",0105,462,453,915,2153,42.50%,230,619,849
"District Judge, 127th Judicial District",0106,49,37,86,284,30.28%,40,42,82
"District Judge, 127th Judicial District",0107,412,441,853,1905,44.78%,136,681,817
"District Judge, 127th Judicial District",0108,1193,514,1707,3229,52.86%,875,739,1614
"District Judge, 127th Judicial District",0109,1160,430,1590,2884,55.13%,26,1516,1542
"District Judge, 127th Judicial District",0110,1465,589,2054,2853,71.99%,1216,727,1943
"District Judge, 127th Judicial District",0111,1868,848,2716,3638,74.66%,1973,581,2554
"District Judge, 127th Judicial District",0112,1262,668,1930,2894,66.69%,1344,489,1833
"District Judge, 127th Judicial District",0113,1125,590,1715,2537,67.60%,949,669,1618
"District Judge, 127th Judicial District",0114,1454,546,2000,2650,75.47%,1547,369,1916
"District Judge, 127th Judicial District",0115,598,305,903,1764,51.19%,103,768,871
"District Judge, 127th Judicial District",0116,1626,747,2373,3014,78.73%,1740,486,2226
"District Judge, 127th Judicial District",0117,398,462,860,1878,45.79%,356,455,811
"District Judge, 127th Judicial District",0118,460,148,608,743,81.83%,458,115,573
"District Judge, 127th Judicial District",0119,1924,1265,3189,4892,65.19%,2467,599,3066
"District Judge, 127th Judicial District",0120,1197,632,1829,2986,61.25%,1072,631,1703
"District Judge, 127th Judicial District",0121,193,244,437,679,64.36%,286,130,416
"District Judge, 127th Judicial District",0122,895,349,1244,2199,56.57%,43,1146,1189
"District Judge, 127th Judicial District",0123,440,350,790,1356,58.26%,211,516,727
"District Judge, 127th Judicial District",0124,3522,1281,4803,5952,80.70%,3747,825,4572
"District Judge, 127th Judicial District",0125,896,534,1430,2281,62.69%,816,549,1365
"District Judge, 127th Judicial District",0126,1630,407,2037,2799,72.78%,1720,222,1942
"District Judge, 127th Judicial District",0127,854,182,1036,1703,60.83%,712,274,986
"District Judge, 127th Judicial District",0128,936,736,1672,2257,74.08%,1002,499,1501
"District Judge, 127th Judicial District",0129,2294,1449,3743,5495,68.12%,2225,1285,3510
"District Judge, 127th Judicial District",0130,1201,523,1724,2240,76.96%,1225,389,1614
"District Judge, 127th Judicial District",0131,604,374,978,1721,56.83%,233,700,933
"District Judge, 127th Judicial District",0132,1119,397,1516,2449,61.90%,23,1439,1462
"District Judge, 127th Judicial District",0133,1083,940,2023,2605,77.66%,1149,699,1848
"District Judge, 127th Judicial District",0134,419,392,811,1444,56.16%,351,404,755
"District Judge, 127th Judicial District",0135,1424,634,2058,2750,74.84%,1181,731,1912
"District Judge, 127th Judicial District",0136,981,451,1432,2111,67.84%,47,1326,1373
"District Judge, 127th Judicial District",0137,305,193,498,740,67.30%,233,216,449
"District Judge, 127th Judicial District",0138,661,259,920,1749,52.60%,20,860,880
"District Judge, 127th Judicial District",0139,1290,747,2037,2746,74.18%,944,906,1850
"District Judge, 127th Judicial District",0140,1311,683,1994,3104,64.24%,285,1587,1872
"District Judge, 127th Judicial District",0141,181,143,324,872,37.16%,189,112,301
