Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0690,1965,1116,3081,4184,73.64%,2372,562,2934
"District Judge, 127th Judicial District",0691,10,2,12,34,35.29%,4,8,12
"District Judge, 127th Judicial District",0692,999,717,1716,2626,65.35%,1227,402,1629
"District Judge, 127th Judicial District",0693,303,116,419,651,64.36%,101,280,381
"District Judge, 127th Judicial District",0694,420,137,557,817,68.18%,357,169,526
"District Judge, 127th Judicial District",0695,454,320,774,1646,47.02%,469,265,734
"District Judge, 127th Judicial District",0696,600,373,973,2098,46.38%,574,349,923
"District Judge, 127th Judicial District",0697,1516,941,2457,4307,57.05%,545,1817,2362
"District Judge, 127th Judicial District",0698,1137,659,1796,2948,60.92%,174,1553,1727
"District Judge, 127th Judicial District",0699,1031,566,1597,2288,69.80%,984,469,1453
"District Judge, 127th Judicial District",0700,531,287,818,1313,62.30%,641,135,776
"District Judge, 127th Judicial District",0701,142,115,257,554,46.39%,125,119,244
"District Judge, 127th Judicial District",0702,150,123,273,549,49.73%,32,227,259
"District Judge, 127th Judicial District",0703,742,616,1358,1845,73.60%,946,309,1255
"District Judge, 127th Judicial District",0704,1334,701,2035,2882,70.61%,1613,318,1931
"District Judge, 127th Judicial District",0705,358,238,596,1520,39.21%,56,519,575
"District Judge, 127th Judicial District",0706,222,135,357,529,67.49%,168,181,349
"District Judge, 127th Judicial District",0707,284,1,36,420,707,59.41%,241,1,53,394
"District Judge, 127th Judicial District",0708,109,95,204,568,35.92%,97,95,192
"District Judge, 127th Judicial District",0709,2996,1297,4293,6239,68.81%,2512,1596,4108
"District Judge, 127th Judicial District",0710,877,602,1479,2023,73.11%,823,537,1360
"District Judge, 127th Judicial District",0711,1492,701,2193,3351,65.44%,1259,790,2049
"District Judge, 127th Judicial District",0712,1200,858,2058,3348,61.47%,824,1169,1993
"District Judge, 127th Judicial District",0713,665,436,1101,1827,60.26%,571,475,1046
"District Judge, 127th Judicial District",0714,77,3,80,304,26.32%,52,22,74
"District Judge, 127th Judicial District",0715,405,326,731,1380,52.97%,353,333,686
"District Judge, 127th Judicial District",0716,977,622,1599,2670,59.89%,1102,422,1524
"District Judge, 127th Judicial District",0717,826,362,1188,1927,61.65%,159,983,1142
"District Judge, 127th Judicial District",0718,1844,1019,2863,4050,70.69%,1836,812,2648
"District Judge, 127th Judicial District",0719,508,260,768,1617,47.50%,408,307,715
"District Judge, 127th Judicial District",0720,1575,1044,2619,3903,67.10%,1859,647,2506
"District Judge, 127th Judicial District",0721,1334,637,1971,2842,69.35%,1265,569,1834
"District Judge, 127th Judicial District",0722,1892,642,2534,4357,58.16%,150,2279,2429
"District Judge, 127th Judicial District",0723,747,329,1076,1760,61.14%,223,801,1024
"District Judge, 127th Judicial District",0724,325,170,495,716,69.13%,322,145,467
"District Judge, 127th Judicial District",0725,953,329,1282,2124,60.36%,512,692,1204
"District Judge, 127th Judicial District",0726,1141,304,1445,1987,72.72%,1241,141,1382
"District Judge, 127th Judicial District",0727,931,466,1397,2488,56.15%,337,1000,1337
"District Judge, 127th Judicial District",0728,343,208,551,881,62.54%,297,216,513
"District Judge, 127th Judicial District",0729,208,93,301,446,67.49%,176,111,287
"District Judge, 127th Judicial District",0730,800,437,1237,1630,75.89%,794,342,1136
"District Judge, 127th Judicial District",0731,121,36,157,373,42.09%,28,116,144
"District Judge, 127th Judicial District",0732,701,543,1244,1895,65.65%,719,441,1160
"District Judge, 127th Judicial District",0733,25,62,87,172,50.58%,29,50,79
"District Judge, 127th Judicial District",0734,3209,1114,4323,5952,72.63%,2869,1286,4155
"District Judge, 127th Judicial District",0735,9,0,9,23,39.1,3%,9,0,9
"District Judge, 127th Judicial District",0736,6,1,7,21,33.33%,0,6,6
"District Judge, 127th Judicial District",0737,25,5,30,53,56.60%,24,6,30
"District Judge, 127th Judicial District",0738,470,219,689,1294,53.25%,81,586,667
"District Judge, 127th Judicial District",0739,1005,490,1495,2872,52.05%,646,788,1434
"District Judge, 127th Judicial District",0740,233,205,438,935,46.84%,224,194,418
"District Judge, 127th Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0743,27,4,31,199,15.58%,13,16,29
"District Judge, 127th Judicial District",0744,848,509,1357,2024,67.05%,859,417,1276
"District Judge, 127th Judicial District",0745,1066,542,1608,2396,67.11%,986,518,1504
"District Judge, 127th Judicial District",0746,230,151,381,707,53.89%,177,170,347
"District Judge, 127th Judicial District",0747,1200,873,2073,3490,59.40%,966,1021,1987
"District Judge, 127th Judicial District",0748,420,307,727,1319,55.12%,319,364,683
"District Judge, 127th Judicial District",0749,99,57,156,359,43.45%,26,116,142
"District Judge, 127th Judicial District",0750,264,147,411,720,57.08%,229,158,387
"District Judge, 127th Judicial District",0751,1664,1254,2918,4451,65.56%,1906,867,2773
"District Judge, 127th Judicial District",0752,571,277,848,1511,56.12%,587,210,797
"District Judge, 127th Judicial District",0753,106,61,167,260,64.23%,109,54,163
"District Judge, 127th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0755,1048,896,1944,3569,54.47%,731,1104,1835
"District Judge, 127th Judicial District",0756,582,300,882,1539,57.31%,298,537,835
"District Judge, 127th Judicial District",0757,1416,690,2106,3498,60.21%,337,1701,2038
"District Judge, 127th Judicial District",0758,1996,783,2779,3781,73.50%,2176,430,2606
"District Judge, 127th Judicial District",0759,1109,590,1699,2625,64.72%,1001,594,1595
"District Judge, 127th Judicial District",0760,2346,647,2993,4154,72.05%,2411,418,2829
"District Judge, 127th Judicial District",0761,917,219,1136,1464,77.60%,786,271,1057
"District Judge, 127th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0763,255,308,563,1184,47.55%,190,338,528
"District Judge, 127th Judicial District",0764,2270,1050,3320,4931,67.33%,2062,1110,3172
"District Judge, 127th Judicial District",0765,1390,815,2205,3967,55.58%,767,1339,2106
"District Judge, 127th Judicial District",0766,71,92,163,383,42.56%,37,107,144
"District Judge, 127th Judicial District",0767,20,15,35,90,38.89%,22,10,32
"District Judge, 127th Judicial District",0768,2854,1159,4013,5364,74.81%,3106,740,3846
"District Judge, 127th Judicial District",0769,117,5,122,161,75.78%,5,112,117
"District Judge, 127th Judicial District",0770,58,48,106,262,40.46%,42,58,100
"District Judge, 127th Judicial District",0771,701,537,1238,2378,52.06%,602,563,1165
"District Judge, 127th Judicial District",0772,2927,1002,3929,5617,69.95%,2874,871,3745
"District Judge, 127th Judicial District",0773,892,550,1442,2648,54.46%,350,1006,1356
"District Judge, 127th Judicial District",0774,116,74,190,301,63.12%,42,141,183
"District Judge, 127th Judicial District",0775,33,1,34,83,40.96%,2,31,33
"District Judge, 127th Judicial District",0776,1113,741,1854,2855,64.94%,1056,709,1765
"District Judge, 127th Judicial District",0777,83,123,206,642,32.09%,55,141,196
"District Judge, 127th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0779,295,221,516,1146,45.03%,156,321,477
"District Judge, 127th Judicial District",0780,136,114,250,579,43.18%,107,127,234
"District Judge, 127th Judicial District",0781,1152,655,1807,3716,48.63%,662,960,1622
"District Judge, 127th Judicial District",0782,851,532,1383,2188,63.21%,816,480,1296
"District Judge, 127th Judicial District",0783,103,43,146,265,55.09%,76,59,135
"District Judge, 127th Judicial District",0784,428,156,584,1071,54.53%,8,558,566
"District Judge, 127th Judicial District",0785,66,55,121,310,39.03%,62,57,119
"District Judge, 127th Judicial District",0786,193,277,470,1297,36.24%,145,301,446
"District Judge, 127th Judicial District",0787,154,76,230,487,47.23%,73,140,213
"District Judge, 127th Judicial District",0788,156,58,214,481,44.49%,71,132,203
"District Judge, 127th Judicial District",0789,3,1,4,4,100.00%,0,3,3
"District Judge, 127th Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 127th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0792,549,409,958,1834,52.24%,222,681,903
"District Judge, 127th Judicial District",0793,889,338,1227,2437,50.35%,677,491,1168
"District Judge, 127th Judicial District",0794,575,484,1059,2602,40.70%,78,941,1019
"District Judge, 127th Judicial District",0795,265,255,520,1207,43.08%,150,319,469
"District Judge, 127th Judicial District",0796,145,92,237,485,48.87%,113,110,223
"District Judge, 127th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0798,176,263,439,496,88.51%,124,272,396
"District Judge, 127th Judicial District",0799,65,12,77,146,52.74%,16,58,74
"District Judge, 127th Judicial District",0800,1188,795,1983,2817,70.39%,1294,580,1874
"District Judge, 127th Judicial District",0801,68,55,123,253,48.62%,38,74,112
"District Judge, 127th Judicial District",0802,98,58,156,299,52.17%,30,113,143
"District Judge, 127th Judicial District",0803,1305,530,1935,2718,71.19%,1411,427,1838
"District Judge, 127th Judicial District",0804,1806,960,2766,4348,63.62%,1635,983,2618
"District Judge, 127th Judicial District",0805,1509,529,2038,2812,72.48%,1574,349,1923
"District Judge, 127th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0807,652,402,1054,2001,52.67%,161,847,1008
"District Judge, 127th Judicial District",0808,41,26,67,84,79.76%,28,30,58
"District Judge, 127th Judicial District",0809,216,27,86,31.40%,8,16,24
"District Judge, 127th Judicial District",0810,30,48,78,215,36.28%,21,49,70
"District Judge, 127th Judicial District",0811,39,106,145,271,53.51%,28,107,135
"District Judge, 127th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0813,1967,1258,3225,5423,59.47%,1528,1575,3103
"District Judge, 127th Judicial District",0814,1772,955,2727,4503,60.56%,607,2005,2612
"District Judge, 127th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0816,20,13,33,76,43.42%,5,27,32
"District Judge, 127th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0818,134,101,235,527,44.59%,49,178,227
"District Judge, 127th Judicial District",0819,97,45,142,238,59.66%,86,37,123
"District Judge, 127th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0821,354,203,557,1206,46.19%,42,490,532
"District Judge, 127th Judicial District",0822,584,282,866,1544,56.09%,26,815,841
"District Judge, 127th Judicial District",0823,1849,1015,2864,4710,60.81%,1473,1245,2718
"District Judge, 127th Judicial District",0824,984,471,1455,2729,53.32%,316,1085,1401
"District Judge, 127th Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0826,153,89,242,342,70.76%,125,103,228
"District Judge, 127th Judicial District",0827,169,186,355,997,35.61%,135,203,338
"District Judge, 127th Judicial District",0828,1074,343,1417,1875,75.57%,1114,218,1332
"District Judge, 127th Judicial District",0829,107,56,163,266,61.28%,32,127,159
"District Judge, 127th Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 127th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0832,109,46,155,351,44.16%,44,101,145
"District Judge, 127th Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 127th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0835,87,53,140,292,47.95%,38,95,133
"District Judge, 127th Judicial District",0836,8,3,11,19,57.89%,1,8,9
"District Judge, 127th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0839,353,240,593,1122,52.85%,111,442,553
"District Judge, 127th Judicial District",0840,712,251,963,1621,59.41%,312,609,921
"District Judge, 127th Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 127th Judicial District",0842,987,715,1702,3091,55.06%,729,890,1619
"District Judge, 127th Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 127th Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 127th Judicial District",0845,85,10,95,100,95.00%,55,33,88
"District Judge, 127th Judicial District",0846,70,29,99,210,47.14%,7,89,96
"District Judge, 127th Judicial District",0847,795,321,1116,1804,61.86%,292,775,1067
"District Judge, 127th Judicial District",0848,782,431,1213,1873,64.76%,370,785,1155
"District Judge, 127th Judicial District",0849,553,514,1067,2073,51.47%,339,656,995
"District Judge, 127th Judicial District",0850,87,38,125,205,60.98%,51,69,120
"District Judge, 127th Judicial District",0851,2192,816,3008,4317,69.68%,1935,923,2858
"District Judge, 127th Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 127th Judicial District",0853,1412,605,2017,2773,72.74%,1499,409,1908
"District Judge, 127th Judicial District",0854,41,30,71,175,40.57%,6,63,69
"District Judge, 127th Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 127th Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 127th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 127th Judicial District",0858,132,18,150,372,40.32%,4,141,145
"District Judge, 127th Judicial District",0859,309,201,510,860,59.30%,105,392,497
"District Judge, 127th Judicial District",0860,0,1,1,0,0.00%,1,0,1
"District Judge, 127th Judicial District",0861,705,319,1024,1786,57.33%,178,816,994
"District Judge, 127th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0863,210,69,279,620,45.00%,10,262,272
"District Judge, 127th Judicial District",0864,497,609,1106,2464,44.89%,274,768,1042
"District Judge, 127th Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 127th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0868,573,586,1159,2292,50.57%,348,751,1099
"District Judge, 127th Judicial District",0869,153,76,229,473,48.41%,30,189,219
"District Judge, 127th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 127th Judicial District",0872,13,5,18,66,27.27%,9,7,16
"District Judge, 127th Judicial District",0873,253,125,378,701,53.92%,94,278,372
"District Judge, 127th Judicial District",0874,1534,748,2282,3107,73.45%,1715,454,2169
"District Judge, 127th Judicial District",0875,1719,927,2646,4031,65.64%,1246,1290,2536
"District Judge, 127th Judicial District",0876,1629,639,2268,3013,75.27%,1620,551,2171
"District Judge, 127th Judicial District",0877,1030,542,1672,2480,67.42%,691,927,1618
"District Judge, 127th Judicial District",0878,853,350,1203,1641,73.31%,992,152,1144
"District Judge, 127th Judicial District",0879,890,527,1417,2334,60.71%,653,703,1356
"District Judge, 127th Judicial District",0880,1068,472,1540,2007,76.73%,1143,314,1457
"District Judge, 127th Judicial District",0881,1510,877,2387,3619,65.96%,757,1540,2297
"District Judge, 127th Judicial District",0882,940,457,1397,2328,60.01%,764,572,1336
"District Judge, 127th Judicial District",0883,1918,1042,2960,4651,63.64%,533,2335,2868
"District Judge, 127th Judicial District",0884,118,37,155,330,46.97%,22,128,150
"District Judge, 127th Judicial District",0885,1222,541,1763,2466,71.49%,1035,641,1676
"District Judge, 127th Judicial District",0886,301,154,455,713,63.81%,229,182,411
"District Judge, 127th Judicial District",0887,138,83,221,313,70.61%,121,74,195
"District Judge, 127th Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0889,22,0,22,61,36.07%,12,9,21
"District Judge, 127th Judicial District",0890,319,118,437,994,43.96%,157,253,410
"District Judge, 127th Judicial District",0891,539,392,931,1413,65.89%,355,507,862
"District Judge, 127th Judicial District",0892,193,130,323,696,46.41%,92,206,298
"District Judge, 127th Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 127th Judicial District",0894,0,31,31,0,0.00%,8,20,28
"District Judge, 127th Judicial District",0895,335,325,660,784,84.18%,258,335,593
"District Judge, 127th Judicial District",0896,670,303,973,1437,67.71%,361,529,890
"District Judge, 127th Judicial District",0897,742,375,1117,1624,68.78%,607,458,1065
"District Judge, 127th Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 127th Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 127th Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 127th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0902,865,621,1486,2065,71.96%,830,540,1370
"District Judge, 127th Judicial District",0903,10,1,11,41,26.83%,7,3,10
"District Judge, 127th Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 127th Judicial District",0905,290,168,458,908,50.44%,175,240,415
"District Judge, 127th Judicial District",0906,12,6,18,26,69.23%,8,9,17
"District Judge, 127th Judicial District",0907,60,43,103,134,76.87%,22,79,101
"District Judge, 127th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0909,5,7,12,19,63.16%,6,5,11
"District Judge, 127th Judicial District",0910,55,34,89,226,39.38%,36,45,81
"District Judge, 127th Judicial District",0911,227,79,306,570,53.68%,196,89,285
"District Judge, 127th Judicial District",0912,675,221,896,1235,72.55%,541,289,830
"District Judge, 127th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0914,169,67,236,221,106.79%,177,45,222
"District Judge, 127th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0916,604,182,786,1045,75.22%,636,113,749
"District Judge, 127th Judicial District",0917,280,137,417,481,86.69%,287,97,384
"District Judge, 127th Judicial District",0918,489,135,624,883,70.67%,462,121,583
"District Judge, 127th Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 127th Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 127th Judicial District",0921,71,9,80,87,91.95%,62,17,79
"District Judge, 127th Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 127th Judicial District",0923,663,87,750,826,90.80%,560,161,721
"District Judge, 127th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0926,351,1,20,481,621,77.46%,358,98,456
"District Judge, 127th Judicial District",0927,84,74,158,262,60.31%,78,70,148
"District Judge, 127th Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 127th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0930,200,77,277,567,48.85%,6,263,269
"District Judge, 127th Judicial District",0931,48,53,101,122,82.79%,46,38,84
"District Judge, 127th Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 127th Judicial District",0933,233,1,21,354,566,62.54%,91,247,338
"District Judge, 127th Judicial District",0934,12,1,13,41,31.71%,6,7,13
"District Judge, 127th Judicial District",0935,8,17,25,65,38.46%,14,10,24
"District Judge, 127th Judicial District",0936,12,10,22,70,31.43%,7,12,19
"District Judge, 127th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0938,73,14,87,256,33.98%,27,55,82
"District Judge, 127th Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 127th Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 127th Judicial District",0941,13,9,22,25,88.00%,21,1,22
"District Judge, 127th Judicial District",0942,68,24,92,159,57.86%,73,12,85
"District Judge, 127th Judicial District",0943,296,63,359,536,66.98%,241,86,327
"District Judge, 127th Judicial District",0944,30,6,36,39,92.31%,26,8,34
"District Judge, 127th Judicial District",0945,4,7,11,16,68.75%,1,8,9
"District Judge, 127th Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 127th Judicial District",0947,320,292,612,822,74.45%,308,238,546
"District Judge, 127th Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0949,59,37,96,201,47.76%,42,49,91
"District Judge, 127th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0951,79,44,123,218,56.42%,26,94,120
"District Judge, 127th Judicial District",0952,24,16,40,70,57.14%,18,18,36
"District Judge, 127th Judicial District",0953,59,52,111,420,26.43%,7,103,110
"District Judge, 127th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0955,5,20,25,18,138.89%,15,8,23
"District Judge, 127th Judicial District",0956,5,2,7,12,58.33%,4,3,7
"District Judge, 127th Judicial District",0957,261,115,376,551,68.24%,57,305,362
"District Judge, 127th Judicial District",0958,289,266,555,989,56.12%,120,405,525
"District Judge, 127th Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 127th Judicial District",0960,362,143,505,586,86.18%,135,351,486
"District Judge, 127th Judicial District",0961,23,11,34,53,64.15%,8,26,34
"District Judge, 127th Judicial District",0962,24,13,37,73,50.68%,8,25,33
"District Judge, 127th Judicial District",0963,129,69,198,353,56.09%,106,79,185
"District Judge, 127th Judicial District",0964,945,447,1392,1571,88.61%,833,504,1337
"District Judge, 127th Judicial District",0965,93,27,120,355,33.80%,77,36,113
"District Judge, 127th Judicial District",0966,305,160,465,1073,43.34%,132,307,439
"District Judge, 127th Judicial District",0967,48,15,63,98,64.29%,27,35,62
"District Judge, 127th Judicial District",0968,243,83,326,517,63.06%,64,251,315
"District Judge, 127th Judicial District",0969,335,82,417,584,71.40%,2,401,403
"District Judge, 127th Judicial District",0970,212,76,288,704,40.91%,28,240,268
"District Judge, 127th Judicial District",0971,27,21,48,129,37.21%,2,46,48
"District Judge, 127th Judicial District",0972,10,7,17,29,58.62%,12,5,17
"District Judge, 127th Judicial District",0973,49,24,73,107,68.22%,39,30,69
"District Judge, 127th Judicial District",0974,100,71,171,299,57.19%,108,55,163
"District Judge, 127th Judicial District",0975,72,41,113,170,66.47%,54,51,105
"District Judge, 127th Judicial District",0976,159,131,290,684,42.40%,165,104,269
"District Judge, 127th Judicial District",0977,104,83,187,535,34.95%,67,109,176
"District Judge, 127th Judicial District",0978,201,102,303,506,59.88%,56,238,294
"District Judge, 127th Judicial District",0979,56,11,26,42.31%,10,1,11
"District Judge, 127th Judicial District",0980,595,356,951,1323,71.88%,674,215,889
"District Judge, 127th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0982,534,218,752,1021,73.65%,584,128,712
"District Judge, 127th Judicial District",0983,41,28,69,165,41.82%,39,26,65
"District Judge, 127th Judicial District",0984,43,49,92,198,46.46%,6,83,89
"District Judge, 127th Judicial District",0985,172,67,239,336,71.13%,113,110,223
"District Judge, 127th Judicial District",0986,129,86,215,404,53.22%,19,182,201
"District Judge, 127th Judicial District",0987,465,191,656,1138,57.64%,52,581,633
"District Judge, 127th Judicial District",0988,44,21,65,111,58.56%,52,9,61
"District Judge, 127th Judicial District",0989,18,8,26,36,72.22%,12,13,25
"District Judge, 127th Judicial District",0990,37,15,52,154,33.77%,16,30,46
"District Judge, 127th Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 127th Judicial District",0992,309,202,511,1015,50.34%,288,201,489
"District Judge, 127th Judicial District",0993,272,91,363,551,65.88%,281,59,340
"District Judge, 127th Judicial District",0994,6,5,11,8,137.50%,3,8,11
"District Judge, 127th Judicial District",0995,596,190,786,1269,61.94%,35,719,754
"District Judge, 127th Judicial District",0996,297,125,422,699,60.37%,228,165,393
"District Judge, 127th Judicial District",0997,429,328,757,1439,52.61%,130,601,731
"District Judge, 127th Judicial District",0998,15,9,24,35,68.57%,16,7,23
"District Judge, 127th Judicial District",0999,30,16,46,65,70.77%,36,7,43
"District Judge, 127th Judicial District",1000,105,0,105,458,22.93%,16,81,97
"District Judge, 127th Judicial District",1001,496,294,790,1566,50.45%,153,595,748
"District Judge, 127th Judicial District",1002,464,314,778,1738,44.76%,85,657,742
"District Judge, 127th Judicial District",1003,0,0,0,1,0.00%,0,0,0
"District Judge, 127th Judicial District",1004,224,153,377,656,57.47%,192,138,330
"District Judge, 127th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",1006,3,0,3,5,60.00%,3,0,3
"District Judge, 127th Judicial District",1007,555,295,850,1371,62.00%,199,618,817
"District Judge, 127th Judicial District",1008,86,21,107,150,71.33%,83,18,101
"District Judge, 127th Judicial District",1009,3,1,4,8,50.00%,4,0,4
"District Judge, 127th Judicial District",1010,124,74,198,317,62.46%,29,158,187
"District Judge, 127th Judicial District",1011,12,3,15,29,51.72%,4,8,12
"District Judge, 127th Judicial District",1012,395,318,713,1235,57.73%,199,489,688
"District Judge, 127th Judicial District",1013,8,14,22,60,36.67%,15,7,22
"District Judge, 127th Judicial District",1014,9,7,16,36,44.44%,4,12,16
"District Judge, 127th Judicial District",1015,11,7,18,29,62.07%,4,13,17
"District Judge, 127th Judicial District",1016,591,364,955,1626,58.73%,424,486,910
"District Judge, 127th Judicial District",1017,127,50,177,232,76.29%,47,122,169
"District Judge, 127th Judicial District",1018,209,92,301,468,64.32%,138,153,291
"District Judge, 127th Judicial District",1019,426,4,430,1518,28.33%,15,397,412
"District Judge, 127th Judicial District",1020,0,0,0,1,0.00%,0,0,0
"District Judge, 127th Judicial District",1021,1,0,1,2,50.00%,0,1,1
"District Judge, 127th Judicial District",1022,190,30,220,426,51.64%,171,39,210
"District Judge, 127th Judicial District",1023,894,401,1295,1964,65.94%,821,402,1223
"District Judge, 127th Judicial District",1024,113,77,190,259,73.36%,96,75,171
"District Judge, 127th Judicial District",1025,4,0,4,18,22.22%,1,3,4
"District Judge, 127th Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",1027,0,1,1,1,100.00%,0,0,0
"District Judge, 127th Judicial District",1028,0,1,1,0,0.00%,1,0,1
"District Judge, 127th Judicial District",1029,1021,641,1662,1802,92.23%,1270,297,1567
"District Judge, 127th Judicial District",1030,397,105,502,655,76.64%,429,52,481
"District Judge, 127th Judicial District",1031,3,3,6,6,100.00%,5,1,6
"District Judge, 127th Judicial District",1032,59,80,139,241,57.68%,97,32,129
"District Judge, 127th Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",1034,0,0,0,1,0.00%,0,0,0
"District Judge, 127th Judicial District",1035,24,13,37,139,26.62%,3,33,36
"District Judge, 127th Judicial District",1036,144,46,190,433,43.88%,146,34,180
"District Judge, 127th Judicial District",1037,27,16,43,73,58.90%,22,14,36
"District Judge, 127th Judicial District",1038,133,43,176,266,66.17%,10,163,173
"District Judge, 127th Judicial District",1039,3,5,8,20,40.00%,2,6,8
"District Judge, 127th Judicial District",1040,192,146,338,607,55.68%,183,133,316
"District Judge, 127th Judicial District",1041,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",1042,227,50,277,498,55.62%,81,191,272
"District Judge, 127th Judicial District",1043,12,2,14,31,45.16%,3,11,14
"District Judge, 127th Judicial District",1044,29,5,34,59,57.63%,8,25,33
"District Judge, 127th Judicial District",1045,611,321,932,1439,64.77%,124,780,904
"District Judge, 127th Judicial District",1046,19,18,37,54,68.52%,5,30,35
"District Judge, 127th Judicial District",1047,553,288,851,1242,68.52%,262,555,817
"District Judge, 127th Judicial District",1048,3,1,4,18,22.22%,2,2,4
"District Judge, 127th Judicial District",1049,57,71,128,266,48.12%,40,83,123
"District Judge, 127th Judicial District",1050,148,153,301,506,59.49%,65,223,288
"District Judge, 127th Judicial District",1051,0,12,12,0,0.00%,10,2,12
"District Judge, 127th Judicial District",1052,0,2,2,0,0.00%,1,0,1
"District Judge, 127th Judicial District",1053,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",1054,0,0,0,1,0.00%,0,0,0
