Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0066,172,279,451,1090,41.38%,67,347,414
"Justice, 1st Court of Appeals District, Place 2",0067,665,574,1239,2742,45.19%,258,878,1136
"Justice, 1st Court of Appeals District, Place 2",0068,1199,486,1685,2782,60.57%,29,1598,1627
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0069,218,284,502,1303,38.53%,77,371,448
"Justice, 1st Court of Appeals District, Place 2",0070,1634,726,2360,3142,75.11%,1481,716,2197
"Justice, 1st Court of Appeals District, Place 2",0071,1423,948,2371,3662,64.75%,1230,984,2214
"Justice, 1st Court of Appeals District, Place 2",0072,441,562,1003,1882,53.29%,266,655,921
"Justice, 1st Court of Appeals District, Place 2",0073,500,496,996,1494,66.67%,570,352,922
"Justice, 1st Court of Appeals District, Place 2",0074,2212,530,2742,3632,75.50%,2076,496,2572
"Justice, 1st Court of Appeals District, Place 2",0075,482,370,852,1329,64.11%,354,443,797
"Justice, 1st Court of Appeals District, Place 2",0076,814,569,1383,2328,59.41%,721,573,1294
"Justice, 1st Court of Appeals District, Place 2",0077,168,81,249,565,44.07%,48,183,231
"Justice, 1st Court of Appeals District, Place 2",0078,359,344,703,1479,47.53%,196,431,627
"Justice, 1st Court of Appeals District, Place 2",0079,511,717,1228,2959,41.50%,230,900,1130
"Justice, 1st Court of Appeals District, Place 2",0080,1159,481,1640,2712,60.47%,344,1218,1562
"Justice, 1st Court of Appeals District, Place 2",0081,540,309,849,1839,46.17%,245,549,794
"Justice, 1st Court of Appeals District, Place 2",0082,1353,816,2169,3284,66.05%,1577,497,2074
"Justice, 1st Court of Appeals District, Place 2",0083,2628,1181,3809,5598,68.04%,1767,1899,3666
"Justice, 1st Court of Appeals District, Place 2",0084,444,346,790,1389,56.88%,551,209,760
"Justice, 1st Court of Appeals District, Place 2",0085,730,548,1278,2079,61.47%,26,1208,1234
"Justice, 1st Court of Appeals District, Place 2",0086,1054,689,1743,2637,66.10%,807,807,1614
"Justice, 1st Court of Appeals District, Place 2",0087,1222,861,2083,2749,75.77%,1412,522,1934
"Justice, 1st Court of Appeals District, Place 2",0088,235,162,397,678,58.55%,245,138,383
"Justice, 1st Court of Appeals District, Place 2",0089,343,454,797,1104,72.19%,525,225,750
"Justice, 1st Court of Appeals District, Place 2",0090,1498,958,2456,3571,68.78%,1798,532,2330
"Justice, 1st Court of Appeals District, Place 2",0091,466,333,799,1248,64.02%,486,282,768
"Justice, 1st Court of Appeals District, Place 2",0092,1105,534,1639,2228,73.56%,1127,410,1537
"Justice, 1st Court of Appeals District, Place 2",0093,782,643,1425,3295,43.25%,500,832,1332
"Justice, 1st Court of Appeals District, Place 2",0094,148,104,252,537,46.93%,50,186,236
"Justice, 1st Court of Appeals District, Place 2",0095,1685,671,2356,3179,74.11%,1624,594,2218
"Justice, 1st Court of Appeals District, Place 2",0096,364,237,601,1241,48.43%,56,523,579
"Justice, 1st Court of Appeals District, Place 2",0097,2393,764,3157,4566,69.14%,2272,744,3016
"Justice, 1st Court of Appeals District, Place 2",0098,874,607,1481,2403,61.63%,1190,229,1419
"Justice, 1st Court of Appeals District, Place 2",0099,568,311,879,2040,43.09%,394,446,840
"Justice, 1st Court of Appeals District, Place 2",0100,427,324,751,1754,42.82%,327,391,718
"Justice, 1st Court of Appeals District, Place 2",0101,204,186,390,941,41.45%,87,290,377
"Justice, 1st Court of Appeals District, Place 2",0102,493,268,761,1910,39.84%,189,542,731
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0103,1915,1065,2980,4751,62.72%,1511,1338,2849
"Justice, 1st Court of Appeals District, Place 2",0104,992,238,1230,1847,66.59%,24,1176,1200
"Justice, 1st Court of Appeals District, Place 2",0105,462,453,915,2153,42.50%,227,629,856
"Justice, 1st Court of Appeals District, Place 2",0106,49,37,86,284,30.28%,39,43,82
"Justice, 1st Court of Appeals District, Place 2",0107,412,441,853,1905,44.78%,137,680,817
"Justice, 1st Court of Appeals District, Place 2",0108,1194,514,1708,3229,52.90%,888,736,1624
"Justice, 1st Court of Appeals District, Place 2",0109,1160,430,1590,2884,55.13%,27,1526,1553
"Justice, 1st Court of Appeals District, Place 2",0110,1465,589,2054,2853,71.99%,1210,737,1947
"Justice, 1st Court of Appeals District, Place 2",0111,1868,848,2716,3638,74.66%,1979,587,2566
"Justice, 1st Court of Appeals District, Place 2",0112,1262,668,1930,2894,66.69%,1326,522,1848
"Justice, 1st Court of Appeals District, Place 2",0113,1125,590,1715,2537,67.60%,975,661,1636
"Justice, 1st Court of Appeals District, Place 2",0114,1454,546,2000,2650,75.47%,1535,390,1925
"Justice, 1st Court of Appeals District, Place 2",0115,598,305,903,1764,51.19%,98,780,878
"Justice, 1st Court of Appeals District, Place 2",0116,1626,747,2373,3014,78.73%,1830,423,2253
"Justice, 1st Court of Appeals District, Place 2",0117,398,462,860,1878,45.79%,345,469,814
"Justice, 1st Court of Appeals District, Place 2",0118,460,148,608,743,81.83%,487,91,578
"Justice, 1st Court of Appeals District, Place 2",0119,1924,1265,3189,4892,65.19%,2457,625,3082
"Justice, 1st Court of Appeals District, Place 2",0120,1198,632,1830,2986,61.29%,1086,625,1711
"Justice, 1st Court of Appeals District, Place 2",0121,193,244,437,679,64.36%,280,135,415
"Justice, 1st Court of Appeals District, Place 2",0122,895,349,1244,2199,56.57%,35,1160,1195
"Justice, 1st Court of Appeals District, Place 2",0123,440,350,790,1356,58.26%,249,485,734
"Justice, 1st Court of Appeals District, Place 2",0124,3522,1281,4803,5952,80.70%,3740,851,4591
"Justice, 1st Court of Appeals District, Place 2",0125,896,534,1430,2281,62.69%,815,555,1370
"Justice, 1st Court of Appeals District, Place 2",0126,1630,407,2037,2799,72.78%,1722,224,1946
"Justice, 1st Court of Appeals District, Place 2",0127,854,182,1036,1703,60.83%,710,283,993
"Justice, 1st Court of Appeals District, Place 2",0128,936,736,1672,2257,74.08%,1091,435,1526
"Justice, 1st Court of Appeals District, Place 2",0129,2294,1449,3743,5495,68.12%,2325,1209,3534
"Justice, 1st Court of Appeals District, Place 2",0130,1203,523,1726,2240,77.05%,1281,342,1623
"Justice, 1st Court of Appeals District, Place 2",0131,604,374,978,1721,56.83%,223,716,939
"Justice, 1st Court of Appeals District, Place 2",0132,1119,397,1516,2449,61.90%,30,1435,1465
"Justice, 1st Court of Appeals District, Place 2",0133,1088,940,2028,2605,77.85%,1288,589,1877
"Justice, 1st Court of Appeals District, Place 2",0134,420,392,812,1444,56.23%,347,416,763
"Justice, 1st Court of Appeals District, Place 2",0135,1425,634,2059,2750,74.87%,1362,555,1917
"Justice, 1st Court of Appeals District, Place 2",0136,981,451,1432,2111,67.84%,56,1325,1381
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0137,305,193,498,740,67.30%,266,191,457
"Justice, 1st Court of Appeals District, Place 2",0138,661,259,920,1749,52.60%,22,863,885
"Justice, 1st Court of Appeals District, Place 2",0139,1290,747,2037,2746,74.18%,1029,838,1867
"Justice, 1st Court of Appeals District, Place 2",0140,1315,683,1998,3104,64.37%,304,1592,1896
"Justice, 1st Court of Appeals District, Place 2",0141,181,143,324,872,37.16%,195,110,305
"Justice, 1st Court of Appeals District, Place 2",0142,212,171,383,870,44.02%,98,259,357
"Justice, 1st Court of Appeals District, Place 2",0143,2994,660,3654,4598,79.47%,2552,973,3525
"Justice, 1st Court of Appeals District, Place 2",0144,477,204,681,1143,59.58%,8,654,662
"Justice, 1st Court of Appeals District, Place 2",0145,663,245,908,1580,57.47%,16,877,893
"Justice, 1st Court of Appeals District, Place 2",0146,759,614,1373,1953,70.30%,616,665,1281
"Justice, 1st Court of Appeals District, Place 2",0147,1255,485,1740,2813,61.86%,202,1497,1699
"Justice, 1st Court of Appeals District, Place 2",0148,908,924,1832,2467,74.26%,850,843,1693
"Justice, 1st Court of Appeals District, Place 2",0149,2860,1322,4182,6103,68.52%,1838,2164,4002
"Justice, 1st Court of Appeals District, Place 2",0150,539,207,746,1212,61.55%,17,709,726
