Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0273,1141,634,1775,2426,73.17%,1445,241,1686
"Justice, 1st Court of Appeals District, Place 2",0274,1049,364,1413,2063,68.49%,952,385,1337
"Justice, 1st Court of Appeals District, Place 2",0275,567,410,977,1730,56.47%,162,779,941
"Justice, 1st Court of Appeals District, Place 2",0276,1139,404,1543,2532,60.94%,8,1499,1507
"Justice, 1st Court of Appeals District, Place 2",0277,342,305,647,1473,43.92%,267,358,625
"Justice, 1st Court of Appeals District, Place 2",0278,756,607,1363,2405,56.67%,695,591,1286
"Justice, 1st Court of Appeals District, Place 2",0279,548,383,931,1899,49.03%,541,341,882
"Justice, 1st Court of Appeals District, Place 2",0280,303,360,663,1515,43.76%,219,402,621
"Justice, 1st Court of Appeals District, Place 2",0281,1087,903,1990,2610,76.25%,1016,773,1789
"Justice, 1st Court of Appeals District, Place 2",0282,690,591,1281,1988,64.44%,747,467,1214
"Justice, 1st Court of Appeals District, Place 2",0283,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0284,1136,595,1731,3262,53.07%,655,990,1645
"Justice, 1st Court of Appeals District, Place 2",0285,988,509,1497,2505,59.76%,106,1336,1442
"Justice, 1st Court of Appeals District, Place 2",0286,2658,1053,3711,5719,64.89%,303,3250,3553
"Justice, 1st Court of Appeals District, Place 2",0287,547,542,1189,1616,73.58%,632,484,1116
"Justice, 1st Court of Appeals District, Place 2",0288,1036,380,1416,2259,62.68%,19,1353,1372
"Justice, 1st Court of Appeals District, Place 2",0289,374,397,771,1510,51.06%,299,416,715
"Justice, 1st Court of Appeals District, Place 2",0290,577,429,1006,1567,64.20%,748,225,973
"Justice, 1st Court of Appeals District, Place 2",0291,541,298,839,1203,69.74%,401,384,785
"Justice, 1st Court of Appeals District, Place 2",0292,478,236,714,1272,56.13%,85,603,688
"Justice, 1st Court of Appeals District, Place 2",0293,520,557,1177,1733,67.92%,538,558,1096
"Justice, 1st Court of Appeals District, Place 2",0294,989,298,1287,2107,61.08%,9,1233,1242
"Justice, 1st Court of Appeals District, Place 2",0295,314,189,503,862,58.35%,5,484,489
"Justice, 1st Court of Appeals District, Place 2",0296,602,432,1034,1693,61.08%,570,367,937
"Justice, 1st Court of Appeals District, Place 2",0297,579,445,1024,1978,51.77%,377,578,955
"Justice, 1st Court of Appeals District, Place 2",0298,848,475,1323,2083,63.51%,719,522,1241
"Justice, 1st Court of Appeals District, Place 2",0299,328,213,541,1231,43.95%,172,334,506
"Justice, 1st Court of Appeals District, Place 2",0300,3014,922,3936,5040,78.10%,2986,734,3720
"Justice, 1st Court of Appeals District, Place 2",0301,450,655,1105,2397,46.10%,393,656,1049
"Justice, 1st Court of Appeals District, Place 2",0302,713,635,1348,2724,49.49%,687,583,1270
"Justice, 1st Court of Appeals District, Place 2",0303,1773,755,2528,3172,79.70%,2020,367,2387
"Justice, 1st Court of Appeals District, Place 2",0304,970,648,1618,2266,71.40%,916,568,1484
"Justice, 1st Court of Appeals District, Place 2",0305,1319,858,2177,3621,60.12%,799,1283,2082
"Justice, 1st Court of Appeals District, Place 2",0306,1013,323,1336,1847,72.33%,999,256,1255
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0307,1242,876,2118,2931,72.26%,1471,533,2004
"Justice, 1st Court of Appeals District, Place 2",0308,444,238,682,1266,53.87%,185,463,648
"Justice, 1st Court of Appeals District, Place 2",0309,1385,612,1997,2529,78.96%,1603,278,1881
"Justice, 1st Court of Appeals District, Place 2",0310,519,348,967,1437,67.29%,630,271,901
"Justice, 1st Court of Appeals District, Place 2",0311,862,699,1561,2997,52.09%,670,730,1400
"Justice, 1st Court of Appeals District, Place 2",0312,1600,718,2318,3669,63.18%,1284,904,2188
"Justice, 1st Court of Appeals District, Place 2",0313,22,1,23,60,38.33%,12,8,20
"Justice, 1st Court of Appeals District, Place 2",0314,2494,1221,3715,5225,71.10%,2222,1350,3572
"Justice, 1st Court of Appeals District, Place 2",0315,711,479,1190,1618,73.55%,691,412,1103
"Justice, 1st Court of Appeals District, Place 2",0316,682,411,1093,1522,71.81%,614,396,1010
"Justice, 1st Court of Appeals District, Place 2",0317,552,336,888,1469,60.45%,255,594,849
"Justice, 1st Court of Appeals District, Place 2",0318,1708,611,2319,3531,65.68%,89,2147,2236
"Justice, 1st Court of Appeals District, Place 2",0319,965,290,1255,2081,60.31%,77,1127,1204
"Justice, 1st Court of Appeals District, Place 2",0320,464,300,764,1505,50.76%,323,395,718
"Justice, 1st Court of Appeals District, Place 2",0321,442,305,748,2029,36.87%,246,458,704
"Justice, 1st Court of Appeals District, Place 2",0322,397,237,634,1322,47.96%,159,453,612
"Justice, 1st Court of Appeals District, Place 2",0323,482,332,814,1719,47.35%,332,425,757
"Justice, 1st Court of Appeals District, Place 2",0324,967,718,1685,2339,72.04%,1081,488,1569
"Justice, 1st Court of Appeals District, Place 2",0325,657,397,1054,2251,46.82%,220,782,1002
"Justice, 1st Court of Appeals District, Place 2",0326,202,128,330,678,48.67%,135,170,305
"Justice, 1st Court of Appeals District, Place 2",0327,725,244,970,1751,55.40%,13,919,932
"Justice, 1st Court of Appeals District, Place 2",0328,344,270,614,1361,45.11%,219,363,582
"Justice, 1st Court of Appeals District, Place 2",0329,405,307,712,1367,52.08%,211,456,667
"Justice, 1st Court of Appeals District, Place 2",0330,590,376,966,1849,52.24%,430,475,905
"Justice, 1st Court of Appeals District, Place 2",0331,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 2",0332,23,4,27,128,21.09%,11,14,25
"Justice, 1st Court of Appeals District, Place 2",0333,1018,939,1957,2901,67.46%,1379,480,1859
"Justice, 1st Court of Appeals District, Place 2",0334,255,114,369,755,48.87%,76,281,357
"Justice, 1st Court of Appeals District, Place 2",0335,285,246,531,1227,43.28%,156,321,477
"Justice, 1st Court of Appeals District, Place 2",0336,1820,588,2408,3161,76.18%,205,2126,2331
"Justice, 1st Court of Appeals District, Place 2",0337,310,207,517,951,54.36%,83,420,503
"Justice, 1st Court of Appeals District, Place 2",0338,1541,824,2365,4673,50.61%,634,1574,2208
"Justice, 1st Court of Appeals District, Place 2",0339,369,373,742,1716,43.24%,152,529,681
"Justice, 1st Court of Appeals District, Place 2",0340,1778,833,2611,3717,70.24%,1889,568,2457
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0341,246,316,562,1248,45.03%,139,394,533
"Justice, 1st Court of Appeals District, Place 2",0342,2029,1113,3142,5718,54.95%,434,2613,3047
"Justice, 1st Court of Appeals District, Place 2",0343,436,483,919,1904,48.27%,210,624,834
"Justice, 1st Court of Appeals District, Place 2",0344,395,245,640,1207,53.02%,21,589,610
"Justice, 1st Court of Appeals District, Place 2",0345,428,357,785,1708,45.96%,166,580,746
"Justice, 1st Court of Appeals District, Place 2",0346,1,2,3,1,300.00%,3,0,3
"Justice, 1st Court of Appeals District, Place 2",0347,1250,614,1864,3299,56.50%,1124,658,1782
"Justice, 1st Court of Appeals District, Place 2",0348,751,280,1031,1740,59.25%,722,259,981
"Justice, 1st Court of Appeals District, Place 2",0349,405,407,812,1315,61.75%,466,302,768
"Justice, 1st Court of Appeals District, Place 2",0350,1115,780,1895,2906,65.21%,799,949,1748
"Justice, 1st Court of Appeals District, Place 2",0351,2495,793,3288,4537,72.47%,2575,586,3161
"Justice, 1st Court of Appeals District, Place 2",0352,1152,583,1735,3193,54.34%,1173,491,1664
"Justice, 1st Court of Appeals District, Place 2",0353,1544,703,2247,3697,60.78%,365,1805,2170
"Justice, 1st Court of Appeals District, Place 2",0354,1476,517,1993,3193,62.42%,438,1469,1907
"Justice, 1st Court of Appeals District, Place 2",0355,701,286,987,1384,71.32%,85,873,958
"Justice, 1st Court of Appeals District, Place 2",0356,1382,618,2000,2836,70.52%,1158,712,1870
"Justice, 1st Court of Appeals District, Place 2",0357,1633,709,2342,3371,69.47%,1695,531,2226
"Justice, 1st Court of Appeals District, Place 2",0358,740,464,1204,2297,52.42%,92,1071,1163
"Justice, 1st Court of Appeals District, Place 2",0359,706,482,1188,3008,39.49%,92,1050,1142
"Justice, 1st Court of Appeals District, Place 2",0360,971,515,1486,2190,67.85%,814,542,1356
"Justice, 1st Court of Appeals District, Place 2",0361,135,691,826,1585,52.11%,162,546,708
"Justice, 1st Court of Appeals District, Place 2",0362,2131,1200,3331,4952,67.27%,2365,793,3158
"Justice, 1st Court of Appeals District, Place 2",0363,1347,687,2034,3291,61.80%,872,1090,1962
"Justice, 1st Court of Appeals District, Place 2",0364,912,602,1514,2539,59.63%,755,683,1438
"Justice, 1st Court of Appeals District, Place 2",0365,735,245,980,1302,75.27%,92,858,950
"Justice, 1st Court of Appeals District, Place 2",0366,638,466,1104,2089,52.85%,225,836,1061
"Justice, 1st Court of Appeals District, Place 2",0367,328,212,540,1019,52.99%,97,426,523
"Justice, 1st Court of Appeals District, Place 2",0368,418,143,561,929,60.39%,145,399,544
"Justice, 1st Court of Appeals District, Place 2",0369,107,53,160,490,32.65%,59,95,154
"Justice, 1st Court of Appeals District, Place 2",0370,3144,1178,4322,5781,74.76%,3217,918,4135
"Justice, 1st Court of Appeals District, Place 2",0371,226,69,295,475,62.11%,6,282,288
"Justice, 1st Court of Appeals District, Place 2",0372,498,231,729,1215,60.00%,85,616,701
"Justice, 1st Court of Appeals District, Place 2",0373,61,16,77,159,48.43%,1,75,76
"Justice, 1st Court of Appeals District, Place 2",0374,139,187,326,748,43.58%,96,212,308
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0375,577,524,1101,2607,42.23%,435,606,1041
"Justice, 1st Court of Appeals District, Place 2",0376,629,334,963,1916,50.26%,382,514,896
"Justice, 1st Court of Appeals District, Place 2",0377,1055,707,1762,2871,61.37%,1294,361,1655
"Justice, 1st Court of Appeals District, Place 2",0378,559,521,1080,1777,60.78%,658,376,1034
"Justice, 1st Court of Appeals District, Place 2",0379,801,338,1139,2017,56.47%,82,1009,1091
"Justice, 1st Court of Appeals District, Place 2",0380,2502,1183,3685,4753,77.53%,2060,1459,3519
"Justice, 1st Court of Appeals District, Place 2",0381,957,424,1381,2715,50.87%,547,774,1321
"Justice, 1st Court of Appeals District, Place 2",0382,276,231,507,841,60.29%,343,145,488
"Justice, 1st Court of Appeals District, Place 2",0383,599,493,1092,2076,52.60%,325,711,1036
"Justice, 1st Court of Appeals District, Place 2",0384,1173,505,1678,2596,64.64%,322,1294,1616
"Justice, 1st Court of Appeals District, Place 2",0385,1099,621,1720,2175,79.08%,1311,288,1599
"Justice, 1st Court of Appeals District, Place 2",0386,1464,460,1924,2872,66.99%,1349,498,1847
"Justice, 1st Court of Appeals District, Place 2",0387,1369,802,2171,3727,58.25%,1437,633,2070
"Justice, 1st Court of Appeals District, Place 2",0388,2780,1222,4002,5329,75.10%,2214,1628,3842
"Justice, 1st Court of Appeals District, Place 2",0389,285,261,546,975,56.00%,88,425,513
"Justice, 1st Court of Appeals District, Place 2",0390,644,368,1012,1565,64.66%,129,841,970
"Justice, 1st Court of Appeals District, Place 2",0391,856,355,1211,1805,67.09%,779,371,1150
"Justice, 1st Court of Appeals District, Place 2",0392,737,197,934,1441,64.82%,4,908,912
"Justice, 1st Court of Appeals District, Place 2",0393,346,318,664,1206,55.06%,288,336,624
"Justice, 1st Court of Appeals District, Place 2",0394,166,176,342,860,39.77%,130,191,321
"Justice, 1st Court of Appeals District, Place 2",0395,830,491,1321,1820,72.58%,906,331,1237
"Justice, 1st Court of Appeals District, Place 2",0396,1157,219,1376,2073,66.38%,12,1326,1338
"Justice, 1st Court of Appeals District, Place 2",0397,163,148,311,750,41.47%,116,171,287
"Justice, 1st Court of Appeals District, Place 2",0398,1439,840,2279,3816,59.72%,1090,1094,2184
"Justice, 1st Court of Appeals District, Place 2",0399,897,593,1490,2542,58.62%,721,721,1442
"Justice, 1st Court of Appeals District, Place 2",0400,1051,506,1557,2238,69.57%,1103,376,1479
"Justice, 1st Court of Appeals District, Place 2",0401,723,284,1007,1876,53.68%,43,938,981
"Justice, 1st Court of Appeals District, Place 2",0402,892,245,1137,1737,65.46%,49,1059,1108
"Justice, 1st Court of Appeals District, Place 2",0403,791,527,1318,1703,77.39%,765,439,1204
"Justice, 1st Court of Appeals District, Place 2",0404,778,552,1330,2589,51.37%,668,601,1269
"Justice, 1st Court of Appeals District, Place 2",0405,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",0406,281,72,353,610,57.87%,6,330,336
"Justice, 1st Court of Appeals District, Place 2",0407,1317,1000,2317,3652,63.44%,1442,718,2160
"Justice, 1st Court of Appeals District, Place 2",0408,154,179,333,933,35.69%,135,174,309
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0409,277,289,566,1371,41.28%,169,360,529
"Justice, 1st Court of Appeals District, Place 2",0410,337,102,439,849,51.71%,78,348,426
"Justice, 1st Court of Appeals District, Place 2",0411,542,462,1004,2302,43.61%,283,656,939
"Justice, 1st Court of Appeals District, Place 2",0412,193,74,267,433,61.66%,13,246,259
"Justice, 1st Court of Appeals District, Place 2",0413,1493,525,2018,3023,66.75%,741,1171,1912
"Justice, 1st Court of Appeals District, Place 2",0414,1452,593,2045,3457,59.16%,1426,490,1916
"Justice, 1st Court of Appeals District, Place 2",0415,950,633,1583,2124,74.53%,1085,403,1488
"Justice, 1st Court of Appeals District, Place 2",0416,1177,916,2093,3582,58.43%,1065,906,1971
"Justice, 1st Court of Appeals District, Place 2",0417,777,619,1396,2465,56.63%,601,720,1321
"Justice, 1st Court of Appeals District, Place 2",0418,1057,758,1815,3420,53.07%,646,1078,1724
"Justice, 1st Court of Appeals District, Place 2",0419,1006,578,1584,2697,58.73%,1006,511,1517
"Justice, 1st Court of Appeals District, Place 2",0420,2174,1089,3263,4639,70.34%,2590,513,3103
"Justice, 1st Court of Appeals District, Place 2",0421,124,92,216,467,46.25%,44,161,205
"Justice, 1st Court of Appeals District, Place 2",0422,1456,585,2041,3345,61.02%,40,1939,1979
"Justice, 1st Court of Appeals District, Place 2",0423,190,309,499,894,55.82%,196,271,467
"Justice, 1st Court of Appeals District, Place 2",0424,435,1,57,592,888,66.67%,340,234,574
"Justice, 1st Court of Appeals District, Place 2",0425,227,234,461,875,52.69%,143,289,432
"Justice, 1st Court of Appeals District, Place 2",0426,415,283,698,1224,57.03%,379,266,645
"Justice, 1st Court of Appeals District, Place 2",0427,325,249,574,1115,51.48%,208,329,537
"Justice, 1st Court of Appeals District, Place 2",0428,1284,907,2191,4316,50.76%,625,1418,2043
"Justice, 1st Court of Appeals District, Place 2",0429,1093,777,1870,3929,47.59%,342,1379,1721
"Justice, 1st Court of Appeals District, Place 2",0430,405,335,740,1654,44.74%,147,538,685
"Justice, 1st Court of Appeals District, Place 2",0431,820,403,1223,3188,38.36%,310,842,1152
"Justice, 1st Court of Appeals District, Place 2",0432,312,271,583,1344,43.38%,159,399,558
"Justice, 1st Court of Appeals District, Place 2",0433,139,106,245,573,42.76%,44,187,231
"Justice, 1st Court of Appeals District, Place 2",0434,628,371,999,1386,72.08%,638,298,936
"Justice, 1st Court of Appeals District, Place 2",0435,1534,768,2302,3097,74.33%,1512,640,2152
"Justice, 1st Court of Appeals District, Place 2",0436,1334,709,2043,3012,67.83%,1225,671,1896
"Justice, 1st Court of Appeals District, Place 2",0437,951,542,1493,2007,74.39%,1059,340,1399
"Justice, 1st Court of Appeals District, Place 2",0438,1046,387,1433,1802,79.52%,1070,253,1323
"Justice, 1st Court of Appeals District, Place 2",0439,1526,905,2431,3416,71.17%,1732,540,2272
"Justice, 1st Court of Appeals District, Place 2",0440,1326,876,2202,2867,76.81%,1723,321,2044
"Justice, 1st Court of Appeals District, Place 2",0441,698,513,1211,1616,74.94%,893,238,1131
"Justice, 1st Court of Appeals District, Place 2",0442,1366,513,1879,2504,75.04%,1515,281,1796
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0443,335,148,483,605,79.83%,350,99,449
"Justice, 1st Court of Appeals District, Place 2",0444,1258,731,1989,3172,62.70%,1192,662,1854
"Justice, 1st Court of Appeals District, Place 2",0445,860,443,1303,1938,67.23%,790,434,1224
"Justice, 1st Court of Appeals District, Place 2",0446,70,52,122,268,45.52%,44,69,113
"Justice, 1st Court of Appeals District, Place 2",0447,271,108,379,583,65.01%,120,232,352
"Justice, 1st Court of Appeals District, Place 2",0448,1239,869,2108,3081,68.42%,1223,727,1950
"Justice, 1st Court of Appeals District, Place 2",0449,62,37,99,164,60.37%,12,81,93
"Justice, 1st Court of Appeals District, Place 2",0450,856,537,1393,2622,53.13%,348,986,1334
"Justice, 1st Court of Appeals District, Place 2",0451,1575,515,2090,2674,78.16%,1677,323,2000
"Justice, 1st Court of Appeals District, Place 2",0452,1109,639,1748,2810,62.21%,1269,416,1685
"Justice, 1st Court of Appeals District, Place 2",0453,559,475,1034,1885,54.85%,333,632,965
"Justice, 1st Court of Appeals District, Place 2",0454,1227,311,1538,2571,59.82%,10,1482,1492
"Justice, 1st Court of Appeals District, Place 2",0455,748,216,964,1679,57.42%,28,902,930
"Justice, 1st Court of Appeals District, Place 2",0456,1266,593,1859,3350,55.49%,949,810,1759
"Justice, 1st Court of Appeals District, Place 2",0457,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0458,909,271,1180,1893,62.33%,50,1086,1136
"Justice, 1st Court of Appeals District, Place 2",0459,1637,476,2113,2950,71.63%,1628,376,2004
"Justice, 1st Court of Appeals District, Place 2",0460,1250,402,1652,2346,70.42%,417,1171,1588
"Justice, 1st Court of Appeals District, Place 2",0461,1959,828,2787,3733,74.66%,1817,759,2576
"Justice, 1st Court of Appeals District, Place 2",0462,1319,865,2184,3367,64.86%,769,1275,2044
"Justice, 1st Court of Appeals District, Place 2",0463,1124,656,1780,2962,60.09%,697,998,1695
"Justice, 1st Court of Appeals District, Place 2",0464,787,612,1399,2126,65.80%,933,396,1329
"Justice, 1st Court of Appeals District, Place 2",0465,1465,702,2167,3343,64.82%,1112,993,2105
"Justice, 1st Court of Appeals District, Place 2",0466,2052,729,2781,4072,68.30%,1530,1142,2672
"Justice, 1st Court of Appeals District, Place 2",0467,478,229,707,1230,57.48%,169,505,674
"Justice, 1st Court of Appeals District, Place 2",0468,985,793,1778,3354,53.01%,492,1192,1684
"Justice, 1st Court of Appeals District, Place 2",0469,2039,638,2677,3779,70.84%,2060,484,2544
"Justice, 1st Court of Appeals District, Place 2",0470,443,323,766,1349,56.78%,520,204,724
"Justice, 1st Court of Appeals District, Place 2",0471,792,597,1389,2349,59.13%,1047,286,1333
"Justice, 1st Court of Appeals District, Place 2",0472,371,337,708,1027,68.94%,355,295,650
"Justice, 1st Court of Appeals District, Place 2",0473,914,442,1356,1827,74.22%,924,347,1271
"Justice, 1st Court of Appeals District, Place 2",0474,1146,766,1912,3006,63.61%,1301,508,1809
"Justice, 1st Court of Appeals District, Place 2",0475,485,473,958,1651,58.03%,405,495,900
"Justice, 1st Court of Appeals District, Place 2",0476,809,658,1467,2412,60.82%,821,580,1401
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0477,1441,742,2183,3195,68.33%,1612,479,2091
"Justice, 1st Court of Appeals District, Place 2",0478,1959,898,2857,4150,68.84%,1826,882,2708
"Justice, 1st Court of Appeals District, Place 2",0479,1298,588,1886,2648,71.22%,1356,450,1806
"Justice, 1st Court of Appeals District, Place 2",0480,936,555,1491,2267,65.77%,1017,394,1411
"Justice, 1st Court of Appeals District, Place 2",0481,1464,852,2316,3298,70.22%,1677,526,2203
"Justice, 1st Court of Appeals District, Place 2",0482,1964,836,2800,4129,67.81%,1894,793,2687
"Justice, 1st Court of Appeals District, Place 2",0483,1868,759,2627,4141,63.44%,1380,1118,2498
"Justice, 1st Court of Appeals District, Place 2",0484,2237,1008,3245,4594,70.64%,2261,842,3103
"Justice, 1st Court of Appeals District, Place 2",0485,2421,990,3411,4838,70.50%,2480,807,3287
"Justice, 1st Court of Appeals District, Place 2",0486,1843,805,2648,3572,74.13%,2046,484,2530
"Justice, 1st Court of Appeals District, Place 2",0487,1005,612,1617,3318,48.73%,461,1027,1488
"Justice, 1st Court of Appeals District, Place 2",0488,580,440,1020,1713,59.54%,326,620,946
"Justice, 1st Court of Appeals District, Place 2",0489,784,378,1162,1823,63.74%,325,765,1090
"Justice, 1st Court of Appeals District, Place 2",0490,877,439,1316,1944,67.70%,481,760,1241
"Justice, 1st Court of Appeals District, Place 2",0491,667,489,1156,1782,64.87%,657,421,1078
"Justice, 1st Court of Appeals District, Place 2",0492,1070,504,1574,2351,66.95%,814,655,1469
"Justice, 1st Court of Appeals District, Place 2",0493,858,400,1258,1804,69.73%,799,378,1177
"Justice, 1st Court of Appeals District, Place 2",0494,761,431,1192,2176,54.78%,142,1010,1152
"Justice, 1st Court of Appeals District, Place 2",0495,1120,494,1614,2284,70.67%,1115,411,1526
"Justice, 1st Court of Appeals District, Place 2",0496,496,571,1067,2086,51.15%,384,619,1003
"Justice, 1st Court of Appeals District, Place 2",0497,1124,303,1427,2226,64.11%,48,1328,1376
"Justice, 1st Court of Appeals District, Place 2",0498,759,499,1258,2123,59.26%,514,688,1202
"Justice, 1st Court of Appeals District, Place 2",0499,1301,517,1818,2304,78.91%,1318,396,1714
"Justice, 1st Court of Appeals District, Place 2",0500,1507,746,2253,3175,70.96%,1506,643,2149
"Justice, 1st Court of Appeals District, Place 2",0501,653,487,1140,1647,69.22%,449,602,1051
"Justice, 1st Court of Appeals District, Place 2",0502,1151,332,1483,2364,62.73%,1111,301,1412
"Justice, 1st Court of Appeals District, Place 2",0503,359,273,632,1363,46.37%,184,398,582
"Justice, 1st Court of Appeals District, Place 2",0504,1129,538,1667,2197,75.88%,1111,464,1575
"Justice, 1st Court of Appeals District, Place 2",0505,1209,829,2038,3654,55.77%,879,1021,1900
"Justice, 1st Court of Appeals District, Place 2",0506,1471,801,2272,3380,67.22%,367,1823,2190
"Justice, 1st Court of Appeals District, Place 2",0507,582,385,967,2435,39.71%,148,690,838
"Justice, 1st Court of Appeals District, Place 2",0508,946,760,1706,3248,52.52%,549,1021,1570
"Justice, 1st Court of Appeals District, Place 2",0509,1340,864,2204,3536,62.33%,1518,585,2103
"Justice, 1st Court of Appeals District, Place 2",0510,1492,682,2174,3511,61.92%,955,1096,2051
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0511,0,6,6,0,0.00%,1,5,6
"Justice, 1st Court of Appeals District, Place 2",0512,1560,1127,2687,4582,58.64%,1183,1392,2575
"Justice, 1st Court of Appeals District, Place 2",0513,1605,507,2112,2752,76.74%,1573,428,2001
"Justice, 1st Court of Appeals District, Place 2",0514,1967,860,2827,3941,71.73%,2036,671,2707
"Justice, 1st Court of Appeals District, Place 2",0515,1692,708,2400,3173,75.64%,1893,392,2285
"Justice, 1st Court of Appeals District, Place 2",0516,2179,1066,3245,4934,65.77%,1548,1524,3072
"Justice, 1st Court of Appeals District, Place 2",0517,1208,653,1861,3320,56.05%,941,816,1757
"Justice, 1st Court of Appeals District, Place 2",0518,1478,919,2397,3755,63.83%,1448,821,2269
"Justice, 1st Court of Appeals District, Place 2",0519,1234,645,1879,2951,63.67%,1324,483,1807
"Justice, 1st Court of Appeals District, Place 2",0520,1542,857,2399,4064,59.03%,370,1938,2308
"Justice, 1st Court of Appeals District, Place 2",0521,1014,694,1708,2725,62.68%,846,785,1631
"Justice, 1st Court of Appeals District, Place 2",0522,1171,658,1829,2682,68.20%,1355,382,1737
"Justice, 1st Court of Appeals District, Place 2",0523,1339,689,2028,3060,66.27%,1316,580,1896
"Justice, 1st Court of Appeals District, Place 2",0524,1238,675,1913,3292,58.11%,553,1278,1831
"Justice, 1st Court of Appeals District, Place 2",0525,1381,610,1991,2947,67.56%,397,1496,1893
"Justice, 1st Court of Appeals District, Place 2",0526,167,171,338,731,46.24%,83,238,321
"Justice, 1st Court of Appeals District, Place 2",0527,80,24,104,569,18.28%,45,54,99
"Justice, 1st Court of Appeals District, Place 2",0528,36,12,48,92,52.17%,3,44,47
"Justice, 1st Court of Appeals District, Place 2",0529,1988,441,2429,3616,67.17%,1986,344,2330
"Justice, 1st Court of Appeals District, Place 2",0530,259,235,494,1196,41.30%,109,348,457
"Justice, 1st Court of Appeals District, Place 2",0531,672,113,785,1094,71.76%,589,155,744
"Justice, 1st Court of Appeals District, Place 2",0532,452,184,636,1039,61.21%,415,198,613
"Justice, 1st Court of Appeals District, Place 2",0533,317,207,524,1069,49.02%,254,243,497
"Justice, 1st Court of Appeals District, Place 2",0534,1658,675,2333,3795,61.48%,1650,581,2231
"Justice, 1st Court of Appeals District, Place 2",0535,80,94,174,421,41.33%,61,99,160
"Justice, 1st Court of Appeals District, Place 2",0536,1332,1195,2527,4576,55.22%,906,1502,2408
"Justice, 1st Court of Appeals District, Place 2",0537,1454,823,2277,2971,76.64%,1648,517,2165
"Justice, 1st Court of Appeals District, Place 2",0538,433,237,670,1282,52.26%,23,627,650
"Justice, 1st Court of Appeals District, Place 2",0539,26,209,235,71,330.99%,49,163,212
"Justice, 1st Court of Appeals District, Place 2",0540,666,380,1046,1491,70.15%,485,471,956
"Justice, 1st Court of Appeals District, Place 2",0541,1826,779,2605,4183,62.28%,346,2149,2495
"Justice, 1st Court of Appeals District, Place 2",0542,997,501,1498,2525,59.33%,83,1369,1452
"Justice, 1st Court of Appeals District, Place 2",0543,287,378,665,1528,43.52%,196,433,629
"Justice, 1st Court of Appeals District, Place 2",0544,92,53,145,318,45.60%,15,123,138
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0545,1314,857,2171,3339,65.02%,1009,1050,2059
"Justice, 1st Court of Appeals District, Place 2",0546,4,4,8,30,26.67%,2,6,8
"Justice, 1st Court of Appeals District, Place 2",0547,877,647,1524,2408,63.29%,1016,434,1450
"Justice, 1st Court of Appeals District, Place 2",0548,720,476,1196,2129,56.18%,524,622,1146
"Justice, 1st Court of Appeals District, Place 2",0549,944,586,1530,2530,60.47%,205,1269,1474
"Justice, 1st Court of Appeals District, Place 2",0550,1134,629,1763,2847,61.92%,856,853,1709
"Justice, 1st Court of Appeals District, Place 2",0551,3088,1527,4615,6135,75.22%,3281,1119,4400
"Justice, 1st Court of Appeals District, Place 2",0552,1621,844,2465,3241,76.06%,2005,356,2361
