Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0328,344,270,614,1361,45.11%,227,358,585
"District Judge, 125th Judicial District",0329,405,307,712,1367,52.08%,214,447,661
"District Judge, 125th Judicial District",0330,590,376,966,1849,52.24%,432,467,899
"District Judge, 125th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 125th Judicial District",0332,23,4,27,128,21.09%,12,13,25
"District Judge, 125th Judicial District",0333,1018,939,1957,2901,67.46%,1356,485,1841
"District Judge, 125th Judicial District",0334,255,114,369,755,48.87%,72,282,354
"District Judge, 125th Judicial District",0335,285,246,531,1227,43.28%,153,324,477
"District Judge, 125th Judicial District",0336,1818,588,2406,3161,76.12%,203,2120,2323
"District Judge, 125th Judicial District",0337,309,207,516,951,54.26%,81,420,501
"District Judge, 125th Judicial District",0338,1540,824,2364,4673,50.59%,637,1573,2210
"District Judge, 125th Judicial District",0339,369,373,742,1716,43.24%,150,527,677
"District Judge, 125th Judicial District",0340,1778,833,2611,3717,70.24%,1879,571,2450
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0341,246,316,562,1248,45.03%,139,398,537
"District Judge, 125th Judicial District",0342,2029,1113,3142,5718,54.95%,428,2613,3041
"District Judge, 125th Judicial District",0343,436,483,919,1904,48.27%,216,614,830
"District Judge, 125th Judicial District",0344,395,245,640,1207,53.02%,22,590,612
"District Judge, 125th Judicial District",0345,428,357,785,1708,45.96%,159,583,742
"District Judge, 125th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 125th Judicial District",0347,1250,614,1864,3299,56.50%,1130,647,1777
"District Judge, 125th Judicial District",0348,751,280,1031,1740,59.25%,717,259,976
"District Judge, 125th Judicial District",0349,405,407,812,1315,61.75%,456,307,763
"District Judge, 125th Judicial District",0350,1112,780,1892,2906,65.11%,790,947,1737
"District Judge, 125th Judicial District",0351,2495,793,3288,4537,72.47%,2562,595,3157
"District Judge, 125th Judicial District",0352,1151,583,1734,3193,54.31%,1150,501,1651
"District Judge, 125th Judicial District",0353,1544,703,2247,3697,60.78%,369,1784,2153
"District Judge, 125th Judicial District",0354,1476,517,1993,3193,62.42%,434,1470,1904
"District Judge, 125th Judicial District",0355,700,286,986,1384,71.24%,88,865,953
"District Judge, 125th Judicial District",0356,1382,618,2000,2836,70.52%,1150,709,1859
"District Judge, 125th Judicial District",0357,1633,709,2342,3371,69.47%,1687,530,2217
"District Judge, 125th Judicial District",0358,740,464,1204,2297,52.42%,85,1074,1159
"District Judge, 125th Judicial District",0359,706,482,1188,3008,39.49%,90,1054,1144
"District Judge, 125th Judicial District",0360,969,515,1484,2190,67.76%,788,546,1334
"District Judge, 125th Judicial District",0361,135,691,826,1585,52.11%,143,552,695
"District Judge, 125th Judicial District",0362,2131,1200,3331,4952,67.27%,2361,786,3147
"District Judge, 125th Judicial District",0363,1346,687,2033,3291,61.77%,878,1083,1961
"District Judge, 125th Judicial District",0364,912,602,1514,2539,59.63%,759,676,1435
"District Judge, 125th Judicial District",0365,734,245,979,1302,75.19%,82,865,947
"District Judge, 125th Judicial District",0366,638,466,1104,2089,52.85%,234,827,1061
"District Judge, 125th Judicial District",0367,328,212,540,1019,52.99%,93,426,519
"District Judge, 125th Judicial District",0368,418,143,561,929,60.39%,136,408,544
"District Judge, 125th Judicial District",0369,107,53,160,490,32.65%,62,92,154
"District Judge, 125th Judicial District",0370,3143,1178,4321,5781,74.74%,3182,936,4118
"District Judge, 125th Judicial District",0371,226,69,295,475,62.11%,6,281,287
"District Judge, 125th Judicial District",0372,498,231,729,1215,60.00%,78,615,693
"District Judge, 125th Judicial District",0373,61,16,77,159,48.43%,1,75,76
"District Judge, 125th Judicial District",0374,139,187,326,748,43.58%,94,213,307
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0375,577,524,1101,2607,42.23%,431,608,1039
"District Judge, 125th Judicial District",0376,629,334,963,1916,50.26%,383,520,903
"District Judge, 125th Judicial District",0377,1055,707,1762,2871,61.37%,1274,369,1643
"District Judge, 125th Judicial District",0378,559,521,1080,1777,60.78%,656,373,1029
"District Judge, 125th Judicial District",0379,800,338,1138,2017,56.42%,81,1007,1088
"District Judge, 125th Judicial District",0380,2500,1183,3683,4753,77.49%,2036,1456,3492
"District Judge, 125th Judicial District",0381,957,424,1381,2715,50.87%,540,772,1312
"District Judge, 125th Judicial District",0382,276,231,507,841,60.29%,343,142,485
"District Judge, 125th Judicial District",0383,599,493,1092,2076,52.60%,328,712,1040
"District Judge, 125th Judicial District",0384,1172,505,1677,2596,64.60%,332,1271,1603
"District Judge, 125th Judicial District",0385,1099,621,1720,2175,79.08%,1304,290,1594
"District Judge, 125th Judicial District",0386,1464,460,1924,2872,66.99%,1343,491,1834
"District Judge, 125th Judicial District",0387,1369,802,2171,3727,58.25%,1427,626,2053
"District Judge, 125th Judicial District",0388,2780,1222,4002,5329,75.10%,2191,1633,3824
"District Judge, 125th Judicial District",0389,283,261,544,975,55.79%,83,420,503
"District Judge, 125th Judicial District",0390,644,368,1012,1565,64.66%,118,845,963
"District Judge, 125th Judicial District",0391,856,355,1211,1805,67.09%,769,371,1140
"District Judge, 125th Judicial District",0392,737,197,934,1441,64.82%,7,906,913
"District Judge, 125th Judicial District",0393,346,318,664,1206,55.06%,276,345,621
"District Judge, 125th Judicial District",0394,166,176,342,860,39.77%,129,192,321
"District Judge, 125th Judicial District",0395,830,491,1321,1820,72.58%,899,327,1226
"District Judge, 125th Judicial District",0396,1157,219,1376,2073,66.38%,12,1322,1334
"District Judge, 125th Judicial District",0397,163,148,311,750,41.47%,120,166,286
"District Judge, 125th Judicial District",0398,1438,840,2278,3816,59.70%,1087,1093,2180
"District Judge, 125th Judicial District",0399,896,593,1489,2542,58.58%,714,714,1428
"District Judge, 125th Judicial District",0400,1048,506,1554,2238,69.44%,1105,359,1464
"District Judge, 125th Judicial District",0401,723,284,1007,1876,53.68%,41,937,978
"District Judge, 125th Judicial District",0402,891,245,1136,1737,65.40%,51,1053,1104
"District Judge, 125th Judicial District",0403,791,527,1318,1703,77.39%,733,453,1186
"District Judge, 125th Judicial District",0404,778,552,1330,2589,51.37%,660,598,1258
"District Judge, 125th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 125th Judicial District",0406,281,72,353,610,57.87%,7,331,338
"District Judge, 125th Judicial District",0407,1317,1000,2317,3652,63.44%,1438,714,2152
"District Judge, 125th Judicial District",0408,154,179,333,933,35.69%,133,179,312
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0409,277,289,566,1371,41.28%,167,361,528
"District Judge, 125th Judicial District",0410,337,102,439,849,51.71%,76,349,425
"District Judge, 125th Judicial District",0411,542,462,1004,2302,43.61%,281,652,933
"District Judge, 125th Judicial District",0412,193,74,267,433,61.66%,11,248,259
"District Judge, 125th Judicial District",0413,1493,525,2018,3023,66.75%,730,1167,1897
"District Judge, 125th Judicial District",0414,1452,593,2045,3457,59.16%,1410,493,1903
"District Judge, 125th Judicial District",0415,950,633,1583,2124,74.53%,1069,408,1477
"District Judge, 125th Judicial District",0416,1174,916,2090,3582,58.35%,1049,917,1966
"District Judge, 125th Judicial District",0417,777,619,1396,2465,56.63%,598,714,1312
"District Judge, 125th Judicial District",0418,1057,758,1815,3420,53.07%,645,1071,1716
"District Judge, 125th Judicial District",0419,1006,578,1584,2697,58.73%,977,519,1496
"District Judge, 125th Judicial District",0420,2174,1089,3263,4639,70.34%,2563,517,3080
"District Judge, 125th Judicial District",0421,124,92,216,467,46.25%,44,164,208
"District Judge, 125th Judicial District",0422,1456,585,2041,3345,61.02%,40,1940,1980
"District Judge, 125th Judicial District",0423,190,309,499,894,55.82%,196,267,463
"District Judge, 125th Judicial District",0424,435,157,592,888,66.67%,340,231,571
"District Judge, 125th Judicial District",0425,227,234,461,875,52.69%,143,288,431
"District Judge, 125th Judicial District",0426,415,283,698,1224,57.03%,381,260,641
"District Judge, 125th Judicial District",0427,325,249,574,1115,51.48%,203,330,533
"District Judge, 125th Judicial District",0428,1284,907,2191,4316,50.76%,625,1416,2041
"District Judge, 125th Judicial District",0429,1091,777,1868,3929,47.54%,331,1393,1724
"District Judge, 125th Judicial District",0430,403,335,738,1654,44.62%,145,532,677
"District Judge, 125th Judicial District",0431,819,403,1222,3188,38.33%,308,834,1142
"District Judge, 125th Judicial District",0432,311,271,582,1344,43.30%,156,397,553
"District Judge, 125th Judicial District",0433,139,106,245,573,42.76%,41,191,232
"District Judge, 125th Judicial District",0434,628,371,999,1386,72.08%,629,303,932
"District Judge, 125th Judicial District",0435,1534,768,2302,3097,74.33%,1499,642,2141
"District Judge, 125th Judicial District",0436,1334,709,2043,3012,67.83%,1201,690,1891
"District Judge, 125th Judicial District",0437,951,542,1493,2007,74.39%,1047,344,1391
"District Judge, 125th Judicial District",0438,1046,387,1433,1802,79.52%,1042,263,1305
"District Judge, 125th Judicial District",0439,1526,905,2431,3416,71.17%,1708,551,2259
"District Judge, 125th Judicial District",0440,1326,876,2202,2867,76.81%,1706,320,2026
"District Judge, 125th Judicial District",0441,698,513,1211,1616,74.94%,882,251,1133
"District Judge, 125th Judicial District",0442,1366,513,1879,2504,75.04%,1508,277,1785
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0443,335,148,483,605,79.83%,348,98,446
"District Judge, 125th Judicial District",0444,1258,731,1989,3172,62.70%,1175,668,1843
"District Judge, 125th Judicial District",0445,860,443,1303,1938,67.23%,797,420,1217
"District Judge, 125th Judicial District",0446,70,52,122,268,45.52%,43,71,114
"District Judge, 125th Judicial District",0447,271,108,379,583,65.01%,122,229,351
"District Judge, 125th Judicial District",0448,1239,869,2108,3081,68.42%,1206,730,1936
"District Judge, 125th Judicial District",0449,62,37,99,164,60.37%,12,79,91
"District Judge, 125th Judicial District",0450,856,537,1393,2622,53.13%,341,979,1320
"District Judge, 125th Judicial District",0451,1575,515,2090,2674,78.16%,1666,318,1984
"District Judge, 125th Judicial District",0452,1109,639,1748,2810,62.21%,1261,413,1674
"District Judge, 125th Judicial District",0453,559,475,1034,1885,54.85%,326,646,972
"District Judge, 125th Judicial District",0454,1226,311,1537,2571,59.78%,9,1484,1493
"District Judge, 125th Judicial District",0455,748,216,964,1679,57.42%,24,905,929
"District Judge, 125th Judicial District",0456,1266,593,1859,3350,55.49%,942,812,1754
"District Judge, 125th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0458,908,271,1179,1893,62.28%,49,1090,1139
"District Judge, 125th Judicial District",0459,1637,476,2113,2950,71.63%,1637,359,1996
"District Judge, 125th Judicial District",0460,1250,402,1652,2346,70.42%,415,1168,1583
"District Judge, 125th Judicial District",0461,1958,828,2786,3733,74.63%,1796,761,2557
"District Judge, 125th Judicial District",0462,1318,865,2183,3367,64.84%,756,1279,2035
"District Judge, 125th Judicial District",0463,1124,656,1780,2962,60.09%,690,1000,1690
"District Judge, 125th Judicial District",0464,786,612,1398,2126,65.76%,929,393,1322
"District Judge, 125th Judicial District",0465,1465,702,2167,3343,64.82%,1114,983,2097
"District Judge, 125th Judicial District",0466,2052,729,2781,4072,68.30%,1522,1142,2664
"District Judge, 125th Judicial District",0467,478,229,707,1230,57.48%,155,514,669
"District Judge, 125th Judicial District",0468,984,793,1777,3354,52.98%,493,1178,1671
"District Judge, 125th Judicial District",0469,2039,638,2677,3779,70.84%,2037,490,2527
"District Judge, 125th Judicial District",0470,443,323,766,1349,56.78%,519,200,719
"District Judge, 125th Judicial District",0471,792,597,1389,2349,59.13%,1030,296,1326
"District Judge, 125th Judicial District",0472,370,337,707,1027,68.84%,353,289,642
"District Judge, 125th Judicial District",0473,914,442,1356,1827,74.22%,921,343,1264
"District Judge, 125th Judicial District",0474,1146,766,1912,3006,63.61%,1284,515,1799
"District Judge, 125th Judicial District",0475,485,473,958,1651,58.03%,396,499,895
"District Judge, 125th Judicial District",0476,809,658,1467,2412,60.82%,823,572,1395
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0477,1441,742,2183,3195,68.33%,1590,492,2082
"District Judge, 125th Judicial District",0478,1959,898,2857,4150,68.84%,1821,874,2695
"District Judge, 125th Judicial District",0479,1298,588,1886,2648,71.22%,1354,444,1798
"District Judge, 125th Judicial District",0480,936,555,1491,2267,65.77%,1018,383,1401
"District Judge, 125th Judicial District",0481,1463,852,2315,3298,70.19%,1665,530,2195
"District Judge, 125th Judicial District",0482,1963,836,2799,4129,67.79%,1900,774,2674
"District Judge, 125th Judicial District",0483,1868,759,2627,4141,63.44%,1378,1110,2488
"District Judge, 125th Judicial District",0484,2236,1008,3244,4594,70.61%,2261,824,3085
"District Judge, 125th Judicial District",0485,2421,990,3411,4838,70.50%,2474,796,3270
"District Judge, 125th Judicial District",0486,1843,805,2648,3572,74.13%,2020,502,2522
"District Judge, 125th Judicial District",0487,1005,612,1617,3318,48.73%,451,1034,1485
"District Judge, 125th Judicial District",0488,580,440,1020,1713,59.54%,325,610,935
"District Judge, 125th Judicial District",0489,783,378,1161,1823,63.69%,318,768,1086
"District Judge, 125th Judicial District",0490,876,439,1315,1944,67.64%,473,759,1232
"District Judge, 125th Judicial District",0491,667,489,1156,1782,64.87%,666,412,1078
"District Judge, 125th Judicial District",0492,1069,504,1573,2351,66.91%,800,658,1458
"District Judge, 125th Judicial District",0493,858,400,1258,1804,69.73%,795,369,1164
"District Judge, 125th Judicial District",0494,760,431,1191,2176,54.73%,136,1012,1148
"District Judge, 125th Judicial District",0495,1120,494,1614,2284,70.67%,1122,395,1517
"District Judge, 125th Judicial District",0496,496,571,1067,2086,51.15%,377,617,994
"District Judge, 125th Judicial District",0497,1123,303,1426,2226,64.06%,52,1322,1374
"District Judge, 125th Judicial District",0498,759,499,1258,2123,59.26%,508,687,1195
"District Judge, 125th Judicial District",0499,1301,517,1818,2304,78.91%,1313,390,1703
"District Judge, 125th Judicial District",0500,1507,746,2253,3175,70.96%,1501,632,2133
"District Judge, 125th Judicial District",0501,653,487,1140,1647,69.22%,430,612,1042
"District Judge, 125th Judicial District",0502,1150,332,1482,2364,62.69%,1093,298,1391
"District Judge, 125th Judicial District",0503,359,273,632,1363,46.37%,188,395,583
"District Judge, 125th Judicial District",0504,1129,538,1667,2197,75.88%,1081,474,1555
"District Judge, 125th Judicial District",0505,1209,829,2038,3654,55.77%,869,1023,1892
"District Judge, 125th Judicial District",0506,1470,801,2271,3380,67.19%,364,1822,2186
"District Judge, 125th Judicial District",0507,582,385,967,2435,39.71%,145,691,836
"District Judge, 125th Judicial District",0508,946,760,1706,3248,52.52%,523,1041,1564
"District Judge, 125th Judicial District",0509,1340,864,2204,3536,62.33%,1514,579,2093
"District Judge, 125th Judicial District",0510,1492,682,2174,3511,61.92%,951,1093,2044
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 125th Judicial District",0512,1558,1127,2885,4582,58.80%,1187,1388,2555
"District Judge, 125th Judicial District",0513,1805,507,2112,2752,78.74%,1555,437,1992
"District Judge, 125th Judicial District",0514,1988,880,2828,3941,71.71%,2041,858,2897
"District Judge, 125th Judicial District",0515,1892,708,2400,3173,75.84%,1887,394,2281
"District Judge, 125th Judicial District",0518,2179,1088,3245,4934,85.77%,1582,1501,3083
"District Judge, 125th Judicial District",0517,1208,853,1881,3320,58.05%,947,812,1759
"District Judge, 125th Judicial District",0518,1478,919,2397,3755,83.83%,1447,810,2257
"District Judge, 125th Judicial District",0519,1234,845,1879,2951,83.87%,1318,474,1790
"District Judge, 125th Judicial District",0520,1542,857,2399,4084,59.03%,387,1944,2311
"District Judge, 125th Judicial District",0521,1011,894,1705,2725,82.57%,842,778,1818
"District Judge, 125th Judicial District",0522,1171,858,1829,2882,88.20%,1348,388,1734
"District Judge, 125th Judicial District",0523,1338,889,2027,3080,88.24%,1298,581,1879
"District Judge, 125th Judicial District",0524,1237,875,1912,3292,58.08%,555,1284,1819
"District Judge, 125th Judicial District",0525,1380,810,1990,2947,87.53%,383,1508,1891
"District Judge, 125th Judicial District",0528,187,171,338,731,48.24%,83,239,322
"District Judge, 125th Judicial District",0527,80,24,104,589,18.28%,45,54,99
"District Judge, 125th Judicial District",0528,38,12,48,92,52.17%,3,44,47
"District Judge, 125th Judicial District",0529,1987,441,2428,3818,87.15%,1990,324,2314
"District Judge, 125th Judicial District",0530,259,235,494,1198,41.30%,98,381,459
"District Judge, 125th Judicial District",0531,872,113,785,1094,71.78%,588,147,735
"District Judge, 125th Judicial District",0532,452,184,838,1039,81.21%,418,190,808
"District Judge, 125th Judicial District",0533,317,207,524,1089,49.02%,250,245,495
"District Judge, 125th Judicial District",0534,1858,875,2333,3795,81.48%,1838,572,2210
"District Judge, 125th Judicial District",0535,80,94,174,421,41.33%,80,103,183
"District Judge, 125th Judicial District",0538,1332,1195,2527,4578,55.22%,904,1492,2398
"District Judge, 125th Judicial District",0537,1454,823,2277,2971,78.84%,1838,512,2150
"District Judge, 125th Judicial District",0538,433,237,870,1282,52.28%,20,828,848
"District Judge, 125th Judicial District",0539,28,209,235,71,330.99%,45,189,214
"District Judge, 125th Judicial District",0540,888,380,1048,1491,70.15%,459,479,938
"District Judge, 125th Judicial District",0541,1824,779,2803,4183,82.23%,342,2138,2480
"District Judge, 125th Judicial District",0542,997,501,1498,2525,59.33%,84,1384,1448
"District Judge, 125th Judicial District",0543,287,378,885,1528,43.52%,197,429,828
"District Judge, 125th Judicial District",0544,92,53,145,318,45.80%,15,125,140
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0545,1314,857,2171,3339,65.02%,1000,1055,2055
"District Judge, 125th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 125th Judicial District",0547,877,647,1524,2408,63.29%,1016,423,1439
"District Judge, 125th Judicial District",0548,720,476,1196,2129,56.18%,527,619,1146
"District Judge, 125th Judicial District",0549,944,586,1530,2530,60.47%,203,1264,1467
"District Judge, 125th Judicial District",0550,1134,629,1763,2847,61.92%,848,852,1700
"District Judge, 125th Judicial District",0551,3088,1527,4615,6135,75.22%,3260,1120,4380
"District Judge, 125th Judicial District",0552,1521,844,2465,3241,76.06%,1987,364,2351
"District Judge, 125th Judicial District",0553,1465,951,2416,4355,55.48%,998,1312,2310
"District Judge, 125th Judicial District",0554,562,340,902,1731,52.11%,136,704,840
"District Judge, 125th Judicial District",0555,597,447,1044,2119,49.27%,171,823,994
"District Judge, 125th Judicial District",0556,584,421,1005,2249,44.69%,199,751,950
"District Judge, 125th Judicial District",0557,822,556,1378,2726,50.55%,429,840,1269
"District Judge, 125th Judicial District",0558,1588,824,2412,4084,59.06%,738,1554,2292
"District Judge, 125th Judicial District",0559,1787,899,2686,4633,57.98%,618,1921,2539
"District Judge, 125th Judicial District",0560,172,289,461,1176,39.20%,86,337,423
"District Judge, 125th Judicial District",0561,837,759,1596,3033,52.62%,848,667,1515
"District Judge, 125th Judicial District",0562,201,146,347,645,53.80%,25,307,332
"District Judge, 125th Judicial District",0563,1699,415,2114,2969,71.20%,1596,391,1987
"District Judge, 125th Judicial District",0564,1150,713,1863,3096,60.17%,480,1238,1718
"District Judge, 125th Judicial District",0565,315,194,509,1373,37.07%,82,394,476
"District Judge, 125th Judicial District",0566,1122,478,1600,2950,54.24%,411,1115,1526
"District Judge, 125th Judicial District",0567,672,394,1066,2198,48.50%,273,699,972
"District Judge, 125th Judicial District",0568,1628,837,2465,3487,70.69%,1563,715,2278
"District Judge, 125th Judicial District",0569,1294,865,2159,3249,66.45%,1150,844,1994
"District Judge, 125th Judicial District",0570,525,409,934,1473,63.41%,401,445,846
"District Judge, 125th Judicial District",0571,333,312,645,1758,36.69%,192,403,595
"District Judge, 125th Judicial District",0572,1283,574,1857,2998,61.94%,853,901,1754
"District Judge, 125th Judicial District",0573,577,368,945,1618,58.41%,9,913,922
"District Judge, 125th Judicial District",0574,98,79,177,391,45.27%,16,148,164
"District Judge, 125th Judicial District",0575,27,9,36,79,45.57%,32,3,35
"District Judge, 125th Judicial District",0576,1050,552,1602,2671,59.98%,45,1507,1552
"District Judge, 125th Judicial District",0577,231,113,344,573,60.03%,184,138,322
"District Judge, 125th Judicial District",0578,745,553,1298,1689,76.85%,778,400,1178
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0579,487,351,838,1806,46.40%,183,603,786
"District Judge, 125th Judicial District",0580,429,146,575,1027,55.99%,13,547,560
"District Judge, 125th Judicial District",0581,510,162,672,1041,64.55%,17,631,648
"District Judge, 125th Judicial District",0582,614,256,870,1613,53.94%,43,799,842
"District Judge, 125th Judicial District",0583,544,127,671,1248,53.77%,12,644,656
"District Judge, 125th Judicial District",0584,392,139,531,971,54.69%,31,495,526
"District Judge, 125th Judicial District",0585,934,304,1238,2403,51.52%,30,1172,1202
"District Judge, 125th Judicial District",0585,1306,1189,2495,4230,58.98%,1480,909,2389
"District Judge, 125th Judicial District",0587,933,465,1398,2174,64.31%,485,864,1349
"District Judge, 125th Judicial District",0588,1536,871,2407,3468,69.41%,1654,643,2297
"District Judge, 125th Judicial District",0589,1033,738,1771,3130,56.58%,903,783,1686
"District Judge, 125th Judicial District",0590,1158,463,1621,2136,75.89%,1219,317,1536
"District Judge, 125th Judicial District",0591,420,449,869,2114,41.11%,219,594,813
"District Judge, 125th Judicial District",0592,370,288,658,1258,52.31%,149,478,627
"District Judge, 125th Judicial District",0593,1148,999,2147,4059,52.89%,935,1099,2034
"District Judge, 125th Judicial District",0594,1031,535,1566,2361,66.33%,434,1069,1503
"District Judge, 125th Judicial District",0595,497,380,877,1647,53.25%,138,709,847
"District Judge, 125th Judicial District",0596,945,690,1635,2848,57.41%,826,738,1564
"District Judge, 125th Judicial District",0597,1067,719,1786,3267,54.67%,597,1116,1713
"District Judge, 125th Judicial District",0598,335,103,438,724,60.50%,327,81,408
"District Judge, 125th Judicial District",0599,1895,866,2761,4135,66.77%,893,1755,2648
"District Judge, 125th Judicial District",0600,1383,869,2252,3820,58.95%,763,1377,2140
"District Judge, 125th Judicial District",0601,2028,858,2886,3990,72.33%,2132,628,2760
"District Judge, 125th Judicial District",0602,562,296,858,1237,69.36%,582,244,826
"District Judge, 125th Judicial District",0603,1437,1163,2600,3917,66.38%,1527,967,2494
"District Judge, 125th Judicial District",0604,1444,528,1972,2910,67.77%,1583,296,1879
"District Judge, 125th Judicial District",0605,2227,889,3116,5251,59.34%,709,2272,2981
"District Judge, 125th Judicial District",0606,420,122,542,1053,51.47%,6,515,521
"District Judge, 125th Judicial District",0607,194,118,312,731,42.68%,21,275,296
"District Judge, 125th Judicial District",0608,245,290,535,1256,42.60%,196,298,494
"District Judge, 125th Judicial District",0609,1364,844,2208,3261,67.71%,1333,738,2071
"District Judge, 125th Judicial District",0610,403,398,801,1825,43.89%,334,416,750
"District Judge, 125th Judicial District",0611,1120,301,1421,2450,58.00%,38,1346,1384
"District Judge, 125th Judicial District",0612,1700,579,2279,3272,69.65%,1684,451,2135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0613,495,309,804,1450,55.45%,116,658,774
"District Judge, 125th Judicial District",0614,1631,812,2443,3932,62.13%,790,1544,2334
"District Judge, 125th Judicial District",0615,931,404,1335,1926,69.31%,770,499,1269
"District Judge, 125th Judicial District",0616,1352,970,2322,3378,68.74%,1567,635,2202
"District Judge, 125th Judicial District",0617,1318,849,2167,3546,61.11%,753,1322,2075
"District Judge, 125th Judicial District",0618,1920,1021,2941,5344,55.03%,1239,1576,2815
"District Judge, 125th Judicial District",0619,2133,857,2990,4266,70.09%,2184,667,2851
"District Judge, 125th Judicial District",0620,2382,856,3238,5271,61.43%,1531,1497,3028
"District Judge, 125th Judicial District",0621,397,203,600,1173,51.15%,287,281,568
"District Judge, 125th Judicial District",0622,1722,829,2551,4305,59.26%,1448,970,2418
"District Judge, 125th Judicial District",0623,1708,626,2334,3481,67.05%,1433,755,2188
"District Judge, 125th Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 125th Judicial District",0625,862,454,1316,1796,73.27%,723,487,1210
"District Judge, 125th Judicial District",0626,1148,655,1803,2838,63.53%,877,824,1701
"District Judge, 125th Judicial District",0627,795,647,1442,2964,48.65%,404,943,1347
"District Judge, 125th Judicial District",0628,292,456,748,1600,46.75%,300,404,704
"District Judge, 125th Judicial District",0629,175,127,302,629,48.01%,19,276,295
"District Judge, 125th Judicial District",0630,2018,535,2553,3190,80.03%,211,2256,2467
"District Judge, 125th Judicial District",0631,1489,392,1881,2733,68.83%,1312,467,1779
"District Judge, 125th Judicial District",0632,12,9,21,231,9.09%,4,14,18
"District Judge, 125th Judicial District",0633,1782,678,2460,3257,75.53%,1736,602,2338
"District Judge, 125th Judicial District",0634,1020,734,1754,2922,60.03%,1051,619,1670
"District Judge, 125th Judicial District",0635,1326,706,2032,3280,61.95%,1523,421,1944
"District Judge, 125th Judicial District",0636,1791,974,2765,3881,71.24%,2312,344,2656
"District Judge, 125th Judicial District",0637,739,509,1248,2471,50.51%,289,855,1144
"District Judge, 125th Judicial District",0638,740,684,1424,2078,68.53%,89,1273,1362
"District Judge, 125th Judicial District",0639,828,711,1539,2501,61.54%,1191,282,1473
"District Judge, 125th Judicial District",0640,1382,723,2105,3548,59.33%,1171,837,2008
"District Judge, 125th Judicial District",0641,1265,878,2143,3375,63.50%,1279,764,2043
"District Judge, 125th Judicial District",0642,871,447,1318,1779,74.09%,1068,191,1259
"District Judge, 125th Judicial District",0643,2157,994,3151,5310,59.34%,1172,1828,3000
"District Judge, 125th Judicial District",0644,2123,1204,3327,5261,63.24%,2038,1116,3154
"District Judge, 125th Judicial District",0645,1639,895,2534,4035,62.80%,1152,1236,2388
"District Judge, 125th Judicial District",0646,708,456,1164,2163,53.81%,339,759,1098
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0647,1770,1020,2790,5593,49.88%,669,1901,2570
"District Judge, 125th Judicial District",0648,1590,668,2258,3197,70.63%,1548,602,2150
"District Judge, 125th Judicial District",0649,1389,854,2243,4426,50.68%,602,1514,2116
"District Judge, 125th Judicial District",0650,1328,939,2267,3151,71.95%,1634,518,2152
"District Judge, 125th Judicial District",0651,2085,1070,3155,4931,63.98%,1916,1076,2992
"District Judge, 125th Judicial District",0652,1049,653,1702,2633,64.64%,265,1369,1634
"District Judge, 125th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 125th Judicial District",0654,2103,1344,3447,5765,59.79%,1697,1546,3243
