Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0076,814,569,1383,2328,59.41%,727,555,1282
"District Judge, 125th Judicial District",0077,168,81,249,565,44.07%,50,183,233
"District Judge, 125th Judicial District",0078,359,344,703,1479,47.53%,192,434,626
"District Judge, 125th Judicial District",0079,511,717,1228,2959,41.50%,221,897,1118
"District Judge, 125th Judicial District",0080,1159,481,1640,2712,60.47%,335,1217,1552
"District Judge, 125th Judicial District",0081,540,309,849,1839,46.17%,251,536,787
"District Judge, 125th Judicial District",0082,1353,816,2169,3284,66.05%,1576,492,2068
"District Judge, 125th Judicial District",0083,2625,1181,3806,5598,67.99%,1759,1889,3648
"District Judge, 125th Judicial District",0084,444,346,790,1389,56.88%,546,210,756
"District Judge, 125th Judicial District",0085,730,548,1278,2079,61.47%,25,1196,1221
"District Judge, 125th Judicial District",0086,1054,689,1743,2637,66.10%,797,807,1604
"District Judge, 125th Judicial District",0087,1222,861,2083,2749,75.77%,1367,538,1905
"District Judge, 125th Judicial District",0088,235,162,397,678,58.55%,243,134,377
"District Judge, 125th Judicial District",0089,342,454,796,1104,72.10%,470,255,725
"District Judge, 125th Judicial District",0090,1498,958,2456,3571,68.78%,1763,545,2308
"District Judge, 125th Judicial District",0091,466,333,799,1248,64.02%,482,284,766
"District Judge, 125th Judicial District",0092,1105,534,1639,2228,73.56%,1105,414,1519
"District Judge, 125th Judicial District",0093,782,643,1425,3295,43.25%,496,827,1323
"District Judge, 125th Judicial District",0094,148,104,252,537,46.93%,52,186,238
"District Judge, 125th Judicial District",0095,1684,671,2355,3179,74.08%,1590,611,2201
"District Judge, 125th Judicial District",0096,364,237,601,1241,48.43%,52,529,581
"District Judge, 125th Judicial District",0097,2393,764,3157,4566,69.14%,2248,738,2986
"District Judge, 125th Judicial District",0098,874,607,1481,2403,61.63%,1186,232,1418
"District Judge, 125th Judicial District",0099,568,311,879,2040,43.09%,384,456,840
"District Judge, 125th Judicial District",0100,427,324,751,1754,42.82%,321,395,716
"District Judge, 125th Judicial District",0101,203,186,389,941,41.34%,87,290,377
"District Judge, 125th Judicial District",0102,493,268,761,1910,39.84%,194,540,734
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0103,1915,1065,2980,4751,62.72%,1521,1324,2845
"District Judge, 125th Judicial District",0104,992,238,1230,1847,66.59%,19,1177,1196
"District Judge, 125th Judicial District",0105,462,453,915,2153,42.50%,225,624,849
"District Judge, 125th Judicial District",0106,49,37,86,284,30.28%,38,43,81
"District Judge, 125th Judicial District",0107,412,441,853,1905,44.78%,136,677,813
"District Judge, 125th Judicial District",0108,1193,514,1707,3229,52.86%,863,752,1615
"District Judge, 125th Judicial District",0109,1160,430,1590,2884,55.13%,26,1520,1546
"District Judge, 125th Judicial District",0110,1465,589,2054,2853,71.99%,1208,734,1942
"District Judge, 125th Judicial District",0111,1868,848,2716,3638,74.66%,1962,591,2553
"District Judge, 125th Judicial District",0112,1262,668,1930,2894,66.69%,1330,507,1837
"District Judge, 125th Judicial District",0113,1125,590,1715,2537,67.60%,963,655,1618
"District Judge, 125th Judicial District",0114,1454,546,2000,2650,75.47%,1534,380,1914
"District Judge, 125th Judicial District",0115,598,305,903,1764,51.19%,97,777,874
"District Judge, 125th Judicial District",0116,1626,747,2373,3014,78.73%,1789,444,2233
"District Judge, 125th Judicial District",0117,398,452,860,1878,45.79%,339,472,811
"District Judge, 125th Judicial District",0118,460,148,608,743,81.83%,485,88,573
"District Judge, 125th Judicial District",0119,1924,1265,3189,4892,65.19%,2462,609,3071
"District Judge, 125th Judicial District",0120,1197,632,1829,2986,61.25%,1075,633,1708
"District Judge, 125th Judicial District",0121,193,244,437,679,64.36%,282,133,415
"District Judge, 125th Judicial District",0122,895,349,1244,2199,56.57%,34,1157,1191
"District Judge, 125th Judicial District",0123,440,350,790,1356,58.26%,222,504,726
"District Judge, 125th Judicial District",0124,3522,1281,4803,5952,80.70%,3740,832,4572
"District Judge, 125th Judicial District",0125,896,534,1430,2281,62.69%,802,565,1367
"District Judge, 125th Judicial District",0126,1630,407,2037,2799,72.78%,1717,224,1941
"District Judge, 125th Judicial District",0127,854,182,1036,1703,60.83%,705,282,987
"District Judge, 125th Judicial District",0128,936,736,1672,2257,74.08%,1070,448,1518
"District Judge, 125th Judicial District",0129,2294,1449,3743,5495,68.12%,2303,1208,3511
"District Judge, 125th Judicial District",0130,1201,523,1724,2240,76.96%,1263,348,1611
"District Judge, 125th Judicial District",0131,604,374,978,1721,56.83%,228,705,933
"District Judge, 125th Judicial District",0132,1119,397,1516,2449,61.90%,27,1437,1464
"District Judge, 125th Judicial District",0133,1083,940,2023,2605,77.66%,1239,610,1849
"District Judge, 125th Judicial District",0134,419,392,811,1444,56.16%,346,412,758
"District Judge, 125th Judicial District",0135,1424,634,2058,2750,74.84%,1332,567,1899
"District Judge, 125th Judicial District",0136,981,451,1432,2111,67.84%,53,1326,1379
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0137,305,193,498,740,67.30%,258,192,450
"District Judge, 125th Judicial District",0138,661,259,920,1749,52.60%,19,863,882
"District Judge, 125th Judicial District",0139,1290,747,2037,2746,74.18%,1002,849,1851
"District Judge, 125th Judicial District",0140,1311,683,1994,3104,64.24%,273,1603,1876
"District Judge, 125th Judicial District",0141,181,143,324,872,37.16%,186,116,302
"District Judge, 125th Judicial District",0142,212,171,383,870,44.02%,93,264,357
"District Judge, 125th Judicial District",0143,2993,660,3653,4598,79.45%,2517,983,3500
"District Judge, 125th Judicial District",0144,476,204,680,1143,59.49%,6,653,659
"District Judge, 125th Judicial District",0145,663,245,908,1580,57.47%,14,875,889
"District Judge, 125th Judicial District",0146,759,614,1373,1953,70.30%,595,671,1266
"District Judge, 125th Judicial District",0147,1255,485,1740,2813,61.86%,192,1502,1694
"District Judge, 125th Judicial District",0148,908,924,1832,2467,74.26%,814,860,1674
"District Judge, 125th Judicial District",0149,2859,1322,4181,6103,68.51%,1828,2169,3997
"District Judge, 125th Judicial District",0150,539,207,746,1212,61.55%,18,709,727
"District Judge, 125th Judicial District",0151,316,148,464,846,54.85%,18,422,440
"District Judge, 125th Judicial District",0152,483,602,1085,2701,40.17%,224,799,1023
"District Judge, 125th Judicial District",0153,328,437,765,1755,43.59%,181,527,708
"District Judge, 125th Judicial District",0154,593,360,953,2133,44.68%,193,659,852
"District Judge, 125th Judicial District",0155,1957,834,2791,4087,68.29%,1858,781,2639
"District Judge, 125th Judicial District",0156,1427,457,1884,3134,60.11%,44,1755,1799
