Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Patrick Keith,Guy Smith,Totals
"Huffman |.S.D., SCHOOL TRUSTEE, POSITION NO. 7",0098,874,607,1481,2403,61.63%,453,507,960
"Huffman |.S.D., SCHOOL TRUSTEE, POSITION NO. 7",0502,16,2,18,41,43.90%,5,8,13
"Huffman |.S.D., SCHOOL TRUSTEE, POSITION NO. 7",0604,306,185,491,773,63.52%,163,127,290
"Huffman |.S.D., SCHOOL TRUSTEE, POSITION NO. 7",0636,1785,974,2759,3872,71.26%,1013,690,1703
"Huffman |.S.D., SCHOOL TRUSTEE, POSITION NO. 7",0700,499,274,773,1250,61.84%,197,271,468
"Huffman |.S.D., SCHOOL TRUSTEE, POSITION NO. 7",1031,3,3,6,6,100.00%,0,3,3
"Huffman |.S.D., SCHOOL TRUSTEE, POSITION NO. 7",1032,59,80,139,241,57.68%,37,46,83
"Huffman |.S.D., SCHOOL TRUSTEE, POSITION NO. 7",Totals:,3542,2125,5667,8586,1868,1652,3520
