Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0075,481,370,851,1329,64.03%,323,456,779
"District Judge, 164th Judicial District",0076,814,559,1383,2328,59.41%,702,577,1279
"District Judge, 164th Judicial District",0077,168,81,249,565,44.07%,50,182,232
"District Judge, 164th Judicial District",0078,359,344,703,1479,47.53%,185,440,625
"District Judge, 164th Judicial District",0079,511,717,1228,2959,41.50%,205,913,1118
"District Judge, 164th Judicial District",0080,1159,481,1640,2712,60.47%,327,1217,1544
"District Judge, 164th Judicial District",0081,540,309,849,1839,46.17%,250,537,787
"District Judge, 164th Judicial District",0082,1353,816,2169,3284,66.05%,1560,506,2066
"District Judge, 164th Judicial District",0083,2525,1181,3806,5598,67.99%,1725,1921,3646
"District Judge, 164th Judicial District",0084,444,346,790,1389,56.88%,541,216,757
"District Judge, 164th Judicial District",0085,730,548,1278,2079,61.47%,23,1195,1218
"District Judge, 164th Judicial District",0086,1054,689,1743,2637,66.10%,767,836,1603
"District Judge, 164th Judicial District",0087,1222,861,2083,2749,75.77%,1200,694,1894
"District Judge, 164th Judicial District",0088,235,162,397,678,58.55%,239,139,378
"District Judge, 164th Judicial District",0089,342,454,796,1104,72.10%,411,309,720
"District Judge, 164th Judicial District",0090,1498,958,2456,3571,68.78%,1725,586,2311
"District Judge, 164th Judicial District",0091,466,333,799,1248,64.02%,476,289,765
"District Judge, 164th Judicial District",0092,1105,534,1639,2228,73.56%,1045,470,1515
"District Judge, 164th Judicial District",0093,782,643,1425,3295,43.25%,486,835,1321
"District Judge, 164th Judicial District",0094,148,104,252,537,46.93%,47,189,236
"District Judge, 164th Judicial District",0095,1584,571,2355,3179,74.08%,1527,664,2191
"District Judge, 164th Judicial District",0096,364,237,601,1241,48.43%,57,523,580
"District Judge, 164th Judicial District",0097,2393,764,3157,4566,69.14%,2232,748,2980
"District Judge, 164th Judicial District",0098,874,607,1481,2403,61.63%,1182,230,1412
"District Judge, 164th Judicial District",0099,568,311,879,2040,43.09%,380,461,841
"District Judge, 164th Judicial District",0100,427,324,751,1754,42.82%,317,400,717
"District Judge, 164th Judicial District",0101,203,186,389,941,41.34%,85,292,377
"District Judge, 164th Judicial District",0102,493,268,761,1910,39.84%,186,544,730
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0103,1915,1065,2980,4751,62.72%,1493,1345,2838
"District Judge, 164th Judicial District",0104,992,238,1230,1847,66.59%,17,1176,1193
"District Judge, 164th Judicial District",0105,462,453,915,2153,42.50%,214,631,845
"District Judge, 164th Judicial District",0106,49,37,86,284,30.28%,37,42,79
"District Judge, 164th Judicial District",0107,412,441,853,1905,44.78%,126,692,818
"District Judge, 164th Judicial District",0108,1193,514,1707,3229,52.86%,849,764,1613
"District Judge, 164th Judicial District",0109,1160,430,1590,2884,55.13%,24,1515,1539
"District Judge, 164th Judicial District",0110,1465,589,2054,2853,71.99%,1189,744,1933
"District Judge, 164th Judicial District",0111,1868,848,2716,3638,74.66%,1952,602,2554
"District Judge, 164th Judicial District",0112,1262,668,1930,2894,66.69%,1310,517,1827
"District Judge, 164th Judicial District",0113,1125,590,1715,2537,67.60%,925,691,1616
"District Judge, 164th Judicial District",0114,1454,546,2000,2650,75.47%,1522,397,1919
"District Judge, 164th Judicial District",0115,598,305,903,1764,51.19%,94,779,873
"District Judge, 164th Judicial District",0116,1626,747,2373,3014,78.73%,1717,507,2224
"District Judge, 164th Judicial District",0117,398,462,860,1878,45.79%,333,478,811
"District Judge, 164th Judicial District",0118,460,148,608,743,81.83%,457,112,569
"District Judge, 164th Judicial District",0119,1924,1265,3189,4892,65.19%,2446,618,3064
"District Judge, 164th Judicial District",0120,1197,632,1829,2986,61.25%,1051,647,1698
"District Judge, 164th Judicial District",0121,193,244,437,679,64.36%,285,130,415
"District Judge, 164th Judicial District",0122,895,349,1244,2199,56.57%,35,1159,1194
"District Judge, 164th Judicial District",0123,440,350,790,1356,58.26%,214,509,723
"District Judge, 164th Judicial District",0124,3522,1281,4803,5952,80.70%,3719,849,4568
"District Judge, 164th Judicial District",0125,896,534,1430,2281,62.69%,800,562,1362
"District Judge, 164th Judicial District",0126,1630,407,2037,2799,72.78%,1699,238,1937
"District Judge, 164th Judicial District",0127,854,182,1036,1703,60.83%,697,289,986
"District Judge, 164th Judicial District",0128,936,736,1672,2257,74.08%,979,509,1488
"District Judge, 164th Judicial District",0129,2294,1449,3743,5495,68.12%,2196,1304,3500
"District Judge, 164th Judicial District",0130,1201,523,1724,2240,76.96%,1200,406,1606
"District Judge, 164th Judicial District",0131,604,374,978,1721,56.83%,223,713,936
"District Judge, 164th Judicial District",0132,1119,397,1516,2449,61.90%,23,1433,1456
"District Judge, 164th Judicial District",0133,1083,940,2023,2605,77.66%,1124,707,1831
"District Judge, 164th Judicial District",0134,419,392,811,1444,56.16%,348,407,755
"District Judge, 164th Judicial District",0135,1424,634,2058,2750,74.84%,1196,695,1891
"District Judge, 164th Judicial District",0136,981,451,1432,2111,67.84%,43,1334,1377
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0137,305,193,498,740,87.30%,230,218,448
"District Judge, 164th Judicial District",0138,881,259,920,1749,52.80%,18,884,880
"District Judge, 164th Judicial District",0139,1290,747,2037,2748,74.18%,925,928,1851
"District Judge, 164th Judicial District",0140,1311,883,1994,3104,84.24%,288,1598,1884
"District Judge, 164th Judicial District",0141,181,143,324,872,37.18%,191,110,301
"District Judge, 164th Judicial District",0142,212,171,383,870,44.02%,89,287,358
"District Judge, 164th Judicial District",0143,2993,880,3853,4598,79.45%,2499,993,3492
"District Judge, 164th Judicial District",0144,478,204,880,1143,59.49%,9,850,859
"District Judge, 164th Judicial District",0145,883,245,908,1580,57.47%,12,878,890
"District Judge, 164th Judicial District",0148,759,814,1373,1953,70.30%,587,897,1284
"District Judge, 164th Judicial District",0147,1255,485,1740,2813,81.88%,192,1505,1897
"District Judge, 164th Judicial District",0148,908,924,1832,2487,74.28%,895,975,1870
"District Judge, 164th Judicial District",0149,2859,1322,4181,8103,88.51%,1829,2174,4003
