Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0317,551,336,887,1469,60.38%,251,595,846
"District Judge, 164th Judicial District",0318,1708,611,2319,3531,65.68%,83,2149,2232
"District Judge, 164th Judicial District",0319,965,290,1255,2081,60.31%,71,1132,1203
"District Judge, 164th Judicial District",0320,464,300,764,1505,50.76%,310,402,712
"District Judge, 164th Judicial District",0321,442,306,748,2029,36.87%,241,464,705
"District Judge, 164th Judicial District",0322,397,237,634,1322,47.96%,156,452,608
"District Judge, 164th Judicial District",0323,482,332,814,1719,47.35%,315,436,751
"District Judge, 164th Judicial District",0324,967,718,1685,2339,72.04%,1015,518,1533
"District Judge, 164th Judicial District",0325,656,397,1053,2251,46.78%,221,774,995
"District Judge, 164th Judicial District",0326,202,128,330,678,48.67%,127,169,296
"District Judge, 164th Judicial District",0327,726,244,970,1751,55.40%,11,923,934
"District Judge, 164th Judicial District",0328,344,270,614,1361,45.11%,215,367,582
"District Judge, 164th Judicial District",0329,405,307,712,1367,52.08%,203,456,659
"District Judge, 164th Judicial District",0330,590,376,966,1849,52.24%,416,481,897
"District Judge, 164th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 164th Judicial District",0332,23,4,27,128,21.09%,9,16,25
"District Judge, 164th Judicial District",0333,1018,939,1957,2901,67.46%,1339,498,1837
"District Judge, 164th Judicial District",0334,255,114,369,755,48.87%,73,281,354
"District Judge, 164th Judicial District",0335,285,246,531,1227,43.28%,145,329,474
"District Judge, 164th Judicial District",0336,1818,588,2406,3161,76.12%,197,2125,2322
"District Judge, 164th Judicial District",0337,309,207,516,951,54.26%,81,421,502
"District Judge, 164th Judicial District",0338,1540,824,2364,4673,50.59%,629,1581,2210
"District Judge, 164th Judicial District",0339,369,373,742,1716,43.24%,145,529,674
"District Judge, 164th Judicial District",0340,1778,833,2611,3717,70.24%,1855,589,2444
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0341,246,316,562,1248,45.03%,126,406,532
"District Judge, 164th Judicial District",0342,2029,1113,3142,5718,54.95%,411,2624,3035
"District Judge, 164th Judicial District",0343,436,483,919,1904,48.27%,206,619,825
"District Judge, 164th Judicial District",0344,395,245,640,1207,53.02%,23,590,613
"District Judge, 164th Judicial District",0345,428,357,785,1708,45.96%,158,583,741
"District Judge, 164th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 164th Judicial District",0347,1250,614,1864,3299,56.50%,1102,666,1768
"District Judge, 164th Judicial District",0348,751,280,1031,1740,59.25%,705,267,972
"District Judge, 164th Judicial District",0349,405,407,812,1315,61.75%,455,307,762
"District Judge, 164th Judicial District",0350,1112,780,1892,2906,65.11%,723,1007,1730
"District Judge, 164th Judicial District",0351,2495,793,3288,4537,72.47%,2506,641,3147
"District Judge, 164th Judicial District",0352,1151,583,1734,3193,54.31%,1159,486,1645
"District Judge, 164th Judicial District",0353,1544,703,2247,3697,60.78%,361,1797,2158
"District Judge, 164th Judicial District",0354,1476,517,1993,3193,62.42%,423,1475,1898
"District Judge, 164th Judicial District",0355,700,286,986,1384,71.24%,85,867,952
"District Judge, 164th Judicial District",0356,1382,618,2000,2836,70.52%,1105,747,1852
"District Judge, 164th Judicial District",0357,1633,709,2342,3371,69.47%,1658,553,2211
"District Judge, 164th Judicial District",0358,740,464,1204,2297,52.42%,84,1073,1157
"District Judge, 164th Judicial District",0359,706,482,1188,3008,39.49%,92,1053,1145
"District Judge, 164th Judicial District",0360,969,515,1484,2190,67.76%,741,589,1330
"District Judge, 164th Judicial District",0361,135,691,826,1585,52.11%,134,561,695
"District Judge, 164th Judicial District",0362,2131,1200,3331,4952,67.27%,2335,812,3147
"District Judge, 164th Judicial District",0363,1346,687,2033,3291,61.77%,862,1092,1954
"District Judge, 164th Judicial District",0364,912,602,1514,2539,59.63%,735,694,1429
"District Judge, 164th Judicial District",0365,734,245,979,1302,75.19%,76,865,941
"District Judge, 164th Judicial District",0366,638,466,1104,2089,52.85%,221,841,1062
"District Judge, 164th Judicial District",0367,328,212,540,1019,52.99%,89,431,520
"District Judge, 164th Judicial District",0368,418,143,561,929,60.39%,145,398,543
"District Judge, 164th Judicial District",0369,107,53,160,490,32.65%,56,97,153
"District Judge, 164th Judicial District",0370,3143,1178,4321,5781,74.74%,3143,963,4106
"District Judge, 164th Judicial District",0371,226,69,295,475,62.11%,8,279,287
"District Judge, 164th Judicial District",0372,498,231,729,1215,60.00%,73,616,689
"District Judge, 164th Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 164th Judicial District",0374,139,187,326,748,43.58%,90,217,307
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0375,577,524,1101,2607,42.23%,429,605,1034
"District Judge, 164th Judicial District",0376,629,334,963,1916,50.26%,382,520,902
"District Judge, 164th Judicial District",0377,1055,707,1762,2871,61.37%,1248,386,1634
"District Judge, 164th Judicial District",0378,559,521,1080,1777,60.78%,647,380,1027
"District Judge, 164th Judicial District",0379,800,338,1138,2017,56.42%,82,1004,1086
"District Judge, 164th Judicial District",0380,2500,1183,3683,4753,77.49%,2004,1479,3483
"District Judge, 164th Judicial District",0381,957,424,1381,2715,50.87%,533,774,1307
"District Judge, 164th Judicial District",0382,276,231,507,841,60.29%,349,134,483
"District Judge, 164th Judicial District",0383,599,493,1092,2076,52.60%,322,714,1036
"District Judge, 164th Judicial District",0384,1172,505,1677,2596,64.60%,306,1296,1602
"District Judge, 164th Judicial District",0385,1099,621,1720,2175,79.08%,1214,370,1584
"District Judge, 164th Judicial District",0386,1464,460,1924,2872,66.99%,1332,497,1829
"District Judge, 164th Judicial District",0387,1369,802,2171,3727,58.25%,1421,629,2050
"District Judge, 164th Judicial District",0388,2780,1222,4002,5329,75.10%,2162,1656,3818
"District Judge, 164th Judicial District",0389,283,261,544,975,55.79%,79,419,498
"District Judge, 164th Judicial District",0390,644,368,1012,1565,64.66%,118,846,964
"District Judge, 164th Judicial District",0391,856,355,1211,1805,67.09%,734,403,1137
"District Judge, 164th Judicial District",0392,737,197,934,1441,64.82%,7,905,912
"District Judge, 164th Judicial District",0393,346,318,664,1206,55.06%,269,349,618
"District Judge, 164th Judicial District",0394,166,176,342,860,39.77%,128,190,318
"District Judge, 164th Judicial District",0395,830,491,1321,1820,72.58%,862,358,1220
"District Judge, 164th Judicial District",0396,1157,219,1376,2073,66.38%,12,1320,1332
"District Judge, 164th Judicial District",0397,163,148,311,750,41.47%,113,172,285
"District Judge, 164th Judicial District",0398,1438,840,2278,3816,59.70%,1071,1107,2178
"District Judge, 164th Judicial District",0399,896,593,1489,2542,58.58%,690,739,1429
"District Judge, 164th Judicial District",0400,1048,506,1554,2238,69.44%,1063,396,1459
"District Judge, 164th Judicial District",0401,723,284,1007,1876,53.68%,39,942,981
"District Judge, 164th Judicial District",0402,891,245,1136,1737,65.40%,44,1057,1101
"District Judge, 164th Judicial District",0403,791,527,1318,1703,77.39%,668,510,1178
"District Judge, 164th Judicial District",0404,778,552,1330,2589,51.37%,648,615,1263
"District Judge, 164th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 164th Judicial District",0406,281,72,353,610,57.87%,6,330,336
"District Judge, 164th Judicial District",0407,1317,1000,2317,3652,63.44%,1391,752,2143
"District Judge, 164th Judicial District",0408,154,179,333,933,35.69%,134,175,309
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0409,277,289,566,1371,41.28%,162,363,525
"District Judge, 164th Judicial District",0410,337,102,439,849,51.71%,75,348,423
"District Judge, 164th Judicial District",0411,542,462,1004,2302,43.61%,275,653,928
"District Judge, 164th Judicial District",0412,193,74,267,433,61.66%,11,247,258
"District Judge, 164th Judicial District",0413,1493,525,2018,3023,66.75%,732,1154,1886
"District Judge, 164th Judicial District",0414,1452,593,2045,3457,59.16%,1395,498,1893
"District Judge, 164th Judicial District",0415,950,633,1583,2124,74.53%,1030,442,1472
"District Judge, 164th Judicial District",0416,1174,916,2090,3582,58.35%,1026,929,1955
"District Judge, 164th Judicial District",0417,777,619,1396,2465,56.63%,592,720,1312
"District Judge, 164th Judicial District",0418,1057,758,1815,3420,53.07%,636,1077,1713
"District Judge, 164th Judicial District",0419,1006,578,1584,2697,58.73%,974,521,1495
"District Judge, 164th Judicial District",0420,2174,1089,3263,4639,70.34%,2566,504,3070
"District Judge, 164th Judicial District",0421,124,92,216,467,46.25%,45,161,206
"District Judge, 164th Judicial District",0422,1456,585,2041,3345,61.02%,36,1941,1977
"District Judge, 164th Judicial District",0423,190,309,499,894,55.82%,195,271,466
"District Judge, 164th Judicial District",0424,435,1,57,592,888,66.67%,322,246,568
"District Judge, 164th Judicial District",0425,227,234,461,875,52.69%,137,296,433
"District Judge, 164th Judicial District",0426,415,283,698,1224,57.03%,357,271,628
"District Judge, 164th Judicial District",0427,325,249,574,1115,51.48%,198,331,529
"District Judge, 164th Judicial District",0428,1284,907,2191,4316,50.76%,622,1417,2039
"District Judge, 164th Judicial District",0429,1091,777,1868,3929,47.54%,338,1390,1728
"District Judge, 164th Judicial District",0430,403,335,738,1654,44.62%,142,534,676
"District Judge, 164th Judicial District",0431,819,403,1222,3188,38.33%,297,845,1142
"District Judge, 164th Judicial District",0432,311,271,582,1344,43.30%,154,399,553
"District Judge, 164th Judicial District",0433,139,106,245,573,42.76%,38,194,232
"District Judge, 164th Judicial District",0434,628,371,999,1386,72.08%,594,336,930
"District Judge, 164th Judicial District",0435,1534,768,2302,3097,74.33%,1414,717,2131
"District Judge, 164th Judicial District",0436,1334,709,2043,3012,67.83%,1125,751,1876
"District Judge, 164th Judicial District",0437,951,542,1493,2007,74.39%,987,398,1385
"District Judge, 164th Judicial District",0438,1046,387,1433,1802,79.52%,991,311,1302
"District Judge, 164th Judicial District",0439,1526,905,2431,3416,71.17%,1622,626,2248
"District Judge, 164th Judicial District",0440,1326,876,2202,2867,76.81%,1609,402,2011
"District Judge, 164th Judicial District",0441,698,513,1211,1616,74.94%,835,288,1123
"District Judge, 164th Judicial District",0442,1366,513,1879,2504,75.04%,1474,305,1779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0443,335,148,483,605,79.83%,317,128,445
"District Judge, 164th Judicial District",0444,1258,731,1989,3172,62.70%,1127,715,1842
"District Judge, 164th Judicial District",0445,860,443,1303,1938,67.23%,763,450,1213
"District Judge, 164th Judicial District",0446,70,52,122,268,45.52%,44,70,114
"District Judge, 164th Judicial District",0447,271,108,379,583,65.01%,120,228,348
"District Judge, 164th Judicial District",0448,1239,869,2108,3081,68.42%,1154,766,1920
"District Judge, 164th Judicial District",0449,62,37,99,164,60.37%,12,79,91
"District Judge, 164th Judicial District",0450,856,537,1393,2622,53.13%,331,990,1321
"District Judge, 164th Judicial District",0451,1575,515,2090,2674,78.16%,1620,351,1971
"District Judge, 164th Judicial District",0452,1109,639,1748,2810,62.21%,1255,418,1673
"District Judge, 164th Judicial District",0453,559,475,1034,1885,54.85%,324,646,970
"District Judge, 164th Judicial District",0454,1226,311,1537,2571,59.78%,11,1480,1491
"District Judge, 164th Judicial District",0455,748,216,964,1679,57.42%,27,900,927
"District Judge, 164th Judicial District",0456,1266,593,1859,3350,55.49%,945,805,1750
"District Judge, 164th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 164th Judicial District",0458,908,271,1179,1893,62.28%,47,1093,1140
"District Judge, 164th Judicial District",0459,1637,476,2113,2950,71.63%,1590,400,1990
"District Judge, 164th Judicial District",0460,1250,402,1652,2346,70.42%,410,1168,1578
"District Judge, 164th Judicial District",0461,1958,828,2786,3733,74.63%,1703,858,2561
"District Judge, 164th Judicial District",0462,1318,865,2183,3367,64.84%,742,1288,2030
"District Judge, 164th Judicial District",0463,1124,656,1780,2962,60.09%,676,1016,1692
"District Judge, 164th Judicial District",0464,786,612,1398,2126,65.76%,911,409,1320
"District Judge, 164th Judicial District",0465,1465,702,2167,3343,64.82%,1091,997,2088
"District Judge, 164th Judicial District",0466,2052,729,2781,4072,68.30%,1481,1178,2659
"District Judge, 164th Judicial District",0467,478,229,707,1230,57.48%,161,508,669
"District Judge, 164th Judicial District",0468,984,793,1777,3354,52.98%,484,1189,1673
"District Judge, 164th Judicial District",0469,2039,638,2677,3779,70.84%,1974,548,2522
"District Judge, 164th Judicial District",0470,443,323,766,1349,56.78%,520,198,718
"District Judge, 164th Judicial District",0471,792,597,1389,2349,59.13%,1022,299,1321
"District Judge, 164th Judicial District",0472,370,337,707,1027,68.84%,299,337,636
"District Judge, 164th Judicial District",0473,914,442,1356,1827,74.22%,872,382,1254
"District Judge, 164th Judicial District",0474,1146,766,1912,3006,63.61%,1256,545,1801
"District Judge, 164th Judicial District",0475,485,473,958,1651,58.03%,392,504,896
"District Judge, 164th Judicial District",0476,809,658,1467,2412,60.82%,792,599,1391
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0477,1441,742,2183,3195,68.33%,1572,506,2078
"District Judge, 164th Judicial District",0478,1959,898,2857,4150,68.84%,1788,906,2694
"District Judge, 164th Judicial District",0479,1298,588,1886,2648,71.22%,1316,478,1794
"District Judge, 164th Judicial District",0480,936,555,1491,2267,65.77%,997,399,1396
"District Judge, 164th Judicial District",0481,1463,852,2315,3298,70.19%,1658,534,2192
"District Judge, 164th Judicial District",0482,1963,836,2799,4129,67.79%,1880,793,2673
"District Judge, 164th Judicial District",0483,1868,759,2627,4141,63.44%,1334,1141,2475
"District Judge, 164th Judicial District",0484,2236,1008,3244,4594,70.61%,2213,869,3082
"District Judge, 164th Judicial District",0485,2421,990,3411,4838,70.50%,2446,813,3259
"District Judge, 164th Judicial District",0486,1843,805,2648,3572,74.13%,1971,543,2514
"District Judge, 164th Judicial District",0487,1005,612,1617,3318,48.73%,440,1046,1486
"District Judge, 164th Judicial District",0488,580,440,1020,1713,59.54%,322,615,937
"District Judge, 164th Judicial District",0489,783,378,1161,1823,63.69%,305,785,1090
"District Judge, 164th Judicial District",0490,876,439,1315,1944,67.64%,446,786,1232
"District Judge, 164th Judicial District",0491,667,489,1156,1782,64.87%,626,451,1077
"District Judge, 164th Judicial District",0492,1069,504,1573,2351,66.91%,779,672,1451
"District Judge, 164th Judicial District",0493,858,400,1258,1804,69.73%,762,395,1157
"District Judge, 164th Judicial District",0494,760,431,1191,2176,54.73%,132,1017,1149
"District Judge, 164th Judicial District",0495,1120,494,1614,2284,70.67%,1088,419,1507
"District Judge, 164th Judicial District",0496,496,571,1067,2086,51.15%,374,619,993
"District Judge, 164th Judicial District",0497,1123,303,1426,2226,64.06%,49,1323,1372
"District Judge, 164th Judicial District",0498,759,499,1258,2123,59.26%,497,696,1193
"District Judge, 164th Judicial District",0499,1301,517,1818,2304,78.91%,1251,449,1700
"District Judge, 164th Judicial District",0500,1507,746,2253,3175,70.96%,1466,662,2128
"District Judge, 164th Judicial District",0501,653,487,1140,1647,69.22%,401,637,1038
"District Judge, 164th Judicial District",0502,1150,332,1482,2364,62.69%,1084,303,1387
"District Judge, 164th Judicial District",0503,359,273,632,1363,46.37%,184,399,583
"District Judge, 164th Judicial District",0504,1129,538,1667,2197,75.88%,1030,523,1553
"District Judge, 164th Judicial District",0505,1209,829,2038,3654,55.77%,853,1037,1890
"District Judge, 164th Judicial District",0506,1470,801,2271,3380,67.19%,349,1832,2181
"District Judge, 164th Judicial District",0507,582,385,967,2435,39.71%,143,690,833
"District Judge, 164th Judicial District",0508,946,760,1706,3248,52.52%,520,1044,1564
"District Judge, 164th Judicial District",0509,1340,864,2204,3536,62.33%,1491,596,2087
"District Judge, 164th Judicial District",0510,1492,682,2174,3511,61.92%,925,1116,2041
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 164th Judicial District",0512,1558,1127,2885,4582,58.80%,1172,1381,2553
"District Judge, 164th Judicial District",0513,1805,507,2112,2752,78.74%,1525,471,1998
"District Judge, 164th Judicial District",0514,1988,880,2828,3941,71.71%,2011,879,2890
"District Judge, 164th Judicial District",0515,1892,708,2400,3173,75.84%,1855,413,2288
"District Judge, 164th Judicial District",0518,2179,1088,3245,4934,85.77%,1518,1539,3055
"District Judge, 164th Judicial District",0517,1208,853,1881,3320,58.05%,929,828,1755
"District Judge, 164th Judicial District",0518,1478,919,2397,3755,83.83%,1448,807,2253
"District Judge, 164th Judicial District",0519,1234,845,1879,2951,83.87%,1315,472,1787
"District Judge, 164th Judicial District",0520,1542,857,2399,4084,59.03%,358,1951,2307
"District Judge, 164th Judicial District",0521,1011,894,1705,2725,82.57%,825,788,1813
"District Judge, 164th Judicial District",0522,1171,858,1829,2882,88.20%,1321,408,1729
"District Judge, 164th Judicial District",0523,1338,889,2027,3080,88.24%,1279,593,1872
"District Judge, 164th Judicial District",0524,1237,875,1912,3292,58.08%,528,1292,1820
"District Judge, 164th Judicial District",0525,1380,810,1990,2947,87.53%,385,1531,1898
"District Judge, 164th Judicial District",0528,187,171,338,731,48.24%,82,239,321
"District Judge, 164th Judicial District",0527,80,24,104,589,18.28%,45,52,97
"District Judge, 164th Judicial District",0528,38,12,48,92,52.17%,4,43,47
"District Judge, 164th Judicial District",0529,1987,441,2428,3818,87.15%,1954,352,2308
"District Judge, 164th Judicial District",0530,259,235,494,1198,41.30%,98,382,458
"District Judge, 164th Judicial District",0531,872,113,785,1094,71.78%,584,148,730
"District Judge, 164th Judicial District",0532,452,184,838,1039,81.21%,412,193,805
"District Judge, 164th Judicial District",0533,317,207,524,1089,49.02%,258,238,494
"District Judge, 164th Judicial District",0534,1858,875,2333,3795,81.48%,1823,588,2211
"District Judge, 164th Judicial District",0535,80,94,174,421,41.33%,80,102,182
"District Judge, 164th Judicial District",0538,1332,1195,2527,4578,55.22%,881,1508,2387
"District Judge, 164th Judicial District",0537,1454,823,2277,2971,78.84%,1589,554,2143
"District Judge, 164th Judicial District",0538,433,237,870,1282,52.28%,18,832,848
"District Judge, 164th Judicial District",0539,28,209,235,71,330.99%,44,170,214
"District Judge, 164th Judicial District",0540,888,380,1048,1491,70.15%,398,538,938
"District Judge, 164th Judicial District",0541,1824,779,2803,4183,82.23%,329,2149,2478
"District Judge, 164th Judicial District",0542,997,501,1498,2525,59.33%,80,1389,1449
"District Judge, 164th Judicial District",0543,287,378,885,1528,43.52%,187,433,820
"District Judge, 164th Judicial District",0544,92,53,145,318,45.80%,18,125,141
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0545,1314,857,2171,3339,65.02%,973,1075,2048
"District Judge, 164th Judicial District",0546,4,4,8,30,26.67%,2,5,7
"District Judge, 164th Judicial District",0547,877,647,1524,2408,63.29%,1005,434,1439
"District Judge, 164th Judicial District",0548,720,476,1196,2129,56.18%,511,630,1141
"District Judge, 164th Judicial District",0549,944,586,1530,2530,60.47%,201,1263,1464
"District Judge, 164th Judicial District",0550,1134,629,1763,2847,61.92%,836,864,1700
"District Judge, 164th Judicial District",0551,3088,1527,4615,6135,75.22%,3223,1148,4371
"District Judge, 164th Judicial District",0552,1621,844,2465,3241,76.06%,1965,385,2350
"District Judge, 164th Judicial District",0553,1465,951,2416,4355,55.48%,992,1315,2307
"District Judge, 164th Judicial District",0554,562,340,902,1731,52.11%,133,706,839
"District Judge, 164th Judicial District",0555,597,447,1044,2119,49.27%,158,833,991
"District Judge, 164th Judicial District",0556,584,421,1005,2249,44.69%,198,751,949
"District Judge, 164th Judicial District",0557,822,556,1378,2726,50.55%,417,852,1269
"District Judge, 164th Judicial District",0558,1588,824,2412,4084,59.06%,726,1559,2285
"District Judge, 164th Judicial District",0559,1787,899,2686,4633,57.98%,593,1943,2536
"District Judge, 164th Judicial District",0560,172,289,461,1176,39.20%,82,340,422
"District Judge, 164th Judicial District",0561,837,759,1596,3033,52.62%,837,676,1513
"District Judge, 164th Judicial District",0562,201,146,347,645,53.80%,23,308,331
"District Judge, 164th Judicial District",0563,1699,415,2114,2969,71.20%,1558,424,1982
"District Judge, 164th Judicial District",0564,1150,713,1863,3096,60.17%,450,1265,1715
"District Judge, 164th Judicial District",0565,315,194,509,1373,37.07%,86,387,473
"District Judge, 164th Judicial District",0566,1122,478,1600,2950,54.24%,413,1117,1530
"District Judge, 164th Judicial District",0567,672,394,1066,2198,48.50%,259,713,972
"District Judge, 164th Judicial District",0568,1628,837,2465,3487,70.69%,1501,769,2270
"District Judge, 164th Judicial District",0569,1294,865,2159,3249,66.45%,1100,888,1988
"District Judge, 164th Judicial District",0570,525,409,934,1473,63.41%,394,456,850
"District Judge, 164th Judicial District",0571,333,312,645,1758,36.69%,188,406,594
"District Judge, 164th Judicial District",0572,1283,574,1857,2998,61.94%,808,944,1752
"District Judge, 164th Judicial District",0573,577,368,945,1618,58.41%,10,912,922
"District Judge, 164th Judicial District",0574,98,79,177,391,45.27%,18,146,164
"District Judge, 164th Judicial District",0575,27,9,36,79,45.57%,31,4,35
"District Judge, 164th Judicial District",0576,1050,552,1602,2671,59.98%,45,1504,1549
"District Judge, 164th Judicial District",0577,231,113,344,573,60.03%,179,145,324
"District Judge, 164th Judicial District",0578,745,553,1298,1689,76.85%,748,424,1172
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0579,487,351,838,1806,46.40%,178,606,784
"District Judge, 164th Judicial District",0580,429,146,575,1027,55.99%,12,546,558
"District Judge, 164th Judicial District",0581,510,162,672,1041,64.55%,18,628,646
"District Judge, 164th Judicial District",0582,614,256,870,1613,53.94%,44,798,842
"District Judge, 164th Judicial District",0583,544,127,671,1248,53.77%,10,645,655
"District Judge, 164th Judicial District",0584,392,139,531,971,54.69%,29,496,525
"District Judge, 164th Judicial District",0585,934,304,1238,2403,51.52%,30,1172,1202
"District Judge, 164th Judicial District",0585,1306,1189,2495,4230,58.98%,1459,929,2388
"District Judge, 164th Judicial District",0587,933,465,1398,2174,64.31%,477,870,1347
"District Judge, 164th Judicial District",0588,1536,871,2407,3468,69.41%,1637,660,2297
"District Judge, 164th Judicial District",0589,1033,738,1771,3130,56.58%,886,802,1688
"District Judge, 164th Judicial District",0590,1158,463,1621,2136,75.89%,1171,363,1534
"District Judge, 164th Judicial District",0591,420,449,869,2114,41.11%,210,599,809
"District Judge, 164th Judicial District",0592,370,288,658,1258,52.31%,144,483,627
"District Judge, 164th Judicial District",0593,1148,999,2147,4059,52.89%,925,1104,2029
"District Judge, 164th Judicial District",0594,1031,535,1566,2361,66.33%,426,1072,1498
"District Judge, 164th Judicial District",0595,497,380,877,1647,53.25%,130,716,846
"District Judge, 164th Judicial District",0596,945,690,1635,2848,57.41%,814,747,1561
"District Judge, 164th Judicial District",0597,1067,719,1786,3267,54.67%,579,1132,1711
"District Judge, 164th Judicial District",0598,335,103,438,724,60.50%,324,86,410
"District Judge, 164th Judicial District",0599,1895,866,2761,4135,66.77%,882,1765,2647
"District Judge, 164th Judicial District",0600,1383,869,2252,3820,58.95%,751,1381,2132
"District Judge, 164th Judicial District",0601,2028,858,2886,3990,72.33%,2110,649,2759
"District Judge, 164th Judicial District",0602,562,296,858,1237,69.36%,574,251,825
"District Judge, 164th Judicial District",0603,1437,1163,2600,3917,66.38%,1517,979,2496
"District Judge, 164th Judicial District",0604,1444,528,1972,2910,67.77%,1579,300,1879
"District Judge, 164th Judicial District",0605,2227,889,3116,5251,59.34%,701,2275,2976
"District Judge, 164th Judicial District",0606,420,122,542,1053,51.47%,5,519,524
"District Judge, 164th Judicial District",0607,194,118,312,731,42.68%,20,276,296
"District Judge, 164th Judicial District",0608,245,290,535,1256,42.60%,194,298,492
"District Judge, 164th Judicial District",0609,1364,844,2208,3261,67.71%,1291,768,2059
"District Judge, 164th Judicial District",0610,403,398,801,1825,43.89%,326,420,746
"District Judge, 164th Judicial District",0611,1120,301,1421,2450,58.00%,33,1351,1384
"District Judge, 164th Judicial District",0612,1700,579,2279,3272,69.65%,1633,502,2135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0613,495,309,804,1450,55.45%,112,661,773
"District Judge, 164th Judicial District",0614,1631,812,2443,3932,62.13%,768,1557,2325
"District Judge, 164th Judicial District",0615,931,404,1335,1926,69.31%,750,515,1265
"District Judge, 164th Judicial District",0616,1352,970,2322,3378,68.74%,1541,654,2195
"District Judge, 164th Judicial District",0617,1318,849,2167,3546,61.11%,738,1333,2071
"District Judge, 164th Judicial District",0618,1920,1021,2941,5344,55.03%,1230,1578,2808
"District Judge, 164th Judicial District",0619,2133,857,2990,4266,70.09%,2132,703,2835
"District Judge, 164th Judicial District",0620,2382,856,3238,5271,61.43%,1478,1541,3019
"District Judge, 164th Judicial District",0621,397,203,600,1173,51.15%,282,288,570
"District Judge, 164th Judicial District",0622,1722,829,2551,4305,59.26%,1421,998,2419
"District Judge, 164th Judicial District",0623,1708,626,2334,3481,67.05%,1420,765,2185
"District Judge, 164th Judicial District",0624,9,0,9,16,56.25%,4,5,9
"District Judge, 164th Judicial District",0625,862,454,1316,1796,73.27%,697,505,1202
"District Judge, 164th Judicial District",0626,1148,655,1803,2838,63.53%,843,851,1694
"District Judge, 164th Judicial District",0627,795,647,1442,2964,48.65%,383,968,1351
"District Judge, 164th Judicial District",0628,292,456,748,1600,46.75%,291,414,705
"District Judge, 164th Judicial District",0629,175,127,302,629,48.01%,20,275,295
"District Judge, 164th Judicial District",0630,2018,535,2553,3190,80.03%,207,2254,2461
"District Judge, 164th Judicial District",0631,1489,392,1881,2733,68.83%,1278,496,1774
"District Judge, 164th Judicial District",0632,12,9,21,231,9.09%,5,13,18
"District Judge, 164th Judicial District",0633,1782,678,2460,3257,75.53%,1717,612,2329
"District Judge, 164th Judicial District",0634,1020,734,1754,2922,60.03%,1041,622,1663
"District Judge, 164th Judicial District",0635,1326,706,2032,3280,61.95%,1493,447,1940
"District Judge, 164th Judicial District",0636,1791,974,2765,3881,71.24%,2303,351,2654
"District Judge, 164th Judicial District",0637,739,509,1248,2471,50.51%,273,868,1141
"District Judge, 164th Judicial District",0638,740,684,1424,2078,68.53%,85,1278,1363
"District Judge, 164th Judicial District",0639,828,711,1539,2501,61.54%,1169,301,1470
"District Judge, 164th Judicial District",0640,1382,723,2105,3548,59.33%,1169,835,2004
"District Judge, 164th Judicial District",0641,1265,878,2143,3375,63.50%,1262,777,2039
"District Judge, 164th Judicial District",0642,871,447,1318,1779,74.09%,1035,216,1251
