Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Harvey Brown,DEM Chuck Silverman,Totals
"Justice, 1st Court of Appeals District, Place 6",0068,1199,486,1685,2782,60.57%,30,1604,1634
"Justice, 1st Court of Appeals District, Place 6",0069,218,284,502,1303,38.53%,77,366,443
"Justice, 1st Court of Appeals District, Place 6",0070,1634,726,2360,3142,75.11%,1467,720,2187
"Justice, 1st Court of Appeals District, Place 6",0071,1423,948,2371,3662,64.75%,1225,984,2209
"Justice, 1st Court of Appeals District, Place 6",0072,441,562,1003,1882,53.29%,268,654,922
"Justice, 1st Court of Appeals District, Place 6",0073,500,496,996,1494,66.67%,568,353,921
"Justice, 1st Court of Appeals District, Place 6",0074,2212,530,2742,3632,75.50%,2090,480,2570
"Justice, 1st Court of Appeals District, Place 6",0075,482,370,852,1329,64.11%,340,451,791
"Justice, 1st Court of Appeals District, Place 6",0076,814,569,1383,2328,59.41%,724,567,1291
"Justice, 1st Court of Appeals District, Place 6",0077,168,81,249,565,44.07%,50,184,234
"Justice, 1st Court of Appeals District, Place 6",0078,359,344,703,1479,47.53%,202,426,628
"Justice, 1st Court of Appeals District, Place 6",0079,511,717,1228,2959,41.50%,230,894,1124
"Justice, 1st Court of Appeals District, Place 6",0080,1159,481,1640,2712,60.47%,347,1207,1554
"Justice, 1st Court of Appeals District, Place 6",0081,540,309,849,1839,46.17%,262,526,788
"Justice, 1st Court of Appeals District, Place 6",0082,1353,816,2169,3284,66.05%,1576,496,2072
"Justice, 1st Court of Appeals District, Place 6",0083,2628,1181,3809,5598,68.04%,1771,1893,3664
"Justice, 1st Court of Appeals District, Place 6",0084,444,346,790,1389,56.88%,549,211,760
"Justice, 1st Court of Appeals District, Place 6",0085,730,548,1278,2079,61.47%,28,1195,1223
"Justice, 1st Court of Appeals District, Place 6",0086,1054,689,1743,2637,66.10%,811,801,1612
"Justice, 1st Court of Appeals District, Place 6",0087,1222,861,2083,2749,75.77%,1375,543,1918
"Justice, 1st Court of Appeals District, Place 6",0088,235,162,397,678,58.55%,246,136,382
"Justice, 1st Court of Appeals District, Place 6",0089,343,454,797,1104,72.19%,489,241,730
"Justice, 1st Court of Appeals District, Place 6",0090,1498,958,2456,3571,68.78%,1789,536,2325
"Justice, 1st Court of Appeals District, Place 6",0091,466,333,799,1248,64.02%,480,286,766
"Justice, 1st Court of Appeals District, Place 6",0092,1105,534,1639,2228,73.56%,1136,397,1533
"Justice, 1st Court of Appeals District, Place 6",0093,782,643,1425,3295,43.25%,512,813,1325
"Justice, 1st Court of Appeals District, Place 6",0094,148,104,252,537,46.93%,52,185,237
"Justice, 1st Court of Appeals District, Place 6",0095,1685,671,2356,3179,74.11%,1619,596,2215
"Justice, 1st Court of Appeals District, Place 6",0096,364,237,601,1241,48.43%,60,521,581
"Justice, 1st Court of Appeals District, Place 6",0097,2393,764,3157,4566,69.14%,2279,723,3002
"Justice, 1st Court of Appeals District, Place 6",0098,874,607,1481,2403,61.63%,1191,229,1420
"Justice, 1st Court of Appeals District, Place 6",0099,568,311,879,2040,43.09%,388,454,842
"Justice, 1st Court of Appeals District, Place 6",0100,427,324,751,1754,42.82%,329,388,717
"Justice, 1st Court of Appeals District, Place 6",0101,204,186,390,941,41.45%,89,289,378
"Justice, 1st Court of Appeals District, Place 6",0102,493,268,761,1910,39.84%,191,544,735
"Justice, 1st Court of Appeals District, Place 6",0103,1915,1065,2980,4751,62.72%,1531,1318,2849
"Justice, 1st Court of Appeals District, Place 6",0104,992,238,1230,1847,66.59%,25,1171,1196
"Justice, 1st Court of Appeals District, Place 6",0105,462,453,915,2153,42.50%,227,623,850
"Justice, 1st Court of Appeals District, Place 6",0106,49,37,86,284,30.28%,39,42,81
"Justice, 1st Court of Appeals District, Place 6",0107,412,441,853,1905,44.78%,136,679,815
"Justice, 1st Court of Appeals District, Place 6",0108,1194,514,1708,3229,52.90%,875,744,1619
"Justice, 1st Court of Appeals District, Place 6",0109,1160,430,1590,2884,55.13%,27,1518,1545
"Justice, 1st Court of Appeals District, Place 6",0110,1465,589,2054,2853,71.99%,1223,721,1944
"Justice, 1st Court of Appeals District, Place 6",0111,1868,848,2716,3638,74.66%,1974,590,2564
"Justice, 1st Court of Appeals District, Place 6",0112,1262,668,1930,2894,66.69%,1335,507,1842
"Justice, 1st Court of Appeals District, Place 6",0113,1125,590,1715,2537,67.60%,964,665,1629
"Justice, 1st Court of Appeals District, Place 6",0114,1454,546,2000,2650,75.47%,1541,380,1921
"Justice, 1st Court of Appeals District, Place 6",0115,598,305,903,1764,51.19%,101,772,873
"Justice, 1st Court of Appeals District, Place 6",0116,1626,747,2373,3014,78.73%,1823,423,2246
"Justice, 1st Court of Appeals District, Place 6",0117,398,462,860,1878,45.79%,355,459,814
"Justice, 1st Court of Appeals District, Place 6",0118,460,148,608,743,81.83%,483,95,578
"Justice, 1st Court of Appeals District, Place 6",0119,1924,1265,3189,4892,65.19%,2472,613,3085
"Justice, 1st Court of Appeals District, Place 6",0120,1198,632,1830,2986,61.29%,1103,617,1720
"Justice, 1st Court of Appeals District, Place 6",0121,193,244,437,679,64.36%,282,132,414
"Justice, 1st Court of Appeals District, Place 6",0122,895,349,1244,2199,56.57%,33,1159,1192
"Justice, 1st Court of Appeals District, Place 6",0123,440,350,790,1356,58.26%,233,500,733
"Justice, 1st Court of Appeals District, Place 6",0124,3522,1281,4803,5952,80.70%,3750,838,4588
"Justice, 1st Court of Appeals District, Place 6",0125,896,534,1430,2281,62.69%,812,560,1372
"Justice, 1st Court of Appeals District, Place 6",0126,1630,407,2037,2799,72.78%,1731,214,1945
"Justice, 1st Court of Appeals District, Place 6",0127,854,182,1036,1703,60.83%,708,283,991
"Justice, 1st Court of Appeals District, Place 6",0128,936,736,1672,2257,74.08%,1070,451,1521
"Justice, 1st Court of Appeals District, Place 6",0129,2294,1449,3743,5495,68.12%,2295,1226,3521
"Justice, 1st Court of Appeals District, Place 6",0130,1203,523,1726,2240,77.05%,1273,349,1622
"Justice, 1st Court of Appeals District, Place 6",0131,604,374,978,1721,56.83%,224,713,937
"Justice, 1st Court of Appeals District, Place 6",0132,1119,397,1516,2449,61.90%,24,1442,1466
"Justice, 1st Court of Appeals District, Place 6",0133,1088,940,2028,2605,77.85%,1256,601,1857
"Justice, 1st Court of Appeals District, Place 6",0134,420,392,812,1444,56.23%,347,413,760
"Justice, 1st Court of Appeals District, Place 6",0135,1425,634,2059,2750,74.87%,1343,559,1902
"Justice, 1st Court of Appeals District, Place 6",0136,981,451,1432,2111,67.84%,58,1319,1377
"Justice, 1st Court of Appeals District, Place 6",0137,305,193,498,740,67.30%,259,196,455
"Justice, 1st Court of Appeals District, Place 6",0138,661,259,920,1749,52.60%,24,866,890
"Justice, 1st Court of Appeals District, Place 6",0139,1290,747,2037,2746,74.18%,1001,858,1859
"Justice, 1st Court of Appeals District, Place 6",0140,1315,683,1998,3104,64.37%,297,1590,1887
"Justice, 1st Court of Appeals District, Place 6",0141,181,143,324,872,37.16%,196,110,306
"Justice, 1st Court of Appeals District, Place 6",0142,212,171,383,870,44.02%,94,262,356
"Justice, 1st Court of Appeals District, Place 6",0143,2994,660,3654,4598,79.47%,2544,968,3512
"Justice, 1st Court of Appeals District, Place 6",0144,477,204,681,1143,59.58%,6,657,663
"Justice, 1st Court of Appeals District, Place 6",0145,663,245,908,1580,57.47%,15,877,892
"Justice, 1st Court of Appeals District, Place 6",0146,759,614,1373,1953,70.30%,611,666,1277
"Justice, 1st Court of Appeals District, Place 6",0147,1255,485,1740,2813,61.86%,202,1497,1699
"Justice, 1st Court of Appeals District, Place 6",0148,908,924,1832,2467,74.26%,829,858,1687
"Justice, 1st Court of Appeals District, Place 6",0149,2860,1322,4182,6103,68.52%,1844,2162,4006
"Justice, 1st Court of Appeals District, Place 6",0150,539,207,746,1212,61.55%,19,708,727
"Justice, 1st Court of Appeals District, Place 6",0151,316,148,464,846,54.85%,20,417,437
"Justice, 1st Court of Appeals District, Place 6",0152,483,602,1085,2701,40.17%,230,795,1025
"Justice, 1st Court of Appeals District, Place 6",0153,328,437,765,1755,43.59%,192,521,713
"Justice, 1st Court of Appeals District, Place 6",0154,593,360,953,2133,44.68%,203,652,855
"Justice, 1st Court of Appeals District, Place 6",0155,1957,834,2791,4087,68.29%,1885,764,2649
"Justice, 1st Court of Appeals District, Place 6",0156,1427,457,1884,3134,60.11%,49,1758,1807
"Justice, 1st Court of Appeals District, Place 6",0157,881,382,1263,2311,54.65%,41,1183,1224
"Justice, 1st Court of Appeals District, Place 6",0158,1304,435,1739,3016,57.66%,24,1673,1697
"Justice, 1st Court of Appeals District, Place 6",0159,313,187,500,976,51.23%,66,411,477
"Justice, 1st Court of Appeals District, Place 6",0160,246,140,386,688,56.10%,12,360,372
"Justice, 1st Court of Appeals District, Place 6",0161,395,190,585,1030,56.80%,10,555,565
"Justice, 1st Court of Appeals District, Place 6",0162,232,262,494,1249,39.55%,141,302,443
"Justice, 1st Court of Appeals District, Place 6",0163,778,635,1413,3054,46.27%,389,856,1245
"Justice, 1st Court of Appeals District, Place 6",0164,505,304,809,1434,56.42%,12,776,788
"Justice, 1st Court of Appeals District, Place 6",0165,918,557,1475,2284,64.58%,930,459,1389
"Justice, 1st Court of Appeals District, Place 6",0166,281,311,592,1016,58.27%,197,355,552
"Justice, 1st Court of Appeals District, Place 6",0167,5,2,7,23,30.43%,0,7,7
"Justice, 1st Court of Appeals District, Place 6",0168,188,126,314,519,60.50%,8,294,302
"Justice, 1st Court of Appeals District, Place 6",0169,1060,433,1493,2531,58.99%,24,1434,1458
"Justice, 1st Court of Appeals District, Place 6",0170,481,353,834,1887,44.20%,392,385,777
"Justice, 1st Court of Appeals District, Place 6",0171,514,294,808,1613,50.09%,28,747,775
"Justice, 1st Court of Appeals District, Place 6",0172,161,147,308,600,51.33%,100,184,284
"Justice, 1st Court of Appeals District, Place 6",0173,1798,619,2417,3105,77.84%,1847,458,2305
"Justice, 1st Court of Appeals District, Place 6",0174,1554,767,2321,3159,73.47%,1562,593,2155
"Justice, 1st Court of Appeals District, Place 6",0175,1065,867,1932,2506,77.09%,1035,747,1782
"Justice, 1st Court of Appeals District, Place 6",0176,627,530,1157,1581,73.18%,628,435,1063
"Justice, 1st Court of Appeals District, Place 6",0177,672,385,1057,1478,71.52%,654,346,1000
"Justice, 1st Court of Appeals District, Place 6",0178,914,368,1282,1718,74.62%,871,315,1186
"Justice, 1st Court of Appeals District, Place 6",0179,449,321,770,1508,51.06%,350,368,718
"Justice, 1st Court of Appeals District, Place 6",0180,966,552,1518,2795,54.31%,41,1409,1450
"Justice, 1st Court of Appeals District, Place 6",0181,416,514,930,1968,47.26%,260,616,876
"Justice, 1st Court of Appeals District, Place 6",0182,1321,1081,2402,3289,73.03%,1450,746,2196
"Justice, 1st Court of Appeals District, Place 6",0183,970,943,1913,2451,78.05%,1294,480,1774
"Justice, 1st Court of Appeals District, Place 6",0184,214,256,470,969,48.50%,129,304,433
"Justice, 1st Court of Appeals District, Place 6",0185,592,494,1086,1910,56.86%,340,673,1013
"Justice, 1st Court of Appeals District, Place 6",0186,204,170,374,795,47.04%,39,310,349
"Justice, 1st Court of Appeals District, Place 6",0187,48,65,113,309,36.57%,25,82,107
"Justice, 1st Court of Appeals District, Place 6",0188,307,378,685,1616,42.39%,245,405,650
"Justice, 1st Court of Appeals District, Place 6",0189,492,473,965,1453,66.41%,504,373,877
"Justice, 1st Court of Appeals District, Place 6",0190,275,401,676,1720,39.30%,227,403,630
"Justice, 1st Court of Appeals District, Place 6",0191,197,313,510,1391,36.66%,173,311,484
"Justice, 1st Court of Appeals District, Place 6",0192,746,332,1078,2045,52.71%,36,1001,1037
"Justice, 1st Court of Appeals District, Place 6",0193,341,269,610,1050,58.10%,14,578,592
"Justice, 1st Court of Appeals District, Place 6",0194,706,504,1210,1735,69.74%,375,749,1124
"Justice, 1st Court of Appeals District, Place 6",0195,539,419,958,1721,55.67%,30,896,926
"Justice, 1st Court of Appeals District, Place 6",0196,121,55,176,323,54.49%,6,164,170
"Justice, 1st Court of Appeals District, Place 6",0197,1109,497,1606,2895,55.47%,34,1524,1558
"Justice, 1st Court of Appeals District, Place 6",0198,143,158,301,657,45.81%,5,285,290
"Justice, 1st Court of Appeals District, Place 6",0199,1407,773,2180,3159,69.01%,1631,447,2078
"Justice, 1st Court of Appeals District, Place 6",0200,1638,585,2223,3222,68.99%,1059,986,2045
"Justice, 1st Court of Appeals District, Place 6",0201,229,125,354,728,48.63%,14,332,346
"Justice, 1st Court of Appeals District, Place 6",0202,488,332,820,1479,55.44%,16,768,784
"Justice, 1st Court of Appeals District, Place 6",0203,266,156,422,900,46.89%,79,321,400
"Justice, 1st Court of Appeals District, Place 6",0204,1491,914,2405,3462,69.47%,1370,864,2234
"Justice, 1st Court of Appeals District, Place 6",0205,856,201,1057,1667,63.41%,20,1007,1027
"Justice, 1st Court of Appeals District, Place 6",0206,651,659,1310,2662,49.21%,401,819,1220
"Justice, 1st Court of Appeals District, Place 6",0207,410,310,720,1144,62.94%,247,409,656
"Justice, 1st Court of Appeals District, Place 6",0208,806,364,1170,2201,53.16%,292,813,1105
"Justice, 1st Court of Appeals District, Place 6",0209,0,4,4,0,0.00%,4,0,4
"Justice, 1st Court of Appeals District, Place 6",0210,1013,542,1555,2300,67.61%,176,1302,1478
"Justice, 1st Court of Appeals District, Place 6",0211,710,686,1396,2797,49.91%,460,830,1290
"Justice, 1st Court of Appeals District, Place 6",0212,218,314,532,1266,42.02%,92,413,505
"Justice, 1st Court of Appeals District, Place 6",0213,1603,939,2542,3308,76.84%,2010,395,2405
"Justice, 1st Court of Appeals District, Place 6",0214,798,544,1342,1795,74.76%,829,401,1230
"Justice, 1st Court of Appeals District, Place 6",0215,844,786,1630,2168,75.18%,1013,496,1509
"Justice, 1st Court of Appeals District, Place 6",0216,784,320,1104,1917,57.59%,74,990,1064
"Justice, 1st Court of Appeals District, Place 6",0217,1396,651,2047,2637,77.63%,1404,489,1893
"Justice, 1st Court of Appeals District, Place 6",0218,690,608,1298,2274,57.08%,396,793,1189
"Justice, 1st Court of Appeals District, Place 6",0219,1117,587,1704,2654,64.20%,141,1475,1616
"Justice, 1st Court of Appeals District, Place 6",0220,711,353,1064,2360,45.08%,738,271,1009
"Justice, 1st Court of Appeals District, Place 6",0221,699,611,1310,2489,52.63%,514,695,1209
"Justice, 1st Court of Appeals District, Place 6",0222,1000,792,1792,2384,75.17%,912,706,1618
"Justice, 1st Court of Appeals District, Place 6",0223,1350,760,2110,3528,59.81%,613,1338,1951
"Justice, 1st Court of Appeals District, Place 6",0224,896,649,1545,2259,68.39%,738,682,1420
"Justice, 1st Court of Appeals District, Place 6",0225,1111,720,1831,3155,58.03%,762,981,1743
"Justice, 1st Court of Appeals District, Place 6",0226,529,545,1074,2393,44.88%,212,776,988
"Justice, 1st Court of Appeals District, Place 6",0227,947,451,1398,1767,79.12%,1078,226,1304
"Justice, 1st Court of Appeals District, Place 6",0228,583,165,748,1073,69.71%,35,694,729
"Justice, 1st Court of Appeals District, Place 6",0229,152,207,359,811,44.27%,104,237,341
"Justice, 1st Court of Appeals District, Place 6",0230,421,153,574,1096,52.37%,11,541,552
"Justice, 1st Court of Appeals District, Place 6",0231,562,471,1033,2219,46.55%,252,724,976
"Justice, 1st Court of Appeals District, Place 6",0232,685,546,1231,1696,72.58%,720,412,1132
"Justice, 1st Court of Appeals District, Place 6",0233,1830,1063,2893,4132,70.01%,1488,1196,2684
"Justice, 1st Court of Appeals District, Place 6",0234,2090,885,2975,3854,77.19%,2275,507,2782
"Justice, 1st Court of Appeals District, Place 6",0235,466,242,708,1305,54.25%,23,667,690
"Justice, 1st Court of Appeals District, Place 6",0236,779,342,1121,2144,52.29%,18,1053,1071
"Justice, 1st Court of Appeals District, Place 6",0237,793,441,1234,2181,56.58%,19,1189,1208
"Justice, 1st Court of Appeals District, Place 6",0238,640,422,1062,1901,55.87%,20,1004,1024
"Justice, 1st Court of Appeals District, Place 6",0239,765,357,1122,1997,56.18%,25,1061,1086
"Justice, 1st Court of Appeals District, Place 6",0240,1157,402,1559,2688,58.00%,22,1487,1509
"Justice, 1st Court of Appeals District, Place 6",0241,494,479,973,2296,42.38%,371,552,923
"Justice, 1st Court of Appeals District, Place 6",0242,363,323,686,1570,43.69%,349,304,653
"Justice, 1st Court of Appeals District, Place 6",0243,254,50,304,452,67.26%,4,292,296
"Justice, 1st Court of Appeals District, Place 6",0244,1100,656,1756,2912,60.30%,900,778,1678
"Justice, 1st Court of Appeals District, Place 6",0245,2340,1115,3455,5240,65.94%,2284,1037,3321
"Justice, 1st Court of Appeals District, Place 6",0246,1584,624,2208,2999,73.62%,1458,651,2109
"Justice, 1st Court of Appeals District, Place 6",0247,421,403,824,1607,51.28%,12,790,802
"Justice, 1st Court of Appeals District, Place 6",0248,408,405,813,2122,38.31%,186,578,764
"Justice, 1st Court of Appeals District, Place 6",0249,1028,481,1509,2676,56.39%,973,460,1433
"Justice, 1st Court of Appeals District, Place 6",0250,306,247,553,951,58.15%,8,537,545
"Justice, 1st Court of Appeals District, Place 6",0251,809,529,1338,2072,64.58%,58,1231,1289
"Justice, 1st Court of Appeals District, Place 6",0252,1111,356,1467,2350,62.43%,25,1400,1425
"Justice, 1st Court of Appeals District, Place 6",0253,923,325,1248,2252,55.42%,17,1210,1227
"Justice, 1st Court of Appeals District, Place 6",0254,220,282,502,1476,34.01%,112,355,467
"Justice, 1st Court of Appeals District, Place 6",0255,995,797,1792,2411,74.33%,839,829,1668
"Justice, 1st Court of Appeals District, Place 6",0256,1059,766,1825,3226,56.57%,711,976,1687
"Justice, 1st Court of Appeals District, Place 6",0257,553,571,1124,2403,46.77%,259,809,1068
"Justice, 1st Court of Appeals District, Place 6",0258,1577,888,2465,3286,75.02%,1794,496,2290
"Justice, 1st Court of Appeals District, Place 6",0259,1210,460,1670,2408,69.35%,30,1607,1637
"Justice, 1st Court of Appeals District, Place 6",0260,420,290,710,1187,59.81%,376,301,677
"Justice, 1st Court of Appeals District, Place 6",0261,176,133,309,749,41.26%,95,197,292
"Justice, 1st Court of Appeals District, Place 6",0262,1470,906,2376,4232,56.14%,1364,841,2205
"Justice, 1st Court of Appeals District, Place 6",0263,1785,719,2504,3319,75.44%,1836,562,2398
"Justice, 1st Court of Appeals District, Place 6",0264,936,639,1575,2939,53.59%,827,628,1455
"Justice, 1st Court of Appeals District, Place 6",0265,1936,674,2610,3617,72.16%,1943,501,2444
"Justice, 1st Court of Appeals District, Place 6",0266,552,542,1094,2119,51.63%,488,547,1035
"Justice, 1st Court of Appeals District, Place 6",0267,294,305,599,1346,44.50%,251,302,553
"Justice, 1st Court of Appeals District, Place 6",0268,931,810,1741,2387,72.94%,1034,559,1593
"Justice, 1st Court of Appeals District, Place 6",0269,1143,444,1587,1981,80.11%,1247,247,1494
"Justice, 1st Court of Appeals District, Place 6",0270,1401,870,2271,3517,64.57%,1252,848,2100
"Justice, 1st Court of Appeals District, Place 6",0271,1303,371,1674,2469,67.80%,19,1607,1626
"Justice, 1st Court of Appeals District, Place 6",0272,610,484,1094,2112,51.80%,405,631,1036
"Justice, 1st Court of Appeals District, Place 6",0273,1141,634,1775,2426,73.17%,1436,245,1681
"Justice, 1st Court of Appeals District, Place 6",0274,1049,364,1413,2063,68.49%,939,399,1338
"Justice, 1st Court of Appeals District, Place 6",0275,567,410,977,1730,56.47%,159,777,936
