Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Harvey Brown,DEM Chuck Silverman,Totals
"Justice, 1st Court of Appeals District, Place 6",0295,314,189,503,862,58.35%,6,485,491
"Justice, 1st Court of Appeals District, Place 6",0296,602,432,1034,1693,61.08%,576,363,939
"Justice, 1st Court of Appeals District, Place 6",0297,579,445,1024,1978,51.77%,376,574,950
"Justice, 1st Court of Appeals District, Place 6",0298,848,475,1323,2083,63.51%,719,521,1240
"Justice, 1st Court of Appeals District, Place 6",0299,328,213,541,1231,43.95%,170,337,507
"Justice, 1st Court of Appeals District, Place 6",0300,3014,922,3936,5040,78.10%,2979,737,3716
"Justice, 1st Court of Appeals District, Place 6",0301,450,655,1105,2397,46.10%,403,644,1047
"Justice, 1st Court of Appeals District, Place 6",0302,713,635,1348,2724,49.49%,702,562,1264
"Justice, 1st Court of Appeals District, Place 6",0303,1773,755,2528,3172,79.70%,2019,361,2380
"Justice, 1st Court of Appeals District, Place 6",0304,970,648,1618,2266,71.40%,911,582,1493
"Justice, 1st Court of Appeals District, Place 6",0305,1319,858,2177,3621,60.12%,791,1287,2078
"Justice, 1st Court of Appeals District, Place 6",0306,1013,323,1336,1847,72.33%,985,268,1253
"Justice, 1st Court of Appeals District, Place 6",0307,1242,876,2118,2931,72.26%,1454,541,1995
"Justice, 1st Court of Appeals District, Place 6",0308,444,238,682,1266,53.87%,189,458,647
"Justice, 1st Court of Appeals District, Place 6",0309,1385,612,1997,2529,78.96%,1599,284,1883
"Justice, 1st Court of Appeals District, Place 6",0310,519,348,967,1437,67.29%,638,262,900
"Justice, 1st Court of Appeals District, Place 6",0311,862,699,1561,2997,52.09%,681,719,1400
"Justice, 1st Court of Appeals District, Place 6",0312,1600,718,2318,3669,63.18%,1274,910,2184
"Justice, 1st Court of Appeals District, Place 6",0313,22,1,23,60,38.33%,12,8,20
"Justice, 1st Court of Appeals District, Place 6",0314,2494,1221,3715,5225,71.10%,2214,1352,3566
"Justice, 1st Court of Appeals District, Place 6",0315,711,479,1190,1618,73.55%,686,422,1108
"Justice, 1st Court of Appeals District, Place 6",0316,682,411,1093,1522,71.81%,600,406,1006
"Justice, 1st Court of Appeals District, Place 6",0317,552,336,888,1469,60.45%,261,588,849
"Justice, 1st Court of Appeals District, Place 6",0318,1708,611,2319,3531,65.68%,95,2140,2235
"Justice, 1st Court of Appeals District, Place 6",0319,965,290,1255,2081,60.31%,74,1130,1204
"Justice, 1st Court of Appeals District, Place 6",0320,464,300,764,1505,50.76%,328,387,715
"Justice, 1st Court of Appeals District, Place 6",0321,442,305,748,2029,36.87%,252,459,711
"Justice, 1st Court of Appeals District, Place 6",0322,397,237,634,1322,47.96%,161,448,609
"Justice, 1st Court of Appeals District, Place 6",0323,482,332,814,1719,47.35%,331,423,754
"Justice, 1st Court of Appeals District, Place 6",0324,967,718,1685,2339,72.04%,1068,490,1558
"Justice, 1st Court of Appeals District, Place 6",0325,657,397,1054,2251,46.82%,231,774,1005
"Justice, 1st Court of Appeals District, Place 6",0326,202,128,330,678,48.67%,131,175,306
"Justice, 1st Court of Appeals District, Place 6",0327,725,244,970,1751,55.40%,16,919,935
"Justice, 1st Court of Appeals District, Place 6",0328,344,270,614,1361,45.11%,222,364,586
"Justice, 1st Court of Appeals District, Place 6",0329,405,307,712,1367,52.08%,210,454,664
"Justice, 1st Court of Appeals District, Place 6",0330,590,376,966,1849,52.24%,430,471,901
"Justice, 1st Court of Appeals District, Place 6",0331,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 6",0332,23,4,27,128,21.09%,9,16,25
"Justice, 1st Court of Appeals District, Place 6",0333,1018,939,1957,2901,67.46%,1372,480,1852
"Justice, 1st Court of Appeals District, Place 6",0334,255,114,369,755,48.87%,71,283,354
"Justice, 1st Court of Appeals District, Place 6",0335,285,246,531,1227,43.28%,155,321,476
"Justice, 1st Court of Appeals District, Place 6",0336,1820,588,2408,3161,76.18%,216,2114,2330
"Justice, 1st Court of Appeals District, Place 6",0337,310,207,517,951,54.36%,89,414,503
"Justice, 1st Court of Appeals District, Place 6",0338,1541,824,2365,4673,50.61%,654,1556,2210
"Justice, 1st Court of Appeals District, Place 6",0339,369,373,742,1716,43.24%,154,522,676
"Justice, 1st Court of Appeals District, Place 6",0340,1778,833,2611,3717,70.24%,1888,562,2450
"Justice, 1st Court of Appeals District, Place 6",0341,246,316,562,1248,45.03%,141,397,538
"Justice, 1st Court of Appeals District, Place 6",0342,2029,1113,3142,5718,54.95%,437,2605,3042
"Justice, 1st Court of Appeals District, Place 6",0343,436,483,919,1904,48.27%,217,617,834
"Justice, 1st Court of Appeals District, Place 6",0344,395,245,640,1207,53.02%,22,588,610
"Justice, 1st Court of Appeals District, Place 6",0345,428,357,785,1708,45.96%,163,582,745
"Justice, 1st Court of Appeals District, Place 6",0346,1,2,3,1,300.00%,3,0,3
"Justice, 1st Court of Appeals District, Place 6",0347,1250,614,1864,3299,56.50%,1130,648,1778
"Justice, 1st Court of Appeals District, Place 6",0348,751,280,1031,1740,59.25%,720,261,981
"Justice, 1st Court of Appeals District, Place 6",0349,405,407,812,1315,61.75%,461,310,771
"Justice, 1st Court of Appeals District, Place 6",0350,1115,780,1895,2906,65.21%,795,950,1745
"Justice, 1st Court of Appeals District, Place 6",0351,2495,793,3288,4537,72.47%,2592,573,3165
"Justice, 1st Court of Appeals District, Place 6",0352,1152,583,1735,3193,54.34%,1164,496,1660
"Justice, 1st Court of Appeals District, Place 6",0353,1544,703,2247,3697,60.78%,374,1787,2161
"Justice, 1st Court of Appeals District, Place 6",0354,1476,517,1993,3193,62.42%,450,1459,1909
"Justice, 1st Court of Appeals District, Place 6",0355,701,286,987,1384,71.32%,91,867,958
"Justice, 1st Court of Appeals District, Place 6",0356,1382,618,2000,2836,70.52%,1148,720,1868
"Justice, 1st Court of Appeals District, Place 6",0357,1633,709,2342,3371,69.47%,1699,522,2221
"Justice, 1st Court of Appeals District, Place 6",0358,740,464,1204,2297,52.42%,86,1075,1161
"Justice, 1st Court of Appeals District, Place 6",0359,706,482,1188,3008,39.49%,94,1048,1142
"Justice, 1st Court of Appeals District, Place 6",0360,971,515,1486,2190,67.85%,794,555,1349
"Justice, 1st Court of Appeals District, Place 6",0361,135,691,826,1585,52.11%,151,554,705
"Justice, 1st Court of Appeals District, Place 6",0362,2131,1200,3331,4952,67.27%,2374,783,3157
"Justice, 1st Court of Appeals District, Place 6",0363,1347,687,2034,3291,61.80%,881,1081,1962
"Justice, 1st Court of Appeals District, Place 6",0364,912,602,1514,2539,59.63%,745,689,1434
"Justice, 1st Court of Appeals District, Place 6",0365,735,245,980,1302,75.27%,90,858,948
"Justice, 1st Court of Appeals District, Place 6",0366,638,466,1104,2089,52.85%,232,832,1064
"Justice, 1st Court of Appeals District, Place 6",0367,328,212,540,1019,52.99%,93,427,520
"Justice, 1st Court of Appeals District, Place 6",0368,418,143,561,929,60.39%,150,393,543
"Justice, 1st Court of Appeals District, Place 6",0369,107,53,160,490,32.65%,59,96,155
"Justice, 1st Court of Appeals District, Place 6",0370,3144,1178,4322,5781,74.76%,3220,910,4130
"Justice, 1st Court of Appeals District, Place 6",0371,226,69,295,475,62.11%,7,281,288
"Justice, 1st Court of Appeals District, Place 6",0372,498,231,729,1215,60.00%,81,614,695
"Justice, 1st Court of Appeals District, Place 6",0373,61,16,77,159,48.43%,1,73,74
"Justice, 1st Court of Appeals District, Place 6",0374,139,187,326,748,43.58%,93,216,309
"Justice, 1st Court of Appeals District, Place 6",0375,577,524,1101,2607,42.23%,453,587,1040
"Justice, 1st Court of Appeals District, Place 6",0376,629,334,963,1916,50.26%,383,520,903
"Justice, 1st Court of Appeals District, Place 6",0377,1055,707,1762,2871,61.37%,1293,360,1653
"Justice, 1st Court of Appeals District, Place 6",0378,559,521,1080,1777,60.78%,670,362,1032
"Justice, 1st Court of Appeals District, Place 6",0379,801,338,1139,2017,56.47%,88,1001,1089
"Justice, 1st Court of Appeals District, Place 6",0380,2502,1183,3685,4753,77.53%,2077,1439,3516
"Justice, 1st Court of Appeals District, Place 6",0381,957,424,1381,2715,50.87%,568,749,1317
"Justice, 1st Court of Appeals District, Place 6",0382,276,231,507,841,60.29%,342,141,483
"Justice, 1st Court of Appeals District, Place 6",0383,599,493,1092,2076,52.60%,335,702,1037
"Justice, 1st Court of Appeals District, Place 6",0384,1173,505,1678,2596,64.64%,329,1282,1611
"Justice, 1st Court of Appeals District, Place 6",0385,1099,621,1720,2175,79.08%,1323,279,1602
"Justice, 1st Court of Appeals District, Place 6",0386,1464,460,1924,2872,66.99%,1343,498,1841
"Justice, 1st Court of Appeals District, Place 6",0387,1369,802,2171,3727,58.25%,1446,612,2058
"Justice, 1st Court of Appeals District, Place 6",0388,2780,1222,4002,5329,75.10%,2221,1611,3832
"Justice, 1st Court of Appeals District, Place 6",0389,285,261,546,975,56.00%,91,422,513
"Justice, 1st Court of Appeals District, Place 6",0390,644,368,1012,1565,64.66%,128,832,960
"Justice, 1st Court of Appeals District, Place 6",0391,856,355,1211,1805,67.09%,766,378,1144
"Justice, 1st Court of Appeals District, Place 6",0392,737,197,934,1441,64.82%,9,905,914
"Justice, 1st Court of Appeals District, Place 6",0393,346,318,664,1206,55.06%,279,344,623
"Justice, 1st Court of Appeals District, Place 6",0394,166,176,342,860,39.77%,129,191,320
"Justice, 1st Court of Appeals District, Place 6",0395,830,491,1321,1820,72.58%,918,317,1235
"Justice, 1st Court of Appeals District, Place 6",0396,1157,219,1376,2073,66.38%,14,1321,1335
"Justice, 1st Court of Appeals District, Place 6",0397,163,148,311,750,41.47%,117,170,287
"Justice, 1st Court of Appeals District, Place 6",0398,1439,840,2279,3816,59.72%,1092,1092,2184
"Justice, 1st Court of Appeals District, Place 6",0399,897,593,1490,2542,58.62%,713,725,1438
"Justice, 1st Court of Appeals District, Place 6",0400,1051,506,1557,2238,69.57%,1100,372,1472
"Justice, 1st Court of Appeals District, Place 6",0401,723,284,1007,1876,53.68%,43,938,981
"Justice, 1st Court of Appeals District, Place 6",0402,892,245,1137,1737,65.46%,53,1057,1110
"Justice, 1st Court of Appeals District, Place 6",0403,791,527,1318,1703,77.39%,738,463,1201
"Justice, 1st Court of Appeals District, Place 6",0404,778,552,1330,2589,51.37%,670,594,1264
"Justice, 1st Court of Appeals District, Place 6",0405,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",0406,281,72,353,610,57.87%,6,331,337
"Justice, 1st Court of Appeals District, Place 6",0407,1317,1000,2317,3652,63.44%,1443,714,2157
"Justice, 1st Court of Appeals District, Place 6",0408,154,179,333,933,35.69%,134,178,312
"Justice, 1st Court of Appeals District, Place 6",0409,277,289,566,1371,41.28%,170,359,529
"Justice, 1st Court of Appeals District, Place 6",0410,337,102,439,849,51.71%,82,345,427
"Justice, 1st Court of Appeals District, Place 6",0411,542,462,1004,2302,43.61%,286,650,936
"Justice, 1st Court of Appeals District, Place 6",0412,193,74,267,433,61.66%,11,248,259
"Justice, 1st Court of Appeals District, Place 6",0413,1493,525,2018,3023,66.75%,744,1159,1903
"Justice, 1st Court of Appeals District, Place 6",0414,1452,593,2045,3457,59.16%,1433,481,1914
"Justice, 1st Court of Appeals District, Place 6",0415,950,633,1583,2124,74.53%,1080,402,1482
"Justice, 1st Court of Appeals District, Place 6",0416,1177,916,2093,3582,58.43%,1059,912,1971
"Justice, 1st Court of Appeals District, Place 6",0417,777,619,1396,2465,56.63%,593,727,1320
"Justice, 1st Court of Appeals District, Place 6",0418,1057,758,1815,3420,53.07%,654,1068,1722
"Justice, 1st Court of Appeals District, Place 6",0419,1006,578,1584,2697,58.73%,1002,506,1508
"Justice, 1st Court of Appeals District, Place 6",0420,2174,1089,3263,4639,70.34%,2596,498,3094
"Justice, 1st Court of Appeals District, Place 6",0421,124,92,216,467,46.25%,44,163,207
"Justice, 1st Court of Appeals District, Place 6",0422,1456,585,2041,3345,61.02%,49,1931,1980
"Justice, 1st Court of Appeals District, Place 6",0423,190,309,499,894,55.82%,197,269,466
"Justice, 1st Court of Appeals District, Place 6",0424,435,1,57,592,888,66.67%,341,232,573
"Justice, 1st Court of Appeals District, Place 6",0425,227,234,461,875,52.69%,148,285,433
"Justice, 1st Court of Appeals District, Place 6",0426,415,283,698,1224,57.03%,377,264,641
"Justice, 1st Court of Appeals District, Place 6",0427,325,249,574,1115,51.48%,208,326,534
"Justice, 1st Court of Appeals District, Place 6",0428,1284,907,2191,4316,50.76%,629,1422,2051
"Justice, 1st Court of Appeals District, Place 6",0429,1093,777,1870,3929,47.59%,340,1387,1727
"Justice, 1st Court of Appeals District, Place 6",0430,405,335,740,1654,44.74%,146,534,680
"Justice, 1st Court of Appeals District, Place 6",0431,820,403,1223,3188,38.36%,317,832,1149
"Justice, 1st Court of Appeals District, Place 6",0432,312,271,583,1344,43.38%,160,399,559
"Justice, 1st Court of Appeals District, Place 6",0433,139,106,245,573,42.76%,41,191,232
"Justice, 1st Court of Appeals District, Place 6",0434,628,371,999,1386,72.08%,628,308,936
"Justice, 1st Court of Appeals District, Place 6",0435,1534,768,2302,3097,74.33%,1515,637,2152
"Justice, 1st Court of Appeals District, Place 6",0436,1334,709,2043,3012,67.83%,1210,687,1897
"Justice, 1st Court of Appeals District, Place 6",0437,951,542,1493,2007,74.39%,1056,341,1397
"Justice, 1st Court of Appeals District, Place 6",0438,1046,387,1433,1802,79.52%,1062,258,1320
"Justice, 1st Court of Appeals District, Place 6",0439,1526,905,2431,3416,71.17%,1728,548,2276
"Justice, 1st Court of Appeals District, Place 6",0440,1326,876,2202,2867,76.81%,1734,324,2058
"Justice, 1st Court of Appeals District, Place 6",0441,698,513,1211,1616,74.94%,888,244,1132
"Justice, 1st Court of Appeals District, Place 6",0442,1366,513,1879,2504,75.04%,1518,276,1794
"Justice, 1st Court of Appeals District, Place 6",0443,335,148,483,605,79.83%,352,96,448
"Justice, 1st Court of Appeals District, Place 6",0444,1258,731,1989,3172,62.70%,1184,668,1852
"Justice, 1st Court of Appeals District, Place 6",0445,860,443,1303,1938,67.23%,800,416,1216
"Justice, 1st Court of Appeals District, Place 6",0446,70,52,122,268,45.52%,44,70,114
"Justice, 1st Court of Appeals District, Place 6",0447,271,108,379,583,65.01%,120,233,353
"Justice, 1st Court of Appeals District, Place 6",0448,1239,869,2108,3081,68.42%,1215,718,1933
"Justice, 1st Court of Appeals District, Place 6",0449,62,37,99,164,60.37%,12,81,93
"Justice, 1st Court of Appeals District, Place 6",0450,856,537,1393,2622,53.13%,343,984,1327
"Justice, 1st Court of Appeals District, Place 6",0451,1575,515,2090,2674,78.16%,1685,314,1999
"Justice, 1st Court of Appeals District, Place 6",0452,1109,639,1748,2810,62.21%,1281,400,1681
"Justice, 1st Court of Appeals District, Place 6",0453,559,475,1034,1885,54.85%,335,641,976
"Justice, 1st Court of Appeals District, Place 6",0454,1227,311,1538,2571,59.82%,12,1481,1493
"Justice, 1st Court of Appeals District, Place 6",0455,748,216,964,1679,57.42%,30,898,928
"Justice, 1st Court of Appeals District, Place 6",0456,1266,593,1859,3350,55.49%,957,801,1758
"Justice, 1st Court of Appeals District, Place 6",0457,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0458,909,271,1180,1893,62.33%,54,1086,1140
"Justice, 1st Court of Appeals District, Place 6",0459,1637,476,2113,2950,71.63%,1644,361,2005
"Justice, 1st Court of Appeals District, Place 6",0460,1250,402,1652,2346,70.42%,429,1162,1591
"Justice, 1st Court of Appeals District, Place 6",0461,1959,828,2787,3733,74.66%,1800,779,2579
"Justice, 1st Court of Appeals District, Place 6",0462,1319,865,2184,3367,64.86%,772,1273,2045
"Justice, 1st Court of Appeals District, Place 6",0463,1124,656,1780,2962,60.09%,705,990,1695
"Justice, 1st Court of Appeals District, Place 6",0464,787,612,1399,2126,65.80%,943,386,1329
"Justice, 1st Court of Appeals District, Place 6",0465,1465,702,2167,3343,64.82%,1120,979,2099
"Justice, 1st Court of Appeals District, Place 6",0466,2052,729,2781,4072,68.30%,1536,1132,2668
"Justice, 1st Court of Appeals District, Place 6",0467,478,229,707,1230,57.48%,163,510,673
"Justice, 1st Court of Appeals District, Place 6",0468,985,793,1778,3354,53.01%,499,1176,1675
"Justice, 1st Court of Appeals District, Place 6",0469,2039,638,2677,3779,70.84%,2062,475,2537
"Justice, 1st Court of Appeals District, Place 6",0470,443,323,766,1349,56.78%,528,194,722
"Justice, 1st Court of Appeals District, Place 6",0471,792,597,1389,2349,59.13%,1040,289,1329
"Justice, 1st Court of Appeals District, Place 6",0472,371,337,708,1027,68.94%,358,291,649
"Justice, 1st Court of Appeals District, Place 6",0473,914,442,1356,1827,74.22%,920,349,1269
"Justice, 1st Court of Appeals District, Place 6",0474,1146,766,1912,3006,63.61%,1298,508,1806
"Justice, 1st Court of Appeals District, Place 6",0475,485,473,958,1651,58.03%,399,500,899
"Justice, 1st Court of Appeals District, Place 6",0476,809,658,1467,2412,60.82%,824,572,1396
"Justice, 1st Court of Appeals District, Place 6",0477,1441,742,2183,3195,68.33%,1611,480,2091
"Justice, 1st Court of Appeals District, Place 6",0478,1959,898,2857,4150,68.84%,1840,871,2711
"Justice, 1st Court of Appeals District, Place 6",0479,1298,588,1886,2648,71.22%,1366,439,1805
"Justice, 1st Court of Appeals District, Place 6",0480,936,555,1491,2267,65.77%,1016,394,1410
"Justice, 1st Court of Appeals District, Place 6",0481,1464,852,2316,3298,70.22%,1682,516,2198
"Justice, 1st Court of Appeals District, Place 6",0482,1964,836,2800,4129,67.81%,1901,778,2679
"Justice, 1st Court of Appeals District, Place 6",0483,1868,759,2627,4141,63.44%,1387,1114,2501
"Justice, 1st Court of Appeals District, Place 6",0484,2237,1008,3245,4594,70.64%,2259,838,3097
"Justice, 1st Court of Appeals District, Place 6",0485,2421,990,3411,4838,70.50%,2493,785,3278
"Justice, 1st Court of Appeals District, Place 6",0486,1843,805,2648,3572,74.13%,2047,484,2531
"Justice, 1st Court of Appeals District, Place 6",0487,1005,612,1617,3318,48.73%,462,1027,1489
"Justice, 1st Court of Appeals District, Place 6",0488,580,440,1020,1713,59.54%,341,605,946
"Justice, 1st Court of Appeals District, Place 6",0489,784,378,1162,1823,63.74%,329,766,1095
"Justice, 1st Court of Appeals District, Place 6",0490,877,439,1316,1944,67.70%,467,770,1237
"Justice, 1st Court of Appeals District, Place 6",0491,667,489,1156,1782,64.87%,659,420,1079
"Justice, 1st Court of Appeals District, Place 6",0492,1070,504,1574,2351,66.95%,822,644,1466
"Justice, 1st Court of Appeals District, Place 6",0493,858,400,1258,1804,69.73%,789,388,1177
"Justice, 1st Court of Appeals District, Place 6",0494,761,431,1192,2176,54.78%,150,1009,1159
"Justice, 1st Court of Appeals District, Place 6",0495,1120,494,1614,2284,70.67%,1123,404,1527
"Justice, 1st Court of Appeals District, Place 6",0496,496,571,1067,2086,51.15%,379,621,1000
"Justice, 1st Court of Appeals District, Place 6",0497,1124,303,1427,2226,64.11%,54,1323,1377
"Justice, 1st Court of Appeals District, Place 6",0498,759,499,1258,2123,59.26%,507,692,1199
"Justice, 1st Court of Appeals District, Place 6",0499,1301,517,1818,2304,78.91%,1316,398,1714
"Justice, 1st Court of Appeals District, Place 6",0500,1507,746,2253,3175,70.96%,1516,636,2152
"Justice, 1st Court of Appeals District, Place 6",0501,653,487,1140,1647,69.22%,446,604,1050
"Justice, 1st Court of Appeals District, Place 6",0502,1151,332,1483,2364,62.73%,1110,299,1409
"Justice, 1st Court of Appeals District, Place 6",0503,359,273,632,1363,46.37%,191,391,582
"Justice, 1st Court of Appeals District, Place 6",0504,1129,538,1667,2197,75.88%,1100,470,1570
"Justice, 1st Court of Appeals District, Place 6",0505,1209,829,2038,3654,55.77%,896,1001,1897
"Justice, 1st Court of Appeals District, Place 6",0506,1471,801,2272,3380,67.22%,369,1818,2187
"Justice, 1st Court of Appeals District, Place 6",0507,582,385,967,2435,39.71%,146,689,835
"Justice, 1st Court of Appeals District, Place 6",0508,946,760,1706,3248,52.52%,542,1028,1570
"Justice, 1st Court of Appeals District, Place 6",0509,1340,864,2204,3536,62.33%,1514,580,2094
"Justice, 1st Court of Appeals District, Place 6",0510,1492,682,2174,3511,61.92%,947,1100,2047
"Justice, 1st Court of Appeals District, Place 6",0511,0,6,6,0,0.00%,1,5,6
"Justice, 1st Court of Appeals District, Place 6",0512,1560,1127,2687,4582,58.64%,1190,1381,2571
"Justice, 1st Court of Appeals District, Place 6",0513,1605,507,2112,2752,76.74%,1580,421,2001
"Justice, 1st Court of Appeals District, Place 6",0514,1967,860,2827,3941,71.73%,2052,651,2703
"Justice, 1st Court of Appeals District, Place 6",0515,1692,708,2400,3173,75.64%,1907,376,2283
"Justice, 1st Court of Appeals District, Place 6",0516,2179,1066,3245,4934,65.77%,1580,1487,3067
"Justice, 1st Court of Appeals District, Place 6",0517,1208,653,1861,3320,56.05%,957,804,1761
"Justice, 1st Court of Appeals District, Place 6",0518,1478,919,2397,3755,63.83%,1455,810,2265
"Justice, 1st Court of Appeals District, Place 6",0519,1234,645,1879,2951,63.67%,1338,465,1803
"Justice, 1st Court of Appeals District, Place 6",0520,1542,857,2399,4064,59.03%,379,1930,2309
"Justice, 1st Court of Appeals District, Place 6",0521,1014,694,1708,2725,62.68%,851,778,1629
"Justice, 1st Court of Appeals District, Place 6",0522,1171,658,1829,2682,68.20%,1349,392,1741
"Justice, 1st Court of Appeals District, Place 6",0523,1339,689,2028,3060,66.27%,1328,563,1891
"Justice, 1st Court of Appeals District, Place 6",0524,1238,675,1913,3292,58.11%,557,1275,1832
"Justice, 1st Court of Appeals District, Place 6",0525,1381,610,1991,2947,67.56%,380,1510,1890
"Justice, 1st Court of Appeals District, Place 6",0526,167,171,338,731,46.24%,82,238,320
"Justice, 1st Court of Appeals District, Place 6",0527,80,24,104,569,18.28%,45,53,98
"Justice, 1st Court of Appeals District, Place 6",0528,36,12,48,92,52.17%,3,44,47
"Justice, 1st Court of Appeals District, Place 6",0529,1988,441,2429,3616,67.17%,1987,341,2328
"Justice, 1st Court of Appeals District, Place 6",0530,259,235,494,1196,41.30%,106,351,457
"Justice, 1st Court of Appeals District, Place 6",0531,672,113,785,1094,71.76%,589,149,738
"Justice, 1st Court of Appeals District, Place 6",0532,452,184,636,1039,61.21%,422,187,609
"Justice, 1st Court of Appeals District, Place 6",0533,317,207,524,1069,49.02%,256,238,494
"Justice, 1st Court of Appeals District, Place 6",0534,1658,675,2333,3795,61.48%,1660,561,2221
"Justice, 1st Court of Appeals District, Place 6",0535,80,94,174,421,41.33%,62,99,161
"Justice, 1st Court of Appeals District, Place 6",0536,1332,1195,2527,4576,55.22%,917,1490,2407
"Justice, 1st Court of Appeals District, Place 6",0537,1454,823,2277,2971,76.64%,1655,512,2167
"Justice, 1st Court of Appeals District, Place 6",0538,433,237,670,1282,52.26%,22,625,647
"Justice, 1st Court of Appeals District, Place 6",0539,26,209,235,71,330.99%,48,166,214
"Justice, 1st Court of Appeals District, Place 6",0540,666,380,1046,1491,70.15%,476,477,953
"Justice, 1st Court of Appeals District, Place 6",0541,1826,779,2605,4183,62.28%,350,2139,2489
"Justice, 1st Court of Appeals District, Place 6",0542,997,501,1498,2525,59.33%,79,1367,1446
"Justice, 1st Court of Appeals District, Place 6",0543,287,378,665,1528,43.52%,200,429,629
"Justice, 1st Court of Appeals District, Place 6",0544,92,53,145,318,45.60%,16,122,138
"Justice, 1st Court of Appeals District, Place 6",0545,1314,857,2171,3339,65.02%,1017,1044,2061
"Justice, 1st Court of Appeals District, Place 6",0546,4,4,8,30,26.67%,2,6,8
"Justice, 1st Court of Appeals District, Place 6",0547,877,647,1524,2408,63.29%,1015,432,1447
"Justice, 1st Court of Appeals District, Place 6",0548,720,476,1196,2129,56.18%,525,614,1139
"Justice, 1st Court of Appeals District, Place 6",0549,944,586,1530,2530,60.47%,208,1266,1474
"Justice, 1st Court of Appeals District, Place 6",0550,1134,629,1763,2847,61.92%,855,847,1702
"Justice, 1st Court of Appeals District, Place 6",0551,3088,1527,4615,6135,75.22%,3284,1111,4395
"Justice, 1st Court of Appeals District, Place 6",0552,1521,844,2465,3241,76.06%,2014,345,2359
"Justice, 1st Court of Appeals District, Place 6",0553,1465,951,2416,4355,55.48%,1018,1292,2310
"Justice, 1st Court of Appeals District, Place 6",0554,562,340,902,1731,52.11%,138,709,847
"Justice, 1st Court of Appeals District, Place 6",0555,598,447,1045,2119,49.32%,177,818,995
"Justice, 1st Court of Appeals District, Place 6",0556,584,421,1005,2249,44.69%,208,745,953
"Justice, 1st Court of Appeals District, Place 6",0557,822,556,1378,2726,50.55%,421,852,1273
"Justice, 1st Court of Appeals District, Place 6",0558,1589,824,2413,4084,59.08%,745,1544,2289
"Justice, 1st Court of Appeals District, Place 6",0559,1787,899,2686,4633,57.98%,626,1918,2544
"Justice, 1st Court of Appeals District, Place 6",0560,172,289,461,1176,39.20%,96,329,425
"Justice, 1st Court of Appeals District, Place 6",0561,837,759,1596,3033,52.62%,854,661,1515
"Justice, 1st Court of Appeals District, Place 6",0562,201,146,347,645,53.80%,27,305,332
"Justice, 1st Court of Appeals District, Place 6",0563,1699,415,2114,2969,71.20%,1607,390,1997
"Justice, 1st Court of Appeals District, Place 6",0564,1150,713,1863,3096,60.17%,500,1232,1732
"Justice, 1st Court of Appeals District, Place 6",0565,315,194,509,1373,37.07%,88,387,475
"Justice, 1st Court of Appeals District, Place 6",0566,1123,478,1601,2950,54.27%,418,1122,1540
"Justice, 1st Court of Appeals District, Place 6",0567,672,394,1066,2198,48.50%,279,689,968
"Justice, 1st Court of Appeals District, Place 6",0568,1628,837,2465,3487,70.69%,1576,709,2285
"Justice, 1st Court of Appeals District, Place 6",0569,1294,865,2159,3249,66.45%,1147,858,2005
"Justice, 1st Court of Appeals District, Place 6",0570,527,409,936,1473,63.54%,412,438,850
"Justice, 1st Court of Appeals District, Place 6",0571,333,312,645,1758,36.69%,192,406,598
"Justice, 1st Court of Appeals District, Place 6",0572,1283,574,1857,2998,61.94%,854,911,1765
"Justice, 1st Court of Appeals District, Place 6",0573,578,368,946,1618,58.47%,11,916,927
"Justice, 1st Court of Appeals District, Place 6",0574,98,79,177,391,45.27%,16,148,164
"Justice, 1st Court of Appeals District, Place 6",0575,27,9,36,79,45.57%,32,3,35
"Justice, 1st Court of Appeals District, Place 6",0576,1051,552,1603,2671,60.01%,50,1502,1552
"Justice, 1st Court of Appeals District, Place 6",0577,231,113,344,573,60.03%,187,138,325
"Justice, 1st Court of Appeals District, Place 6",0578,745,553,1298,1689,76.85%,788,394,1182
"Justice, 1st Court of Appeals District, Place 6",0579,488,351,839,1806,46.46%,184,604,788
"Justice, 1st Court of Appeals District, Place 6",0580,429,146,575,1027,55.99%,14,549,563
"Justice, 1st Court of Appeals District, Place 6",0581,510,162,672,1041,64.55%,20,628,648
"Justice, 1st Court of Appeals District, Place 6",0582,615,256,871,1613,54.00%,51,793,844
"Justice, 1st Court of Appeals District, Place 6",0583,544,127,671,1248,53.77%,13,645,658
"Justice, 1st Court of Appeals District, Place 6",0584,392,139,531,971,54.69%,33,492,525
"Justice, 1st Court of Appeals District, Place 6",0585,934,304,1238,2403,51.52%,32,1170,1202
"Justice, 1st Court of Appeals District, Place 6",0586,1306,1189,2495,4230,58.98%,1464,924,2388
"Justice, 1st Court of Appeals District, Place 6",0587,933,465,1398,2174,64.31%,487,860,1347
"Justice, 1st Court of Appeals District, Place 6",0588,1536,871,2407,3468,69.41%,1676,629,2305
"Justice, 1st Court of Appeals District, Place 6",0589,1033,738,1771,3130,56.58%,903,789,1692
