Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bruce Bain,DEM Mike Miller,Totals
"District Judge, 11th Judicial District",0338,1540,824,2364,4673,50.59%,621,1587,2208
"District Judge, 11th Judicial District",0339,369,373,742,1716,43.24%,147,526,673
"District Judge, 11th Judicial District",0340,1778,833,2611,3717,70.24%,1858,592,2450
"District Judge, 11th Judicial District",0341,246,316,562,1248,45.03%,131,403,534
"District Judge, 11th Judicial District",0342,2029,1113,3142,5718,54.95%,429,2611,3040
"District Judge, 11th Judicial District",0343,436,483,919,1904,48.27%,215,613,828
"District Judge, 11th Judicial District",0344,395,245,640,1207,53.02%,20,592,612
"District Judge, 11th Judicial District",0345,428,357,785,1708,45.96%,160,581,741
"District Judge, 11th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 11th Judicial District",0347,1250,614,1864,3299,56.50%,1110,669,1779
"District Judge, 11th Judicial District",0348,751,280,1031,1740,59.25%,707,269,976
"District Judge, 11th Judicial District",0349,405,407,812,1315,61.75%,459,304,763
"District Judge, 11th Judicial District",0350,1112,780,1892,2906,65.11%,726,1008,1734
"District Judge, 11th Judicial District",0351,2495,793,3288,4537,72.47%,2527,631,3158
"District Judge, 11th Judicial District",0352,1151,583,1734,3193,54.31%,1158,496,1654
"District Judge, 11th Judicial District",0353,1544,703,2247,3697,60.78%,363,1798,2161
"District Judge, 11th Judicial District",0354,1476,517,1993,3193,62.42%,441,1465,1906
"District Judge, 11th Judicial District",0355,700,286,986,1384,71.24%,87,867,954
"District Judge, 11th Judicial District",0356,1382,618,2000,2836,70.52%,1114,746,1860
"District Judge, 11th Judicial District",0357,1633,709,2342,3371,69.47%,1678,542,2220
"District Judge, 11th Judicial District",0358,740,464,1204,2297,52.42%,85,1075,1160
"District Judge, 11th Judicial District",0359,706,482,1188,3008,39.49%,96,1051,1147
"District Judge, 11th Judicial District",0360,969,515,1484,2190,67.76%,744,592,1336
"District Judge, 11th Judicial District",0361,135,691,826,1585,52.11%,149,547,696
"District Judge, 11th Judicial District",0362,2131,1200,3331,4952,67.27%,2340,807,3147
"District Judge, 11th Judicial District",0363,1346,687,2033,3291,61.77%,883,1076,1959
"District Judge, 11th Judicial District",0364,912,602,1514,2539,59.63%,735,699,1434
"District Judge, 11th Judicial District",0365,734,245,979,1302,75.19%,84,867,951
"District Judge, 11th Judicial District",0366,638,466,1104,2089,52.85%,229,836,1065
"District Judge, 11th Judicial District",0367,328,212,540,1019,52.99%,87,434,521
"District Judge, 11th Judicial District",0368,418,143,561,929,60.39%,141,401,542
"District Judge, 11th Judicial District",0369,107,53,160,490,32.65%,60,94,154
"District Judge, 11th Judicial District",0370,3143,1178,4321,5781,74.74%,3184,932,4116
"District Judge, 11th Judicial District",0371,226,69,295,475,62.11%,6,281,287
"District Judge, 11th Judicial District",0372,498,231,729,1215,60.00%,76,620,696
"District Judge, 11th Judicial District",0373,61,16,77,159,48.43%,1,75,76
"District Judge, 11th Judicial District",0374,139,187,326,748,43.58%,94,212,306
"District Judge, 11th Judicial District",0375,577,524,1101,2607,42.23%,428,608,1036
"District Judge, 11th Judicial District",0376,629,334,963,1916,50.26%,386,519,905
"District Judge, 11th Judicial District",0377,1055,707,1762,2871,61.37%,1263,379,1642
"District Judge, 11th Judicial District",0378,559,521,1080,1777,60.78%,647,384,1031
"District Judge, 11th Judicial District",0379,800,338,1138,2017,56.42%,71,1018,1089
"District Judge, 11th Judicial District",0380,2500,1183,3683,4753,77.49%,2036,1464,3500
"District Judge, 11th Judicial District",0381,957,424,1381,2715,50.87%,546,761,1307
"District Judge, 11th Judicial District",0382,276,231,507,841,60.29%,345,141,486
"District Judge, 11th Judicial District",0383,599,493,1092,2076,52.60%,322,714,1036
"District Judge, 11th Judicial District",0384,1172,505,1677,2596,64.60%,308,1297,1605
"District Judge, 11th Judicial District",0385,1099,621,1720,2175,79.08%,1220,377,1597
"District Judge, 11th Judicial District",0386,1464,460,1924,2872,66.99%,1339,496,1835
"District Judge, 11th Judicial District",0387,1369,802,2171,3727,58.25%,1435,617,2052
"District Judge, 11th Judicial District",0388,2780,1222,4002,5329,75.10%,2205,1628,3833
"District Judge, 11th Judicial District",0389,283,261,544,975,55.79%,86,418,504
"District Judge, 11th Judicial District",0390,644,368,1012,1565,64.66%,114,848,962
"District Judge, 11th Judicial District",0391,856,355,1211,1805,67.09%,747,395,1142
"District Judge, 11th Judicial District",0392,737,197,934,1441,64.82%,9,904,913
"District Judge, 11th Judicial District",0393,346,318,664,1206,55.06%,271,352,623
"District Judge, 11th Judicial District",0394,166,176,342,860,39.77%,127,193,320
"District Judge, 11th Judicial District",0395,830,491,1321,1820,72.58%,879,353,1232
"District Judge, 11th Judicial District",0396,1157,219,1376,2073,66.38%,12,1320,1332
"District Judge, 11th Judicial District",0397,163,148,311,750,41.47%,120,166,286
"District Judge, 11th Judicial District",0398,1438,840,2278,3816,59.70%,1083,1095,2178
"District Judge, 11th Judicial District",0399,896,593,1489,2542,58.58%,700,727,1427
"District Judge, 11th Judicial District",0400,1048,506,1554,2238,69.44%,1080,387,1467
"District Judge, 11th Judicial District",0401,723,284,1007,1876,53.68%,38,941,979
"District Judge, 11th Judicial District",0402,891,245,1136,1737,65.40%,48,1055,1103
"District Judge, 11th Judicial District",0403,791,527,1318,1703,77.39%,664,517,1181
"District Judge, 11th Judicial District",0404,778,552,1330,2589,51.37%,651,610,1261
"District Judge, 11th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 11th Judicial District",0406,281,72,353,610,57.87%,6,332,338
"District Judge, 11th Judicial District",0407,1317,1000,2317,3652,63.44%,1394,758,2152
"District Judge, 11th Judicial District",0408,154,179,333,933,35.69%,133,180,313
"District Judge, 11th Judicial District",0409,277,289,566,1371,41.28%,160,368,528
"District Judge, 11th Judicial District",0410,337,102,439,849,51.71%,76,350,426
"District Judge, 11th Judicial District",0411,542,462,1004,2302,43.61%,282,653,935
"District Judge, 11th Judicial District",0412,193,74,267,433,61.66%,10,249,259
"District Judge, 11th Judicial District",0413,1493,525,2018,3023,66.75%,720,1176,1896
"District Judge, 11th Judicial District",0414,1452,593,2045,3457,59.16%,1405,503,1908
"District Judge, 11th Judicial District",0415,950,633,1583,2124,74.53%,1051,430,1481
"District Judge, 11th Judicial District",0416,1174,916,2090,3582,58.35%,1042,920,1962
"District Judge, 11th Judicial District",0417,777,619,1396,2465,56.63%,586,727,1313
"District Judge, 11th Judicial District",0418,1057,758,1815,3420,53.07%,635,1081,1716
"District Judge, 11th Judicial District",0419,1006,578,1584,2697,58.73%,970,531,1501
"District Judge, 11th Judicial District",0420,2174,1089,3263,4639,70.34%,2572,513,3085
"District Judge, 11th Judicial District",0421,124,92,216,467,46.25%,45,163,208
"District Judge, 11th Judicial District",0422,1456,585,2041,3345,61.02%,37,1947,1984
"District Judge, 11th Judicial District",0423,190,309,499,894,55.82%,196,267,463
"District Judge, 11th Judicial District",0424,435,1,57,592,888,66.67%,324,247,571
"District Judge, 11th Judicial District",0425,227,234,461,875,52.69%,140,292,432
"District Judge, 11th Judicial District",0426,415,283,698,1224,57.03%,360,275,635
"District Judge, 11th Judicial District",0427,325,249,574,1115,51.48%,202,332,534
"District Judge, 11th Judicial District",0428,1284,907,2191,4316,50.76%,620,1419,2039
"District Judge, 11th Judicial District",0429,1091,777,1868,3929,47.54%,332,1392,1724
"District Judge, 11th Judicial District",0430,403,335,738,1654,44.62%,142,534,676
"District Judge, 11th Judicial District",0431,819,403,1222,3188,38.33%,306,840,1146
"District Judge, 11th Judicial District",0432,311,271,582,1344,43.30%,159,395,554
"District Judge, 11th Judicial District",0433,139,106,245,573,42.76%,40,190,230
"District Judge, 11th Judicial District",0434,628,371,999,1386,72.08%,589,336,925
"District Judge, 11th Judicial District",0435,1534,768,2302,3097,74.33%,1446,697,2143
"District Judge, 11th Judicial District",0436,1334,709,2043,3012,67.83%,1143,747,1890
"District Judge, 11th Judicial District",0437,951,542,1493,2007,74.39%,996,397,1393
"District Judge, 11th Judicial District",0438,1046,387,1433,1802,79.52%,997,314,1311
"District Judge, 11th Judicial District",0439,1526,905,2431,3416,71.17%,1642,637,2279
"District Judge, 11th Judicial District",0440,1326,876,2202,2867,76.81%,1618,415,2033
"District Judge, 11th Judicial District",0441,698,513,1211,1616,74.94%,852,282,1134
"District Judge, 11th Judicial District",0442,1366,513,1879,2504,75.04%,1496,286,1782
"District Judge, 11th Judicial District",0443,335,148,483,605,79.83%,332,116,448
"District Judge, 11th Judicial District",0444,1258,731,1989,3172,62.70%,1151,700,1851
"District Judge, 11th Judicial District",0445,860,443,1303,1938,67.23%,763,456,1219
"District Judge, 11th Judicial District",0446,70,52,122,268,45.52%,45,69,114
"District Judge, 11th Judicial District",0447,271,108,379,583,65.01%,119,231,350
"District Judge, 11th Judicial District",0448,1239,869,2108,3081,68.42%,1175,758,1933
"District Judge, 11th Judicial District",0449,62,37,99,164,60.37%,12,81,93
"District Judge, 11th Judicial District",0450,856,537,1393,2622,53.13%,336,988,1324
"District Judge, 11th Judicial District",0451,1575,515,2090,2674,78.16%,1636,351,1987
"District Judge, 11th Judicial District",0452,1109,639,1748,2810,62.21%,1268,405,1673
"District Judge, 11th Judicial District",0453,559,475,1034,1885,54.85%,327,645,972
"District Judge, 11th Judicial District",0454,1226,311,1537,2571,59.78%,9,1484,1493
"District Judge, 11th Judicial District",0455,748,216,964,1679,57.42%,25,899,924
"District Judge, 11th Judicial District",0456,1266,593,1859,3350,55.49%,955,802,1757
"District Judge, 11th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0458,908,271,1179,1893,62.28%,45,1090,1135
"District Judge, 11th Judicial District",0459,1637,476,2113,2950,71.63%,1604,396,2000
"District Judge, 11th Judicial District",0460,1250,402,1652,2346,70.42%,408,1172,1580
"District Judge, 11th Judicial District",0461,1958,828,2786,3733,74.63%,1723,841,2564
"District Judge, 11th Judicial District",0462,1318,865,2183,3367,64.84%,741,1300,2041
"District Judge, 11th Judicial District",0463,1124,656,1780,2962,60.09%,686,1009,1695
"District Judge, 11th Judicial District",0464,786,612,1398,2126,65.76%,925,397,1322
"District Judge, 11th Judicial District",0465,1465,702,2167,3343,64.82%,1094,1002,2096
"District Judge, 11th Judicial District",0466,2052,729,2781,4072,68.30%,1495,1165,2660
"District Judge, 11th Judicial District",0467,478,229,707,1230,57.48%,161,509,670
"District Judge, 11th Judicial District",0468,984,793,1777,3354,52.98%,479,1198,1677
"District Judge, 11th Judicial District",0469,2039,638,2677,3779,70.84%,1989,541,2530
"District Judge, 11th Judicial District",0470,443,323,766,1349,56.78%,524,197,721
"District Judge, 11th Judicial District",0471,792,597,1389,2349,59.13%,1022,303,1325
"District Judge, 11th Judicial District",0472,370,337,707,1027,68.84%,282,358,640
"District Judge, 11th Judicial District",0473,914,442,1356,1827,74.22%,876,385,1261
"District Judge, 11th Judicial District",0474,1146,766,1912,3006,63.61%,1281,519,1800
"District Judge, 11th Judicial District",0475,485,473,958,1651,58.03%,394,498,892
"District Judge, 11th Judicial District",0476,809,658,1467,2412,60.82%,811,584,1395
"District Judge, 11th Judicial District",0477,1441,742,2183,3195,68.33%,1588,498,2086
"District Judge, 11th Judicial District",0478,1959,898,2857,4150,68.84%,1807,892,2699
"District Judge, 11th Judicial District",0479,1298,588,1886,2648,71.22%,1344,454,1798
"District Judge, 11th Judicial District",0480,936,555,1491,2267,65.77%,1003,400,1403
"District Judge, 11th Judicial District",0481,1463,852,2315,3298,70.19%,1664,528,2192
"District Judge, 11th Judicial District",0482,1963,836,2799,4129,67.79%,1882,796,2678
"District Judge, 11th Judicial District",0483,1868,759,2627,4141,63.44%,1344,1145,2489
"District Judge, 11th Judicial District",0484,2236,1008,3244,4594,70.61%,2241,846,3087
"District Judge, 11th Judicial District",0485,2421,990,3411,4838,70.50%,2473,795,3268
"District Judge, 11th Judicial District",0486,1843,805,2648,3572,74.13%,1991,532,2523
"District Judge, 11th Judicial District",0487,1005,612,1617,3318,48.73%,445,1037,1482
"District Judge, 11th Judicial District",0488,580,440,1020,1713,59.54%,324,613,937
"District Judge, 11th Judicial District",0489,783,378,1161,1823,63.69%,313,776,1089
"District Judge, 11th Judicial District",0490,876,439,1315,1944,67.64%,453,778,1231
"District Judge, 11th Judicial District",0491,667,489,1156,1782,64.87%,615,460,1075
"District Judge, 11th Judicial District",0492,1069,504,1573,2351,66.91%,773,683,1456
"District Judge, 11th Judicial District",0493,858,400,1258,1804,69.73%,781,385,1166
"District Judge, 11th Judicial District",0494,760,431,1191,2176,54.73%,138,1011,1149
"District Judge, 11th Judicial District",0495,1120,494,1614,2284,70.67%,1091,424,1515
"District Judge, 11th Judicial District",0496,496,571,1067,2086,51.15%,376,620,996
"District Judge, 11th Judicial District",0497,1123,303,1426,2226,64.06%,49,1329,1378
"District Judge, 11th Judicial District",0498,759,499,1258,2123,59.26%,508,691,1199
"District Judge, 11th Judicial District",0499,1301,517,1818,2304,78.91%,1262,440,1702
"District Judge, 11th Judicial District",0500,1507,746,2253,3175,70.96%,1480,655,2135
"District Judge, 11th Judicial District",0501,653,487,1140,1647,69.22%,411,628,1039
"District Judge, 11th Judicial District",0502,1150,332,1482,2364,62.69%,1089,304,1393
"District Judge, 11th Judicial District",0503,359,273,632,1363,46.37%,181,399,580
"District Judge, 11th Judicial District",0504,1129,538,1667,2197,75.88%,1029,529,1558
"District Judge, 11th Judicial District",0505,1209,829,2038,3654,55.77%,858,1042,1900
"District Judge, 11th Judicial District",0506,1470,801,2271,3380,67.19%,352,1830,2182
"District Judge, 11th Judicial District",0507,582,385,967,2435,39.71%,142,690,832
"District Judge, 11th Judicial District",0508,946,760,1706,3248,52.52%,516,1045,1561
"District Judge, 11th Judicial District",0509,1340,864,2204,3536,62.33%,1500,594,2094
"District Judge, 11th Judicial District",0510,1492,682,2174,3511,61.92%,940,1108,2048
"District Judge, 11th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 11th Judicial District",0512,1558,1127,2885,4582,58.80%,1170,1391,2581
"District Judge, 11th Judicial District",0513,1805,507,2112,2752,78.74%,1537,458,1995
"District Judge, 11th Judicial District",0514,1988,880,2828,3941,71.71%,2018,883,2899
"District Judge, 11th Judicial District",0515,1892,708,2400,3173,75.84%,1888,411,2277
"District Judge, 11th Judicial District",0518,2179,1088,3245,4934,85.77%,1519,1539,3058
"District Judge, 11th Judicial District",0517,1208,853,1881,3320,58.05%,944,813,1757
"District Judge, 11th Judicial District",0518,1478,919,2397,3755,83.83%,1447,812,2259
"District Judge, 11th Judicial District",0519,1234,845,1879,2951,83.87%,1308,482,1790
"District Judge, 11th Judicial District",0520,1542,857,2399,4084,59.03%,388,1945,2311
"District Judge, 11th Judicial District",0521,1011,894,1705,2725,82.57%,828,793,1819
"District Judge, 11th Judicial District",0522,1171,858,1829,2882,88.20%,1317,415,1732
"District Judge, 11th Judicial District",0523,1338,889,2027,3080,88.24%,1290,594,1884
"District Judge, 11th Judicial District",0524,1237,875,1912,3292,58.08%,548,1278,1824
"District Judge, 11th Judicial District",0525,1380,810,1990,2947,87.53%,388,1522,1890
"District Judge, 11th Judicial District",0528,187,171,338,731,48.24%,82,238,320
"District Judge, 11th Judicial District",0527,80,24,104,589,18.28%,44,54,98
"District Judge, 11th Judicial District",0528,38,12,48,92,52.17%,3,44,47
"District Judge, 11th Judicial District",0529,1987,441,2428,3818,87.15%,1973,344,2317
"District Judge, 11th Judicial District",0530,259,235,494,1198,41.30%,102,357,459
"District Judge, 11th Judicial District",0531,872,113,785,1094,71.78%,588,148,734
"District Judge, 11th Judicial District",0532,452,184,838,1039,81.21%,417,189,808
"District Judge, 11th Judicial District",0533,317,207,524,1089,49.02%,252,243,495
"District Judge, 11th Judicial District",0534,1858,875,2333,3795,81.48%,1818,595,2213
"District Judge, 11th Judicial District",0535,80,94,174,421,41.33%,58,105,183
"District Judge, 11th Judicial District",0538,1332,1195,2527,4578,55.22%,888,1509,2395
"District Judge, 11th Judicial District",0537,1454,823,2277,2971,78.84%,1805,545,2150
"District Judge, 11th Judicial District",0538,433,237,870,1282,52.28%,19,828,845
"District Judge, 11th Judicial District",0539,28,209,235,71,330.99%,42,171,213
"District Judge, 11th Judicial District",0540,888,380,1048,1491,70.15%,415,527,942
"District Judge, 11th Judicial District",0541,1824,779,2803,4183,82.23%,338,2148,2488
"District Judge, 11th Judicial District",0542,997,501,1498,2525,59.33%,75,1374,1449
"District Judge, 11th Judicial District",0543,287,378,885,1528,43.52%,195,431,828
"District Judge, 11th Judicial District",0544,92,53,145,318,45.80%,15,124,139
"District Judge, 11th Judicial District",0545,1314,857,2171,3339,65.02%,1001,1059,2060
"District Judge, 11th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 11th Judicial District",0547,877,647,1524,2408,63.29%,1016,430,1446
"District Judge, 11th Judicial District",0548,720,476,1196,2129,56.18%,516,628,1144
"District Judge, 11th Judicial District",0549,944,586,1530,2530,60.47%,202,1269,1471
"District Judge, 11th Judicial District",0550,1134,629,1763,2847,61.92%,845,855,1700
"District Judge, 11th Judicial District",0551,3088,1527,4615,6135,75.22%,3232,1150,4382
"District Judge, 11th Judicial District",0552,1621,844,2465,3241,76.06%,1975,381,2356
"District Judge, 11th Judicial District",0553,1465,951,2416,4355,55.48%,1000,1306,2306
"District Judge, 11th Judicial District",0554,562,340,902,1731,52.11%,131,710,841
"District Judge, 11th Judicial District",0555,597,447,1044,2119,49.27%,171,823,994
"District Judge, 11th Judicial District",0556,584,421,1005,2249,44.69%,205,747,952
"District Judge, 11th Judicial District",0557,822,556,1378,2726,50.55%,427,842,1269
"District Judge, 11th Judicial District",0558,1588,824,2412,4084,59.06%,731,1563,2294
"District Judge, 11th Judicial District",0559,1787,899,2686,4633,57.98%,611,1930,2541
"District Judge, 11th Judicial District",0560,172,289,461,1176,39.20%,84,341,425
"District Judge, 11th Judicial District",0561,837,759,1596,3033,52.62%,843,673,1516
"District Judge, 11th Judicial District",0562,201,146,347,645,53.80%,21,310,331
"District Judge, 11th Judicial District",0563,1699,415,2114,2969,71.20%,1564,424,1988
"District Judge, 11th Judicial District",0564,1150,713,1863,3096,60.17%,476,1246,1722
"District Judge, 11th Judicial District",0565,315,194,509,1373,37.07%,87,390,477
"District Judge, 11th Judicial District",0566,1122,478,1600,2950,54.24%,408,1122,1530
"District Judge, 11th Judicial District",0567,672,394,1066,2198,48.50%,259,711,970
"District Judge, 11th Judicial District",0568,1628,837,2465,3487,70.69%,1523,762,2285
"District Judge, 11th Judicial District",0569,1294,865,2159,3249,66.45%,1103,889,1992
"District Judge, 11th Judicial District",0570,525,409,934,1473,63.41%,396,453,849
"District Judge, 11th Judicial District",0571,333,312,645,1758,36.69%,193,407,600
"District Judge, 11th Judicial District",0572,1283,574,1857,2998,61.94%,816,938,1754
"District Judge, 11th Judicial District",0573,577,368,945,1618,58.41%,10,914,924
"District Judge, 11th Judicial District",0574,98,79,177,391,45.27%,16,149,165
"District Judge, 11th Judicial District",0575,27,9,36,79,45.57%,31,4,35
"District Judge, 11th Judicial District",0576,1050,552,1602,2671,59.98%,44,1507,1551
"District Judge, 11th Judicial District",0577,231,113,344,573,60.03%,184,139,323
"District Judge, 11th Judicial District",0578,745,553,1298,1689,76.85%,758,420,1178
"District Judge, 11th Judicial District",0579,487,351,838,1806,46.40%,180,603,783
"District Judge, 11th Judicial District",0580,429,146,575,1027,55.99%,13,548,561
"District Judge, 11th Judicial District",0581,510,162,672,1041,64.55%,19,629,648
"District Judge, 11th Judicial District",0582,614,256,870,1613,53.94%,47,792,839
"District Judge, 11th Judicial District",0583,544,127,671,1248,53.77%,12,643,655
"District Judge, 11th Judicial District",0584,392,139,531,971,54.69%,31,494,525
"District Judge, 11th Judicial District",0585,934,304,1238,2403,51.52%,28,1173,1201
"District Judge, 11th Judicial District",0585,1306,1189,2495,4230,58.98%,1459,930,2389
"District Judge, 11th Judicial District",0587,933,465,1398,2174,64.31%,474,873,1347
"District Judge, 11th Judicial District",0588,1536,871,2407,3468,69.41%,1649,651,2300
"District Judge, 11th Judicial District",0589,1033,738,1771,3130,56.58%,899,794,1693
"District Judge, 11th Judicial District",0590,1158,463,1621,2136,75.89%,1171,364,1535
"District Judge, 11th Judicial District",0591,420,449,869,2114,41.11%,222,592,814
"District Judge, 11th Judicial District",0592,370,288,658,1258,52.31%,146,480,626
"District Judge, 11th Judicial District",0593,1148,999,2147,4059,52.89%,929,1104,2033
"District Judge, 11th Judicial District",0594,1031,535,1566,2361,66.33%,437,1069,1506
"District Judge, 11th Judicial District",0595,497,380,877,1647,53.25%,130,718,848
"District Judge, 11th Judicial District",0596,945,690,1635,2848,57.41%,821,746,1567
"District Judge, 11th Judicial District",0597,1067,719,1786,3267,54.67%,586,1130,1716
"District Judge, 11th Judicial District",0598,335,103,438,724,60.50%,322,86,408
"District Judge, 11th Judicial District",0599,1895,866,2761,4135,66.77%,899,1753,2652
"District Judge, 11th Judicial District",0600,1383,869,2252,3820,58.95%,755,1386,2141
"District Judge, 11th Judicial District",0601,2028,858,2886,3990,72.33%,2107,659,2766
"District Judge, 11th Judicial District",0602,562,296,858,1237,69.36%,577,249,826
"District Judge, 11th Judicial District",0603,1437,1163,2600,3917,66.38%,1521,977,2498
"District Judge, 11th Judicial District",0604,1444,528,1972,2910,67.77%,1575,304,1879
"District Judge, 11th Judicial District",0605,2227,889,3116,5251,59.34%,702,2286,2988
"District Judge, 11th Judicial District",0606,420,122,542,1053,51.47%,4,518,522
"District Judge, 11th Judicial District",0607,194,118,312,731,42.68%,19,279,298
"District Judge, 11th Judicial District",0608,245,290,535,1256,42.60%,193,301,494
"District Judge, 11th Judicial District",0609,1364,844,2208,3261,67.71%,1314,758,2072
"District Judge, 11th Judicial District",0610,403,398,801,1825,43.89%,324,430,754
"District Judge, 11th Judicial District",0611,1120,301,1421,2450,58.00%,39,1347,1386
"District Judge, 11th Judicial District",0612,1700,579,2279,3272,69.65%,1655,483,2138
"District Judge, 11th Judicial District",0613,495,309,804,1450,55.45%,121,654,775
"District Judge, 11th Judicial District",0614,1631,812,2443,3932,62.13%,775,1558,2333
"District Judge, 11th Judicial District",0615,931,404,1335,1926,69.31%,761,508,1269
"District Judge, 11th Judicial District",0616,1352,970,2322,3378,68.74%,1541,655,2196
"District Judge, 11th Judicial District",0617,1318,849,2167,3546,61.11%,731,1343,2074
"District Judge, 11th Judicial District",0618,1920,1021,2941,5344,55.03%,1243,1570,2813
"District Judge, 11th Judicial District",0619,2133,857,2990,4266,70.09%,2144,708,2852
"District Judge, 11th Judicial District",0620,2382,856,3238,5271,61.43%,1490,1544,3034
"District Judge, 11th Judicial District",0621,397,203,600,1173,51.15%,280,288,568
"District Judge, 11th Judicial District",0622,1722,829,2551,4305,59.26%,1446,978,2424
"District Judge, 11th Judicial District",0623,1708,626,2334,3481,67.05%,1439,754,2193
"District Judge, 11th Judicial District",0624,9,0,9,16,56.25%,4,5,9
"District Judge, 11th Judicial District",0625,862,454,1316,1796,73.27%,703,509,1212
"District Judge, 11th Judicial District",0626,1148,655,1803,2838,63.53%,856,845,1701
"District Judge, 11th Judicial District",0627,795,547,1442,2964,48.65%,393,957,1350
"District Judge, 11th Judicial District",0628,292,456,748,1600,46.75%,295,408,703
"District Judge, 11th Judicial District",0629,175,127,302,629,48.01%,18,278,296
"District Judge, 11th Judicial District",0630,2018,535,2553,3190,80.03%,211,2251,2462
"District Judge, 11th Judicial District",0631,1489,392,1881,2733,68.83%,1294,491,1785
"District Judge, 11th Judicial District",0632,12,9,21,231,9.09%,3,15,18
"District Judge, 11th Judicial District",0633,1782,678,2460,3257,75.53%,1725,616,2341
"District Judge, 11th Judicial District",0634,1020,734,1754,2922,60.03%,1057,615,1672
"District Judge, 11th Judicial District",0635,1326,706,2032,3280,61.95%,1515,431,1946
"District Judge, 11th Judicial District",0636,1791,974,2765,3881,71.24%,2311,339,2650
"District Judge, 11th Judicial District",0637,739,509,1248,2471,50.51%,284,863,1147
"District Judge, 11th Judicial District",0638,740,684,1424,2078,68.53%,92,1270,1362
"District Judge, 11th Judicial District",0639,828,711,1539,2501,61.54%,1167,308,1475
"District Judge, 11th Judicial District",0640,1382,723,2105,3548,59.33%,1161,839,2000
"District Judge, 11th Judicial District",0641,1265,878,2143,3375,63.50%,1274,770,2044
"District Judge, 11th Judicial District",0642,871,447,1318,1779,74.09%,1049,208,1257
"District Judge, 11th Judicial District",0643,2157,994,3151,5310,59.34%,1173,1824,2997
"District Judge, 11th Judicial District",0644,2123,1204,3327,5261,63.24%,2042,1111,3153
"District Judge, 11th Judicial District",0645,1639,895,2534,4035,62.80%,1130,1264,2394
"District Judge, 11th Judicial District",0646,708,456,1164,2163,53.81%,330,772,1102
"District Judge, 11th Judicial District",0647,1770,1020,2790,5593,49.88%,668,1898,2566
"District Judge, 11th Judicial District",0648,1590,668,2258,3197,70.63%,1534,620,2154
"District Judge, 11th Judicial District",0649,1389,854,2243,4426,50.68%,594,1521,2115
"District Judge, 11th Judicial District",0650,1328,939,2267,3151,71.95%,1604,548,2152
"District Judge, 11th Judicial District",0651,2085,1070,3155,4931,63.98%,1911,1086,2997
"District Judge, 11th Judicial District",0652,1049,653,1702,2633,64.64%,254,1390,1644
"District Judge, 11th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 11th Judicial District",0654,2103,1344,3447,5765,59.79%,1682,1555,3237
"District Judge, 11th Judicial District",0655,2612,1451,4063,6304,64.45%,2441,1396,3837
"District Judge, 11th Judicial District",0656,1198,421,1619,2622,61.75%,47,1525,1572
"District Judge, 11th Judicial District",0657,490,268,758,1200,63.17%,283,427,710
"District Judge, 11th Judicial District",0658,985,708,1693,2824,59.95%,1006,618,1624
"District Judge, 11th Judicial District",0659,2141,1091,3232,4588,70.44%,2228,858,3086
"District Judge, 11th Judicial District",0660,2460,932,3392,5048,67.19%,309,2966,3275
"District Judge, 11th Judicial District",0661,1614,1012,2626,4179,62.84%,1348,1133,2481
"District Judge, 11th Judicial District",0662,2477,999,3476,4807,72.31%,2713,616,3329
"District Judge, 11th Judicial District",0663,1302,913,2215,3232,68.53%,1158,888,2046
"District Judge, 11th Judicial District",0664,681,607,1288,2801,45.98%,270,951,1221
"District Judge, 11th Judicial District",0665,951,394,1345,2007,67.02%,1054,217,1271
"District Judge, 11th Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 11th Judicial District",0657,989,547,1536,2181,70.43%,1121,328,1449
"District Judge, 11th Judicial District",0668,927,655,1582,2458,64.36%,952,551,1503
"District Judge, 11th Judicial District",0669,1606,823,2429,3243,74.90%,1642,652,2294
"District Judge, 11th Judicial District",0670,1566,518,2084,2952,70.60%,1565,388,1953
"District Judge, 11th Judicial District",0671,1090,773,1863,2942,63.32%,1047,694,1741
"District Judge, 11th Judicial District",0672,2301,1078,3379,4710,71.74%,2173,1072,3245
"District Judge, 11th Judicial District",0673,1376,643,2019,2988,67.57%,1504,396,1900
"District Judge, 11th Judicial District",0674,2092,813,2905,4055,71.64%,2114,677,2791
"District Judge, 11th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0677,220,239,459,954,48.11%,119,313,432
"District Judge, 11th Judicial District",0678,297,164,461,756,60.98%,287,139,426
"District Judge, 11th Judicial District",0679,1466,661,2127,3331,63.85%,1525,475,2000
"District Judge, 11th Judicial District",0680,56,22,78,181,43.09%,32,39,71
"District Judge, 11th Judicial District",0681,1,0,1,5,20.00%,0,1,1
"District Judge, 11th Judicial District",0682,1673,912,2585,4134,62.53%,1790,665,2455
