Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 3",0012,227,133,360,716,50.28%,185,46,231
"City of Baytown, Proposition No. 3",0013,1133,439,1572,2808,55.98%,897,235,1132
"City of Baytown, Proposition No. 3",0028,1436,459,1895,2768,68.46%,1074,228,1302
"City of Baytown, Proposition No. 3",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 3",0099,568,311,879,2040,43.09%,454,127,581
"City of Baytown, Proposition No. 3",0100,427,324,751,1754,42.82%,352,144,496
"City of Baytown, Proposition No. 3",0102,493,267,760,1910,39.79%,299,123,422
"City of Baytown, Proposition No. 3",0103,287,82,369,664,55.57%,192,49,241
"City of Baytown, Proposition No. 3",0248,408,405,813,2122,38.31%,309,132,441
"City of Baytown, Proposition No. 3",0249,1011,477,1488,2636,56.45%,854,214,1068
"City of Baytown, Proposition No. 3",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 3",0386,599,186,785,1249,62.85%,432,124,556
"City of Baytown, Proposition No. 3",0387,2,17,19,7,271.43%,7,3,10
"City of Baytown, Proposition No. 3",0414,1407,577,1984,3360,59.05%,1089,290,1379
"City of Baytown, Proposition No. 3",0456,1168,556,1724,3091,55.77%,851,262,1113
"City of Baytown, Proposition No. 3",0532,452,184,636,1039,61.21%,345,96,441
"City of Baytown, Proposition No. 3",0533,317,207,524,1069,49.02%,255,81,336
"City of Baytown, Proposition No. 3",0739,905,448,1353,2526,53.56%,655,218,873
"City of Baytown, Proposition No. 3",0740,43,39,82,148,55.41%,26,15,41
"City of Baytown, Proposition No. 3",Totals:,10884,5111,15995,29907,,8276,2387,10663
