Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joan Huffman,LIB Austin Page,GRN David Courtney,Totals
"State Senator, District 17",0547,877,647,1524,2408,63.29%,1061,149,72,1282
"State Senator, District 17",0558,1588,824,2412,4084,59.06%,868,399,252,1519
"State Senator, District 17",0569,1294,865,2159,3249,66.45%,1207,323,191,1721
"State Senator, District 17",0570,525,409,934,1473,63.41%,444,181,105,730
"State Senator, District 17",0572,1283,574,1857,2998,61.94%,923,289,152,1364
"State Senator, District 17",0589,1033,738,1771,3130,56.58%,994,232,121,1347
"State Senator, District 17",0600,1383,869,2252,3820,58.95%,874,327,160,1361
"State Senator, District 17",0603,1437,1163,2600,3917,66.38%,1621,266,143,2030
"State Senator, District 17",0618,1920,1021,2941,5344,55.03%,1360,387,185,1932
"State Senator, District 17",0619,2133,857,2990,4266,70.09%,2259,236,140,2635
"State Senator, District 17",0625,862,454,1316,1796,73.27%,785,157,123,1065
"State Senator, District 17",0626,1148,655,1803,2838,63.53%,951,253,149,1353
"State Senator, District 17",0644,2123,1204,3327,5261,63.24%,2150,369,188,2707
"State Senator, District 17",0645,1639,895,2534,4035,62.80%,1262,387,240,1889
"State Senator, District 17",0646,708,456,1164,2163,53.81%,401,163,93,657
"State Senator, District 17",0647,1770,1020,2790,5593,49.88%,799,402,192,1393
"State Senator, District 17",0649,1390,854,2244,4426,50.70%,712,365,187,1264
"State Senator, District 17",0684,72,24,96,187,51.34%,60,13,6,79
"State Senator, District 17",0685,167,29,196,326,60.12%,93,12,19,124
"State Senator, District 17",0706,222,135,357,529,67.49%,178,57,27,262
"State Senator, District 17",0711,1492,701,2193,3351,65.44%,1378,251,151,1780
"State Senator, District 17",0720,1575,1044,2619,3903,67.10%,1913,219,93,2225
"State Senator, District 17",0727,931,466,1397,2488,56.15%,399,295,146,840
"State Senator, District 17",0730,801,437,1238,1630,75.95%,863,98,67,1028
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joan Huffman,LIB Austin Page,GRN David Courtney,Totals
"State Senator, District 17",0751,1664,1254,2918,4451,65.56%,1988,291,138,2417
"State Senator, District 17",0761,917,219,1136,1464,77.60%,831,82,72,985
"State Senator, District 17",0765,1390,815,2205,3967,55.58%,853,373,232,1458
"State Senator, District 17",0772,2927,1002,3929,5617,69.95%,3019,263,182,3464
"State Senator, District 17",0773,892,550,1442,2648,54.46%,417,220,121,758
"State Senator, District 17",0804,1806,960,2766,4348,63.62%,1745,276,170,2191
"State Senator, District 17",0814,1772,955,2727,4503,60.56%,732,493,235,1460
"State Senator, District 17",0819,97,45,142,238,59.66%,91,14,14,119
"State Senator, District 17",0826,153,89,242,342,70.76%,154,30,23,207
"State Senator, District 17",0836,8,3,11,1,9,57.89%,2,0,3,5
"State Senator, District 17",0839,353,240,593,1122,52.85%,140,131,80,351
"State Senator, District 17",0879,890,527,1417,2334,60.71%,719,213,93,1025
"State Senator, District 17",0891,539,392,931,1413,65.89%,416,118,142,676
"State Senator, District 17",0906,12,6,18,26,69.23%,11,2,3,16
"State Senator, District 17",0917,280,137,417,481,86.69%,298,42,31,371
"State Senator, District 17",0931,48,53,101,122,82.79%,61,13,10,84
"State Senator, District 17",0932,0,5,5,0,0.00%,2,1,1,4
"State Senator, District 17",0933,233,121,354,566,62.54%,114,79,46,239
"State Senator, District 17",0941,13,9,22,25,88.00%,21,1,0,22
"State Senator, District 17",0942,68,24,92,159,57.86%,75,3,4,82
"State Senator, District 17",0943,296,63,359,536,66.98%,267,21,12,300
"State Senator, District 17",0944,30,6,36,39,92.31%,31,2,0,33
"State Senator, District 17",0952,24,16,40,70,57.14%,24,4,5,33
"State Senator, District 17",0956,5,2,7,12,58.33%,5,0,1,6
"State Senator, District 17",0971,27,21,48,129,37.21%,5,10,2,17
"State Senator, District 17",0984,43,49,92,198,46.46%,11,21,9,41
"State Senator, District 17",0993,272,91,363,551,65.88%,282,27,20,329
"State Senator, District 17",1005,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 17",1006,3,0,3,5,60.00%,3,0,0,3
"State Senator, District 17",1052,0,2,2,0,0.00%,1,0,0,1
"State Senator, District 17",1054,0,0,0,1,0.00%,0,0,0,0
"State Senator, District 17",1061,665,300,965,1613,59.83%,558,116,50,724
"State Senator, District 17",Totals:,122395,71606,194001,289198,,115074,21527,15684,152285
