Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0409,277,289,566,1371,41.28%,172,360,532
District Attorney,0410,337,102,439,849,51.71%,84,339,423
District Attorney,0411,542,462,1004,2302,43.61%,305,636,941
District Attorney,0412,193,74,267,433,61.66%,14,245,259
District Attorney,0413,1493,525,2018,3023,66.75%,803,1112,1915
District Attorney,0414,1452,593,2045,3457,59.16%,1479,458,1937
District Attorney,0415,950,633,1583,2124,74.53%,1134,368,1502
District Attorney,0416,1174,916,2090,3582,58.35%,1097,875,1972
District Attorney,0417,777,619,1396,2465,56.63%,642,681,1323
District Attorney,0418,1057,758,1815,3420,53.07%,703,1019,1722
District Attorney,0419,1006,578,1584,2697,58.73%,1062,462,1524
District Attorney,0420,2174,1089,3263,4639,70.34%,2667,456,3123
District Attorney,0421,124,92,216,467,46.25%,50,157,207
District Attorney,0422,1456,585,2041,3345,61.02%,55,1925,1980
District Attorney,0423,190,309,499,894,55.82%,205,260,465
District Attorney,0424,435,1,57,592,888,66.67%,348,224,572
District Attorney,0425,227,234,461,875,52.69%,148,280,428
District Attorney,0426,415,283,698,1224,57.03%,404,237,641
District Attorney,0427,325,249,574,1115,51.48%,212,321,533
District Attorney,0428,1284,907,2191,4316,50.76%,652,1389,2041
District Attorney,0429,1091,777,1868,3929,47.54%,362,1376,1738
District Attorney,0430,403,335,738,1654,44.62%,151,531,682
District Attorney,0431,819,403,1222,3188,38.33%,323,818,1141
District Attorney,0432,311,271,582,1344,43.30%,165,386,551
District Attorney,0433,139,106,245,573,42.76%,41,190,231
District Attorney,0434,628,371,999,1386,72.08%,669,269,938
District Attorney,0435,1534,768,2302,3097,74.33%,1583,565,2148
District Attorney,0436,1334,709,2043,3012,67.83%,1286,615,1901
District Attorney,0437,951,542,1493,2007,74.39%,1098,308,1406
District Attorney,0438,1046,387,1433,1802,79.52%,1109,222,1331
District Attorney,0439,1526,905,2431,3416,71.17%,1799,470,2269
District Attorney,0440,1326,876,2202,2867,76.81%,1778,270,2048
District Attorney,0441,698,513,1211,1616,74.94%,930,227,1157
District Attorney,0442,1366,513,1879,2504,75.04%,1556,245,1801
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0443,335,148,483,605,79.83%,363,90,453
District Attorney,0444,1258,731,1989,3172,62.70%,1220,636,1856
District Attorney,0445,860,443,1303,1938,67.23%,829,402,1231
District Attorney,0446,70,52,122,268,45.52%,43,72,115
District Attorney,0447,271,108,379,583,65.01%,139,211,350
District Attorney,0448,1239,869,2108,3081,68.42%,1322,618,1940
District Attorney,0449,62,37,99,164,60.37%,12,81,93
District Attorney,0450,856,537,1393,2622,53.13%,371,958,1329
District Attorney,0451,1575,515,2090,2674,78.16%,1717,284,2001
District Attorney,0452,1109,639,1748,2810,62.21%,1301,375,1676
District Attorney,0453,559,475,1034,1885,54.85%,346,627,973
District Attorney,0454,1226,311,1537,2571,59.78%,16,1473,1489
District Attorney,0455,748,216,964,1679,57.42%,31,898,929
District Attorney,0456,1266,593,1859,3350,55.49%,989,774,1763
District Attorney,0457,0,0,0,0,0.00%,0,0,0
District Attorney,0458,908,271,1179,1893,62.28%,61,1081,1142
District Attorney,0459,1637,476,2113,2950,71.63%,1687,322,2009
District Attorney,0460,1250,402,1652,2346,70.42%,437,1149,1586
District Attorney,0461,1958,828,2786,3733,74.63%,1881,707,2588
District Attorney,0462,1318,865,2183,3367,64.84%,827,1217,2044
District Attorney,0463,1124,656,1780,2962,60.09%,714,983,1697
District Attorney,0464,786,612,1398,2126,65.76%,970,363,1333
District Attorney,0465,1465,702,2167,3343,64.82%,1160,941,2101
District Attorney,0466,2052,729,2781,4072,68.30%,1584,1100,2684
District Attorney,0467,478,229,707,1230,57.48%,171,500,671
District Attorney,0468,984,793,1777,3354,52.98%,517,1159,1676
District Attorney,0469,2039,638,2677,3779,70.84%,2098,441,2539
District Attorney,0470,443,323,766,1349,56.78%,536,191,727
District Attorney,0471,792,597,1389,2349,59.13%,1075,262,1337
District Attorney,0472,370,337,707,1027,68.84%,394,248,642
District Attorney,0473,914,442,1356,1827,74.22%,985,301,1286
District Attorney,0474,1146,766,1912,3006,63.61%,1352,456,1808
District Attorney,0475,485,473,958,1651,58.03%,422,474,896
District Attorney,0476,809,658,1467,2412,60.82%,856,541,1397
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0477,1441,742,2183,3195,68.33%,1614,474,2088
District Attorney,0478,1959,898,2857,4150,68.84%,1908,811,2719
District Attorney,0479,1298,588,1886,2648,71.22%,1396,407,1803
District Attorney,0480,936,555,1491,2267,65.77%,1050,363,1413
District Attorney,0481,1463,852,2315,3298,70.19%,1719,493,2212
District Attorney,0482,1963,836,2799,4129,67.79%,1938,752,2690
District Attorney,0483,1868,759,2627,4141,63.44%,1428,1063,2491
District Attorney,0484,2236,1008,3244,4594,70.61%,2352,757,3109
District Attorney,0485,2421,990,3411,4838,70.50%,2533,744,3277
District Attorney,0486,1843,805,2648,3572,74.13%,2067,472,2539
District Attorney,0487,1005,612,1617,3318,48.73%,463,1029,1492
District Attorney,0488,580,440,1020,1713,59.54%,344,597,941
District Attorney,0489,783,378,1161,1823,63.69%,352,737,1089
District Attorney,0490,876,439,1315,1944,67.64%,523,718,1241
District Attorney,0491,667,489,1156,1782,64.87%,701,392,1093
District Attorney,0492,1069,504,1573,2351,66.91%,855,617,1472
District Attorney,0493,858,400,1258,1804,69.73%,826,352,1178
District Attorney,0494,760,431,1191,2176,54.73%,146,1002,1148
District Attorney,0495,1120,494,1614,2284,70.67%,1157,364,1521
District Attorney,0496,496,571,1067,2086,51.15%,397,605,1002
District Attorney,0497,1123,303,1426,2226,64.06%,57,1318,1375
District Attorney,0498,759,499,1258,2123,59.26%,529,674,1203
District Attorney,0499,1301,517,1818,2304,78.91%,1386,335,1721
District Attorney,0500,1507,746,2253,3175,70.96%,1558,585,2143
District Attorney,0501,653,487,1140,1647,69.22%,492,548,1040
District Attorney,0502,1150,332,1482,2364,62.69%,1131,283,1414
District Attorney,0503,359,273,632,1363,46.37%,200,383,583
District Attorney,0504,1129,538,1667,2197,75.88%,1161,422,1583
District Attorney,0505,1209,829,2038,3654,55.77%,963,953,1916
District Attorney,0506,1470,801,2271,3380,67.19%,394,1793,2187
District Attorney,0507,582,385,967,2435,39.71%,153,682,835
District Attorney,0508,946,760,1706,3248,52.52%,571,998,1569
District Attorney,0509,1340,864,2204,3536,62.33%,1551,549,2100
District Attorney,0510,1492,682,2174,3511,61.92%,1007,1047,2054
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0511,0,8,8,0,0.00%,1,5,8
District Attorney,0512,1558,1127,2885,4582,58.80%,1214,1357,2571
District Attorney,0513,1805,507,2112,2752,78.74%,1831,402,2033
District Attorney,0514,1988,880,2828,3941,71.71%,2097,817,2714
District Attorney,0515,1892,708,2400,3173,75.84%,1940,348,2288
District Attorney,0518,2179,1088,3245,4934,85.77%,1837,1441,3078
District Attorney,0517,1208,853,1881,3320,58.05%,980,780,1780
District Attorney,0518,1478,919,2397,3755,83.83%,1499,784,2283
District Attorney,0519,1234,845,1879,2951,83.87%,1353,445,1798
District Attorney,0520,1542,857,2399,4084,59.03%,394,1928,2320
District Attorney,0521,1011,894,1705,2725,82.57%,889,757,1828
District Attorney,0522,1171,858,1829,2882,88.20%,1371,374,1745
District Attorney,0523,1338,889,2027,3080,88.24%,1370,528,1898
District Attorney,0524,1237,875,1912,3292,58.08%,577,1241,1818
District Attorney,0525,1380,810,1990,2947,87.53%,439,1480,1899
District Attorney,0528,187,171,338,731,48.24%,98,228,322
District Attorney,0527,80,24,104,589,18.28%,47,50,97
District Attorney,0528,38,12,48,92,52.17%,3,44,47
District Attorney,0529,1987,441,2428,3818,87.15%,2017,308,2323
District Attorney,0530,259,235,494,1198,41.30%,113,348,481
District Attorney,0531,872,113,785,1094,71.78%,813,133,748
District Attorney,0532,452,184,838,1039,81.21%,430,181,811
District Attorney,0533,317,207,524,1089,49.02%,289,230,499
District Attorney,0534,1858,875,2333,3795,81.48%,1725,520,2245
District Attorney,0535,80,94,174,421,41.33%,84,97,181
District Attorney,0538,1332,1195,2527,4578,55.22%,958,1448,2404
District Attorney,0537,1454,823,2277,2971,78.84%,1710,455,2185
District Attorney,0538,433,237,870,1282,52.28%,19,827,848
District Attorney,0539,28,209,235,71,330.99%,59,157,218
District Attorney,0540,888,380,1048,1491,70.15%,519,424,943
District Attorney,0541,1824,779,2803,4183,82.23%,378,2103,2479
District Attorney,0542,997,501,1498,2525,59.33%,94,1359,1453
District Attorney,0543,287,378,885,1528,43.52%,224,402,828
District Attorney,0544,92,53,145,318,45.80%,17,123,140
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0545,1314,857,2171,3339,65.02%,1059,1007,2066
District Attorney,0546,4,4,8,30,26.67%,2,6,8
District Attorney,0547,877,647,1524,2408,63.29%,1051,400,1451
District Attorney,0548,720,476,1196,2129,56.18%,534,604,1138
District Attorney,0549,944,586,1530,2530,60.47%,216,1258,1474
District Attorney,0550,1134,629,1763,2847,61.92%,889,820,1709
District Attorney,0551,3088,1527,4615,6135,75.22%,3354,1059,4413
District Attorney,0552,1521,844,2465,3241,76.06%,2039,324,2363
District Attorney,0553,1465,951,2416,4355,55.48%,1036,1271,2307
District Attorney,0554,562,340,902,1731,52.11%,149,694,843
District Attorney,0555,597,447,1044,2119,49.27%,181,811,992
District Attorney,0556,584,421,1005,2249,44.69%,207,748,955
District Attorney,0557,822,556,1378,2726,50.55%,440,829,1269
District Attorney,0558,1588,824,2412,4084,59.06%,782,1515,2297
District Attorney,0559,1787,899,2686,4633,57.98%,652,1885,2537
District Attorney,0560,172,289,461,1176,39.20%,99,326,425
District Attorney,0561,837,759,1596,3033,52.62%,885,631,1516
District Attorney,0562,201,146,347,645,53.80%,31,301,332
District Attorney,0563,1699,415,2114,2969,71.20%,1643,356,1999
District Attorney,0564,1150,713,1863,3096,60.17%,530,1205,1735
District Attorney,0565,315,194,509,1373,37.07%,91,386,477
District Attorney,0566,1122,478,1600,2950,54.24%,440,1098,1538
District Attorney,0567,672,394,1066,2198,48.50%,290,681,971
District Attorney,0568,1628,837,2465,3487,70.69%,1672,642,2314
District Attorney,0569,1294,865,2159,3249,66.45%,1220,790,2010
District Attorney,0570,525,409,934,1473,63.41%,444,406,850
District Attorney,0571,333,312,645,1758,36.69%,199,401,600
District Attorney,0572,1283,574,1857,2998,61.94%,883,870,1753
District Attorney,0573,577,368,945,1618,58.41%,12,906,918
District Attorney,0574,98,79,177,391,45.27%,17,149,166
District Attorney,0575,27,9,36,79,45.57%,33,3,36
District Attorney,0576,1050,552,1602,2671,59.98%,49,1502,1551
District Attorney,0577,231,113,344,573,60.03%,194,131,325
District Attorney,0578,745,553,1298,1689,76.85%,874,327,1201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0579,487,351,838,1806,46.40%,194,596,790
District Attorney,0580,429,146,575,1027,55.99%,13,549,562
District Attorney,0581,510,162,672,1041,64.55%,21,625,646
District Attorney,0582,614,256,870,1613,53.94%,51,793,844
District Attorney,0583,544,127,671,1248,53.77%,17,639,656
District Attorney,0584,392,139,531,971,54.69%,33,494,527
District Attorney,0585,934,304,1238,2403,51.52%,34,1169,1203
District Attorney,0585,1306,1189,2495,4230,58.98%,1542,866,2408
District Attorney,0587,933,465,1398,2174,64.31%,509,844,1353
District Attorney,0588,1536,871,2407,3468,69.41%,1711,605,2316
District Attorney,0589,1033,738,1771,3130,56.58%,934,765,1699
District Attorney,0590,1158,463,1621,2136,75.89%,1276,274,1550
District Attorney,0591,420,449,869,2114,41.11%,236,582,818
District Attorney,0592,370,288,658,1258,52.31%,158,470,628
District Attorney,0593,1148,999,2147,4059,52.89%,961,1075,2036
District Attorney,0594,1031,535,1566,2361,66.33%,460,1056,1516
District Attorney,0595,497,380,877,1647,53.25%,149,696,845
District Attorney,0596,945,690,1635,2848,57.41%,857,717,1574
District Attorney,0597,1067,719,1786,3267,54.67%,620,1093,1713
District Attorney,0598,335,103,438,724,60.50%,338,78,416
District Attorney,0599,1895,866,2761,4135,66.77%,954,1710,2664
District Attorney,0600,1383,869,2252,3820,58.95%,787,1355,2142
District Attorney,0601,2028,858,2886,3990,72.33%,2210,576,2786
District Attorney,0602,562,296,858,1237,69.36%,608,216,824
District Attorney,0603,1437,1163,2600,3917,66.38%,1583,928,2511
District Attorney,0604,1444,528,1972,2910,67.77%,1631,263,1894
District Attorney,0605,2227,889,3116,5251,59.34%,768,2217,2985
District Attorney,0606,420,122,542,1053,51.47%,7,516,523
District Attorney,0607,194,118,312,731,42.68%,20,278,298
District Attorney,0608,245,290,535,1256,42.60%,209,290,499
District Attorney,0609,1364,844,2208,3261,67.71%,1394,680,2074
District Attorney,0610,403,398,801,1825,43.89%,356,399,755
District Attorney,0611,1120,301,1421,2450,58.00%,42,1341,1383
District Attorney,0612,1700,579,2279,3272,69.65%,1744,413,2157
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0613,495,309,804,1450,55.45%,127,644,771
District Attorney,0614,1631,812,2443,3932,62.13%,837,1500,2337
District Attorney,0615,931,404,1335,1926,69.31%,799,488,1287
District Attorney,0616,1352,970,2322,3378,68.74%,1617,583,2200
District Attorney,0617,1318,849,2167,3546,61.11%,776,1304,2080
District Attorney,0618,1920,1021,2941,5344,55.03%,1288,1539,2827
District Attorney,0619,2133,857,2990,4266,70.09%,2229,632,2861
District Attorney,0620,2382,856,3238,5271,61.43%,1581,1453,3034
District Attorney,0621,397,203,600,1173,51.15%,302,269,571
District Attorney,0622,1722,829,2551,4305,59.26%,1497,931,2428
District Attorney,0623,1708,626,2334,3481,67.05%,1496,721,2217
District Attorney,0624,9,0,9,16,56.25%,4,5,9
District Attorney,0625,862,454,1316,1796,73.27%,773,446,1219
District Attorney,0626,1148,655,1803,2838,63.53%,926,782,1708
District Attorney,0627,795,647,1442,2964,48.65%,432,919,1351
District Attorney,0628,292,456,748,1600,46.75%,326,382,708
District Attorney,0629,175,127,302,629,48.01%,24,272,296
District Attorney,0630,2018,535,2553,3190,80.03%,241,2218,2459
District Attorney,0631,1489,392,1881,2733,68.83%,1346,441,1787
District Attorney,0632,12,9,21,231,9.09%,5,13,18
District Attorney,0633,1782,678,2460,3257,75.53%,1795,558,2353
District Attorney,0634,1020,734,1754,2922,60.03%,1080,591,1671
District Attorney,0635,1326,706,2032,3280,61.95%,1552,398,1950
District Attorney,0636,1791,974,2765,3881,71.24%,2349,314,2663
District Attorney,0637,739,509,1248,2471,50.51%,330,816,1146
District Attorney,0638,740,684,1424,2078,68.53%,101,1258,1359
District Attorney,0639,828,711,1539,2501,61.54%,1217,269,1486
District Attorney,0640,1382,723,2105,3548,59.33%,1206,802,2008
District Attorney,0641,1265,878,2143,3375,63.50%,1325,733,2058
District Attorney,0642,871,447,1318,1779,74.09%,1103,163,1266
District Attorney,0643,2157,994,3151,5310,59.34%,1220,1785,3005
District Attorney,0644,2123,1204,3327,5261,63.24%,2088,1070,3158
District Attorney,0645,1639,895,2534,4035,62.80%,1192,1210,2402
District Attorney,0646,708,456,1164,2163,53.81%,340,763,1103
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0647,1770,1020,2790,5593,49.88%,698,1872,2570
District Attorney,0648,1590,668,2258,3197,70.63%,1597,569,2166
District Attorney,0649,1389,854,2243,4426,50.68%,618,1502,2120
District Attorney,0650,1328,939,2267,3151,71.95%,1701,476,2177
District Attorney,0651,2085,1070,3155,4931,63.98%,1999,1019,3018
District Attorney,0652,1049,653,1702,2633,64.64%,294,1348,1642
District Attorney,0653,0,8,8,0,0.00%,2,6,8
District Attorney,0654,2103,1344,3447,5765,59.79%,1790,1478,3268
District Attorney,0655,2612,1451,4063,6304,64.45%,2557,1281,3838
District Attorney,0656,1198,421,1619,2622,61.75%,56,1508,1564
District Attorney,0657,490,268,758,1200,63.17%,298,418,716
District Attorney,0658,985,708,1693,2824,59.95%,1054,572,1626
District Attorney,0659,2141,1091,3232,4588,70.44%,2294,810,3104
District Attorney,0660,2460,932,3392,5048,67.19%,341,2935,3276
District Attorney,0661,1614,1012,2626,4179,62.84%,1425,1060,2485
District Attorney,0662,2477,999,3476,4807,72.31%,2837,527,3364
District Attorney,0663,1302,913,2215,3232,68.53%,1320,756,2076
District Attorney,0664,681,607,1288,2801,45.98%,289,933,1222
District Attorney,0665,951,394,1345,2007,67.02%,1100,184,1284
District Attorney,0666,0,1,1,0,0.00%,0,1,1
District Attorney,0657,989,547,1536,2181,70.43%,1192,270,1462
District Attorney,0668,927,655,1582,2458,64.36%,985,533,1518
District Attorney,0669,1606,823,2429,3243,74.90%,1730,582,2312
District Attorney,0670,1566,518,2084,2952,70.60%,1666,303,1969
District Attorney,0671,1090,773,1863,2942,63.32%,1098,662,1760
District Attorney,0672,2301,1078,3379,4710,71.74%,2233,1021,3254
District Attorney,0673,1376,643,2019,2988,67.57%,1603,329,1932
District Attorney,0674,2092,813,2905,4055,71.64%,2178,615,2793
District Attorney,0675,0,0,0,0,0.00%,0,0,0
District Attorney,0676,0,0,0,0,0.00%,0,0,0
District Attorney,0677,220,239,459,954,48.11%,135,295,430
District Attorney,0678,297,164,461,756,60.98%,323,111,434
District Attorney,0679,1466,661,2127,3331,63.85%,1610,427,2037
District Attorney,0680,56,22,78,181,43.09%,40,33,73
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0681,1,0,1,5,20.00%,0,1,1
District Attorney,0682,1673,912,2585,4134,62.53%,1886,595,2481
District Attorney,0683,48,50,98,261,37.55%,23,68,91
District Attorney,0684,72,24,96,187,51.34%,56,31,87
District Attorney,0685,167,29,196,326,60.12%,96,88,184
District Attorney,0686,46,34,80,196,40.82%,20,55,75
District Attorney,0687,1084,641,1725,2497,69.08%,1181,436,1617
District Attorney,0688,1815,673,2488,3266,76.18%,2009,363,2372
District Attorney,0689,505,651,1156,2276,50.79%,542,526,1068
District Attorney,0690,1965,1116,3081,4184,73.64%,2401,544,2945
District Attorney,0691,10,2,12,34,35.29%,5,7,12
District Attorney,0692,999,717,1716,2626,65.35%,1278,361,1639
District Attorney,0693,303,116,419,651,64.36%,115,271,386
District Attorney,0694,420,137,557,817,68.18%,393,140,533
District Attorney,0695,454,320,774,1646,47.02%,490,251,741
District Attorney,0696,600,373,973,2098,46.38%,597,333,930
District Attorney,0697,1516,941,2457,4307,57.05%,565,1799,2364
District Attorney,0698,1137,659,1796,2948,60.92%,183,1550,1733
District Attorney,0699,1031,566,1597,2288,69.80%,1076,408,1484
District Attorney,0700,531,287,818,1313,62.30%,652,129,781
District Attorney,0701,142,115,257,554,46.39%,128,117,245
District Attorney,0702,150,123,273,549,49.73%,29,230,259
District Attorney,0703,742,616,1358,1845,73.60%,1015,260,1275
District Attorney,0704,1334,701,2035,2882,70.61%,1655,299,1954
District Attorney,0705,358,238,596,1520,39.21%,62,512,574
District Attorney,0706,222,135,357,529,67.49%,172,176,348
District Attorney,0707,284,135,420,707,59.41%,258,138,396
District Attorney,0708,109,95,204,568,35.92%,99,94,193
District Attorney,0709,2996,1297,4293,6239,68.81%,2553,1573,4126
District Attorney,0710,877,602,1479,2023,73.11%,918,445,1363
District Attorney,0711,1492,701,2193,3351,65.44%,1334,729,2063
District Attorney,0712,1200,858,2058,3348,61.47%,842,1153,1995
District Attorney,0713,665,436,1101,1827,60.26%,584,470,1054
District Attorney,0714,77,3,80,304,26.32%,54,22,76
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0715,405,326,731,1380,52.97%,361,328,689
District Attorney,0716,977,522,1599,2670,59.89%,1128,405,1533
District Attorney,0717,826,362,1188,1927,61.65%,162,976,1138
District Attorney,0718,1844,1019,2863,4050,70.69%,1993,699,2692
District Attorney,0719,508,260,768,1617,47.50%,428,292,720
District Attorney,0720,1575,1044,2619,3903,67.10%,1911,618,2529
District Attorney,0721,1334,637,1971,2842,69.35%,1384,475,1859
District Attorney,0722,1892,542,2534,4357,58.16%,159,2274,2433
District Attorney,0723,747,329,1076,1760,61.14%,236,794,1030
District Attorney,0724,325,170,495,716,69.13%,355,121,476
District Attorney,0725,953,329,1282,2124,60.36%,540,683,1223
District Attorney,0726,1141,304,1445,1987,72.72%,1259,128,1387
District Attorney,0727,931,466,1397,2488,56.15%,357,980,1337
District Attorney,0728,343,208,551,881,62.54%,322,197,519
District Attorney,0729,208,93,301,446,67.49%,179,111,290
District Attorney,0730,800,437,1237,1630,75.89%,859,288,1147
District Attorney,0731,121,36,157,373,42.09%,30,117,147
District Attorney,0732,701,543,1244,1895,65.65%,755,410,1165
District Attorney,0733,25,62,87,172,50.58%,32,48,80
District Attorney,0734,3209,1114,4323,5952,72.63%,2913,1247,4160
District Attorney,0735,9,0,9,23,39.13%,9,0,9
District Attorney,0736,6,1,7,21,33.33%,0,6,6
District Attorney,0737,25,5,30,53,56.60%,27,3,30
District Attorney,0738,470,219,689,1294,53.25%,84,587,671
District Attorney,0739,1005,490,1495,2872,52.05%,662,778,1440
District Attorney,0740,233,205,438,935,46.84%,231,192,423
District Attorney,0741,0,0,0,0,0.00%,0,0,0
District Attorney,0742,0,0,0,0,0.00%,0,0,0
District Attorney,0743,27,4,31,199,15.58%,13,16,29
District Attorney,0744,848,509,1357,2024,67.05%,916,365,1281
District Attorney,0745,1066,542,1608,2396,67.11%,1062,462,1524
District Attorney,0746,230,151,381,707,53.89%,180,168,348
District Attorney,0747,1200,873,2073,3490,59.40%,984,1019,2003
District Attorney,0748,420,307,727,1319,55.12%,334,351,685
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0749,99,57,156,359,43.45%,31,113,144
District Attorney,0750,264,147,411,720,57.08%,241,153,394
District Attorney,0751,1664,1254,2918,4451,65.56%,1946,835,2781
District Attorney,0752,571,277,848,1511,56.12%,622,194,816
District Attorney,0753,106,61,167,260,64.23%,116,47,163
District Attorney,0754,0,0,0,0,0.00%,0,0,0
District Attorney,0755,1048,896,1944,3569,54.47%,752,1098,1850
District Attorney,0756,582,300,882,1539,57.31%,306,532,838
District Attorney,0757,1416,690,2106,3498,60.21%,346,1697,2043
District Attorney,0758,1996,783,2779,3781,73.50%,2235,384,2619
District Attorney,0759,1109,590,1699,2625,64.72%,1033,568,1601
District Attorney,0760,2346,647,2993,4154,72.05%,2521,338,2859
District Attorney,0761,917,219,1136,1464,77.60%,870,199,1069
District Attorney,0762,0,0,0,0,0.00%,0,0,0
District Attorney,0763,255,308,563,1184,47.55%,201,329,530
District Attorney,0764,2270,1050,3320,4931,67.33%,2100,1086,3186
District Attorney,0765,1390,815,2205,3967,55.58%,797,1304,2101
District Attorney,0766,71,92,163,383,42.56%,38,106,144
District Attorney,0767,20,15,35,90,38.89%,23,9,32
District Attorney,0768,2854,1159,4013,5364,74.81%,3174,688,3862
District Attorney,0769,117,5,122,161,75.78%,6,111,117
District Attorney,0770,58,48,106,262,40.46%,50,50,100
District Attorney,0771,701,537,1238,2378,52.06%,625,545,1170
District Attorney,0772,2927,1002,3929,5617,69.95%,2983,787,3770
District Attorney,0773,892,550,1442,2648,54.46%,347,1013,1360
District Attorney,0774,116,74,190,301,63.12%,43,141,184
District Attorney,0775,33,1,34,83,40.96%,0,33,33
District Attorney,0776,1113,741,1854,2855,64.94%,1083,695,1778
District Attorney,0777,83,123,206,642,32.09%,53,146,199
District Attorney,0778,0,0,0,0,0.00%,0,0,0
District Attorney,0779,295,221,516,1146,45.03%,163,318,481
District Attorney,0780,136,114,250,579,43.18%,109,125,234
District Attorney,0781,1152,655,1807,3716,48.63%,687,943,1630
District Attorney,0782,851,532,1383,2188,63.21%,844,459,1303
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0783,103,43,146,265,55.09%,78,57,135
District Attorney,0784,428,156,584,1071,54.53%,9,556,565
District Attorney,0785,66,55,121,310,39.03%,68,52,120
District Attorney,0786,193,277,470,1297,36.24%,148,301,449
District Attorney,0787,154,76,230,487,47.23%,78,139,217
District Attorney,0788,156,58,214,481,44.49%,73,129,202
District Attorney,0789,3,1,4,4,100.00%,1,2,3
District Attorney,0790,1,0,1,4,25.00%,0,1,1
District Attorney,0791,0,0,0,0,0.00%,0,0,0
District Attorney,0792,549,409,958,1834,52.24%,229,678,907
District Attorney,0793,889,338,1227,2437,50.35%,730,458,1188
District Attorney,0794,575,484,1059,2602,40.70%,79,943,1022
District Attorney,0795,265,255,520,1207,43.08%,158,313,471
District Attorney,0796,145,92,237,485,48.87%,120,106,226
District Attorney,0797,0,0,0,0,0.00%,0,0,0
District Attorney,0798,176,263,439,496,88.51%,140,255,395
District Attorney,0799,65,12,77,146,52.74%,18,55,73
District Attorney,0800,1188,795,1983,2817,70.39%,1325,557,1882
District Attorney,0801,68,55,123,253,48.62%,41,75,116
District Attorney,0802,98,58,156,299,52.17%,38,106,144
District Attorney,0803,1305,530,1935,2718,71.19%,1439,404,1843
District Attorney,0804,1806,960,2766,4348,63.62%,1667,964,2631
District Attorney,0805,1509,529,2038,2812,72.48%,1651,292,1943
District Attorney,0806,0,0,0,0,0.00%,0,0,0
District Attorney,0807,652,402,1054,2001,52.67%,164,842,1006
District Attorney,0808,41,26,67,84,79.76%,34,25,59
District Attorney,0809,21,e,27,86,31.40%,9,17,26
District Attorney,0810,30,48,78,215,36.28%,19,51,70
District Attorney,0811,39,106,145,271,53.51%,31,104,135
District Attorney,0812,0,0,0,0,0.00%,0,0,0
District Attorney,0813,1967,1258,3225,5423,59.47%,1558,1555,3113
District Attorney,0814,1772,955,2727,4503,60.56%,625,1981,2606
District Attorney,0815,0,0,0,0,0.00%,0,0,0
District Attorney,0816,20,13,33,76,43.42%,6,26,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0817,0,0,0,0,0.00%,0,0,0
District Attorney,0818,134,101,235,527,44.59%,50,179,229
District Attorney,0819,97,45,142,238,59.66%,92,33,125
District Attorney,0820,0,0,0,0,0.00%,0,0,0
District Attorney,0821,354,203,557,1206,46.19%,43,491,534
District Attorney,0822,584,282,866,1544,56.09%,26,811,837
District Attorney,0823,1849,1015,2864,4710,60.81%,1505,1222,2727
District Attorney,0824,984,471,1455,2729,53.32%,327,1075,1402
