Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0097,2393,764,3157,4566,69.14%,2346,678,3024
District Attorney,0098,874,607,1481,2403,61.63%,1212,210,1422
District Attorney,0099,568,311,879,2040,43.09%,400,439,839
District Attorney,0100,427,324,751,1754,42.82%,343,375,718
District Attorney,0101,203,186,389,941,41.34%,87,290,377
District Attorney,0102,493,268,761,1910,39.84%,201,536,737
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0103,1915,1065,2980,4751,62.72%,1581,1279,2860
District Attorney,0104,992,238,1230,1847,66.59%,28,1168,1196
District Attorney,0105,462,453,915,2153,42.50%,245,602,847
District Attorney,0106,49,37,86,284,30.28%,39,42,81
District Attorney,0107,412,441,853,1905,44.78%,138,678,816
District Attorney,0108,1193,514,1707,3229,52.86%,904,724,1628
District Attorney,0109,1160,430,1590,2884,55.13%,32,1508,1540
District Attorney,0110,1465,589,2054,2853,71.99%,1248,704,1952
District Attorney,0111,1868,848,2716,3638,74.66%,1999,574,2573
District Attorney,0112,1262,668,1930,2894,66.69%,1362,481,1843
District Attorney,0113,1125,590,1715,2537,67.60%,1015,624,1639
District Attorney,0114,1454,546,2000,2650,75.47%,1556,365,1921
District Attorney,0115,598,305,903,1764,51.19%,106,768,874
District Attorney,0116,1626,747,2373,3014,78.73%,1900,359,2259
District Attorney,0117,398,452,860,1878,45.79%,362,448,810
District Attorney,0118,460,148,608,743,81.83%,497,73,570
District Attorney,0119,1924,1265,3189,4892,65.19%,2528,560,3088
District Attorney,0120,1197,632,1829,2986,61.25%,1139,584,1723
District Attorney,0121,193,244,437,679,64.36%,291,128,419
District Attorney,0122,895,349,1244,2199,56.57%,47,1143,1190
District Attorney,0123,440,350,790,1356,58.26%,277,453,730
District Attorney,0124,3522,1281,4803,5952,80.70%,3811,787,4598
District Attorney,0125,896,534,1430,2281,62.69%,839,533,1372
District Attorney,0126,1630,407,2037,2799,72.78%,1744,211,1955
District Attorney,0127,854,182,1036,1703,60.83%,727,265,992
District Attorney,0128,936,736,1672,2257,74.08%,1184,339,1523
District Attorney,0129,2294,1449,3743,5495,68.12%,2404,1115,3519
District Attorney,0130,1201,523,1724,2240,76.96%,1349,286,1635
