Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 10",0012,227,133,360,716,50.28%,160,53,213
"City of Baytown, Proposition No. 10",0013,1133,439,1572,2808,55.98%,738,296,1034
"City of Baytown, Proposition No. 10",0028,1436,459,1895,2768,68.46%,907,286,1193
"City of Baytown, Proposition No. 10",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 10",0099,568,311,879,2040,43.09%,389,138,527
"City of Baytown, Proposition No. 10",0100,427,324,751,1754,42.82%,308,155,463
"City of Baytown, Proposition No. 10",0102,493,267,760,1910,39.79%,262,128,390
"City of Baytown, Proposition No. 10",0103,287,82,369,664,55.57%,159,59,218
"City of Baytown, Proposition No. 10",0248,408,405,813,2122,38.31%,281,131,412
"City of Baytown, Proposition No. 10",0249,1011,477,1488,2636,56.45%,716,271,987
"City of Baytown, Proposition No. 10",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 10",0386,599,186,785,1249,62.85%,371,134,505
"City of Baytown, Proposition No. 10",0387,2,17,19,7,271.43%,5,2,7
"City of Baytown, Proposition No. 10",0414,1407,577,1984,3360,59.05%,939,318,1257
"City of Baytown, Proposition No. 10",0456,1168,556,1724,3091,55.77%,747,294,1041
"City of Baytown, Proposition No. 10",0532,452,184,636,1039,61.21%,301,111,412
"City of Baytown, Proposition No. 10",0533,317,207,524,1069,49.02%,221,92,313
"City of Baytown, Proposition No. 10",0739,905,448,1353,2526,53.56%,573,237,810
"City of Baytown, Proposition No. 10",0740,43,39,82,148,55.41%,24,12,36
"City of Baytown, Proposition No. 10",Totals:,10884,5111,15995,29907,,7101,2717,9818
