Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Wittenmyer,DEM Mike Engelhart,Totals
"District Judge, 151st Judicial District",0080,1159,481,1840,2712,80.47%,338,1212,1550
"District Judge, 151st Judicial District",0081,540,309,849,1839,48.17%,280,527,787
"District Judge, 151st Judicial District",0082,1353,818,2189,3284,88.05%,1570,497,2087
"District Judge, 151st Judicial District",0083,2825,1181,3808,5598,87.99%,1738,1912,3850
"District Judge, 151st Judicial District",0084,444,348,790,1389,58.88%,549,208,757
"District Judge, 151st Judicial District",0085,730,548,1278,2079,81.47%,24,1198,1220
"District Judge, 151st Judicial District",0088,1054,889,1743,2837,88.10%,789,834,1803
"District Judge, 151st Judicial District",0087,1222,881,2083,2749,75.77%,1185,728,1893
"District Judge, 151st Judicial District",0088,235,182,397,878,58.55%,242,137,379
"District Judge, 151st Judicial District",0089,342,454,798,1104,72.10%,398,328,728
"District Judge, 151st Judicial District",0090,1498,958,2458,3571,88.78%,1728,581,2309
"District Judge, 151st Judicial District",0091,488,333,799,1248,84.02%,471,294,785
"District Judge, 151st Judicial District",0092,1105,534,1839,2228,73.58%,1083,458,1521
"District Judge, 151st Judicial District",0093,782,843,1425,3295,43.25%,499,822,1321
"District Judge, 151st Judicial District",0094,148,104,252,537,48.93%,52,184,238
"District Judge, 151st Judicial District",0095,1884,871,2355,3179,74.08%,1531,888,2199
"District Judge, 151st Judicial District",0098,384,237,801,1241,48.43%,55,527,582
"District Judge, 151st Judicial District",0097,2393,784,3157,4588,89.14%,2245,748,2993
"District Judge, 151st Judicial District",0098,874,807,1481,2403,81.83%,1181,234,1415
"District Judge, 151st Judicial District",0099,588,311,879,2040,43.09%,380,481,841
"District Judge, 151st Judicial District",0100,427,324,751,1754,42.82%,324,393,717
"District Judge, 151st Judicial District",0101,203,188,389,941,41.34%,84,294,378
"District Judge, 151st Judicial District",0102,493,288,781,1910,39.84%,191,538,729
"District Judge, 151st Judicial District",0103,1915,1065,2980,4751,62.72%,1526,1322,2848
"District Judge, 151st Judicial District",0104,992,238,1230,1847,66.59%,23,1172,1195
"District Judge, 151st Judicial District",0105,462,453,915,2153,42.50%,233,615,848
"District Judge, 151st Judicial District",0106,49,37,86,284,30.28%,39,43,82
"District Judge, 151st Judicial District",0107,412,441,853,1905,44.78%,133,686,819
"District Judge, 151st Judicial District",0108,1193,514,1707,3229,52.86%,860,756,1616
"District Judge, 151st Judicial District",0109,1160,430,1590,2884,55.13%,29,1512,1541
"District Judge, 151st Judicial District",0110,1465,589,2054,2853,71.99%,1205,726,1931
"District Judge, 151st Judicial District",0111,1868,848,2716,3638,74.66%,1949,603,2552
"District Judge, 151st Judicial District",0112,1262,668,1930,2894,66.69%,1318,509,1827
"District Judge, 151st Judicial District",0113,1125,590,1715,2537,67.60%,930,688,1618
"District Judge, 151st Judicial District",0114,1454,546,2000,2650,75.47%,1541,378,1919
"District Judge, 151st Judicial District",0115,598,305,903,1764,51.19%,99,774,873
"District Judge, 151st Judicial District",0116,1626,747,2373,3014,78.73%,1711,518,2229
"District Judge, 151st Judicial District",0117,398,462,860,1878,45.79%,341,471,812
"District Judge, 151st Judicial District",0118,460,148,608,743,81.83%,457,116,573
"District Judge, 151st Judicial District",0119,1924,1265,3189,4892,65.19%,2446,619,3065
"District Judge, 151st Judicial District",0120,1197,632,1829,2986,61.25%,1053,651,1704
"District Judge, 151st Judicial District",0121,193,244,437,679,64.36%,283,134,417
"District Judge, 151st Judicial District",0122,895,349,1244,2199,56.57%,38,1154,1192
"District Judge, 151st Judicial District",0123,440,350,790,1356,58.26%,207,521,728
"District Judge, 151st Judicial District",0124,3522,1281,4803,5952,80.70%,3711,859,4570
"District Judge, 151st Judicial District",0125,896,534,1430,2281,62.69%,799,563,1362
"District Judge, 151st Judicial District",0126,1630,407,2037,2799,72.78%,1710,235,1945
"District Judge, 151st Judicial District",0127,854,182,1036,1703,60.83%,705,281,986
"District Judge, 151st Judicial District",0128,936,736,1672,2257,74.08%,947,568,1515
"District Judge, 151st Judicial District",0129,2294,1449,3743,5495,68.12%,2160,1343,3503
"District Judge, 151st Judicial District",0130,1201,523,1724,2240,76.96%,1217,400,1617
"District Judge, 151st Judicial District",0131,604,374,978,1721,56.83%,222,714,936
"District Judge, 151st Judicial District",0132,1119,397,1516,2449,61.90%,25,1434,1459
"District Judge, 151st Judicial District",0133,1083,940,2023,2605,77.66%,1101,755,1856
"District Judge, 151st Judicial District",0134,419,392,811,1444,56.16%,344,414,758
"District Judge, 151st Judicial District",0135,1424,634,2058,2750,74.84%,1178,713,1891
"District Judge, 151st Judicial District",0136,981,451,1432,2111,67.84%,51,1323,1374
"District Judge, 151st Judicial District",0137,305,193,498,740,67.30%,222,230,452
"District Judge, 151st Judicial District",0138,661,259,920,1749,52.60%,19,864,883
"District Judge, 151st Judicial District",0139,1290,747,2037,2746,74.18%,903,947,1850
