Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mitt Romney l Paul Ryan,DEM Barack Obama I Joe Biden,LIB Gary Johnson I Jim Gray,GRN Jill Stein l Cheri Honkala,Stewart Alexanderl Alex Mendoza,Rocky Anderson I Luis J. Rodriguez,Avery Ayers l Alejandrina Cabrera,Andre N. Barnettl Kenneth R. Cross
President and Vice President,0074,2221,530,2751,3632,75.74%,2171,520,24,9,0,0,0,0
President and Vice President,0075,488,370,858,1329,64.56%,348,483,13,5,0,0,0,0
President and Vice President,0076,815,559,1384,2328,59.45%,782,562,9,4,0,0,0,0
President and Vice President,0077,169,81,250,565,44.25%,58,191,0,0,0,0,0,0
President and Vice President,0078,360,344,704,1479,47.60%,240,439,5,3,0,0,0,0
President and Vice President,0079,511,717,1228,2959,41.50%,264,911,4,5,0,0,0,0
President and Vice President,0080,1159,481,1640,2712,60.47%,380,1216,12,5,0,0,0,0
President and Vice President,0081,540,309,849,1839,46.17%,297,525,8,5,0,0,0,0
President and Vice President,0082,1354,816,2170,3284,66.08%,1626,498,22,6,0,0,0,0
President and Vice President,0083,2535,1181,3817,5598,68.19%,1802,1940,37,9,0,0,0,0
President and Vice President,0084,445,346,791,1389,56.95%,575,189,10,5,0,0,0,0
President and Vice President,0085,735,548,1283,2079,61.71%,18,1250,5,1,0,0,0,0
President and Vice President,0086,1059,689,1748,2637,66.29%,803,880,39,10,0,0,0,0
President and Vice President,0087,1230,861,2091,2749,76.06%,1346,706,23,4,0,0,0,0
President and Vice President,0088,235,162,397,678,58.55%,258,125,3,2,0,0,0,0
President and Vice President,0089,345,454,799,1104,72.37%,475,296,16,2,0,0,0,0
President and Vice President,0090,1500,958,2458,3571,68.83%,1836,553,31,7,0,0,0,0
President and Vice President,0091,466,333,799,1248,64.02%,489,287,15,3,0,0,0,0
President and Vice President,0092,1106,534,1640,2228,73.61%,1123,463,22,12,0,0,0,0
President and Vice President,0093,782,643,1425,3295,43.25%,548,824,13,4,0,0,0,0
President and Vice President,0094,148,104,252,537,46.93%,66,175,2,2,0,0,0,0
President and Vice President,0095,1594,571,2365,3179,74.39%,1662,652,24,9,0,0,0,0
President and Vice President,0096,365,237,602,1241,48.51%,58,535,1,3,0,0,0,0
President and Vice President,0097,2398,764,3162,4566,69.25%,2361,736,22,8,0,0,0,0
President and Vice President,0098,875,607,1482,2403,61.67%,1249,206,11,4,0,0,0,0
President and Vice President,0099,568,311,879,2040,43.09%,404,450,5,3,0,0,0,0
President and Vice President,0100,427,324,751,1754,42.82%,339,385,6,4,0,0,0,0
President and Vice President,0101,204,186,390,941,41.45%,84,296,3,0,0,0,0,0
President and Vice President,0102,493,268,761,1910,39.84%,198,535,4,3,0,0,0,0
President and Vice President,0103,1915,1065,2980,4751,62.72%,1598,1317,17,5,0,0,0,0
President and Vice President,0104,993,238,1231,1847,66.65%,24,1189,1,1,0,0,0,0
President and Vice President,0105,462,453,915,2153,42.50%,257,622,9,1,0,0,0,0
President and Vice President,0106,49,37,86,284,30.28%,39,44,0,1,0,0,0,0
President and Vice President,0107,412,441,853,1905,44.78%,140,689,2,0,0,0,0,0
President and Vice President,0108,1195,514,1709,3229,52.93%,911,751,13,3,0,0,0,0
President and Vice President,0109,1161,430,1591,2884,55.17%,22,1546,2,1,0,0,0,0
President and Vice President,0110,1465,589,2054,2853,71.99%,1263,748,15,8,0,0,0,0
President and Vice President,0111,1872,848,2720,3638,74.77%,2039,625,25,5,0,0,0,0
President and Vice President,0112,1263,668,1931,2894,66.72%,1360,518,30,4,0,0,0,0
President and Vice President,0113,1126,590,1716,2537,67.64%,984,690,23,4,0,0,0,0
President and Vice President,0114,1457,546,2003,2650,75.58%,1574,381,21,3,0,0,0,0
President and Vice President,0115,599,305,904,1764,51.25%,110,776,2,3,0,0,0,0
President and Vice President,0116,1631,747,2378,3014,78.90%,1827,493,29,6,0,1,0,0
President and Vice President,0117,398,462,860,1878,45.79%,367,454,10,7,0,0,0,0
President and Vice President,0118,460,148,608,743,81.83%,498,99,5,1,0,0,0,0
President and Vice President,0119,1925,1265,3190,4892,65.21%,2489,633,22,7,0,1,0,0
President and Vice President,0120,1206,632,1838,2986,61.55%,1123,660,22,4,0,0,0,0
President and Vice President,0121,193,244,437,679,64.36%,285,134,3,4,0,0,0,0
President and Vice President,0122,895,349,1244,2199,56.57%,35,1176,3,3,0,0,0,0
President and Vice President,0123,446,350,796,1356,58.70%,222,538,17,11,0,1,0,0
President and Vice President,0124,3527,1281,4808,5952,80.78%,3845,885,40,11,0,0,0,0
President and Vice President,0125,897,534,1431,2281,62.74%,828,561,18,3,0,0,0,0
President and Vice President,0126,1631,407,2038,2799,72.81%,1764,224,18,6,0,0,0,0
President and Vice President,0127,854,182,1036,1703,60.83%,732,279,5,2,0,0,0,0
President and Vice President,0128,938,736,1674,2257,74.17%,1072,556,21,8,0,0,0,0
President and Vice President,0129,2303,1449,3752,5495,68.28%,2369,1279,56,15,0,0,0,0
President and Vice President,0130,1210,523,1733,2240,77.37%,1301,404,7,7,0,0,0,0
President and Vice President,0131,607,374,981,1721,57.00%,238,717,8,3,0,0,0,0
President and Vice President,0132,1121,397,1518,2449,61.98%,25,1465,3,3,0,0,0,0
President and Vice President,0133,1091,940,2031,2605,77.97%,1254,731,23,9,0,1,0,0
President and Vice President,0134,420,392,812,1444,56.23%,367,419,8,4,0,0,0,0
