Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mitt Romney l Paul Ryan,DEM Barack Obama I Joe Biden,LIB Gary Johnson I Jim Gray,GRN Jill Stein l Cheri Honkala,Stewart Alexanderl Alex Mendoza,Rocky Anderson I Luis J. Rodriguez,Avery Ayers l Alejandrina Cabrera,Andre N. Barnettl Kenneth R. Cross
President and Vice President,0315,714,479,1193,1618,73.73%,713,445,16,9,0,0,0,0
President and Vice President,0316,686,411,1097,1522,72.08%,617,444,12,12,0,0,0,0
President and Vice President,0317,557,336,893,1469,60.79%,266,605,3,7,0,0,0,0
President and Vice President,0318,1709,611,2320,3531,65.70%,95,2173,7,4,0,0,0,0
President and Vice President,0319,967,290,1257,2081,60.40%,87,1146,1,5,0,0,0,0
President and Vice President,0320,464,300,764,1505,50.76%,354,380,8,1,0,0,0,0
President and Vice President,0321,442,306,748,2029,36.87%,270,459,6,3,0,0,0,0
President and Vice President,0322,398,237,635,1322,48.03%,162,458,1,2,0,0,0,0
President and Vice President,0323,483,332,815,1719,47.41%,351,429,14,0,0,0,0,0
President and Vice President,0324,970,718,1688,2339,72.17%,1126,524,17,6,0,0,0,0
President and Vice President,0325,658,397,1055,2251,46.87%,239,788,3,3,0,0,0,0
President and Vice President,0326,202,128,330,678,48.67%,152,164,4,1,0,0,0,0
President and Vice President,0327,726,244,970,1751,55.40%,12,938,1,1,0,0,0,0
President and Vice President,0328,345,270,615,1361,45.19%,240,355,5,1,0,0,0,0
President and Vice President,0329,405,307,712,1367,52.08%,230,453,4,3,0,0,0,0
President and Vice President,0330,591,376,967,1849,52.30%,439,478,14,8,0,0,0,0
President and Vice President,0331,0,1,1,0,0.00%,1,0,0,0,0,0,0,0
President and Vice President,0332,24,4,28,128,21.88%,12,16,0,0,0,0,0,0
President and Vice President,0333,1020,939,1959,2901,67.53%,1422,476,28,7,0,0,0,0
President and Vice President,0334,255,114,369,755,48.87%,76,285,1,1,1,0,0,0
President and Vice President,0335,286,246,532,1227,43.36%,150,348,6,2,0,0,0,0
President and Vice President,0336,1828,588,2416,3161,76.43%,201,2182,14,2,0,0,0,0
President and Vice President,0337,310,207,517,951,54.36%,92,417,1,1,0,0,0,0
President and Vice President,0338,1543,824,2367,4673,50.65%,670,1628,12,7,0,0,0,0
President and Vice President,0339,369,373,742,1716,43.24%,169,543,9,3,0,0,0,0
President and Vice President,0340,1782,833,2615,3717,70.35%,1940,594,39,15,0,0,0,0
President and Vice President,0341,246,316,562,1248,45.03%,139,406,2,5,0,0,0,0
President and Vice President,0342,2032,1113,3145,5718,55.00%,430,2642,20,5,0,0,0,0
President and Vice President,0343,438,483,921,1904,48.37%,251,637,7,5,0,0,0,0
President and Vice President,0344,397,245,642,1207,53.19%,22,605,1,1,0,0,0,0
President and Vice President,0345,430,357,787,1708,46.08%,167,595,7,2,0,0,0,0
President and Vice President,0346,1,2,3,1,300.00%,3,0,0,0,0,0,0,0
President and Vice President,0347,1251,614,1865,3299,56.53%,1156,659,23,4,0,0,0,0
President and Vice President,0348,753,280,1033,1740,59.37%,745,264,9,3,0,0,0,0
President and Vice President,0349,407,407,814,1315,61.90%,480,305,12,7,0,0,0,0
President and Vice President,0350,1129,780,1909,2906,65.69%,782,1065,24,11,0,0,0,0
President and Vice President,0351,2502,793,3295,4537,72.63%,2632,609,18,7,0,0,0,0
President and Vice President,0352,1153,583,1736,3193,54.37%,1225,464,19,3,0,0,0,0
President and Vice President,0353,1546,703,2249,3697,60.83%,393,1816,5,2,0,0,0,0
President and Vice President,0354,1478,517,1995,3193,62.48%,484,1468,7,5,0,0,0,0
President and Vice President,0355,703,286,989,1384,71.46%,85,888,3,0,0,0,0,0
President and Vice President,0356,1387,618,2005,2836,70.70%,1184,762,32,4,0,0,0,0
President and Vice President,0357,1635,709,2344,3371,69.53%,1734,543,35,5,0,0,0,0
President and Vice President,0358,742,464,1206,2297,52.50%,80,1106,4,2,0,0,0,0
President and Vice President,0359,708,482,1190,3008,39.56%,88,1080,1,3,0,0,0,0
President and Vice President,0360,980,515,1495,2190,68.26%,821,643,14,6,0,0,0,0
President and Vice President,0361,138,691,829,1585,52.30%,137,639,35,15,0,0,0,0
President and Vice President,0362,2138,1200,3338,4952,67.41%,2437,835,35,10,0,1,0,0
President and Vice President,0363,1349,687,2036,3291,61.87%,909,1085,9,8,0,0,0,0
President and Vice President,0364,913,602,1515,2539,59.67%,790,683,12,5,0,0,0,0
President and Vice President,0365,737,245,982,1302,75.42%,81,881,2,0,0,0,0,0
President and Vice President,0366,638,466,1104,2089,52.85%,243,835,5,2,0,0,0,0
President and Vice President,0367,328,212,540,1019,52.99%,95,427,4,2,0,0,0,0
President and Vice President,0368,418,143,561,929,60.39%,154,398,1,0,0,0,0,0
President and Vice President,0369,108,53,161,490,32.86%,60,96,2,1,0,0,0,0
President and Vice President,0370,3147,1178,4325,5781,74.81%,3294,946,41,13,0,1,0,0
President and Vice President,0371,226,69,295,475,62.11%,5,287,1,0,0,0,0,0
President and Vice President,0372,500,231,731,1215,60.16%,88,631,0,1,0,0,0,0
President and Vice President,0373,61,16,77,159,48.43%,2,74,0,0,0,0,0,0
President and Vice President,0374,139,187,326,748,43.58%,103,212,2,1,0,0,0,0
President and Vice President,0375,579,524,1103,2607,42.31%,488,588,7,3,0,0,0,0
President and Vice President,0376,530,334,964,1916,50.31%,426,514,4,2,0,0,0,0
President and Vice President,0377,1056,707,1763,2871,61.41%,1336,384,22,4,0,0,0,0
President and Vice President,0378,561,521,1082,1777,60.89%,674,373,12,7,1,0,0,0
President and Vice President,0379,802,338,1140,2017,56.52%,96,1018,5,2,0,0,0,0
President and Vice President,0380,2508,1183,3691,4753,77.66%,2124,1494,28,11,0,1,0,0
President and Vice President,0381,957,424,1381,2715,50.87%,585,757,6,5,0,0,0,0
President and Vice President,0382,275,231,507,841,60.29%,362,127,7,3,0,0,0,0
President and Vice President,0383,601,493,1094,2076,52.70%,333,731,7,5,0,0,0,0
President and Vice President,0384,1179,505,1684,2596,64.87%,354,1297,6,4,0,0,0,0
President and Vice President,0385,1101,621,1722,2175,79.17%,1324,362,15,6,0,0,0,0
President and Vice President,0386,1468,460,1928,2872,67.13%,1406,481,18,2,0,0,0,0
President and Vice President,0387,1369,802,2171,3727,58.25%,1558,556,18,6,0,0,0,0
President and Vice President,0388,2784,1222,4006,5329,75.17%,2273,1657,38,6,0,0,0,0
President and Vice President,0389,290,251,551,975,56.51%,77,437,26,6,0,0,0,0
President and Vice President,0390,652,368,1020,1565,65.18%,110,883,11,2,0,0,0,0
President and Vice President,0391,856,355,1211,1805,67.09%,770,405,16,9,0,0,0,0
President and Vice President,0392,737,197,934,1441,64.82%,6,914,1,2,0,0,0,0
President and Vice President,0393,346,318,664,1206,55.06%,291,348,16,4,0,0,0,0
President and Vice President,0394,166,176,342,860,39.77%,144,182,3,1,0,0,0,0
President and Vice President,0395,833,491,1324,1820,72.75%,908,378,25,4,0,0,0,0
President and Vice President,0396,1158,219,1377,2073,66.43%,16,1339,4,0,0,0,0,0
President and Vice President,0397,163,148,311,750,41.47%,125,171,1,2,0,0,0,0
President and Vice President,0398,1444,840,2284,3816,59.85%,1110,1117,22,11,0,0,0,0
President and Vice President,0399,898,593,1491,2542,58.65%,726,740,7,3,0,0,0,0
President and Vice President,0400,1056,506,1562,2238,69.79%,1116,420,14,3,0,0,0,0
President and Vice President,0401,724,284,1008,1876,53.73%,35,948,2,1,0,0,0,0
President and Vice President,0402,892,245,1137,1737,65.46%,46,1061,7,2,0,0,0,0
President and Vice President,0403,794,527,1321,1703,77.57%,754,531,17,4,0,0,0,0
President and Vice President,0404,781,552,1333,2589,51.49%,693,589,14,3,0,1,0,0
President and Vice President,0405,0,1,1,0,0.00%,0,1,0,0,0,0,0,0
President and Vice President,0406,282,72,354,610,58.03%,4,343,1,0,0,0,0,0
President and Vice President,0407,1324,1000,2324,3652,63.64%,1474,769,27,8,0,0,0,0
President and Vice President,0408,154,179,333,933,35.69%,146,174,4,0,0,0,0,0
President and Vice President,0409,277,289,566,1371,41.28%,177,357,3,4,0,0,0,0
President and Vice President,0410,337,102,439,849,51.71%,84,352,0,0,0,0,0,0
President and Vice President,0411,542,462,1004,2302,43.61%,307,666,8,2,0,0,0,0
President and Vice President,0412,193,74,267,433,61.66%,12,248,0,1,0,0,0,0
President and Vice President,0413,1495,525,2020,3023,66.82%,815,1162,9,4,0,0,0,0
President and Vice President,0414,1454,593,2047,3457,59.21%,1508,488,15,3,0,0,0,0
President and Vice President,0415,955,633,1588,2124,74.76%,1100,449,12,12,0,0,0,0
President and Vice President,0416,1184,91,5,2100,3582,58.63%,1085,946,22,14,0,0,0,0
President and Vice President,0417,779,619,1398,2465,56.71%,645,716,13,4,0,0,0,0
President and Vice President,0418,1060,758,1818,3420,53.16%,687,1082,16,3,0,0,0,0
President and Vice President,0419,1007,578,1585,2697,58.77%,1036,508,23,3,0,0,0,0
President and Vice President,0420,2175,1089,3264,4639,70.36%,2715,486,26,5,0,1,0,0
President and Vice President,0421,126,92,218,467,46.68%,45,169,2,0,0,0,0,0
President and Vice President,0422,1459,585,2044,3345,61.11%,34,1976,6,2,0,0,0,0
President and Vice President,0423,190,309,499,894,55.82%,210,270,2,1,0,0,0,0
President and Vice President,0424,437,1,57,594,888,66.89%,338,237,9,6,0,0,0,0
President and Vice President,0425,228,234,462,875,52.80%,141,300,6,1,0,0,0,0
President and Vice President,0426,416,283,699,1224,57.11%,379,289,7,3,0,0,0,0
President and Vice President,0427,325,249,574,1115,51.48%,206,348,6,2,0,0,0,0
President and Vice President,0428,1284,907,2191,4316,50.76%,678,1452,8,6,0,0,0,0
President and Vice President,0429,1093,777,1870,3929,47.59%,362,1451,14,6,0,0,0,0
President and Vice President,0430,407,335,742,1654,44.86%,137,566,12,4,0,0,0,0
President and Vice President,0431,824,403,1227,3188,38.49%,309,867,16,4,0,0,0,0
President and Vice President,0432,312,271,583,1344,43.38%,158,402,11,4,0,0,0,0
President and Vice President,0433,139,106,245,573,42.76%,42,191,6,1,0,0,0,0
President and Vice President,0434,634,371,1005,1386,72.51%,657,319,13,4,0,0,0,0
President and Vice President,0435,1543,758,2311,3097,74.62%,1515,716,45,8,0,0,0,0
President and Vice President,0436,1348,709,2057,3012,68.29%,1232,762,30,12,0,0,0,0
President and Vice President,0437,960,542,1502,2007,74.84%,1055,409,21,2,0,0,0,0
President and Vice President,0438,1051,387,1438,1802,79.80%,1090,326,9,2,0,0,0,0
President and Vice President,0439,1527,905,2432,3416,71.19%,1749,625,28,10,0,0,0,0
President and Vice President,0440,1331,876,2207,2867,76.98%,1795,378,15,6,0,0,0,0
President and Vice President,0441,703,513,1216,1616,75.25%,905,282,14,3,0,0,0,0
President and Vice President,0442,1367,513,1880,2504,75.08%,1559,287,14,9,0,1,0,0
President and Vice President,0443,335,148,483,605,79.83%,353,113,11,1,0,0,0,0
President and Vice President,0444,1262,731,1993,3172,62.83%,1211,721,22,8,0,0,0,0
President and Vice President,0445,862,443,1305,1938,67.34%,813,462,14,1,0,0,0,0
President and Vice President,0446,70,52,122,268,45.52%,46,69,1,1,0,0,0,0
President and Vice President,0447,271,108,379,583,65.01%,138,230,4,2,0,0,0,0
President and Vice President,0448,1240,869,2109,3081,68.45%,1248,799,24,10,0,0,0,0
President and Vice President,0449,62,37,99,164,60.37%,11,85,0,0,0,0,0,0
President and Vice President,0450,858,537,1395,2622,53.20%,347,1009,12,6,0,0,0,0
President and Vice President,0451,1578,515,2093,2674,78.27%,1717,333,17,4,0,0,0,0
President and Vice President,0452,1112,639,1751,2810,62.31%,1310,403,18,1,0,0,0,0
President and Vice President,0453,561,475,1036,1885,54.96%,346,652,7,11,0,0,0,0
President and Vice President,0454,1229,311,1540,2571,59.90%,8,1505,2,3,0,0,0,0
President and Vice President,0455,748,216,964,1679,57.42%,27,920,1,2,0,0,0,0
President and Vice President,0456,1272,593,1865,3350,55.67%,1020,801,14,4,0,0,0,0
President and Vice President,0457,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0458,909,271,1180,1893,62.33%,51,1113,3,1,0,0,0,0
President and Vice President,0459,1640,476,2116,2950,71.73%,1697,387,18,4,0,0,0,0
President and Vice President,0460,1252,402,1654,2346,70.50%,442,1182,6,2,0,0,0,0
President and Vice President,0461,1963,828,2791,3733,74.77%,1866,865,26,4,0,0,0,0
President and Vice President,0462,1327,865,2192,3367,65.10%,789,1354,17,4,0,0,0,0
President and Vice President,0463,1133,555,1789,2962,60.40%,710,1021,27,5,0,0,0,0
President and Vice President,0464,788,612,1400,2126,65.85%,967,393,14,4,0,0,0,0
President and Vice President,0465,1468,702,2170,3343,64.91%,1114,1008,13,10,0,0,0,0
President and Vice President,0466,2055,729,2784,4072,68.37%,1559,1172,11,8,0,0,0,0
President and Vice President,0467,479,229,708,1230,57.56%,180,518,1,1,0,0,0,0
President and Vice President,0468,987,793,1780,3354,53.07%,497,1226,12,7,0,0,0,0
President and Vice President,0469,2045,538,2683,3779,71.00%,2112,519,26,7,0,0,0,0
President and Vice President,0470,444,323,767,1349,56.86%,545,198,12,1,0,0,0,0
President and Vice President,0471,793,597,1390,2349,59.17%,1095,255,14,5,0,0,0,0
President and Vice President,0472,376,337,713,1027,69.43%,326,368,8,4,0,1,0,0
President and Vice President,0473,917,442,1359,1827,74.38%,953,369,15,7,0,1,0,0
President and Vice President,0474,1152,766,1918,3006,63.81%,1334,517,26,14,0,0,0,0
President and Vice President,0475,485,473,958,1651,58.03%,431,504,10,0,0,0,0,0
President and Vice President,0476,810,658,1468,2412,60.86%,844,584,13,9,0,0,0,0
President and Vice President,0477,1442,742,2184,3195,68.36%,1639,506,16,6,0,0,0,0
President and Vice President,0478,1965,898,2863,4150,68.99%,1863,920,39,10,0,0,0,0
President and Vice President,0479,1304,588,1892,2648,71.45%,1383,462,19,7,0,0,0,0
President and Vice President,0480,939,555,1494,2267,65.90%,1060,395,9,11,0,0,0,0
President and Vice President,0481,1468,852,2320,3298,70.35%,1740,517,24,10,0,0,0,0
President and Vice President,0482,1966,836,2802,4129,67.86%,1946,786,31,7,0,0,0,0
President and Vice President,0483,1878,759,2637,4141,63.68%,1381,1167,43,16,0,0,0,0
President and Vice President,0484,2246,1008,3254,4594,70.83%,2294,883,30,14,0,0,0,0
President and Vice President,0485,2424,990,3414,4838,70.57%,2517,811,52,8,0,0,0,0
President and Vice President,0486,1846,805,2651,3572,74.22%,2047,531,40,5,0,0,0,0
President and Vice President,0487,1007,612,1619,3318,48.79%,473,1093,7,11,0,0,0,0
President and Vice President,0488,582,440,1022,1713,59.66%,359,636,6,3,0,0,0,0
President and Vice President,0489,784,378,1162,1823,63.74%,323,812,8,2,0,0,0,0
President and Vice President,0490,885,439,1324,1944,68.11%,475,807,11,9,0,0,0,0
President and Vice President,0491,571,489,1160,1782,65.10%,680,438,13,5,0,0,0,0
President and Vice President,0492,1077,504,1581,2351,67.25%,827,707,19,5,0,0,0,0
President and Vice President,0493,865,400,1265,1804,70.12%,812,422,15,3,0,0,0,0
President and Vice President,0494,764,431,1195,2176,54.92%,155,1009,2,4,0,0,0,0
President and Vice President,0495,1126,494,1620,2284,70.93%,1163,417,20,5,0,0,0,0
President and Vice President,0496,496,571,1067,2086,51.15%,409,628,5,5,0,0,0,0
President and Vice President,0497,1125,303,1428,2226,64.15%,55,1345,4,0,0,0,0,0
President and Vice President,0498,762,499,1261,2123,59.40%,521,705,9,5,0,0,0,0
President and Vice President,0499,1307,517,1824,2304,79.17%,1334,450,13,9,0,0,0,0
President and Vice President,0500,1512,746,2258,3175,71.12%,1557,654,17,6,0,0,0,0
President and Vice President,0501,653,487,1140,1647,69.22%,425,666,33,9,0,0,0,0
President and Vice President,0502,1154,332,1486,2364,62.86%,1173,279,12,0,0,0,0,0
President and Vice President,0503,359,273,632,1363,46.37%,205,400,7,5,0,0,0,0
President and Vice President,0504,1134,538,1672,2197,76.10%,1099,535,17,6,0,0,0,0
President and Vice President,0505,1213,829,2042,3654,55.88%,901,1064,27,12,0,0,0,0
President and Vice President,0506,1471,801,2272,3380,67.22%,375,1841,10,5,0,0,0,0
President and Vice President,0507,584,385,969,2435,39.79%,149,777,6,1,0,0,0,0
President and Vice President,0508,948,760,1708,3248,52.59%,568,1077,14,7,0,0,0,0
President and Vice President,0509,1341,864,2205,3536,62.36%,1533,608,33,11,0,0,0,0
President and Vice President,0510,1498,582,2180,3511,62.09%,975,1145,34,10,0,0,0,0
President and Vice President,0511,0,6,6,0,0.00%,1,5,0,0,0,0,0,0
President and Vice President,0512,1568,1127,2695,4582,58.82%,1197,1411,39,11,0,0,0,0
President and Vice President,0513,1612,507,2119,2752,77.00%,1610,471,18,4,0,0,0,0
President and Vice President,0514,1972,850,2832,3941,71.86%,2075,689,37,5,0,0,0,0
President and Vice President,0515,1693,708,2401,3173,75.67%,1950,416,16,3,0,0,0,0
President and Vice President,0516,2186,1066,3252,4934,65.91%,1611,1554,31,11,0,0,0,0
President and Vice President,0517,1211,653,1864,3320,56.14%,972,819,29,8,0,0,0,0
President and Vice President,0518,1481,919,2400,3755,63.91%,1502,847,16,5,0,0,0,0
President and Vice President,0519,1235,645,1880,2951,63.71%,1341,474,28,8,0,0,0,0
President and Vice President,0520,1548,857,2405,4064,59.18%,372,1986,10,6,0,0,0,0
President and Vice President,0521,1015,694,1709,2725,62.72%,846,821,17,3,0,1,0,0
President and Vice President,0522,1177,658,1835,2682,68.42%,1367,407,25,11,0,0,0,0
President and Vice President,0523,1345,689,2034,3060,66.47%,1359,607,30,12,0,0,0,0
President and Vice President,0524,1243,675,1918,3292,58.26%,561,1316,12,3,0,0,0,0
President and Vice President,0525,1388,610,1998,2947,67.80%,401,1543,14,6,0,0,0,0
President and Vice President,0526,167,171,338,731,46.24%,97,221,2,1,0,0,0,0
President and Vice President,0527,80,24,104,569,18.28%,46,53,1,1,0,0,0,0
President and Vice President,0528,36,12,48,92,52.17%,4,44,0,0,0,0,0,0
President and Vice President,0529,1991,441,2432,3616,67.26%,2034,337,28,9,0,0,0,0
President and Vice President,0530,259,235,494,1196,41.30%,119,357,0,2,0,0,0,0
President and Vice President,0531,572,113,785,1094,71.76%,636,136,6,0,0,0,0,0
President and Vice President,0532,452,184,636,1039,61.21%,442,178,3,3,0,0,0,0
President and Vice President,0533,317,207,524,1069,49.02%,276,232,5,3,0,0,0,0
President and Vice President,0534,1661,675,2336,3795,61.55%,1733,546,20,5,0,0,0,0
President and Vice President,0535,80,94,174,421,41.33%,63,101,2,0,0,0,0,0
President and Vice President,0536,1336,1195,2531,4576,55.31%,953,1491,20,9,0,0,0,0
President and Vice President,0537,1457,823,2280,2971,76.74%,1684,553,13,4,0,0,0,0
President and Vice President,0538,433,237,670,1282,52.26%,10,636,4,0,0,0,0,0
President and Vice President,0539,26,209,235,71,330.99%,46,176,3,1,0,0,0,0
President and Vice President,0540,668,380,1048,1491,70.29%,453,562,12,7,0,0,0,0
President and Vice President,0541,1838,779,2617,4183,62.56%,326,2230,21,11,0,0,0,0
President and Vice President,0542,997,501,1498,2525,59.33%,80,1392,6,1,0,0,0,0
President and Vice President,0543,287,378,665,1528,43.52%,220,424,2,4,0,0,0,0
President and Vice President,0544,93,53,146,318,45.91%,15,130,0,0,0,0,0,0
President and Vice President,0545,1318,857,2173,3339,85.08%,1035,1082,18,4,0,0,0,0
President and Vice President,0548,4,4,8,30,28.87%,3,5,0,0,0,0,0,0
President and Vice President,0547,879,847,1528,2408,83.37%,1041,435,23,5,0,0,0,0
President and Vice President,0548,721,478,1197,2129,58.22%,533,831,10,0,0,0,0,0
President and Vice President,0549,944,588,1530,2530,80.47%,208,1280,8,8,0,0,0,0
President and Vice President,0550,1135,829,1784,2847,81.98%,881,844,25,5,0,0,0,0
President and Vice President,0551,3099,1527,4828,8135,75.40%,3385,1182,42,11,0,0,0,0
President and Vice President,0552,1821,844,2485,3241,78.08%,2024,389,22,9,0,0,0,0
President and Vice President,0553,1488,951,2417,4355,55.50%,1014,1310,34,9,0,0,0,0
President and Vice President,0554,582,340,902,1731,52.11%,147,730,5,2,0,0,0,0
President and Vice President,0555,598,447,1045,2119,49.32%,189,853,8,0,0,0,0,0
President and Vice President,0558,585,421,1008,2249,44.73%,210,785,5,2,0,0,0,0
President and Vice President,0557,822,558,1378,2728,50.55%,457,874,10,7,0,0,0,0
President and Vice President,0558,1595,824,2419,4084,59.23%,750,1808,22,5,0,0,0,0
President and Vice President,0559,1799,899,2898,4833,58.23%,824,2002,32,9,0,0,0,0
President and Vice President,0580,172,289,481,1178,39.20%,95,338,5,3,0,0,0,0
President and Vice President,0581,839,759,1598,3033,52.89%,898,859,18,2,0,0,0,0
President and Vice President,0582,201,148,347,845,53.80%,33,309,0,2,0,0,0,0
President and Vice President,0583,1704,415,2119,2989,71.37%,1830,441,17,8,0,0,0,0
President and Vice President,0584,1182,713,1875,3098,80.58%,490,1325,28,12,0,0,0,0
President and Vice President,0585,317,194,511,1373,37.22%,89,409,4,0,0,0,0,0
President and Vice President,0588,1130,478,1808,2950,54.51%,418,1181,14,5,0,0,0,0
President and Vice President,0587,874,394,1088,2198,48.59%,280,748,9,8,0,0,0,0
President and Vice President,0588,1831,837,2488,3487,70.78%,1812,790,33,11,0,0,0,0
President and Vice President,0589,1308,885,2171,3249,88.82%,1192,910,37,8,0,1,0,0
President and Vice President,0570,527,409,938,1473,83.54%,414,484,20,7,0,0,0,0
President and Vice President,0571,335,312,847,1758,38.80%,215,419,1,3,0,0,0,0
President and Vice President,0572,1292,574,1888,2998,82.24%,854,988,24,9,0,0,0,0
President and Vice President,0573,578,388,948,1818,58.47%,13,920,1,2,0,0,0,0
President and Vice President,0574,98,79,177,391,45.27%,22,150,0,1,0,0,0,0
President and Vice President,0575,27,9,38,79,45.57%,33,1,1,0,0,0,0,0
President and Vice President,0578,1053,552,1805,2871,80.09%,48,1534,2,4,0,0,0,0
President and Vice President,0577,231,113,344,573,80.03%,195,138,0,3,0,1,0,0
President and Vice President,0578,749,553,1302,1889,77.09%,838,428,21,5,0,1,0,0
President and Vice President,0579,489,351,840,1806,46.51%,202,610,5,3,0,0,0,0
President and Vice President,0580,430,146,576,1027,56.09%,11,553,0,0,0,0,0,0
President and Vice President,0581,510,162,672,1041,64.55%,18,637,1,2,0,0,0,0
President and Vice President,0582,616,256,872,1613,54.06%,41,812,1,0,0,0,0,0
President and Vice President,0583,544,127,671,1248,53.77%,11,645,0,0,0,0,0,0
President and Vice President,0584,393,139,532,971,54.79%,31,486,2,0,0,0,0,0
President and Vice President,0585,935,304,1239,2403,51.56%,27,1190,5,1,0,0,0,0
President and Vice President,0586,1308,1189,2497,4230,59.03%,1496,934,28,13,0,0,0,0
President and Vice President,0587,934,465,1399,2174,64.35%,501,871,8,4,0,0,0,0
President and Vice President,0588,1545,871,2416,3468,69.67%,1713,633,32,9,0,0,0,0
President and Vice President,0589,1034,738,1772,3130,56.61%,916,808,25,3,0,0,0,0
President and Vice President,0590,1160,463,1623,2136,75.98%,1264,332,14,0,0,0,0,0
President and Vice President,0591,420,449,869,2114,41.11%,256,581,7,2,0,0,0,0
President and Vice President,0592,371,288,659,1258,52.38%,154,491,0,1,0,0,0,0
President and Vice President,0593,1149,999,2148,4059,52.92%,976,1106,16,8,0,0,0,0
President and Vice President,0594,1036,535,1571,2361,66.54%,444,1095,11,1,0,1,0,0
President and Vice President,0595,497,380,877,1647,53.25%,137,716,5,2,0,0,0,0
President and Vice President,0596,949,690,1639,2848,57.55%,848,746,19,5,0,0,0,0
President and Vice President,0597,1067,719,1786,3267,54.67%,615,1128,5,3,0,0,0,0
President and Vice President,0598,335,103,438,724,60.50%,345,82,2,1,0,0,0,0
President and Vice President,0599,1897,855,2763,4135,66.82%,944,1765,10,7,0,0,0,0
President and Vice President,0600,1390,869,2259,3820,59.14%,793,1405,15,4,0,0,0,0
President and Vice President,0601,2033,858,2891,3990,72.46%,2171,661,33,4,0,0,0,0
President and Vice President,0602,563,296,859,1237,69.44%,600,238,5,4,0,0,0,0
President and Vice President,0603,1439,1163,2602,3917,66.43%,1561,984,31,5,0,0,0,0
President and Vice President,0604,1446,528,1974,2910,67.84%,1664,270,15,5,0,0,0,0
President and Vice President,0605,2229,889,3118,5251,59.38%,776,2282,17,5,0,0,0,0
President and Vice President,0606,420,122,542,1053,51.47%,8,528,0,0,0,0,0,0
President and Vice President,0607,194,118,312,731,42.68%,20,284,1,2,0,0,0,0
President and Vice President,0608,245,290,535,1256,42.60%,226,295,2,1,0,0,0,0
President and Vice President,0609,1366,844,2210,3261,67.77%,1371,781,18,8,0,0,0,0
President and Vice President,0610,405,398,803,1825,44.00%,343,424,9,4,0,0,0,0
President and Vice President,0611,1122,301,1423,2450,58.08%,32,1360,1,2,0,0,0,0
President and Vice President,0612,1705,579,2284,3272,69.80%,1733,500,21,10,0,0,0,0
President and Vice President,0613,495,309,804,1450,55.45%,133,658,2,1,0,0,0,0
President and Vice President,0614,1636,812,2448,3932,62.26%,802,1584,19,8,0,0,0,0
President and Vice President,0615,931,404,1335,1926,69.31%,787,511,15,7,0,0,0,0
President and Vice President,0616,1353,970,2323,3378,68.77%,1607,654,19,10,0,0,0,0
President and Vice President,0617,1322,849,2171,3546,61.22%,756,1342,24,6,0,0,0,0
President and Vice President,0618,1925,1021,2946,5344,55.13%,1256,1628,21,6,0,0,0,0
President and Vice President,0619,2138,857,2995,4266,70.21%,2206,721,40,6,0,1,0,0
President and Vice President,0620,2393,856,3249,5271,61.64%,1594,1595,18,14,0,0,0,0
President and Vice President,0621,398,203,601,1173,51.24%,294,283,10,2,0,1,0,0
President and Vice President,0622,1726,829,2555,4305,59.35%,1474,1010,25,7,0,0,0,0
President and Vice President,0623,1711,626,2337,3481,67.14%,1503,780,17,8,0,0,0,0
President and Vice President,0624,9,0,9,16,56.25%,5,4,0,0,0,0,0,0
President and Vice President,0625,867,454,1321,1796,73.55%,755,525,13,13,0,1,0,0
President and Vice President,0626,1159,655,1814,2838,63.92%,890,884,17,5,0,0,0,0
President and Vice President,0627,797,547,1444,2964,48.72%,426,960,7,5,0,0,0,0
President and Vice President,0628,294,456,750,1600,46.88%,317,411,5,5,0,0,0,0
President and Vice President,0629,177,127,304,629,48.33%,22,277,2,1,0,0,0,0
President and Vice President,0630,2023,535,2558,3190,80.19%,208,2320,7,5,0,0,0,0
President and Vice President,0631,1492,392,1884,2733,68.94%,1360,493,17,4,0,0,0,0
President and Vice President,0632,12,9,21,231,9.09%,5,14,0,0,0,0,0,0
President and Vice President,0633,1784,578,2462,3257,75.59%,1797,622,19,2,0,1,0,0
President and Vice President,0634,1022,734,1756,2922,60.10%,1092,623,15,4,0,0,0,0
President and Vice President,0635,1330,706,2036,3280,62.07%,1562,420,20,12,1,0,0,0
President and Vice President,0636,1795,974,2769,3881,71.35%,2393,320,18,5,0,0,0,0
President and Vice President,0637,740,509,1249,2471,50.55%,328,874,11,13,0,0,0,0
President and Vice President,0638,744,684,1428,2078,68.72%,99,1300,8,2,0,0,0,0
President and Vice President,0639,835,711,1546,2501,61.82%,1206,300,22,3,0,0,0,0
President and Vice President,0640,1385,723,2108,3548,59.41%,1223,813,31,9,0,0,0,0
President and Vice President,0641,1268,878,2146,3375,63.59%,1326,752,23,6,0,0,0,0
President and Vice President,0642,874,447,1321,1779,74.26%,1093,211,7,2,0,0,0,0
President and Vice President,0643,2164,994,3158,5310,59.47%,1192,1888,32,8,0,0,0,0
President and Vice President,0644,2128,1204,3332,5261,63.33%,2087,1163,43,12,0,0,0,0
President and Vice President,0645,1651,895,2546,4035,63.10%,1151,1319,36,15,0,0,0,0
