Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0066,172,279,451,1090,41.38%,67,346,413
"Justice, 1st Court of Appeals District, Place 8",0067,665,574,1239,2742,45.19%,265,864,1129
"Justice, 1st Court of Appeals District, Place 8",0068,1199,486,1685,2782,60.57%,29,1596,1625
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0069,218,284,502,1303,38.53%,81,365,446
"Justice, 1st Court of Appeals District, Place 8",0070,1634,726,2360,3142,75.11%,1480,705,2185
"Justice, 1st Court of Appeals District, Place 8",0071,1423,948,2371,3662,64.75%,1229,978,2207
"Justice, 1st Court of Appeals District, Place 8",0072,441,562,1003,1882,53.29%,278,642,920
"Justice, 1st Court of Appeals District, Place 8",0073,500,496,996,1494,66.67%,570,347,917
"Justice, 1st Court of Appeals District, Place 8",0074,2212,530,2742,3632,75.50%,2099,468,2567
"Justice, 1st Court of Appeals District, Place 8",0075,482,370,852,1329,64.11%,343,449,792
"Justice, 1st Court of Appeals District, Place 8",0076,814,569,1383,2328,59.41%,737,553,1290
"Justice, 1st Court of Appeals District, Place 8",0077,168,81,249,565,44.07%,52,180,232
"Justice, 1st Court of Appeals District, Place 8",0078,359,344,703,1479,47.53%,206,424,630
"Justice, 1st Court of Appeals District, Place 8",0079,511,717,1228,2959,41.50%,226,891,1117
"Justice, 1st Court of Appeals District, Place 8",0080,1159,481,1640,2712,60.47%,353,1201,1554
"Justice, 1st Court of Appeals District, Place 8",0081,540,309,849,1839,46.17%,259,526,785
"Justice, 1st Court of Appeals District, Place 8",0082,1353,816,2169,3284,66.05%,1592,481,2073
"Justice, 1st Court of Appeals District, Place 8",0083,2628,1181,3809,5598,68.04%,1783,1879,3662
"Justice, 1st Court of Appeals District, Place 8",0084,444,346,790,1389,56.88%,560,199,759
"Justice, 1st Court of Appeals District, Place 8",0085,730,548,1278,2079,61.47%,28,1200,1228
"Justice, 1st Court of Appeals District, Place 8",0086,1054,689,1743,2637,66.10%,812,801,1613
"Justice, 1st Court of Appeals District, Place 8",0087,1222,861,2083,2749,75.77%,1353,544,1897
"Justice, 1st Court of Appeals District, Place 8",0088,235,162,397,678,58.55%,244,137,381
"Justice, 1st Court of Appeals District, Place 8",0089,343,454,797,1104,72.19%,485,235,720
"Justice, 1st Court of Appeals District, Place 8",0090,1498,958,2456,3571,68.78%,1794,524,2318
"Justice, 1st Court of Appeals District, Place 8",0091,466,333,799,1248,64.02%,492,274,766
"Justice, 1st Court of Appeals District, Place 8",0092,1105,534,1639,2228,73.56%,1131,396,1527
"Justice, 1st Court of Appeals District, Place 8",0093,782,643,1425,3295,43.25%,510,817,1327
