Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM JoAnn Delgado,Totals
"Justice of the Peace, Precinct No. 2, Place 1",0811,39,106,145,271,53.51%,119,119
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM JoAnn Delgado,Totals
"Justice of the Peace, Precinct No. 2, Place 1",0812,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 2, Place 1",0815,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 2, Place 1",0816,20,13,33,76,43.42%,27,27
"Justice of the Peace, Precinct No. 2, Place 1",0818,134,101,235,527,44.59%,189,189
"Justice of the Peace, Precinct No. 2, Place 1",0821,354,203,557,1206,46.19%,505,505
"Justice of the Peace, Precinct No. 2, Place 1",0838,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 2, Place 1",0842,987,715,1702,3091,55.06%,1086,1086
"Justice of the Peace, Precinct No. 2, Place 1",0845,85,10,95,100,95.00%,42,42
"Justice of the Peace, Precinct No. 2, Place 1",0849,553,514,1067,2073,51.47%,782,782
"Justice of the Peace, Precinct No. 2, Place 1",0850,87,38,125,205,60.98%,86,86
"Justice of the Peace, Precinct No. 2, Place 1",0857,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct No. 2, Place 1",0860,0,1,1,0,0.00%,1,1
"Justice of the Peace, Precinct No. 2, Place 1",0862,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 2, Place 1",0905,290,168,458,908,50.44%,318,318
"Justice of the Peace, Precinct No. 2, Place 1",0908,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 2, Place 1",0925,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 2, Place 1",0935,8,17,25,65,38.46%,14,14
"Justice of the Peace, Precinct No. 2, Place 1",0996,297,125,422,699,60.37%,250,250
"Justice of the Peace, Precinct No. 2, Place 1",1039,3,5,8,20,40.00%,8,8
"Justice of the Peace, Precinct No. 2, Place 1",1050,148,153,301,506,59.49%,241,241
"Justice of the Peace, Precinct No. 2, Place 1",1058,540,245,786,1190,66.05%,666,666
"Justice of the Peace, Precinct No. 2, Place 1",Totals:,38101,28487,66588,124319,,44253,44253
