Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 16",0012,227,133,360,716,50.28%,172,41,213
"City of Baytown, Proposition No. 16",0013,1133,439,1572,2808,55.98%,821,210,1031
"City of Baytown, Proposition No. 16",0028,1436,459,1895,2768,68.46%,1004,198,1202
"City of Baytown, Proposition No. 16",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 16",0099,568,311,879,2040,43.09%,424,109,533
"City of Baytown, Proposition No. 16",0100,427,324,751,1754,42.82%,331,126,457
"City of Baytown, Proposition No. 16",0102,493,267,760,1910,39.79%,305,85,390
"City of Baytown, Proposition No. 16",0103,287,82,369,664,55.57%,172,48,220
"City of Baytown, Proposition No. 16",0248,408,405,813,2122,38.31%,310,102,412
"City of Baytown, Proposition No. 16",0249,1011,477,1488,2636,56.45%,799,190,989
"City of Baytown, Proposition No. 16",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 16",0386,599,186,785,1249,62.85%,398,113,511
"City of Baytown, Proposition No. 16",0387,2,17,19,7,271.43%,6,2,8
"City of Baytown, Proposition No. 16",0414,1407,577,1984,3360,59.05%,1019,255,1274
"City of Baytown, Proposition No. 16",0456,1168,556,1724,3091,55.77%,828,212,1040
"City of Baytown, Proposition No. 16",0532,452,184,636,1039,61.21%,318,85,403
"City of Baytown, Proposition No. 16",0533,317,207,524,1069,49.02%,255,62,317
"City of Baytown, Proposition No. 16",0739,905,448,1353,2526,53.56%,623,181,804
"City of Baytown, Proposition No. 16",0740,43,39,82,148,55.41%,24,14,38
"City of Baytown, Proposition No. 16",Totals:,10884,5111,15995,29907,7809,2033,9842
