Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Dave Martin,Elizabeth C. Perez,Lonnie Allsbrooks,Totals
"City of Houston, Council Member, District E",0824,88,53,139,290,47.93%,23,58,7,88
"City of Houston, Council Member, District E",0827,18,7,23,54,42.59%,5,9,0,14
"City of Houston, Council Member, District E",0845,85,10,95,100,95.00%,19,18,3,40
"City of Houston, Council Member, District E",0872,5,1,8,22,27.27%,1,1,0,2
"City of Houston, Council Member, District E",0885,0,9,9,0,0.00%,0,3,0,3
"City of Houston, Council Member, District E",0925,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0950,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0983,0,1,1,0,0.00%,0,1,0,1
"City of Houston, Council Member, District E",0984,885,425,1312,1478,88.89%,352,285,92,729
"City of Houston, Council Member, District E",0985,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0978,0,17,17,0,0.00%,2,5,2,9
"City of Houston, Council Member, District E",1007,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",1034,0,0,0,1,0.00%,0,0,0,0
"City of Houston, Council Member, District E",1037,27,18,43,73,58.90%,13,11,4,28
"City of Houston, Council Member, District E",1040,43,45,88,159,55.35%,19,34,7,80
"City of Houston, Council Member, District E",1041,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",1047,0,1,1,0,0.00%,0,1,0,1
"City of Houston, Council Member, District E",1080,10,3,13,43,30.23%,1,8,1,8
"City of Houston, Council Member, District E",Totals:,45149,23181,68330,104395,22592,16294,3299,42185
