Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 11",0012,227,133,360,716,50.28%,158,58,216
"City of Baytown, Proposition No. 11",0013,1133,439,1572,2808,55.98%,789,276,1065
"City of Baytown, Proposition No. 11",0028,1436,459,1895,2768,68.46%,945,274,1219
"City of Baytown, Proposition No. 11",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 11",0099,568,311,879,2040,43.09%,411,129,540
"City of Baytown, Proposition No. 11",0100,427,324,751,1754,42.82%,315,150,465
"City of Baytown, Proposition No. 11",0102,493,267,760,1910,39.79%,278,123,401
"City of Baytown, Proposition No. 11",0103,287,82,369,664,55.57%,164,56,220
"City of Baytown, Proposition No. 11",0248,408,405,813,2122,38.31%,290,127,417
"City of Baytown, Proposition No. 11",0249,1011,477,1488,2636,56.45%,747,260,1007
"City of Baytown, Proposition No. 11",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 11",0386,599,186,785,1249,62.85%,376,140,516
"City of Baytown, Proposition No. 11",0387,2,17,19,7,271.43%,6,2,8
"City of Baytown, Proposition No. 11",0414,1407,577,1984,3360,59.05%,998,311,1309
"City of Baytown, Proposition No. 11",0456,1168,556,1724,3091,55.77%,795,270,1065
"City of Baytown, Proposition No. 11",0532,452,184,636,1039,61.21%,319,103,422
"City of Baytown, Proposition No. 11",0533,317,207,524,1069,49.02%,241,82,323
"City of Baytown, Proposition No. 11",0739,905,448,1353,2526,53.56%,580,237,817
"City of Baytown, Proposition No. 11",0740,43,39,82,148,55.41%,27,11,38
"City of Baytown, Proposition No. 11",Totals:,10884,5111,15995,29907,,7439,2609,10048
