Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0066,172,279,451,1090,41.38%,67,348,415
"Justice, 1st Court of Appeals District, Place 9",0067,665,574,1239,2742,45.19%,265,872,1137
"Justice, 1st Court of Appeals District, Place 9",0068,1199,486,1685,2782,60.57%,25,1601,1626
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0069,218,284,502,1303,38.53%,80,366,446
"Justice, 1st Court of Appeals District, Place 9",0070,1634,726,2360,3142,75.11%,1434,753,2187
"Justice, 1st Court of Appeals District, Place 9",0071,1423,948,2371,3662,64.75%,1204,1008,2212
"Justice, 1st Court of Appeals District, Place 9",0072,441,562,1003,1882,53.29%,285,641,926
"Justice, 1st Court of Appeals District, Place 9",0073,500,496,996,1494,66.67%,555,363,918
"Justice, 1st Court of Appeals District, Place 9",0074,2212,530,2742,3632,75.50%,2072,496,2568
"Justice, 1st Court of Appeals District, Place 9",0075,482,370,852,1329,64.11%,338,453,791
"Justice, 1st Court of Appeals District, Place 9",0076,814,569,1383,2328,59.41%,734,561,1295
"Justice, 1st Court of Appeals District, Place 9",0077,168,81,249,565,44.07%,50,183,233
"Justice, 1st Court of Appeals District, Place 9",0078,359,344,703,1479,47.53%,198,431,629
"Justice, 1st Court of Appeals District, Place 9",0079,511,717,1228,2959,41.50%,228,897,1125
"Justice, 1st Court of Appeals District, Place 9",0080,1159,481,1640,2712,60.47%,342,1211,1553
"Justice, 1st Court of Appeals District, Place 9",0081,540,309,849,1839,46.17%,274,514,788
"Justice, 1st Court of Appeals District, Place 9",0082,1353,816,2169,3284,66.05%,1600,474,2074
"Justice, 1st Court of Appeals District, Place 9",0083,2628,1181,3809,5598,68.04%,1782,1882,3664
"Justice, 1st Court of Appeals District, Place 9",0084,444,346,790,1389,56.88%,559,203,762
"Justice, 1st Court of Appeals District, Place 9",0085,730,548,1278,2079,61.47%,27,1200,1227
"Justice, 1st Court of Appeals District, Place 9",0086,1054,689,1743,2637,66.10%,793,819,1612
"Justice, 1st Court of Appeals District, Place 9",0087,1222,861,2083,2749,75.77%,1316,585,1901
"Justice, 1st Court of Appeals District, Place 9",0088,235,162,397,678,58.55%,246,135,381
"Justice, 1st Court of Appeals District, Place 9",0089,343,454,797,1104,72.19%,469,254,723
"Justice, 1st Court of Appeals District, Place 9",0090,1498,958,2456,3571,68.78%,1781,536,2317
"Justice, 1st Court of Appeals District, Place 9",0091,466,333,799,1248,64.02%,492,276,768
"Justice, 1st Court of Appeals District, Place 9",0092,1105,534,1639,2228,73.56%,1109,422,1531
"Justice, 1st Court of Appeals District, Place 9",0093,782,643,1425,3295,43.25%,524,805,1329
"Justice, 1st Court of Appeals District, Place 9",0094,148,104,252,537,46.93%,51,185,236
"Justice, 1st Court of Appeals District, Place 9",0095,1685,671,2356,3179,74.11%,1580,632,2212
"Justice, 1st Court of Appeals District, Place 9",0096,364,237,601,1241,48.43%,57,524,581
"Justice, 1st Court of Appeals District, Place 9",0097,2393,764,3157,4566,69.14%,2280,714,2994
"Justice, 1st Court of Appeals District, Place 9",0098,874,607,1481,2403,61.63%,1201,218,1419
"Justice, 1st Court of Appeals District, Place 9",0099,568,311,879,2040,43.09%,392,451,843
"Justice, 1st Court of Appeals District, Place 9",0100,427,324,751,1754,42.82%,326,388,714
"Justice, 1st Court of Appeals District, Place 9",0101,204,186,390,941,41.45%,91,288,379
"Justice, 1st Court of Appeals District, Place 9",0102,493,268,761,1910,39.84%,187,544,731
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0103,1915,1065,2980,4751,62.72%,1547,1303,2850
"Justice, 1st Court of Appeals District, Place 9",0104,992,238,1230,1847,66.59%,21,1175,1196
"Justice, 1st Court of Appeals District, Place 9",0105,462,453,915,2153,42.50%,229,621,850
"Justice, 1st Court of Appeals District, Place 9",0106,49,37,86,284,30.28%,41,39,80
"Justice, 1st Court of Appeals District, Place 9",0107,412,441,853,1905,44.78%,134,684,818
"Justice, 1st Court of Appeals District, Place 9",0108,1194,514,1708,3229,52.90%,887,731,1618
"Justice, 1st Court of Appeals District, Place 9",0109,1160,430,1590,2884,55.13%,26,1520,1546
"Justice, 1st Court of Appeals District, Place 9",0110,1465,589,2054,2853,71.99%,1219,730,1949
"Justice, 1st Court of Appeals District, Place 9",0111,1868,848,2716,3638,74.66%,1983,573,2556
"Justice, 1st Court of Appeals District, Place 9",0112,1262,668,1930,2894,66.69%,1345,501,1846
"Justice, 1st Court of Appeals District, Place 9",0113,1125,590,1715,2537,67.60%,963,663,1626
"Justice, 1st Court of Appeals District, Place 9",0114,1454,546,2000,2650,75.47%,1535,381,1916
"Justice, 1st Court of Appeals District, Place 9",0115,598,305,903,1764,51.19%,97,779,876
