Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0755,1048,896,1944,3569,54.47%,736,1111,1847
"Member, State Board of Education, District 4",0756,582,300,882,1539,57.31%,300,542,842
"Member, State Board of Education, District 4",0757,1416,690,2106,3498,60.21%,336,1699,2035
"Member, State Board of Education, District 4",0762,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0763,255,308,563,1184,47.55%,202,332,534
"Member, State Board of Education, District 4",0766,71,92,163,383,42.56%,43,100,143
"Member, State Board of Education, District 4",0767,20,15,35,90,38.89%,22,11,33
"Member, State Board of Education, District 4",0769,117,5,122,161,75.78%,5,113,118
"Member, State Board of Education, District 4",0770,58,48,106,262,40.46%,45,56,101
"Member, State Board of Education, District 4",0774,116,74,190,301,63.12%,44,141,185
"Member, State Board of Education, District 4",0775,33,1,34,83,40.96%,0,33,33
"Member, State Board of Education, District 4",0777,83,123,206,642,32.09%,62,136,198
"Member, State Board of Education, District 4",0778,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0779,295,221,516,1146,45.03%,175,310,485
"Member, State Board of Education, District 4",0780,136,114,250,579,43.18%,106,125,231
"Member, State Board of Education, District 4",0784,428,156,584,1071,54.53%,8,555,563
"Member, State Board of Education, District 4",0785,66,55,121,310,39.03%,67,52,119
"Member, State Board of Education, District 4",0786,193,277,470,1297,36.24%,155,291,446
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0787,154,76,230,487,47.23%,76,140,216
"Member, State Board of Education, District 4",0792,549,409,958,1834,52.24%,227,684,911
"Member, State Board of Education, District 4",0794,575,484,1059,2602,40.70%,82,943,1025
"Member, State Board of Education, District 4",0795,265,255,520,1207,43.08%,163,315,478
"Member, State Board of Education, District 4",0797,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0798,176,263,439,496,88.51%,150,256,406
"Member, State Board of Education, District 4",0799,65,12,77,146,52.74%,16,57,73
"Member, State Board of Education, District 4",0801,68,55,123,253,48.62%,43,72,115
"Member, State Board of Education, District 4",0806,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0808,41,26,67,84,79.76%,27,33,60
"Member, State Board of Education, District 4",0810,30,48,78,215,36.28%,23,48,71
"Member, State Board of Education, District 4",0811,39,106,145,271,53.51%,37,101,138
"Member, State Board of Education, District 4",0812,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0815,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0816,20,13,33,76,43.42%,6,26,32
"Member, State Board of Education, District 4",0817,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0818,134,101,235,527,44.59%,48,178,226
"Member, State Board of Education, District 4",0820,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0821,354,203,557,1206,46.19%,48,480,528
"Member, State Board of Education, District 4",0822,584,282,866,1544,56.09%,26,817,843
"Member, State Board of Education, District 4",0824,984,471,1455,2729,53.32%,328,1073,1401
"Member, State Board of Education, District 4",0825,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0827,169,186,355,997,35.61%,140,195,335
"Member, State Board of Education, District 4",0829,107,56,163,266,61.28%,35,127,162
"Member, State Board of Education, District 4",0830,0,0,0,1,0.00%,0,0,0
"Member, State Board of Education, District 4",0831,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0832,109,46,155,351,44.16%,46,101,147
"Member, State Board of Education, District 4",0833,8,1,9,20,45.00%,0,9,9
"Member, State Board of Education, District 4",0838,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0840,712,251,963,1621,59.41%,319,603,922
"Member, State Board of Education, District 4",0841,0,2,2,0,0.00%,0,2,2
"Member, State Board of Education, District 4",0842,987,715,1702,3091,55.06%,750,880,1630
"Member, State Board of Education, District 4",0843,0,2,2,0,0.00%,0,2,2
"Member, State Board of Education, District 4",0844,2,4,6,1,3,46.1,5%,1,4,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0846,70,29,99,210,47.14%,7,89,96
"Member, State Board of Education, District 4",0847,795,321,1116,1804,61.86%,298,773,1071
"Member, State Board of Education, District 4",0848,782,431,1213,1873,64.76%,368,794,1162
"Member, State Board of Education, District 4",0849,553,514,1067,2073,51.47%,374,629,1003
"Member, State Board of Education, District 4",0850,87,38,125,205,60.98%,53,65,118
"Member, State Board of Education, District 4",0852,0,4,4,2,200.00%,0,4,4
"Member, State Board of Education, District 4",0854,41,30,71,175,40.57%,5,64,69
"Member, State Board of Education, District 4",0855,4,13,17,18,94.44%,9,8,17
"Member, State Board of Education, District 4",0856,0,4,4,0,0.00%,2,1,3
"Member, State Board of Education, District 4",0857,0,0,0,1,0.00%,0,0,0
"Member, State Board of Education, District 4",0858,132,18,150,372,40.32%,4,141,145
"Member, State Board of Education, District 4",0859,309,201,510,860,59.30%,103,394,497
"Member, State Board of Education, District 4",0860,0,1,1,0,0.00%,0,1,1
"Member, State Board of Education, District 4",0861,705,319,1024,1786,57.33%,181,813,994
"Member, State Board of Education, District 4",0862,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0863,210,69,279,620,45.00%,12,262,274
"Member, State Board of Education, District 4",0864,497,609,1106,2464,44.89%,283,767,1050
"Member, State Board of Education, District 4",0865,9,2,11,23,47.83%,0,11,11
"Member, State Board of Education, District 4",0866,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0867,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0868,573,585,1159,2292,50.57%,349,751,1100
"Member, State Board of Education, District 4",0869,153,76,229,473,48.41%,32,189,221
"Member, State Board of Education, District 4",0871,3,0,3,4,75.00%,0,3,3
"Member, State Board of Education, District 4",0873,253,125,378,701,53.92%,100,273,373
"Member, State Board of Education, District 4",0883,1918,1042,2960,4651,63.64%,540,2336,2876
"Member, State Board of Education, District 4",0884,118,37,155,330,46.97%,20,130,150
"Member, State Board of Education, District 4",0889,22,0,22,61,36.07%,13,8,21
"Member, State Board of Education, District 4",0890,319,118,437,994,43.96%,158,250,408
"Member, State Board of Education, District 4",0892,193,130,323,696,46.41%,87,215,302
"Member, State Board of Education, District 4",0893,1,0,1,5,20.00%,0,1,1
"Member, State Board of Education, District 4",0900,5,0,5,12,41.67%,2,2,4
"Member, State Board of Education, District 4",0905,290,158,458,908,50.44%,195,228,423
"Member, State Board of Education, District 4",0908,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0909,5,7,12,19,63.16%,4,6,10
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0910,55,34,89,226,39.38%,36,47,83
"Member, State Board of Education, District 4",0922,0,2,2,0,0.00%,1,1,2
"Member, State Board of Education, District 4",0924,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0925,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0927,84,74,158,262,60.31%,79,72,151
"Member, State Board of Education, District 4",0928,4,2,6,9,66.67%,0,6,6
"Member, State Board of Education, District 4",0929,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0930,200,77,277,567,48.85%,3,262,265
"Member, State Board of Education, District 4",0935,8,17,25,65,38.46%,14,9,23
"Member, State Board of Education, District 4",0936,12,10,22,70,31.43%,6,13,19
"Member, State Board of Education, District 4",0937,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0940,1,0,1,13,7.69%,0,1,1
"Member, State Board of Education, District 4",0945,4,7,11,16,68.75%,1,8,9
"Member, State Board of Education, District 4",0946,3,3,6,14,42.86%,1,4,5
"Member, State Board of Education, District 4",0947,320,292,612,822,74.45%,311,243,554
"Member, State Board of Education, District 4",0948,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0949,59,37,96,201,47.76%,44,46,90
"Member, State Board of Education, District 4",0953,59,52,111,420,26.43%,6,104,110
"Member, State Board of Education, District 4",0954,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0957,261,115,376,551,68.24%,61,305,366
"Member, State Board of Education, District 4",0958,289,255,555,989,56.12%,123,400,523
"Member, State Board of Education, District 4",0959,0,4,4,0,0.00%,0,4,4
"Member, State Board of Education, District 4",0960,362,143,505,586,86.18%,133,361,494
"Member, State Board of Education, District 4",0961,23,11,34,53,64.15%,7,27,34
"Member, State Board of Education, District 4",0962,24,13,37,73,50.68%,11,23,34
"Member, State Board of Education, District 4",0963,129,69,198,353,56.09%,112,73,185
"Member, State Board of Education, District 4",0969,335,82,417,584,71.40%,1,399,400
"Member, State Board of Education, District 4",0970,212,76,288,704,40.91%,26,243,269
"Member, State Board of Education, District 4",0973,49,24,73,107,68.22%,43,27,70
"Member, State Board of Education, District 4",0974,100,71,171,299,57.19%,110,54,164
"Member, State Board of Education, District 4",0975,72,41,113,170,66.47%,52,50,102
"Member, State Board of Education, District 4",0976,159,131,290,684,42.40%,167,105,272
"Member, State Board of Education, District 4",0977,104,83,187,535,34.95%,68,111,179
"Member, State Board of Education, District 4",0978,201,102,303,506,59.88%,55,240,295
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0985,172,67,239,336,71.13%,115,109,224
"Member, State Board of Education, District 4",0986,129,86,215,404,53.22%,20,181,201
"Member, State Board of Education, District 4",0987,465,191,656,1138,57.64%,45,590,635
"Member, State Board of Education, District 4",0989,18,8,26,36,72.22%,14,11,25
"Member, State Board of Education, District 4",0994,6,5,11,8,137.50%,2,8,10
"Member, State Board of Education, District 4",0995,596,190,786,1269,61.94%,35,728,763
"Member, State Board of Education, District 4",0997,429,328,757,1439,52.61%,125,611,736
"Member, State Board of Education, District 4",1000,105,0,105,458,22.93%,17,83,100
"Member, State Board of Education, District 4",1004,224,153,377,656,57.47%,188,148,336
"Member, State Board of Education, District 4",1007,555,295,850,1371,62.00%,207,613,820
"Member, State Board of Education, District 4",1010,124,74,198,317,62.46%,31,152,183
"Member, State Board of Education, District 4",1012,395,318,713,1235,57.73%,202,485,687
"Member, State Board of Education, District 4",1013,8,14,22,60,36.67%,15,7,22
"Member, State Board of Education, District 4",1019,427,4,431,1518,28.39%,17,393,410
"Member, State Board of Education, District 4",1020,0,0,0,1,0.00%,0,0,0
"Member, State Board of Education, District 4",1024,113,77,190,259,73.36%,100,74,174
"Member, State Board of Education, District 4",1027,0,1,1,1,100.00%,0,0,0
"Member, State Board of Education, District 4",1035,24,13,37,139,26.62%,3,33,36
"Member, State Board of Education, District 4",1038,133,43,176,266,66.17%,10,161,171
"Member, State Board of Education, District 4",1039,3,5,8,20,40.00%,2,6,8
"Member, State Board of Education, District 4",1,041,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",1042,227,50,277,498,55.62%,78,192,270
"Member, State Board of Education, District 4",1043,12,2,14,31,45.16%,3,11,14
"Member, State Board of Education, District 4",1044,29,5,34,59,57.63%,8,26,34
"Member, State Board of Education, District 4",1045,612,321,933,1439,64.84%,126,781,907
"Member, State Board of Education, District 4",1046,19,18,37,54,68.52%,5,31,36
"Member, State Board of Education, District 4",1,048,3,1,4,1,8,22.22%,2,2,4
"Member, State Board of Education, District 4",1049,57,71,128,266,48.12%,43,79,122
"Member, State Board of Education, District 4",1050,148,153,301,506,59.49%,68,220,288
"Member, State Board of Education, District 4",1052,0,2,2,0,0.00%,1,0,1
"Member, State Board of Education, District 4",1053,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",1055,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",1056,4,0,4,6,66.67%,0,4,4
"Member, State Board of Education, District 4",1057,34,7,41,115,35.65%,2,35,37
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",1058,540,246,786,1190,66.05%,124,638,762
"Member, State Board of Education, District 4",1059,7,3,10,23,43.48%,0,10,10
"Member, State Board of Education, District 4",1063,226,63,289,792,36.49%,29,252,281
