Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0164,505,304,809,1434,56.42%,8,776,784
"Member, State Board of Education, District 4",0167,5,2,7,23,30.43%,0,7,7
"Member, State Board of Education, District 4",0168,188,126,314,519,60.50%,6,294,300
"Member, State Board of Education, District 4",0169,1059,433,1492,2531,58.95%,16,1442,1458
"Member, State Board of Education, District 4",0171,514,294,808,1613,50.09%,29,741,770
"Member, State Board of Education, District 4",0172,161,147,308,600,51.33%,113,171,284
"Member, State Board of Education, District 4",0180,966,552,1518,2795,54.31%,46,1406,1452
"Member, State Board of Education, District 4",0181,41,e,514,930,1968,47.26%,293,589,882
"Member, State Board of Education, District 4",0184,214,256,470,969,48.50%,141,291,432
"Member, State Board of Education, District 4",0185,592,494,1086,1910,56.86%,349,668,1017
"Member, State Board of Education, District 4",0186,204,170,374,795,47.04%,49,299,348
"Member, State Board of Education, District 4",0187,48,65,113,309,36.57%,39,68,107
"Member, State Board of Education, District 4",0188,307,378,685,1616,42.39%,250,400,650
"Member, State Board of Education, District 4",0189,492,473,965,1453,66.41%,509,383,892
"Member, State Board of Education, District 4",0190,275,401,676,1720,39.30%,236,396,632
"Member, State Board of Education, District 4",0191,196,313,509,1391,36.59%,183,299,482
"Member, State Board of Education, District 4",0192,746,332,1078,2045,52.71%,40,1001,1041
"Member, State Board of Education, District 4",0193,341,269,610,1050,58.10%,15,578,593
"Member, State Board of Education, District 4",0194,704,504,1208,1735,69.63%,352,781,1133
"Member, State Board of Education, District 4",0195,539,419,958,1721,55.67%,27,898,925
"Member, State Board of Education, District 4",0196,121,55,176,323,54.49%,11,158,169
"Member, State Board of Education, District 4",0197,1109,497,1606,2895,55.47%,34,1524,1558
"Member, State Board of Education, District 4",0198,143,158,301,657,45.81%,5,286,291
"Member, State Board of Education, District 4",0201,229,125,354,728,48.63%,11,333,344
"Member, State Board of Education, District 4",0202,488,332,820,1479,55.44%,14,772,786
"Member, State Board of Education, District 4",0203,266,156,422,900,46.89%,99,303,402
"Member, State Board of Education, District 4",0205,856,201,1057,1667,63.41%,20,1006,1026
