Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 4",0012,227,133,360,716,50.28%,195,35,230
"City of Baytown, Proposition No. 4",0013,1133,439,1572,2808,55.98%,970,177,1147
"City of Baytown, Proposition No. 4",0028,1436,459,1895,2768,68.46%,1150,153,1303
"City of Baytown, Proposition No. 4",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 4",0099,568,311,879,2040,43.09%,489,94,583
"City of Baytown, Proposition No. 4",0100,427,324,751,1754,42.82%,404,101,505
"City of Baytown, Proposition No. 4",0102,493,267,760,1910,39.79%,352,75,427
"City of Baytown, Proposition No. 4",0103,287,82,369,664,55.57%,215,29,244
"City of Baytown, Proposition No. 4",0248,408,405,813,2122,38.31%,362,81,443
"City of Baytown, Proposition No. 4",0249,1011,477,1488,2636,56.45%,921,155,1076
"City of Baytown, Proposition No. 4",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 4",0386,599,186,785,1249,62.85%,454,99,553
"City of Baytown, Proposition No. 4",0387,2,17,19,7,271.43%,7,2,9
"City of Baytown, Proposition No. 4",0414,1407,577,1984,3360,59.05%,1177,207,1384
"City of Baytown, Proposition No. 4",0456,1168,556,1724,3091,55.77%,973,155,1128
"City of Baytown, Proposition No. 4",0532,452,184,636,1039,61.21%,377,68,445
"City of Baytown, Proposition No. 4",0533,317,207,524,1069,49.02%,278,60,338
"City of Baytown, Proposition No. 4",0739,905,448,1353,2526,53.56%,728,144,872
"City of Baytown, Proposition No. 4",0740,43,39,82,148,55.41%,32,8,40
"City of Baytown, Proposition No. 4",Totals:,10884,5111,15995,29907,9084,1643,10727
