Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0707,284,138,420,707,59.41%,222,155,14,8,397
"Member, State Board of Education, District 6",0709,2998,1297,4293,8239,88.81%,2384,1844,107,22,4157
"Member, State Board of Education, District 6",0710,877,802,1479,2023,73.11%,781,525,81,13,1380
"Member, State Board of Education, District 6",0711,1492,701,2193,3351,85.44%,1218,794,54,19,2085
"Member, State Board of Education, District 6",0713,885,438,1101,1827,80.28%,537,488,33,3,1081
"Member, State Board of Education, District 6",0728,1141,304,1445,1987,72.72%,1200,153,34,7,1394
"Member, State Board of Education, District 6",0727,931,488,1397,2488,58.15%,313,997,29,17,1358
"Member, State Board of Education, District 6",0730,800,437,1237,1830,75.89%,778,339,32,7,1158
"Member, State Board of Education, District 6",0731,121,38,157,373,42.09%,24,119,4,0,147
"Member, State Board of Education, District 6",0734,3209,1114,4323,5952,72.83%,2754,1309,104,25,4192
"Member, State Board of Education, District 6",0735,9,0,9,23,39.13%,8,0,1,0,9
"Member, State Board of Education, District 6",0741,0,0,0,0,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",0751,1884,1254,2918,4451,85.58%,1815,878,89,28,2808
"Member, State Board of Education, District 6",0753,108,81,187,280,84.23%,100,53,7,2,182
"Member, State Board of Education, District 6",0759,1109,590,1899,2825,84.72%,954,595,49,18,1814
"Member, State Board of Education, District 6",0781,917,219,1138,1484,77.80%,773,284,30,8,1073
"Member, State Board of Education, District 6",0785,1390,815,2205,3987,55.58%,711,1328,54,30,2123
"Member, State Board of Education, District 6",0788,2854,1159,4013,5384,74.81%,2992,758,102,28,3878
"Member, State Board of Education, District 6",0771,701,537,1238,2378,52.08%,587,583,33,18,1179
"Member, State Board of Education, District 6",0772,2927,1002,3929,5817,89.95%,2774,887,95,22,3778
"Member, State Board of Education, District 6",0773,892,550,1442,2848,54.48%,328,1013,15,8,1382
"Member, State Board of Education, District 6",0781,1152,855,1807,3718,48.83%,822,971,32,15,1840
"Member, State Board of Education, District 6",0783,103,43,148,285,55.09%,73,81,3,1,138
"Member, State Board of Education, District 6",0788,158,58,214,481,44.49%,81,128,11,3,203
"Member, State Board of Education, District 6",0789,3,1,4,4,100.00%,0,3,0,1,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0800,1188,795,1983,2817,70.39%,1234,580,55,30,1899
"Member, State Board of Education, District 6",0802,98,58,156,299,52.17%,29,104,7,9,149
"Member, State Board of Education, District 6",0803,1305,630,1935,2718,71.19%,1370,444,30,9,1853
"Member, State Board of Education, District 6",0804,1806,960,2766,4348,63.62%,1566,1008,62,23,2659
"Member, State Board of Education, District 6",0805,1509,529,2038,2812,72.48%,1513,353,71,13,1950
"Member, State Board of Education, District 6",0807,652,402,1054,2001,52.67%,136,839,27,14,1016
"Member, State Board of Education, District 6",0809,21,6,27,86,31.40%,8,16,0,0,24
"Member, State Board of Education, District 6",0814,1772,955,2727,4503,60.56%,569,2004,37,18,2628
"Member, State Board of Education, District 6",0819,97,45,142,238,59.66%,77,41,3,2,123
"Member, State Board of Education, District 6",0823,1849,1015,2864,4710,60.81%,1400,1255,68,28,2751
"Member, State Board of Education, District 6",0826,153,89,242,342,70.76%,120,96,8,2,226
"Member, State Board of Education, District 6",0828,1074,343,1417,1875,75.57%,1084,235,29,6,1354
"Member, State Board of Education, District 6",0835,87,53,140,292,47.95%,30,98,5,0,133
"Member, State Board of Education, District 6",0836,8,3,11,1,9,57.89%,1,8,0,0,9
"Member, State Board of Education, District 6",0837,0,0,0,0,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",0839,353,240,593,1122,52.85%,99,445,17,4,565
"Member, State Board of Education, District 6",0851,2192,816,3008,4317,69.68%,1830,954,78,30,2892
"Member, State Board of Education, District 6",0853,1412,605,2017,2773,72.74%,1452,415,52,10,1929
"Member, State Board of Education, District 6",0870,0,0,0,0,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",0874,1534,748,2282,3107,73.45%,1644,492,59,11,2206
"Member, State Board of Education, District 6",0876,1629,639,2268,3013,75.27%,1566,570,46,12,2194
"Member, State Board of Education, District 6",0878,853,350,1203,1641,73.31%,945,170,35,11,1161
"Member, State Board of Education, District 6",0880,1068,472,1540,2007,76.73%,1109,313,40,10,1472
"Member, State Board of Education, District 6",0882,940,457,1397,2328,60.01%,738,567,28,15,1348
"Member, State Board of Education, District 6",0886,301,154,455,713,63.81%,212,180,21,6,419
"Member, State Board of Education, District 6",0887,138,83,221,313,70.61%,107,75,22,0,204
"Member, State Board of Education, District 6",0891,539,392,931,1413,65.89%,324,514,23,13,874
"Member, State Board of Education, District 6",0894,0,31,31,0,0.00%,4,18,5,1,28
"Member, State Board of Education, District 6",0895,335,325,660,784,84.18%,233,338,22,10,603
"Member, State Board of Education, District 6",0896,670,303,973,1437,67.71%,337,520,25,25,907
"Member, State Board of Education, District 6",0899,4,0,4,8,50.00%,1,3,0,0,4
"Member, State Board of Education, District 6",0902,865,621,1486,2065,71.96%,784,523,58,17,1382
"Member, State Board of Education, District 6",0903,10,1,11,41,26.83%,6,4,0,0,10
"Member, State Board of Education, District 6",0904,0,1,1,1,100.00%,0,1,0,0,1
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0906,12,6,18,26,69.23%,9,8,0,0,17
"Member, State Board of Education, District 6",0914,169,67,236,221,106.79%,175,44,8,1,228
"Member, State Board of Education, District 6",0915,0,0,0,0,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",0916,604,182,786,1045,75.22%,618,122,15,2,757
"Member, State Board of Education, District 6",0917,280,137,417,481,86.69%,269,105,18,3,395
"Member, State Board of Education, District 6",0918,489,135,624,883,70.67%,447,132,11,4,594
"Member, State Board of Education, District 6",0926,361,120,481,621,77.46%,348,98,10,1,457
"Member, State Board of Education, District 6",0931,48,53,101,122,82.79%,41,45,6,0,92
"Member, State Board of Education, District 6",0932,0,5,5,0,0.00%,1,4,0,0,5
"Member, State Board of Education, District 6",0933,233,1,21,354,566,62.54%,85,240,8,5,338
"Member, State Board of Education, District 6",0934,12,1,13,41,31.71%,4,8,1,0,13
"Member, State Board of Education, District 6",0938,73,14,87,256,33.98%,22,57,4,1,84
"Member, State Board of Education, District 6",0939,1,0,1,1,100.00%,0,1,0,0,1
"Member, State Board of Education, District 6",0941,13,9,22,25,88.00%,18,3,0,0,21
"Member, State Board of Education, District 6",0942,68,24,92,159,57.86%,70,13,2,1,86
"Member, State Board of Education, District 6",0943,296,63,359,536,66.98%,243,83,6,1,333
"Member, State Board of Education, District 6",0944,30,6,36,39,92.31%,27,5,0,0,32
"Member, State Board of Education, District 6",0952,24,16,40,70,57.14%,17,18,1,1,37
"Member, State Board of Education, District 6",0955,5,20,25,18,138.89%,14,8,1,0,23
"Member, State Board of Education, District 6",0956,5,2,7,12,58.33%,4,3,0,0,7
"Member, State Board of Education, District 6",0966,305,160,465,1073,43.34%,115,308,13,7,443
"Member, State Board of Education, District 6",0971,27,21,48,129,37.21%,1,45,1,0,47
"Member, State Board of Education, District 6",0972,10,7,17,29,58.62%,12,4,1,0,17
"Member, State Board of Education, District 6",0979,5,6,11,26,42.31%,10,1,0,0,11
"Member, State Board of Education, District 6",0980,595,356,951,1323,71.88%,658,222,19,5,904
"Member, State Board of Education, District 6",0981,0,0,0,0,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",0982,534,218,752,1021,73.65%,563,131,21,6,721
"Member, State Board of Education, District 6",0983,41,28,69,165,41.82%,37,26,1,1,65
"Member, State Board of Education, District 6",0984,43,49,92,198,46.46%,6,83,0,0,89
"Member, State Board of Education, District 6",0990,37,15,52,154,33.77%,15,30,1,0,46
"Member, State Board of Education, District 6",0991,0,0,0,1,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",0993,272,91,363,551,65.88%,269,61,14,3,347
"Member, State Board of Education, District 6",0998,15,9,24,35,68.57%,16,6,1,0,23
"Member, State Board of Education, District 6",0999,30,16,46,65,70.77%,37,8,0,0,45
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",1001,496,294,790,1566,50.45%,138,601,9,3,751
"Member, State Board of Education, District 6",1002,464,314,778,1738,44.76%,81,653,9,9,752
"Member, State Board of Education, District 6",1003,0,0,0,1,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",1011,12,3,15,29,51.72%,4,8,0,1,13
"Member, State Board of Education, District 6",1014,9,7,16,36,44.44%,5,11,0,0,16
"Member, State Board of Education, District 6",1015,11,7,18,29,62.07%,4,13,0,0,17
"Member, State Board of Education, District 6",1021,1,0,1,2,50.00%,0,1,0,0,1
"Member, State Board of Education, District 6",1022,190,30,220,426,51.64%,159,45,4,2,210
"Member, State Board of Education, District 6",1023,894,401,1295,1964,65.94%,789,412,28,16,1245
"Member, State Board of Education, District 6",1025,4,0,4,18,22.22%,1,3,0,0,4
"Member, State Board of Education, District 6",1026,0,0,0,0,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",1028,0,1,1,0,0.00%,1,0,0,0,1
"Member, State Board of Education, District 6",1029,1021,641,1662,1802,92.23%,1225,314,35,13,1587
"Member, State Board of Education, District 6",1030,397,105,502,655,76.64%,421,56,11,1,489
"Member, State Board of Education, District 6",1033,0,0,0,0,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",1036,144,46,190,433,43.88%,141,40,2,1,184
"Member, State Board of Education, District 6",1,051,0,1,2,1,2,0,0.00%,9,2,0,0,1,1
"Member, State Board of Education, District 6",1054,0,0,0,1,0.00%,0,0,0,0,0
"Member, State Board of Education, District 6",1064,45,1,46,120,38.33%,33,9,2,0,44
"Member, State Board of Education, District 6",Totals:,363958,197751,561709,851643,,304702,208198,15189,5328,533417
