Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0178,913,368,1281,1718,74.56%,784,363,34,8,1189
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0179,449,321,770,1508,51.06%,319,367,32,11,729
"Member, State Board of Education, District 6",0182,1321,1081,2402,3289,73.03%,1302,828,55,22,2207
"Member, State Board of Education, District 6",0183,970,943,1913,2451,78.05%,1171,548,43,13,1775
"Member, State Board of Education, District 6",0200,1638,585,2223,3222,68.99%,933,1039,75,29,2076
"Member, State Board of Education, District 6",0204,1489,914,2403,3462,69.41%,1260,901,69,21,2251
"Member, State Board of Education, District 6",0206,651,659,1310,2662,49.21%,350,812,51,29,1242
"Member, State Board of Education, District 6",0209,0,4,4,0,0.00%,4,0,0,0,4
"Member, State Board of Education, District 6",0213,1503,939,2542,3308,76.84%,1824,514,41,11,2390
"Member, State Board of Education, District 6",0214,798,544,1342,1795,74.76%,758,417,50,16,1241
"Member, State Board of Education, District 6",0215,844,786,1630,2168,75.18%,869,584,55,19,1527
"Member, State Board of Education, District 6",0217,1396,651,2047,2637,77.63%,1190,626,53,17,1886
"Member, State Board of Education, District 6",0222,1000,792,1792,2384,75.17%,709,872,41,20,1642
"Member, State Board of Education, District 6",0224,894,649,1543,2259,68.30%,640,732,38,21,1431
"Member, State Board of Education, District 6",0225,1109,720,1829,3155,57.97%,731,978,34,12,1755
"Member, State Board of Education, District 6",0227,947,451,1398,1767,79.12%,950,297,39,9,1295
"Member, State Board of Education, District 6",0232,685,546,1231,1696,72.58%,612,495,25,4,1136
"Member, State Board of Education, District 6",0233,1826,1063,2889,4132,69.92%,1322,1229,111,42,2704
"Member, State Board of Education, District 6",0234,2088,885,2973,3854,77.14%,2111,602,51,12,2776
"Member, State Board of Education, District 6",0244,1100,656,1756,2912,60.30%,853,783,45,13,1694
