Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Harris County F.W.S.D. No. 1-A, Proposition 1",0250,303,247,550,944,58.26%,212,183,395
"Harris County F.W.S.D. No. 1-A, Proposition 1",0387,18,153,171,44,388.64%,52,59,111
"Harris County F.W.S.D. No. 1-A, Proposition 1",0740,33,33,66,247,26.72%,20,30,50
