Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Keith Liggett,Raquel Dobbins,Totals
"Channelview |.S.D., Trustee, Position No. 1",0141,181,143,324,872,37.16%,128,78,206
"Channelview |.S.D., Trustee, Position No. 1",0220,619,336,955,2170,44.01%,500,184,684
"Channelview |.S.D., Trustee, Position No. 1",0381,957,424,1381,2715,50.87%,481,444,925
"Channelview |.S.D., Trustee, Position No. 1",0460,166,54,220,308,71.43%,57,83,140
"Channelview |.S.D., Trustee, Position No. 1",0605,2227,889,3116,5251,59.34%,775,1174,1949
"Channelview |.S.D., Trustee, Position No. 1",0719,508,260,768,1617,47.50%,320,184,504
"Channelview |.S.D., Trustee, Position No. 1",0740,6,4,10,25,40.00%,2,4,6
"Channelview |.S.D., Trustee, Position No. 1",0790,1,0,1,4,25.00%,0,0,0
"Channelview |.S.D., Trustee, Position No. 1",Totals:,4665,2110,6775,12962,2263,2151,4414
