Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,David N. Shaver,David Porter,Totals
"Crosby |.S.D., Trustee, Position 4",0097,1302,368,1670,2355,70.91%,473,799,1272
"Crosby |.S.D., Trustee, Position 4",0604,23,8,31,35,88.57%,12,11,23
"Crosby |.S.D., Trustee, Position 4",1008,86,21,107,150,71.33%,29,44,73
