Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Brett Busby,DEM Barbara Gardner,Totals
"Justice, 14th Court of Appeals District, Place 3",0068,1199,486,1685,2782,60.57%,27,1599,1626
"Justice, 14th Court of Appeals District, Place 3",0069,218,284,502,1303,38.53%,75,369,444
"Justice, 14th Court of Appeals District, Place 3",0070,1634,726,2360,3142,75.11%,1395,789,2184
"Justice, 14th Court of Appeals District, Place 3",0071,1423,948,2371,3662,64.75%,1187,1018,2205
"Justice, 14th Court of Appeals District, Place 3",0072,441,562,1003,1882,53.29%,263,663,926
"Justice, 14th Court of Appeals District, Place 3",0073,500,496,996,1494,66.67%,536,376,912
"Justice, 14th Court of Appeals District, Place 3",0074,2212,530,2742,3632,75.50%,2053,513,2566
"Justice, 14th Court of Appeals District, Place 3",0075,482,370,852,1329,64.11%,331,460,791
"Justice, 14th Court of Appeals District, Place 3",0076,814,559,1383,2328,59.41%,709,584,1293
"Justice, 14th Court of Appeals District, Place 3",0077,168,81,249,565,44.07%,51,183,234
"Justice, 14th Court of Appeals District, Place 3",0078,359,344,703,1479,47.53%,192,436,628
"Justice, 14th Court of Appeals District, Place 3",0079,511,717,1228,2959,41.50%,209,916,1125
"Justice, 14th Court of Appeals District, Place 3",0080,1159,481,1640,2712,60.47%,335,1218,1553
"Justice, 14th Court of Appeals District, Place 3",0081,540,309,849,1839,46.17%,248,541,789
"Justice, 14th Court of Appeals District, Place 3",0082,1353,816,2169,3284,66.05%,1561,509,2070
"Justice, 14th Court of Appeals District, Place 3",0083,2528,1181,3809,5598,68.04%,1748,1912,3660
"Justice, 14th Court of Appeals District, Place 3",0084,444,346,790,1389,56.88%,544,216,760
"Justice, 14th Court of Appeals District, Place 3",0085,730,548,1278,2079,61.47%,25,1203,1228
"Justice, 14th Court of Appeals District, Place 3",0086,1054,689,1743,2637,66.10%,783,829,1612
"Justice, 14th Court of Appeals District, Place 3",0087,1222,861,2083,2749,75.77%,1277,626,1903
"Justice, 14th Court of Appeals District, Place 3",0088,235,162,397,678,58.55%,241,140,381
"Justice, 14th Court of Appeals District, Place 3",0089,343,454,797,1104,72.19%,443,285,728
"Justice, 14th Court of Appeals District, Place 3",0090,1498,958,2456,3571,68.78%,1733,589,2322
"Justice, 14th Court of Appeals District, Place 3",0091,466,333,799,1248,64.02%,473,294,767
"Justice, 14th Court of Appeals District, Place 3",0092,1105,534,1639,2228,73.56%,1059,469,1528
"Justice, 14th Court of Appeals District, Place 3",0093,782,643,1425,3295,43.25%,485,847,1332
"Justice, 14th Court of Appeals District, Place 3",0094,148,104,252,537,46.93%,49,189,238
"Justice, 14th Court of Appeals District, Place 3",0095,1585,571,2356,3179,74.11%,1550,662,2212
"Justice, 14th Court of Appeals District, Place 3",0096,364,237,601,1241,48.43%,54,528,582
"Justice, 14th Court of Appeals District, Place 3",0097,2393,764,3157,4566,69.14%,2233,765,2998
"Justice, 14th Court of Appeals District, Place 3",0098,874,607,1481,2403,61.63%,1182,239,1421
"Justice, 14th Court of Appeals District, Place 3",0099,568,311,879,2040,43.09%,385,459,844
"Justice, 14th Court of Appeals District, Place 3",0100,427,324,751,1754,42.82%,325,395,720
"Justice, 14th Court of Appeals District, Place 3",0101,204,186,390,941,41.45%,85,294,379
"Justice, 14th Court of Appeals District, Place 3",0102,493,268,761,1910,39.84%,187,548,735
"Justice, 14th Court of Appeals District, Place 3",0103,1915,1065,2980,4751,62.72%,1520,1328,2848
"Justice, 14th Court of Appeals District, Place 3",0104,992,238,1230,1847,66.59%,23,1172,1195
"Justice, 14th Court of Appeals District, Place 3",0105,462,453,915,2153,42.50%,219,628,847
"Justice, 14th Court of Appeals District, Place 3",0106,49,37,86,284,30.28%,40,42,82
"Justice, 14th Court of Appeals District, Place 3",0107,412,441,853,1905,44.78%,127,689,816
"Justice, 14th Court of Appeals District, Place 3",0108,1194,514,1708,3229,52.90%,863,759,1622
"Justice, 14th Court of Appeals District, Place 3",0109,1160,430,1590,2884,55.13%,24,1523,1547
"Justice, 14th Court of Appeals District, Place 3",0110,1465,589,2054,2853,71.99%,1193,756,1949
"Justice, 14th Court of Appeals District, Place 3",0111,1868,848,2716,3638,74.66%,1966,592,2558
"Justice, 14th Court of Appeals District, Place 3",0112,1262,668,1930,2894,66.69%,1310,535,1845
"Justice, 14th Court of Appeals District, Place 3",0113,1125,590,1715,2537,67.60%,935,687,1622
"Justice, 14th Court of Appeals District, Place 3",0114,1454,546,2000,2650,75.47%,1522,397,1919
"Justice, 14th Court of Appeals District, Place 3",0115,598,305,903,1764,51.19%,97,781,878
"Justice, 14th Court of Appeals District, Place 3",0116,1626,747,2373,3014,78.73%,1749,486,2235
"Justice, 14th Court of Appeals District, Place 3",0117,398,462,860,1878,45.79%,330,483,813
"Justice, 14th Court of Appeals District, Place 3",0118,460,148,608,743,81.83%,471,104,575
"Justice, 14th Court of Appeals District, Place 3",0119,1924,1265,3189,4892,65.19%,2462,617,3079
"Justice, 14th Court of Appeals District, Place 3",0120,1198,632,1830,2986,61.29%,1067,643,1710
"Justice, 14th Court of Appeals District, Place 3",0121,193,244,437,679,64.36%,281,133,414
"Justice, 14th Court of Appeals District, Place 3",0122,895,349,1244,2199,56.57%,33,1161,1194
"Justice, 14th Court of Appeals District, Place 3",0123,440,350,790,1356,58.26%,220,519,739
"Justice, 14th Court of Appeals District, Place 3",0124,3522,1281,4803,5952,80.70%,3713,870,4583
"Justice, 14th Court of Appeals District, Place 3",0125,896,534,1430,2281,62.69%,795,570,1365
"Justice, 14th Court of Appeals District, Place 3",0126,1630,407,2037,2799,72.78%,1709,234,1943
"Justice, 14th Court of Appeals District, Place 3",0127,854,182,1036,1703,60.83%,710,286,996
"Justice, 14th Court of Appeals District, Place 3",0128,936,736,1672,2257,74.08%,1026,487,1513
"Justice, 14th Court of Appeals District, Place 3",0129,2294,1449,3743,5495,68.12%,2230,1280,3510
"Justice, 14th Court of Appeals District, Place 3",0130,1203,523,1726,2240,77.05%,1228,386,1614
"Justice, 14th Court of Appeals District, Place 3",0131,604,374,978,1721,56.83%,223,715,938
"Justice, 14th Court of Appeals District, Place 3",0132,1119,397,1516,2449,61.90%,24,1443,1467
"Justice, 14th Court of Appeals District, Place 3",0133,1088,940,2028,2605,77.85%,1202,650,1852
"Justice, 14th Court of Appeals District, Place 3",0134,420,392,812,1444,56.23%,344,419,763
"Justice, 14th Court of Appeals District, Place 3",0135,1425,634,2059,2750,74.87%,1266,643,1909
"Justice, 14th Court of Appeals District, Place 3",0136,981,451,1432,2111,67.84%,46,1333,1379
"Justice, 14th Court of Appeals District, Place 3",0137,305,193,498,740,67.30%,240,210,450
"Justice, 14th Court of Appeals District, Place 3",0138,661,259,920,1749,52.60%,21,864,885
"Justice, 14th Court of Appeals District, Place 3",0139,1290,747,2037,2746,74.18%,963,900,1863
"Justice, 14th Court of Appeals District, Place 3",0140,1315,683,1998,3104,64.37%,277,1609,1886
"Justice, 14th Court of Appeals District, Place 3",0141,181,143,324,872,37.16%,191,114,305
"Justice, 14th Court of Appeals District, Place 3",0142,212,171,383,870,44.02%,89,269,358
"Justice, 14th Court of Appeals District, Place 3",0143,2994,660,3654,4598,79.47%,2508,1002,3510
"Justice, 14th Court of Appeals District, Place 3",0144,477,204,681,1143,59.58%,8,654,662
"Justice, 14th Court of Appeals District, Place 3",0145,663,245,908,1580,57.47%,14,875,889
"Justice, 14th Court of Appeals District, Place 3",0146,759,614,1373,1953,70.30%,582,688,1270
"Justice, 14th Court of Appeals District, Place 3",0147,1255,485,1740,2813,61.86%,203,1497,1700
"Justice, 14th Court of Appeals District, Place 3",0148,908,924,1832,2467,74.26%,744,942,1686
"Justice, 14th Court of Appeals District, Place 3",0149,2860,1322,4182,6103,68.52%,1819,2190,4009
"Justice, 14th Court of Appeals District, Place 3",0150,539,207,746,1212,61.55%,14,711,725
"Justice, 14th Court of Appeals District, Place 3",0151,316,148,464,846,54.85%,19,420,439
"Justice, 14th Court of Appeals District, Place 3",0152,483,602,1085,2701,40.17%,209,818,1027
"Justice, 14th Court of Appeals District, Place 3",0153,328,437,765,1755,43.59%,172,539,711
"Justice, 14th Court of Appeals District, Place 3",0154,593,360,953,2133,44.68%,184,675,859
"Justice, 14th Court of Appeals District, Place 3",0155,1957,834,2791,4087,68.29%,1826,820,2646
"Justice, 14th Court of Appeals District, Place 3",0156,1427,457,1884,3134,60.11%,45,1762,1807
"Justice, 14th Court of Appeals District, Place 3",0157,881,382,1263,2311,54.65%,37,1188,1225
"Justice, 14th Court of Appeals District, Place 3",0158,1304,435,1739,3016,57.66%,21,1681,1702
"Justice, 14th Court of Appeals District, Place 3",0159,313,187,500,976,51.23%,55,422,477
"Justice, 14th Court of Appeals District, Place 3",0160,246,140,386,688,56.10%,9,360,369
"Justice, 14th Court of Appeals District, Place 3",0161,395,190,585,1030,56.80%,7,562,569
"Justice, 14th Court of Appeals District, Place 3",0162,232,262,494,1249,39.55%,131,314,445
"Justice, 14th Court of Appeals District, Place 3",0163,778,635,1413,3054,46.27%,372,882,1254
"Justice, 14th Court of Appeals District, Place 3",0164,505,304,809,1434,56.42%,11,775,786
"Justice, 14th Court of Appeals District, Place 3",0165,918,557,1475,2284,64.58%,898,493,1391
"Justice, 14th Court of Appeals District, Place 3",0166,281,311,592,1016,58.27%,183,365,548
"Justice, 14th Court of Appeals District, Place 3",0167,5,2,7,23,30.43%,0,7,7
"Justice, 14th Court of Appeals District, Place 3",0168,188,126,314,519,60.50%,4,298,302
"Justice, 14th Court of Appeals District, Place 3",0169,1060,433,1493,2531,58.99%,22,1438,1460
"Justice, 14th Court of Appeals District, Place 3",0170,481,353,834,1887,44.20%,385,390,775
"Justice, 14th Court of Appeals District, Place 3",0171,514,294,808,1613,50.09%,26,753,779
"Justice, 14th Court of Appeals District, Place 3",0172,161,147,308,600,51.33%,94,188,282
"Justice, 14th Court of Appeals District, Place 3",0173,1798,619,2417,3105,77.84%,1814,488,2302
"Justice, 14th Court of Appeals District, Place 3",0174,1554,767,2321,3159,73.47%,1506,653,2159
"Justice, 14th Court of Appeals District, Place 3",0175,1065,867,1932,2506,77.09%,959,807,1766
"Justice, 14th Court of Appeals District, Place 3",0176,627,530,1157,1581,73.18%,584,464,1048
"Justice, 14th Court of Appeals District, Place 3",0177,672,385,1057,1478,71.52%,622,370,992
"Justice, 14th Court of Appeals District, Place 3",0178,914,368,1282,1718,74.62%,813,360,1173
"Justice, 14th Court of Appeals District, Place 3",0179,449,321,770,1508,51.06%,333,385,718
"Justice, 14th Court of Appeals District, Place 3",0180,966,552,1518,2795,54.31%,35,1418,1453
"Justice, 14th Court of Appeals District, Place 3",0181,416,514,930,1968,47.26%,250,617,867
"Justice, 14th Court of Appeals District, Place 3",0182,1321,1081,2402,3289,73.03%,1407,758,2165
"Justice, 14th Court of Appeals District, Place 3",0183,970,943,1913,2451,78.05%,1219,539,1758
"Justice, 14th Court of Appeals District, Place 3",0184,214,256,470,969,48.50%,123,312,435
"Justice, 14th Court of Appeals District, Place 3",0185,592,494,1086,1910,56.86%,323,693,1016
"Justice, 14th Court of Appeals District, Place 3",0186,204,170,374,795,47.04%,38,312,350
"Justice, 14th Court of Appeals District, Place 3",0187,48,65,113,309,36.57%,26,83,109
"Justice, 14th Court of Appeals District, Place 3",0188,307,378,685,1616,42.39%,229,419,648
"Justice, 14th Court of Appeals District, Place 3",0189,492,473,965,1453,66.41%,497,384,881
"Justice, 14th Court of Appeals District, Place 3",0190,275,401,676,1720,39.30%,226,407,633
"Justice, 14th Court of Appeals District, Place 3",0191,197,313,510,1391,36.66%,164,320,484
"Justice, 14th Court of Appeals District, Place 3",0192,746,332,1078,2045,52.71%,33,1011,1044
"Justice, 14th Court of Appeals District, Place 3",0193,341,269,610,1050,58.10%,10,578,588
"Justice, 14th Court of Appeals District, Place 3",0194,706,504,1210,1735,69.74%,343,781,1124
"Justice, 14th Court of Appeals District, Place 3",0195,539,419,958,1721,55.67%,25,896,921
