Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,DEM Damon Crenshaw,Totals
"Judge, County Court at Law No. 2, Unexpired Term",0065,404,532,936,2178,42.98%,190,689,879
"Judge, County Court at Law No. 2, Unexpired Term",0066,172,279,451,1090,41.38%,70,347,417
"Judge, County Court at Law No. 2, Unexpired Term",0067,664,574,1238,2742,45.15%,275,861,1136
"Judge, County Court at Law No. 2, Unexpired Term",0068,1198,486,1684,2782,60.53%,33,1590,1623
"Judge, County Court at Law No. 2, Unexpired Term",0089,218,284,502,1303,38.53%,82,387,449
"Judge, County Court at Law No. 2, Unexpired Term",0070,1833,728,2359,3142,75.08%,1458,715,2173
"Judge, County Court at Law No. 2, Unexpired Term",0071,1419,948,2387,3882,84.84%,1204,984,2188
"Judge, County Court at Law No. 2, Unexpired Term",0072,441,582,1003,1882,53.29%,288,831,917
"Judge, County Court at Law No. 2, Unexpired Term",0073,499,498,995,1494,88.80%,584,350,914
"Judge, County Court at Law No. 2, Unexpired Term",0074,2212,530,2742,3832,75.50%,2087,483,2550
"Judge, County Court at Law No. 2, Unexpired Term",0075,481,370,851,1329,84.03%,334,442,778
"Judge, County Court at Law No. 2, Unexpired Term",0078,814,589,1383,2328,59.41%,731,549,1280
"Judge, County Court at Law No. 2, Unexpired Term",0077,188,81,249,585,44.07%,53,180,233
"Judge, County Court at Law No. 2, Unexpired Term",0078,359,344,703,1479,47.53%,200,424,824
"Judge, County Court at Law No. 2, Unexpired Term",0079,511,717,1228,2959,41.50%,239,881,1120
"Judge, County Court at Law No. 2, Unexpired Term",0080,1159,481,1840,2712,80.47%,341,1207,1548
"Judge, County Court at Law No. 2, Unexpired Term",0081,540,309,849,1839,48.17%,281,528,787
"Judge, County Court at Law No. 2, Unexpired Term",0082,1353,818,2189,3284,88.05%,1589,475,2084
"Judge, County Court at Law No. 2, Unexpired Term",0083,2825,1181,3808,5598,87.99%,1810,1848,3858
"Judge, County Court at Law No. 2, Unexpired Term",0084,444,348,790,1389,58.88%,545,212,757
"Judge, County Court at Law No. 2, Unexpired Term",0085,730,548,1278,2079,81.47%,28,1185,1213
"Judge, County Court at Law No. 2, Unexpired Term",0088,1054,889,1743,2837,88.10%,807,792,1599
"Judge, County Court at Law No. 2, Unexpired Term",0087,1222,881,2083,2749,75.77%,1380,528,1888
"Judge, County Court at Law No. 2, Unexpired Term",0088,235,182,397,878,58.55%,250,129,379
"Judge, County Court at Law No. 2, Unexpired Term",0089,342,454,798,1104,72.10%,480,238,718
"Judge, County Court at Law No. 2, Unexpired Term",0090,1498,958,2458,3571,88.78%,1779,535,2314
"Judge, County Court at Law No. 2, Unexpired Term",0091,488,333,799,1248,84.02%,488,283,789
"Judge, County Court at Law No. 2, Unexpired Term",0092,1105,534,1839,2228,73.58%,1117,415,1532
"Judge, County Court at Law No. 2, Unexpired Term",0093,782,843,1425,3295,43.25%,487,835,1322
"Judge, County Court at Law No. 2, Unexpired Term",0094,148,104,252,537,48.93%,57,179,238
"Judge, County Court at Law No. 2, Unexpired Term",0095,1884,871,2355,3179,74.08%,1817,588,2205
"Judge, County Court at Law No. 2, Unexpired Term",0098,384,237,801,1241,48.43%,82,520,582
"Judge, County Court at Law No. 2, Unexpired Term",0097,2393,784,3157,4588,89.14%,2258,738,2998
"Judge, County Court at Law No. 2, Unexpired Term",0098,874,807,1481,2403,81.83%,1180,235,1415
"Judge, County Court at Law No. 2, Unexpired Term",0099,588,311,879,2040,43.09%,382,459,841
"Judge, County Court at Law No. 2, Unexpired Term",0100,427,324,751,1754,42.82%,317,399,718
"Judge, County Court at Law No. 2, Unexpired Term",0101,203,188,389,941,41.34%,90,288,378
"Judge, County Court at Law No. 2, Unexpired Term",0102,493,288,781,1910,39.84%,195,539,734
"Judge, County Court at Law No. 2, Unexpired Term",0103,1915,1065,2980,4751,62.72%,1534,1311,2845
"Judge, County Court at Law No. 2, Unexpired Term",0104,992,238,1230,1847,66.59%,25,1171,1196
"Judge, County Court at Law No. 2, Unexpired Term",0105,462,453,915,2153,42.50%,236,610,846
"Judge, County Court at Law No. 2, Unexpired Term",0106,49,37,86,284,30.28%,38,43,81
"Judge, County Court at Law No. 2, Unexpired Term",0107,412,441,853,1905,44.78%,140,678,818
"Judge, County Court at Law No. 2, Unexpired Term",0108,1193,514,1707,3229,52.86%,882,738,1620
"Judge, County Court at Law No. 2, Unexpired Term",0109,1160,430,1590,2884,55.13%,24,1515,1539
"Judge, County Court at Law No. 2, Unexpired Term",0110,1465,589,2054,2853,71.99%,1214,725,1939
"Judge, County Court at Law No. 2, Unexpired Term",0111,1868,848,2716,3638,74.66%,1972,579,2551
"Judge, County Court at Law No. 2, Unexpired Term",0112,1262,668,1930,2894,66.69%,1324,499,1823
"Judge, County Court at Law No. 2, Unexpired Term",0113,1125,590,1715,2537,67.60%,980,646,1626
"Judge, County Court at Law No. 2, Unexpired Term",0114,1454,546,2000,2650,75.47%,1525,386,1911
"Judge, County Court at Law No. 2, Unexpired Term",0115,598,305,903,1764,51.19%,101,774,875
"Judge, County Court at Law No. 2, Unexpired Term",0116,1626,747,2373,3014,78.73%,1794,425,2219
"Judge, County Court at Law No. 2, Unexpired Term",0117,398,462,860,1878,45.79%,361,449,810
"Judge, County Court at Law No. 2, Unexpired Term",0118,460,148,608,743,81.83%,470,94,564
"Judge, County Court at Law No. 2, Unexpired Term",0119,1924,1265,3189,4892,65.19%,2462,606,3068
"Judge, County Court at Law No. 2, Unexpired Term",0120,1197,632,1829,2986,61.25%,1093,608,1701
"Judge, County Court at Law No. 2, Unexpired Term",0121,193,244,437,679,64.36%,278,137,415
"Judge, County Court at Law No. 2, Unexpired Term",0122,895,349,1244,2199,56.57%,44,1148,1192
"Judge, County Court at Law No. 2, Unexpired Term",0123,440,350,790,1356,58.26%,234,485,719
"Judge, County Court at Law No. 2, Unexpired Term",0124,3522,1281,4803,5952,80.70%,3723,848,4571
"Judge, County Court at Law No. 2, Unexpired Term",0125,896,534,1430,2281,62.69%,826,536,1362
"Judge, County Court at Law No. 2, Unexpired Term",0126,1630,407,2037,2799,72.78%,1713,227,1940
"Judge, County Court at Law No. 2, Unexpired Term",0127,854,182,1036,1703,60.83%,700,280,980
"Judge, County Court at Law No. 2, Unexpired Term",0128,936,736,1672,2257,74.08%,1068,413,1481
"Judge, County Court at Law No. 2, Unexpired Term",0129,2294,1449,3743,5495,68.12%,2322,1170,3492
"Judge, County Court at Law No. 2, Unexpired Term",0130,1201,523,1724,2240,76.96%,1288,328,1616
