Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0072,441,562,1003,1882,53.29%,260,660,920
"County School Trustee, Position 3, At Large",0073,499,496,995,1494,66.60%,530,396,926
"County School Trustee, Position 3, At Large",0074,2212,530,2742,3632,75.50%,2036,529,2565
"County School Trustee, Position 3, At Large",0075,481,370,851,1329,64.03%,323,457,780
"County School Trustee, Position 3, At Large",0076,814,569,1383,2328,59.41%,718,575,1293
"County School Trustee, Position 3, At Large",0077,168,81,249,565,44.07%,51,183,234
"County School Trustee, Position 3, At Large",0078,359,344,703,1479,47.53%,190,441,631
"County School Trustee, Position 3, At Large",0079,511,717,1228,2959,41.50%,214,913,1127
"County School Trustee, Position 3, At Large",0080,1159,481,1640,2712,60.47%,326,1225,1551
"County School Trustee, Position 3, At Large",0081,540,309,849,1839,46.17%,259,533,792
"County School Trustee, Position 3, At Large",0082,1353,816,2169,3284,66.05%,1563,504,2067
"County School Trustee, Position 3, At Large",0083,2625,1181,3806,5598,67.99%,1752,1909,3661
"County School Trustee, Position 3, At Large",0084,444,346,790,1389,56.88%,541,217,758
"County School Trustee, Position 3, At Large",0085,730,548,1278,2079,61.47%,23,1191,1214
"County School Trustee, Position 3, At Large",0086,1054,689,1743,2637,66.10%,768,843,1611
"County School Trustee, Position 3, At Large",0087,1222,861,2083,2749,75.77%,1211,678,1889
"County School Trustee, Position 3, At Large",0088,235,162,397,678,58.55%,243,139,382
"County School Trustee, Position 3, At Large",0089,342,454,796,1104,72.10%,404,311,715
"County School Trustee, Position 3, At Large",0090,1498,958,2456,3571,68.78%,1720,601,2321
"County School Trustee, Position 3, At Large",0091,466,333,799,1248,64.02%,477,295,772
"County School Trustee, Position 3, At Large",0092,1105,534,1639,2228,73.56%,1056,479,1535
"County School Trustee, Position 3, At Large",0093,782,643,1425,3295,43.25%,495,833,1328
"County School Trustee, Position 3, At Large",0094,148,104,252,537,46.93%,54,183,237
"County School Trustee, Position 3, At Large",0095,1684,671,2355,3179,74.08%,1559,647,2206
"County School Trustee, Position 3, At Large",0096,364,237,601,1241,48.43%,61,519,580
"County School Trustee, Position 3, At Large",0097,2393,764,3157,4566,69.14%,2229,775,3004
