Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Hastings,"DEM Alfred (""Al"") Bennett",Totals
"District Judge, 61st Judicial District",0338,1540,824,2364,4673,50.59%,640,1572,2212
"District Judge, 61st Judicial District",0339,369,373,742,1716,43.24%,139,534,673
"District Judge, 61st Judicial District",0340,1778,833,2611,3717,70.24%,1876,571,2447
"District Judge, 61st Judicial District",0341,246,316,562,1248,45.03%,133,399,532
"District Judge, 61st Judicial District",0342,2029,1113,3142,5718,54.95%,421,2625,3046
"District Judge, 61st Judicial District",0343,436,483,919,1904,48.27%,214,616,830
"District Judge, 61st Judicial District",0344,395,245,640,1207,53.02%,23,591,614
"District Judge, 61st Judicial District",0345,428,357,785,1708,45.96%,162,581,743
"District Judge, 61st Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 61st Judicial District",0347,1250,614,1864,3299,56.50%,1129,650,1779
"District Judge, 61st Judicial District",0348,751,280,1031,1740,59.25%,714,261,975
"District Judge, 61st Judicial District",0349,405,407,812,1315,61.75%,462,303,765
"District Judge, 61st Judicial District",0350,1112,780,1892,2906,65.11%,721,1015,1736
"District Judge, 61st Judicial District",0351,2495,793,3288,4537,72.47%,2528,632,3160
"District Judge, 61st Judicial District",0352,1151,583,1734,3193,54.31%,1167,483,1650
"District Judge, 61st Judicial District",0353,1544,703,2247,3697,60.78%,368,1795,2163
"District Judge, 61st Judicial District",0354,1476,517,1993,3193,62.42%,434,1469,1903
"District Judge, 61st Judicial District",0355,700,286,986,1384,71.24%,88,866,954
"District Judge, 61st Judicial District",0356,1382,618,2000,2836,70.52%,1125,738,1863
"District Judge, 61st Judicial District",0357,1633,709,2342,3371,69.47%,1674,543,2217
"District Judge, 61st Judicial District",0358,740,464,1204,2297,52.42%,84,1079,1163
"District Judge, 61st Judicial District",0359,706,482,1188,3008,39.49%,89,1055,1144
"District Judge, 61st Judicial District",0360,969,515,1484,2190,67.76%,744,596,1340
"District Judge, 61st Judicial District",0361,135,691,826,1585,52.11%,141,556,697
"District Judge, 61st Judicial District",0362,2131,1200,3331,4952,67.27%,2375,779,3154
"District Judge, 61st Judicial District",0363,1346,687,2033,3291,61.77%,880,1082,1962
"District Judge, 61st Judicial District",0364,912,602,1514,2539,59.63%,739,696,1435
"District Judge, 61st Judicial District",0365,734,245,979,1302,75.19%,84,866,950
"District Judge, 61st Judicial District",0366,638,466,1104,2089,52.85%,233,830,1063
"District Judge, 61st Judicial District",0367,328,212,540,1019,52.99%,90,431,521
"District Judge, 61st Judicial District",0368,418,143,561,929,60.39%,139,403,542
"District Judge, 61st Judicial District",0369,107,53,160,490,32.65%,58,96,154
"District Judge, 61st Judicial District",0370,3143,1178,4321,5781,74.74%,3201,916,4117
"District Judge, 61st Judicial District",0371,226,69,295,475,62.11%,8,279,287
"District Judge, 61st Judicial District",0372,498,231,729,1215,60.00%,79,619,698
"District Judge, 61st Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 61st Judicial District",0374,139,187,326,748,43.58%,88,218,306
"District Judge, 61st Judicial District",0375,577,524,1101,2607,42.23%,434,602,1036
"District Judge, 61st Judicial District",0376,529,334,963,1916,50.26%,383,518,901
"District Judge, 61st Judicial District",0377,1055,707,1762,2871,61.37%,1273,373,1646
"District Judge, 61st Judicial District",0378,559,521,1080,1777,60.78%,657,374,1031
"District Judge, 61st Judicial District",0379,800,338,1138,2017,56.42%,74,1015,1089
"District Judge, 61st Judicial District",0380,2500,1183,3683,4753,77.49%,2046,1457,3503
"District Judge, 61st Judicial District",0381,957,424,1381,2715,50.87%,546,764,1310
"District Judge, 61st Judicial District",0382,275,231,507,841,60.29%,347,139,486
"District Judge, 61st Judicial District",0383,599,493,1092,2076,52.60%,331,704,1035
"District Judge, 61st Judicial District",0384,1172,505,1677,2596,64.60%,309,1304,1613
"District Judge, 61st Judicial District",0385,1099,621,1720,2175,79.08%,1186,405,1591
"District Judge, 61st Judicial District",0386,1464,460,1924,2872,66.99%,1336,494,1830
"District Judge, 61st Judicial District",0387,1369,802,2171,3727,58.25%,1450,601,2051
"District Judge, 61st Judicial District",0388,2780,1222,4002,5329,75.10%,2210,1626,3836
"District Judge, 61st Judicial District",0389,283,261,544,975,55.79%,88,415,503
"District Judge, 61st Judicial District",0390,644,368,1012,1565,64.66%,114,850,964
"District Judge, 61st Judicial District",0391,856,355,1211,1805,67.09%,748,390,1138
"District Judge, 61st Judicial District",0392,737,197,934,1441,64.82%,6,909,915
"District Judge, 61st Judicial District",0393,346,318,664,1206,55.06%,278,345,623
"District Judge, 61st Judicial District",0394,166,176,342,860,39.77%,131,189,320
"District Judge, 61st Judicial District",0395,830,491,1321,1820,72.58%,867,360,1227
"District Judge, 61st Judicial District",0396,1157,219,1376,2073,66.38%,12,1322,1334
"District Judge, 61st Judicial District",0397,163,148,311,750,41.47%,118,168,286
"District Judge, 61st Judicial District",0398,1438,840,2278,3816,59.70%,1097,1078,2175
"District Judge, 61st Judicial District",0399,896,593,1489,2542,58.58%,703,723,1426
"District Judge, 61st Judicial District",0400,1048,506,1554,2238,69.44%,1082,384,1466
"District Judge, 61st Judicial District",0401,723,284,1007,1876,53.68%,39,939,978
"District Judge, 61st Judicial District",0402,891,245,1136,1737,65.40%,47,1056,1103
"District Judge, 61st Judicial District",0403,791,527,1318,1703,77.39%,664,522,1186
"District Judge, 61st Judicial District",0404,778,552,1330,2589,51.37%,658,601,1259
"District Judge, 61st Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 61st Judicial District",0406,281,72,353,610,57.87%,6,331,337
"District Judge, 61st Judicial District",0407,1317,1000,2317,3652,63.44%,1401,748,2149
"District Judge, 61st Judicial District",0408,154,179,333,933,35.69%,139,175,314
"District Judge, 61st Judicial District",0409,277,289,566,1371,41.28%,168,362,530
"District Judge, 61st Judicial District",0410,337,102,439,849,51.71%,78,346,424
"District Judge, 61st Judicial District",0411,542,462,1004,2302,43.61%,283,653,936
"District Judge, 61st Judicial District",0412,193,74,267,433,61.66%,11,247,258
"District Judge, 61st Judicial District",0413,1493,525,2018,3023,66.75%,738,1159,1897
"District Judge, 61st Judicial District",0414,1452,593,2045,3457,59.16%,1417,489,1906
"District Judge, 61st Judicial District",0415,950,633,1583,2124,74.53%,1054,423,1477
"District Judge, 61st Judicial District",0416,1174,916,2090,3582,58.35%,1050,913,1963
"District Judge, 61st Judicial District",0417,777,619,1396,2465,56.63%,593,719,1312
"District Judge, 61st Judicial District",0418,1057,758,1815,3420,53.07%,652,1062,1714
"District Judge, 61st Judicial District",0419,1006,578,1584,2697,58.73%,990,508,1498
"District Judge, 61st Judicial District",0420,2174,1089,3263,4639,70.34%,2598,485,3083
"District Judge, 61st Judicial District",0421,124,92,216,467,46.25%,44,162,206
"District Judge, 61st Judicial District",0422,1456,585,2041,3345,61.02%,34,1952,1986
"District Judge, 61st Judicial District",0423,190,309,499,894,55.82%,194,272,466
"District Judge, 61st Judicial District",0424,435,1,57,592,888,66.67%,322,247,569
"District Judge, 61st Judicial District",0425,227,234,461,875,52.69%,141,293,434
"District Judge, 61st Judicial District",0426,415,283,698,1224,57.03%,364,272,636
"District Judge, 61st Judicial District",0427,325,249,574,1115,51.48%,199,333,532
"District Judge, 61st Judicial District",0428,1284,907,2191,4316,50.76%,634,1403,2037
"District Judge, 61st Judicial District",0429,1091,777,1868,3929,47.54%,341,1386,1727
"District Judge, 61st Judicial District",0430,403,335,738,1654,44.62%,143,534,677
"District Judge, 61st Judicial District",0431,819,403,1222,3188,38.33%,306,839,1145
"District Judge, 61st Judicial District",0432,311,271,582,1344,43.30%,158,395,553
"District Judge, 61st Judicial District",0433,139,106,245,573,42.76%,43,188,231
"District Judge, 61st Judicial District",0434,628,371,999,1386,72.08%,589,340,929
"District Judge, 61st Judicial District",0435,1534,768,2302,3097,74.33%,1437,702,2139
"District Judge, 61st Judicial District",0436,1334,709,2043,3012,67.83%,1141,742,1883
"District Judge, 61st Judicial District",0437,951,542,1493,2007,74.39%,1005,389,1394
"District Judge, 61st Judicial District",0438,1046,387,1433,1802,79.52%,1008,305,1313
"District Judge, 61st Judicial District",0439,1526,905,2431,3416,71.17%,1607,649,2256
"District Judge, 61st Judicial District",0440,1326,876,2202,2867,76.81%,1590,430,2020
"District Judge, 61st Judicial District",0441,698,513,1211,1616,74.94%,825,303,1128
"District Judge, 61st Judicial District",0442,1366,513,1879,2504,75.04%,1499,287,1786
"District Judge, 61st Judicial District",0443,335,148,483,605,79.83%,317,128,445
"District Judge, 61st Judicial District",0444,1258,731,1989,3172,62.70%,1146,703,1849
"District Judge, 61st Judicial District",0445,860,443,1303,1938,67.23%,772,440,1212
"District Judge, 61st Judicial District",0446,70,52,122,268,45.52%,46,68,114
"District Judge, 61st Judicial District",0447,271,108,379,583,65.01%,120,230,350
"District Judge, 61st Judicial District",0448,1239,869,2108,3081,68.42%,1179,755,1934
"District Judge, 61st Judicial District",0449,62,37,99,164,60.37%,12,80,92
"District Judge, 61st Judicial District",0450,856,537,1393,2622,53.13%,335,989,1324
"District Judge, 61st Judicial District",0451,1575,515,2090,2674,78.16%,1640,347,1987
"District Judge, 61st Judicial District",0452,1109,639,1748,2810,62.21%,1276,397,1673
"District Judge, 61st Judicial District",0453,559,475,1034,1885,54.85%,329,646,975
"District Judge, 61st Judicial District",0454,1226,311,1537,2571,59.78%,9,1486,1495
"District Judge, 61st Judicial District",0455,748,216,964,1679,57.42%,27,904,931
"District Judge, 61st Judicial District",0456,1266,593,1859,3350,55.49%,969,788,1757
"District Judge, 61st Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0458,908,271,1179,1893,62.28%,44,1098,1142
"District Judge, 61st Judicial District",0459,1637,476,2113,2950,71.63%,1627,372,1999
"District Judge, 61st Judicial District",0460,1250,402,1652,2346,70.42%,416,1171,1587
"District Judge, 61st Judicial District",0461,1958,828,2786,3733,74.63%,1735,829,2564
"District Judge, 61st Judicial District",0462,1318,865,2183,3367,64.84%,745,1296,2041
"District Judge, 61st Judicial District",0463,1124,656,1780,2962,60.09%,692,1003,1695
"District Judge, 61st Judicial District",0464,786,612,1398,2126,65.76%,934,388,1322
"District Judge, 61st Judicial District",0465,1465,702,2167,3343,64.82%,1103,992,2095
"District Judge, 61st Judicial District",0466,2052,729,2781,4072,68.30%,1502,1164,2666
"District Judge, 61st Judicial District",0467,478,229,707,1230,57.48%,166,506,672
"District Judge, 61st Judicial District",0468,984,793,1777,3354,52.98%,491,1183,1674
"District Judge, 61st Judicial District",0469,2039,638,2677,3779,70.84%,2006,520,2526
"District Judge, 61st Judicial District",0470,443,323,766,1349,56.78%,523,196,719
"District Judge, 61st Judicial District",0471,792,597,1389,2349,59.13%,1043,283,1326
"District Judge, 61st Judicial District",0472,370,337,707,1027,68.84%,286,354,640
"District Judge, 61st Judicial District",0473,914,442,1356,1827,74.22%,882,378,1260
"District Judge, 61st Judicial District",0474,1146,766,1912,3006,63.61%,1282,514,1796
"District Judge, 61st Judicial District",0475,485,473,958,1651,58.03%,403,489,892
"District Judge, 61st Judicial District",0476,809,658,1467,2412,60.82%,818,575,1393
"District Judge, 61st Judicial District",0477,1441,742,2183,3195,68.33%,1594,490,2084
"District Judge, 61st Judicial District",0478,1959,898,2857,4150,68.84%,1812,890,2702
"District Judge, 61st Judicial District",0479,1298,588,1886,2648,71.22%,1347,454,1801
"District Judge, 61st Judicial District",0480,936,555,1491,2267,65.77%,1011,392,1403
"District Judge, 61st Judicial District",0481,1463,852,2315,3298,70.19%,1661,531,2192
"District Judge, 61st Judicial District",0482,1963,836,2799,4129,67.79%,1897,782,2679
"District Judge, 61st Judicial District",0483,1868,759,2627,4141,63.44%,1355,1135,2490
"District Judge, 61st Judicial District",0484,2236,1008,3244,4594,70.61%,2240,846,3086
"District Judge, 61st Judicial District",0485,2421,990,3411,4838,70.50%,2487,785,3272
"District Judge, 61st Judicial District",0486,1843,805,2648,3572,74.13%,1989,535,2524
"District Judge, 61st Judicial District",0487,1005,612,1617,3318,48.73%,451,1029,1480
"District Judge, 61st Judicial District",0488,580,440,1020,1713,59.54%,330,613,943
"District Judge, 61st Judicial District",0489,783,378,1161,1823,63.69%,315,772,1087
"District Judge, 61st Judicial District",0490,876,439,1315,1944,67.64%,450,785,1235
"District Judge, 61st Judicial District",0491,667,489,1156,1782,64.87%,625,449,1074
"District Judge, 61st Judicial District",0492,1069,504,1573,2351,66.91%,779,676,1455
"District Judge, 61st Judicial District",0493,858,400,1258,1804,69.73%,776,385,1161
"District Judge, 61st Judicial District",0494,760,431,1191,2176,54.73%,141,1008,1149
"District Judge, 61st Judicial District",0495,1120,494,1614,2284,70.67%,1100,414,1514
"District Judge, 61st Judicial District",0496,496,571,1067,2086,51.15%,387,607,994
"District Judge, 61st Judicial District",0497,1123,303,1426,2226,64.06%,48,1331,1379
"District Judge, 61st Judicial District",0498,759,499,1258,2123,59.26%,509,688,1197
"District Judge, 61st Judicial District",0499,1301,517,1818,2304,78.91%,1262,445,1707
"District Judge, 61st Judicial District",0500,1507,746,2253,3175,70.96%,1494,640,2134
"District Judge, 61st Judicial District",0501,653,487,1140,1647,69.22%,415,626,1041
"District Judge, 61st Judicial District",0502,1150,332,1482,2364,62.69%,1108,283,1391
"District Judge, 61st Judicial District",0503,359,273,632,1363,46.37%,184,398,582
"District Judge, 61st Judicial District",0504,1129,538,1667,2197,75.88%,1036,519,1555
"District Judge, 61st Judicial District",0505,1209,829,2038,3654,55.77%,870,1028,1898
"District Judge, 61st Judicial District",0506,1470,801,2271,3380,67.19%,357,1827,2184
"District Judge, 61st Judicial District",0507,582,385,967,2435,39.71%,150,685,835
"District Judge, 61st Judicial District",0508,946,760,1706,3248,52.52%,531,1033,1564
"District Judge, 61st Judicial District",0509,1340,864,2204,3536,62.33%,1518,571,2089
"District Judge, 61st Judicial District",0510,1492,682,2174,3511,61.92%,953,1091,2044
"District Judge, 61st Judicial District",0511,0,6,6,0,0.00%,1,5,6
"District Judge, 61st Judicial District",0512,1558,1127,2685,4582,58.60%,1190,1366,2556
"District Judge, 61st Judicial District",0513,1605,507,2112,2752,76.74%,1536,462,1998
"District Judge, 61st Judicial District",0514,1966,860,2826,3941,71.71%,2022,673,2695
"District Judge, 61st Judicial District",0515,1692,708,2400,3173,75.64%,1870,410,2280
"District Judge, 61st Judicial District",0516,2179,1066,3245,4934,65.77%,1534,1526,3060
"District Judge, 61st Judicial District",0517,1208,653,1861,3320,56.05%,969,791,1760
"District Judge, 61st Judicial District",0518,1478,919,2397,3755,63.83%,1456,799,2255
"District Judge, 61st Judicial District",0519,1234,645,1879,2951,63.67%,1314,479,1793
"District Judge, 61st Judicial District",0520,1542,857,2399,4064,59.03%,370,1941,2311
"District Judge, 61st Judicial District",0521,1011,694,1705,2725,62.57%,841,781,1622
"District Judge, 61st Judicial District",0522,1171,658,1829,2682,68.20%,1324,406,1730
"District Judge, 61st Judicial District",0523,1338,689,2027,3060,66.24%,1306,577,1883
"District Judge, 61st Judicial District",0524,1237,675,1912,3292,58.08%,548,1275,1823
"District Judge, 61st Judicial District",0525,1380,610,1990,2947,67.53%,367,1527,1894
"District Judge, 61st Judicial District",0526,167,171,338,731,46.24%,85,235,320
"District Judge, 61st Judicial District",0527,80,24,104,569,18.28%,46,52,98
"District Judge, 61st Judicial District",0528,36,12,48,92,52.17%,4,43,47
"District Judge, 61st Judicial District",0529,1987,441,2428,3616,67.15%,1985,329,2314
"District Judge, 61st Judicial District",0530,259,235,494,1196,41.30%,97,361,458
"District Judge, 61st Judicial District",0531,572,113,785,1094,71.76%,595,141,736
"District Judge, 61st Judicial District",0532,452,184,636,1039,61.21%,421,188,609
"District Judge, 61st Judicial District",0533,317,207,524,1069,49.02%,261,234,495
"District Judge, 61st Judicial District",0534,1658,675,2333,3795,61.48%,1641,573,2214
"District Judge, 61st Judicial District",0535,80,94,174,421,41.33%,59,102,161
"District Judge, 61st Judicial District",0536,1332,1195,2527,4576,55.22%,904,1499,2403
"District Judge, 61st Judicial District",0537,1454,823,2277,2971,76.64%,1610,539,2149
"District Judge, 61st Judicial District",0538,433,237,670,1282,52.26%,17,629,646
"District Judge, 61st Judicial District",0539,26,209,235,71,330.99%,46,166,212
"District Judge, 61st Judicial District",0540,666,380,1046,1491,70.15%,418,529,947
"District Judge, 61st Judicial District",0541,1824,779,2603,4183,62.23%,333,2155,2488
"District Judge, 61st Judicial District",0542,997,501,1498,2525,59.33%,79,1372,1451
"District Judge, 61st Judicial District",0543,287,378,665,1528,43.52%,196,430,626
"District Judge, 61st Judicial District",0544,92,53,145,318,45.60%,16,125,141
"District Judge, 61st Judicial District",0545,1314,857,2171,3339,65.02%,1014,1049,2063
"District Judge, 61st Judicial District",0546,4,4,8,30,26.67%,2,5,7
"District Judge, 61st Judicial District",0547,877,647,1524,2408,63.29%,1031,413,1444
"District Judge, 61st Judicial District",0548,720,476,1196,2129,56.18%,517,627,1144
"District Judge, 61st Judicial District",0549,944,586,1530,2530,60.47%,207,1263,1470
"District Judge, 61st Judicial District",0550,1134,629,1763,2847,61.92%,851,849,1700
"District Judge, 61st Judicial District",0551,3088,1527,4615,6135,75.22%,3250,1133,4383
"District Judge, 61st Judicial District",0552,1521,844,2465,3241,76.06%,1979,374,2353
"District Judge, 61st Judicial District",0553,1465,951,2416,4355,55.48%,1006,1301,2307
"District Judge, 61st Judicial District",0554,562,340,902,1731,52.11%,134,708,842
"District Judge, 61st Judicial District",0555,597,447,1044,2119,49.27%,162,830,992
"District Judge, 61st Judicial District",0556,584,421,1005,2249,44.69%,201,752,953
"District Judge, 61st Judicial District",0557,822,556,1378,2726,50.55%,435,836,1271
"District Judge, 61st Judicial District",0558,1588,824,2412,4084,59.06%,745,1546,2291
"District Judge, 61st Judicial District",0559,1787,899,2686,4633,57.98%,621,1922,2543
"District Judge, 61st Judicial District",0560,172,289,461,1176,39.20%,87,337,424
"District Judge, 61st Judicial District",0561,837,759,1596,3033,52.62%,855,659,1514
"District Judge, 61st Judicial District",0562,201,146,347,645,53.80%,23,309,332
"District Judge, 61st Judicial District",0563,1699,415,2114,2969,71.20%,1584,403,1987
"District Judge, 61st Judicial District",0564,1150,713,1863,3096,60.17%,471,1256,1727
"District Judge, 61st Judicial District",0565,315,194,509,1373,37.07%,87,388,475
"District Judge, 61st Judicial District",0566,1122,478,1600,2950,54.24%,411,1121,1532
"District Judge, 61st Judicial District",0567,672,394,1066,2198,48.50%,259,713,972
"District Judge, 61st Judicial District",0568,1628,837,2465,3487,70.69%,1537,742,2279
"District Judge, 61st Judicial District",0569,1294,865,2159,3249,66.45%,1098,890,1988
"District Judge, 61st Judicial District",0570,525,409,934,1473,63.41%,391,453,844
"District Judge, 61st Judicial District",0571,333,312,645,1758,36.69%,192,404,596
"District Judge, 61st Judicial District",0572,1283,574,1857,2998,61.94%,824,932,1756
"District Judge, 61st Judicial District",0573,577,368,945,1618,58.41%,10,912,922
"District Judge, 61st Judicial District",0574,98,79,177,391,45.27%,17,149,166
"District Judge, 61st Judicial District",0575,27,9,36,79,45.57%,31,4,35
"District Judge, 61st Judicial District",0576,1050,552,1602,2671,59.98%,47,1501,1548
"District Judge, 61st Judicial District",0577,231,113,344,573,60.03%,181,143,324
"District Judge, 61st Judicial District",0578,745,553,1298,1689,76.85%,750,427,1177
"District Judge, 61st Judicial District",0579,487,351,838,1806,46.40%,184,603,787
"District Judge, 61st Judicial District",0580,429,146,575,1027,55.99%,12,550,562
"District Judge, 61st Judicial District",0581,510,162,672,1041,64.55%,17,632,649
"District Judge, 61st Judicial District",0582,614,256,870,1613,53.94%,46,791,837
"District Judge, 61st Judicial District",0583,544,127,671,1248,53.77%,12,643,655
"District Judge, 61st Judicial District",0584,392,139,531,971,54.69%,30,494,524
"District Judge, 61st Judicial District",0585,934,304,1238,2403,51.52%,28,1174,1202
"District Judge, 61st Judicial District",0585,1306,1189,2495,4230,58.98%,1480,909,2389
"District Judge, 61st Judicial District",0587,933,465,1398,2174,64.31%,478,867,1345
"District Judge, 61st Judicial District",0588,1536,871,2407,3468,69.41%,1644,656,2300
"District Judge, 61st Judicial District",0589,1033,738,1771,3130,56.58%,902,787,1689
"District Judge, 61st Judicial District",0590,1158,463,1621,2136,75.89%,1182,356,1538
"District Judge, 61st Judicial District",0591,420,449,869,2114,41.11%,223,591,814
"District Judge, 61st Judicial District",0592,370,288,658,1258,52.31%,148,478,626
"District Judge, 61st Judicial District",0593,1148,999,2147,4059,52.89%,940,1092,2032
"District Judge, 61st Judicial District",0594,1031,535,1566,2361,66.33%,428,1075,1503
"District Judge, 61st Judicial District",0595,497,380,877,1647,53.25%,138,709,847
"District Judge, 61st Judicial District",0596,945,690,1635,2848,57.41%,832,734,1566
"District Judge, 61st Judicial District",0597,1067,719,1786,3267,54.67%,599,1117,1716
"District Judge, 61st Judicial District",0598,335,103,438,724,60.50%,327,81,408
"District Judge, 61st Judicial District",0599,1895,866,2761,4135,66.77%,915,1741,2656
"District Judge, 61st Judicial District",0600,1383,869,2252,3820,58.95%,762,1382,2144
"District Judge, 61st Judicial District",0601,2028,858,2886,3990,72.33%,2122,638,2760
"District Judge, 61st Judicial District",0602,562,296,858,1237,69.36%,576,249,825
"District Judge, 61st Judicial District",0603,1437,1163,2600,3917,66.38%,1538,958,2496
"District Judge, 61st Judicial District",0604,1444,528,1972,2910,67.77%,1597,279,1876
"District Judge, 61st Judicial District",0605,2227,889,3116,5251,59.34%,723,2267,2990
"District Judge, 61st Judicial District",0606,420,122,542,1053,51.47%,5,519,524
"District Judge, 61st Judicial District",0607,194,118,312,731,42.68%,19,278,297
"District Judge, 61st Judicial District",0608,245,290,535,1256,42.60%,200,293,493
"District Judge, 61st Judicial District",0609,1364,844,2208,3261,67.71%,1320,748,2068
"District Judge, 61st Judicial District",0610,403,398,801,1825,43.89%,333,418,751
"District Judge, 61st Judicial District",0611,1120,301,1421,2450,58.00%,37,1349,1386
"District Judge, 61st Judicial District",0612,1700,579,2279,3272,69.65%,1660,475,2135
"District Judge, 61st Judicial District",0613,495,309,804,1450,55.45%,121,655,776
"District Judge, 61st Judicial District",0614,1631,812,2443,3932,62.13%,783,1549,2332
"District Judge, 61st Judicial District",0615,931,404,1335,1926,69.31%,763,510,1273
"District Judge, 61st Judicial District",0616,1352,970,2322,3378,68.74%,1563,636,2199
"District Judge, 61st Judicial District",0617,1318,849,2167,3546,61.11%,756,1319,2075
"District Judge, 61st Judicial District",0618,1920,1021,2941,5344,55.03%,1253,1557,2810
"District Judge, 61st Judicial District",0619,2133,857,2990,4266,70.09%,2176,673,2849
"District Judge, 61st Judicial District",0620,2382,856,3238,5271,61.43%,1492,1544,3036
"District Judge, 61st Judicial District",0621,397,203,600,1173,51.15%,291,279,570
"District Judge, 61st Judicial District",0622,1722,829,2551,4305,59.26%,1451,970,2421
"District Judge, 61st Judicial District",0623,1708,626,2334,3481,67.05%,1442,749,2191
"District Judge, 61st Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 61st Judicial District",0625,862,454,1316,1796,73.27%,710,501,1211
"District Judge, 61st Judicial District",0626,1148,655,1803,2838,63.53%,861,841,1702
"District Judge, 61st Judicial District",0627,795,547,1442,2964,48.65%,400,949,1349
"District Judge, 61st Judicial District",0628,292,456,748,1600,46.75%,302,402,704
"District Judge, 61st Judicial District",0629,175,127,302,629,48.01%,22,274,296
"District Judge, 61st Judicial District",0630,2018,535,2553,3190,80.03%,207,2263,2470
"District Judge, 61st Judicial District",0631,1489,392,1881,2733,68.83%,1303,482,1785
"District Judge, 61st Judicial District",0632,12,9,21,231,9.09%,5,13,18
"District Judge, 61st Judicial District",0633,1782,678,2460,3257,75.53%,1734,606,2340
"District Judge, 61st Judicial District",0634,1020,734,1754,2922,60.03%,1066,608,1674
"District Judge, 61st Judicial District",0635,1326,706,2032,3280,61.95%,1522,422,1944
"District Judge, 61st Judicial District",0636,1791,974,2765,3881,71.24%,2317,333,2650
"District Judge, 61st Judicial District",0637,739,509,1248,2471,50.51%,280,872,1152
"District Judge, 61st Judicial District",0638,740,684,1424,2078,68.53%,90,1274,1364
"District Judge, 61st Judicial District",0639,828,711,1539,2501,61.54%,1187,288,1475
"District Judge, 61st Judicial District",0640,1382,723,2105,3548,59.33%,1178,829,2007
"District Judge, 61st Judicial District",0641,1265,878,2143,3375,63.50%,1286,760,2046
"District Judge, 61st Judicial District",0642,871,447,1318,1779,74.09%,1057,201,1258
"District Judge, 61st Judicial District",0643,2157,994,3151,5310,59.34%,1200,1799,2999
"District Judge, 61st Judicial District",0644,2123,1204,3327,5261,63.24%,2041,1111,3152
"District Judge, 61st Judicial District",0645,1639,895,2534,4035,62.80%,1140,1246,2386
"District Judge, 61st Judicial District",0646,708,456,1164,2163,53.81%,337,764,1101
"District Judge, 61st Judicial District",0647,1770,1020,2790,5593,49.88%,684,1886,2570
"District Judge, 61st Judicial District",0648,1590,668,2258,3197,70.63%,1539,613,2152
"District Judge, 61st Judicial District",0649,1389,854,2243,4426,50.68%,598,1519,2117
"District Judge, 61st Judicial District",0650,1328,939,2267,3151,71.95%,1623,531,2154
"District Judge, 61st Judicial District",0651,2085,1070,3155,4931,63.98%,1936,1059,2995
"District Judge, 61st Judicial District",0652,1049,653,1702,2633,64.64%,269,1373,1642
"District Judge, 61st Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 61st Judicial District",0654,2103,1344,3447,5765,59.79%,1697,1548,3245
"District Judge, 61st Judicial District",0655,2612,1451,4063,6304,64.45%,2456,1376,3832
"District Judge, 61st Judicial District",0656,1198,421,1619,2622,61.75%,46,1525,1571
"District Judge, 61st Judicial District",0657,490,268,758,1200,63.17%,285,429,714
"District Judge, 61st Judicial District",0658,985,708,1693,2824,59.95%,1011,612,1623
"District Judge, 61st Judicial District",0659,2141,1091,3232,4588,70.44%,2235,852,3087
"District Judge, 61st Judicial District",0660,2460,932,3392,5048,67.19%,308,2968,3276
"District Judge, 61st Judicial District",0661,1614,1012,2626,4179,62.84%,1374,1100,2474
"District Judge, 61st Judicial District",0662,2477,999,3476,4807,72.31%,2716,609,3325
"District Judge, 61st Judicial District",0663,1302,913,2215,3232,68.53%,1147,897,2044
"District Judge, 61st Judicial District",0664,681,607,1288,2801,45.98%,276,941,1217
"District Judge, 61st Judicial District",0665,951,394,1345,2007,67.02%,1061,210,1271
"District Judge, 61st Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 61st Judicial District",0657,989,547,1536,2181,70.43%,1136,313,1449
"District Judge, 61st Judicial District",0668,927,655,1582,2458,64.36%,963,542,1505
"District Judge, 61st Judicial District",0669,1606,823,2429,3243,74.90%,1648,647,2295
"District Judge, 61st Judicial District",0670,1566,518,2084,2952,70.60%,1565,386,1951
"District Judge, 61st Judicial District",0671,1090,773,1863,2942,63.32%,1052,690,1742
"District Judge, 61st Judicial District",0672,2301,1078,3379,4710,71.74%,2185,1057,3242
"District Judge, 61st Judicial District",0673,1376,643,2019,2988,67.57%,1520,387,1907
"District Judge, 61st Judicial District",0674,2092,813,2905,4055,71.64%,2140,653,2793
"District Judge, 61st Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0677,220,239,459,954,48.11%,119,312,431
"District Judge, 61st Judicial District",0678,297,164,461,756,60.98%,281,141,422
"District Judge, 61st Judicial District",0679,1466,661,2127,3331,63.85%,1532,462,1994
"District Judge, 61st Judicial District",0680,56,22,78,181,43.09%,34,37,71
"District Judge, 61st Judicial District",0681,1,0,1,5,20.00%,0,1,1
