Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Mike Parrott,Totals
"Justice of the Peace, Precinct No. 3, Place 1",0742,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 3, Place 1",0743,27,4,31,199,15.58%,19,19
"Justice of the Peace, Precinct No. 3, Place 1",0784,428,156,584,1071,54.53%,560,560
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Mike Parrott,Totals
"Justice of the Peace, Precinct No. 3, Place 1",0790,1,0,1,4,25.00%,1,1
"Justice of the Peace, Precinct No. 3, Place 1",0799,65,12,77,146,52.74%,59,59
"Justice of the Peace, Precinct No. 3, Place 1",0824,984,471,1455,2729,53.32%,1245,1245
"Justice of the Peace, Precinct No. 3, Place 1",0827,169,186,355,997,35.61%,260,260
"Justice of the Peace, Precinct No. 3, Place 1",0832,109,46,155,351,44.16%,111,111
"Justice of the Peace, Precinct No. 3, Place 1",0834,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 3, Place 1",0843,0,2,2,0,0.00%,2,2
"Justice of the Peace, Precinct No. 3, Place 1",0847,795,321,1116,1804,61.86%,847,847
"Justice of the Peace, Precinct No. 3, Place 1",0872,13,5,18,66,27.27%,11,11
"Justice of the Peace, Precinct No. 3, Place 1",0937,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 3, Place 1",0963,129,69,198,353,56.09%,114,114
"Justice of the Peace, Precinct No. 3, Place 1",0964,945,447,1392,1571,88.61%,715,715
"Justice of the Peace, Precinct No. 3, Place 1",0965,93,27,120,355,33.80%,71,71
"Justice of the Peace, Precinct No. 3, Place 1",0976,159,131,290,684,42.40%,163,163
"Justice of the Peace, Precinct No. 3, Place 1",0988,44,21,65,111,58.56%,27,27
"Justice of the Peace, Precinct No. 3, Place 1",1008,86,21,107,150,71.33%,47,47
"Justice of the Peace, Precinct No. 3, Place 1",1009,3,1,4,8,50.00%,2,2
"Justice of the Peace, Precinct No. 3, Place 1",1031,3,3,6,6,100.00%,1,1
"Justice of the Peace, Precinct No. 3, Place 1",1032,59,80,139,241,57.68%,60,60
"Justice of the Peace, Precinct No. 3, Place 1",1053,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 3, Place 1",1060,13,4,17,49,34.69%,10,10
"Justice of the Peace, Precinct No. 3, Place 1",Totals:,66078,28893,94971,161044,,65887,65887
